                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _IOConnectCallScalarMethod (from IOKit)
                 (undefined) external _IOConnectRelease (from IOKit)
                 (undefined) external _IOIteratorIsValid (from IOKit)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperties (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryCreateIterator (from IOKit)
                 (undefined) external _IORegistryEntryGetChildEntry (from IOKit)
                 (undefined) external _IORegistryEntryGetChildIterator (from IOKit)
                 (undefined) external _IORegistryEntryGetName (from IOKit)
                 (undefined) external _IORegistryGetRootEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceNameMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffb18bc2aa1 (__TEXT,__text) external _NFCalibrationGetData
00007ffb18bbdbe7 (__TEXT,__text) external _NFHardwareInterfaceIsSupported
00007ffb18bbd10f (__TEXT,__text) external _NFHardwareInterfaceOpen
00007ffb18bbd9d6 (__TEXT,__text) external _NFHardwareInterfaceRead
00007ffb18bbdabb (__TEXT,__text) external _NFHardwareInterfaceReadAbort
00007ffb18bbd806 (__TEXT,__text) external _NFHardwareInterfaceResetSerial
00007ffb18bbd9bb (__TEXT,__text) external _NFHardwareInterfaceSetBaudRate
00007ffb18bbdb13 (__TEXT,__text) external _NFHardwareInterfaceSetCRCEnabled
00007ffb18bbd97e (__TEXT,__text) external _NFHardwareInterfaceSetDeviceWake
00007ffb18bbd90f (__TEXT,__text) external _NFHardwareInterfaceSetDownloadRequest
00007ffb18bbd934 (__TEXT,__text) external _NFHardwareInterfaceSetIcefallDownloadRequest
00007ffb18bbd9a0 (__TEXT,__text) external _NFHardwareInterfaceSetLogFunction
00007ffb18bbdb32 (__TEXT,__text) external _NFHardwareInterfaceSetOnDemandClientMode
00007ffb18bbd8c8 (__TEXT,__text) external _NFHardwareInterfaceSetPMUStandbyEnabled
00007ffb18bbd959 (__TEXT,__text) external _NFHardwareInterfaceSetPMUStandbyPowerEnabled
00007ffb18bbd8a6 (__TEXT,__text) external _NFHardwareInterfaceSetPower
00007ffb18bbdb9b (__TEXT,__text) external _NFHardwareInterfaceSetSPMIConfig
00007ffb18bbd8ea (__TEXT,__text) external _NFHardwareInterfaceSetVBAT
00007ffb18bbdb7a (__TEXT,__text) external _NFHardwareInterfaceValidateSPMIConfig
00007ffb18bbdbc6 (__TEXT,__text) external _NFHardwareInterfaceWasItNACK
00007ffb18bbdaa0 (__TEXT,__text) external _NFHardwareInterfaceWrite
00007ffb18bb75df (__TEXT,__text) external _NFHardwareLoad
00007ffb18bb62b9 (__TEXT,__text) external _NFHardwareRelayClose
00007ffb18bb455a (__TEXT,__text) external _NFHardwareRelayDataClose
00007ffb18bb4cea (__TEXT,__text) external _NFHardwareRelayDataFlush
00007ffb18bb44e0 (__TEXT,__text) external _NFHardwareRelayDataOpen
00007ffb18bb48c1 (__TEXT,__text) external _NFHardwareRelayDataRead
00007ffb18bb4a8e (__TEXT,__text) external _NFHardwareRelayDataReadAbort
00007ffb18bb4d3c (__TEXT,__text) external _NFHardwareRelayDataReset
00007ffb18bb45bd (__TEXT,__text) external _NFHardwareRelayDataSetBaudRate
00007ffb18bb45ad (__TEXT,__text) external _NFHardwareRelayDataSetLogFunction
00007ffb18bb4ac5 (__TEXT,__text) external _NFHardwareRelayDataWrite
00007ffb18bb4ea1 (__TEXT,__text) external _NFHardwareRelayGPIOClose
00007ffb18bb5083 (__TEXT,__text) external _NFHardwareRelayGPIOIsHostWakeCapable
00007ffb18bb4d44 (__TEXT,__text) external _NFHardwareRelayGPIOOpen
00007ffb18bb5030 (__TEXT,__text) external _NFHardwareRelayGPIOSetDeviceWake
00007ffb18bb4f37 (__TEXT,__text) external _NFHardwareRelayGPIOSetDownloadRequest
00007ffb18bb4f8a (__TEXT,__text) external _NFHardwareRelayGPIOSetIcefallDownloadRequest
00007ffb18bb4fdd (__TEXT,__text) external _NFHardwareRelayGPIOSetPMUStandbyPowerEnabled
00007ffb18bb4ee7 (__TEXT,__text) external _NFHardwareRelayGPIOSetPower
00007ffb18bb50b2 (__TEXT,__text) external _NFHardwareRelayIsSupported
00007ffb18bb6486 (__TEXT,__text) external _NFHardwareRelayOpen
00007ffb18bb6116 (__TEXT,__text) external _NFHardwareRelayRPC
00007ffb18bb6d45 (__TEXT,__text) external _NFHardwareRelayRead
00007ffb18bb6fe6 (__TEXT,__text) external _NFHardwareRelayReadAbort
00007ffb18bb73f8 (__TEXT,__text) external _NFHardwareRelayReceiveMessage
00007ffb18bb71f0 (__TEXT,__text) external _NFHardwareRelaySendMessage
00007ffb18bb7546 (__TEXT,__text) external _NFHardwareRelaySendMessageWithReply
00007ffb18bba709 (__TEXT,__text) external _NFHardwareSerialClose
00007ffb18bbd041 (__TEXT,__text) external _NFHardwareSerialDebugDump
00007ffb18bbc931 (__TEXT,__text) external _NFHardwareSerialDebugDump_wCB
00007ffb18bbc6fb (__TEXT,__text) external _NFHardwareSerialDebugLastMessage
00007ffb18bbc708 (__TEXT,__text) external _NFHardwareSerialDebugLog
00007ffb18bbd04d (__TEXT,__text) external _NFHardwareSerialDebugMaxEntriesPrinted
00007ffb18bb8b69 (__TEXT,__text) external _NFHardwareSerialDump
00007ffb18bb951a (__TEXT,__text) external _NFHardwareSerialFlush
00007ffb18bba826 (__TEXT,__text) external _NFHardwareSerialGetCTS
00007ffb18bb804c (__TEXT,__text) external _NFHardwareSerialGetDefaultInterfaceType
00007ffb18bba808 (__TEXT,__text) external _NFHardwareSerialHasCTS
00007ffb18bb8892 (__TEXT,__text) external _NFHardwareSerialIsHammerfestAlive
00007ffb18bb8a93 (__TEXT,__text) external _NFHardwareSerialIsSupported
00007ffb18bb9da2 (__TEXT,__text) external _NFHardwareSerialOpen
00007ffb18bba800 (__TEXT,__text) external _NFHardwareSerialPower
00007ffb18bb8d52 (__TEXT,__text) external _NFHardwareSerialRead
00007ffb18bb8b73 (__TEXT,__text) external _NFHardwareSerialReadAbort
00007ffb18bb9823 (__TEXT,__text) external _NFHardwareSerialReset
00007ffb18bb9a2b (__TEXT,__text) external _NFHardwareSerialSetBaudRate
00007ffb18bbaaab (__TEXT,__text) external _NFHardwareSerialSetCRCEnabled
00007ffb18bb9d8f (__TEXT,__text) external _NFHardwareSerialSetLogFunction
00007ffb18bbac0c (__TEXT,__text) external _NFHardwareSerialSetOnDemandClientMode
00007ffb18bbc6f5 (__TEXT,__text) external _NFHardwareSerialSetPrimary
00007ffb18bb92f8 (__TEXT,__text) external _NFHardwareSerialWrite
00007ffb18bb758e (__TEXT,__text) external _NFHardwareSetLogFunc
00007ffb18bb75ee (__TEXT,__text) external _NFHardwareUnload
                 (undefined) external _NFIsRestoreOS (from libnfshared)
                 (undefined) external _NFProductIsDevBoard (from libnfshared)
00007ffb18bbc2e6 (__TEXT,__text) external _NFSharedDumpTransport
00007ffb18bbbb70 (__TEXT,__text) external _NFSharedLogLock
00007ffb18bbbc14 (__TEXT,__text) external _NFSharedLogOpen2
00007ffb18bbbb64 (__TEXT,__text) external _NFSharedLogSetSynchronousLogging
00007ffb18bbc548 (__TEXT,__text) external _NFSharedLogTransport
00007ffb18bbbc03 (__TEXT,__text) external _NFSharedLogUnlock
00007ffb18bbc2be (__TEXT,__text) external _NFSharedLogv
00007ffb18bbc2d5 (__TEXT,__text) external _NFSharedLogv_GreenTea
00007ffb18bbbefd (__TEXT,__text) external _NFSharedMiddlewareSignpostLog
00007ffb18bbbef0 (__TEXT,__text) external _NFSharedSignpostLog
                 (undefined) external _NFSimulateCrash (from libnfshared)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb18bbbf49 (__TEXT,__text) external __NFSharedLogClose
00007ffb18bbbdd9 (__TEXT,__text) external __NFSharedLogOpen
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb18bbbfe1 (__TEXT,__text) external ___NFSharedLogv
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
                 (undefined) external __dispatch_source_type_timer (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __os_signpost_emit_with_name_impl (from libSystem)
                 (undefined) external _abort (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cfmakeraw (from libSystem)
                 (undefined) external _cfsetispeed (from libSystem)
                 (undefined) external _cfsetospeed (from libSystem)
                 (undefined) external _cfsetspeed (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _connect (from libSystem)
                 (undefined) external _dispatch_activate (from libSystem)
                 (undefined) external _dispatch_assert_queue$V2 (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_group_async (from libSystem)
                 (undefined) external _dispatch_group_create (from libSystem)
                 (undefined) external _dispatch_group_wait (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_qos_class (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_queue_create_with_target$V2 (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_resume (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_source_cancel (from libSystem)
                 (undefined) external _dispatch_source_create (from libSystem)
                 (undefined) external _dispatch_source_set_event_handler (from libSystem)
                 (undefined) external _dispatch_source_set_timer (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
00007ffb4303d8b0 (__DATA,__common) external _gNFHardwareLogv
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kIOMainPortDefault (from IOKit)
                 (undefined) external _kevent (from libSystem)
                 (undefined) external _kqueue (from libSystem)
                 (undefined) external _mach_absolute_time (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _open (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_release (from libSystem)
                 (undefined) external _os_signpost_enabled (from libSystem)
                 (undefined) external _os_variant_has_internal_diagnostics (from libSystem)
00007ffb18bc3152 (__TEXT,__text) external _phOsalNf_GetTimestamp
00007ffb18bc314a (__TEXT,__text) external _phOsalNfc_CloseLogFile
00007ffb18bc315c (__TEXT,__text) external _phOsalNfc_DeInit
00007ffb18bc2d5f (__TEXT,__text) external _phOsalNfc_Delay
00007ffb18bc3426 (__TEXT,__text) external _phOsalNfc_FreeLibrary
00007ffb18bc2d4e (__TEXT,__text) external _phOsalNfc_FreeMemory
00007ffb18bc2d3a (__TEXT,__text) external _phOsalNfc_GetMemory
00007ffb18bc3005 (__TEXT,__text) external _phOsalNfc_Init
00007ffb18bc318d (__TEXT,__text) external _phOsalNfc_LoadLibrary
00007ffb18bc0a3d (__TEXT,__text) external _phOsalNfc_LogBool
00007ffb18bc0a8d (__TEXT,__text) external _phOsalNfc_LogFunc
00007ffb18bc0abc (__TEXT,__text) external _phOsalNfc_LogHexData
00007ffb18bc0838 (__TEXT,__text) external _phOsalNfc_LogStr
00007ffb18bc0980 (__TEXT,__text) external _phOsalNfc_LogU32
00007ffb18bc09bf (__TEXT,__text) external _phOsalNfc_LogX32
00007ffb18bc09fe (__TEXT,__text) external _phOsalNfc_LogX64
00007ffb18bc2d6f (__TEXT,__text) external _phOsalNfc_MemCompare
00007ffb18bc2dc0 (__TEXT,__text) external _phOsalNfc_MemCopy
00007ffb18bc3142 (__TEXT,__text) external _phOsalNfc_OpenLogFile
00007ffb18bc2ff4 (__TEXT,__text) external _phOsalNfc_RaiseException
00007ffb18bc2dcd (__TEXT,__text) external _phOsalNfc_RaiseExceptionWithDescription
00007ffb18bc2da5 (__TEXT,__text) external _phOsalNfc_SetMemory
00007ffb18bc120c (__TEXT,__text) external _phOsalNfc_SignPostLogFunc
00007ffb18bc291c (__TEXT,__text) external _phOsalNfc_SignPostLogHexData
00007ffb18bc0ac2 (__TEXT,__text) external _phOsalNfc_SignPostLogStr
00007ffb18bc1aed (__TEXT,__text) external _phOsalNfc_SignPostLogTimerEvents
00007ffb18bc0e80 (__TEXT,__text) external _phOsalNfc_SignPostLogX32
00007ffb18bc033f (__TEXT,__text) external _phOsalNfc_Timer_Create
00007ffb18bc020c (__TEXT,__text) external _phOsalNfc_Timer_Deinit
00007ffb18bc06e2 (__TEXT,__text) external _phOsalNfc_Timer_Delete
00007ffb18bbfef3 (__TEXT,__text) external _phOsalNfc_Timer_Init
00007ffb18bc03cb (__TEXT,__text) external _phOsalNfc_Timer_Start
00007ffb18bc066e (__TEXT,__text) external _phOsalNfc_Timer_Stop
00007ffb18bc3443 (__TEXT,__text) external _phOsalNfc_setHardwareType
00007ffb18bbf763 (__TEXT,__text) external _phTmlNfc_ConfigHsuBaudRate
00007ffb18bbfee8 (__TEXT,__text) external _phTmlNfc_ConfigureSpmi
00007ffb18bbefe5 (__TEXT,__text) external _phTmlNfc_FlushTxRxBuffers
00007ffb18bbfd24 (__TEXT,__text) external _phTmlNfc_GetHsuMaxBaudRate
00007ffb18bbdd38 (__TEXT,__text) external _phTmlNfc_Init
00007ffb18bbf0aa (__TEXT,__text) external _phTmlNfc_IoCtl
00007ffb18bbe9b0 (__TEXT,__text) external _phTmlNfc_Read
00007ffb18bbeedc (__TEXT,__text) external _phTmlNfc_ReadAbort
00007ffb18bbfe5a (__TEXT,__text) external _phTmlNfc_SetGetSpmiDrvConfigRegs
00007ffb18bbe150 (__TEXT,__text) external _phTmlNfc_Shutdown
00007ffb18bbfdcc (__TEXT,__text) external _phTmlNfc_SpmiDrvErrorStatus
00007ffb18bbe49c (__TEXT,__text) external _phTmlNfc_Write
00007ffb18bbede8 (__TEXT,__text) external _phTmlNfc_WriteAbort
                 (undefined) external _postAWDMiddlewareExceptionEvent (from libnfshared)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_destroy (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _recv (from libSystem)
                 (undefined) external _remote_device_cancel (from RemoteServiceDiscovery)
                 (undefined) external _remote_device_copy_service (from RemoteServiceDiscovery)
                 (undefined) external _remote_device_copy_unique_of_type (from RemoteServiceDiscovery)
                 (undefined) external _remote_device_set_connected_callback (from RemoteServiceDiscovery)
                 (undefined) external _remote_device_set_disconnected_callback (from RemoteServiceDiscovery)
                 (undefined) external _remote_service_create_connected_socket (from RemoteServiceDiscovery)
                 (undefined) external _remote_service_set_connect_timeout (from RemoteServiceDiscovery)
                 (undefined) external _send (from libSystem)
                 (undefined) external _setsockopt (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _socket (from libSystem)
                 (undefined) external _socketpair (from libSystem)
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _tcgetattr (from libSystem)
                 (undefined) external _tcsetattr (from libSystem)
                 (undefined) external _usleep (from libSystem)
                 (undefined) external _vasprintf (from libSystem)
                 (undefined) external _write (from libSystem)
