00000001e6faaca0 (__DATA,__data) external _NDR_record
0000000180407d30 (__TEXT,__text) external ___gettid
000000018040a034 (__TEXT,__text) external ___gettimeofday
000000018040a008 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180413440 (__TEXT,__text) external ___getwgroups
000000018041346c (__TEXT,__text) external ___guarded_open_dprotected_np
0000000180409a6c (__TEXT,__text) external ___guarded_open_np
0000000180413498 (__TEXT,__text) external ___identitysvc
0000000180409d90 (__TEXT,__text) external ___inc_remove_counter
000000018041223c (__TEXT,__text) external ___initgroups
000000018040a6f4 (__TEXT,__text) external ___ioctl
000000018040aa64 (__TEXT,__text) external ___iopolicysys
00000001804134c4 (__TEXT,__text) external ___kdebug_trace
0000000180408dd4 (__TEXT,__text) external ___kdebug_trace64
00000001804134f0 (__TEXT,__text) external ___kdebug_trace_string
000000018040bdb4 (__TEXT,__text) external ___kdebug_typefilter
0000000180439978 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000180439940 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
000000018040e474 (__TEXT,__text) external ___kill
000000018040c7c8 (__TEXT,__text) external ___kqueue_workloop_ctl
000000018040bcf0 (__TEXT,__text) external ___lchown
000000018040bde0 (__TEXT,__text) external ___libkernel_init
0000000180415b54 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180415a64 (__TEXT,__text) external ___libkernel_init_late
000000018040c084 (__TEXT,__text) external ___libkernel_platform_init
000000018040671c (__TEXT,__text) external ___libkernel_voucher_init
000000018040eb10 (__TEXT,__text) external ___listen
000000018041351c (__TEXT,__text) external ___log_data
0000000180407ad0 (__TEXT,__text) external ___lseek
0000000180414adc (__TEXT,__text) external ___lstat
000000018040bb60 (__TEXT,__text) external ___lstat64_extended
0000000180413548 (__TEXT,__text) external ___lstat_extended
0000000180413574 (__TEXT,__text) external ___mac_execve
00000001804135a0 (__TEXT,__text) external ___mac_get_fd
00000001804135cc (__TEXT,__text) external ___mac_get_file
00000001804135f8 (__TEXT,__text) external ___mac_get_link
0000000180413624 (__TEXT,__text) external ___mac_get_mount
0000000180413650 (__TEXT,__text) external ___mac_get_pid
000000018041367c (__TEXT,__text) external ___mac_get_proc
00000001804136a8 (__TEXT,__text) external ___mac_getfsstat
00000001804136d4 (__TEXT,__text) external ___mac_mount
0000000180413700 (__TEXT,__text) external ___mac_set_fd
000000018041372c (__TEXT,__text) external ___mac_set_file
0000000180413758 (__TEXT,__text) external ___mac_set_link
000000018040eab0 (__TEXT,__text) external ___mac_set_proc
0000000180407bdc (__TEXT,__text) external ___mac_syscall
0000000180413784 (__TEXT,__text) external ___mach_bridge_remote_time
00000001804137b0 (__TEXT,__text) external ___mach_eventlink_signal
00000001804137dc (__TEXT,__text) external ___mach_eventlink_signal_wait_until
0000000180413808 (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180413834 (__TEXT,__text) external ___map_with_linking_np
0000000180413860 (__TEXT,__text) external ___memorystatus_available_memory
000000018041388c (__TEXT,__text) external ___microstackshot
00000001804138b8 (__TEXT,__text) external ___mkdir_extended
00000001804138e4 (__TEXT,__text) external ___mkfifo_extended
0000000180406ea8 (__TEXT,__text) external ___mmap
0000000180409fdc (__TEXT,__text) external ___mprotect
0000000180413910 (__TEXT,__text) external ___msgctl
000000018041393c (__TEXT,__text) external ___msgrcv_nocancel
0000000180413968 (__TEXT,__text) external ___msgsnd_nocancel
0000000180413994 (__TEXT,__text) external ___msgsys
000000018040c738 (__TEXT,__text) external ___msync
00000001804139c0 (__TEXT,__text) external ___msync_nocancel
0000000180409c00 (__TEXT,__text) external ___munmap
00000001804139ec (__TEXT,__text) external ___nexus_create
0000000180413a18 (__TEXT,__text) external ___nexus_deregister
0000000180413a44 (__TEXT,__text) external ___nexus_destroy
0000000180413a70 (__TEXT,__text) external ___nexus_get_opt
0000000180413a9c (__TEXT,__text) external ___nexus_open
0000000180413ac8 (__TEXT,__text) external ___nexus_register
0000000180413af4 (__TEXT,__text) external ___nexus_set_opt
0000000180406c48 (__TEXT,__text) external ___open
000000018040bbe8 (__TEXT,__text) external ___open_dprotected_np
0000000180412878 (__TEXT,__text) external ___open_extended
0000000180406dd8 (__TEXT,__text) external ___open_nocancel
0000000180407a5c (__TEXT,__text) external ___openat
0000000180413b20 (__TEXT,__text) external ___openat_dprotected_np
000000018040bd48 (__TEXT,__text) external ___openat_nocancel
00000001e6faad48 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180421b80 (__TEXT,__text) external ___os_nexus_flow_add
0000000180421c08 (__TEXT,__text) external ___os_nexus_flow_del
0000000180421d58 (__TEXT,__text) external ___os_nexus_get_llink_info
00000001804219a0 (__TEXT,__text) external ___os_nexus_ifattach
0000000180421ac0 (__TEXT,__text) external ___os_nexus_ifdetach
000000018040a12c (__TEXT,__text) external ___persona
000000018040c764 (__TEXT,__text) external ___pipe
0000000180413b4c (__TEXT,__text) external ___poll_nocancel
000000018040d4b0 (__TEXT,__text) external ___posix_spawn
0000000180413b78 (__TEXT,__text) external ___pread_nocancel
0000000180413ba4 (__TEXT,__text) external ___preadv_nocancel
00000001804075a4 (__TEXT,__text) external ___proc_info
0000000180413bd0 (__TEXT,__text) external ___proc_info_extended_id
000000018040decc (__TEXT,__text) external ___process_policy
000000018040c4c4 (__TEXT,__text) external ___pselect
0000000180413bfc (__TEXT,__text) external ___pselect_nocancel
0000000180409a10 (__TEXT,__text) external ___psynch_cvbroad
000000018040a090 (__TEXT,__text) external ___psynch_cvclrprepost
000000018040ae40 (__TEXT,__text) external ___psynch_cvsignal
00000001804099e4 (__TEXT,__text) external ___psynch_cvwait
000000018040906c (__TEXT,__text) external ___psynch_mutexdrop
0000000180408e9c (__TEXT,__text) external ___psynch_mutexwait
0000000180413c28 (__TEXT,__text) external ___psynch_rw_downgrade
0000000180413c54 (__TEXT,__text) external ___psynch_rw_longrdlock
000000018040b664 (__TEXT,__text) external ___psynch_rw_rdlock
000000018040b638 (__TEXT,__text) external ___psynch_rw_unlock
0000000180413c80 (__TEXT,__text) external ___psynch_rw_unlock2
0000000180413cac (__TEXT,__text) external ___psynch_rw_upgrade
000000018040b60c (__TEXT,__text) external ___psynch_rw_wrlock
0000000180413cd8 (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180412554 (__TEXT,__text) external ___pthread_canceled
000000018040d230 (__TEXT,__text) external ___pthread_chdir
000000018040d204 (__TEXT,__text) external ___pthread_fchdir
000000018040ea58 (__TEXT,__text) external ___pthread_kill
0000000180413d04 (__TEXT,__text) external ___pthread_markcancel
000000018040d8d8 (__TEXT,__text) external ___pthread_sigmask
000000018040eedc (__TEXT,__text) external ___ptrace
0000000180413d30 (__TEXT,__text) external ___pwrite_nocancel
0000000180413d5c (__TEXT,__text) external ___pwritev_nocancel
0000000180408158 (__TEXT,__text) external ___read_nocancel
0000000180413d88 (__TEXT,__text) external ___readv_nocancel
0000000180413db4 (__TEXT,__text) external ___reboot
0000000180413de0 (__TEXT,__text) external ___record_system_event
000000018040a778 (__TEXT,__text) external ___recvfrom
000000018040a640 (__TEXT,__text) external ___recvfrom_nocancel
000000018040aba8 (__TEXT,__text) external ___recvmsg
0000000180413e0c (__TEXT,__text) external ___recvmsg_nocancel
00000001e828b958 (__DATA_DIRTY,__bss) non-external ___remove_counter
0000000180409d64 (__TEXT,__text) external ___rename
0000000180413e38 (__TEXT,__text) external ___renameat
0000000180413e64 (__TEXT,__text) external ___renameatx_np
0000000180409dd0 (__TEXT,__text) external ___rmdir
0000000180413574 (__TEXT,__text) external ___sandbox_me
00000001804136d4 (__TEXT,__text) external ___sandbox_mm
0000000180407bdc (__TEXT,__text) external ___sandbox_ms
000000018040eab0 (__TEXT,__text) external ___sandbox_msp
0000000180411350 (__TEXT,__text) external ___select
000000018040a614 (__TEXT,__text) external ___select_nocancel
000000018040fbd8 (__TEXT,__text) external ___sem_open
0000000180413e90 (__TEXT,__text) external ___sem_wait_nocancel
0000000180413ebc (__TEXT,__text) external ___semctl
0000000180413ee8 (__TEXT,__text) external ___semsys
00000001804097e0 (__TEXT,__text) external ___semwait_signal
000000018040d904 (__TEXT,__text) external ___semwait_signal_nocancel
000000018040bd74 (__TEXT,__text) external ___sendmsg
000000018040a698 (__TEXT,__text) external ___sendmsg_nocancel
000000018040a74c (__TEXT,__text) external ___sendto
000000018040a5b4 (__TEXT,__text) external ___sendto_nocancel
0000000180409960 (__TEXT,__text) external ___setattrlist
0000000180412210 (__TEXT,__text) external ___setlogin
000000018040e588 (__TEXT,__text) external ___setpriority
0000000180413f14 (__TEXT,__text) external ___setregid
0000000180413f40 (__TEXT,__text) external ___setreuid
0000000180408ed0 (__TEXT,__text) external ___setrlimit
0000000180413f6c (__TEXT,__text) external ___setsgroups
000000018040f95c (__TEXT,__text) external ___settid
0000000180413f98 (__TEXT,__text) external ___settid_with_pid
0000000180413fc4 (__TEXT,__text) external ___settimeofday
0000000180413ff0 (__TEXT,__text) external ___setwgroups
000000018040fc70 (__TEXT,__text) external ___sfi_ctl
000000018041401c (__TEXT,__text) external ___sfi_pidctl
0000000180414048 (__TEXT,__text) external ___shared_region_check_np
0000000180414074 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000180407a04 (__TEXT,__text) external ___shm_open
00000001804140a0 (__TEXT,__text) external ___shmctl
00000001804140cc (__TEXT,__text) external ___shmsys
000000018040c7f4 (__TEXT,__text) external ___sigaction
00000001804098dc (__TEXT,__text) external ___sigaltstack
0000000180411ca0 (__TEXT,__text) external ___sigreturn
00000001804140f8 (__TEXT,__text) external ___sigsuspend
000000018040d93c (__TEXT,__text) external ___sigsuspend_nocancel
0000000180411cf8 (__TEXT,__text) external ___sigwait
000000018040a66c (__TEXT,__text) external ___socketpair
0000000180414124 (__TEXT,__text) external ___stack_snapshot_with_config
000000018041552c (__TEXT,__text) external ___stat
000000018040bb08 (__TEXT,__text) external ___stat64_extended
0000000180414150 (__TEXT,__text) external ___stat_extended
0000000180415558 (__TEXT,__text) external ___statfs
00000001804085d4 (__TEXT,__text) external ___syscall
00000001e6faad18 (__DATA,__common) external ___syscall_logger
0000000180407904 (__TEXT,__text) external ___sysctl
0000000180407b38 (__TEXT,__text) external ___sysctlbyname
000000018041417c (__TEXT,__text) external ___telemetry
0000000180410acc (__TEXT,__text) external ___terminate_with_payload
0000000180407f78 (__TEXT,__text) external ___thread_selfid
00000001804141a8 (__TEXT,__text) external ___thread_selfusage
0000000180407fa4 (__TEXT,__text) external ___ulock_wait
00000001804141d4 (__TEXT,__text) external ___ulock_wait2
0000000180408078 (__TEXT,__text) external ___ulock_wake
0000000180414200 (__TEXT,__text) external ___umask_extended
000000018040a184 (__TEXT,__text) external ___unlink
000000018040ffb0 (__TEXT,__text) external ___unlinkat
000000018041422c (__TEXT,__text) external ___vfork
000000018040d858 (__TEXT,__text) external ___wait4
000000018041284c (__TEXT,__text) external ___wait4_nocancel
000000018041429c (__TEXT,__text) external ___waitid_nocancel
000000018040f0bc (__TEXT,__text) external ___work_interval_ctl
0000000180407e9c (__TEXT,__text) external ___workq_kernreturn
0000000180407ec8 (__TEXT,__text) external ___workq_open
000000018040a0bc (__TEXT,__text) external ___write_nocancel
00000001804142c8 (__TEXT,__text) external ___writev_nocancel
00000001e6faad0c (__DATA,__common) external __cpu_capabilities
00000001e6faad10 (__DATA,__common) external __cpu_has_altivec
00000001e828b288 (__DATA_DIRTY,__data) external __current_pid
00000001e828b930 (__DATA_DIRTY,__bss) non-external __dlsym
00000001804062a0 (__TEXT,__text) external __exclaves_ctl_trap
00000001804167c8 (__TEXT,__text) non-external __execve_with_filter
000000018040d968 (__TEXT,__text) external __exit
000000018040c048 (__TEXT,__text) external __get_cpu_capabilities
00000001e6faad30 (__DATA,__bss) non-external __gethostuuid_callback
000000018041a7c8 (__TEXT,__text) external __getprivatesystemidentifier
000000018042745c (__TEXT,__text) external __host_page_size
000000018040c044 (__TEXT,__text) external __init_cpu_capabilities
0000000180428638 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000180429a10 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000018042a6e4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00000001804298f0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000018042a570 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180406090 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
000000018042c2a8 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
000000018042b368 (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001804060e4 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180429c88 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
000000018040609c (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
0000000180429b68 (__TEXT,__text) external __kernelrpc_mach_port_destroy
000000018042b4dc (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001804060f0 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
000000018042ace8 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
000000018042b0d8 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001804060d8 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00000001804104e0 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000180410f18 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000180406198 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
000000018040b6fc (__TEXT,__text) external __kernelrpc_mach_port_get_context
000000018040968c (__TEXT,__text) external __kernelrpc_mach_port_get_refs
000000018042c0cc (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00000001804123bc (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000018042a990 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
000000018042b5fc (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001804061a4 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
000000018042baec (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
000000018042afb8 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001804060cc (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000018042a320 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001804060c0 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
000000018042bf74 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
000000018042ae50 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000018042b1f8 (__TEXT,__text) external __kernelrpc_mach_port_kobject
000000018042bd34 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180429da8 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001804060a8 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000018042a200 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001804060b4 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000018042960c (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180429ec8 (__TEXT,__text) external __kernelrpc_mach_port_peek
00000001804297d0 (__TEXT,__text) external __kernelrpc_mach_port_rename
000000018040a1dc (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180406294 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000180408bc0 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180412298 (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000018042a0e0 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000018042a450 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
000000018042b840 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000018042aae8 (__TEXT,__text) external __kernelrpc_mach_port_space_info
000000018042b994 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
000000018042bc10 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
000000018040f1bc (__TEXT,__text) external __kernelrpc_mach_port_type
0000000180406288 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
000000018042b720 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001804061b0 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180433f50 (__TEXT,__text) external __kernelrpc_mach_task_is_self
000000018042c414 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000180406048 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
000000018042c570 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180406060 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00000001804075d0 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180406084 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
000000018042c690 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000180406078 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
000000018042d56c (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180406054 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
000000018042c8d8 (__TEXT,__text) external __kernelrpc_mach_vm_read
000000018042d0cc (__TEXT,__text) external __kernelrpc_mach_vm_remap
000000018042da0c (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000001804386f4 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000018042a870 (__TEXT,__text) external __kernelrpc_task_set_port_space
000000018040b44c (__TEXT,__text) external __kernelrpc_thread_policy
000000018040c5d8 (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000180436558 (__TEXT,__text) external __kernelrpc_thread_set_policy
0000000180412624 (__TEXT,__text) external __kernelrpc_vm_map
0000000180437aa8 (__TEXT,__text) external __kernelrpc_vm_purgable_control
000000018040fa4c (__TEXT,__text) external __kernelrpc_vm_read
00000001804087c0 (__TEXT,__text) external __kernelrpc_vm_remap
0000000180437c00 (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180415bc8 (__TEXT,__text) non-external __libkernel_bzero
00000001e828b928 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001ece54938 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
0000000180415c5c (__TEXT,__text) non-external __libkernel_memmove
0000000180415bd4 (__TEXT,__text) non-external __libkernel_memset
0000000180415b90 (__TEXT,__text) non-external __libkernel_strchr
000000018040c05c (__TEXT,__text) non-external __libkernel_strcmp
0000000180416034 (__TEXT,__text) non-external __libkernel_strcpy
00000001e828b290 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
000000018041690c (__TEXT,__text) non-external __libkernel_strlcpy
000000018041594c (__TEXT,__text) non-external __libkernel_strlen
00000001e828b298 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
0000000180439910 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
0000000180417fe0 (__TEXT,__text) non-external __mach_continuous_time
00000001e4d1d130 (__DATA_CONST,__const) external __mach_errors
000000018041853c (__TEXT,__text) external __mach_fork_child
0000000180418fb8 (__TEXT,__text) external __mach_snprintf
0000000180418e44 (__TEXT,__text) external __mach_vsnprintf
00000001e828b2e0 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001e6faace8 (__DATA,__common) external __os_xbs_chrooted
000000018040cd64 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000018041607c (__TEXT,__text) non-external __posix_spawn_with_filter
000000018041a7cc (__TEXT,__text) external __register_gethostuuid_callback
0000000180415d74 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
0000000180415e20 (__TEXT,__text) non-external __system_version_compat_open_shim
00000001e828b93c (__DATA_DIRTY,__bss) non-external __task_reply_port
0000000180415844 (__TEXT,__text) external __thread_set_tsd_base
0000000180438df0 (__TEXT,__text) non-external _abort
0000000180438e14 (__TEXT,__text) non-external _abort.561
0000000180438e38 (__TEXT,__text) non-external _abort.563
0000000180438e5c (__TEXT,__text) non-external _abort.580
0000000180438f2c (__TEXT,__text) external _abort_with_payload
0000000180438ea0 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000180438e80 (__TEXT,__text) external _abort_with_reason
000000018040eb3c (__TEXT,__text) external _accept
00000001804130d0 (__TEXT,__text) external _accept$NOCANCEL
0000000180406c1c (__TEXT,__text) external _access
00000001804130fc (__TEXT,__text) external _accessx_np
00000001804142f4 (__TEXT,__text) external _acct
0000000180434e8c (__TEXT,__text) external _act_get_state
00000001804350d8 (__TEXT,__text) external _act_set_state
0000000180414320 (__TEXT,__text) external _adjtime
000000018041434c (__TEXT,__text) external _aio_cancel
0000000180414378 (__TEXT,__text) external _aio_error
00000001804143a4 (__TEXT,__text) external _aio_fsync
00000001804143d0 (__TEXT,__text) external _aio_read
00000001804143fc (__TEXT,__text) external _aio_return
0000000180414428 (__TEXT,__text) external _aio_suspend
0000000180413128 (__TEXT,__text) external _aio_suspend$NOCANCEL
0000000180414454 (__TEXT,__text) external _aio_write
0000000180414480 (__TEXT,__text) external _audit
0000000180411ccc (__TEXT,__text) external _audit_session_join
0000000180411abc (__TEXT,__text) external _audit_session_port
000000018040a454 (__TEXT,__text) external _audit_session_self
00000001804144ac (__TEXT,__text) external _auditctl
000000018040fc30 (__TEXT,__text) external _auditon
000000018040df8c (__TEXT,__text) external _bind
00000001e828b2a4 (__DATA_DIRTY,__common) external _bootstrap_port
000000018041592c (__TEXT,__text) non-external _bzero
0000000180407a88 (__TEXT,__text) external _cerror
0000000180406bb0 (__TEXT,__text) external _cerror_nocancel
000000018040a390 (__TEXT,__text) external _change_fdguard_np
0000000180407c08 (__TEXT,__text) external _chdir
000000018040e4a0 (__TEXT,__text) external _chflags
0000000180409dfc (__TEXT,__text) external _chmod
000000018040df60 (__TEXT,__text) external _chown
00000001804144d8 (__TEXT,__text) external _chroot
00000001804240c4 (__TEXT,__text) external _clock_alarm
0000000180423e90 (__TEXT,__text) external _clock_alarm_reply
0000000180423ef8 (__TEXT,__text) external _clock_get_attributes
000000018040b908 (__TEXT,__text) external _clock_get_time
0000000180423d38 (__TEXT,__text) external _clock_set_attributes
0000000180423c1c (__TEXT,__text) external _clock_set_time
0000000180412580 (__TEXT,__text) external _clock_sleep
0000000180406264 (__TEXT,__text) external _clock_sleep_trap
000000018041038c (__TEXT,__text) external _clonefile
000000018040b0fc (__TEXT,__text) external _clonefileat
0000000180406d80 (__TEXT,__text) external _close
0000000180407a30 (__TEXT,__text) external _close$NOCANCEL
0000000180420324 (__TEXT,__text) external _coalition_create
00000001804203cc (__TEXT,__text) external _coalition_info_debug_info
0000000180420394 (__TEXT,__text) external _coalition_info_resource_usage
000000018042043c (__TEXT,__text) external _coalition_info_set_efficiency
0000000180420404 (__TEXT,__text) external _coalition_info_set_name
0000000180420478 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000180420364 (__TEXT,__text) external _coalition_reap
0000000180420334 (__TEXT,__text) external _coalition_terminate
000000018040a720 (__TEXT,__text) external _connect
000000018040a588 (__TEXT,__text) external _connect$NOCANCEL
000000018040a7a4 (__TEXT,__text) external _connectx
0000000180407d88 (__TEXT,__text) external _csops
0000000180406b84 (__TEXT,__text) external _csops_audittoken
0000000180406c74 (__TEXT,__text) external _csr_check
000000018040eecc (__TEXT,__text) external _csr_get_active_config
0000000180406300 (__TEXT,__text) external _debug_control_port_for_pid
0000000180420668 (__TEXT,__text) external _debug_syscall_reject
0000000180420558 (__TEXT,__text) external _debug_syscall_reject_config
00000001e6faac98 (__DATA,__data) external _denap_boost_assertion_token
0000000180414504 (__TEXT,__text) external _disconnectx
000000018040cb30 (__TEXT,__text) non-external _do_compat
000000018040a854 (__TEXT,__text) external _dup
000000018040ec2c (__TEXT,__text) external _dup2
00000001e4d1c5d0 (__DATA_CONST,__const) non-external _err_codes_auth
00000001e4d1c460 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001e4d1c7c8 (__DATA_CONST,__const) non-external _err_codes_exception
00000001e4d1c4a0 (__DATA_CONST,__const) non-external _err_codes_execd
00000001e4d1c5a0 (__DATA_CONST,__const) non-external _err_codes_io
