00007ff80f5aa7f1 (__TEXT,__const) non-external _KW_ANY
00007ff80f593266 (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80f593287 (__TEXT,__text) external _XML_SetCommentHandler
00007ff80f5932d6 (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80f5932ef (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80f593308 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80f59340e (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80f593235 (__TEXT,__text) external _XML_SetElementHandler
00007ff80f592372 (__TEXT,__text) external _XML_SetEncoding
00007ff80f5932c4 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80f593333 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80f593257 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80f593394 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80f593432 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80f5933b8 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80f5933ca (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80f59347c (__TEXT,__text) external _XML_SetHashSalt
00007ff80f593369 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff80f5933a6 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80f593357 (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80f593456 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80f593275 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80f59310d (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80f5933e3 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80f5932b2 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80f593321 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff80f593248 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80f593382 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80f5933f5 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80f593345 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80f59312f (__TEXT,__text) external _XML_SetUserData
00007ff80f593444 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80f593a87 (__TEXT,__text) external _XML_StopParser
00007ff80f5930df (__TEXT,__text) external _XML_UseForeignDTD
00007ff80f5930d0 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80f59d94a (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80f59de96 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80f59d93d (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80f59de89 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80f59d957 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80f59dea3 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80f59d3d3 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80f59e09a (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff80f59da52 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80f59df3d (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80f59ba64 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80f59bb44 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80f59d3c8 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80f59d37c (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80f59d2b1 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80f59d21c (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80f5960c0 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff80f5aa13a (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff80f597c9a (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff80f5aa15d (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff80f597d17 (__TEXT,__text) non-external _accountingReportStats
00007ff80f59a67c (__TEXT,__text) non-external _addBinding
00007ff80f5abc40 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff80f5abc70 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff80f59ab2a (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff84096afb8 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff84096b908 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff80f5a5efa (__TEXT,__text) non-external _ascii_toUtf8
00007ff80f59c04d (__TEXT,__text) non-external _attlist0
00007ff80f59c74a (__TEXT,__text) non-external _attlist1
00007ff80f59c7ba (__TEXT,__text) non-external _attlist2
00007ff80f59c9f0 (__TEXT,__text) non-external _attlist3
00007ff80f59cb1e (__TEXT,__text) non-external _attlist4
00007ff80f59c9aa (__TEXT,__text) non-external _attlist5
00007ff80f59ca84 (__TEXT,__text) non-external _attlist6
00007ff80f59caca (__TEXT,__text) non-external _attlist7
00007ff80f59c8b2 (__TEXT,__text) non-external _attlist8
00007ff80f59ca3e (__TEXT,__text) non-external _attlist9
00007ff80f5a780c (__TEXT,__text) non-external _big2_attributeValueTok
00007ff80f5a73e8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff80f5a7f64 (__TEXT,__text) non-external _big2_charRefNumber
00007ff80f5a9250 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff80f5a6780 (__TEXT,__text) non-external _big2_contentTok
00007ff84096ac18 (__DATA_CONST,__const) non-external _big2_encoding
00007ff84096b568 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff80f5a7944 (__TEXT,__text) non-external _big2_entityValueTok
00007ff80f5a7b85 (__TEXT,__text) non-external _big2_getAtts
00007ff80f5a7668 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff80f5a8204 (__TEXT,__text) non-external _big2_isPublicId
00007ff80f5a7abd (__TEXT,__text) non-external _big2_nameLength
00007ff80f5a7a78 (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff80f5a8022 (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff80f5a5f2f (__TEXT,__text) non-external _big2_prologTok
00007ff80f5a965c (__TEXT,__text) non-external _big2_scanAtts
00007ff80f5aaf43 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff80f5a90e8 (__TEXT,__text) non-external _big2_scanComment
00007ff80f5a8604 (__TEXT,__text) non-external _big2_scanDecl
00007ff80f5a84c4 (__TEXT,__text) non-external _big2_scanLit
00007ff80f5a8be4 (__TEXT,__text) non-external _big2_scanPercent
00007ff80f5a8748 (__TEXT,__text) non-external _big2_scanPi
00007ff80f5a8e6c (__TEXT,__text) non-external _big2_scanPoundName
00007ff80f5a92cf (__TEXT,__text) non-external _big2_scanRef
00007ff80f5a7b4d (__TEXT,__text) non-external _big2_skipS
00007ff80f5a8454 (__TEXT,__text) non-external _big2_toUtf16
00007ff80f5a828f (__TEXT,__text) non-external _big2_toUtf8
00007ff80f5a8126 (__TEXT,__text) non-external _big2_updatePosition
00007ff80f59a49c (__TEXT,__text) non-external _cdataSectionProcessor
00007ff80f59d6a1 (__TEXT,__text) non-external _checkCharRefNumber
00007ff80f59c4bf (__TEXT,__text) non-external _condSect0
00007ff80f59c562 (__TEXT,__text) non-external _condSect1
00007ff80f59c5a2 (__TEXT,__text) non-external _condSect2
00007ff80f5969ec (__TEXT,__text) non-external _contentProcessor
00007ff80f59b847 (__TEXT,__text) non-external _copyEntityTable
00007ff80f5923de (__TEXT,__text) non-external _copyString
00007ff80f59c3c2 (__TEXT,__text) non-external _declClose
00007ff80f596d8a (__TEXT,__text) non-external _defineAttribute
00007ff80f59a1e0 (__TEXT,__text) non-external _doCdataSection
00007ff80f598018 (__TEXT,__text) non-external _doContent
00007ff80f597564 (__TEXT,__text) non-external _doIgnoreSection
00007ff80f59da93 (__TEXT,__text) non-external _doParseXmlDecl
00007ff80f59423d (__TEXT,__text) non-external _doProlog
00007ff80f5aa222 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff80f5aa23f (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff80f5aa238 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff80f5aa228 (__TEXT,__const) non-external _doProlog.atypeID
00007ff80f5aa22b (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff80f5aa231 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff80f5aa248 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff80f5aa250 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff80f5aa117 (__TEXT,__text) non-external _doProlog.cold.1
00007ff80f5abb2b (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff80f5abb2d (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff80f5abb21 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff80f59bc38 (__TEXT,__text) non-external _doctype0
00007ff80f59bc8b (__TEXT,__text) non-external _doctype1
00007ff80f59bfae (__TEXT,__text) non-external _doctype2
00007ff80f59bf68 (__TEXT,__text) non-external _doctype3
00007ff80f59d1c0 (__TEXT,__text) non-external _doctype4
00007ff80f59c124 (__TEXT,__text) non-external _doctype5
00007ff80f59c098 (__TEXT,__text) non-external _element0
00007ff80f59cb72 (__TEXT,__text) non-external _element1
00007ff80f59cc41 (__TEXT,__text) non-external _element2
00007ff80f59cd44 (__TEXT,__text) non-external _element3
00007ff80f59cf68 (__TEXT,__text) non-external _element4
00007ff80f59cfb3 (__TEXT,__text) non-external _element5
00007ff80f59cdc3 (__TEXT,__text) non-external _element6
00007ff80f59ce94 (__TEXT,__text) non-external _element7
00007ff84096aa10 (__DATA_CONST,__const) non-external _encodings
00007ff84096b190 (__DATA_CONST,__const) non-external _encodingsNS
00007ff80f59bff4 (__TEXT,__text) non-external _entity0
00007ff80f59c16a (__TEXT,__text) non-external _entity1
00007ff80f59c40f (__TEXT,__text) non-external _entity10
00007ff80f59c1b0 (__TEXT,__text) non-external _entity2
00007ff80f59c62b (__TEXT,__text) non-external _entity3
00007ff80f59c5e5 (__TEXT,__text) non-external _entity4
00007ff80f59c671 (__TEXT,__text) non-external _entity5
00007ff80f59c6fc (__TEXT,__text) non-external _entity6
00007ff80f59c273 (__TEXT,__text) non-external _entity7
00007ff80f59c37c (__TEXT,__text) non-external _entity8
00007ff80f59c336 (__TEXT,__text) non-external _entity9
00007ff80f597a2e (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff80f59b1f6 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff80f5aa180 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff80f59b4bb (__TEXT,__text) non-external _entityValueInitProcessor
00007ff80f59b769 (__TEXT,__text) non-external _entityValueProcessor
00007ff80f59a00b (__TEXT,__text) non-external _epilogProcessor
00007ff80f59bc83 (__TEXT,__text) non-external _error
00007ff80f5936e5 (__TEXT,__text) non-external _errorProcessor
00007ff80f59aac8 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff80f592fa8 (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff80f59b2ec (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff80f59b3dc (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff80f592ff9 (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff80f59b667 (__TEXT,__text) non-external _externalParEntProcessor
00007ff80f59bb5c (__TEXT,__text) non-external _externalSubset0
00007ff80f59c464 (__TEXT,__text) non-external _externalSubset1
00007ff80f59dd6d (__TEXT,__text) non-external _findEncoding
00007ff80f59df7e (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80f599fb3 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff80f596acc (__TEXT,__text) non-external _getAttributeId
00007ff80f598f60 (__TEXT,__text) non-external _getContext
00007ff80f593ff6 (__TEXT,__text) non-external _getDebugLevel
00007ff80f596a41 (__TEXT,__text) non-external _getElementType
00007ff80f59d9b0 (__TEXT,__text) non-external _getEncodingIndex
00007ff84096a9e0 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff80f594121 (__TEXT,__text) non-external _handleUnknownEncoding
00007ff80f597d7b (__TEXT,__text) non-external _hash
00007ff80f59b80e (__TEXT,__text) non-external _hashTableDestroy
00007ff80f5976e4 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff80f5aa260 (__TEXT,__const) non-external _implicitContext
00007ff80f5a5d2a (__TEXT,__text) non-external _initScan
00007ff80f59da1f (__TEXT,__text) non-external _initScanContent
00007ff80f59df1b (__TEXT,__text) non-external _initScanContentNS
00007ff80f59da00 (__TEXT,__text) non-external _initScanProlog
00007ff80f59defc (__TEXT,__text) non-external _initScanPrologNS
00007ff80f59da41 (__TEXT,__text) non-external _initUpdatePosition
00007ff80f594055 (__TEXT,__text) non-external _initializeEncoding
00007ff80f59afac (__TEXT,__text) non-external _internalEntityProcessor
00007ff80f59bd64 (__TEXT,__text) non-external _internalSubset
00007ff84096a470 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff84096a810 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff84096a2a0 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff84096a640 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff80f5a1dc2 (__TEXT,__text) non-external _isNever
00007ff84096a0d0 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff84096b1c8 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff80f5a0610 (__TEXT,__text) non-external _latin1_toUtf16
00007ff80f5a058e (__TEXT,__text) non-external _latin1_toUtf8
00007ff80f5a37ec (__TEXT,__text) non-external _little2_attributeValueTok
00007ff80f5a33cc (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff80f5a3f40 (__TEXT,__text) non-external _little2_charRefNumber
00007ff80f5a5218 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff80f5a2770 (__TEXT,__text) non-external _little2_contentTok
00007ff84096ade8 (__DATA_CONST,__const) non-external _little2_encoding
00007ff84096b738 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff80f5a3924 (__TEXT,__text) non-external _little2_entityValueTok
00007ff80f5a3b64 (__TEXT,__text) non-external _little2_getAtts
00007ff80f5a364c (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff80f5a41e0 (__TEXT,__text) non-external _little2_isPublicId
00007ff80f5a3a9d (__TEXT,__text) non-external _little2_nameLength
00007ff80f5a3a58 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff80f5a3ffe (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff80f5a1f31 (__TEXT,__text) non-external _little2_prologTok
00007ff80f5a5620 (__TEXT,__text) non-external _little2_scanAtts
00007ff80f5a50b0 (__TEXT,__text) non-external _little2_scanComment
00007ff80f5a45d4 (__TEXT,__text) non-external _little2_scanDecl
00007ff80f5a4499 (__TEXT,__text) non-external _little2_scanLit
00007ff80f5a4bb0 (__TEXT,__text) non-external _little2_scanPercent
00007ff80f5a4718 (__TEXT,__text) non-external _little2_scanPi
00007ff80f5a4e38 (__TEXT,__text) non-external _little2_scanPoundName
00007ff80f5a5297 (__TEXT,__text) non-external _little2_scanRef
00007ff80f5a3b2c (__TEXT,__text) non-external _little2_skipS
00007ff80f5a4430 (__TEXT,__text) non-external _little2_toUtf16
00007ff80f5a426b (__TEXT,__text) non-external _little2_toUtf8
00007ff80f5a4102 (__TEXT,__text) non-external _little2_updatePosition
00007ff80f59667a (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff80f5aae10 (__TEXT,__const) non-external _namePages
00007ff80f5aa810 (__TEXT,__const) non-external _namingBitmap
00007ff80f597760 (__TEXT,__text) non-external _nextScaffoldPart
00007ff80f5aad10 (__TEXT,__const) non-external _nmstrtPages
00007ff80f59fd38 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff80f59f8e0 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff80f5a02f4 (__TEXT,__text) non-external _normal_charRefNumber
00007ff80f5a1118 (__TEXT,__text) non-external _normal_checkPiTarget
00007ff80f59ec80 (__TEXT,__text) non-external _normal_contentTok
00007ff80f59fe74 (__TEXT,__text) non-external _normal_entityValueTok
00007ff80f5a0029 (__TEXT,__text) non-external _normal_getAtts
00007ff80f59fb98 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff80f5a050c (__TEXT,__text) non-external _normal_isPublicId
00007ff80f59ffc0 (__TEXT,__text) non-external _normal_nameLength
00007ff80f59ff84 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff80f5a03b9 (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff80f59e0b1 (__TEXT,__text) non-external _normal_prologTok
00007ff80f5a148b (__TEXT,__text) non-external _normal_scanAtts
00007ff80f5a0f88 (__TEXT,__text) non-external _normal_scanComment
00007ff80f5a07b8 (__TEXT,__text) non-external _normal_scanDecl
00007ff80f5a0653 (__TEXT,__text) non-external _normal_scanLit
00007ff80f5a0cf4 (__TEXT,__text) non-external _normal_scanPercent
00007ff80f5a08dc (__TEXT,__text) non-external _normal_scanPi
00007ff80f5a1183 (__TEXT,__text) non-external _normal_scanRef
00007ff80f5a0001 (__TEXT,__text) non-external _normal_skipS
00007ff80f5a044b (__TEXT,__text) non-external _normal_updatePosition
00007ff80f59b2a8 (__TEXT,__text) non-external _normalizeLines
00007ff80f596986 (__TEXT,__text) non-external _normalizePublicId
00007ff80f59c0e3 (__TEXT,__text) non-external _notation0
00007ff80f59d010 (__TEXT,__text) non-external _notation1
00007ff80f59d107 (__TEXT,__text) non-external _notation2
00007ff80f59d0b9 (__TEXT,__text) non-external _notation3
00007ff80f59d14d (__TEXT,__text) non-external _notation4
00007ff80f5a9d5c (__TEXT,__text) non-external _parsePseudoAttribute
00007ff80f591ab2 (__TEXT,__text) non-external _parserCreate
00007ff80f5921b2 (__TEXT,__text) non-external _parserInit
00007ff80f596d18 (__TEXT,__text) non-external _poolAppend
00007ff80f593195 (__TEXT,__text) non-external _poolCopyString
00007ff80f59308c (__TEXT,__text) non-external _poolDestroy
00007ff80f596e9c (__TEXT,__text) non-external _poolGrow
00007ff80f596633 (__TEXT,__text) non-external _poolStoreString
00007ff80f59788a (__TEXT,__text) non-external _processInternalEntity
00007ff80f5962d6 (__TEXT,__text) non-external _processXmlDecl
00007ff80f59ba89 (__TEXT,__text) non-external _prolog0
00007ff80f59bb7c (__TEXT,__text) non-external _prolog1
00007ff80f59bee0 (__TEXT,__text) non-external _prolog2
00007ff80f593fa5 (__TEXT,__text) non-external _prologInitProcessor
00007ff80f5940b0 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff80f5aa784 (__TEXT,__const) non-external _reltable.attlist2
00007ff80f597bcf (__TEXT,__text) non-external _reportComment
00007ff80f593de4 (__TEXT,__text) non-external _reportDefault
00007ff80f597a83 (__TEXT,__text) non-external _reportProcessingInstruction
00007ff80f592a71 (__TEXT,__text) non-external _setContext
00007ff80f59a552 (__TEXT,__text) non-external _setElementTypePrefix
00007ff80f597edb (__TEXT,__text) non-external _sip24_final
00007ff80f597e3f (__TEXT,__text) non-external _sip24_update
00007ff80f597fbc (__TEXT,__text) non-external _sip_round
00007ff80f59364c (__TEXT,__text) non-external _startParsing
00007ff80f597067 (__TEXT,__text) non-external _storeAttributeValue
00007ff80f5992e6 (__TEXT,__text) non-external _storeAtts
00007ff80f5970d8 (__TEXT,__text) non-external _storeEntityValue
00007ff80f598e84 (__TEXT,__text) non-external _storeRawNames
00007ff80f5a5cc8 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff80f593f5f (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff80f593f74 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff80f59d790 (__TEXT,__text) non-external _unknown_isInvalid
00007ff80f59d6ee (__TEXT,__text) non-external _unknown_isName
00007ff80f59d73f (__TEXT,__text) non-external _unknown_isNmstrt
00007ff80f59d89e (__TEXT,__text) non-external _unknown_toUtf16
00007ff80f59d7bd (__TEXT,__text) non-external _unknown_toUtf8
00007ff80f593f89 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff84096aa48 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff84096b398 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff80f5a1e62 (__TEXT,__text) non-external _utf8_isInvalid2
00007ff80f5a1e81 (__TEXT,__text) non-external _utf8_isInvalid3
00007ff80f5a1eea (__TEXT,__text) non-external _utf8_isInvalid4
00007ff80f5a1d2a (__TEXT,__text) non-external _utf8_isName2
00007ff80f5a1d70 (__TEXT,__text) non-external _utf8_isName3
00007ff80f5a1dca (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff80f5a1e10 (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff80f5a1bcf (__TEXT,__text) non-external _utf8_toUtf16
00007ff80f5a1b38 (__TEXT,__text) non-external _utf8_toUtf8
