000000022dae907c (__TEXT,__text) external _Blizzard-d15
000000022dae79b4 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_204
000000022dae7dbc (__TEXT,__text) external _anod_v3_drop3_r608_nomask_204_argv
000000022dae7fa0 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_204_dim
000000022dae817c (__TEXT,__text) external _anod_v3_drop3_r608_nomask_204_dim_argv
000000022dae81a4 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_204_dim_metadata
000000022dae7df4 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_204_metadata
000000022dae7e00 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_204_shape
000000022dae7f6c (__TEXT,__text) external _anod_v3_drop3_r608_nomask_204_shape_argv
000000022dae7f94 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_204_shape_metadata
000000022dae8470 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_285
000000022dae8884 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_285_argv
000000022dae82e4 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_285_dim
000000022dae8448 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_285_dim_argv
000000022dae8464 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_285_dim_metadata
000000022dae88a8 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_285_metadata
000000022dae81b0 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_285_shape
000000022dae82bc (__TEXT,__text) external _anod_v3_drop3_r608_nomask_285_shape_argv
000000022dae82d8 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_285_shape_metadata
000000022dae66c0 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_97
000000022dae7088 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_97_argv
000000022dae70b8 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_97_dim
000000022dae721c (__TEXT,__text) external _anod_v3_drop3_r608_nomask_97_dim_argv
000000022dae7238 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_97_dim_metadata
000000022dae70ac (__TEXT,__text) external _anod_v3_drop3_r608_nomask_97_metadata
000000022dae7244 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_97_shape
000000022dae7364 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_97_shape_argv
000000022dae7380 (__TEXT,__text) external _anod_v3_drop3_r608_nomask_97_shape_metadata
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _free (from libSystem)
000000022dae88e0 (__TEXT,__text) weak external _halide_default_free
000000022dae88b4 (__TEXT,__text) weak external _halide_default_malloc
000000022dae66b8 (__TEXT,__text) external _halide_error_buffer_argument_is_null
000000022dae66b0 (__TEXT,__text) external _halide_free
000000022dae8958 (__TEXT,__text) weak external _halide_iterate
000000022dae8cac (__TEXT,__text) weak external _halide_iterate_sb
000000022dae66a0 (__TEXT,__text) external _halide_malloc
000000022dae8930 (__TEXT,__text) weak external _halide_named_malloc
000000022dae8900 (__TEXT,__text) weak external _halide_set_custom_free
000000022dae88e8 (__TEXT,__text) weak external _halide_set_custom_malloc
000000022dae8918 (__TEXT,__text) weak external _halide_set_custom_named_malloc
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
