0000000182bd3000 (__DATA,__data) external _NDR_record
0000000180ac682c (__TEXT,__text) external ___os_nexus_ifdetach
0000000180ab3de8 (__TEXT,__text) external ___persona
0000000180ab3e14 (__TEXT,__text) external ___pipe
0000000180ab3e4c (__TEXT,__text) external ___poll_nocancel
0000000180ab3e78 (__TEXT,__text) external ___posix_spawn
0000000180ab3ea4 (__TEXT,__text) external ___pread_nocancel
0000000180ab3ed0 (__TEXT,__text) external ___preadv_nocancel
0000000180ab3efc (__TEXT,__text) external ___proc_info
0000000180ab3f28 (__TEXT,__text) external ___proc_info_extended_id
0000000180ab3f54 (__TEXT,__text) external ___process_policy
0000000180ab3f80 (__TEXT,__text) external ___pselect
0000000180ab3fac (__TEXT,__text) external ___pselect_nocancel
0000000180ab3fd8 (__TEXT,__text) external ___psynch_cvbroad
0000000180ab4004 (__TEXT,__text) external ___psynch_cvclrprepost
0000000180ab4030 (__TEXT,__text) external ___psynch_cvsignal
0000000180ab405c (__TEXT,__text) external ___psynch_cvwait
0000000180ab4088 (__TEXT,__text) external ___psynch_mutexdrop
0000000180ab40b4 (__TEXT,__text) external ___psynch_mutexwait
0000000180ab40e0 (__TEXT,__text) external ___psynch_rw_downgrade
0000000180ab410c (__TEXT,__text) external ___psynch_rw_longrdlock
0000000180ab4138 (__TEXT,__text) external ___psynch_rw_rdlock
0000000180ab4164 (__TEXT,__text) external ___psynch_rw_unlock
0000000180ab4190 (__TEXT,__text) external ___psynch_rw_unlock2
0000000180ab41bc (__TEXT,__text) external ___psynch_rw_upgrade
0000000180ab41e8 (__TEXT,__text) external ___psynch_rw_wrlock
0000000180ab4214 (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180ab4240 (__TEXT,__text) external ___pthread_canceled
0000000180ab426c (__TEXT,__text) external ___pthread_chdir
0000000180ab4298 (__TEXT,__text) external ___pthread_fchdir
0000000180ab42c4 (__TEXT,__text) external ___pthread_kill
0000000180ab42f0 (__TEXT,__text) external ___pthread_markcancel
0000000180ab431c (__TEXT,__text) external ___pthread_sigmask
0000000180ab4348 (__TEXT,__text) external ___ptrace
0000000180ab4380 (__TEXT,__text) external ___pwrite_nocancel
0000000180ab43ac (__TEXT,__text) external ___pwritev_nocancel
0000000180ab43d8 (__TEXT,__text) external ___read_nocancel
0000000180ab4404 (__TEXT,__text) external ___readv_nocancel
0000000180ab4430 (__TEXT,__text) external ___reboot
0000000180ab445c (__TEXT,__text) external ___record_system_event
0000000180ab4488 (__TEXT,__text) external ___recvfrom
0000000180ab44b4 (__TEXT,__text) external ___recvfrom_nocancel
0000000180ab44e0 (__TEXT,__text) external ___recvmsg
0000000180ab450c (__TEXT,__text) external ___recvmsg_nocancel
0000000182bd3098 (__DATA,__bss) non-external ___remove_counter
0000000180ab4538 (__TEXT,__text) external ___rename
0000000180ab4564 (__TEXT,__text) external ___renameat
0000000180ab4590 (__TEXT,__text) external ___renameatx_np
0000000180ab45bc (__TEXT,__text) external ___rmdir
0000000180ab3600 (__TEXT,__text) external ___sandbox_me
0000000180ab3760 (__TEXT,__text) external ___sandbox_mm
0000000180ab383c (__TEXT,__text) external ___sandbox_ms
0000000180ab3810 (__TEXT,__text) external ___sandbox_msp
0000000180ab45e8 (__TEXT,__text) external ___select
0000000180ab4614 (__TEXT,__text) external ___select_nocancel
0000000180ab4640 (__TEXT,__text) external ___sem_open
0000000180ab466c (__TEXT,__text) external ___sem_wait_nocancel
0000000180ab4698 (__TEXT,__text) external ___semctl
0000000180ab46c4 (__TEXT,__text) external ___semsys
0000000180ab46f0 (__TEXT,__text) external ___semwait_signal
0000000180ab471c (__TEXT,__text) external ___semwait_signal_nocancel
0000000180ab4748 (__TEXT,__text) external ___sendmsg
0000000180ab4774 (__TEXT,__text) external ___sendmsg_nocancel
0000000180ab47a0 (__TEXT,__text) external ___sendto
0000000180ab47cc (__TEXT,__text) external ___sendto_nocancel
0000000180ab47f8 (__TEXT,__text) external ___setattrlist
0000000180ab4824 (__TEXT,__text) external ___setlogin
0000000180ab4850 (__TEXT,__text) external ___setpriority
0000000180ab487c (__TEXT,__text) external ___setregid
0000000180ab48a8 (__TEXT,__text) external ___setreuid
0000000180ab48d4 (__TEXT,__text) external ___setrlimit
0000000180ab4900 (__TEXT,__text) external ___setsgroups
0000000180ab492c (__TEXT,__text) external ___settid
0000000180ab4958 (__TEXT,__text) external ___settid_with_pid
0000000180ab4984 (__TEXT,__text) external ___settimeofday
0000000180ab49b0 (__TEXT,__text) external ___setwgroups
0000000180ab49dc (__TEXT,__text) external ___sfi_ctl
0000000180ab4a08 (__TEXT,__text) external ___sfi_pidctl
0000000180ab4a34 (__TEXT,__text) external ___shared_region_check_np
0000000180ab4a60 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000180ab4a8c (__TEXT,__text) external ___shm_open
0000000180ab4ab8 (__TEXT,__text) external ___shmctl
0000000180ab4ae4 (__TEXT,__text) external ___shmsys
0000000180ab4b10 (__TEXT,__text) external ___sigaction
0000000180ab4b3c (__TEXT,__text) external ___sigaltstack
0000000180ab4b68 (__TEXT,__text) external ___sigreturn
0000000180ab4b94 (__TEXT,__text) external ___sigsuspend
0000000180ab4bc0 (__TEXT,__text) external ___sigsuspend_nocancel
0000000180ab4bec (__TEXT,__text) external ___sigwait
0000000180ab4c18 (__TEXT,__text) external ___socketpair
0000000180ab4c44 (__TEXT,__text) external ___stack_snapshot_with_config
0000000180ab4c70 (__TEXT,__text) external ___stat64_extended
0000000180ab4c9c (__TEXT,__text) external ___stat_extended
0000000180ab4cc8 (__TEXT,__text) external ___syscall
0000000182bd3738 (__DATA,__common) external ___syscall_logger
0000000180ab4d04 (__TEXT,__text) external ___sysctl
0000000180ab4d30 (__TEXT,__text) external ___sysctlbyname
0000000180ab4d5c (__TEXT,__text) external ___telemetry
0000000180ab4d88 (__TEXT,__text) external ___terminate_with_payload
0000000180ab4db4 (__TEXT,__text) external ___thread_selfid
0000000180ab4de0 (__TEXT,__text) external ___thread_selfusage
0000000180ab4e0c (__TEXT,__text) external ___ulock_wait
0000000180ab4e38 (__TEXT,__text) external ___ulock_wait2
0000000180ab4e64 (__TEXT,__text) external ___ulock_wake
0000000180ab4e90 (__TEXT,__text) external ___umask_extended
0000000180ab4ebc (__TEXT,__text) external ___unlink
0000000180ab4ee8 (__TEXT,__text) external ___unlinkat
0000000180ab4f14 (__TEXT,__text) external ___vfork
0000000180ab4f84 (__TEXT,__text) external ___wait4
0000000180ab4fb0 (__TEXT,__text) external ___wait4_nocancel
0000000180ab4fdc (__TEXT,__text) external ___waitid_nocancel
0000000180ab5008 (__TEXT,__text) external ___work_interval_ctl
0000000180ab5034 (__TEXT,__text) external ___workq_kernreturn
0000000180ab5060 (__TEXT,__text) external ___workq_open
0000000180ab508c (__TEXT,__text) external ___write_nocancel
0000000180ab50b8 (__TEXT,__text) external ___writev_nocancel
0000000182bd30f0 (__DATA,__common) external __cpu_capabilities
0000000182bd30f4 (__DATA,__common) external __cpu_has_altivec
0000000182bd2e30 (__DATA,__data) external __current_pid
0000000182bd3050 (__DATA,__bss) non-external __dlsym
0000000180ab2594 (__TEXT,__text) external __exclaves_ctl_trap
0000000180ab2eac (__TEXT,__text) external __exit
0000000180ab2850 (__TEXT,__text) external __get_cpu_capabilities
0000000182bd3070 (__DATA,__bss) non-external __gethostuuid_callback
0000000180abdb70 (__TEXT,__text) external __getprivatesystemidentifier
0000000180acd6e4 (__TEXT,__text) external __host_page_size
0000000180ac759c (__TEXT,__text) external __init_cpu_capabilities
0000000180acef78 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000180ad043c (__TEXT,__text) external __kernelrpc_mach_port_allocate
0000000180ad1a24 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000180ad0320 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
0000000180ad18b4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180ab2384 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
0000000180ad3800 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
0000000180ad28f0 (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180ab23d8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180ad06ac (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000180ab2390 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
0000000180ad0590 (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000180ad2a5c (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180ab23e4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000180ad2014 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000180ad23f8 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000180ab23cc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180ad12bc (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000180ad1550 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000180ab248c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000180ad2514 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000180ad07c8 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000180ad3628 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180ad0d64 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
0000000180ad1cc4 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180ad2b78 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000180ab2498 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000180ad3058 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000180ad22dc (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180ab23c0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
0000000180ad1194 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000180ab23b4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000180ad34d4 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000180ad2178 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
0000000180ad2784 (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000180ad3298 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180ad0918 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000180ab239c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
0000000180ad0ef8 (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000180ab23a8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
0000000180acfef0 (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180ad0a34 (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000180ad0204 (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000180ad1014 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180ab2588 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000180ad173c (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180ad2668 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000180ad0c48 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
0000000180ad1434 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000180ad2db4 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000180ad1e18 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000180ad2f04 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180ad3178 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180ad00b0 (__TEXT,__text) external __kernelrpc_mach_port_type
0000000180ab257c (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180ad2c98 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000180ab24a4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180ad84c4 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
0000000180ad8398 (__TEXT,__text) external __kernelrpc_mach_ports_register3
0000000180adcd9c (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180ad3978 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000180ab233c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000180ad3ad0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180ab2354 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000180ad4718 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180ab2378 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180ad3bec (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000180ab236c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000180ad52cc (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180ab2348 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000180ad3e2c (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180ad49fc (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000180ad5760 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000180ae33e0 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
0000000180ad1ba8 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180adf66c (__TEXT,__text) external __kernelrpc_thread_policy
0000000180adf7dc (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000180ae011c (__TEXT,__text) external __kernelrpc_thread_set_policy
0000000180ae173c (__TEXT,__text) external __kernelrpc_vm_map
0000000180ae22f0 (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000180ae0e50 (__TEXT,__text) external __kernelrpc_vm_read
0000000180ae1a20 (__TEXT,__text) external __kernelrpc_vm_remap
0000000180ae2444 (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180ab7c54 (__TEXT,__text) non-external __libkernel_bzero
0000000182bd3048 (__DATA,__bss) non-external __libkernel_functions
0000000182c5def8 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
0000000180ab7ce8 (__TEXT,__text) non-external __libkernel_memmove
0000000180ab7c60 (__TEXT,__text) non-external __libkernel_memset
0000000180ab7bf4 (__TEXT,__text) non-external __libkernel_strchr
0000000180ab7c2c (__TEXT,__text) non-external __libkernel_strcmp
0000000180ab7e00 (__TEXT,__text) non-external __libkernel_strcpy
0000000182bd2e38 (__DATA,__data) non-external __libkernel_string_functions
0000000180ab7e48 (__TEXT,__text) non-external __libkernel_strlcpy
0000000180ab7a34 (__TEXT,__text) non-external __libkernel_strlen
0000000182bd2e40 (__DATA,__data) non-external __libkernel_voucher_functions
0000000180ae47f0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
0000000180ab952c (__TEXT,__text) non-external __mach_continuous_time
0000000180ba8718 (__DATA_CONST,__const) external __mach_errors
0000000180ab9f94 (__TEXT,__text) external __mach_fork_child
0000000180abb7d0 (__TEXT,__text) external __mach_snprintf
0000000180abb658 (__TEXT,__text) external __mach_vsnprintf
0000000182bd30f8 (__DATA,__common) external __os_alloc_once_table
0000000180abf54c (__TEXT,__text) non-external __posix_spawn_file_actions_grow
0000000180ac021c (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
0000000180abdb74 (__TEXT,__text) external __register_gethostuuid_callback
0000000182bd305c (__DATA,__bss) non-external __task_reply_port
0000000180ab76e0 (__TEXT,__text) external __thread_set_tsd_base
0000000180ae3d30 (__TEXT,__text) non-external _abort
0000000180ae3d30 (__TEXT,__text) non-external _abort.380
0000000180ae3d30 (__TEXT,__text) non-external _abort.382
0000000180ae3d30 (__TEXT,__text) non-external _abort.393
0000000180ae3e00 (__TEXT,__text) external _abort_with_payload
0000000180ae3d74 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000180ae3d54 (__TEXT,__text) external _abort_with_reason
0000000180ab2984 (__TEXT,__text) external _accept
0000000180ab29b0 (__TEXT,__text) external _accept$NOCANCEL
0000000180ab50e4 (__TEXT,__text) external _access
0000000180ab29dc (__TEXT,__text) external _accessx_np
0000000180ab5110 (__TEXT,__text) external _acct
0000000180adddc8 (__TEXT,__text) external _act_get_state
0000000180ade010 (__TEXT,__text) external _act_set_state
0000000180ab513c (__TEXT,__text) external _adjtime
0000000180ab5168 (__TEXT,__text) external _aio_cancel
0000000180ab5194 (__TEXT,__text) external _aio_error
0000000180ab51c0 (__TEXT,__text) external _aio_fsync
0000000180ab51ec (__TEXT,__text) external _aio_read
0000000180ab5218 (__TEXT,__text) external _aio_return
0000000180ab5244 (__TEXT,__text) external _aio_suspend
0000000180ab2a08 (__TEXT,__text) external _aio_suspend$NOCANCEL
0000000180ab5270 (__TEXT,__text) external _aio_write
0000000180ab529c (__TEXT,__text) external _audit
0000000180ab52c8 (__TEXT,__text) external _audit_session_join
0000000180ab52f4 (__TEXT,__text) external _audit_session_port
0000000180ab5320 (__TEXT,__text) external _audit_session_self
0000000180ab534c (__TEXT,__text) external _auditctl
0000000180ab5378 (__TEXT,__text) external _auditon
0000000180ab2a34 (__TEXT,__text) external _bind
0000000182bd30ac (__DATA,__common) external _bootstrap_port
0000000180ab7984 (__TEXT,__text) non-external _bzero
0000000180abba9c (__TEXT,__text) external _cerror
0000000180abba78 (__TEXT,__text) external _cerror_nocancel
0000000180ab53a4 (__TEXT,__text) external _change_fdguard_np
0000000180ab53d0 (__TEXT,__text) external _chdir
0000000180ab53fc (__TEXT,__text) external _chflags
0000000180abe5c4 (__TEXT,__text) external _chmod
0000000180ab5428 (__TEXT,__text) external _chown
0000000180ab5454 (__TEXT,__text) external _chroot
0000000180aca06c (__TEXT,__text) external _clock_alarm
0000000180ac9cf4 (__TEXT,__text) external _clock_alarm_reply
0000000180ac9ea4 (__TEXT,__text) external _clock_get_attributes
0000000180ac9d5c (__TEXT,__text) external _clock_get_time
0000000180ac9ba0 (__TEXT,__text) external _clock_set_attributes
0000000180ac9a88 (__TEXT,__text) external _clock_set_time
0000000180ab96b4 (__TEXT,__text) external _clock_sleep
0000000180ab2558 (__TEXT,__text) external _clock_sleep_trap
0000000180ab9508 (__TEXT,__text) external _clonefile
0000000180ab5480 (__TEXT,__text) external _clonefileat
0000000180ab54ac (__TEXT,__text) external _close
0000000180ab2c44 (__TEXT,__text) external _close$NOCANCEL
0000000180ac4b48 (__TEXT,__text) external _coalition_create
0000000180ac4bf0 (__TEXT,__text) external _coalition_info_debug_info
0000000180ac4bb8 (__TEXT,__text) external _coalition_info_resource_usage
0000000180ac4c60 (__TEXT,__text) external _coalition_info_set_efficiency
0000000180ac4c28 (__TEXT,__text) external _coalition_info_set_name
0000000180ac4c9c (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000180ab54d8 (__TEXT,__text) external _coalition_policy_get
0000000180ab5504 (__TEXT,__text) external _coalition_policy_set
0000000180ac4b88 (__TEXT,__text) external _coalition_reap
0000000180ac4b58 (__TEXT,__text) external _coalition_terminate
0000000180ab2cf4 (__TEXT,__text) external _connect
