00007ff80b8859c0 (__TEXT,__const) non-external _SHA256_K
00007ff80b878a6b (__TEXT,__text) non-external _index_decode
00007ff80b878d74 (__TEXT,__text) non-external _index_decoder_end
00007ff80b878863 (__TEXT,__text) non-external _index_decoder_init
00007ff80b878d99 (__TEXT,__text) non-external _index_decoder_memconfig
00007ff80b87529f (__TEXT,__text) non-external _index_encode
00007ff80b875b7c (__TEXT,__text) non-external _index_encoder_end
00007ff80b875183 (__TEXT,__text) non-external _index_file_size
00007ff80b875be4 (__TEXT,__text) non-external _index_stream_end
00007ff80b86f9bb (__TEXT,__text) non-external _index_tree_append
00007ff80b875b86 (__TEXT,__text) non-external _index_tree_node_end
00007ff80b870938 (__TEXT,__text) non-external _is_options_valid
00007ff80b875709 (__TEXT,__text) non-external _iter_set_info
00007ff80b874d09 (__TEXT,__text) non-external _length
00007ff80b870979 (__TEXT,__text) non-external _length_encoder_reset
00007ff80b870a27 (__TEXT,__text) non-external _length_update_prices
00007ff80b87ba8f (__TEXT,__text) non-external _lz_decode
00007ff80b87bbf7 (__TEXT,__text) non-external _lz_decoder_end
00007ff80b871b05 (__TEXT,__text) non-external _lz_encode
00007ff80b875af4 (__TEXT,__text) non-external _lz_encoder_end
00007ff80b870bc4 (__TEXT,__text) non-external _lz_encoder_prepare
00007ff80b87affc (__TEXT,__text) non-external _lz_encoder_update
00007ff80b880369 (__TEXT,__text) non-external _lzma2_decode
00007ff80b880658 (__TEXT,__text) non-external _lzma2_decoder_end
00007ff80b880241 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff80b871ce8 (__TEXT,__text) non-external _lzma2_encode
00007ff80b875b54 (__TEXT,__text) non-external _lzma2_encoder_end
00007ff80b870501 (__TEXT,__text) non-external _lzma2_encoder_init
00007ff80b8801c1 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff80b881838 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff80b881810 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff80b86f8a0 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff80b877a51 (__TEXT,__text) external _lzma_alone_decoder
00007ff80b877678 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff80b876743 (__TEXT,__text) external _lzma_alone_encoder
00007ff80b877aad (__TEXT,__text) external _lzma_auto_decoder
00007ff80b8769dd (__TEXT,__text) external _lzma_block_buffer_bound
00007ff80b877d7d (__TEXT,__text) external _lzma_block_buffer_decode
00007ff80b876a1d (__TEXT,__text) external _lzma_block_buffer_encode
00007ff80b875da2 (__TEXT,__text) external _lzma_block_compressed_size
00007ff80b87824b (__TEXT,__text) external _lzma_block_decoder
00007ff80b877eb1 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff80b876ee3 (__TEXT,__text) external _lzma_block_encoder
00007ff80b86fe79 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff80b8782a1 (__TEXT,__text) external _lzma_block_header_decode
00007ff80b871559 (__TEXT,__text) external _lzma_block_header_encode
00007ff80b86fcdb (__TEXT,__text) external _lzma_block_header_size
00007ff80b875e01 (__TEXT,__text) external _lzma_block_total_size
00007ff80b871699 (__TEXT,__text) external _lzma_block_unpadded_size
00007ff80b8714fe (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff80b879ed6 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff80b86ffcf (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff80b86ffb1 (__TEXT,__text) external _lzma_check_is_supported
00007ff80b881970 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff80b874ee3 (__TEXT,__text) external _lzma_check_size
00007ff80b881980 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff80b872775 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff80b870fa4 (__TEXT,__text) external _lzma_code
00007ff80b86fa9f (__TEXT,__text) external _lzma_crc32
00007ff80b881990 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff80b879efd (__TEXT,__text) external _lzma_crc64
00007ff80b883990 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff80b87c2aa (__TEXT,__text) non-external _lzma_decode
00007ff80b887b00 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff80b880002 (__TEXT,__text) non-external _lzma_decoder_init
00007ff80b87fd74 (__TEXT,__text) non-external _lzma_decoder_reset
00007ff80b87ffe4 (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff80b88067d (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff80b8807c5 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff80b880966 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff80b8807f6 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff80b8809f0 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff80b880938 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff80b876f39 (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff80b8784a6 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff80b86f420 (__TEXT,__text) external _lzma_easy_encoder
00007ff80b876faa (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff80b86f469 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff80b87be70 (__TEXT,__text) non-external _lzma_encode
00007ff80b87bd8c (__TEXT,__text) non-external _lzma_encoder_init
00007ff80b875a08 (__TEXT,__text) external _lzma_end
00007ff80b885b00 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff80b878652 (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff80b8770db (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff80b878774 (__TEXT,__text) external _lzma_filter_flags_decode
00007ff80b871710 (__TEXT,__text) external _lzma_filter_flags_encode
00007ff80b86fdbc (__TEXT,__text) external _lzma_filter_flags_size
00007ff80b870e1a (__TEXT,__text) external _lzma_filters_copy
00007ff80b87710a (__TEXT,__text) external _lzma_filters_update
00007ff80b881946 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff80b870df2 (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff80b875cad (__TEXT,__text) external _lzma_get_check
00007ff80b881940 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff80b874f00 (__TEXT,__text) external _lzma_index_append
00007ff80b875540 (__TEXT,__text) external _lzma_index_block_count
00007ff80b878953 (__TEXT,__text) external _lzma_index_buffer_decode
00007ff80b877298 (__TEXT,__text) external _lzma_index_buffer_encode
00007ff80b87610f (__TEXT,__text) external _lzma_index_cat
00007ff80b87603a (__TEXT,__text) external _lzma_index_checks
00007ff80b878808 (__TEXT,__text) external _lzma_index_decoder
00007ff80b876394 (__TEXT,__text) external _lzma_index_dup
00007ff80b877242 (__TEXT,__text) external _lzma_index_encoder
00007ff80b8751d8 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff80b86f8d2 (__TEXT,__text) external _lzma_index_end
00007ff80b875ff5 (__TEXT,__text) external _lzma_index_file_size
00007ff80b878e9a (__TEXT,__text) external _lzma_index_hash_append
00007ff80b878ff0 (__TEXT,__text) external _lzma_index_hash_decode
00007ff80b878e66 (__TEXT,__text) external _lzma_index_hash_end
00007ff80b878dec (__TEXT,__text) external _lzma_index_hash_init
00007ff80b878e70 (__TEXT,__text) external _lzma_index_hash_size
00007ff80b86f90b (__TEXT,__text) external _lzma_index_init
00007ff80b87527f (__TEXT,__text) external _lzma_index_iter_init
00007ff80b876602 (__TEXT,__text) external _lzma_index_iter_locate
00007ff80b87554a (__TEXT,__text) external _lzma_index_iter_next
00007ff80b8765eb (__TEXT,__text) external _lzma_index_iter_rewind
00007ff80b875ec9 (__TEXT,__text) external _lzma_index_memusage
00007ff80b875f41 (__TEXT,__text) external _lzma_index_memused
00007ff80b87592f (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff80b875eae (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff80b875959 (__TEXT,__text) external _lzma_index_size
00007ff80b875fae (__TEXT,__text) external _lzma_index_stream_count
00007ff80b876053 (__TEXT,__text) external _lzma_index_stream_flags
00007ff80b8760ae (__TEXT,__text) external _lzma_index_stream_padding
00007ff80b875fc1 (__TEXT,__text) external _lzma_index_stream_size
00007ff80b875fb7 (__TEXT,__text) external _lzma_index_total_size
00007ff80b876030 (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff80b87b8f5 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff80b87bc47 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff80b87bc54 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
00007ff80b87031d (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff80b87af94 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff80b880230 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff80b8802eb (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff80b87030c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff80b8801a7 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff80b8802fc (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff80b87188d (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff80b87c234 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff80b87fff1 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff80b8800be (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff80b8800ab (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff80b8720c4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff80b870620 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff80b87bd7b (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff80b87bda1 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff80b87072c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff80b880060 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff80b874ea9 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff80b87be8d (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff80b872c10 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff80b86f4a0 (__TEXT,__text) external _lzma_lzma_preset
00007ff80b8800f5 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff80b87be1b (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff80b875d0f (__TEXT,__text) external _lzma_memlimit_get
00007ff80b875d56 (__TEXT,__text) external _lzma_memlimit_set
00007ff80b875cc8 (__TEXT,__text) external _lzma_memusage
00007ff80b87b5c5 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff80b87b659 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff80b87b6d5 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff80b87b82a (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff80b8746a7 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff80b8727d3 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff80b87461c (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff80b87b07c (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff80b87b2b4 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff80b87b33f (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff80b87b519 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff80b87b057 (__TEXT,__text) external _lzma_mf_is_supported
00007ff80b87be60 (__TEXT,__text) external _lzma_mode_is_supported
00007ff80b86f82f (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff80b8702ad (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff80b875c7d (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff80b875ea4 (__TEXT,__text) external _lzma_physmem
00007ff80b878736 (__TEXT,__text) external _lzma_properties_decode
00007ff80b87185b (__TEXT,__text) external _lzma_properties_encode
00007ff80b86fe0d (__TEXT,__text) external _lzma_properties_size
00007ff80b8784df (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff80b876fe3 (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff80b870010 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff80b875e1c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff80b8786be (__TEXT,__text) external _lzma_raw_decoder
00007ff80b8786aa (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff80b878722 (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff80b8771dc (__TEXT,__text) external _lzma_raw_encoder
00007ff80b86fff9 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff80b8771c8 (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff80b887b30 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff80b87aea4 (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
00007ff80b879fdd (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
00007ff80b8859a0 (__TEXT,__const) non-external _lzma_sha256_init.s
00007ff80b87a001 (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
00007ff80b881515 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff80b8814f2 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff80b8815dc (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff80b8815b9 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff80b880a36 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff80b88128c (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff80b881269 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff80b88118d (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff80b88116a (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff80b880f15 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff80b880f00 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff80b880ee6 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff80b8816dc (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff80b8816b9 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff80b880fd0 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007ff80b880f78 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff80b877380 (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff80b87937c (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff80b8773ad (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff80b879c24 (__TEXT,__text) external _lzma_stream_decoder
00007ff80b8794f0 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff80b86f5c9 (__TEXT,__text) external _lzma_stream_encoder
00007ff80b86f6bc (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
00007ff80b8766be (__TEXT,__text) external _lzma_stream_flags_compare
00007ff80b879d05 (__TEXT,__text) external _lzma_stream_footer_decode
00007ff80b875983 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff80b879c7f (__TEXT,__text) external _lzma_stream_header_decode
00007ff80b86fa41 (__TEXT,__text) external _lzma_stream_header_encode
00007ff80b86f624 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff80b875c64 (__TEXT,__text) external _lzma_version_number
00007ff80b875c6f (__TEXT,__text) external _lzma_version_string
00007ff80b879d7b (__TEXT,__text) external _lzma_vli_decode
00007ff80b8717b1 (__TEXT,__text) external _lzma_vli_encode
00007ff80b86fe5a (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
00007ff80b874ac8 (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff80b8729c0 (__TEXT,__text) non-external _move_pos
00007ff80b8811b0 (__TEXT,__text) non-external _powerpc_code
00007ff80b87a069 (__TEXT,__text) non-external _process
00007ff80b872a21 (__TEXT,__text) non-external _rc_encode
00007ff80b880b97 (__TEXT,__text) non-external _simple_code
00007ff80b880e21 (__TEXT,__text) non-external _simple_coder_end
00007ff80b880e4e (__TEXT,__text) non-external _simple_coder_update
00007ff80b8816ff (__TEXT,__text) non-external _sparc_code
00007ff80b879651 (__TEXT,__text) non-external _stream_decode
00007ff80b879bac (__TEXT,__text) non-external _stream_decoder_end
00007ff80b879be0 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff80b879bec (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff80b871203 (__TEXT,__text) non-external _stream_encode
00007ff80b881960 (__TEXT,__const) non-external _stream_encode.convert
00007ff80b875a60 (__TEXT,__text) non-external _stream_encoder_end
00007ff80b86fbdb (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
00007ff80b875bfb (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00007ff80b8701cf (__TEXT,__text) non-external _validate_chain
00007ff80b880fdc (__TEXT,__text) non-external _x86_code
00007ff80b887bb0 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00007ff80b880f87 (__TEXT,__text) non-external _x86_coder_init
