00007ffd04f21ca2 (__TEXT,__text) non-external _Done_iODBC
00007ffd04f15613 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffd04f1580a (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffd04f15160 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffd04f15cbd (__TEXT,__text) external _SQLColumns
00007ffd04f15eb4 (__TEXT,__text) external _SQLColumnsA
00007ffd04f160ab (__TEXT,__text) external _SQLColumnsW
00007ffd04f15a01 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffd04f19ca7 (__TEXT,__text) external _SQLConnect
00007ffd04f1a5e8 (__TEXT,__text) external _SQLConnectA
00007ffd04f1a77f (__TEXT,__text) external _SQLConnectW
00007ffd04f19e3e (__TEXT,__text) non-external _SQLConnect_Internal
00007ffd04f3f77f (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffd04f30ee2 (__TEXT,__text) external _SQLCopyDesc
00007ffd04f26784 (__TEXT,__text) external _SQLDataSources
00007ffd04f268ac (__TEXT,__text) external _SQLDataSourcesA
00007ffd04f269d4 (__TEXT,__text) external _SQLDataSourcesW
00007ffd04f26310 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffd41a465c0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffd41a465e0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffd41a465e8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffd04f2b096 (__TEXT,__text) external _SQLDescribeCol
00007ffd04f2b283 (__TEXT,__text) external _SQLDescribeColA
00007ffd04f2b470 (__TEXT,__text) external _SQLDescribeColW
00007ffd04f2ade9 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffd04f1efbc (__TEXT,__text) external _SQLDescribeParam
00007ffd04f1d308 (__TEXT,__text) external _SQLDisconnect
00007ffd04f1c373 (__TEXT,__text) external _SQLDriverConnect
00007ffd04f1c514 (__TEXT,__text) external _SQLDriverConnectA
00007ffd04f1c6b5 (__TEXT,__text) external _SQLDriverConnectW
00007ffd04f1a916 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffd04f3f7a2 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffd04f3f7c5 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffd04f27067 (__TEXT,__text) external _SQLDrivers
00007ffd04f2718f (__TEXT,__text) external _SQLDriversA
00007ffd04f272b7 (__TEXT,__text) external _SQLDriversW
00007ffd04f26c37 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffd41a465c4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffd41a465f0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffd41a465f8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffd04f31c94 (__TEXT,__text) external _SQLEndTran
00007ffd04f2265e (__TEXT,__text) external _SQLError
00007ffd04f22743 (__TEXT,__text) external _SQLErrorA
00007ffd04f22828 (__TEXT,__text) external _SQLErrorW
00007ffd04f1e4d8 (__TEXT,__text) external _SQLExecDirect
00007ffd04f1e614 (__TEXT,__text) external _SQLExecDirectA
00007ffd04f1e750 (__TEXT,__text) external _SQLExecDirectW
00007ffd04f1e2a0 (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffd04f1e003 (__TEXT,__text) external _SQLExecute
00007ffd04f1f6da (__TEXT,__text) external _SQLExtendedFetch
00007ffd04f1f440 (__TEXT,__text) external _SQLFetch
00007ffd04f31f58 (__TEXT,__text) external _SQLFetchScroll
00007ffd04f1f288 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffd04f16643 (__TEXT,__text) external _SQLForeignKeys
00007ffd04f16865 (__TEXT,__text) external _SQLForeignKeysA
00007ffd04f16a87 (__TEXT,__text) external _SQLForeignKeysW
00007ffd04f162a2 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffd04f203ac (__TEXT,__text) external _SQLFreeConnect
00007ffd04f2030c (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffd04f21c22 (__TEXT,__text) external _SQLFreeEnv
00007ffd04f21bb1 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffd04f2c4dd (__TEXT,__text) external _SQLFreeHandle
00007ffd04f251da (__TEXT,__text) external _SQLFreeStmt
00007ffd04f24fa9 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffd04f3c35b (__TEXT,__text) non-external _SQLGetConfigMode
00007ffd04f2f11d (__TEXT,__text) external _SQLGetConnectAttr
00007ffd04f2f626 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffd04f2f777 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffd04f2f26e (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffd04f2125c (__TEXT,__text) external _SQLGetConnectOption
00007ffd04f21382 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffd04f214a8 (__TEXT,__text) external _SQLGetConnectOptionW
00007ffd04f2a4f6 (__TEXT,__text) external _SQLGetCursorName
00007ffd04f2a657 (__TEXT,__text) external _SQLGetCursorNameA
00007ffd04f2a7b8 (__TEXT,__text) external _SQLGetCursorNameW
00007ffd04f2a2c5 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffd04f1f863 (__TEXT,__text) external _SQLGetData
00007ffd04f2fb39 (__TEXT,__text) external _SQLGetDescField
00007ffd04f2fcb9 (__TEXT,__text) external _SQLGetDescFieldA
00007ffd04f2fe39 (__TEXT,__text) external _SQLGetDescFieldW
00007ffd04f2f8c8 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffd04f3074f (__TEXT,__text) external _SQLGetDescRec
00007ffd04f30901 (__TEXT,__text) external _SQLGetDescRecA
00007ffd04f30ab3 (__TEXT,__text) external _SQLGetDescRecW
00007ffd04f3054c (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffd04f2450c (__TEXT,__text) external _SQLGetDiagField
00007ffd04f245f4 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffd04f246dc (__TEXT,__text) external _SQLGetDiagFieldW
00007ffd04f233d9 (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffd04f2310c (__TEXT,__text) external _SQLGetDiagRec
00007ffd04f231fb (__TEXT,__text) external _SQLGetDiagRecA
00007ffd04f232ea (__TEXT,__text) external _SQLGetDiagRecW
00007ffd04f2290d (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffd04f2cbef (__TEXT,__text) external _SQLGetEnvAttr
00007ffd04f28039 (__TEXT,__text) external _SQLGetFunctions
00007ffd04f27c34 (__TEXT,__text) external _SQLGetInfo
00007ffd04f27d8b (__TEXT,__text) external _SQLGetInfoA
00007ffd04f27ee2 (__TEXT,__text) external _SQLGetInfoW
00007ffd04f2751a (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffd04f3f192 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffd04f3f1cb (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffd04f3ec0a (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffd04f3ee76 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffd04f2d54c (__TEXT,__text) external _SQLGetStmtAttr
00007ffd04f2d6c2 (__TEXT,__text) external _SQLGetStmtAttrA
00007ffd04f2d838 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffd04f2cdad (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffd04f259fc (__TEXT,__text) external _SQLGetStmtOption
00007ffd04f25b39 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffd04f257fd (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffd04f13428 (__TEXT,__text) external _SQLGetTypeInfo
00007ffd04f13552 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffd04f1367c (__TEXT,__text) external _SQLGetTypeInfoW
00007ffd04f13290 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffd04f1fc14 (__TEXT,__text) external _SQLMoreResults
00007ffd04f1d704 (__TEXT,__text) external _SQLNativeSql
00007ffd04f1d880 (__TEXT,__text) external _SQLNativeSqlA
00007ffd04f1d9fc (__TEXT,__text) external _SQLNativeSqlW
00007ffd04f1d46f (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffd04f1eda8 (__TEXT,__text) external _SQLNumParams
00007ffd04f2ac05 (__TEXT,__text) external _SQLNumResultCols
00007ffd04f1eb19 (__TEXT,__text) external _SQLParamData
00007ffd04f29671 (__TEXT,__text) external _SQLParamOptions
00007ffd04f288e8 (__TEXT,__text) external _SQLPrepare
00007ffd04f28a24 (__TEXT,__text) external _SQLPrepareA
00007ffd04f28b60 (__TEXT,__text) external _SQLPrepareW
00007ffd04f286f0 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffd04f16f07 (__TEXT,__text) external _SQLPrimaryKeys
00007ffd04f170d7 (__TEXT,__text) external _SQLPrimaryKeysA
00007ffd04f172a7 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffd04f16ca9 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffd04f17733 (__TEXT,__text) external _SQLProcedureColumns
00007ffd04f1792a (__TEXT,__text) external _SQLProcedureColumnsA
00007ffd04f17b21 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffd04f17477 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffd04f17f76 (__TEXT,__text) external _SQLProcedures
00007ffd04f18146 (__TEXT,__text) external _SQLProceduresA
00007ffd04f18316 (__TEXT,__text) external _SQLProceduresW
00007ffd04f17d18 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffd04f1e88c (__TEXT,__text) external _SQLPutData
00007ffd04f3bad2 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffd04f3bc3a (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffd04f2a919 (__TEXT,__text) external _SQLRowCount
00007ffd04f3f204 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffd04f2eb4b (__TEXT,__text) external _SQLSetConnectAttr
00007ffd04f2ee9d (__TEXT,__text) external _SQLSetConnectAttrA
00007ffd04f2efdd (__TEXT,__text) external _SQLSetConnectAttrW
00007ffd04f2ec8b (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffd04f20adc (__TEXT,__text) external _SQLSetConnectOption
00007ffd04f20c02 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffd04f20d28 (__TEXT,__text) external _SQLSetConnectOptionW
00007ffd04f28e4b (__TEXT,__text) external _SQLSetCursorName
00007ffd04f28f8d (__TEXT,__text) external _SQLSetCursorNameA
00007ffd04f290cf (__TEXT,__text) external _SQLSetCursorNameW
00007ffd04f28c9c (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffd04f3014d (__TEXT,__text) external _SQLSetDescField
00007ffd04f302a2 (__TEXT,__text) external _SQLSetDescFieldA
00007ffd04f303f7 (__TEXT,__text) external _SQLSetDescFieldW
00007ffd04f2ffb9 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffd04f30c65 (__TEXT,__text) external _SQLSetDescRec
00007ffd04f2c9ff (__TEXT,__text) external _SQLSetEnvAttr
00007ffd04f2cb1c (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffd04f3f730 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffd04f3f741 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffd04f29eb8 (__TEXT,__text) external _SQLSetParam
00007ffd04f1fff6 (__TEXT,__text) external _SQLSetPos
00007ffd04f2997f (__TEXT,__text) external _SQLSetScrollOptions
00007ffd04f2e71c (__TEXT,__text) external _SQLSetStmtAttr
00007ffd04f2e881 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffd04f2e9e6 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffd04f2d9ae (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffd04f25312 (__TEXT,__text) external _SQLSetStmtOption
00007ffd04f256c1 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffd04f2544e (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffd04f13a5a (__TEXT,__text) external _SQLSpecialColumns
00007ffd04f13c47 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffd04f13e34 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffd04f137a6 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffd04f142b6 (__TEXT,__text) external _SQLStatistics
00007ffd04f144b9 (__TEXT,__text) external _SQLStatisticsA
00007ffd04f146bc (__TEXT,__text) external _SQLStatisticsW
00007ffd04f14021 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffd04f18744 (__TEXT,__text) external _SQLTablePrivileges
00007ffd04f18914 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffd04f18ae4 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffd04f184e6 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffd04f14b7b (__TEXT,__text) external _SQLTables
00007ffd04f14d72 (__TEXT,__text) external _SQLTablesA
00007ffd04f14f69 (__TEXT,__text) external _SQLTablesW
00007ffd04f148bf (__TEXT,__text) non-external _SQLTables_Internal
00007ffd04f218c3 (__TEXT,__text) external _SQLTransact
00007ffd04f215ce (__TEXT,__text) non-external _SQLTransact_Internal
00007ffd04f3c446 (__TEXT,__text) non-external _SQLValidDSN
00007ffd04f3c4a5 (__TEXT,__text) non-external _SQLValidDSNW
00007ffd04f3b87d (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffd04f3b928 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffd04f3f365 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffd04f3f586 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffd04f26732 (__TEXT,__text) non-external _SectSorter
00007ffd04f3c3a8 (__TEXT,__text) non-external _ValidDSN
00007ffd04f3c3fa (__TEXT,__text) non-external _ValidDSNW
00007ffd04f3f25b (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffd04f2c8c4 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffd04f1de00 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffd04f1de20 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffd04f3d503 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00007ffd04f3e9a1 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffd41a46630 (__DATA,__common) non-external __iodbc_env_counter
00007ffd04f3be2c (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffd04f2611a (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffd04f261f2 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffd04f1f55d (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffd04f24f56 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffd04f20e4e (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffd04f2aae4 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffd04f251a4 (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffd04f2048b (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffd04f18f1c (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffd04f1fea0 (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffd04f261a7 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffd04f25e71 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffd41a46638 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffd04f262be (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffd04f1338d (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffd04f133e0 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffd04f3dc1e (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffd04f3cef3 (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffd04f3d68b (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffd04f3d332 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffd04f3ce3d (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffd04f2851a (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffd04f3deea (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffd04f3d5cf (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffd04f28597 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffd04f28410 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffd04f3cf24 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffd04f3d5a9 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffd04f1c085 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffd04f3df1c (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffd04f3d3fc (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffd04f285e3 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffd04f3d789 (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffd04f3c075 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffd04f1be1d (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffd04f25f23 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffd04f26023 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffd04f1bf47 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffd04f1df50 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffd04f1df97 (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffd04f1dea6 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffd04f1de9c (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffd04f1dfc8 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffd04f1918e (__TEXT,__text) non-external __iodbcdm_driverload
00007ffd04f19955 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffd04f24e6d (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffd04f20a74 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffd04f18d19 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffd04f21ca8 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffd04f1dd0f (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffd04f3c11b (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffd04f1de4a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffd41a465d8 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffd04f3e0fa (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffd04f3e03a (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffd04f2ad8d (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffd04f2ad31 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffd04f1db78 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffd04f18cc0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffd04f3f75c (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffd04f1bbc0 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffd04f1c279 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffd04f18df3 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffd04f1c1d7 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffd04f21ccb (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffd04f3c0bf (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffd04f1dfa1 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffd04f21d33 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffd04f3c2dd (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffd04f3c28d (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffd04f216ad (__TEXT,__text) non-external __iodbcdm_transact
00007ffd40436530 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffd404371d0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffd40437280 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffd404365f0 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffd40436690 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffd40436d30 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffd40436d70 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffd40436a40 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffd40436dc0 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffd40436de0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffd40436e00 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffd40436af0 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffd40436e30 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffd40436e50 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffd40436500 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffd40436510 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffd40436a10 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffd40436e80 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffd40436ed0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffd40436ef0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffd40436f00 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffd40436f50 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffd40436f70 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffd40436ff0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffd40437000 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffd40437030 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffd40437050 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffd404370d0 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffd40437110 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffd40437120 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffd40437130 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffd40437140 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffd40437160 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffd40437180 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffd404371a0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffd404371b0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffd404370f0 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffd40436640 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffd40436b80 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffd40436b30 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffd40436b60 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffd40437310 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffd40437330 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffd404373f0 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffd40436ba0 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffd40436a30 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffd40436bc0 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffd404366c0 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffd40436790 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffd40437410 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffd404367b0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
