                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80a759cc3 (__TEXT,__text) non-external _au_assemble
00007ff80a762e7c (__TEXT,__text) external _au_to_me
00007ff80a76169f (__TEXT,__text) external _au_to_newgroups
00007ff80a7619c2 (__TEXT,__text) external _au_to_opaque
00007ff80a761be4 (__TEXT,__text) external _au_to_path
00007ff80a761f32 (__TEXT,__text) external _au_to_process
00007ff80a761c7e (__TEXT,__text) external _au_to_process32
00007ff80a761f3c (__TEXT,__text) external _au_to_process32_ex
00007ff80a761db8 (__TEXT,__text) external _au_to_process64
00007ff80a762130 (__TEXT,__text) external _au_to_process64_ex
00007ff80a762345 (__TEXT,__text) external _au_to_process_ex
00007ff80a762468 (__TEXT,__text) external _au_to_return
00007ff80a76234f (__TEXT,__text) external _au_to_return32
00007ff80a7623c7 (__TEXT,__text) external _au_to_return64
00007ff80a762472 (__TEXT,__text) external _au_to_seq
00007ff80a7627ad (__TEXT,__text) external _au_to_sock_inet
00007ff80a762741 (__TEXT,__text) external _au_to_sock_inet128
00007ff80a7626d9 (__TEXT,__text) external _au_to_sock_inet32
00007ff80a762639 (__TEXT,__text) external _au_to_sock_unix
00007ff80a7624dc (__TEXT,__text) external _au_to_socket_ex
00007ff80a762f17 (__TEXT,__text) non-external _au_to_strings
00007ff80a762a6b (__TEXT,__text) external _au_to_subject
00007ff80a7627b7 (__TEXT,__text) external _au_to_subject32
00007ff80a762a75 (__TEXT,__text) external _au_to_subject32_ex
00007ff80a7628f1 (__TEXT,__text) external _au_to_subject64
00007ff80a762c63 (__TEXT,__text) external _au_to_subject64_ex
00007ff80a762e72 (__TEXT,__text) external _au_to_subject_ex
00007ff80a761b4a (__TEXT,__text) external _au_to_text
00007ff80a7636e7 (__TEXT,__text) external _au_to_trailer
00007ff80a76305b (__TEXT,__text) external _au_to_zonename
00007ff80a763a84 (__TEXT,__text) external _au_user_mask
00007ff80a759b74 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff8422a93a8 (__DATA,__bss) non-external _audit_free_q
00007ff80a764e1b (__TEXT,__text) external _audit_get_car
00007ff80a764beb (__TEXT,__text) external _audit_get_class
00007ff80a763fe9 (__TEXT,__text) external _audit_get_cond
00007ff80a764e30 (__TEXT,__text) external _audit_get_ctlmode
00007ff80a764e06 (__TEXT,__text) external _audit_get_cwd
00007ff80a764e61 (__TEXT,__text) external _audit_get_expire_after
00007ff80a764caf (__TEXT,__text) external _audit_get_fsize
00007ff80a764b89 (__TEXT,__text) external _audit_get_kaudit
00007ff80a764c4d (__TEXT,__text) external _audit_get_kmask
00007ff80a764d42 (__TEXT,__text) external _audit_get_pinfo
00007ff80a764d73 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80a7647b2 (__TEXT,__text) external _audit_get_policy
00007ff80a764a0c (__TEXT,__text) external _audit_get_qctrl
00007ff80a76487a (__TEXT,__text) external _audit_get_sflags
00007ff80a7648b5 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80a7599e0 (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80a764da4 (__TEXT,__text) external _audit_get_stat
00007ff8422a93a0 (__DATA,__bss) non-external _audit_rec_count
00007ff80a764b72 (__TEXT,__text) external _audit_send_trigger
00007ff80a764c1c (__TEXT,__text) external _audit_set_class
00007ff80a76474e (__TEXT,__text) external _audit_set_cond
00007ff80a764ce0 (__TEXT,__text) external _audit_set_fsize
00007ff80a764bba (__TEXT,__text) external _audit_set_kaudit
00007ff80a764c7e (__TEXT,__text) external _audit_set_kmask
00007ff80a764d11 (__TEXT,__text) external _audit_set_pmask
00007ff80a764816 (__TEXT,__text) external _audit_set_policy
00007ff80a764abf (__TEXT,__text) external _audit_set_qctrl
00007ff80a764891 (__TEXT,__text) external _audit_set_sflags
00007ff80a764965 (__TEXT,__text) external _audit_set_sflags_mask
00007ff80a764dd5 (__TEXT,__text) external _audit_set_stat
00007ff80a764132 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80a76404d (__TEXT,__text) external _audit_set_terminal_id
00007ff80a7641b3 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80a764082 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80a763c05 (__TEXT,__text) external _audit_submit
00007ff80a757cc0 (__TEXT,__text) external _audit_token_to_asid
00007ff80a757d08 (__TEXT,__text) external _audit_token_to_au32
00007ff80a757ce4 (__TEXT,__text) external _audit_token_to_auid
00007ff80a757ced (__TEXT,__text) external _audit_token_to_egid
00007ff80a757cd2 (__TEXT,__text) external _audit_token_to_euid
00007ff80a757cc9 (__TEXT,__text) external _audit_token_to_pid
00007ff80a757cff (__TEXT,__text) external _audit_token_to_pidversion
00007ff80a757cf6 (__TEXT,__text) external _audit_token_to_rgid
00007ff80a757cdb (__TEXT,__text) external _audit_token_to_ruid
00007ff80a7641e8 (__TEXT,__text) external _audit_write
00007ff80a7644cc (__TEXT,__text) external _audit_write_failure
00007ff80a764590 (__TEXT,__text) external _audit_write_failure_ex
00007ff80a7646f2 (__TEXT,__text) external _audit_write_failure_na
00007ff80a764720 (__TEXT,__text) external _audit_write_failure_na_ex
00007ff80a764654 (__TEXT,__text) external _audit_write_failure_self
00007ff80a764373 (__TEXT,__text) external _audit_write_success
00007ff80a7643f7 (__TEXT,__text) external _audit_write_success_ex
00007ff80a76447b (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff80a766a00 (__TEXT,__const) non-external _bsm_domains
00007ff8422a88b0 (__DATA,__const) non-external _bsm_errnos
00007ff80a766c80 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff80a766c30 (__TEXT,__const) non-external _bsm_socket_types
00007ff80a761303 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff80a760933 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff80a75a884 (__TEXT,__text) external _endac
00007ff80a75a4e4 (__TEXT,__text) external _endauclass
00007ff80a75b215 (__TEXT,__text) external _endauevent
00007ff80a76378f (__TEXT,__text) external _endauuser
00007ff8422a9ae8 (__DATA,__bss) non-external _ev_cache
00007ff80a75b6cf (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff8422a9ae0 (__DATA,__bss) non-external _firsttime
00007ff80a761171 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff8422a95a0 (__DATA,__bss) non-external _fp
00007ff8422a96b0 (__DATA,__bss) non-external _fp
00007ff8422a97c0 (__DATA,__bss) non-external _fp
00007ff8422a9b00 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80a75a8bd (__TEXT,__text) external _getacdir
00007ff80a75aeed (__TEXT,__text) external _getacexpire
00007ff80a75aae8 (__TEXT,__text) external _getacfilesz
00007ff80a75ac38 (__TEXT,__text) external _getacflg
00007ff80a75ae5f (__TEXT,__text) external _getachost
00007ff80a75aa85 (__TEXT,__text) external _getacmin
00007ff80a75acbe (__TEXT,__text) external _getacna
00007ff80a75ad44 (__TEXT,__text) external _getacpol
00007ff80a75add2 (__TEXT,__text) external _getacsflagsmask
00007ff80a75a27b (__TEXT,__text) external _getauclassent
00007ff8422a94a8 (__DATA,__bss) non-external _getauclassent.c
00007ff8422a9460 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff8422a9450 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff8422a94c0 (__DATA,__bss) non-external _getauclassent.cp
00007ff80a75a0df (__TEXT,__text) external _getauclassent_r
00007ff80a75a113 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff80a75a3b6 (__TEXT,__text) external _getauclassnam
00007ff8422a9518 (__DATA,__bss) non-external _getauclassnam.c
00007ff8422a94d0 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff8422a94c8 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff80a75a33f (__TEXT,__text) external _getauclassnam_r
00007ff80a75a47f (__TEXT,__text) external _getauclassnum
00007ff8422a9588 (__DATA,__bss) non-external _getauclassnum.c
00007ff8422a9540 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff8422a9530 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff80a75a41c (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff80a75b7ed (__TEXT,__text) external _getauditflagsbin
00007ff80a75b95c (__TEXT,__text) external _getauditflagschar
00007ff80a75b31f (__TEXT,__text) external _getauevent
00007ff8422a9828 (__DATA,__bss) non-external _getauevent.e
00007ff8422a97f0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff8422a97d0 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff80a75b24e (__TEXT,__text) external _getauevent_r
00007ff80a75b476 (__TEXT,__text) external _getauevnam
00007ff8422a98a8 (__DATA,__bss) non-external _getauevnam.e
00007ff8422a9870 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff8422a9850 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff80a75b389 (__TEXT,__text) external _getauevnam_r
00007ff80a75b6bb (__TEXT,__text) external _getauevnonam
00007ff8422a99d0 (__DATA,__bss) non-external _getauevnonam.event
00007ff80a75b629 (__TEXT,__text) external _getauevnonam_r
00007ff8422a99a8 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff8422a99c8 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff8422a9970 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff8422a9950 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff80a75b5bd (__TEXT,__text) external _getauevnum
00007ff8422a9928 (__DATA,__bss) non-external _getauevnum.e
00007ff8422a98f0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff8422a98d0 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff80a75b4e3 (__TEXT,__text) external _getauevnum_r
00007ff80a763958 (__TEXT,__text) external _getauuserent
00007ff8422a9b48 (__DATA,__bss) non-external _getauuserent.u
00007ff8422a9b10 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff80a7637c8 (__TEXT,__text) external _getauuserent_r
00007ff80a7637fc (__TEXT,__text) non-external _getauuserent_r_locked
00007ff80a763a3a (__TEXT,__text) external _getauusernam
00007ff8422a9b98 (__DATA,__bss) non-external _getauusernam.u
00007ff8422a9b60 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff80a7639cf (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff80a763b44 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff80a75a93e (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff8422a95b0 (__DATA,__bss) non-external _linestr
00007ff8422a96c0 (__DATA,__bss) non-external _linestr
00007ff8422a99e0 (__DATA,__bss) non-external _linestr
00007ff8422a9bb0 (__DATA,__bss) non-external _linestr
00007ff80a7610b2 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff8422a9220 (__DATA,__data) non-external _mutex
00007ff8422a9260 (__DATA,__data) non-external _mutex
00007ff8422a92a0 (__DATA,__data) non-external _mutex
00007ff8422a92e0 (__DATA,__data) non-external _mutex
00007ff8422a9320 (__DATA,__data) non-external _mutex
00007ff8422a9360 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff8422a93b0 (__DATA,__bss) non-external _open_desc_table
00007ff80a7607dc (__TEXT,__text) non-external _print_event
00007ff80a760e11 (__TEXT,__text) non-external _print_group
00007ff80a760ba8 (__TEXT,__text) non-external _print_ip_ex_address
00007ff80a760ec1 (__TEXT,__text) non-external _print_ipctype
00007ff80a760e54 (__TEXT,__text) non-external _print_mem
00007ff80a760f28 (__TEXT,__text) non-external _print_retval
00007ff80a7608a2 (__TEXT,__text) non-external _print_sec32
00007ff80a760c52 (__TEXT,__text) non-external _print_sec64
00007ff80a760ce2 (__TEXT,__text) non-external _print_string
00007ff80a760468 (__TEXT,__text) non-external _print_tok_type
00007ff80a760dce (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80a75a7e8 (__TEXT,__text) external _setac
00007ff80a75a810 (__TEXT,__text) non-external _setac_locked
00007ff8422a96b8 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff80a75a30d (__TEXT,__text) external _setauclass
00007ff80a75b1e3 (__TEXT,__text) external _setauevent
00007ff80a76375d (__TEXT,__text) external _setauuser
00007ff80a75b0bd (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff8422a9af0 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
