                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _IOConnectCallScalarMethod (from IOKit)
                 (undefined) external _IOConnectRelease (from IOKit)
                 (undefined) external _IOIteratorIsValid (from IOKit)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperties (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryCreateIterator (from IOKit)
                 (undefined) external _IORegistryEntryGetChildEntry (from IOKit)
                 (undefined) external _IORegistryEntryGetChildIterator (from IOKit)
                 (undefined) external _IORegistryEntryGetName (from IOKit)
                 (undefined) external _IORegistryGetRootEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceNameMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffb185b0aa1 (__TEXT,__text) external _NFCalibrationGetData
00007ffb185abb9b (__TEXT,__text) external _NFHardwareInterfaceSetSPMIConfig
00007ffb185ab8ea (__TEXT,__text) external _NFHardwareInterfaceSetVBAT
00007ffb185abb7a (__TEXT,__text) external _NFHardwareInterfaceValidateSPMIConfig
00007ffb185abbc6 (__TEXT,__text) external _NFHardwareInterfaceWasItNACK
00007ffb185abaa0 (__TEXT,__text) external _NFHardwareInterfaceWrite
00007ffb185a55df (__TEXT,__text) external _NFHardwareLoad
00007ffb185a42b9 (__TEXT,__text) external _NFHardwareRelayClose
00007ffb185a255a (__TEXT,__text) external _NFHardwareRelayDataClose
00007ffb185a2cea (__TEXT,__text) external _NFHardwareRelayDataFlush
00007ffb185a24e0 (__TEXT,__text) external _NFHardwareRelayDataOpen
00007ffb185a28c1 (__TEXT,__text) external _NFHardwareRelayDataRead
00007ffb185a2a8e (__TEXT,__text) external _NFHardwareRelayDataReadAbort
00007ffb185a2d3c (__TEXT,__text) external _NFHardwareRelayDataReset
00007ffb185a25bd (__TEXT,__text) external _NFHardwareRelayDataSetBaudRate
00007ffb185a25ad (__TEXT,__text) external _NFHardwareRelayDataSetLogFunction
00007ffb185a2ac5 (__TEXT,__text) external _NFHardwareRelayDataWrite
00007ffb185a2ea1 (__TEXT,__text) external _NFHardwareRelayGPIOClose
00007ffb185a3083 (__TEXT,__text) external _NFHardwareRelayGPIOIsHostWakeCapable
00007ffb185a2d44 (__TEXT,__text) external _NFHardwareRelayGPIOOpen
00007ffb185a3030 (__TEXT,__text) external _NFHardwareRelayGPIOSetDeviceWake
00007ffb185a2f37 (__TEXT,__text) external _NFHardwareRelayGPIOSetDownloadRequest
00007ffb185a2f8a (__TEXT,__text) external _NFHardwareRelayGPIOSetIcefallDownloadRequest
00007ffb185a2fdd (__TEXT,__text) external _NFHardwareRelayGPIOSetPMUStandbyPowerEnabled
00007ffb185a2ee7 (__TEXT,__text) external _NFHardwareRelayGPIOSetPower
00007ffb185a30b2 (__TEXT,__text) external _NFHardwareRelayIsSupported
00007ffb185a4486 (__TEXT,__text) external _NFHardwareRelayOpen
00007ffb185a4116 (__TEXT,__text) external _NFHardwareRelayRPC
00007ffb185a4d45 (__TEXT,__text) external _NFHardwareRelayRead
00007ffb185a4fe6 (__TEXT,__text) external _NFHardwareRelayReadAbort
00007ffb185a53f8 (__TEXT,__text) external _NFHardwareRelayReceiveMessage
00007ffb185a51f0 (__TEXT,__text) external _NFHardwareRelaySendMessage
00007ffb185a5546 (__TEXT,__text) external _NFHardwareRelaySendMessageWithReply
00007ffb185a8709 (__TEXT,__text) external _NFHardwareSerialClose
00007ffb185ab041 (__TEXT,__text) external _NFHardwareSerialDebugDump
00007ffb185aa931 (__TEXT,__text) external _NFHardwareSerialDebugDump_wCB
00007ffb185aa6fb (__TEXT,__text) external _NFHardwareSerialDebugLastMessage
00007ffb185aa708 (__TEXT,__text) external _NFHardwareSerialDebugLog
00007ffb185ab04d (__TEXT,__text) external _NFHardwareSerialDebugMaxEntriesPrinted
00007ffb185a6b69 (__TEXT,__text) external _NFHardwareSerialDump
00007ffb185a751a (__TEXT,__text) external _NFHardwareSerialFlush
00007ffb185a8826 (__TEXT,__text) external _NFHardwareSerialGetCTS
00007ffb185a604c (__TEXT,__text) external _NFHardwareSerialGetDefaultInterfaceType
00007ffb185a8808 (__TEXT,__text) external _NFHardwareSerialHasCTS
00007ffb185a6892 (__TEXT,__text) external _NFHardwareSerialIsHammerfestAlive
00007ffb185a6a93 (__TEXT,__text) external _NFHardwareSerialIsSupported
00007ffb185a7da2 (__TEXT,__text) external _NFHardwareSerialOpen
00007ffb185a8800 (__TEXT,__text) external _NFHardwareSerialPower
00007ffb185a6d52 (__TEXT,__text) external _NFHardwareSerialRead
00007ffb185a6b73 (__TEXT,__text) external _NFHardwareSerialReadAbort
00007ffb185a7823 (__TEXT,__text) external _NFHardwareSerialReset
00007ffb185a7a2b (__TEXT,__text) external _NFHardwareSerialSetBaudRate
00007ffb185a8aab (__TEXT,__text) external _NFHardwareSerialSetCRCEnabled
00007ffb185a7d8f (__TEXT,__text) external _NFHardwareSerialSetLogFunction
00007ffb185a8c0c (__TEXT,__text) external _NFHardwareSerialSetOnDemandClientMode
00007ffb185aa6f5 (__TEXT,__text) external _NFHardwareSerialSetPrimary
00007ffb185a72f8 (__TEXT,__text) external _NFHardwareSerialWrite
00007ffb185a558e (__TEXT,__text) external _NFHardwareSetLogFunc
00007ffb185a55ee (__TEXT,__text) external _NFHardwareUnload
                 (undefined) external _NFIsRestoreOS (from libnfshared)
                 (undefined) external _NFProductIsDevBoard (from libnfshared)
00007ffb185aa2e6 (__TEXT,__text) external _NFSharedDumpTransport
00007ffb185a9b70 (__TEXT,__text) external _NFSharedLogLock
00007ffb185a9c14 (__TEXT,__text) external _NFSharedLogOpen2
00007ffb185a9b64 (__TEXT,__text) external _NFSharedLogSetSynchronousLogging
00007ffb185aa548 (__TEXT,__text) external _NFSharedLogTransport
00007ffb185a9c03 (__TEXT,__text) external _NFSharedLogUnlock
00007ffb185aa2be (__TEXT,__text) external _NFSharedLogv
00007ffb185aa2d5 (__TEXT,__text) external _NFSharedLogv_GreenTea
00007ffb185a9efd (__TEXT,__text) external _NFSharedMiddlewareSignpostLog
00007ffb185a9ef0 (__TEXT,__text) external _NFSharedSignpostLog
                 (undefined) external _NFSimulateCrash (from libnfshared)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb185a9f49 (__TEXT,__text) external __NFSharedLogClose
00007ffb185a9dd9 (__TEXT,__text) external __NFSharedLogOpen
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb185a9fe1 (__TEXT,__text) external ___NFSharedLogv
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
                 (undefined) external __dispatch_source_type_timer (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __os_signpost_emit_with_name_impl (from libSystem)
                 (undefined) external _abort (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cfmakeraw (from libSystem)
                 (undefined) external _cfsetispeed (from libSystem)
                 (undefined) external _cfsetospeed (from libSystem)
                 (undefined) external _cfsetspeed (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _connect (from libSystem)
                 (undefined) external _dispatch_activate (from libSystem)
                 (undefined) external _dispatch_assert_queue$V2 (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_group_async (from libSystem)
                 (undefined) external _dispatch_group_create (from libSystem)
                 (undefined) external _dispatch_group_wait (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_qos_class (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_queue_create_with_target$V2 (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_resume (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_source_cancel (from libSystem)
                 (undefined) external _dispatch_source_create (from libSystem)
                 (undefined) external _dispatch_source_set_event_handler (from libSystem)
                 (undefined) external _dispatch_source_set_timer (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
00007ffb42fb7630 (__DATA,__common) external _gNFHardwareLogv
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kIOMainPortDefault (from IOKit)
                 (undefined) external _kevent (from libSystem)
                 (undefined) external _kqueue (from libSystem)
                 (undefined) external _mach_absolute_time (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _open (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_release (from libSystem)
                 (undefined) external _os_signpost_enabled (from libSystem)
                 (undefined) external _os_variant_has_internal_diagnostics (from libSystem)
00007ffb185b1152 (__TEXT,__text) external _phOsalNf_GetTimestamp
00007ffb185b114a (__TEXT,__text) external _phOsalNfc_CloseLogFile
00007ffb185b115c (__TEXT,__text) external _phOsalNfc_DeInit
00007ffb185b0d5f (__TEXT,__text) external _phOsalNfc_Delay
00007ffb185b1426 (__TEXT,__text) external _phOsalNfc_FreeLibrary
00007ffb185b0d4e (__TEXT,__text) external _phOsalNfc_FreeMemory
00007ffb185b0d3a (__TEXT,__text) external _phOsalNfc_GetMemory
00007ffb185b1005 (__TEXT,__text) external _phOsalNfc_Init
00007ffb185b118d (__TEXT,__text) external _phOsalNfc_LoadLibrary
00007ffb185aea3d (__TEXT,__text) external _phOsalNfc_LogBool
00007ffb185aea8d (__TEXT,__text) external _phOsalNfc_LogFunc
00007ffb185aeabc (__TEXT,__text) external _phOsalNfc_LogHexData
00007ffb185ae838 (__TEXT,__text) external _phOsalNfc_LogStr
00007ffb185ae980 (__TEXT,__text) external _phOsalNfc_LogU32
00007ffb185ae9bf (__TEXT,__text) external _phOsalNfc_LogX32
00007ffb185ae9fe (__TEXT,__text) external _phOsalNfc_LogX64
00007ffb185b0d6f (__TEXT,__text) external _phOsalNfc_MemCompare
00007ffb185b0dc0 (__TEXT,__text) external _phOsalNfc_MemCopy
00007ffb185b1142 (__TEXT,__text) external _phOsalNfc_OpenLogFile
00007ffb185b0ff4 (__TEXT,__text) external _phOsalNfc_RaiseException
00007ffb185b0dcd (__TEXT,__text) external _phOsalNfc_RaiseExceptionWithDescription
00007ffb185b0da5 (__TEXT,__text) external _phOsalNfc_SetMemory
00007ffb185af20c (__TEXT,__text) external _phOsalNfc_SignPostLogFunc
00007ffb185b091c (__TEXT,__text) external _phOsalNfc_SignPostLogHexData
00007ffb185aeac2 (__TEXT,__text) external _phOsalNfc_SignPostLogStr
00007ffb185afaed (__TEXT,__text) external _phOsalNfc_SignPostLogTimerEvents
00007ffb185aee80 (__TEXT,__text) external _phOsalNfc_SignPostLogX32
00007ffb185ae33f (__TEXT,__text) external _phOsalNfc_Timer_Create
00007ffb185ae20c (__TEXT,__text) external _phOsalNfc_Timer_Deinit
00007ffb185ae6e2 (__TEXT,__text) external _phOsalNfc_Timer_Delete
00007ffb185adef3 (__TEXT,__text) external _phOsalNfc_Timer_Init
00007ffb185ae3cb (__TEXT,__text) external _phOsalNfc_Timer_Start
00007ffb185ae66e (__TEXT,__text) external _phOsalNfc_Timer_Stop
00007ffb185b1443 (__TEXT,__text) external _phOsalNfc_setHardwareType
00007ffb185ad763 (__TEXT,__text) external _phTmlNfc_ConfigHsuBaudRate
00007ffb185adee8 (__TEXT,__text) external _phTmlNfc_ConfigureSpmi
00007ffb185acfe5 (__TEXT,__text) external _phTmlNfc_FlushTxRxBuffers
00007ffb185add24 (__TEXT,__text) external _phTmlNfc_GetHsuMaxBaudRate
00007ffb185abd38 (__TEXT,__text) external _phTmlNfc_Init
00007ffb185ad0aa (__TEXT,__text) external _phTmlNfc_IoCtl
00007ffb185ac9b0 (__TEXT,__text) external _phTmlNfc_Read
00007ffb185acedc (__TEXT,__text) external _phTmlNfc_ReadAbort
00007ffb185ade5a (__TEXT,__text) external _phTmlNfc_SetGetSpmiDrvConfigRegs
00007ffb185ac150 (__TEXT,__text) external _phTmlNfc_Shutdown
00007ffb185addcc (__TEXT,__text) external _phTmlNfc_SpmiDrvErrorStatus
00007ffb185ac49c (__TEXT,__text) external _phTmlNfc_Write
00007ffb185acde8 (__TEXT,__text) external _phTmlNfc_WriteAbort
                 (undefined) external _postAWDMiddlewareExceptionEvent (from libnfshared)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_destroy (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _recv (from libSystem)
                 (undefined) external _remote_device_cancel (from RemoteServiceDiscovery)
                 (undefined) external _remote_device_copy_service (from RemoteServiceDiscovery)
                 (undefined) external _remote_device_copy_unique_of_type (from RemoteServiceDiscovery)
                 (undefined) external _remote_device_set_connected_callback (from RemoteServiceDiscovery)
                 (undefined) external _remote_device_set_disconnected_callback (from RemoteServiceDiscovery)
                 (undefined) external _remote_service_create_connected_socket (from RemoteServiceDiscovery)
                 (undefined) external _remote_service_set_connect_timeout (from RemoteServiceDiscovery)
                 (undefined) external _send (from libSystem)
                 (undefined) external _setsockopt (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _socket (from libSystem)
                 (undefined) external _socketpair (from libSystem)
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _tcgetattr (from libSystem)
                 (undefined) external _tcsetattr (from libSystem)
                 (undefined) external _usleep (from libSystem)
                 (undefined) external _vasprintf (from libSystem)
                 (undefined) external _write (from libSystem)
