00000001f874b648 (__TEXT,__text) non-external +[MGDaemon daemon]
00000001f874a5e8 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneIdentifierInHome
00000001f874a548 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneInHome
00000001f8749b44 (__TEXT,__text) non-external (was a private external) _MGHomeUniqueIdentifierForAccessory
00000001f874aad4 (__TEXT,__text) non-external (was a private external) _MGLogForCategory
000000021808edd8 (__DATA_CONST,__const) non-external _MGLogForCategory.categories
000000021b1536c8 (__DATA,__common) non-external (was a private external) _MGLogForCategory.onceToken
000000021b1536a0 (__DATA,__common) non-external (was a private external) _MGLogForCategory.oslog
00000001f8749b3c (__TEXT,__text) non-external (was a private external) _MGSetDaemonXPCInterfacesOnConnection
00000001f87495e8 (__TEXT,__text) non-external (was a private external) _MGSetServiceXPCInterfacesOnConnection
00000001f8751228 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionNumber
00000001f87511e8 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionString
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _OBJC_CLASS_$_MGAppleTVAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGAudioReceiverAccessory (from MediaGroups)
000000021d10b250 (__AUTH,__objc_data) external _OBJC_CLASS_$_MGDaemon
                 (undefined) external _OBJC_CLASS_$_MGGroup (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGGroupIdentifier (from MediaGroups)
000000021d10b098 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsActivity
000000021d10b070 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsMediator
000000021d10b160 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsQueryAgent
000000021d10b188 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsQueryOperation
                 (undefined) external _OBJC_CLASS_$_MGHome (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGHomePodAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGMediaSystem (from MediaGroups)
000000021d10b200 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGOutstandingQuery
                 (undefined) external _OBJC_CLASS_$_MGRoom (from MediaGroups)
000000021d10b2a0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClient
000000021d10b2f0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClientSet
000000021d10b110 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_CLASS_$_MGSoloDevice (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGSpeakerAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGZone (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOperation (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSOperationQueue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLQueryItem (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
000000021b153434 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._clients
000000021b153430 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._dispatchQueue
000000021b153438 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._groupsMediator
000000021b15342c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listener
000000021b153428 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listenerProvider
000000021b153440 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._queryAgent
000000021b15343c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._topologyRequestHandler
000000021b1533d4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._name
000000021b1533d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._when
000000021b1533d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._activities
000000021b1533c4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._groups
000000021b1533c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._lock
000000021b1533c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._pendingChanges
000000021b1533cc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._queryAgent
000000021b153400 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._containers
000000021b1533fc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._currentIdentifier
000000021b1533ec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._delegate
000000021b1533f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._groups
000000021b1533e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._lock
000000021b1533f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._operations
000000021b153408 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queries
000000021b1533f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queue
000000021b153404 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._variables
000000021b153420 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._identifier
000000021b153424 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._predicate
000000021b15341c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._requiresTopology
000000021b153448 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._connection
000000021b153444 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._lock
000000021b15344c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._queries
000000021b153450 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._transaction
000000021b153458 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._clients
000000021b153454 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._lock
000000021b1533dc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._dispatchQueue
000000021b1533e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._entitlement
000000021b1533e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._serviceName
000000021d10b278 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MGDaemon
000000021d10b0e8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsActivity
000000021d10b0c0 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsMediator
000000021d10b1b0 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryAgent
000000021d10b1d8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryOperation
000000021d10b228 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGOutstandingQuery
000000021d10b2c8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClient
000000021d10b318 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClientSet
000000021d10b138 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_METACLASS_$_NSOperation (from Foundation)
00000001f8747954 (__TEXT,__text) non-external __AddContainmentForGroup
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00000001f874a154 (__TEXT,__text) non-external __MGGroupIdentifierHomeKitComponents
000000021b15340c (__DATA,__objc_ivar) non-external __MergedGlobals
000000021b1536d0 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSIsNSString (from CoreFoundation)
00000001f8750f08 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_MGDaemon
00000001f8750f20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGDaemon
00000001f8750b60 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsActivity
00000001f8750bb0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsMediator
00000001f8750d20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryAgent
00000001f8750e58 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryOperation
00000001f8750eb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGOutstandingQuery
00000001f87510c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClient
00000001f8751180 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClientSet
00000001f8750cc0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceListenerProvider
000000021808ff28 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGDaemon
000000021808f030 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsActivity
000000021808ef08 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsMediator
000000021808f5c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryAgent
000000021808f7b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryOperation
000000021808fa00 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGOutstandingQuery
0000000218090110 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClient
0000000218090218 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClientSet
000000021808f498 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceListenerProvider
0000000218090010 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGDaemon
000000021808f078 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsActivity
000000021808efb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsMediator
000000021808f6e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryAgent
000000021808f840 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryOperation
000000021808fa68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGOutstandingQuery
0000000218090198 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClient
0000000218090260 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClientSet
000000021808f500 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceListenerProvider
000000021808f290 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
000000021808fc90 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
000000021808f888 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGClientInterfaceProtocol
