00007ffb0e6952bd (__TEXT,__text) external _LLVMExtraCreateBinary
00007ffb0e692629 (__TEXT,__text) external _MTLGPUCompilerDisableMeshEmulation
00007ffb0e69254e (__TEXT,__text) external _MTLGPUCompilerEnable16BitTextureCoordinateEmulation
00007ffb0e692560 (__TEXT,__text) external _MTLGPUCompilerEnableBFloatEmulation
00007ffb0e692573 (__TEXT,__text) external _MTLGPUCompilerEnableDegenerateVertexAmplificationEmulation
00007ffb0e692586 (__TEXT,__text) external _MTLGPUCompilerEnableExternallyInitializedVariableSupport
00007ffb0e692599 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBindingInDylibSupport
00007ffb0e6925ac (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBuiltinInDylibSupport
00007ffb0e692601 (__TEXT,__text) external _MTLGPUCompilerEnableMeshFragmentEmulation
00007ffb0e6925bf (__TEXT,__text) external _MTLGPUCompilerEnableMeshKernelEmulation
00007ffb0e6925e0 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVertexEmulation
00007ffb0e692615 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVisibleOrDylibEmulation
00007ffb0e6926f5 (__TEXT,__text) external _MTLGPUCompilerEnableRaytracingEmulation
00007ffb0e69272c (__TEXT,__text) external _MTLGPUCompilerEnableResourcePatchingInstrumentation
00007ffb0e69273f (__TEXT,__text) external _MTLGPUCompilerEnableResourceUsageInstrumentation
00007ffb0e692752 (__TEXT,__text) external _MTLGPUCompilerEnableTLSEmulation
00007ffb0e692765 (__TEXT,__text) external _MTLGPUCompilerHandleSPIs
00007ffb0e690396 (__TEXT,__text) external _MTLGPUCompilerLink
00007ffb0e6905ae (__TEXT,__text) external _MTLGPUCompilerLinkToBuffer
00007ffb0e6907b4 (__TEXT,__text) external _MTLGPUCompilerLinkToFD
00007ffb0e691b3a (__TEXT,__text) external _MTLGPUCompilerLoadModules
00007ffb0e691cfb (__TEXT,__text) external _MTLGPUCompilerLoadModulesToBuffer
00007ffb0e691ebc (__TEXT,__text) external _MTLGPUCompilerLoadModulesToFD
00007ffb0e692b8a (__TEXT,__text) external _MTLGPUCompilerLowerModule
00007ffb0e692cbd (__TEXT,__text) external _MTLGPUCompilerLowerModuleToBuffer
00007ffb0e6921b0 (__TEXT,__text) external _MTLGPUCompilerSetFunctionGroups
00007ffb0e691b16 (__TEXT,__text) external _MTLGPUCompilerSetLoaderScript
00007ffb0e691b27 (__TEXT,__text) external _MTLGPUCompilerSetLoadingMode
00007ffb0e692851 (__TEXT,__text) external _MTLGPUCompilerSetLoweringRuntimes
00007ffb0e69265e (__TEXT,__text) external _MTLGPUCompilerSetMeshEmulationUsedFragmentInputs
00007ffb0e692708 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationIndirectAccelerationStructures
00007ffb0e69271b (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationMaxAccelerationStructureTraversalDepth
00007ffb0e6921c1 (__TEXT,__text) external _MTLGPUCompilerSetStitcherScript
00007ffb0e6915fe (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibrary
00007ffb0e6917a6 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToBuffer
00007ffb0e69194e (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToFD
00007ffb0e6910e6 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunction
00007ffb0e69128e (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToBuffer
00007ffb0e691436 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToFD
00007ffb0e692203 (__TEXT,__text) external _MTLGPUCompilerStitchFunctions
00007ffb0e692316 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToBuffer
00007ffb0e692429 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToFD
00007ffb0e697a4f (__TEXT,__text) external _MTLMetalDynamicLibraryGetInstallName
00007ffb0e6974b7 (__TEXT,__text) external _MTLMetalFunctionCreate
00007ffb0e6976b2 (__TEXT,__text) external _MTLMetalFunctionDestroy
00007ffb0e697725 (__TEXT,__text) external _MTLMetalFunctionGetAIRVersion
00007ffb0e697799 (__TEXT,__text) external _MTLMetalFunctionGetAlias
00007ffb0e6976ef (__TEXT,__text) external _MTLMetalFunctionGetKind
00007ffb0e69775f (__TEXT,__text) external _MTLMetalFunctionGetMetalVersion
00007ffb0e697712 (__TEXT,__text) external _MTLMetalFunctionGetModule
00007ffb0e6976e5 (__TEXT,__text) external _MTLMetalFunctionGetName
00007ffb0e697a46 (__TEXT,__text) external _MTLMetalImportedSymbolGetName
00007ffb0e6968c9 (__TEXT,__text) external _MTLMetalLibCreateCoreImage
00007ffb0e696846 (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTriple
00007ffb0e696980 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibrary
00007ffb0e6968da (__TEXT,__text) external _MTLMetalLibCreateDynamicLibraryWithTriple
00007ffb0e696835 (__TEXT,__text) external _MTLMetalLibCreateExecutable
00007ffb0e6967b2 (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTriple
00007ffb0e696994 (__TEXT,__text) external _MTLMetalLibDestroy
00007ffb0e6985de (__TEXT,__text) external _MTLMetalLibGetAsObject
00007ffb0e697461 (__TEXT,__text) external _MTLMetalLibGetDynamicLibrariesCount
00007ffb0e697479 (__TEXT,__text) external _MTLMetalLibGetDynamicLibraryNo
00007ffb0e6969ce (__TEXT,__text) external _MTLMetalLibGetFunctionNo
00007ffb0e6969b6 (__TEXT,__text) external _MTLMetalLibGetFunctionsCount
00007ffb0e697435 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolNo
00007ffb0e69741d (__TEXT,__text) external _MTLMetalLibGetImportedSymbolsCount
00007ffb0e697448 (__TEXT,__text) external _MTLMetalLibGetInstallName
00007ffb0e6974a4 (__TEXT,__text) external _MTLMetalLibGetModuleNo
00007ffb0e69748c (__TEXT,__text) external _MTLMetalLibGetModulesCount
00007ffb0e69703b (__TEXT,__text) external _MTLMetalLibGetVariableNo
00007ffb0e697023 (__TEXT,__text) external _MTLMetalLibGetVariablesCount
00007ffb0e6969e1 (__TEXT,__text) external _MTLMetalLibInsertFunction
00007ffb0e69704e (__TEXT,__text) external _MTLMetalLibInsertVariable
00007ffb0e6977a3 (__TEXT,__text) external _MTLMetalVariableCreate
00007ffb0e697989 (__TEXT,__text) external _MTLMetalVariableDestroy
00007ffb0e6979c8 (__TEXT,__text) external _MTLMetalVariableGetAIRVersion
00007ffb0e697a3c (__TEXT,__text) external _MTLMetalVariableGetAlias
00007ffb0e697a02 (__TEXT,__text) external _MTLMetalVariableGetMetalVersion
00007ffb0e6979b5 (__TEXT,__text) external _MTLMetalVariableGetModule
00007ffb0e6979ab (__TEXT,__text) external _MTLMetalVariableGetName
00007ffb0e6985c2 (__TEXT,__text) external _MTLModuleGetAsObject
00007ffb0e6983ba (__TEXT,__text) external _MTLObjectCreate
00007ffb0e698532 (__TEXT,__text) external _MTLObjectDestroy
00007ffb0e698604 (__TEXT,__text) external _MTLObjectGetAsArchive
00007ffb0e698629 (__TEXT,__text) external _MTLObjectGetAsMetalLib
00007ffb0e6985ec (__TEXT,__text) external _MTLObjectGetAsModule
00007ffb0e68e2c2 (__TEXT,__text) external _MTLUpgradeAIRModule
00007ffb0e68e63e (__TEXT,__text) external _MTLVerifyAIRModule
00007ffb0e68e651 (__TEXT,__text) external _MTLWriteAIRBitcodeToMemoryBuffer
00007ffb0e68e73b (__TEXT,__text) external _MTLWriteAIRReflectionToMemoryBuffer
00007ffb0e697a58 (__TEXT,__text) external _MTLWriteMetalLibToMemoryBuffer
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary25findInExplicitLoadedImageEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary26findInImplicitLoadedImagesEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryC1EPKvPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm10TimerGroupD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoInfsEb (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoNaNsEb (from libLLVM)
                 (undefined) external __ZN4llvm11NamedMDNode10setOperandEjPNS_6MDNodeE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream14flush_nonemptyEv (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream16SetBufferAndModeEPcmNS0_10BufferKindE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamD2Ev (from libLLVM)
                 (undefined) external __ZN4llvm12MemoryBuffer16getMemBufferCopyENS_9StringRefERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm13ErrorInfoBase2IDE (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl11RehashTableEj (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl15LookupBucketForENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamC1EibbNS_11raw_ostream11OStreamKindE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm15MemoryBufferRefC1ERKNS_12MemoryBufferE (from libLLVM)
                 (undefined) weak external __ZN4llvm15SmallVectorBaseIjE13mallocForGrowEmmRm (from libLLVM)
                 (undefined) weak external __ZN4llvm15SmallVectorBaseIyE8grow_podEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm15ValueHandleBase17RemoveFromUseListEv (from libLLVM)
                 (undefined) external __ZN4llvm15allocate_bufferEmm (from libLLVM)
                 (undefined) external __ZN4llvm16IRChangedPrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm17TimePassesHandler5printEv (from libLLVM)
                 (undefined) external __ZN4llvm17deallocate_bufferEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm18report_fatal_errorERKNS_5TwineEb (from libLLVM)
                 (undefined) external __ZN4llvm19InLineChangePrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20DotCfgChangeReporterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm22PrintIRInstrumentationD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm3air10Reflection6createERKNS_6ModuleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10ScriptFile6createENS_15MemoryBufferRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air15verifyAIRModuleERKNS_6ModuleENS0_17VerificationLevelE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16MetalDefinedSymbC2ENSt3__110shared_ptrINS_6ModuleEEENS_9StringRefES6_NS1_10SymbolFlagENS3_INS0_11MetalSourceEEENS_8ArrayRefIS9_EENSA_IhEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16upgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air18downgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriter5writeEv (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriterC1ERKNS0_8MetalLibERNS_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air21WriteAIRBitcodeToFileEPKNS_6ModuleERNS_11raw_ostreamENS0_14BitcodeVersionEb (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air28NormalizeModuleForAIRBitcodeEPNS_6ModuleENS0_14BitcodeVersionE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air7Archive9addMemberENS_9StringRefENSt3__110unique_ptrINS_6ModuleENS3_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm5MachO26getArchitectureFromCpuTypeEjj (from libLLVM)
                 (undefined) external __ZN4llvm5TimerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6ModuleD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6SHA256D1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6TripleC1ERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm6legacy11PassManagerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6object12createBinaryENS_15MemoryBufferRefEPNS_11LLVMContextEb (from libLLVM)
                 (undefined) external __ZN4llvm7MDTuple7getImplERNS_11LLVMContextENS_8ArrayRefIPNS_8MetadataEEENS4_11StorageTypeEb (from libLLVM)
                 (undefined) external __ZN4llvm7airdyld6Loader17setFunctionGroupsENS_15MutableArrayRefINSt3__110unique_ptrINS_3air13FunctionGroupENS3_14default_deleteIS6_EEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm8Function9addFnAttrENS_9StringRefES1_ (from libLLVM)
                 (undefined) external __ZN4llvm8MDString3getERNS_11LLVMContextENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm9ErrorList2IDE (from libLLVM)
                 (undefined) external __ZN7metalfe11GPUArchiver10dumpToFileERN4llvm11raw_ostreamES3_ (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11addPipelineEjN4llvm8ArrayRefINS_16GPUArchiverIndexEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11buildToFileERN4llvm11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11setUnitHashENS_16GPUArchiverIndexEN4llvm8ArrayRefIjEENS3_IA32_hEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12createWriterENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12dumpToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13addDescriptorEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13buildToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver14setInstallNameEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setActivePlatformENS_25GPUArchiverActivePlatformERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setUnitReflectionENS_16GPUArchiverIndexEPKN4llvm12MemoryBufferES5_RNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18createWriterWithIdENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver5flushERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver6createEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addToolEN4llvm5MachO12ArchitectureEjRKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addUnitEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9packUnitsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9setTargetEN4llvm5MachO12PlatformTypeERKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiverD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10handleSPIsEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10loadToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12loadToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12stitchToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13lowerToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler14stitchToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler17setStitcherScriptENSt3__110unique_ptrIN4llvm3air10ScriptFileENS1_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler18specializeFunctionERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler24specializeDynamicLibraryERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler24specializeFunctionToFileERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler26specializeFunctionToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler30specializeDynamicLibraryToFileERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler32specializeDynamicLibraryToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler4loadERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler5lowerERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler6stitchERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompilerC1Eb (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm11NamedMDNode10getOperandEj (from libLLVM)
                 (undefined) external __ZNK4llvm11NamedMDNode14getNumOperandsEv (from libLLVM)
                 (undefined) external __ZNK4llvm12MemoryBuffer15getMemBufferRefEv (from libLLVM)
                 (undefined) external __ZNK4llvm3air16MetalDefinedSymb13getAIRVersionEv (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm3air16MetalDefinedSymb15getMetalVersionEv (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm3air16MetalDefinedSymb30ensureModuleReferencesAreAliveEv (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm6Module16getNamedMetadataERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile17getSymbolImplNameENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile17getSymbolImplSizeENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile20getSymbolImplAddressENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object20MachOUniversalBinary18getIRObjectForArchENS_9StringRefERNS_11LLVMContextE (from libLLVM)
                 (undefined) external __ZNK4llvm8Function14getFnAttributeENS_9StringRefE (from libLLVM)
                 (undefined) external __ZNK4llvm8Function14hasFnAttributeENS_9StringRefE (from libLLVM)
                 (undefined) external __ZNK4llvm8MDString9getStringEv (from libLLVM)
                 (undefined) external __ZNK4llvm9Attribute16getValueAsStringEv (from libLLVM)
                 (undefined) external __ZNKSt3__119__shared_weak_count13__get_deleterERKSt9type_info (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6appendEPKcm (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE7reserveEm (from libc++)
                 (undefined) external __ZNSt3__119__shared_weak_count14__release_weakEv (from libc++)
                 (undefined) external __ZNSt3__119__shared_weak_countD2Ev (from libc++)
                 (undefined) external __ZNSt3__15mutex4lockEv (from libc++)
                 (undefined) external __ZNSt3__15mutex6unlockEv (from libc++)
                 (undefined) external __ZNSt3__15mutexD1Ev (from libc++)
                 (undefined) external __ZTVN4llvm19raw_svector_ostreamE (from libLLVM)
                 (undefined) external __ZTVN4llvm9ErrorListE (from libLLVM)
                 (undefined) weak external __ZdaPv (from libc++)
                 (undefined) weak external __ZdlPv (from libc++)
                 (undefined) weak external __Znwm (from libc++)
                 (undefined) external ___cxa_atexit (from libSystem)
                 (undefined) external ___cxa_guard_acquire (from libc++)
