00007ffc0d9b74ba (__TEXT,__text) external _AAAFSCGetMetadata
00007ffc0d9a6c59 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffc0d9a626b (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffc0d9a6b49 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffc0d9a6d61 (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffc0d9a6187 (__TEXT,__text) external _AAHeaderGetFieldType
00007ffc0d9a6ac4 (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffc0d9a6a8d (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffc0d9a7b72 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffc0d9a66dc (__TEXT,__text) external _AAHeaderRemoveField
00007ffc0d9a7966 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffc0d9a6e83 (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffc0d9a7519 (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffc0d9a72dc (__TEXT,__text) external _AAHeaderSetFieldString
00007ffc0d9a776d (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffc0d9a70d5 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffc0d9b6235 (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffc0d96e2ef (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffc0d96e6a1 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffc0d96e4e0 (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffc0d9534dd (__TEXT,__text) external _AAPathFilterAddRule
00007ffc0d9539e4 (__TEXT,__text) external _AAPathFilterApply
00007ffc0d9c2d9c (__TEXT,__text) non-external _AAPathFilterApply.cold.1
00007ffc0d9c2e39 (__TEXT,__text) non-external _AAPathFilterApply.cold.2
00007ffc0d953385 (__TEXT,__text) external _AAPathFilterCreate
00007ffc0d953462 (__TEXT,__text) external _AAPathFilterDestroy
00007ffc0d99d540 (__TEXT,__text) external _AAPathListCreate
00007ffc0d99d6d6 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffc0d99eed8 (__TEXT,__text) external _AAPathListCreateWithPath
00007ffc0d99d6a7 (__TEXT,__text) external _AAPathListDestroy
00007ffc0d99f3b7 (__TEXT,__text) external _AAPathListGetNode
00007ffc0d99f4f2 (__TEXT,__text) external _AAPathListMerge
00007ffc0d99f63c (__TEXT,__text) external _AAPathListNodeFirst
00007ffc0d99f294 (__TEXT,__text) external _AAPathListNodeGetPath
00007ffc0d99f658 (__TEXT,__text) external _AAPathListNodeNext
00007ffc0d9647d4 (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffc0d9979f0 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffc0d976372 (__TEXT,__text) external _AARangeInputStreamOpen
00007ffc0d9686ba (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffc0d9b60a8 (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffc0d9b64f0 (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffc0d9b5e5a (__TEXT,__text) external _AATempFileStreamOpen
00007ffc0d9b5e66 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffc0d985e6e (__TEXT,__text) external _AATempStreamOpen
00007ffc0d985e7a (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffc0d9965e9 (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffc0d9965f3 (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffc0d956df0 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffc0d952a1a (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffc0d9530ec (__TEXT,__text) external _AEAAuthDataClear
00007ffc0d95232b (__TEXT,__text) external _AEAAuthDataCreate
00007ffc0d9523eb (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffc0d952391 (__TEXT,__text) external _AEAAuthDataDestroy
00007ffc0d9531cf (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffc0d9531c5 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffc0d9528e6 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffc0d9528de (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffc0d9530fd (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffc0d952e03 (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffc0d989cb3 (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffc0d989bfa (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffc0d9677d5 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffc0d989b7e (__TEXT,__text) external _AEAContextDestroy
00007ffc0d98a7e1 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffc0d98a96f (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffc0d98a0b0 (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffc0d989fee (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffc0d98a4c0 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffc0d98a90f (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffc0d98a2e0 (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffc0d95948b (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffc0d958f65 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffc0d958fde (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffc0d958ecf (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffc0d9500d1 (__TEXT,__text) external _AEADecryptAndExtract
00007ffc0d99198a (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffc0d94fb48 (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffc0d99344c (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffc0d947d94 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffc0d963443 (__TEXT,__text) external _AEADecryptInPlace
00007ffc0d969d22 (__TEXT,__text) external _AEADecryptToFile
00007ffc0d9850bc (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffc0d969781 (__TEXT,__text) external _AEADecryptToFileChunk
00007ffc0d985df0 (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffc0d9c159c (__TEXT,__text) external _AEADecryptToStream
00007ffc0d9c0d30 (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffc0d96509e (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffc0d95ab0f (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffc0d94da0a (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffc0d9639b2 (__TEXT,__text) external _AEAEncryptInPlace
00007ffc0d95ea5b (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffc0d95dcb4 (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffc0d95e2ba (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffc0d963b4e (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffc0d964481 (__TEXT,__text) external _AEAKeychainHasItem
00007ffc0d9642c5 (__TEXT,__text) external _AEAKeychainLoadItem
00007ffc0d96458a (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffc0d963e18 (__TEXT,__text) external _AEAKeychainStoreItem
00007ffc0d956544 (__TEXT,__text) external _AEAStreamSign
00007ffc0d987f6b (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffc0d961900 (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffc0d987f7a (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffc0d970871 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffc0d971a7c (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffc0d971aab (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffc0d971d46 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffc0d971d50 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffc0d971d59 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffc0d971d63 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffc0d962529 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffc0d96278b (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffc0d96194a (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffc0d962644 (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffc0d96e87a (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffc0d96e7e1 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffc0d96e73f (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffc0d96529e (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffc0d965276 (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffc0d9652bb (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffc0d965690 (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffc0d97991a (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffc0d9798bd (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffc0d9798d6 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffc0d97bad0 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffc0d97babc (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffc0d97bac6 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffc0d9d4fe0 (__TEXT,__const) non-external _CKSUMTable
00007ffc0d9ba7d9 (__TEXT,__text) non-external _CompressionConsumerProc
00007ffc0d9ba5f9 (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffc0d9bb4cd (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffc0d9ba74f (__TEXT,__text) non-external _CompressionWorkerProc
00007ffc0d959e60 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffc0d959af4 (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffc0d95a3b1 (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffc0d95a625 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffc0d95a1c2 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffc0d95a35b (__TEXT,__text) non-external _Digest_SHA256
00007ffc0d965a57 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffc0d9656a3 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffc0d9d4d80 (__TEXT,__const) non-external _ECC65537_G
00007ffc0d96f003 (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffc0d98be67 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffc0d98b2e7 (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffc0d958d44 (__TEXT,__text) non-external _HKDFDerive
00007ffc0d95a97a (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffc0d95a908 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffc0d95a878 (__TEXT,__text) non-external _HMACInit_SHA256
00007ffc0d95a8f0 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffc0d95aa57 (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffc0d966b80 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffc0d96692b (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffc0d966a7a (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffc0d966b65 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffc0d9668f1 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffc0d973012 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffc0d972cca (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffc0d972fdb (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffc0d97313a (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffc0d966b94 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffc0d9671a8 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffc0d96713f (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffc0d967225 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffc0d973d32 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffc0d973c67 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffc0d973d28 (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffc0d973cd8 (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffc0d972b5c (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffc0d98b21e (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
00007ffc0d98ab00 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
00007ffc0d97292c (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
00007ffc0d9728eb (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
00007ffc0d972b48 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
00007ffc0d972b52 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
00007ffc0d972340 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007ffc0d9724c5 (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
00007ffc0d972434 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00007ffc0d972591 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromBuffer
00007ffc0d972620 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromIStream
00007ffc0d9726ac (__TEXT,__text) non-external (was a private external) _MemBufferFlushToOStream
00007ffc0d972471 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataPtr
