                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
00007ffc03d6a275 (__TEXT,__text) external _DRBufferAsResource
00007ffc03d6aca2 (__TEXT,__text) external _DRCommitQueueTakeThrough
00007ffc03d699a2 (__TEXT,__text) external _DRContextCommit
00007ffc03d69ae4 (__TEXT,__text) external _DRContextCommitAddFence
00007ffc03d693c4 (__TEXT,__text) external _DRContextConfigCreate
00007ffc03d6945f (__TEXT,__text) external _DRContextConfigGetMode
00007ffc03d694b3 (__TEXT,__text) external _DRContextConfigSetDevice
00007ffc03d69431 (__TEXT,__text) external _DRContextConfigSetDispatchQueue
00007ffc03d69489 (__TEXT,__text) external _DRContextConfigSetMaxPendingFrames
00007ffc03d6944a (__TEXT,__text) external _DRContextConfigSetMode
00007ffc03d69474 (__TEXT,__text) external _DRContextConfigSetReuseStrategy
00007ffc03d6949e (__TEXT,__text) external _DRContextConfigSetUnusedResourceMaxAge
00007ffc03d6952c (__TEXT,__text) external _DRContextCreate
00007ffc03d698a0 (__TEXT,__text) external _DRContextCreateBuffer
00007ffc03d6a8be (__TEXT,__text) external _DRContextCreateClient
00007ffc03d6aa9d (__TEXT,__text) external _DRContextCreateCommitQueue
00007ffc03d695c0 (__TEXT,__text) external _DRContextCreateMesh
00007ffc03d69677 (__TEXT,__text) external _DRContextCreateTexture
00007ffc03d6972e (__TEXT,__text) external _DRContextCreateTextureFromResource
00007ffc03d69a81 (__TEXT,__text) external _DRContextGetCommitUserPayload
00007ffc03d69957 (__TEXT,__text) external _DRContextHasOpenCommit
00007ffc03d69e4d (__TEXT,__text) external _DRContextSetChangeObserver
00007ffc03d699e7 (__TEXT,__text) external _DRContextSetCommitUserPayload
00007ffc03d69b6f (__TEXT,__text) external _DRContextSetOnCommitBegan
00007ffc03d69cd9 (__TEXT,__text) external _DRContextSetOnCommitComplete
00007ffc03d68dd9 (__TEXT,__text) external _DRFenceCreate
00007ffc03d68e2b (__TEXT,__text) external _DRFenceGetLabel
00007ffc03d68e16 (__TEXT,__text) external _DRFenceInvalidate
00007ffc03d6a2e0 (__TEXT,__text) external _DRMaterialAsResource
00007ffc03d6bfa8 (__TEXT,__const) external _DRMaxVertexBuffers
00007ffc03d6a63e (__TEXT,__text) external _DRMemoryResourceCopyBuffer
00007ffc03d6a668 (__TEXT,__text) external _DRMemoryResourceCopyToXPC
00007ffc03d6a60e (__TEXT,__text) external _DRMemoryResourceCreate
00007ffc03d6a76b (__TEXT,__text) external _DRMemoryResourceCreateFromSharedTextureHandle
00007ffc03d6a686 (__TEXT,__text) external _DRMemoryResourceCreateFromXPC
00007ffc03d6a70c (__TEXT,__text) external _DRMemoryResourceDidUpdateBytes
00007ffc03d6a6f7 (__TEXT,__text) external _DRMemoryResourceGetBytes
00007ffc03d6a6e2 (__TEXT,__text) external _DRMemoryResourceGetLength
00007ffc03d6a6ca (__TEXT,__text) external _DRMemoryResourceIsPrivateToProcess
00007ffc03d6a18f (__TEXT,__text) external _DRMeshAsResource
00007ffc03d6825d (__TEXT,__text) external _DRMeshCopyDescriptor
00007ffc03d6818d (__TEXT,__text) external _DRMeshCreateUnmanaged
00007ffc03d68873 (__TEXT,__text) external _DRMeshDescriptorCalculateBufferSizes
00007ffc03d67bca (__TEXT,__text) external _DRMeshDescriptorCreate
00007ffc03d67c93 (__TEXT,__text) external _DRMeshDescriptorGetIndexCapacity
00007ffc03d67cbd (__TEXT,__text) external _DRMeshDescriptorGetIndexType
00007ffc03d67ce7 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeCount
00007ffc03d67ea8 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeFormat
00007ffc03d67c3f (__TEXT,__text) external _DRMeshDescriptorGetVertexBufferCount
00007ffc03d67c69 (__TEXT,__text) external _DRMeshDescriptorGetVertexCapacity
00007ffc03d680f4 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayout
00007ffc03d67f34 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayoutCount
00007ffc03d67ca8 (__TEXT,__text) external _DRMeshDescriptorSetIndexCapacity
00007ffc03d67cd2 (__TEXT,__text) external _DRMeshDescriptorSetIndexType
00007ffc03d67d04 (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeCount
00007ffc03d67ef9 (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeFormat
00007ffc03d67c54 (__TEXT,__text) external _DRMeshDescriptorSetVertexBufferCount
00007ffc03d67c7e (__TEXT,__text) external _DRMeshDescriptorSetVertexCapacity
00007ffc03d68148 (__TEXT,__text) external _DRMeshDescriptorSetVertexLayout
00007ffc03d67f5f (__TEXT,__text) external _DRMeshDescriptorSetVertexLayoutCount
00007ffc03d6849f (__TEXT,__text) external _DRMeshGetIndexCapacity
00007ffc03d68659 (__TEXT,__text) external _DRMeshGetPartAt
00007ffc03d684b4 (__TEXT,__text) external _DRMeshGetPartCount
00007ffc03d6872e (__TEXT,__text) external _DRMeshGetPartRenderFlagsAt
00007ffc03d6848a (__TEXT,__text) external _DRMeshGetVertexCapacity
00007ffc03d68b07 (__TEXT,__text) external _DRMeshReadIndices
00007ffc03d68d11 (__TEXT,__text) external _DRMeshReadIndicesUsing
00007ffc03d688f8 (__TEXT,__text) external _DRMeshReadVertices
00007ffc03d68cd2 (__TEXT,__text) external _DRMeshReadVerticesUsing
00007ffc03d68ba0 (__TEXT,__text) external _DRMeshReplaceIndices
00007ffc03d68d3b (__TEXT,__text) external _DRMeshReplaceIndicesUsing
00007ffc03d689c1 (__TEXT,__text) external _DRMeshReplaceVertices
00007ffc03d68cfc (__TEXT,__text) external _DRMeshReplaceVerticesUsing
00007ffc03d68529 (__TEXT,__text) external _DRMeshSetPartAt
00007ffc03d68509 (__TEXT,__text) external _DRMeshSetPartCount
00007ffc03d687ae (__TEXT,__text) external _DRMeshSetPartRenderFlagsAt
00007ffc03d68c39 (__TEXT,__text) external _DRMeshUpdateIndices
00007ffc03d68d26 (__TEXT,__text) external _DRMeshUpdateIndicesUsing
00007ffc03d68a64 (__TEXT,__text) external _DRMeshUpdateVertices
00007ffc03d68ce7 (__TEXT,__text) external _DRMeshUpdateVerticesUsing
00007ffc03d67bc0 (__TEXT,__text) external _DRRelease
00007ffc03d6a21f (__TEXT,__text) external _DRResourceAsBuffer
00007ffc03d6a28a (__TEXT,__text) external _DRResourceAsMaterial
00007ffc03d6a139 (__TEXT,__text) external _DRResourceAsMesh
00007ffc03d6a1b4 (__TEXT,__text) external _DRResourceAsTexture
00007ffc03d6a124 (__TEXT,__text) external _DRResourceGetClientIdentifier
00007ffc03d6a105 (__TEXT,__text) external _DRResourceGetIdentifier
00007ffc03d6a2f5 (__TEXT,__text) external _DRResourceIsAttachedToDevice_RemoveMeAfterVerification
00007ffc03d6b077 (__TEXT,__text) external _DRResourcesCommitCopyEventWithDevice
00007ffc03d6b059 (__TEXT,__text) external _DRResourcesCommitCopyToXPC
00007ffc03d6b0df (__TEXT,__text) external _DRResourcesCommitGetId
00007ffc03d6b0f4 (__TEXT,__text) external _DRResourcesCommitGetUserPayload
00007ffc03d6b0c6 (__TEXT,__text) external _DRResourcesCommitHasEvent
00007ffc03d67bb6 (__TEXT,__text) external _DRRetain
00007ffc03d6a20a (__TEXT,__text) external _DRTextureAsResource
00007ffc03d690c8 (__TEXT,__text) external _DRTextureCopyDescriptor
00007ffc03d68e56 (__TEXT,__text) external _DRTextureCreateUnmanaged
00007ffc03d68f29 (__TEXT,__text) external _DRTextureDescriptorCreate
00007ffc03d69076 (__TEXT,__text) external _DRTextureDescriptorGetArrayLength
00007ffc03d68fa4 (__TEXT,__text) external _DRTextureDescriptorGetDepth
00007ffc03d68f7a (__TEXT,__text) external _DRTextureDescriptorGetHeight
00007ffc03d68fce (__TEXT,__text) external _DRTextureDescriptorGetMipmapLevelCount
00007ffc03d68ff8 (__TEXT,__text) external _DRTextureDescriptorGetPixelFormat
00007ffc03d690a0 (__TEXT,__text) external _DRTextureDescriptorGetSwizzle
00007ffc03d69022 (__TEXT,__text) external _DRTextureDescriptorGetTextureType
00007ffc03d6904c (__TEXT,__text) external _DRTextureDescriptorGetTextureUsage
00007ffc03d68f50 (__TEXT,__text) external _DRTextureDescriptorGetWidth
00007ffc03d6908b (__TEXT,__text) external _DRTextureDescriptorSetArrayLength
00007ffc03d68fb9 (__TEXT,__text) external _DRTextureDescriptorSetDepth
00007ffc03d68f8f (__TEXT,__text) external _DRTextureDescriptorSetHeight
00007ffc03d68fe3 (__TEXT,__text) external _DRTextureDescriptorSetMipmapLevelCount
00007ffc03d6900d (__TEXT,__text) external _DRTextureDescriptorSetPixelFormat
00007ffc03d690b4 (__TEXT,__text) external _DRTextureDescriptorSetSwizzle
00007ffc03d69037 (__TEXT,__text) external _DRTextureDescriptorSetTextureType
00007ffc03d69061 (__TEXT,__text) external _DRTextureDescriptorSetTextureUsage
00007ffc03d68f65 (__TEXT,__text) external _DRTextureDescriptorSetWidth
00007ffc03d6915c (__TEXT,__text) external _DRTextureReadTexture
00007ffc03d691a8 (__TEXT,__text) external _DRTextureReplaceTexture
00007ffc03d69236 (__TEXT,__text) external _DRTextureReplaceWithMemoryResource
00007ffc03d691ef (__TEXT,__text) external _DRTextureTryReplaceTexture
00007ffc03d68e4c (__TEXT,__text) external _DRValidateIndices
00007ffc03d6bfa0 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionNumber
00007ffc03d6bf60 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionString
                 (undefined) external _IOSurfaceCreate (from IOSurface)
                 (undefined) external _IOSurfaceCreateXPCObject (from IOSurface)
                 (undefined) external _IOSurfaceGetAllocSize (from IOSurface)
                 (undefined) external _IOSurfaceGetBaseAddress (from IOSurface)
                 (undefined) external _IOSurfaceLookupFromXPCObject (from IOSurface)
                 (undefined) external _MTLCopyAllDevices (from Metal)
                 (undefined) external _MTLCopyAllDevicesWithObserver (from Metal)
                 (undefined) external _MTLCreateSystemDefaultDevice (from Metal)
                 (undefined) external _MTLRemoveDeviceObserver (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedEventListener (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedTextureHandle (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLTextureDescriptor (from Metal)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffc03d64fee (__TEXT,__text) non-external (was a private external) __Z14ArcObjectClassv
00007ffc03d6ba3f (__TEXT,__text) non-external __Z14ArcObjectClassv.cold.1
00007ffc03d64f18 (__TEXT,__text) non-external (was a private external) __Z16ArcObjectDestroyPvP13objc_selector
00007ffc03d64f2e (__TEXT,__text) non-external (was a private external) __Z20ArcObjectDescriptionPvP13objc_selector
                 (undefined) external __Z22MTLAttributeFormatSize18MTLAttributeFormat (from Metal)
00007ffc03d64f8e (__TEXT,__text) non-external (was a private external) __Z25ArcObjectDebugDescriptionPvP13objc_selector
00007ffc42c63508 (__DATA,__bss) non-external __ZGVZ14ArcObjectClassvE3cls
00007ffc42c634e8 (__DATA,__bss) non-external __ZGVZN2re17directResourceLogEvE3log
00007ffc42c634f8 (__DATA,__bss) non-external __ZGVZN2re20DirectMemoryResource26allocatePrivatePageAlignedEmE21kMetalBufferAlignment
00007ffc03d6bd90 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffc03d6bda0 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffc03d6be70 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffc03d6be90 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffc03d69f78 (__TEXT,__text) non-external __ZN13ContextConfigD0Ev
00007ffc03d69f40 (__TEXT,__text) non-external __ZN13ContextConfigD1Ev
00007ffc03d6514c (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObject7disposeEv
00007ffc03d650aa (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectC2EP10objc_class
00007ffc03d65118 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD0Ev
00007ffc03d65100 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD1Ev
00007ffc03d650e8 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD2Ev
00007ffc03d6ad86 (__TEXT,__text) non-external __ZN16ClientConnectionD0Ev
00007ffc03d6ad30 (__TEXT,__text) non-external __ZN16ClientConnectionD1Ev
00007ffc03d6acfc (__TEXT,__text) non-external __ZN22ClientConnectionConfigD0Ev
00007ffc03d6acda (__TEXT,__text) non-external __ZN22ClientConnectionConfigD1Ev
00007ffc03d6d406 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector11s_knameinitE
00007ffc03d6d360 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector12s_knameallocE
00007ffc4031cc08 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector13s_kUTF8StringE
00007ffc03d6d344 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector17s_knameUTF8StringE
00007ffc4031cc00 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector22s_krespondsToSelector_E
00007ffc03d6d630 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector26s_knamerespondsToSelector_E
00007ffc4031cbf8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector30s_kmethodSignatureForSelector_E
00007ffc03d6d460 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector34s_knamemethodSignatureForSelector_E
00007ffc4031cbf0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector7s_kinitE
00007ffc4031cbe8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector8s_kallocE
00007ffc03d55c08 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL11SharedEventEEaSEOS3_
00007ffc03d5c212 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedEventListenerEEaSEOS3_
00007ffc03d55c08 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedTextureHandleEEaSEOS3_
00007ffc03d55c08 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL6BufferEEaSEOS3_
00007ffc03d55c08 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL7TextureEEaSEOS3_
00007ffc03d55c08 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSEOS3_
00007ffc03d55c08 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSINS1_7TextureEEENSt3__19enable_ifIXsr3stdE16is_convertible_vIPT_PS2_EERS3_E4typeEONS0_IS8_EE
00007ffc03d67390 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc03d67624 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh11updatePartsEU13block_pointerFvPNS_14DirectMeshPartEmE
00007ffc03d6749c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12setPartCountEm
00007ffc03d6ba90 (__TEXT,__text) non-external __ZN2re10DirectMesh12setPartCountEm.cold.1
00007ffc03d6795a (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmPN3MTL13CommandBufferE
00007ffc03d67706 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmU13block_pointerFvPvmE
00007ffc03d679da (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmPN3MTL13CommandBufferE
00007ffc03d6782e (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmU13block_pointerFvPvmE
00007ffc03d679aa (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEPN3MTL13CommandBufferE
00007ffc03d67794 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEU13block_pointerFvPvmE
00007ffc03d66efe (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14attachToDeviceEPN3MTL6DeviceE
00007ffc03d67a2c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEPN3MTL13CommandBufferE
00007ffc03d678c0 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEU13block_pointerFvPvmE
00007ffc03d66daa (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15allocateStorageERKNS_29DirectResourceCreationOptionsE
00007ffc03d67a60 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15replaceInternalEPNS_9SharedPtrINS_20DirectMemoryResourceEEES3_
00007ffc03d677f0 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15validateIndicesEv
00007ffc03d66d2a (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh6createERKNS_21DirectMeshDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffc03d67302 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh8setPartsEmNS_10UnownedPtrINS_20DirectMemoryResourceEEE
00007ffc03d67078 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC1ERKNS_21DirectMeshDescriptionE
00007ffc03d67006 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC2ERKNS_21DirectMeshDescriptionE
00007ffc03d67134 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD0Ev
00007ffc03d6712a (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD1Ev
00007ffc03d67082 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD2Ev
00007ffc03d4ec48 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence10invalidateEv
00007ffc03d6b12f (__TEXT,__text) non-external __ZN2re11DirectFence10invalidateEv.cold.1
00007ffc03d4ecac (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence20addInvalidateHandlerEONSt3__18functionIFvPS0_EEE
00007ffc03d4ea6e (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPKc
00007ffc03d4ebc2 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPN3MTL13CommandBufferE
00007ffc03d4eac6 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC2EPN3MTL13CommandBufferE
00007ffc03d4ec22 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD0Ev
00007ffc03d4ec18 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD1Ev
00007ffc03d4ebcc (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD2Ev
00007ffc03d6b10e (__TEXT,__text) non-external __ZN2re11DirectFenceD2Ev.cold.1
00007ffc03d5687d (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_10DirectMeshE
00007ffc03d56b5b (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_12DirectBufferE
00007ffc03d56808 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_13DirectTextureE
00007ffc03d56a1f (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_16DirectMeshUpdateE
00007ffc03d56bcb (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_18DirectBufferUpdateE
00007ffc03d4fff4 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc03d50128 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer12setBytesUsedEm
00007ffc03d4fd9e (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer14attachToDeviceEPN3MTL6DeviceE
00007ffc03d4fd32 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer15allocateStorageERKNS_29DirectResourceCreationOptionsE
00007ffc03d4ff16 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer23replaceContentsInternalENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc03d4fc9a (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6createERKNS_23DirectBufferDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffc03d501a2 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6updateEU13block_pointerFvPvmE
00007ffc03d50268 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEPN3MTL13CommandBufferE
00007ffc03d501f0 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEU13block_pointerFvPvmE
00007ffc03d4fe42 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferC1ERKNS_23DirectBufferDescriptionE
00007ffc03d4feb0 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD0Ev
00007ffc03d4fea6 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD1Ev
00007ffc03d4fe74 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD2Ev
00007ffc03d58c34 (__TEXT,__text) non-external (was a private external) __ZN2re12commandCountERKNS_22DirectResourceCommandsE
00007ffc03d56c26 (__TEXT,__text) non-external (was a private external) __ZN2re12makeCommandsEPKNS_21DirectResourcesCommitE
00007ffc03d669ae (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc03d667fc (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14attachToDeviceEPN3MTL6DeviceE
00007ffc03d6bea0 (__TEXT,__const) non-external (was a private external) __ZN2re13DirectTexture14kContentsUsageE
00007ffc03d6644c (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14makeDescriptorEPN3MTL7TextureE
00007ffc03d6630c (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14makeDescriptorERKNS_24DirectTextureDescriptionE
00007ffc03d66ac6 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14replaceTextureEPN3MTL13CommandBufferE
00007ffc03d665aa (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture15allocateStorageERKNS_29DirectResourceCreationOptionsE
00007ffc03d66b0a (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture17tryReplaceTextureEPN3MTL13CommandBufferE
00007ffc03d66810 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture23allocateRuntimeResourceERKNS_24DirectTextureDescriptionENS_10UnownedPtrINS_20DirectMemoryResourceEEEPN3MTL6DeviceE
00007ffc03d66606 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffc03d66526 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createERKNS_24DirectTextureDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffc03d666a0 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureC1ERKNS_24DirectTextureDescriptionE
00007ffc03d66bae (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD0Ev
00007ffc03d66b60 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD1Ev
00007ffc03d4fb7c (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesEN3MTL9IndexTypeE
00007ffc03d4fb9a (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesERKNS_25DirectMeshVertexAttributeERKNS_22DirectMeshVertexLayoutEm
00007ffc03d50308 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRA16_h
00007ffc03d51469 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16CreateDirectMeshE
00007ffc03d50ff9 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16DirectMeshValuesE
