                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
0000000190c33ed4 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
0000000190c2ea6c (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
0000000190c2e3d0 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
0000000190c2e144 (__TEXT,__text) external _KLAcquireNewTickets
0000000190c2e35c (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
0000000190c2e020 (__TEXT,__text) external _KLAcquireTickets
0000000190c2e240 (__TEXT,__text) external _KLAcquireTicketsWithPassword
0000000190c2e554 (__TEXT,__text) external _KLCacheHasValidTickets
0000000190c2f248 (__TEXT,__text) external _KLCancelAllDialogs
0000000190c2ea44 (__TEXT,__text) external _KLChangePassword
0000000190c2f250 (__TEXT,__text) external _KLChangePasswordWithPasswords
0000000190c2f7d0 (__TEXT,__text) external _KLComparePrincipal
0000000190c2f370 (__TEXT,__text) external _KLCountKerberosRealms
0000000190c2f89c (__TEXT,__text) external _KLCreateLoginOptions
0000000190c2f4bc (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
0000000190c2f508 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
0000000190c2f3ec (__TEXT,__text) external _KLCreatePrincipalFromString
0000000190c2f398 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
0000000190c2e9f4 (__TEXT,__text) external _KLDestroyTickets
0000000190c2fb40 (__TEXT,__text) external _KLDisposeLoginOptions
0000000190c2f848 (__TEXT,__text) external _KLDisposePrincipal
0000000190c2fba4 (__TEXT,__text) external _KLDisposeString
0000000190c2f278 (__TEXT,__text) external _KLFindKerberosRealmByName
0000000190c2e54c (__TEXT,__text) external _KLGetApplicationOptions
0000000190c2f268 (__TEXT,__text) external _KLGetDefaultLoginOption
0000000190c2f700 (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
0000000190c2f1ac (__TEXT,__text) external _KLGetErrorString
0000000190c2f260 (__TEXT,__text) external _KLGetIdleCallback
0000000190c2f378 (__TEXT,__text) external _KLGetKerberosDefaultRealm
0000000190c2f2f0 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
0000000190c2f348 (__TEXT,__text) external _KLGetKerberosRealm
0000000190c2f630 (__TEXT,__text) external _KLGetStringFromPrincipal
0000000190c2f554 (__TEXT,__text) external _KLGetTripletFromPrincipal
0000000190c2f1a4 (__TEXT,__text) external _KLHandleError
0000000190c2f360 (__TEXT,__text) external _KLInsertKerberosRealm
0000000190c2ecec (__TEXT,__text) external _KLLastChangedTime
0000000190c2fa70 (__TEXT,__text) external _KLLoginOptionsSetAddressless
0000000190c2f974 (__TEXT,__text) external _KLLoginOptionsSetForwardable
0000000190c2f9c8 (__TEXT,__text) external _KLLoginOptionsSetProxiable
0000000190c2fa1c (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
0000000190c2fae0 (__TEXT,__text) external _KLLoginOptionsSetServiceName
0000000190c2f920 (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
0000000190c2faa8 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
0000000190c2f368 (__TEXT,__text) external _KLRemoveAllKerberosRealms
0000000190c2f358 (__TEXT,__text) external _KLRemoveKerberosRealm
0000000190c2ea74 (__TEXT,__text) external _KLRenewInitialTickets
0000000190c2e544 (__TEXT,__text) external _KLSetApplicationOptions
0000000190c2f270 (__TEXT,__text) external _KLSetDefaultLoginOption
0000000190c2f258 (__TEXT,__text) external _KLSetIdleCallback
0000000190c2f388 (__TEXT,__text) external _KLSetKerberosDefaultRealm
0000000190c2f390 (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
0000000190c2f350 (__TEXT,__text) external _KLSetKerberosRealm
0000000190c2f0f0 (__TEXT,__text) external _KLSetSystemDefaultCache
0000000190c2ea54 (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
0000000190c2f00c (__TEXT,__text) external _KLTicketExpirationTime
0000000190c2ef28 (__TEXT,__text) external _KLTicketStartTime
0000000190c2ece4 (__TEXT,__text) external _KLValidateInitialTickets
0000000190c2ea64 (__TEXT,__text) external _KLVerifyInitialTicketCredentials
0000000190c2ea5c (__TEXT,__text) external _KLVerifyInitialTickets
0000000190c33bc0 (__TEXT,__text) external _KPCreatePreferencesFile
0000000190c33bac (__TEXT,__text) external _KPFreeListOfPreferencesFiles
0000000190c33ba4 (__TEXT,__text) external _KPGetListOfPreferencesFiles
0000000190c33b9c (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
0000000190c33bb0 (__TEXT,__text) external _KPPreferencesFileIsReadable
0000000190c33bb8 (__TEXT,__text) external _KPPreferencesFileIsWritable
0000000190c340a8 (__TEXT,__text) external _KServerAddKeyCompat
0000000190c340b0 (__TEXT,__text) external _KServerGetKeyCompat
0000000190c340a0 (__TEXT,__text) external _KServerGetReplyTicketCompat
0000000190c340b8 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
0000000190c34090 (__TEXT,__text) external _KServerNewSessionCompat
0000000190c34098 (__TEXT,__text) external _KServerVerifyTicketCompat
0000000190c327cc (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001d67d6f10 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
0000000190c2fbe4 (__TEXT,__text) external ___KLAllowAutomaticPrompting
0000000190c2fbd4 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
0000000190c2fbfc (__TEXT,__text) external ___KLAllowRememberPassword
0000000190c2fc64 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
0000000190c2fc04 (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
0000000190c2fcb0 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
0000000190c2fcc0 (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
0000000190c2fc34 (__TEXT,__text) external ___KLGetTripletFromPrincipal
0000000190c2fcd8 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
0000000190c2fce8 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
0000000190c2fce0 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
0000000190c2fcb8 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
0000000190c2fcc8 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
0000000190c2fbf4 (__TEXT,__text) external ___KLPromptMechanism
0000000190c2fcd0 (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
0000000190c2fbc0 (__TEXT,__text) external ___KLSetApplicationPrompter
0000000190c2fbdc (__TEXT,__text) external ___KLSetAutomaticPrompting
0000000190c2fbc8 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
0000000190c2fbec (__TEXT,__text) external ___KLSetPromptMechanism
0000000190c2d978 (__TEXT,__text) external ___KerberosDebugLogLevel
0000000190c2d980 (__TEXT,__text) external ___KerberosDebugPrint
0000000190c2d988 (__TEXT,__text) external ___KerberosDebugPrintMemory
0000000190c2d98c (__TEXT,__text) external ___KerberosDebugPrintSession
0000000190c2d984 (__TEXT,__text) external ___KerberosDebugVAPrint
00000001d67d6950 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
0000000190c298a4 (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00000001d44e1038 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001d44e1078 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001d44e1058 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001dc792ba8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dc792be8 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001dc792bc8 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___error (from libSystem)
0000000190c2ce14 (__TEXT,__text) non-external ___error_message_block_invoke
0000000190c28db8 (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
0000000190c2c384 (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
0000000190c2e6a8 (__TEXT,__text) non-external _acquireticket_ui
0000000190c31fb0 (__TEXT,__text) non-external _add_data_to_buffer
0000000190c28f08 (__TEXT,__text) external _add_error_table
0000000190c30868 (__TEXT,__text) non-external _add_to_list
0000000190c359fc (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
0000000190c35af0 (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
0000000190c28f10 (__TEXT,__text) external _cc_close
0000000190c28f18 (__TEXT,__text) external _cc_create
0000000190c28f20 (__TEXT,__text) external _cc_destroy
0000000190c28f28 (__TEXT,__text) external _cc_free_NC_info
0000000190c28f30 (__TEXT,__text) external _cc_free_creds
0000000190c28f38 (__TEXT,__text) external _cc_free_name
0000000190c28f40 (__TEXT,__text) external _cc_free_principal
00000001d7d858e8 (__AUTH,__data) non-external (was a private external) _cc_functions
0000000190c28f48 (__TEXT,__text) external _cc_get_NC_info
0000000190c28f50 (__TEXT,__text) external _cc_get_change_time
0000000190c28f58 (__TEXT,__text) external _cc_get_cred_version
0000000190c28f60 (__TEXT,__text) external _cc_get_name
0000000190c28f68 (__TEXT,__text) external _cc_get_principal
0000000190c2a7e4 (__TEXT,__text) external _cc_initialize
0000000190c2ba04 (__TEXT,__text) non-external _cc_iterator_clone
0000000190c29e3c (__TEXT,__text) non-external (was a private external) _cc_iterator_next
0000000190c2b9ac (__TEXT,__text) non-external _cc_iterator_release
0000000190c28f70 (__TEXT,__text) external _cc_open
0000000190c28f78 (__TEXT,__text) external _cc_remove_cred
0000000190c28f80 (__TEXT,__text) external _cc_seq_fetch_NCs_begin
0000000190c28f88 (__TEXT,__text) external _cc_seq_fetch_NCs_end
0000000190c28f90 (__TEXT,__text) external _cc_seq_fetch_NCs_next
0000000190c28f98 (__TEXT,__text) external _cc_seq_fetch_creds_begin
0000000190c28fa0 (__TEXT,__text) external _cc_seq_fetch_creds_end
0000000190c28fa8 (__TEXT,__text) external _cc_seq_fetch_creds_next
0000000190c28fb0 (__TEXT,__text) external _cc_set_principal
0000000190c28fb8 (__TEXT,__text) external _cc_shutdown
0000000190c28fc0 (__TEXT,__text) external _cc_store
0000000190c2b8bc (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
0000000190c2b624 (__TEXT,__text) non-external _ccache_compare
0000000190c2a8b0 (__TEXT,__text) non-external _ccache_destroy
00000001d7d85950 (__AUTH,__data) non-external _ccache_functions
0000000190c2b5c8 (__TEXT,__text) non-external _ccache_get_change_time
0000000190c2a9c0 (__TEXT,__text) non-external _ccache_get_credentials_version
0000000190c2b714 (__TEXT,__text) non-external _ccache_get_kdc_time_offset
0000000190c2b550 (__TEXT,__text) non-external _ccache_get_last_default_time
0000000190c2a9dc (__TEXT,__text) non-external _ccache_get_name
0000000190c2aa88 (__TEXT,__text) non-external _ccache_get_principal
00000001d7d859f0 (__AUTH,__data) non-external _ccache_iterator_functions
0000000190c2b4e0 (__TEXT,__text) non-external _ccache_lock
0000000190c2b418 (__TEXT,__text) non-external _ccache_move
0000000190c2b330 (__TEXT,__text) non-external _ccache_new_credentials_iterator
0000000190c29ddc (__TEXT,__text) non-external (was a private external) _ccache_release
0000000190c2b154 (__TEXT,__text) non-external _ccache_remove_credentials
0000000190c2a928 (__TEXT,__text) non-external _ccache_set_default
0000000190c2b7f8 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
0000000190c2abdc (__TEXT,__text) non-external _ccache_set_principal
0000000190c2ad1c (__TEXT,__text) non-external _ccache_store_credentials
0000000190c2b518 (__TEXT,__text) non-external _ccache_unlock
0000000190c2b94c (__TEXT,__text) non-external _ccache_wait_for_change
0000000190c2b954 (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00000001d44e10f0 (__DATA_CONST,__const) non-external _conf_no
00000001d44e10b8 (__DATA_CONST,__const) non-external _conf_yes
00000001d67d67d0 (__DATA,__data) non-external _context_change_time
0000000190c2a7b8 (__TEXT,__text) non-external _context_compare
0000000190c2a324 (__TEXT,__text) non-external _context_create_ccache
0000000190c2a460 (__TEXT,__text) non-external _context_create_default_ccache
0000000190c2a5c4 (__TEXT,__text) non-external _context_create_new_ccache
0000000190c2a04c (__TEXT,__text) non-external _context_get_change_time
0000000190c2a0a8 (__TEXT,__text) non-external _context_get_default_ccache_name
0000000190c2a7a8 (__TEXT,__text) non-external _context_lock
0000000190c2a710 (__TEXT,__text) non-external _context_new_ccache_iterator
0000000190c2a144 (__TEXT,__text) non-external _context_open_ccache
0000000190c2a240 (__TEXT,__text) non-external _context_open_default_ccache
0000000190c29ffc (__TEXT,__text) non-external _context_release
0000000190c2a7b0 (__TEXT,__text) non-external _context_unlock
0000000190c2a7dc (__TEXT,__text) non-external _context_wait_for_change
0000000190c29fa4 (__TEXT,__text) non-external _create_ccache
0000000190c29964 (__TEXT,__text) non-external _cred_compare
0000000190c29d70 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00000001d7d858d0 (__AUTH,__data) non-external (was a private external) _cred_iter_functions
0000000190c29974 (__TEXT,__text) non-external (was a private external) _cred_iter_next
0000000190c29d78 (__TEXT,__text) non-external _cred_iter_release
0000000190c29918 (__TEXT,__text) non-external _cred_release
00000001d7d858c0 (__AUTH,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
0000000190c33bd0 (__TEXT,__text) external _decomp_ticket
0000000190c33dfc (__TEXT,__text) external _dest_all_tkts
0000000190c33ddc (__TEXT,__text) external _dest_tkt
0000000190c2c3bc (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00000001d67d6ae8 (__DATA,__bss) non-external _do_log
0000000190c31ac4 (__TEXT,__text) non-external _dump_profile
0000000190c31f6c (__TEXT,__text) non-external _dump_profile_to_buffer_cb
0000000190c31ec8 (__TEXT,__text) non-external _dump_profile_to_file_cb
0000000190c28fc8 (__TEXT,__text) external _encode_krb5_as_req
0000000190c308e8 (__TEXT,__text) non-external _end_list
0000000190c2cd7c (__TEXT,__text) external _error_message
00000001d67d6b00 (__DATA,__bss) non-external _error_message.buffer
00000001d67d6af8 (__DATA,__bss) non-external _error_message.et_list
00000001d67d6af0 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
0000000190c2eda8 (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00000001d67d6f08 (__DATA,__bss) non-external _g_cc_change_time
00000001d67d6958 (__DATA,__data) non-external _g_change_time_mutex
00000001d67d6f00 (__DATA,__bss) non-external _g_kl_change_time
0000000190c33c28 (__TEXT,__text) external _get_ad_tkt
0000000190c33ca0 (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00000001d67d6878 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00000001d67d6890 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00000001d67d6850 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00000001d67d6838 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00000001d67d6808 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00000001d67d6820 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00000001d67d67f0 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
                 (indirect) external _gss_create_empty_oid_set (for _gss_create_empty_oid_set)
                 (undefined) external _gss_delete_sec_context (from GSS)
                 (indirect) external _gss_delete_sec_context (for _gss_delete_sec_context)
                 (undefined) external _gss_display_name (from GSS)
                 (indirect) external _gss_display_name (for _gss_display_name)
                 (undefined) external _gss_display_status (from GSS)
                 (indirect) external _gss_display_status (for _gss_display_status)
                 (undefined) external _gss_duplicate_name (from GSS)
                 (indirect) external _gss_duplicate_name (for _gss_duplicate_name)
                 (undefined) external _gss_export_name (from GSS)
                 (indirect) external _gss_export_name (for _gss_export_name)
                 (undefined) external _gss_export_sec_context (from GSS)
