00007ffa0a2342fc (__TEXT,__text) non-external +[Cube initialize]
00007ffa0a16abee (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00007ffa0a16ab71 (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00007ffa0a16b81c (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00007ffa0a164702 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00007ffa0a16cc23 (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00007ffa0a163585 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00007ffa0a1635bd (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00007ffa0a16f275 (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00007ffa0a1758bc (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00007ffa0a177199 (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00007ffa0a166459 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00007ffa0a16588d (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00007ffa0a1660b6 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00007ffa0a165e4d (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00007ffa0a17dd64 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00007ffa0a17dab8 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00007ffa0a17d7ec (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00007ffa0a17d68c (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00007ffa0a17d5e3 (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00007ffa0a17d749 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00007ffa0a17d55d (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00007ffa0a17d40b (__TEXT,__text) non-external +[MCObjectBase initialize]
00007ffa0a17dcb4 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00007ffa0a17e7c4 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00007ffa0a181795 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00007ffa0a186a09 (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00007ffa0a1872cf (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00007ffa0a18d322 (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00007ffa0a164da0 (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00007ffa0a1655df (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00007ffa0a1650bd (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00007ffa0a165331 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00007ffa0a19970d (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00007ffa0a19a1b7 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00007ffa0a198030 (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00007ffa0a1980bc (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00007ffa0a197f15 (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00007ffa0a19947d (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00007ffa0a19809d (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00007ffa0a198011 (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00007ffa0a197d9f (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00007ffa0a197fa3 (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00007ffa0a1982a0 (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00007ffa0a19850e (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00007ffa0a1985f5 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00007ffa0a198e07 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00007ffa0a19838b (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00007ffa0a197e5d (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00007ffa0a16414c (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00007ffa0a1f317f (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00007ffa0a1f2e5a (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00007ffa0a1f4b08 (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00007ffa0a1f504d (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00007ffa0a1f2a33 (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00007ffa0a18eb4d (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00007ffa0a18ede8 (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00007ffa0a18f6c4 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00007ffa0a18f7b6 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00007ffa0a18f7e5 (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00007ffa0a18f557 (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00007ffa0a18f970 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00007ffa0a18fbea (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00007ffa0a18fb7b (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00007ffa0a1e2a69 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00007ffa0a1e2a12 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00007ffa0a1e29b1 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00007ffa0a190a1c (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00007ffa0a1909b0 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00007ffa0a1ccba7 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00007ffa0a1ccb3b (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00007ffa0a25f316 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00007ffa0a25f291 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00007ffa0a26195a (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00007ffa0a2618d5 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00007ffa09fa9e1c (__TEXT,__text) non-external +[MPAction action]
00007ffa09fa9e11 (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00007ffa09fac6a0 (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00007ffa09fac6b9 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00007ffa09fab20e (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00007ffa09fab203 (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00007ffa09fad57a (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00007ffa09fb0e50 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00007ffa09fb13fb (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00007ffa09fb143b (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00007ffa09fb13f0 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00007ffa09fb189e (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00007ffa09fb18e8 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00007ffa09fb1893 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00007ffa09fb2dd8 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00007ffa09fb2d90 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00007ffa09fb2d85 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00007ffa09fb28d8 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00007ffa09fb2913 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00007ffa09fb28cd (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00007ffa09fb3cad (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00007ffa09fb3c3c (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00007ffa09fb3d87 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00007ffa09fb429f (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00007ffa09fb4294 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00007ffa09fb450e (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00007ffa09fb4503 (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00007ffa09fb4e8e (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00007ffa09fb4e83 (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00007ffa09faacfe (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00007ffa09faacf3 (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00007ffa09fb86a4 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00007ffa09fb8698 (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00007ffa09f9575a (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00007ffa09fb943d (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00007ffa09fb9725 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00007ffa09fb95c2 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00007ffa09fb9944 (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00007ffa09fb9913 (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00007ffa09fb9939 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00007ffa09fbbb23 (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00007ffa09fbbac4 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00007ffa09ffa13e (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00007ffa09ffc938 (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00007ffa09ffac14 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00007ffa09ffd184 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00007ffa09ff9891 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00007ffa09ff9853 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00007ffa09ff98cf (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00007ffa09ffa3da (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00007ffa09ffce42 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00007ffa09ffcece (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00007ffa09ffa391 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00007ffa09ffcd2a (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00007ffa09ffc6df (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00007ffa09ffc34d (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00007ffa09ffa6c1 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00007ffa09ffa837 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00007ffa09ffadac (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00007ffa09ffc173 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00007ffa09ffa1e8 (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00007ffa09ff99ad (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00007ffa09ff9907 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00007ffa09ffcbca (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00007ffa09ffd3f7 (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00007ffa09ffa56e (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00007ffa09ff9e25 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00007ffa09ffc0b8 (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00007ffa09ffac57 (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00007ffa09ffa77c (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00007ffa09ffb962 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00007ffa09ffba74 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00007ffa09ffba0a (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00007ffa09ffc8c2 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00007ffa09ffcbe9 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00007ffa09ffab70 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00007ffa09ffd165 (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00007ffa09ffb4fe (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00007ffa09ff94e9 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00007ffa09ffaea5 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00007ffa09ffb01e (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00007ffa09ffb356 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00007ffa09ffd0dd (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00007ffa09ffd316 (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00007ffa09ff9cff (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00007ffa09ff9d92 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00007ffa09ff9c6a (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00007ffa09ff9eb8 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00007ffa09ff9a22 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00007ffa09ff9f6e (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00007ffa09ff9b20 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00007ffa09ff9bd5 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00007ffa09ffacf3 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00007ffa09ffb733 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00007ffa09ffa006 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00007ffa09ffbaeb (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00007ffa09ffbc99 (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00007ffa09ff981b (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00007ffa09ffa62d (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00007ffa09ffa2db (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00007ffa09ffc9f6 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00007ffa09ffa220 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00007ffa09ffb9a0 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00007ffa09ffd055 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00007ffa09ffa4b3 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00007ffa09ff9add (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00007ffa09ffb31b (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00007ffa09ffbe88 (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00007ffa09ffbf49 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00007ffa09ffb2e3 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00007ffa09ffbdcc (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00007ffa09ffc075 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00007ffa09ffd418 (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00007ffa09ffc449 (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00007ffa09ffbd57 (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00007ffa09ffb167 (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00007ffa09ffaf66 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00007ffa09ffc03d (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00007ffa09ffcb2e (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00007ffa09ffc590 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00007ffa09ffc4bc (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00007ffa09ffcdb6 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00007ffa09ffc970 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00007ffa09ffb575 (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00007ffa09ffaba8 (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00007ffa09ffca6d (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00007ffa09ffd2d5 (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00007ffa09ffcaa8 (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00007ffa09ffc250 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00007ffa09ffade7 (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00007ffa09ffa39f (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00007ffa09ffc7b3 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00007ffa09ffcc72 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00007ffa09ffb228 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00007ffa09ffcf5a (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00007ffa09ffb5d2 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
