                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
0000000191d58e64 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
0000000191d54218 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
0000000191d53864 (__TEXT,__text) external _KLDestroyTickets
0000000191d549d0 (__TEXT,__text) external _KLDisposeLoginOptions
0000000191d546c8 (__TEXT,__text) external _KLDisposePrincipal
0000000191d54a34 (__TEXT,__text) external _KLDisposeString
0000000191d540f8 (__TEXT,__text) external _KLFindKerberosRealmByName
0000000191d533b8 (__TEXT,__text) external _KLGetApplicationOptions
0000000191d540e8 (__TEXT,__text) external _KLGetDefaultLoginOption
0000000191d54580 (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
0000000191d5402c (__TEXT,__text) external _KLGetErrorString
0000000191d540e0 (__TEXT,__text) external _KLGetIdleCallback
0000000191d541f8 (__TEXT,__text) external _KLGetKerberosDefaultRealm
0000000191d54170 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
0000000191d541c8 (__TEXT,__text) external _KLGetKerberosRealm
0000000191d544b0 (__TEXT,__text) external _KLGetStringFromPrincipal
0000000191d543d4 (__TEXT,__text) external _KLGetTripletFromPrincipal
0000000191d54024 (__TEXT,__text) external _KLHandleError
0000000191d541e0 (__TEXT,__text) external _KLInsertKerberosRealm
0000000191d53b60 (__TEXT,__text) external _KLLastChangedTime
0000000191d54900 (__TEXT,__text) external _KLLoginOptionsSetAddressless
0000000191d54804 (__TEXT,__text) external _KLLoginOptionsSetForwardable
0000000191d54858 (__TEXT,__text) external _KLLoginOptionsSetProxiable
0000000191d548ac (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
0000000191d54970 (__TEXT,__text) external _KLLoginOptionsSetServiceName
0000000191d547b0 (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
0000000191d54938 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
0000000191d541e8 (__TEXT,__text) external _KLRemoveAllKerberosRealms
0000000191d541d8 (__TEXT,__text) external _KLRemoveKerberosRealm
0000000191d538e4 (__TEXT,__text) external _KLRenewInitialTickets
0000000191d533b0 (__TEXT,__text) external _KLSetApplicationOptions
0000000191d540f0 (__TEXT,__text) external _KLSetDefaultLoginOption
0000000191d540d8 (__TEXT,__text) external _KLSetIdleCallback
0000000191d54208 (__TEXT,__text) external _KLSetKerberosDefaultRealm
0000000191d54210 (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
0000000191d541d0 (__TEXT,__text) external _KLSetKerberosRealm
0000000191d53f70 (__TEXT,__text) external _KLSetSystemDefaultCache
0000000191d538c4 (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
0000000191d53e88 (__TEXT,__text) external _KLTicketExpirationTime
0000000191d53da0 (__TEXT,__text) external _KLTicketStartTime
0000000191d53b58 (__TEXT,__text) external _KLValidateInitialTickets
0000000191d538d4 (__TEXT,__text) external _KLVerifyInitialTicketCredentials
0000000191d538cc (__TEXT,__text) external _KLVerifyInitialTickets
0000000191d58b50 (__TEXT,__text) external _KPCreatePreferencesFile
0000000191d58b3c (__TEXT,__text) external _KPFreeListOfPreferencesFiles
0000000191d58b34 (__TEXT,__text) external _KPGetListOfPreferencesFiles
0000000191d58b2c (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
0000000191d58b40 (__TEXT,__text) external _KPPreferencesFileIsReadable
0000000191d58b48 (__TEXT,__text) external _KPPreferencesFileIsWritable
0000000191d59038 (__TEXT,__text) external _KServerAddKeyCompat
0000000191d59040 (__TEXT,__text) external _KServerGetKeyCompat
0000000191d59030 (__TEXT,__text) external _KServerGetReplyTicketCompat
0000000191d59048 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
0000000191d59020 (__TEXT,__text) external _KServerNewSessionCompat
0000000191d59028 (__TEXT,__text) external _KServerVerifyTicketCompat
0000000191d5771c (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001e2e4bb10 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
0000000191d54a74 (__TEXT,__text) external ___KLAllowAutomaticPrompting
0000000191d54a64 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
0000000191d54a8c (__TEXT,__text) external ___KLAllowRememberPassword
0000000191d54af4 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
0000000191d54a94 (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
0000000191d54b40 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
0000000191d54b50 (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
0000000191d54ac4 (__TEXT,__text) external ___KLGetTripletFromPrincipal
0000000191d54b68 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
0000000191d54b68 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
0000000191d54b70 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
0000000191d54b48 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
0000000191d54b58 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
0000000191d54a84 (__TEXT,__text) external ___KLPromptMechanism
0000000191d54b60 (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
0000000191d54a50 (__TEXT,__text) external ___KLSetApplicationPrompter
0000000191d54a6c (__TEXT,__text) external ___KLSetAutomaticPrompting
0000000191d54a58 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
0000000191d54a7c (__TEXT,__text) external ___KLSetPromptMechanism
0000000191d52794 (__TEXT,__text) external ___KerberosDebugLogLevel
0000000191d5279c (__TEXT,__text) external ___KerberosDebugPrint
0000000191d527a4 (__TEXT,__text) external ___KerberosDebugPrintMemory
0000000191d527a8 (__TEXT,__text) external ___KerberosDebugPrintSession
0000000191d527a0 (__TEXT,__text) external ___KerberosDebugVAPrint
00000001e2e4b530 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
0000000191d4e5cc (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00000001df5c2120 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001df5c2160 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001df5c2140 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001e6ce9b40 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001e6ce9b80 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001e6ce9b60 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___error (from libSystem)
0000000191d51c08 (__TEXT,__text) non-external ___error_message_block_invoke
0000000191d4dadc (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
0000000191d51170 (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
0000000191d53514 (__TEXT,__text) non-external _acquireticket_ui
0000000191d56ef4 (__TEXT,__text) non-external _add_data_to_buffer
0000000191d4dc30 (__TEXT,__text) external _add_error_table
0000000191d5571c (__TEXT,__text) non-external _add_to_list
0000000191d5a9dc (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
0000000191d5aae0 (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _bzero (from libSystem)
0000000191d4dc38 (__TEXT,__text) external _cc_close
0000000191d4dc40 (__TEXT,__text) external _cc_create
0000000191d4dc48 (__TEXT,__text) external _cc_destroy
0000000191d4dc50 (__TEXT,__text) external _cc_free_NC_info
0000000191d4dc58 (__TEXT,__text) external _cc_free_creds
0000000191d4dc60 (__TEXT,__text) external _cc_free_name
0000000191d4dc68 (__TEXT,__text) external _cc_free_principal
00000001e5117b58 (__AUTH,__data) non-external (was a private external) _cc_functions
0000000191d4dc70 (__TEXT,__text) external _cc_get_NC_info
0000000191d4dc78 (__TEXT,__text) external _cc_get_change_time
0000000191d4dc80 (__TEXT,__text) external _cc_get_cred_version
0000000191d4dc88 (__TEXT,__text) external _cc_get_name
0000000191d4dc90 (__TEXT,__text) external _cc_get_principal
0000000191d4f574 (__TEXT,__text) external _cc_initialize
0000000191d507dc (__TEXT,__text) non-external _cc_iterator_clone
0000000191d4ebac (__TEXT,__text) non-external (was a private external) _cc_iterator_next
0000000191d50784 (__TEXT,__text) non-external _cc_iterator_release
0000000191d4dc98 (__TEXT,__text) external _cc_open
0000000191d4dca0 (__TEXT,__text) external _cc_remove_cred
0000000191d4dca8 (__TEXT,__text) external _cc_seq_fetch_NCs_begin
0000000191d4dcb0 (__TEXT,__text) external _cc_seq_fetch_NCs_end
0000000191d4dcb8 (__TEXT,__text) external _cc_seq_fetch_NCs_next
0000000191d4dcc0 (__TEXT,__text) external _cc_seq_fetch_creds_begin
0000000191d4dcc8 (__TEXT,__text) external _cc_seq_fetch_creds_end
0000000191d4dcd0 (__TEXT,__text) external _cc_seq_fetch_creds_next
0000000191d4dcd8 (__TEXT,__text) external _cc_set_principal
0000000191d4dce0 (__TEXT,__text) external _cc_shutdown
0000000191d4dce8 (__TEXT,__text) external _cc_store
0000000191d50694 (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
0000000191d503fc (__TEXT,__text) non-external _ccache_compare
0000000191d4f650 (__TEXT,__text) non-external _ccache_destroy
00000001e5117bc0 (__AUTH,__data) non-external _ccache_functions
0000000191d503a0 (__TEXT,__text) non-external _ccache_get_change_time
0000000191d4f760 (__TEXT,__text) non-external _ccache_get_credentials_version
0000000191d504ec (__TEXT,__text) non-external _ccache_get_kdc_time_offset
0000000191d50328 (__TEXT,__text) non-external _ccache_get_last_default_time
0000000191d4f77c (__TEXT,__text) non-external _ccache_get_name
0000000191d4f828 (__TEXT,__text) non-external _ccache_get_principal
00000001e5117c60 (__AUTH,__data) non-external _ccache_iterator_functions
0000000191d502b8 (__TEXT,__text) non-external _ccache_lock
0000000191d501f0 (__TEXT,__text) non-external _ccache_move
0000000191d500f8 (__TEXT,__text) non-external _ccache_new_credentials_iterator
0000000191d4eb4c (__TEXT,__text) non-external (was a private external) _ccache_release
0000000191d4ff1c (__TEXT,__text) non-external _ccache_remove_credentials
0000000191d4f6c8 (__TEXT,__text) non-external _ccache_set_default
0000000191d505d0 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
0000000191d4f97c (__TEXT,__text) non-external _ccache_set_principal
0000000191d4fac0 (__TEXT,__text) non-external _ccache_store_credentials
0000000191d502f0 (__TEXT,__text) non-external _ccache_unlock
0000000191d50724 (__TEXT,__text) non-external _ccache_wait_for_change
0000000191d5072c (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00000001df5c21d8 (__DATA_CONST,__const) non-external _conf_no
00000001df5c21a0 (__DATA_CONST,__const) non-external _conf_yes
00000001e2e4b6c8 (__DATA,__bss) non-external _context_change_time
0000000191d4f548 (__TEXT,__text) non-external _context_compare
0000000191d4f0a0 (__TEXT,__text) non-external _context_create_ccache
0000000191d4f1e0 (__TEXT,__text) non-external _context_create_default_ccache
0000000191d4f344 (__TEXT,__text) non-external _context_create_new_ccache
0000000191d4edc0 (__TEXT,__text) non-external _context_get_change_time
0000000191d4ee1c (__TEXT,__text) non-external _context_get_default_ccache_name
0000000191d4f538 (__TEXT,__text) non-external _context_lock
0000000191d4f490 (__TEXT,__text) non-external _context_new_ccache_iterator
0000000191d4eeb8 (__TEXT,__text) non-external _context_open_ccache
0000000191d4efb8 (__TEXT,__text) non-external _context_open_default_ccache
0000000191d4ed70 (__TEXT,__text) non-external _context_release
0000000191d4f540 (__TEXT,__text) non-external _context_unlock
0000000191d4f56c (__TEXT,__text) non-external _context_wait_for_change
0000000191d4ed18 (__TEXT,__text) non-external _create_ccache
0000000191d4e68c (__TEXT,__text) non-external _cred_compare
0000000191d4eae0 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00000001e5117b40 (__AUTH,__data) non-external (was a private external) _cred_iter_functions
0000000191d4e69c (__TEXT,__text) non-external (was a private external) _cred_iter_next
0000000191d4eae8 (__TEXT,__text) non-external _cred_iter_release
0000000191d4e640 (__TEXT,__text) non-external _cred_release
00000001e5117b30 (__AUTH,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
0000000191d58b60 (__TEXT,__text) external _decomp_ticket
0000000191d58d8c (__TEXT,__text) external _dest_all_tkts
0000000191d58d6c (__TEXT,__text) external _dest_tkt
0000000191d511a8 (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00000001e2e4b6e8 (__DATA,__bss) non-external _do_log
0000000191d569f4 (__TEXT,__text) non-external _dump_profile
0000000191d56eb0 (__TEXT,__text) non-external _dump_profile_to_buffer_cb
0000000191d56df8 (__TEXT,__text) non-external _dump_profile_to_file_cb
0000000191d4dcf0 (__TEXT,__text) external _encode_krb5_as_req
0000000191d557ac (__TEXT,__text) non-external _end_list
0000000191d51b70 (__TEXT,__text) external _error_message
00000001e2e4b700 (__DATA,__bss) non-external _error_message.buffer
00000001e2e4b6f8 (__DATA,__bss) non-external _error_message.et_list
00000001e2e4b6f0 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
0000000191d53c20 (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00000001e2e4bb08 (__DATA,__bss) non-external _g_cc_change_time
00000001e2e4b538 (__DATA,__data) non-external _g_change_time_mutex
00000001e2e4bb00 (__DATA,__bss) non-external _g_kl_change_time
0000000191d58bb8 (__TEXT,__text) external _get_ad_tkt
0000000191d58c30 (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00000001e2e4b458 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00000001e2e4b470 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00000001e2e4b430 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00000001e2e4b418 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00000001e2e4b3e8 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00000001e2e4b400 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00000001e2e4b3d0 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
                 (indirect) external _gss_create_empty_oid_set (for _gss_create_empty_oid_set)
                 (undefined) external _gss_delete_sec_context (from GSS)
                 (indirect) external _gss_delete_sec_context (for _gss_delete_sec_context)
                 (undefined) external _gss_display_name (from GSS)
                 (indirect) external _gss_display_name (for _gss_display_name)
                 (undefined) external _gss_display_status (from GSS)
                 (indirect) external _gss_display_status (for _gss_display_status)
                 (undefined) external _gss_duplicate_name (from GSS)
                 (indirect) external _gss_duplicate_name (for _gss_duplicate_name)
                 (undefined) external _gss_export_name (from GSS)
                 (indirect) external _gss_export_name (for _gss_export_name)
                 (undefined) external _gss_export_sec_context (from GSS)
                 (indirect) external _gss_export_sec_context (for _gss_export_sec_context)
                 (undefined) external _gss_get_mic (from GSS)
