00000001cd966854 (__TEXT,__text) non-external +[Cube initialize]
00000001cd973088 (__TEXT,__text) non-external +[DDXMLNode prefixForName:]
00000001cd971c84 (__TEXT,__text) non-external +[DDXMLNode processingInstructionWithName:stringValue:]
00000001cd973584 (__TEXT,__text) non-external +[DDXMLNode recursiveStripDocPointersFromNode:]
00000001cd973790 (__TEXT,__text) non-external +[DDXMLNode removeAllAttributesFromNode:]
00000001cd973a04 (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromDoc:]
00000001cd9739b8 (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromNode:]
00000001cd9738a8 (__TEXT,__text) non-external +[DDXMLNode removeAllNamespacesFromNode:]
00000001cd973744 (__TEXT,__text) non-external +[DDXMLNode removeAttribute:fromNode:]
00000001cd973974 (__TEXT,__text) non-external +[DDXMLNode removeChild:fromNode:]
00000001cd97385c (__TEXT,__text) non-external +[DDXMLNode removeNamespace:fromNode:]
00000001cd973568 (__TEXT,__text) non-external +[DDXMLNode stripDocPointersFromAttr:]
00000001cd971d5c (__TEXT,__text) non-external +[DDXMLNode textWithStringValue:]
00000001cd8a6fd4 (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00000001cd8a5b58 (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00000001cd8a7d20 (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00000001cd8a9a40 (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00000001cd8aa1a8 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00000001cd8aa1b0 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00000001cd8ab1ac (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00000001cd8ab1b4 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00000001cd8aa4d4 (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00000001cd8abb4c (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00000001cd8abb84 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00000001cd8ac030 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00000001cd8ad5f0 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00000001cd8ad8d4 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00000001cd8ad858 (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00000001cd8ae32c (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00000001cd8a792c (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00000001cd8af5b4 (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00000001cd8a6870 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00000001cd8a68bc (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00000001cd8b1440 (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00000001cd8b65a0 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00000001cd8b7b24 (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00000001cd8a970c (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00000001cd8a8b9c (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00000001cd8a9384 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00000001cd8a90fc (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00000001cd8bcf60 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00000001cd8bcce4 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00000001cd8bcabc (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00000001cd8bc968 (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00000001cd8bc8c0 (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00000001cd8bca20 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00000001cd8bc844 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00000001cd8bc6b0 (__TEXT,__text) non-external +[MCObjectBase initialize]
00000001cd8bceb0 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00000001cd8bda30 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00000001cd8c01bc (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00000001cd8c48d4 (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00000001cd8c5154 (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00000001cd8c9e20 (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00000001cd8a8010 (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00000001cd8a88c8 (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00000001cd8a8370 (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00000001cd8a85f4 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00000001cd8d31a8 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00000001cd8d39f4 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00000001cd8d1f04 (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00000001cd8d1f9c (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00000001cd8d1dfc (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00000001cd8d2fe4 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00000001cd8d1f78 (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00000001cd8d1ee0 (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00000001cd8d1cb0 (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00000001cd8d1e6c (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00000001cd8d2164 (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00000001cd8d2384 (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00000001cd8d2464 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00000001cd8d2ad8 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00000001cd8d2238 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00000001cd8d1d54 (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00000001cd8a73bc (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00000001cd939998 (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00000001cd9396fc (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00000001cd93a6e4 (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00000001cd93aa34 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00000001cd939474 (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00000001cd8cb37c (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00000001cd8cb554 (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00000001cd8cbcbc (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00000001cd8cbd94 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00000001cd8cbdac (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00000001cd8cbb8c (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00000001cd8cbf08 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00000001cd8cc1dc (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00000001cd8cc16c (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00000001cd92de34 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00000001cd92ddd0 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00000001cd92dd5c (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00000001cd8ccf54 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00000001cd8cced8 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00000001cd91e6e8 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00000001cd91e66c (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00000001cd98879c (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00000001cd988704 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00000001cd98a68c (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00000001cd98a5f4 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00000001cd769e9c (__TEXT,__text) non-external +[MPAction action]
00000001cd769e94 (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00000001cd76c68c (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00000001cd76c6bc (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00000001cd76b1d8 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00000001cd76b1d0 (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00000001cd76d364 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00000001cd76fc10 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00000001cd7700d4 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00000001cd77011c (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00000001cd7700cc (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00000001cd77053c (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00000001cd770594 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00000001cd770534 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00000001cd771980 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00000001cd771928 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00000001cd771920 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00000001cd77146c (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00000001cd7714bc (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00000001cd771464 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00000001cd772704 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00000001cd772690 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00000001cd7727e0 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00000001cd772b74 (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00000001cd772b6c (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00000001cd772dd4 (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00000001cd772dcc (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00000001cd77361c (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00000001cd773614 (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00000001cd76acb8 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00000001cd76acb0 (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00000001cd775e1c (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00000001cd775e10 (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00000001cd759790 (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00000001cd776814 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00000001cd776ae4 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00000001cd7769cc (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00000001cd776c9c (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00000001cd776c6c (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00000001cd776c94 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00000001cd778694 (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00000001cd778628 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00000001cd79f55c (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00000001cd7a19fc (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00000001cd79ffa8 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00000001cd7a21a4 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00000001cd79ede4 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00000001cd79ed9c (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00000001cd79ee2c (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00000001cd79f7c0 (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00000001cd7a1e90 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00000001cd7a1f04 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00000001cd79f770 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00000001cd7a1da8 (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00000001cd7a17bc (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00000001cd7a14a8 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00000001cd79fa6c (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00000001cd79fbb4 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00000001cd7a0114 (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00000001cd7a1338 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00000001cd79f5f0 (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00000001cd79eefc (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00000001cd79ee70 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00000001cd7a1c6c (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00000001cd7a23b8 (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00000001cd79f938 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00000001cd79f2cc (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00000001cd7a1294 (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00000001cd79ffe8 (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00000001cd79fb10 (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00000001cd7a0bf4 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00000001cd7a0d08 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00000001cd7a0c9c (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00000001cd7a196c (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00000001cd7a1c80 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00000001cd79fee8 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00000001cd7a2190 (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00000001cd7a0808 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00000001cd79eadc (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00000001cd7a0204 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00000001cd7a036c (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00000001cd7a0670 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00000001cd7a210c (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00000001cd7a22e4 (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00000001cd79f1c4 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00000001cd79f248 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00000001cd79f150 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00000001cd79f350 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00000001cd79ef64 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00000001cd79f3e0 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00000001cd79f04c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00000001cd79f0dc (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00000001cd7a0080 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00000001cd7a0a04 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00000001cd79f468 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00000001cd7a0d78 (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00000001cd7a0ec4 (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00000001cd79ed58 (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00000001cd79f9e4 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00000001cd79f6d8 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00000001cd7a1abc (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00000001cd79f634 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00000001cd7a0c30 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00000001cd7a2088 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00000001cd79f894 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00000001cd79f010 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00000001cd7a0628 (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00000001cd7a107c (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00000001cd7a1128 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00000001cd7a05e4 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00000001cd7a0fd4 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00000001cd7a1258 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00000001cd7a23d4 (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00000001cd7a1588 (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00000001cd7a0f6c (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00000001cd7a0498 (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00000001cd7a02b0 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00000001cd7a1214 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00000001cd7a1bf0 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00000001cd7a16a0 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00000001cd7a15f0 (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00000001cd7a1e1c (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00000001cd7a1a40 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00000001cd7a087c (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00000001cd79ff2c (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00000001cd7a1b2c (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00000001cd7a22b4 (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00000001cd7a1b74 (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00000001cd7a13f0 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00000001cd7a015c (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00000001cd79f778 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00000001cd7a1874 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00000001cd7a1d08 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00000001cd7a0540 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00000001cd7a1f78 (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00000001cd7a08e4 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00000001cd7a0b4c (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00000001cd7a0aa0 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00000001cd7a0954 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
00000001cd7a19b4 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldDuckMoviesFromOptions:]
00000001cd79ed20 (__TEXT,__text) non-external +[MPAuthoringUtilities styleFromOptions:]
00000001cd7a1c58 (__TEXT,__text) non-external +[MPAuthoringUtilities subtitlesFromOptions:]
00000001cd7a070c (__TEXT,__text) non-external +[MPAuthoringUtilities titleEffectFromOptions:]
