0000000197fd171c (__TEXT,__text) non-external +[CalAlarm alarm]
0000000197fd6bc0 (__TEXT,__text) non-external -[CalAlarm setSound:]
0000000197fd7284 (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
0000000197fd6bc8 (__TEXT,__text) non-external -[CalAlarm setUrl:]
0000000197fd2080 (__TEXT,__text) non-external -[CalAlarm sound]
0000000197fd6c50 (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
0000000197fd727c (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
0000000197fd2078 (__TEXT,__text) non-external -[CalAlarm url]
0000000197fd2be4 (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
0000000197fd2564 (__TEXT,__text) non-external -[CalAttendee address]
0000000197fd256c (__TEXT,__text) non-external -[CalAttendee commonName]
0000000197fd2b6c (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
0000000197fd248c (__TEXT,__text) non-external -[CalAttendee description]
0000000197fd2bd0 (__TEXT,__text) non-external -[CalAttendee ekParticipant]
0000000197fd28b8 (__TEXT,__text) non-external -[CalAttendee hash]
0000000197fd2818 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
0000000197fd28c0 (__TEXT,__text) non-external -[CalAttendee isEqual:]
0000000197fd2bd8 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
0000000197fd2574 (__TEXT,__text) non-external -[CalAttendee status]
0000000197fd6a04 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
0000000197fd1e9c (__TEXT,__text) non-external -[CalCalendar color]
0000000197fd6994 (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
0000000197fd1d18 (__TEXT,__text) non-external -[CalCalendar description]
0000000197fd69f0 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
0000000197fd657c (__TEXT,__text) non-external -[CalCalendar hash]
0000000197fd64c4 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
0000000197fd63e4 (__TEXT,__text) non-external -[CalCalendar init]
0000000197fd12c8 (__TEXT,__text) non-external -[CalCalendar isEditable]
0000000197fd6584 (__TEXT,__text) non-external -[CalCalendar isEqual:]
0000000197fd1e44 (__TEXT,__text) non-external -[CalCalendar notes]
0000000197fd656c (__TEXT,__text) non-external -[CalCalendar setColor:]
0000000197fd69f8 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
0000000197fd6574 (__TEXT,__text) non-external -[CalCalendar setNotes:]
0000000197fd6564 (__TEXT,__text) non-external -[CalCalendar setTitle:]
0000000197fd1e3c (__TEXT,__text) non-external -[CalCalendar title]
0000000197fd1ea4 (__TEXT,__text) non-external -[CalCalendar type]
0000000197fd12d0 (__TEXT,__text) non-external -[CalCalendar uid]
0000000197fdae10 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
0000000197fda048 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
0000000197fda120 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
0000000197fd1b18 (__TEXT,__text) non-external -[CalCalendarItem alarms]
0000000197fd1aa8 (__TEXT,__text) non-external -[CalCalendarItem calendar]
0000000197fdad8c (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
0000000197fd1a88 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
0000000197fd1938 (__TEXT,__text) non-external -[CalCalendarItem description]
0000000197fdade8 (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
0000000197fda020 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
0000000197fdad84 (__TEXT,__text) non-external -[CalCalendarItem hash]
0000000197fd9ea4 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
0000000197fda4b8 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
0000000197fda028 (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
0000000197fd1a98 (__TEXT,__text) non-external -[CalCalendarItem notes]
0000000197fda218 (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
0000000197fda26c (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
0000000197fda364 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
0000000197fd9fcc (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
0000000197fdadf0 (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
0000000197fda030 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
0000000197fda040 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
0000000197fdae04 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
0000000197fda038 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
0000000197fdaae0 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
0000000197fd1a90 (__TEXT,__text) non-external -[CalCalendarItem title]
0000000197fd1a80 (__TEXT,__text) non-external -[CalCalendarItem uid]
0000000197fdadfc (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
0000000197fd1aa0 (__TEXT,__text) non-external -[CalCalendarItem url]
0000000197fd63a8 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
0000000197fd46b4 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
0000000197fd46bc (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
0000000197fd2f78 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
0000000197fd107c (__TEXT,__text) non-external -[CalCalendarStore calendars]
0000000197fd2f74 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
0000000197fd3938 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
0000000197fd6394 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
0000000197fd326c (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
0000000197fd3064 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
0000000197fd4850 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
0000000197fd3624 (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
0000000197fd2c40 (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
0000000197fd2c00 (__TEXT,__text) non-external -[CalCalendarStore init]
0000000197fd4f0c (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
0000000197fd3de4 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
0000000197fd448c (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
0000000197fd496c (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
0000000197fd3950 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
0000000197fd4104 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
0000000197fd639c (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
0000000197fd3538 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
0000000197fd3374 (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
0000000197fd7f68 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
0000000197fd22e8 (__TEXT,__text) non-external -[CalEvent attendees]
0000000197fd73b0 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
0000000197fd17b4 (__TEXT,__text) non-external -[CalEvent description]
0000000197fd73a8 (__TEXT,__text) non-external -[CalEvent ekEvent]
0000000197fd21ac (__TEXT,__text) non-external -[CalEvent endDate]
0000000197fd7310 (__TEXT,__text) non-external -[CalEvent init]
0000000197fd2204 (__TEXT,__text) non-external -[CalEvent isAllDay]
0000000197fd7db8 (__TEXT,__text) non-external -[CalEvent isDetached]
0000000197fd7438 (__TEXT,__text) non-external -[CalEvent isEqual:]
0000000197fd2154 (__TEXT,__text) non-external -[CalEvent location]
0000000197fd7df8 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
0000000197fd20a8 (__TEXT,__text) non-external -[CalEvent occurrence]
0000000197fd2244 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
0000000197fd73ac (__TEXT,__text) non-external -[CalEvent setEKEvent:]
0000000197fd7f54 (__TEXT,__text) non-external -[CalEvent setEkEvent:]
0000000197fd7d54 (__TEXT,__text) non-external -[CalEvent setEndDate:]
0000000197fd7b4c (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
0000000197fd7b98 (__TEXT,__text) non-external -[CalEvent setLocation:]
0000000197fd7bfc (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
0000000197fd7cf0 (__TEXT,__text) non-external -[CalEvent setStartDate:]
0000000197fd798c (__TEXT,__text) non-external -[CalEvent sortedAttendees]
0000000197fd12d8 (__TEXT,__text) non-external -[CalEvent startDate]
0000000197fd98fc (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
0000000197fd9814 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
0000000197fd98d8 (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
0000000197fd9698 (__TEXT,__text) non-external -[CalNthWeekDay description]
0000000197fd98e8 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
0000000197fd9754 (__TEXT,__text) non-external -[CalNthWeekDay hash]
0000000197fd95f8 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
0000000197fd975c (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
0000000197fd98f0 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
0000000197fd98e0 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
0000000197fd2804 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
0000000197fd2734 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
0000000197fd264c (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
0000000197fd2790 (__TEXT,__text) non-external -[CalPredicate predicate]
0000000197fd2720 (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
0000000197fd2710 (__TEXT,__text) non-external -[CalPredicate subpredicate]
0000000197fd9e98 (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
0000000197fd9c30 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
0000000197fd99e8 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
0000000197fd9e84 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
0000000197fd9e74 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
0000000197fd9af4 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
0000000197fd9dd4 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
0000000197fd9c84 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
0000000197fd9d34 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
0000000197fd9afc (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
0000000197fd9e7c (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
0000000197fd9e8c (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
0000000197fd99ac (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
0000000197fd95ec (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
0000000197fd8df8 (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
0000000197fd14fc (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
0000000197fd1360 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
0000000197fd25b0 (__TEXT,__text) non-external -[CalRecurrenceRule description]
0000000197fd95d8 (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
0000000197fd95d0 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
0000000197fd89c4 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
0000000197fd801c (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
0000000197fd83bc (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
0000000197fd8578 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
0000000197fd8484 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
0000000197fd80e4 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
0000000197fd81ac (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
0000000197fd7f7c (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
0000000197fd86b4 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
0000000197fd8870 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
0000000197fd877c (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
0000000197fd89cc (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
0000000197fd16a4 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
0000000197fd1504 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
0000000197fd16ac (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
0000000197fd1358 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
0000000197fd1330 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
0000000197fd95e0 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
0000000197fd8f74 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
0000000197fdb618 (__TEXT,__text) non-external -[CalTask .cxx_destruct]
0000000197fdafb0 (__TEXT,__text) non-external -[CalTask completedDate]
0000000197fdb308 (__TEXT,__text) non-external -[CalTask description]
0000000197fdb06c (__TEXT,__text) non-external -[CalTask dueDate]
0000000197fdaf1c (__TEXT,__text) non-external -[CalTask ekReminder]
0000000197fdae84 (__TEXT,__text) non-external -[CalTask init]
0000000197fdaf24 (__TEXT,__text) non-external -[CalTask isCompleted]
0000000197fdb3fc (__TEXT,__text) non-external -[CalTask isEqual:]
0000000197fdb1b4 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
0000000197fdb128 (__TEXT,__text) non-external -[CalTask priority]
0000000197fdb008 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
0000000197fdb0c4 (__TEXT,__text) non-external -[CalTask setDueDate:]
0000000197fdaf20 (__TEXT,__text) non-external -[CalTask setEKReminder:]
0000000197fdb604 (__TEXT,__text) non-external -[CalTask setEkReminder:]
0000000197fdaf64 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
0000000197fdb168 (__TEXT,__text) non-external -[CalTask setPriority:]
0000000197fdcc28 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
0000000197fdcc3c (__TEXT,__gcc_except_tab) non-external GCC_except_table4
0000000197fdcc54 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001e77ee6a8 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00000001e77ee6b0 (__DATA_CONST,__const) external _CalAlarmActionEmail
00000001e77ee6b8 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00000001e77ee6c0 (__DATA_CONST,__const) external _CalAlarmActionSound
00000001e77ee568 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00000001e77ee588 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00000001e77ee570 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00000001e77ee580 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00000001e77ee590 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00000001e77ee560 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00000001e77ee578 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00000001e77ee630 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00000001e77ee638 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00000001e77ee640 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00000001e77ee660 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00000001e77ee648 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00000001e77ee650 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00000001e77ee658 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00000001e77ee668 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00000001e77ee670 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00000001e77ee5f0 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00000001e77ee5d8 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
0000000197fdcc78 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00000001e77ee618 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00000001e77ee5f8 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00000001e77ee5e0 (__DATA_CONST,__const) external _CalEventsChangedNotification
00000001e77ee608 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00000001e77ee620 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00000001e77ee700 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00000001e77ee600 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00000001e77ee5e8 (__DATA_CONST,__const) external _CalTasksChangedNotification
00000001e77ee610 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00000001e77ee628 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00000001edc989b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAlarm
00000001edc988c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAttendee
00000001edc98968 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendar
00000001edc98b48 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00000001edc98918 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00000001edc98a08 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEvent
00000001edc98aa8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00000001edc98878 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalPredicate
                 (undefined) external _OBJC_CLASS_$_CalRecurrenceDayOfWeek (from CalendarFoundation)
00000001edc98af8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00000001edc98a58 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00000001edc98b98 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00000001eb1c9570 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00000001eb1c9574 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00000001eb1c9578 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00000001eb1c9564 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00000001eb1c956c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00000001eb1c958c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00000001eb1c9590 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00000001eb1c9568 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00000001eb1c957c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00000001eb1c9584 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00000001eb1c9560 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00000001eb1c9588 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00000001eb1c9580 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00000001eb1c9594 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00000001edc989e0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00000001edc988f0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00000001edc98990 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00000001edc98b70 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00000001edc98940 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
