00000001d548ffd0 (__DATA,__data) external _NDR_record
00000001803fe300 (__TEXT,__text) external ___fchmod_extended
00000001803f9414 (__TEXT,__text) external ___fcntl
00000001803fcbf0 (__TEXT,__text) external ___fcntl_nocancel
0000000180400404 (__TEXT,__text) external ___fork
0000000180405a50 (__TEXT,__text) external ___fs_snapshot
0000000180406e00 (__TEXT,__text) external ___fstat
00000001803fe2d4 (__TEXT,__text) external ___fstat64_extended
0000000180405a7c (__TEXT,__text) external ___fstat_extended
0000000180406e58 (__TEXT,__text) external ___fstatat
0000000180406eb0 (__TEXT,__text) external ___fstatfs
0000000180405aa8 (__TEXT,__text) external ___fsync_nocancel
0000000180402004 (__TEXT,__text) external ___get_remove_counter
00000001803f92b0 (__TEXT,__text) external ___getattrlist
00000001803fa530 (__TEXT,__text) external ___getdirentries64
0000000180406fb8 (__TEXT,__text) external ___getfsstat
00000001803fe19c (__TEXT,__text) external ___gethostuuid
0000000180404924 (__TEXT,__text) external ___getlogin
00000001803fcf74 (__TEXT,__text) external ___getpeername
00000001803f8dec (__TEXT,__text) external ___getpid
00000001803fac3c (__TEXT,__text) external ___getrlimit
0000000180405ad4 (__TEXT,__text) external ___getsgroups
0000000180400510 (__TEXT,__text) external ___getsockname
00000001803fa3f0 (__TEXT,__text) external ___gettid
00000001803fc6f4 (__TEXT,__text) external ___gettimeofday
00000001803fc6c8 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180405b00 (__TEXT,__text) external ___getwgroups
0000000180405b2c (__TEXT,__text) external ___guarded_open_dprotected_np
00000001803fc12c (__TEXT,__text) external ___guarded_open_np
0000000180405b58 (__TEXT,__text) external ___identitysvc
00000001803fc450 (__TEXT,__text) external ___inc_remove_counter
00000001804048f8 (__TEXT,__text) external ___initgroups
00000001803fcdb4 (__TEXT,__text) external ___ioctl
00000001803fd124 (__TEXT,__text) external ___iopolicysys
0000000180405b84 (__TEXT,__text) external ___kdebug_trace
00000001803fb494 (__TEXT,__text) external ___kdebug_trace64
0000000180405bb0 (__TEXT,__text) external ___kdebug_trace_string
00000001803fe474 (__TEXT,__text) external ___kdebug_typefilter
000000018042b9e8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
000000018042b9b0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180400b30 (__TEXT,__text) external ___kill
00000001803fee88 (__TEXT,__text) external ___kqueue_workloop_ctl
00000001803fe3b0 (__TEXT,__text) external ___lchown
00000001803fe4a0 (__TEXT,__text) external ___libkernel_init
0000000180408214 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180408124 (__TEXT,__text) external ___libkernel_init_late
00000001803fe744 (__TEXT,__text) external ___libkernel_platform_init
00000001803f8ddc (__TEXT,__text) external ___libkernel_voucher_init
00000001804011cc (__TEXT,__text) external ___listen
0000000180405bdc (__TEXT,__text) external ___log_data
00000001803fa190 (__TEXT,__text) external ___lseek
000000018040719c (__TEXT,__text) external ___lstat
00000001803fe220 (__TEXT,__text) external ___lstat64_extended
0000000180405c08 (__TEXT,__text) external ___lstat_extended
0000000180405c34 (__TEXT,__text) external ___mac_execve
0000000180405c60 (__TEXT,__text) external ___mac_get_fd
0000000180405c8c (__TEXT,__text) external ___mac_get_file
0000000180405cb8 (__TEXT,__text) external ___mac_get_link
0000000180405ce4 (__TEXT,__text) external ___mac_get_mount
0000000180405d10 (__TEXT,__text) external ___mac_get_pid
0000000180405d3c (__TEXT,__text) external ___mac_get_proc
0000000180405d68 (__TEXT,__text) external ___mac_getfsstat
0000000180405d94 (__TEXT,__text) external ___mac_mount
0000000180405dc0 (__TEXT,__text) external ___mac_set_fd
0000000180405dec (__TEXT,__text) external ___mac_set_file
0000000180405e18 (__TEXT,__text) external ___mac_set_link
000000018040116c (__TEXT,__text) external ___mac_set_proc
00000001803fa29c (__TEXT,__text) external ___mac_syscall
0000000180405e44 (__TEXT,__text) external ___mach_bridge_remote_time
0000000180405e70 (__TEXT,__text) external ___mach_eventlink_signal
0000000180405e9c (__TEXT,__text) external ___mach_eventlink_signal_wait_until
0000000180405ec8 (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180405ef4 (__TEXT,__text) external ___map_with_linking_np
0000000180405f20 (__TEXT,__text) external ___memorystatus_available_memory
0000000180405f4c (__TEXT,__text) external ___microstackshot
0000000180405f78 (__TEXT,__text) external ___mkdir_extended
0000000180405fa4 (__TEXT,__text) external ___mkfifo_extended
00000001803f9568 (__TEXT,__text) external ___mmap
00000001803fc69c (__TEXT,__text) external ___mprotect
0000000180405fd0 (__TEXT,__text) external ___msgctl
0000000180405ffc (__TEXT,__text) external ___msgrcv_nocancel
0000000180406028 (__TEXT,__text) external ___msgsnd_nocancel
0000000180406054 (__TEXT,__text) external ___msgsys
00000001803fedf8 (__TEXT,__text) external ___msync
0000000180406080 (__TEXT,__text) external ___msync_nocancel
00000001803fc2c0 (__TEXT,__text) external ___munmap
00000001804060ac (__TEXT,__text) external ___nexus_create
00000001804060d8 (__TEXT,__text) external ___nexus_deregister
0000000180406104 (__TEXT,__text) external ___nexus_destroy
0000000180406130 (__TEXT,__text) external ___nexus_get_opt
000000018040615c (__TEXT,__text) external ___nexus_open
0000000180406188 (__TEXT,__text) external ___nexus_register
00000001804061b4 (__TEXT,__text) external ___nexus_set_opt
00000001803f9308 (__TEXT,__text) external ___open
00000001803fe2a8 (__TEXT,__text) external ___open_dprotected_np
0000000180404f34 (__TEXT,__text) external ___open_extended
00000001803f9498 (__TEXT,__text) external ___open_nocancel
00000001803fa11c (__TEXT,__text) external ___openat
00000001804061e0 (__TEXT,__text) external ___openat_dprotected_np
00000001803fe408 (__TEXT,__text) external ___openat_nocancel
00000001d5490078 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180413be4 (__TEXT,__text) external ___os_nexus_flow_add
0000000180413c6c (__TEXT,__text) external ___os_nexus_flow_del
0000000180413dc8 (__TEXT,__text) external ___os_nexus_get_llink_info
0000000180413a04 (__TEXT,__text) external ___os_nexus_ifattach
0000000180413b24 (__TEXT,__text) external ___os_nexus_ifdetach
00000001803fc7ec (__TEXT,__text) external ___persona
00000001803fee24 (__TEXT,__text) external ___pipe
000000018040620c (__TEXT,__text) external ___poll_nocancel
00000001803ffb6c (__TEXT,__text) external ___posix_spawn
0000000180406238 (__TEXT,__text) external ___pread_nocancel
0000000180406264 (__TEXT,__text) external ___preadv_nocancel
00000001803f9c64 (__TEXT,__text) external ___proc_info
0000000180406290 (__TEXT,__text) external ___proc_info_extended_id
0000000180400588 (__TEXT,__text) external ___process_policy
00000001803feb84 (__TEXT,__text) external ___pselect
00000001804062bc (__TEXT,__text) external ___pselect_nocancel
00000001803fc0d0 (__TEXT,__text) external ___psynch_cvbroad
00000001803fc750 (__TEXT,__text) external ___psynch_cvclrprepost
00000001803fd500 (__TEXT,__text) external ___psynch_cvsignal
00000001803fc0a4 (__TEXT,__text) external ___psynch_cvwait
00000001803fb72c (__TEXT,__text) external ___psynch_mutexdrop
00000001803fb55c (__TEXT,__text) external ___psynch_mutexwait
00000001804062e8 (__TEXT,__text) external ___psynch_rw_downgrade
0000000180406314 (__TEXT,__text) external ___psynch_rw_longrdlock
00000001803fdd24 (__TEXT,__text) external ___psynch_rw_rdlock
00000001803fdcf8 (__TEXT,__text) external ___psynch_rw_unlock
0000000180406340 (__TEXT,__text) external ___psynch_rw_unlock2
000000018040636c (__TEXT,__text) external ___psynch_rw_upgrade
00000001803fdccc (__TEXT,__text) external ___psynch_rw_wrlock
0000000180406398 (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180404c10 (__TEXT,__text) external ___pthread_canceled
00000001803ff8ec (__TEXT,__text) external ___pthread_chdir
00000001803ff8c0 (__TEXT,__text) external ___pthread_fchdir
0000000180401114 (__TEXT,__text) external ___pthread_kill
00000001804063c4 (__TEXT,__text) external ___pthread_markcancel
00000001803fff94 (__TEXT,__text) external ___pthread_sigmask
0000000180401598 (__TEXT,__text) external ___ptrace
00000001804063f0 (__TEXT,__text) external ___pwrite_nocancel
000000018040641c (__TEXT,__text) external ___pwritev_nocancel
00000001803fa818 (__TEXT,__text) external ___read_nocancel
0000000180406448 (__TEXT,__text) external ___readv_nocancel
0000000180406474 (__TEXT,__text) external ___reboot
00000001804064a0 (__TEXT,__text) external ___record_system_event
00000001803fce38 (__TEXT,__text) external ___recvfrom
00000001803fcd00 (__TEXT,__text) external ___recvfrom_nocancel
00000001803fd268 (__TEXT,__text) external ___recvmsg
00000001804064cc (__TEXT,__text) external ___recvmsg_nocancel
00000001d65f4c18 (__DATA_DIRTY,__bss) non-external ___remove_counter
00000001803fc424 (__TEXT,__text) external ___rename
00000001804064f8 (__TEXT,__text) external ___renameat
0000000180406524 (__TEXT,__text) external ___renameatx_np
00000001803fc490 (__TEXT,__text) external ___rmdir
0000000180405c34 (__TEXT,__text) external ___sandbox_me
0000000180405d94 (__TEXT,__text) external ___sandbox_mm
00000001803fa29c (__TEXT,__text) external ___sandbox_ms
000000018040116c (__TEXT,__text) external ___sandbox_msp
0000000180403a0c (__TEXT,__text) external ___select
00000001803fccd4 (__TEXT,__text) external ___select_nocancel
0000000180402294 (__TEXT,__text) external ___sem_open
0000000180406550 (__TEXT,__text) external ___sem_wait_nocancel
000000018040657c (__TEXT,__text) external ___semctl
00000001804065a8 (__TEXT,__text) external ___semsys
00000001803fbea0 (__TEXT,__text) external ___semwait_signal
00000001803fffc0 (__TEXT,__text) external ___semwait_signal_nocancel
00000001803fe434 (__TEXT,__text) external ___sendmsg
00000001803fcd58 (__TEXT,__text) external ___sendmsg_nocancel
00000001803fce0c (__TEXT,__text) external ___sendto
00000001803fcc74 (__TEXT,__text) external ___sendto_nocancel
00000001803fc020 (__TEXT,__text) external ___setattrlist
00000001804048cc (__TEXT,__text) external ___setlogin
0000000180400c44 (__TEXT,__text) external ___setpriority
00000001804065d4 (__TEXT,__text) external ___setregid
0000000180406600 (__TEXT,__text) external ___setreuid
00000001803fb590 (__TEXT,__text) external ___setrlimit
000000018040662c (__TEXT,__text) external ___setsgroups
0000000180402018 (__TEXT,__text) external ___settid
0000000180406658 (__TEXT,__text) external ___settid_with_pid
0000000180406684 (__TEXT,__text) external ___settimeofday
00000001804066b0 (__TEXT,__text) external ___setwgroups
000000018040232c (__TEXT,__text) external ___sfi_ctl
00000001804066dc (__TEXT,__text) external ___sfi_pidctl
0000000180406708 (__TEXT,__text) external ___shared_region_check_np
0000000180406734 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00000001803fa0c4 (__TEXT,__text) external ___shm_open
0000000180406760 (__TEXT,__text) external ___shmctl
000000018040678c (__TEXT,__text) external ___shmsys
00000001803feeb4 (__TEXT,__text) external ___sigaction
00000001803fbf9c (__TEXT,__text) external ___sigaltstack
000000018040435c (__TEXT,__text) external ___sigreturn
00000001804067b8 (__TEXT,__text) external ___sigsuspend
00000001803ffff8 (__TEXT,__text) external ___sigsuspend_nocancel
00000001804043b4 (__TEXT,__text) external ___sigwait
00000001803fcd2c (__TEXT,__text) external ___socketpair
00000001804067e4 (__TEXT,__text) external ___stack_snapshot_with_config
0000000180407bec (__TEXT,__text) external ___stat
00000001803fe1c8 (__TEXT,__text) external ___stat64_extended
0000000180406810 (__TEXT,__text) external ___stat_extended
0000000180407c18 (__TEXT,__text) external ___statfs
00000001803fac94 (__TEXT,__text) external ___syscall
00000001d5490048 (__DATA,__common) external ___syscall_logger
00000001803f9fc4 (__TEXT,__text) external ___sysctl
00000001803fa1f8 (__TEXT,__text) external ___sysctlbyname
000000018040683c (__TEXT,__text) external ___telemetry
0000000180403188 (__TEXT,__text) external ___terminate_with_payload
00000001803fa638 (__TEXT,__text) external ___thread_selfid
0000000180406868 (__TEXT,__text) external ___thread_selfusage
00000001803fa664 (__TEXT,__text) external ___ulock_wait
0000000180406894 (__TEXT,__text) external ___ulock_wait2
00000001803fa738 (__TEXT,__text) external ___ulock_wake
00000001804068c0 (__TEXT,__text) external ___umask_extended
00000001803fc844 (__TEXT,__text) external ___unlink
000000018040266c (__TEXT,__text) external ___unlinkat
00000001804068ec (__TEXT,__text) external ___vfork
00000001803fff14 (__TEXT,__text) external ___wait4
0000000180404f08 (__TEXT,__text) external ___wait4_nocancel
000000018040695c (__TEXT,__text) external ___waitid_nocancel
0000000180401778 (__TEXT,__text) external ___work_interval_ctl
00000001803fa55c (__TEXT,__text) external ___workq_kernreturn
00000001803fa588 (__TEXT,__text) external ___workq_open
00000001803fc77c (__TEXT,__text) external ___write_nocancel
0000000180406988 (__TEXT,__text) external ___writev_nocancel
00000001d549003c (__DATA,__common) external __cpu_capabilities
00000001d5490040 (__DATA,__common) external __cpu_has_altivec
00000001d65f4548 (__DATA_DIRTY,__data) external __current_pid
00000001d65f4bf0 (__DATA_DIRTY,__bss) non-external __dlsym
00000001803f8960 (__TEXT,__text) external __exclaves_ctl_trap
0000000180408e44 (__TEXT,__text) non-external __execve_with_filter
0000000180400024 (__TEXT,__text) external __exit
00000001803fe708 (__TEXT,__text) external __get_cpu_capabilities
00000001d5490060 (__DATA,__bss) non-external __gethostuuid_callback
000000018040c8a4 (__TEXT,__text) external __getprivatesystemidentifier
00000001804194cc (__TEXT,__text) external __host_page_size
00000001803fe704 (__TEXT,__text) external __init_cpu_capabilities
000000018041a6a8 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
000000018041ba80 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000018041c754 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
000000018041b960 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000018041c5e0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001803f8750 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
000000018041e318 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
000000018041d3d8 (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001803f87a4 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
000000018041bcf8 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001803f875c (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
000000018041bbd8 (__TEXT,__text) external __kernelrpc_mach_port_destroy
000000018041d54c (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001803f87b0 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
000000018041cd58 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
000000018041d148 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001803f8798 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180402b9c (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000001804035d4 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001803f8858 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001803fddbc (__TEXT,__text) external __kernelrpc_mach_port_get_context
00000001803fbd4c (__TEXT,__text) external __kernelrpc_mach_port_get_refs
000000018041e13c (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180404a78 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000018041ca00 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
000000018041d66c (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001803f8864 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
000000018041db5c (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
000000018041d028 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001803f878c (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000018041c390 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001803f8780 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
000000018041dfe4 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
000000018041cec0 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000018041d268 (__TEXT,__text) external __kernelrpc_mach_port_kobject
000000018041dda4 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
000000018041be18 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001803f8768 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000018041c270 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001803f8774 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000018041b67c (__TEXT,__text) external __kernelrpc_mach_port_names
000000018041bf38 (__TEXT,__text) external __kernelrpc_mach_port_peek
000000018041b840 (__TEXT,__text) external __kernelrpc_mach_port_rename
00000001803fc89c (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001803f8954 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001803fb280 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180404954 (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000018041c150 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000018041c4c0 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
000000018041d8b0 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000018041cb58 (__TEXT,__text) external __kernelrpc_mach_port_space_info
000000018041da04 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
000000018041dc80 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180401878 (__TEXT,__text) external __kernelrpc_mach_port_type
00000001803f8948 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
000000018041d790 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001803f8870 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180425fc0 (__TEXT,__text) external __kernelrpc_mach_task_is_self
000000018041e484 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001803f8708 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
000000018041e5e0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001803f8720 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00000001803f9c90 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001803f8744 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
000000018041e700 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001803f8738 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
000000018041f5dc (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001803f8714 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
000000018041e948 (__TEXT,__text) external __kernelrpc_mach_vm_read
000000018041f13c (__TEXT,__text) external __kernelrpc_mach_vm_remap
000000018041fa7c (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
000000018042a764 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000018041c8e0 (__TEXT,__text) external __kernelrpc_task_set_port_space
00000001803fdb0c (__TEXT,__text) external __kernelrpc_thread_policy
00000001803fec98 (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001804285c8 (__TEXT,__text) external __kernelrpc_thread_set_policy
0000000180404ce0 (__TEXT,__text) external __kernelrpc_vm_map
0000000180429b18 (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000180402108 (__TEXT,__text) external __kernelrpc_vm_read
00000001803fae80 (__TEXT,__text) external __kernelrpc_vm_remap
0000000180429c70 (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180408288 (__TEXT,__text) non-external __libkernel_bzero
00000001d65f4be8 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001da437ee8 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
000000018040831c (__TEXT,__text) non-external __libkernel_memmove
0000000180408294 (__TEXT,__text) non-external __libkernel_memset
0000000180408250 (__TEXT,__text) non-external __libkernel_strchr
00000001803fe71c (__TEXT,__text) non-external __libkernel_strcmp
00000001804086f4 (__TEXT,__text) non-external __libkernel_strcpy
00000001d65f4550 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
0000000180408f80 (__TEXT,__text) non-external __libkernel_strlcpy
000000018040800c (__TEXT,__text) non-external __libkernel_strlen
00000001d65f4558 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
000000018042b980 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
000000018040a654 (__TEXT,__text) non-external __mach_continuous_time
00000001d3305070 (__DATA_CONST,__const) external __mach_errors
000000018040abb0 (__TEXT,__text) external __mach_fork_child
000000018040b1c4 (__TEXT,__text) external __mach_snprintf
000000018040b050 (__TEXT,__text) external __mach_vsnprintf
00000001d65f45a0 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001d5490018 (__DATA,__common) external __os_xbs_chrooted
00000001803ff424 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000018040873c (__TEXT,__text) non-external __posix_spawn_with_filter
000000018040c8a8 (__TEXT,__text) external __register_gethostuuid_callback
0000000180408434 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00000001804084e0 (__TEXT,__text) non-external __system_version_compat_open_shim
00000001d65f4bfc (__DATA_DIRTY,__bss) non-external __task_reply_port
0000000180407f04 (__TEXT,__text) external __thread_set_tsd_base
000000018042ae60 (__TEXT,__text) non-external _abort
000000018042ae84 (__TEXT,__text) non-external _abort.561
000000018042aea8 (__TEXT,__text) non-external _abort.563
000000018042aecc (__TEXT,__text) non-external _abort.580
000000018042af9c (__TEXT,__text) external _abort_with_payload
000000018042af10 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000018042aef0 (__TEXT,__text) external _abort_with_reason
00000001804011f8 (__TEXT,__text) external _accept
0000000180405790 (__TEXT,__text) external _accept$NOCANCEL
00000001803f92dc (__TEXT,__text) external _access
00000001804057bc (__TEXT,__text) external _accessx_np
00000001804069b4 (__TEXT,__text) external _acct
0000000180426efc (__TEXT,__text) external _act_get_state
0000000180427148 (__TEXT,__text) external _act_set_state
00000001804069e0 (__TEXT,__text) external _adjtime
0000000180406a0c (__TEXT,__text) external _aio_cancel
0000000180406a38 (__TEXT,__text) external _aio_error
0000000180406a64 (__TEXT,__text) external _aio_fsync
0000000180406a90 (__TEXT,__text) external _aio_read
0000000180406abc (__TEXT,__text) external _aio_return
0000000180406ae8 (__TEXT,__text) external _aio_suspend
00000001804057e8 (__TEXT,__text) external _aio_suspend$NOCANCEL
0000000180406b14 (__TEXT,__text) external _aio_write
0000000180406b40 (__TEXT,__text) external _audit
0000000180404388 (__TEXT,__text) external _audit_session_join
0000000180404178 (__TEXT,__text) external _audit_session_port
00000001803fcb14 (__TEXT,__text) external _audit_session_self
0000000180406b6c (__TEXT,__text) external _auditctl
00000001804022ec (__TEXT,__text) external _auditon
0000000180400648 (__TEXT,__text) external _bind
00000001d65f4564 (__DATA_DIRTY,__common) external _bootstrap_port
0000000180407fec (__TEXT,__text) non-external _bzero
00000001803fa148 (__TEXT,__text) external _cerror
00000001803f9270 (__TEXT,__text) external _cerror_nocancel
00000001803fca50 (__TEXT,__text) external _change_fdguard_np
00000001803fa2c8 (__TEXT,__text) external _chdir
0000000180400b5c (__TEXT,__text) external _chflags
00000001803fc4bc (__TEXT,__text) external _chmod
000000018040061c (__TEXT,__text) external _chown
0000000180406b98 (__TEXT,__text) external _chroot
0000000180416134 (__TEXT,__text) external _clock_alarm
0000000180415f00 (__TEXT,__text) external _clock_alarm_reply
0000000180415f68 (__TEXT,__text) external _clock_get_attributes
00000001803fdfc8 (__TEXT,__text) external _clock_get_time
0000000180415da8 (__TEXT,__text) external _clock_set_attributes
0000000180415c8c (__TEXT,__text) external _clock_set_time
0000000180404c3c (__TEXT,__text) external _clock_sleep
00000001803f8924 (__TEXT,__text) external _clock_sleep_trap
0000000180402a48 (__TEXT,__text) external _clonefile
00000001803fd7bc (__TEXT,__text) external _clonefileat
00000001803f9440 (__TEXT,__text) external _close
00000001803fa0f0 (__TEXT,__text) external _close$NOCANCEL
0000000180412388 (__TEXT,__text) external _coalition_create
0000000180412430 (__TEXT,__text) external _coalition_info_debug_info
00000001804123f8 (__TEXT,__text) external _coalition_info_resource_usage
00000001804124a0 (__TEXT,__text) external _coalition_info_set_efficiency
0000000180412468 (__TEXT,__text) external _coalition_info_set_name
00000001804124dc (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001804123c8 (__TEXT,__text) external _coalition_reap
0000000180412398 (__TEXT,__text) external _coalition_terminate
00000001803fcde0 (__TEXT,__text) external _connect
00000001803fcc48 (__TEXT,__text) external _connect$NOCANCEL
00000001803fce64 (__TEXT,__text) external _connectx
00000001803fa448 (__TEXT,__text) external _csops
00000001803f9244 (__TEXT,__text) external _csops_audittoken
00000001803f9334 (__TEXT,__text) external _csr_check
0000000180401588 (__TEXT,__text) external _csr_get_active_config
00000001803f89c0 (__TEXT,__text) external _debug_control_port_for_pid
00000001804126cc (__TEXT,__text) external _debug_syscall_reject
00000001804125bc (__TEXT,__text) external _debug_syscall_reject_config
00000001d548ffc8 (__DATA,__data) external _denap_boost_assertion_token
0000000180406bc4 (__TEXT,__text) external _disconnectx
00000001803ff1f0 (__TEXT,__text) non-external _do_compat
00000001803fcf14 (__TEXT,__text) external _dup
00000001804012e8 (__TEXT,__text) external _dup2
00000001d3304510 (__DATA_CONST,__const) non-external _err_codes_auth
