000000026f2d1130 (__DATA,__bss) non-external __ZL12reportShadow
0000000259f02c4c (__TEXT,__text) non-external (was a private external) __ZN4asan11initRuntimeERKN6config4ASanE
0000000259f040dc (__TEXT,__text) non-external __ZN4asan11initRuntimeERKN6config4ASanE.cold.1
0000000259f02e90 (__TEXT,__text) non-external (was a private external) __ZN4asan11reportErrorENS_9RegistersENS_12MemoryAccessE
0000000259f02564 (__TEXT,__text) non-external (was a private external) __ZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryE
0000000259f00758 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator12createReportENS_9RegistersENS_12MemoryAccessE
0000000259f03cf8 (__TEXT,__text) non-external __ZN4asan15ReportGenerator12createReportENS_9RegistersENS_12MemoryAccessE.cold.1
0000000259f00c2c (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE
0000000259f03da8 (__TEXT,__text) non-external __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE.cold.1
0000000259f03dd4 (__TEXT,__text) non-external __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE.cold.2
0000000259f00a48 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator19addUseAfterFreeInfoERNS_6ReportE
0000000259f03d50 (__TEXT,__text) non-external __ZN4asan15ReportGenerator19addUseAfterFreeInfoERNS_6ReportE.cold.1
0000000259f00948 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator25addHeapBufferOverflowInfoERNS_6ReportE
0000000259f03d24 (__TEXT,__text) non-external __ZN4asan15ReportGenerator25addHeapBufferOverflowInfoERNS_6ReportE.cold.1
0000000259f00bfc (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator26addStackBufferOverflowInfoERNS_6ReportE
0000000259f00b50 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator27addGlobalBufferOverflowInfoERNS_6ReportE
0000000259f03d7c (__TEXT,__text) non-external __ZN4asan15ReportGenerator27addGlobalBufferOverflowInfoERNS_6ReportE.cold.1
0000000259f00c14 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator27addStackBufferUnderflowInfoERNS_6ReportE
0000000259f00d0c (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator8StackVar11getStackVarEPKcm
0000000259f03e00 (__TEXT,__text) non-external __ZN4asan15ReportGenerator8StackVar11getStackVarEPKcm.cold.1
0000000259f00dd8 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator8StackVar5parseERPKc
0000000259f027c8 (__TEXT,__text) non-external (was a private external) __ZN4asan15initCompilerABIEP6Shadow
0000000259f02cfc (__TEXT,__text) non-external (was a private external) __ZN4asan18initLibmallocHooksEP6Shadow
0000000259f02588 (__TEXT,__text) non-external (was a private external) __ZN4asan19GlobalsRegistryImpl15registerSectionE10array_viewIKNS_9GlobalVarEE
0000000259f04050 (__TEXT,__text) non-external __ZN4asan19GlobalsRegistryImpl15registerSectionE10array_viewIKNS_9GlobalVarEE.cold.1
0000000259f02620 (__TEXT,__text) non-external (was a private external) __ZN4asan19initGlobalsRegistryEv
0000000259f02d10 (__TEXT,__text) non-external (was a private external) __ZN4asan20initReportGenerationEPK6ShadowPKNS_15GlobalsRegistryE
0000000259f0339c (__TEXT,__text) non-external (was a private external) __ZN4asan28callDebuggerBreakpointSymbolERKNS_6ReportE
000000026f2d1108 (__DATA,__bss) non-external __ZN4asanL7_shadowE
000000026f2d1110 (__DATA,__bss) non-external __ZN4asanL8_globalsE
0000000259f01400 (__TEXT,__text) non-external (was a private external) __ZN4hash7Murmur212hashPointersE10array_viewImE
0000000259f01508 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
0000000259f01508 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
0000000259f01508 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
0000000259f0331c (__TEXT,__text) non-external __ZN5debugL5printEPKcz
0000000259f01460 (__TEXT,__text) non-external (was a private external) __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE15addDeallocTraceEmNS_2IdE
0000000259f03f48 (__TEXT,__text) non-external __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE15addDeallocTraceEmNS_2IdE.cold.1
0000000259f012ac (__TEXT,__text) non-external (was a private external) __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE6insertEmmNS_2IdE
0000000259f03ef0 (__TEXT,__text) non-external __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE6insertEmmNS_2IdE.cold.1
0000000259f00ea4 (__TEXT,__text) non-external (was a private external) __ZN5trace19initTraceCollectionEb
0000000259f03e2c (__TEXT,__text) non-external __ZN5trace19initTraceCollectionEb.cold.1
0000000259f01350 (__TEXT,__text) non-external (was a private external) __ZN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE11insertTraceEPmm
0000000259f03f1c (__TEXT,__text) non-external __ZN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE11insertTraceEPmm.cold.1
0000000259f0127c (__TEXT,__text) non-external (was a private external) __ZN5trace6Lookup6createERA24_h
0000000259f01ebc (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser10consumeEnvEPPKc
0000000259f0206c (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser13removeEnvVarsEv
0000000259f024f4 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm18EEEvPPKcRAT__S3_
0000000259f02414 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm19EEEvPPKcRAT__S3_
0000000259f02484 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm27EEEvPPKcRAT__S3_
0000000259f023a4 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm30EEEvPPKcRAT__S3_
0000000259f02334 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm34EEEvPPKcRAT__S3_
0000000259f0158c (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj
0000000259f03f74 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.1
0000000259f03f74 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.2
0000000259f03f74 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.3
0000000259f03f74 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.4
000000026f2d1100 (__DATA,__bss) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE14previousLoggerE
0000000259f0393c (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14addressIsInMemEm
0000000259f0398c (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14getShadowStartEv
0000000259f03994 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14getShadowValueEmm
0000000259f04270 (__TEXT,__text) non-external __ZNK10ASanShadow14getShadowValueEmm.cold.1
0000000259f0429c (__TEXT,__text) non-external __ZNK10ASanShadow14getShadowValueEmm.cold.2
0000000259f03a04 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE
0000000259f042c8 (__TEXT,__text) non-external __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE.cold.1
0000000259f042f4 (__TEXT,__text) non-external __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE.cold.2
0000000259f037b0 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16regionIsPoisonedEmm
0000000259f03928 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16shadowForAddressEm
0000000259f03964 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17addressIsInShadowEm
0000000259f03788 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17addressIsPoisonedEm
0000000259f03b1c (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17getAllocationInfoEN4asan12MemoryAccessE
0000000259f04320 (__TEXT,__text) non-external __ZNK10ASanShadow17getAllocationInfoEN4asan12MemoryAccessE.cold.1
0000000259f038f8 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow23getShadowByteForAddressEPv
0000000259f025c0 (__TEXT,__text) non-external (was a private external) __ZNK4asan19GlobalsRegistryImpl12getGlobalVarEm
0000000259f018d4 (__TEXT,__text) non-external (was a private external) __ZNK5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE3getEm
0000000259f03fcc (__TEXT,__text) non-external __ZNK5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE3getEm.cold.1
0000000259f01ad4 (__TEXT,__text) non-external (was a private external) __ZNK5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE12forEachFrameIZNKS3_13retrieveTraceENS_2IdERA64_mEUlmmE_EEvNS3_5EntryET_
0000000259f01a0c (__TEXT,__text) non-external (was a private external) __ZNK5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE13retrieveTraceENS_2IdERA64_m
0000000259f01b38 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE13diagnoseFaultEm
0000000259f01994 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_
0000000259f03ff8 (__TEXT,__text) non-external __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_.cold.1
0000000259f0185c (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesEmR24sanitizers_stack_trace_tS9_
0000000259f011ac (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE19diagnoseMemoryErrorEmR25sanitizers_memory_error_t
0000000259f020e8 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingINS0_16AllocationTracesELm4EEET_PKcS4_RAT0__KNS1_7SettingIS4_EE
0000000259f02178 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingINS0_7AddressELm2EEET_PKcS4_RAT0__KNS1_7SettingIS4_EE
0000000259f02208 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingIbLm3EEET_PKcS3_RAT0__KNS1_7SettingIS3_EE
0000000259f01f08 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getConfigEv
0000000259f0229c (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getNumberIlXadL_Z6strtolEEEET_PKcS3_
0000000259f01db4 (__TEXT,__text) non-external (was a private external) __ZNK9BlockInfo11absDistanceEm
0000000259f01e08 (__TEXT,__text) non-external (was a private external) __ZNK9BlockInfo12endInclusiveEv
0000000259f04024 (__TEXT,__text) non-external __ZNK9BlockInfo12endInclusiveEv.cold.1
0000000273f04518 (__AUTH_CONST,__const) non-external (was a private external) __ZTV10ASanShadow
0000000273f044f8 (__AUTH_CONST,__const) non-external (was a private external) __ZTVN4asan19GlobalsRegistryImplE
0000000273f044e0 (__AUTH_CONST,__const) non-external (was a private external) __ZTVN5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEEE
0000000270608980 (__AUTH,__data) non-external __ZZL21unsetIntegrationHooksvE5funcs
0000000259f03314 (__TEXT,__text) non-external __ZZL21unsetIntegrationHooksvEN3$_08__invokeEmmmm
0000000259f03318 (__TEXT,__text) non-external __ZZL21unsetIntegrationHooksvEN3$_18__invokeEmm
0000000259f026e4 (__TEXT,__text) non-external __ZZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryEEN3$_08__invokeEPK11mach_headerl
0000000259f040b0 (__TEXT,__text) non-external __ZZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryEEN3$_08__invokeEPK11mach_headerl.cold.1
0000000270608968 (__AUTH,__data) non-external __ZZN4asan18initLibmallocHooksEP6ShadowE5funcs
0000000259f02d24 (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_08__invokeEmmmm
0000000259f04108 (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_08__invokeEmmmm.cold.1
0000000259f02e2c (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_18__invokeEmm
0000000259f02b5c (__TEXT,__text) external ___asan_abi_addr_is_in_fake_stack
0000000259f02a30 (__TEXT,__text) external ___asan_abi_address_is_poisoned
0000000259f027f0 (__TEXT,__text) external ___asan_abi_after_dynamic_init
0000000259f02b64 (__TEXT,__text) external ___asan_abi_alloca_poison
0000000259f02b68 (__TEXT,__text) external ___asan_abi_allocas_unpoison
0000000259f027ec (__TEXT,__text) external ___asan_abi_before_dynamic_init
0000000259f0290c (__TEXT,__text) external ___asan_abi_exp_load_n
0000000259f029f4 (__TEXT,__text) external ___asan_abi_exp_store_n
0000000259f02b54 (__TEXT,__text) external ___asan_abi_get_current_fake_stack
0000000259f02804 (__TEXT,__text) external ___asan_abi_handle_no_return
0000000259f02800 (__TEXT,__text) external ___asan_abi_init
0000000259f02b4c (__TEXT,__text) external ___asan_abi_load_cxx_array_cookie
0000000259f02818 (__TEXT,__text) external ___asan_abi_load_n
0000000259f027f4 (__TEXT,__text) external ___asan_abi_memcpy
0000000259f027f8 (__TEXT,__text) external ___asan_abi_memmove
0000000259f027fc (__TEXT,__text) external ___asan_abi_memset
0000000259f02b48 (__TEXT,__text) external ___asan_abi_poison_cxx_array_cookie
0000000259f02b40 (__TEXT,__text) external ___asan_abi_poison_intra_object_redzone
0000000259f02a78 (__TEXT,__text) external ___asan_abi_poison_memory_region
0000000259f02b38 (__TEXT,__text) external ___asan_abi_poison_stack_memory
0000000259f028c0 (__TEXT,__text) external ___asan_abi_region_is_poisoned
0000000259f027dc (__TEXT,__text) external ___asan_abi_register_elf_globals
0000000259f027e4 (__TEXT,__text) external ___asan_abi_register_globals
0000000259f027d4 (__TEXT,__text) external ___asan_abi_register_image_globals
0000000259f02810 (__TEXT,__text) external ___asan_abi_report_exp_load_n
0000000259f02814 (__TEXT,__text) external ___asan_abi_report_exp_store_n
0000000259f02808 (__TEXT,__text) external ___asan_abi_report_load_n
0000000259f0280c (__TEXT,__text) external ___asan_abi_report_store_n
0000000259f02afc (__TEXT,__text) external ___asan_abi_set_shadow_xx_n
0000000259f02c0c (__TEXT,__text) external ___asan_abi_stack_free_n
0000000259f02bbc (__TEXT,__text) external ___asan_abi_stack_malloc_always_n
0000000259f02b6c (__TEXT,__text) external ___asan_abi_stack_malloc_n
0000000259f02948 (__TEXT,__text) external ___asan_abi_store_n
0000000259f02b44 (__TEXT,__text) external ___asan_abi_unpoison_intra_object_redzone
0000000259f02ac0 (__TEXT,__text) external ___asan_abi_unpoison_memory_region
0000000259f02b3c (__TEXT,__text) external ___asan_abi_unpoison_stack_memory
0000000259f027e0 (__TEXT,__text) external ___asan_abi_unregister_elf_globals
0000000259f027e8 (__TEXT,__text) external ___asan_abi_unregister_globals
0000000259f027d8 (__TEXT,__text) external ___asan_abi_unregister_image_globals
0000000259f034ec (__TEXT,__text) external ___asan_get_alloc_stack
0000000259f041b8 (__TEXT,__text) non-external ___asan_get_alloc_stack.cold.1
0000000259f03550 (__TEXT,__text) external ___asan_get_free_stack
0000000259f041e4 (__TEXT,__text) non-external ___asan_get_free_stack.cold.1
0000000259f03404 (__TEXT,__text) external ___asan_get_report_access_size
0000000259f033f8 (__TEXT,__text) external ___asan_get_report_access_type
0000000259f033ec (__TEXT,__text) external ___asan_get_report_address
0000000259f033d4 (__TEXT,__text) external ___asan_get_report_bp
0000000259f03410 (__TEXT,__text) external ___asan_get_report_description
0000000259f033c8 (__TEXT,__text) external ___asan_get_report_pc
0000000259f033e0 (__TEXT,__text) external ___asan_get_report_sp
0000000259f034d0 (__TEXT,__text) external ___asan_get_shadow_mapping
0000000259f0341c (__TEXT,__text) external ___asan_locate_address
0000000259f04134 (__TEXT,__text) non-external ___asan_locate_address.cold.1
0000000259f04160 (__TEXT,__text) non-external ___asan_locate_address.cold.2
0000000259f0418c (__TEXT,__text) non-external ___asan_locate_address.cold.3
0000000259f033b4 (__TEXT,__text) external ___asan_report_present
                 (undefined) external ___assert_rtn (from libsystem_c)
0000000259f035b4 (__TEXT,__text) non-external (was a private external) ___cxa_pure_virtual
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external __dyld_register_func_for_add_image (from libdyld)
                 (undefined) external __exit (from libsystem_kernel)
0000000259f01e38 (__TEXT,__text) external __sanitizers_init
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external _abort (from libsystem_c)
                 (undefined) external _backtrace_from_fp (from libsystem_c)
                 (undefined) external _bzero (from libsystem_c)
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _fputs (from libsystem_c)
                 (undefined) external _free (from libsystem_malloc)
                 (undefined) external _getsectiondata (from libmacho)
0000000259f045a0 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionNumber
0000000259f04560 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionString
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _malloc_logger (from libsystem_malloc)
                 (undefined) external _malloc_sanitizer_set_functions (from libsystem_malloc)
                 (undefined) external _malloc_size (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memmove (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
0000000259f033b0 (__TEXT,__text) external _sanitizers_address_on_report
0000000259f01084 (__TEXT,__text) external _sanitizers_diagnose_memory_error
000000026f2d1610 (__DATA,__common) external _sanitizers_report_globals
                 (undefined) external _strtol (from libsystem_c)
                 (undefined) external _strtoul (from libsystem_c)
                 (undefined) external _thread_stack_pcs (from libsystem_c)
                 (undefined) external _vm_map (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _vsnprintf (from libsystem_c)
