                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
0000000190cc2ed4 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
0000000190cc2f0c (__TEXT,__text) external _KClientAddRealmMapDeprecated
0000000190cc2f2c (__TEXT,__text) external _KClientAddServerMapDeprecated
0000000190cc3180 (__TEXT,__text) external _KClientAddServiceKey
0000000190cc2eec (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
0000000190cc31c8 (__TEXT,__text) external _KClientDecrypt
0000000190cc3078 (__TEXT,__text) external _KClientDecryptCompat
0000000190cc2f7c (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
0000000190cc2f14 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
0000000190cc2f34 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
0000000190cc2f64 (__TEXT,__text) external _KClientDeleteSessionDeprecated
0000000190cc3200 (__TEXT,__text) external _KClientDisposePrincipal
0000000190cc30f8 (__TEXT,__text) external _KClientDisposeSession
0000000190cc3030 (__TEXT,__text) external _KClientDisposeSessionCompat
0000000190cc31c0 (__TEXT,__text) external _KClientEncrypt
0000000190cc3070 (__TEXT,__text) external _KClientEncryptCompat
0000000190cc3190 (__TEXT,__text) external _KClientGetAuthenticatorForService
0000000190cc31e0 (__TEXT,__text) external _KClientGetCCacheReference
0000000190cc3100 (__TEXT,__text) external _KClientGetClientPrincipal
0000000190cc2f6c (__TEXT,__text) external _KClientGetCredentialsDeprecated
0000000190cc31b0 (__TEXT,__text) external _KClientGetEncryptedServiceReply
0000000190cc2f9c (__TEXT,__text) external _KClientGetErrorTextDeprecated
0000000190cc3148 (__TEXT,__text) external _KClientGetExpirationTime
0000000190cc3120 (__TEXT,__text) external _KClientGetLocalAddress
0000000190cc2ef4 (__TEXT,__text) external _KClientGetLocalRealmDeprecated
0000000190cc2f8c (__TEXT,__text) external _KClientGetNthCredentialDeprecated
0000000190cc2f1c (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
0000000190cc2f24 (__TEXT,__text) external _KClientGetNthServerDeprecated
0000000190cc2f3c (__TEXT,__text) external _KClientGetNthServerMapDeprecated
0000000190cc2f44 (__TEXT,__text) external _KClientGetNthServerPortDeprecated
0000000190cc2f5c (__TEXT,__text) external _KClientGetNthSessionDeprecated
0000000190cc2f84 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
0000000190cc2f54 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
0000000190cc31b8 (__TEXT,__text) external _KClientGetProtectedServiceReply
0000000190cc2f04 (__TEXT,__text) external _KClientGetRealmDeprecated
0000000190cc3130 (__TEXT,__text) external _KClientGetRemoteAddress
0000000190cc3110 (__TEXT,__text) external _KClientGetServerPrincipal
0000000190cc3178 (__TEXT,__text) external _KClientGetServiceKey
0000000190cc3140 (__TEXT,__text) external _KClientGetSessionKey
0000000190cc3068 (__TEXT,__text) external _KClientGetSessionKeyCompat
0000000190cc30c0 (__TEXT,__text) external _KClientGetSessionUserNameCompat
0000000190cc3188 (__TEXT,__text) external _KClientGetTicketForService
0000000190cc3038 (__TEXT,__text) external _KClientGetTicketForServiceCompat
0000000190cc3040 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
0000000190cc2f94 (__TEXT,__text) external _KClientGetUserNameDeprecated
0000000190cc30e0 (__TEXT,__text) external _KClientGetVersion
0000000190cc3168 (__TEXT,__text) external _KClientKeyFileLogin
0000000190cc3158 (__TEXT,__text) external _KClientLogin
0000000190cc3048 (__TEXT,__text) external _KClientLoginCompat
0000000190cc3170 (__TEXT,__text) external _KClientLogout
0000000190cc3058 (__TEXT,__text) external _KClientLogoutCompat
0000000190cc30c8 (__TEXT,__text) external _KClientMakeSendAuthCompat
0000000190cc30e8 (__TEXT,__text) external _KClientNewClientSession
0000000190cc30f0 (__TEXT,__text) external _KClientNewServerSession
0000000190cc3028 (__TEXT,__text) external _KClientNewSessionCompat
0000000190cc3160 (__TEXT,__text) external _KClientPasswordLogin
0000000190cc3050 (__TEXT,__text) external _KClientPasswordLoginCompat
0000000190cc31f0 (__TEXT,__text) external _KClientPrincipalToV4String
0000000190cc31f8 (__TEXT,__text) external _KClientPrincipalToV4Triplet
0000000190cc31d0 (__TEXT,__text) external _KClientProtectIntegrity
0000000190cc3080 (__TEXT,__text) external _KClientProtectIntegrityCompat
0000000190cc3108 (__TEXT,__text) external _KClientSetClientPrincipal
0000000190cc3150 (__TEXT,__text) external _KClientSetKeyFile
0000000190cc3128 (__TEXT,__text) external _KClientSetLocalAddress
0000000190cc2efc (__TEXT,__text) external _KClientSetLocalRealmDeprecated
0000000190cc2f4c (__TEXT,__text) external _KClientSetNthServerPortDeprecated
0000000190cc3138 (__TEXT,__text) external _KClientSetRemoteAddress
0000000190cc3118 (__TEXT,__text) external _KClientSetServerPrincipal
0000000190cc3060 (__TEXT,__text) external _KClientStatusCompat
0000000190cc31e8 (__TEXT,__text) external _KClientV4StringToPrincipal
0000000190cc31a8 (__TEXT,__text) external _KClientVerifyAuthenticator
0000000190cc3198 (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
0000000190cc31d8 (__TEXT,__text) external _KClientVerifyIntegrity
0000000190cc3088 (__TEXT,__text) external _KClientVerifyIntegrityCompat
0000000190cc31a0 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
0000000190cc30d0 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
0000000190cc30d8 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
0000000190cc3020 (__TEXT,__text) external _KClientVersionCompat
0000000190cbd090 (__TEXT,__text) external _KLAcquireInitialTickets
0000000190cbd2b4 (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
0000000190cbda4c (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
0000000190cbd1cc (__TEXT,__text) external _KLAcquireNewInitialTickets
0000000190cbda6c (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
0000000190cbd3d0 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
0000000190cbd144 (__TEXT,__text) external _KLAcquireNewTickets
0000000190cbd35c (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
0000000190cbd020 (__TEXT,__text) external _KLAcquireTickets
0000000190cbd240 (__TEXT,__text) external _KLAcquireTicketsWithPassword
0000000190cbd554 (__TEXT,__text) external _KLCacheHasValidTickets
0000000190cbe248 (__TEXT,__text) external _KLCancelAllDialogs
0000000190cbda44 (__TEXT,__text) external _KLChangePassword
0000000190cbe250 (__TEXT,__text) external _KLChangePasswordWithPasswords
0000000190cbe7d0 (__TEXT,__text) external _KLComparePrincipal
0000000190cbe370 (__TEXT,__text) external _KLCountKerberosRealms
0000000190cbe89c (__TEXT,__text) external _KLCreateLoginOptions
0000000190cbe4bc (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
0000000190cbe508 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
0000000190cbe3ec (__TEXT,__text) external _KLCreatePrincipalFromString
0000000190cbe398 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
0000000190cbd9f4 (__TEXT,__text) external _KLDestroyTickets
0000000190cbeb40 (__TEXT,__text) external _KLDisposeLoginOptions
0000000190cbe848 (__TEXT,__text) external _KLDisposePrincipal
0000000190cbeba4 (__TEXT,__text) external _KLDisposeString
0000000190cbe278 (__TEXT,__text) external _KLFindKerberosRealmByName
0000000190cbd54c (__TEXT,__text) external _KLGetApplicationOptions
0000000190cbe268 (__TEXT,__text) external _KLGetDefaultLoginOption
0000000190cbe700 (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
0000000190cbe1ac (__TEXT,__text) external _KLGetErrorString
0000000190cbe260 (__TEXT,__text) external _KLGetIdleCallback
0000000190cbe378 (__TEXT,__text) external _KLGetKerberosDefaultRealm
0000000190cbe2f0 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
0000000190cbe348 (__TEXT,__text) external _KLGetKerberosRealm
0000000190cbe630 (__TEXT,__text) external _KLGetStringFromPrincipal
0000000190cbe554 (__TEXT,__text) external _KLGetTripletFromPrincipal
0000000190cbe1a4 (__TEXT,__text) external _KLHandleError
0000000190cbe360 (__TEXT,__text) external _KLInsertKerberosRealm
0000000190cbdcec (__TEXT,__text) external _KLLastChangedTime
0000000190cbea70 (__TEXT,__text) external _KLLoginOptionsSetAddressless
0000000190cbe974 (__TEXT,__text) external _KLLoginOptionsSetForwardable
0000000190cbe9c8 (__TEXT,__text) external _KLLoginOptionsSetProxiable
0000000190cbea1c (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
0000000190cbeae0 (__TEXT,__text) external _KLLoginOptionsSetServiceName
0000000190cbe920 (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
0000000190cbeaa8 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
0000000190cbe368 (__TEXT,__text) external _KLRemoveAllKerberosRealms
0000000190cbe358 (__TEXT,__text) external _KLRemoveKerberosRealm
0000000190cbda74 (__TEXT,__text) external _KLRenewInitialTickets
0000000190cbd544 (__TEXT,__text) external _KLSetApplicationOptions
0000000190cbe270 (__TEXT,__text) external _KLSetDefaultLoginOption
0000000190cbe258 (__TEXT,__text) external _KLSetIdleCallback
0000000190cbe388 (__TEXT,__text) external _KLSetKerberosDefaultRealm
0000000190cbe390 (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
0000000190cbe350 (__TEXT,__text) external _KLSetKerberosRealm
0000000190cbe0f0 (__TEXT,__text) external _KLSetSystemDefaultCache
0000000190cbda54 (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
0000000190cbe00c (__TEXT,__text) external _KLTicketExpirationTime
0000000190cbdf28 (__TEXT,__text) external _KLTicketStartTime
0000000190cbdce4 (__TEXT,__text) external _KLValidateInitialTickets
0000000190cbda64 (__TEXT,__text) external _KLVerifyInitialTicketCredentials
0000000190cbda5c (__TEXT,__text) external _KLVerifyInitialTickets
0000000190cc2bc0 (__TEXT,__text) external _KPCreatePreferencesFile
0000000190cc2bac (__TEXT,__text) external _KPFreeListOfPreferencesFiles
0000000190cc2ba4 (__TEXT,__text) external _KPGetListOfPreferencesFiles
0000000190cc2b9c (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
0000000190cc2bb0 (__TEXT,__text) external _KPPreferencesFileIsReadable
0000000190cc2bb8 (__TEXT,__text) external _KPPreferencesFileIsWritable
0000000190cc30a8 (__TEXT,__text) external _KServerAddKeyCompat
0000000190cc30b0 (__TEXT,__text) external _KServerGetKeyCompat
0000000190cc30a0 (__TEXT,__text) external _KServerGetReplyTicketCompat
0000000190cc30b8 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
0000000190cc3090 (__TEXT,__text) external _KServerNewSessionCompat
0000000190cc3098 (__TEXT,__text) external _KServerVerifyTicketCompat
0000000190cc17cc (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001d5ce20c0 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
0000000190cbebe4 (__TEXT,__text) external ___KLAllowAutomaticPrompting
0000000190cbebd4 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
0000000190cbebfc (__TEXT,__text) external ___KLAllowRememberPassword
0000000190cbec64 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
0000000190cbec04 (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
0000000190cbecb0 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
0000000190cbecc0 (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
0000000190cbec34 (__TEXT,__text) external ___KLGetTripletFromPrincipal
0000000190cbecd8 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
0000000190cbece8 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
0000000190cbece0 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
0000000190cbecb8 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
0000000190cbecc8 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
0000000190cbebf4 (__TEXT,__text) external ___KLPromptMechanism
0000000190cbecd0 (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
0000000190cbebc0 (__TEXT,__text) external ___KLSetApplicationPrompter
0000000190cbebdc (__TEXT,__text) external ___KLSetAutomaticPrompting
0000000190cbebc8 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
0000000190cbebec (__TEXT,__text) external ___KLSetPromptMechanism
0000000190cbc978 (__TEXT,__text) external ___KerberosDebugLogLevel
0000000190cbc980 (__TEXT,__text) external ___KerberosDebugPrint
0000000190cbc988 (__TEXT,__text) external ___KerberosDebugPrintMemory
0000000190cbc98c (__TEXT,__text) external ___KerberosDebugPrintSession
0000000190cbc984 (__TEXT,__text) external ___KerberosDebugVAPrint
00000001d5ce1b00 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
0000000190cb88a4 (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00000001d39e9340 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001d39e9380 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001d39e9360 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001dbcd0b48 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dbcd0b88 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001dbcd0b68 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___error (from libSystem)
0000000190cbbe14 (__TEXT,__text) non-external ___error_message_block_invoke
0000000190cb7db8 (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
0000000190cbb384 (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
0000000190cbd6a8 (__TEXT,__text) non-external _acquireticket_ui
0000000190cc0fb0 (__TEXT,__text) non-external _add_data_to_buffer
0000000190cb7f08 (__TEXT,__text) external _add_error_table
0000000190cbf868 (__TEXT,__text) non-external _add_to_list
0000000190cc49fc (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
0000000190cc4af0 (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
0000000190cb7f10 (__TEXT,__text) external _cc_close
0000000190cb7f18 (__TEXT,__text) external _cc_create
0000000190cb7f20 (__TEXT,__text) external _cc_destroy
0000000190cb7f28 (__TEXT,__text) external _cc_free_NC_info
0000000190cb7f30 (__TEXT,__text) external _cc_free_creds
0000000190cb7f38 (__TEXT,__text) external _cc_free_name
0000000190cb7f40 (__TEXT,__text) external _cc_free_principal
00000001d7275900 (__AUTH,__data) non-external (was a private external) _cc_functions
0000000190cb7f48 (__TEXT,__text) external _cc_get_NC_info
0000000190cb7f50 (__TEXT,__text) external _cc_get_change_time
0000000190cb7f58 (__TEXT,__text) external _cc_get_cred_version
0000000190cb7f60 (__TEXT,__text) external _cc_get_name
0000000190cb7f68 (__TEXT,__text) external _cc_get_principal
0000000190cb97e4 (__TEXT,__text) external _cc_initialize
0000000190cbaa04 (__TEXT,__text) non-external _cc_iterator_clone
0000000190cb8e3c (__TEXT,__text) non-external (was a private external) _cc_iterator_next
0000000190cba9ac (__TEXT,__text) non-external _cc_iterator_release
0000000190cb7f70 (__TEXT,__text) external _cc_open
0000000190cb7f78 (__TEXT,__text) external _cc_remove_cred
0000000190cb7f80 (__TEXT,__text) external _cc_seq_fetch_NCs_begin
0000000190cb7f88 (__TEXT,__text) external _cc_seq_fetch_NCs_end
0000000190cb7f90 (__TEXT,__text) external _cc_seq_fetch_NCs_next
0000000190cb7f98 (__TEXT,__text) external _cc_seq_fetch_creds_begin
0000000190cb7fa0 (__TEXT,__text) external _cc_seq_fetch_creds_end
0000000190cb7fa8 (__TEXT,__text) external _cc_seq_fetch_creds_next
0000000190cb7fb0 (__TEXT,__text) external _cc_set_principal
0000000190cb7fb8 (__TEXT,__text) external _cc_shutdown
0000000190cb7fc0 (__TEXT,__text) external _cc_store
0000000190cba8bc (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
0000000190cba624 (__TEXT,__text) non-external _ccache_compare
0000000190cb98b0 (__TEXT,__text) non-external _ccache_destroy
00000001d7275968 (__AUTH,__data) non-external _ccache_functions
0000000190cba5c8 (__TEXT,__text) non-external _ccache_get_change_time
0000000190cb99c0 (__TEXT,__text) non-external _ccache_get_credentials_version
0000000190cba714 (__TEXT,__text) non-external _ccache_get_kdc_time_offset
0000000190cba550 (__TEXT,__text) non-external _ccache_get_last_default_time
0000000190cb99dc (__TEXT,__text) non-external _ccache_get_name
0000000190cb9a88 (__TEXT,__text) non-external _ccache_get_principal
00000001d7275a08 (__AUTH,__data) non-external _ccache_iterator_functions
0000000190cba4e0 (__TEXT,__text) non-external _ccache_lock
0000000190cba418 (__TEXT,__text) non-external _ccache_move
0000000190cba330 (__TEXT,__text) non-external _ccache_new_credentials_iterator
0000000190cb8ddc (__TEXT,__text) non-external (was a private external) _ccache_release
0000000190cba154 (__TEXT,__text) non-external _ccache_remove_credentials
0000000190cb9928 (__TEXT,__text) non-external _ccache_set_default
0000000190cba7f8 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
0000000190cb9bdc (__TEXT,__text) non-external _ccache_set_principal
0000000190cb9d1c (__TEXT,__text) non-external _ccache_store_credentials
0000000190cba518 (__TEXT,__text) non-external _ccache_unlock
0000000190cba94c (__TEXT,__text) non-external _ccache_wait_for_change
0000000190cba954 (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00000001d39e93f8 (__DATA_CONST,__const) non-external _conf_no
00000001d39e93c0 (__DATA_CONST,__const) non-external _conf_yes
00000001d5ce1980 (__DATA,__data) non-external _context_change_time
0000000190cb97b8 (__TEXT,__text) non-external _context_compare
0000000190cb9324 (__TEXT,__text) non-external _context_create_ccache
0000000190cb9460 (__TEXT,__text) non-external _context_create_default_ccache
0000000190cb95c4 (__TEXT,__text) non-external _context_create_new_ccache
0000000190cb904c (__TEXT,__text) non-external _context_get_change_time
0000000190cb90a8 (__TEXT,__text) non-external _context_get_default_ccache_name
0000000190cb97a8 (__TEXT,__text) non-external _context_lock
0000000190cb9710 (__TEXT,__text) non-external _context_new_ccache_iterator
0000000190cb9144 (__TEXT,__text) non-external _context_open_ccache
0000000190cb9240 (__TEXT,__text) non-external _context_open_default_ccache
0000000190cb8ffc (__TEXT,__text) non-external _context_release
0000000190cb97b0 (__TEXT,__text) non-external _context_unlock
0000000190cb97dc (__TEXT,__text) non-external _context_wait_for_change
0000000190cb8fa4 (__TEXT,__text) non-external _create_ccache
0000000190cb8964 (__TEXT,__text) non-external _cred_compare
0000000190cb8d70 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00000001d72758e8 (__AUTH,__data) non-external (was a private external) _cred_iter_functions
0000000190cb8974 (__TEXT,__text) non-external (was a private external) _cred_iter_next
0000000190cb8d78 (__TEXT,__text) non-external _cred_iter_release
0000000190cb8918 (__TEXT,__text) non-external _cred_release
00000001d72758d8 (__AUTH,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
0000000190cc2bd0 (__TEXT,__text) external _decomp_ticket
0000000190cc2dfc (__TEXT,__text) external _dest_all_tkts
0000000190cc2ddc (__TEXT,__text) external _dest_tkt
0000000190cbb3bc (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00000001d5ce1c98 (__DATA,__bss) non-external _do_log
0000000190cc0ac4 (__TEXT,__text) non-external _dump_profile
0000000190cc0f6c (__TEXT,__text) non-external _dump_profile_to_buffer_cb
0000000190cc0ec8 (__TEXT,__text) non-external _dump_profile_to_file_cb
0000000190cb7fc8 (__TEXT,__text) external _encode_krb5_as_req
0000000190cbf8e8 (__TEXT,__text) non-external _end_list
0000000190cbbd7c (__TEXT,__text) external _error_message
00000001d5ce1cb0 (__DATA,__bss) non-external _error_message.buffer
00000001d5ce1ca8 (__DATA,__bss) non-external _error_message.et_list
00000001d5ce1ca0 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
0000000190cbdda8 (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00000001d5ce20b8 (__DATA,__bss) non-external _g_cc_change_time
00000001d5ce1b08 (__DATA,__data) non-external _g_change_time_mutex
00000001d5ce20b0 (__DATA,__bss) non-external _g_kl_change_time
0000000190cc2c28 (__TEXT,__text) external _get_ad_tkt
0000000190cc2ca0 (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00000001d5ce1a28 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00000001d5ce1a40 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00000001d5ce1a00 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00000001d5ce19e8 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00000001d5ce19b8 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00000001d5ce19d0 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00000001d5ce19a0 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
                 (indirect) external _gss_create_empty_oid_set (for _gss_create_empty_oid_set)
                 (undefined) external _gss_delete_sec_context (from GSS)
                 (indirect) external _gss_delete_sec_context (for _gss_delete_sec_context)
                 (undefined) external _gss_display_name (from GSS)
                 (indirect) external _gss_display_name (for _gss_display_name)
                 (undefined) external _gss_display_status (from GSS)
                 (indirect) external _gss_display_status (for _gss_display_status)
