00007ff841e9f718 (__DATA,__data) non-external _C
00007ff8002c0141 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff8002c0889 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff8002eeac7 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff8002a7ac7 (__TEXT,__text) external ___Balloc_D2A
00007ff8002a7c8b (__TEXT,__text) external ___Bfree_D2A
00007ff8002e5774 (__TEXT,__text) external ___ULtod_D2A
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff8002d6b0e (__TEXT,__text) external ____mb_cur_max
00007ff8002d6b3c (__TEXT,__text) external ____mb_cur_max_l
00007ff8002aed69 (__TEXT,__text) external ____runetype
00007ff8002aed91 (__TEXT,__text) external ____runetype_l
00007ff8002ee9b6 (__TEXT,__text) external ____tolower
00007ff8002ee90f (__TEXT,__text) external ____tolower_l
00007ff8002eea85 (__TEXT,__text) external ____toupper
00007ff8002ee9de (__TEXT,__text) external ____toupper_l
00007ff800316cb4 (__TEXT,__text) non-external (was a private external) ___abort
00007ff8002e137a (__TEXT,__text) external ___add_ovflpage
00007ff8002e1104 (__TEXT,__text) external ___addel
00007ff8002ade30 (__TEXT,__text) external ___any_on_D2A
00007ff800315e84 (__TEXT,__text) external ___assert_rtn
00007ff843a3b498 (__DATA_DIRTY,__bss) non-external ___atexit
00007ff8002bace1 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff843a3b4a0 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00007ff8002c1af2 (__TEXT,__text) external ___b2d_D2A
00007ff8002dfa6b (__TEXT,__text) external ___big_delete
00007ff8002df794 (__TEXT,__text) external ___big_insert
00007ff8002e00b7 (__TEXT,__text) external ___big_keydata
00007ff8002dfd42 (__TEXT,__text) external ___big_return
00007ff8002e0224 (__TEXT,__text) external ___big_split
00007ff800318300 (__TEXT,__const) external ___bigtens_D2A
00007ff8002da8b6 (__TEXT,__text) external ___bt_close
00007ff8002de476 (__TEXT,__text) external ___bt_cmp
00007ff8002de516 (__TEXT,__text) external ___bt_defcmp
00007ff8002de55b (__TEXT,__text) external ___bt_defpfx
00007ff8002dad17 (__TEXT,__text) external ___bt_delete
00007ff8002db338 (__TEXT,__text) external ___bt_dleaf
00007ff8002dc20d (__TEXT,__text) external ___bt_fd
00007ff8002dd0f6 (__TEXT,__text) non-external ___bt_first
00007ff8002dc4e0 (__TEXT,__text) external ___bt_free
00007ff8002db98b (__TEXT,__text) external ___bt_get
00007ff8002dc511 (__TEXT,__text) external ___bt_new
00007ff8002dba61 (__TEXT,__text) external ___bt_open
00007ff8002db6d5 (__TEXT,__text) non-external ___bt_pdelete
00007ff8002daa4e (__TEXT,__text) external ___bt_pgin
00007ff8002dabd4 (__TEXT,__text) external ___bt_pgout
00007ff8002dc564 (__TEXT,__text) external ___bt_put
00007ff8002db905 (__TEXT,__text) non-external ___bt_relink
00007ff8002de2d9 (__TEXT,__text) external ___bt_ret
00007ff8002dcaaf (__TEXT,__text) external ___bt_search
00007ff8002dccec (__TEXT,__text) external ___bt_seq
00007ff8002dd0ac (__TEXT,__text) external ___bt_setcur
00007ff8002dd2d2 (__TEXT,__text) external ___bt_split
00007ff8002da97f (__TEXT,__text) external ___bt_sync
00007ff8002e07dd (__TEXT,__text) external ___buf_free
00007ff8002e07a5 (__TEXT,__text) non-external (was a private external) ___buf_init
                 (undefined) external ___bzero (from libsystem_platform)
00007ff843a38f30 (__DATA_DIRTY,__data) non-external ___c_locale
00007ff80030d4c4 (__TEXT,__text) non-external ___calc_left_pad
00007ff8002df31c (__TEXT,__text) external ___call_hash
00007ff841e9fc10 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff80031517b (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff80031518d (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff8002c8fc5 (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff80029c1bd (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff8002d0870 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff8002d0890 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00007ff843a3b520 (__DATA_DIRTY,__common) external ___cleanup
00007ff8002a8bde (__TEXT,__text) external ___cmp_D2A
00007ff8002ec39d (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff8002ec539 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff8002ec6bd (__TEXT,__text) external ___collate_equiv_match
00007ff8002b5691 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff8002ebbd6 (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff841e9f848 (__DATA,__data) external ___collate_load_error
00007ff8002bd057 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff841ea1ef0 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff8002ebee6 (__TEXT,__text) external ___collate_lookup
00007ff8002ebc93 (__TEXT,__text) external ___collate_lookup_l
00007ff8002ec0ab (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff8002ebfa6 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff8002ecaef (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff841ea1ef8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff841ea1f00 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff8002eb9d1 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff8002ebb8e (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff8002ec161 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff8002bacd0 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff8002ad015 (__TEXT,__text) external ___copybits_D2A
00007ff8002d10d4 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00007ff8002d0af4 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00007ff841ea15c0 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00007ff841ea2480 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00007ff800306df6 (__TEXT,__text) non-external ___cvt
00007ff841ea2410 (__DATA,__bss) non-external ___cvt.s
00007ff80029c9ab (__TEXT,__text) external ___cxa_atexit
00007ff8002c3afe (__TEXT,__text) external ___cxa_finalize
00007ff8002c3b36 (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800302df0 (__TEXT,__text) external ___cxa_thread_atexit
00007ff8002a79a0 (__TEXT,__text) external ___d2b_D2A
00007ff843a3b4d8 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00007ff8002de642 (__TEXT,__text) non-external ___dberr
00007ff8002de61d (__TEXT,__text) external ___dbpanic
00007ff8002e52e0 (__TEXT,__text) external ___decrement_D2A
00007ff841e9f740 (__DATA,__data) external ___default_hash
00007ff80030b8fa (__TEXT,__text) external ___default_utx
00007ff841e9fbc0 (__DATA,__data) non-external ___default_utx.once
00007ff80030b91a (__TEXT,__text) non-external ___default_utx_init
00007ff8002e09e4 (__TEXT,__text) external ___delpair
00007ff8002bcfc6 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff8002a8ad0 (__TEXT,__text) external ___diff_D2A
00007ff843a39bf0 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00007ff8002a6af4 (__TEXT,__text) external ___dtoa
00007ff80030ba36 (__TEXT,__text) non-external (was a private external) ___endutxent
00007ff843a3b530 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00007ff800302e5d (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff841ea23a8 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff8002c9637 (__TEXT,__text) non-external (was a private external) ___errstr
00007ff8002ae665 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff8002df1e6 (__TEXT,__text) external ___expand_table
00007ff841ea21a0 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff8002aa10f (__TEXT,__text) external ___fflush
00007ff8002f3909 (__TEXT,__text) external ___fgetwc
00007ff8002f5194 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff8002dfbb6 (__TEXT,__text) external ___find_bigpair
00007ff8002dfccf (__TEXT,__text) external ___find_last_page
00007ff8002f66f4 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff80029663a (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff8003184e0 (__TEXT,__const) non-external (was a private external) ___fivesbits_D2A
00007ff8002bebbb (__TEXT,__text) external ___fix_locale_grouping_str
00007ff8002ed78e (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff8002f3f87 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff8002a431e (__TEXT,__text) external ___fread
00007ff8002e1c4c (__TEXT,__text) external ___free_ovflpage
00007ff8002a7cdf (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
                 (undefined) external ___fstat_extended (from libsystem_kernel)
00007ff841e9fc14 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff8002a92e0 (__TEXT,__text) non-external ___fts_open
00007ff800312bd4 (__TEXT,__text) non-external ___fts_open
00007ff8002e3f84 (__TEXT,__text) external ___gdtoa
00007ff841ea2490 (__DATA,__common) external ___gdtoa_locks
00007ff8002e03b6 (__TEXT,__text) external ___get_buf
00007ff8002edd16 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff80029b5ac (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff80029b5cf (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff8002bb413 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff8002c5e3a (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff8002e1712 (__TEXT,__text) external ___get_page
00007ff8002c4550 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff843a3b460 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
00007ff8002ce600 (__TEXT,__text) external ___gethex_D2A
                 (undefined) external ___getlogin (from libsystem_kernel)
00007ff8002edd39 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff80030bafa (__TEXT,__text) non-external (was a private external) ___getutxent
00007ff80030be61 (__TEXT,__text) non-external ___getutxid
00007ff8002c81c5 (__TEXT,__text) non-external (was a private external) ___gl_compare
00007ff8002c7c01 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00007ff8002e85ff (__TEXT,__text) non-external (was a private external) ___gl_g_strchr
00007ff8002c7fa5 (__TEXT,__text) non-external (was a private external) ___gl_globextend
00007ff8002c722d (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00007ff8002c7d0b (__TEXT,__text) non-external (was a private external) ___gl_match
00007ff8002c6c9a (__TEXT,__text) non-external ___glob
00007ff800310fca (__TEXT,__text) non-external ___glob
00007ff843a38960 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00007ff8002bad92 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff8002de650 (__TEXT,__text) external ___hash_open
00007ff8002ce2d4 (__TEXT,__text) external ___hdtoa
00007ff8002a55d2 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff8003181f0 (__TEXT,__const) external ___hexdig_D2A
00007ff8002e512c (__TEXT,__text) external ___hexdig_init_D2A
00007ff8002e5140 (__TEXT,__text) external ___hexnan_D2A
00007ff8002aaf9b (__TEXT,__text) external ___hi0bits_D2A
00007ff8002e3d15 (__TEXT,__text) external ___hldtoa
00007ff8002a8774 (__TEXT,__text) external ___i2b_D2A
00007ff8002e1b94 (__TEXT,__text) external ___ibitmap
00007ff8002f2696 (__TEXT,__text) non-external ___inaddr_to_index
00007ff80031683c (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00007ff8002adf50 (__TEXT,__text) external ___increment_D2A
00007ff800306271 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff8002ee57d (__TEXT,__text) external ___isctype
00007ff8002ee514 (__TEXT,__text) external ___istype
00007ff8002ee65b (__TEXT,__text) external ___istype_l
00007ff843a39538 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
00007ff843a39be0 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff8002edd02 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00007ff800307214 (__TEXT,__text) external ___ldtoa
00007ff8002d9a87 (__TEXT,__text) external ___libc_init
00007ff8002a7bc7 (__TEXT,__text) external ___lo0bits_D2A
00007ff8002ae690 (__TEXT,__text) non-external ___loadevp
00007ff843a38f28 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00007ff8002e09c8 (__TEXT,__text) external ___log2
00007ff841ea24b0 (__DATA,__common) non-external (was a private external) ___logname
00007ff841e9f788 (__DATA,__data) non-external (was a private external) ___logname_mutex
00007ff8003192a0 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff8002a89cb (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
                 (undefined) external ___lstat_extended (from libsystem_kernel)
00007ff8002aed18 (__TEXT,__text) external ___maskrune
00007ff8002ee607 (__TEXT,__text) external ___maskrune_l
00007ff8002e52a3 (__TEXT,__text) external ___match_D2A
00007ff841e9f8b4 (__DATA,__data) external ___mb_cur_max
00007ff841e9f8b8 (__DATA,__data) external ___mb_sb_limit
00007ff8002fc8f2 (__TEXT,__text) non-external ___mbsconv
00007ff8002edeb6 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff80031519f (__TEXT,__text) external ___memccpy_chk
00007ff80029c39c (__TEXT,__text) external ___memcpy_chk
00007ff80029cd7b (__TEXT,__text) external ___memmove_chk
00007ff8002a6221 (__TEXT,__text) external ___memset_chk
00007ff8002bf154 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff841ea1f08 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00007ff8002be4a6 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff841ea1f18 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff8002a88a4 (__TEXT,__text) external ___mult_D2A
00007ff8002a86d2 (__TEXT,__text) external ___multadd_D2A
00007ff8002f3655 (__TEXT,__text) non-external ___nls_free_resources
00007ff800318bd1 (__TEXT,__const) non-external ___nogrouping
00007ff8002aaf5a (__TEXT,__text) external ___nrv_alloc_D2A
00007ff8002d6904 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff8002bec61 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff841ea1f28 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff8002bd752 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff80031202f (__TEXT,__text) external ___opendir2
00007ff80029b949 (__TEXT,__text) external ___opendir2$INODE64
00007ff80029cd8d (__TEXT,__text) non-external ___opendir_common
00007ff800312112 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00007ff8002dc421 (__TEXT,__text) external ___ovfl_delete
00007ff8002dc25a (__TEXT,__text) external ___ovfl_get
00007ff8002dc32f (__TEXT,__text) external ___ovfl_put
00007ff8002aae62 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff843a3b478 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00007ff843a3b470 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff843a399c8 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff8002be989 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff841ea24b8 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff841e9f7c8 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff8002a8797 (__TEXT,__text) external ___pow5mult_D2A
00007ff8003182f0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff80030aa9b (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff8003170ca (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff8003098e5 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff800316f50 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff8003099cc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff800316f74 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff80030a4d0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff800316fba (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff8002cb702 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff800316fdb (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff80030b0d2 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff800317132 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff80030b0b4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff80030a756 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff80031705e (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff80030a7f7 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff800317081 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff8002cb6d0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff8003170a9 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff80030abe9 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff8003170f0 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff80030af2a (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff800317111 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff8002cadd3 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff8002cb77f (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff8002cc6e0 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff8002f85c3 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff8002cbeee (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff80030b041 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff8002cbbef (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff80030aada (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff800309900 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff800309a04 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff800316f97 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff80030a4f3 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff8002cbf7c (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff800316ffe (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff80031703b (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff80030b0ed (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff80030b0bc (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff80030a77f (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff80030a812 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff8002cbc62 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff80030ac04 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff80030af45 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff8002c3ed0 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff843a39c10 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff8002e18b2 (__TEXT,__text) external ___put_page
00007ff800318cdf (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff80030c0a2 (__TEXT,__text) non-external (was a private external) ___pututxline
00007ff8002ab007 (__TEXT,__text) external ___quorem_D2A
00007ff8002c1a4f (__TEXT,__text) external ___ratio_D2A
00007ff8002e2489 (__TEXT,__text) external ___rec_close
00007ff8002e2794 (__TEXT,__text) external ___rec_delete
00007ff8002e28a0 (__TEXT,__text) external ___rec_dleaf
00007ff8002e3213 (__TEXT,__text) external ___rec_fd
00007ff8002e2cf0 (__TEXT,__text) external ___rec_fmap
00007ff8002e2a94 (__TEXT,__text) external ___rec_fpipe
00007ff8002e29a4 (__TEXT,__text) external ___rec_get
00007ff8002e351c (__TEXT,__text) external ___rec_iput
00007ff8002e2ec8 (__TEXT,__text) external ___rec_open
00007ff8002e3260 (__TEXT,__text) external ___rec_put
00007ff8002e3ab8 (__TEXT,__text) external ___rec_ret
00007ff8002e3759 (__TEXT,__text) external ___rec_search
00007ff8002e3900 (__TEXT,__text) external ___rec_seq
00007ff8002e2545 (__TEXT,__text) external ___rec_sync
00007ff8002e2e11 (__TEXT,__text) external ___rec_vmap
00007ff8002e2bc2 (__TEXT,__text) external ___rec_vpipe
00007ff8002e08ad (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff8002ade93 (__TEXT,__text) external ___rshift_D2A
00007ff800318000 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00007ff8002accf7 (__TEXT,__text) non-external (was a private external) ___rvOK_D2A
00007ff8002a7c50 (__TEXT,__text) external ___rv_alloc_D2A
00007ff8002a85fe (__TEXT,__text) external ___s2b_D2A
00007ff843a39540 (__DATA_DIRTY,__data) external ___sF
00007ff843a39710 (__DATA_DIRTY,__data) non-external ___sFX
00007ff8002ba98e (__TEXT,__text) external ___sclose
00007ff843a39c60 (__DATA_DIRTY,__bss) non-external ___scounted
00007ff843a3b4c0 (__DATA_DIRTY,__common) external ___sdidinit
