                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
000000019258cb8c (__TEXT,__text) external __cg_jcopy_block_row
000000019258a46c (__TEXT,__text) non-external _arith_decode
0000000192588afc (__TEXT,__text) non-external _arith_encode
00000001925ab70c (__TEXT,__const) non-external _base_dither_matrix
00000001925ab6cc (__TEXT,__const) non-external _bmask
000000019258bc28 (__TEXT,__text) non-external _build_ycc_rgb_table
                 (undefined) external _bzero (from libSystem)
0000000192589084 (__TEXT,__text) non-external _close_backing_store
00000001925833f4 (__TEXT,__text) non-external _cmyk_ycck_convert
00000001925a877c (__TEXT,__text) non-external _color_quantize
00000001925a8708 (__TEXT,__text) non-external _color_quantize3
000000019258c1f4 (__TEXT,__text) non-external _compress_data
000000019258c48c (__TEXT,__text) non-external _compress_first_pass
000000019258c930 (__TEXT,__text) non-external _compress_output
00000001925a3880 (__TEXT,__text) non-external _compress_output
                 (undefined) external _confstr (from libSystem)
0000000192596290 (__TEXT,__text) non-external _consume_data
000000019258dff8 (__TEXT,__text) non-external _consume_markers
00000001925a8554 (__TEXT,__text) non-external _create_colorindex
0000000192589f78 (__TEXT,__text) non-external _decode_mcu
00000001925a2a74 (__TEXT,__text) non-external _decode_mcu
0000000192589ad8 (__TEXT,__text) non-external _decode_mcu_AC_first
00000001925a1ae0 (__TEXT,__text) non-external _decode_mcu_AC_first
0000000192589dac (__TEXT,__text) non-external _decode_mcu_AC_refine
00000001925a1e4c (__TEXT,__text) non-external _decode_mcu_AC_refine
000000019258987c (__TEXT,__text) non-external _decode_mcu_DC_first
00000001925a18b8 (__TEXT,__text) non-external _decode_mcu_DC_first
0000000192589d00 (__TEXT,__text) non-external _decode_mcu_DC_refine
00000001925a1d3c (__TEXT,__text) non-external _decode_mcu_DC_refine
00000001925a2624 (__TEXT,__text) non-external _decode_mcu_sub
0000000192596490 (__TEXT,__text) non-external _decompress_data
000000019259666c (__TEXT,__text) non-external _decompress_onepass
0000000192596958 (__TEXT,__text) non-external _decompress_smooth_data
00000001925aa0dc (__TEXT,__text) non-external _do_barray_io
00000001925aa004 (__TEXT,__text) non-external _do_sarray_io
0000000192596664 (__TEXT,__text) non-external _dummy_consume_data
00000001925a7d34 (__TEXT,__text) non-external _dump_buffer_e
0000000192588d10 (__TEXT,__text) non-external _emit_byte
00000001925a4624 (__TEXT,__text) non-external _emit_byte
00000001925a4924 (__TEXT,__text) non-external _emit_dht
00000001925a46a4 (__TEXT,__text) non-external _emit_dqt
00000001925a7630 (__TEXT,__text) non-external _emit_eobrun
00000001925a08fc (__TEXT,__text) non-external _emit_message
0000000192588a00 (__TEXT,__text) non-external _emit_restart
00000001925a7d88 (__TEXT,__text) non-external _emit_restart_e
00000001925a47e8 (__TEXT,__text) non-external _emit_sof
00000001925a90ac (__TEXT,__text) non-external _empty_mem_output_buffer
00000001925a8e74 (__TEXT,__text) non-external _empty_output_buffer
000000019258854c (__TEXT,__text) non-external _encode_mcu
0000000192587f80 (__TEXT,__text) non-external _encode_mcu_AC_first
00000001925a5960 (__TEXT,__text) non-external _encode_mcu_AC_first
00000001925882f8 (__TEXT,__text) non-external _encode_mcu_AC_refine
00000001925a5fc8 (__TEXT,__text) non-external _encode_mcu_AC_refine
0000000192587d1c (__TEXT,__text) non-external _encode_mcu_DC_first
00000001925a5618 (__TEXT,__text) non-external _encode_mcu_DC_first
0000000192588244 (__TEXT,__text) non-external _encode_mcu_DC_refine
00000001925a5e40 (__TEXT,__text) non-external _encode_mcu_DC_refine
00000001925a6710 (__TEXT,__text) non-external _encode_mcu_gather
00000001925a6994 (__TEXT,__text) non-external _encode_mcu_huff
00000001925a08cc (__TEXT,__text) non-external _error_exit
0000000192587298 (__TEXT,__text) non-external _examine_app0
000000019258750c (__TEXT,__text) non-external _examine_app14
                 (undefined) external _exit (from libSystem)
00000001925ab838 (__TEXT,__const) non-external _extra_pool_slop
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
0000000192595ed4 (__TEXT,__text) non-external _fill_dc_scans
0000000192589170 (__TEXT,__text) non-external _fill_input_buffer
0000000192584c04 (__TEXT,__text) non-external _fill_inverse_cmap
0000000192589354 (__TEXT,__text) non-external _fill_mem_input_buffer
00000001925aaa58 (__TEXT,__const) non-external _fill_mem_input_buffer.mybuffer
000000019258e898 (__TEXT,__text) non-external _finish_input_pass
000000019259890c (__TEXT,__text) non-external _finish_output_pass
0000000192587b20 (__TEXT,__text) non-external _finish_pass
0000000192589878 (__TEXT,__text) non-external _finish_pass
000000019258409c (__TEXT,__text) non-external _finish_pass1
0000000192584808 (__TEXT,__text) non-external _finish_pass2
00000001925a853c (__TEXT,__text) non-external _finish_pass_1_quant
00000001925a5288 (__TEXT,__text) non-external _finish_pass_gather
00000001925a188c (__TEXT,__text) non-external _finish_pass_huff
00000001925a53e4 (__TEXT,__text) non-external _finish_pass_huff
0000000192597be8 (__TEXT,__text) non-external _finish_pass_master
00000001925ab828 (__TEXT,__const) non-external _first_pool_slop
                 (undefined) external _fopen (from libSystem)
00000001925a0a14 (__TEXT,__text) non-external _format_message
000000019258b20c (__TEXT,__text) non-external _forward_DCT
000000019258b358 (__TEXT,__text) non-external _forward_DCT_float
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00000001925a9e50 (__TEXT,__text) non-external _free_pool
                 (undefined) external _fseek (from libSystem)
00000001925a01d0 (__TEXT,__text) non-external _fullsize_downsample
00000001925a002c (__TEXT,__text) non-external _fullsize_smooth_downsample
0000000192599408 (__TEXT,__text) non-external _fullsize_upsample
                 (undefined) external _fwrite (from libSystem)
000000019258a5d8 (__TEXT,__text) non-external _get_byte
00000001925869a8 (__TEXT,__text) non-external _get_interesting_appn
0000000192586ee4 (__TEXT,__text) non-external _get_sof
000000019258bb18 (__TEXT,__text) non-external _gray_rgb_convert
0000000192583038 (__TEXT,__text) non-external _grayscale_convert
000000019258b9e0 (__TEXT,__text) non-external _grayscale_convert
00000001925a0264 (__TEXT,__text) non-external _h2v1_downsample
00000001925a1084 (__TEXT,__text) non-external _h2v1_merged_upsample
0000000192599410 (__TEXT,__text) non-external _h2v1_upsample
00000001925a05fc (__TEXT,__text) non-external _h2v2_downsample
00000001925a0e6c (__TEXT,__text) non-external _h2v2_merged_upsample
00000001925a0350 (__TEXT,__text) non-external _h2v2_smooth_downsample
0000000192599468 (__TEXT,__text) non-external _h2v2_upsample
00000001925a8e34 (__TEXT,__text) non-external _init_destination
0000000192583f64 (__TEXT,__text) non-external _init_error_limit
00000001925a90a8 (__TEXT,__text) non-external _init_mem_destination
0000000192589350 (__TEXT,__text) non-external _init_mem_source
0000000192589160 (__TEXT,__text) non-external _init_source
00000001925a0708 (__TEXT,__text) non-external _int_downsample
0000000192599520 (__TEXT,__text) non-external _int_upsample
000000019258cb0c (__TEXT,__text) non-external (was a private external) _jdiv_round_up
00000001925893a4 (__TEXT,__text) non-external (was a private external) _jinit_arith_decoder
0000000192587874 (__TEXT,__text) non-external (was a private external) _jinit_arith_encoder
00000001925aa340 (__TEXT,__const) non-external (was a private external) _jpeg_aritab
0000000192582670 (__TEXT,__text) non-external (was a private external) _jpeg_calc_jpeg_dimensions
000000019258db20 (__TEXT,__text) non-external (was a private external) _jpeg_core_output_dimensions
0000000192595488 (__TEXT,__text) non-external (was a private external) _jpeg_default_qtables
000000019259afa8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x10
000000019259dc48 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x5
000000019259b360 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_11x11
000000019259b838 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x12
000000019259d968 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x6
000000019259bc78 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_13x13
000000019259c1f0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x14
000000019259d5d4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x7
000000019259c6c0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_15x15
000000019259cbf0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x16
000000019259d1d0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x8
000000019259ac24 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x1
000000019259f81c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x2
000000019259e3f0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x1
000000019259aba4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x2
000000019259f738 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x4
000000019259aaa8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x3
000000019259f5c4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x6
000000019259e2e4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x2
000000019259a8e4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x4
000000019259f38c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x8
000000019259f07c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x10
000000019259a740 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x5
000000019259ed0c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x12
000000019259e180 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x3
000000019259a56c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x6
000000019259e8e8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x14
000000019259a288 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x7
000000019259e440 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x16
000000019259dec4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x4
000000019259ac60 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_9x9
00000001925a2f4c (__TEXT,__text) non-external _jpeg_fill_bit_buffer
00000001925a7998 (__TEXT,__text) non-external _jpeg_gen_optimal_table
00000001925a3090 (__TEXT,__text) non-external _jpeg_huff_decode
000000019258fd14 (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x10
0000000192592ea0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x5
000000019259011c (__TEXT,__text) non-external (was a private external) _jpeg_idct_11x11
0000000192590604 (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x12
0000000192592b30 (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x6
0000000192590aa4 (__TEXT,__text) non-external (was a private external) _jpeg_idct_13x13
0000000192591038 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x14
00000001925926e0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x7
0000000192591568 (__TEXT,__text) non-external (was a private external) _jpeg_idct_15x15
0000000192591b0c (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x16
000000019259215c (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x8
0000000192594e60 (__TEXT,__text) non-external (was a private external) _jpeg_idct_1x2
0000000192593778 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x1
0000000192594d10 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x4
000000019258f718 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x3
0000000192594b1c (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x6
0000000192593624 (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x2
00000001925947c8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x8
000000019259449c (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x10
000000019258f340 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x5
0000000192594110 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x12
0000000192593448 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x3
000000019258f0e4 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x6
0000000192593cc8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x14
000000019258ed78 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x7
00000001925937c8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x16
00000001925931ac (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x4
000000019258f950 (__TEXT,__text) non-external (was a private external) _jpeg_idct_9x9
00000001925a7370 (__TEXT,__text) non-external _jpeg_make_c_derived_tbl
00000001925a22d8 (__TEXT,__text) non-external _jpeg_make_d_derived_tbl
00000001925a8f90 (__TEXT,__text) non-external (was a private external) _jpeg_mem_dest
0000000192589288 (__TEXT,__text) non-external (was a private external) _jpeg_mem_src
00000001925ab01c (__TEXT,__const) non-external (was a private external) _jpeg_natural_order2
00000001925aafb8 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order3
00000001925aaf38 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order4
00000001925aae94 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order5
00000001925aadc4 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order6
00000001925aacc0 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order7
00000001925ab5cc (__TEXT,__const) non-external _jpeg_zigzag_order
00000001925ab3a0 (__TEXT,__const) non-external _jpeg_zigzag_order2
00000001925ab3b0 (__TEXT,__const) non-external _jpeg_zigzag_order3
00000001925ab3d4 (__TEXT,__const) non-external _jpeg_zigzag_order4
00000001925ab414 (__TEXT,__const) non-external _jpeg_zigzag_order5
00000001925ab478 (__TEXT,__const) non-external _jpeg_zigzag_order6
00000001925ab508 (__TEXT,__const) non-external _jpeg_zigzag_order7
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00000001925a1030 (__TEXT,__text) non-external _merged_1v_upsample
00000001925a0d50 (__TEXT,__text) non-external _merged_2v_upsample
                 (undefined) external _mktemp (from libSystem)
00000001925a8540 (__TEXT,__text) non-external _new_color_map_1_quant
0000000192583f54 (__TEXT,__text) non-external _new_color_map_2_quant
0000000192585150 (__TEXT,__text) non-external _next_marker
0000000192599400 (__TEXT,__text) non-external _noop_upsample
0000000192583384 (__TEXT,__text) non-external _null_convert
000000019258bedc (__TEXT,__text) non-external _null_convert
0000000192583034 (__TEXT,__text) non-external _null_method
00000001925a0974 (__TEXT,__text) non-external _output_message
00000001925a4b58 (__TEXT,__text) non-external _output_pass_setup
0000000192584440 (__TEXT,__text) non-external _pass2_fs_dither
0000000192584730 (__TEXT,__text) non-external _pass2_no_dither
0000000192597b98 (__TEXT,__text) non-external _pass_startup
0000000192597dd0 (__TEXT,__text) non-external _per_scan_setup
00000001925997e4 (__TEXT,__text) non-external _post_process_1pass
000000019259997c (__TEXT,__text) non-external _post_process_2pass
000000019259987c (__TEXT,__text) non-external _post_process_prepass
000000019258d05c (__TEXT,__text) non-external _pre_process_context
000000019258d2cc (__TEXT,__text) non-external _pre_process_data
0000000192598748 (__TEXT,__text) non-external _prepare_for_output_pass
00000001925979a0 (__TEXT,__text) non-external _prepare_for_pass
000000019258401c (__TEXT,__text) non-external _prescan_quantize
0000000192598cb8 (__TEXT,__text) non-external _process_data_context_main
0000000192599074 (__TEXT,__text) non-external _process_data_crank_post
000000019258ccd8 (__TEXT,__text) non-external _process_data_simple_main
0000000192598fbc (__TEXT,__text) non-external _process_data_simple_main
000000019258a358 (__TEXT,__text) non-external _process_restart
00000001925a2eb4 (__TEXT,__text) non-external _process_restart
00000001925a880c (__TEXT,__text) non-external _quantize3_ord_dither
00000001925a89dc (__TEXT,__text) non-external _quantize_fs_dither
00000001925a88dc (__TEXT,__text) non-external _quantize_ord_dither
0000000192588f24 (__TEXT,__text) non-external _read_backing_store
000000019258534c (__TEXT,__text) non-external _read_markers
0000000192586814 (__TEXT,__text) non-external _read_restart_marker
00000001925a98a8 (__TEXT,__text) non-external _realize_virt_arrays
00000001925a9800 (__TEXT,__text) non-external _request_virt_barray
00000001925a9758 (__TEXT,__text) non-external _request_virt_sarray
00000001925a0ae8 (__TEXT,__text) non-external _reset_error_mgr
000000019258e5a4 (__TEXT,__text) non-external _reset_input_controller
000000019258532c (__TEXT,__text) non-external _reset_marker_reader
000000019258ba80 (__TEXT,__text) non-external _rgb1_gray_convert
000000019258bd9c (__TEXT,__text) non-external _rgb1_rgb_convert
00000001925831d4 (__TEXT,__text) non-external _rgb_convert
000000019258bd30 (__TEXT,__text) non-external _rgb_convert
0000000192583154 (__TEXT,__text) non-external _rgb_gray_convert
000000019258b9fc (__TEXT,__text) non-external _rgb_gray_convert
0000000192583240 (__TEXT,__text) non-external _rgb_rgb1_convert
00000001925832bc (__TEXT,__text) non-external _rgb_ycc_convert
000000019258308c (__TEXT,__text) non-external _rgb_ycc_start
0000000192586c3c (__TEXT,__text) non-external _save_marker
00000001925ab80c (__TEXT,__const) non-external _select_ncolors.RGB_order
0000000192597c78 (__TEXT,__text) non-external _select_scan_parameters
00000001925a9fa0 (__TEXT,__text) non-external _self_destruct
000000019259ff84 (__TEXT,__text) non-external _sep_downsample
00000001925992b8 (__TEXT,__text) non-external _sep_upsample
0000000192589210 (__TEXT,__text) non-external _skip_input_data
00000001925868b8 (__TEXT,__text) non-external _skip_variable
                 (undefined) external _sprintf (from libSystem)
000000019258c1ac (__TEXT,__text) non-external _start_iMCU_row
0000000192596910 (__TEXT,__text) non-external _start_iMCU_row
000000019258e604 (__TEXT,__text) non-external _start_input_pass
0000000192596150 (__TEXT,__text) non-external _start_input_pass
0000000192596158 (__TEXT,__text) non-external _start_output_pass
00000001925835cc (__TEXT,__text) non-external _start_pass
000000019258790c (__TEXT,__text) non-external _start_pass
0000000192589494 (__TEXT,__text) non-external _start_pass
00000001925aa780 (__TEXT,__const) non-external _start_pass.aanscalefactor
00000001925aa700 (__TEXT,__const) non-external _start_pass.aanscales
00000001925a82ec (__TEXT,__text) non-external _start_pass_1_quant
0000000192583de4 (__TEXT,__text) non-external _start_pass_2_quant
000000019258c09c (__TEXT,__text) non-external _start_pass_coef
00000001925a3824 (__TEXT,__text) non-external _start_pass_coef
000000019258b9dc (__TEXT,__text) non-external _start_pass_dcolor
000000019259ff80 (__TEXT,__text) non-external _start_pass_downsample
00000001925996e8 (__TEXT,__text) non-external _start_pass_dpost
000000019258aae4 (__TEXT,__text) non-external _start_pass_fdctmgr
00000001925aab00 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscalefactor
00000001925aaa80 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscales
00000001925a4ff4 (__TEXT,__text) non-external _start_pass_huff
00000001925a1284 (__TEXT,__text) non-external _start_pass_huff_decoder
000000019258cc94 (__TEXT,__text) non-external _start_pass_main
0000000192598b1c (__TEXT,__text) non-external _start_pass_main
00000001925a0d3c (__TEXT,__text) non-external _start_pass_merged_upsample
000000019258d004 (__TEXT,__text) non-external _start_pass_prep
00000001925992a4 (__TEXT,__text) non-external _start_pass_upsample
00000001925ab238 (__TEXT,__const) non-external _std_chrominance_quant_tbl
00000001925ab138 (__TEXT,__const) non-external _std_luminance_quant_tbl
                 (undefined) external _strlen (from libSystem)
00000001925a8ed8 (__TEXT,__text) non-external _term_destination
00000001925a9154 (__TEXT,__text) non-external _term_mem_destination
0000000192589284 (__TEXT,__text) non-external _term_source
                 (undefined) external _unlink (from libSystem)
000000019258480c (__TEXT,__text) non-external _update_box
00000001925981b4 (__TEXT,__text) non-external _use_merged_upsample
0000000192588fd4 (__TEXT,__text) non-external _write_backing_store
00000001925a3ba0 (__TEXT,__text) non-external _write_file_header
00000001925a4478 (__TEXT,__text) non-external _write_file_trailer
00000001925a3db8 (__TEXT,__text) non-external _write_frame_header
