000000029842e7d0 (__DATA,__bss) non-external _A
00000002920527f8 (__DATA_CONST,__const) non-external _cmark_entities
0000000284a2dbb8 (__TEXT,__text) external _cmark_find_syntax_extension
0000000284a3a04c (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
0000000284a46770 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
0000000284a3a0cc (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
0000000284a46308 (__TEXT,__text) external _cmark_get_arena_mem_allocator
0000000284a2ace8 (__TEXT,__text) external _cmark_get_default_mem_allocator
0000000284a3a174 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
0000000284a45820 (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
0000000284a45958 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
0000000284a45990 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
0000000284a457f8 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
0000000284a458f4 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
0000000284a2bef4 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
0000000284a45878 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
0000000284a459c8 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
0000000284a459fc (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
0000000284a45848 (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
0000000284a45920 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
0000000284a2be98 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
0000000284a3d500 (__TEXT,__text) external _cmark_init_standard_node_flags
0000000284a426e4 (__TEXT,__text) external _cmark_inline_parser_advance_offset
0000000284a4271c (__TEXT,__text) external _cmark_inline_parser_get_chunk
0000000284a42704 (__TEXT,__text) external _cmark_inline_parser_get_column
0000000284a427a8 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
0000000284a427b0 (__TEXT,__text) external _cmark_inline_parser_get_line
0000000284a426f4 (__TEXT,__text) external _cmark_inline_parser_get_offset
0000000284a42724 (__TEXT,__text) external _cmark_inline_parser_in_bracket
0000000284a42378 (__TEXT,__text) external _cmark_inline_parser_is_eof
0000000284a4236c (__TEXT,__text) external _cmark_inline_parser_peek_at
0000000284a42334 (__TEXT,__text) external _cmark_inline_parser_peek_char
0000000284a46a60 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
0000000284a42470 (__TEXT,__text) external _cmark_inline_parser_push_delimiter
0000000284a424fc (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
0000000284a42500 (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
0000000284a46a60 (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
0000000284a426fc (__TEXT,__text) external _cmark_inline_parser_set_offset
0000000284a4238c (__TEXT,__text) external _cmark_inline_parser_take_while
0000000284a46a60 (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
0000000284a3f14c (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
0000000284a3f168 (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
0000000284a2be40 (__TEXT,__text) external _cmark_isalnum
0000000284a2be7c (__TEXT,__text) external _cmark_isalpha
0000000284a2be60 (__TEXT,__text) external _cmark_isdigit
0000000284a2be24 (__TEXT,__text) external _cmark_ispunct
0000000284a2be08 (__TEXT,__text) external _cmark_isspace
0000000284a2f164 (__TEXT,__text) external _cmark_iter_free
0000000284a2f258 (__TEXT,__text) external _cmark_iter_get_event_type
0000000284a2f250 (__TEXT,__text) external _cmark_iter_get_node
0000000284a2f260 (__TEXT,__text) external _cmark_iter_get_root
0000000284a2f110 (__TEXT,__text) external _cmark_iter_new
0000000284a2f170 (__TEXT,__text) external _cmark_iter_next
0000000284a46718 (__TEXT,__text) non-external _cmark_iter_next.cold.1
0000000284a2f244 (__TEXT,__text) external _cmark_iter_reset
0000000284a2db64 (__TEXT,__text) external _cmark_list_syntax_extensions
0000000284a30304 (__TEXT,__text) external _cmark_llist_append
0000000284a303c0 (__TEXT,__text) external _cmark_llist_free
0000000284a30360 (__TEXT,__text) external _cmark_llist_free_full
0000000284a3b1b8 (__TEXT,__text) external _cmark_manage_extensions_special_characters
0000000284a3a410 (__TEXT,__text) non-external (was a private external) _cmark_map_free
0000000284a3a298 (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
0000000284a3a484 (__TEXT,__text) non-external (was a private external) _cmark_map_new
0000000284a2acf4 (__TEXT,__text) external _cmark_markdown_to_html
0000000284a3ecd0 (__TEXT,__text) external _cmark_node_append_child
0000000284a3d504 (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
0000000284a3ed28 (__TEXT,__text) non-external (was a private external) _cmark_node_check
0000000284a3db7c (__TEXT,__text) external _cmark_node_first_child
0000000284a3d6f4 (__TEXT,__text) external _cmark_node_free
0000000284a3e670 (__TEXT,__text) external _cmark_node_get_attributes
0000000284a3dd40 (__TEXT,__text) external _cmark_node_get_backtick_count
0000000284a3eb14 (__TEXT,__text) external _cmark_node_get_end_column
0000000284a3eb08 (__TEXT,__text) external _cmark_node_get_end_line
0000000284a3e198 (__TEXT,__text) external _cmark_node_get_fence_info
0000000284a3e304 (__TEXT,__text) external _cmark_node_get_fenced
0000000284a3dec4 (__TEXT,__text) external _cmark_node_get_heading_level
0000000284a3e140 (__TEXT,__text) external _cmark_node_get_item_index
0000000284a3e034 (__TEXT,__text) external _cmark_node_get_list_delim
0000000284a3df84 (__TEXT,__text) external _cmark_node_get_list_marker
0000000284a3e094 (__TEXT,__text) external _cmark_node_get_list_start
0000000284a3e0ec (__TEXT,__text) external _cmark_node_get_list_tight
0000000284a3df24 (__TEXT,__text) external _cmark_node_get_list_type
0000000284a3dbfc (__TEXT,__text) external _cmark_node_get_literal
0000000284a3e7dc (__TEXT,__text) external _cmark_node_get_on_enter
0000000284a3e958 (__TEXT,__text) external _cmark_node_get_on_exit
0000000284a3eafc (__TEXT,__text) external _cmark_node_get_start_column
0000000284a3eaf0 (__TEXT,__text) external _cmark_node_get_start_line
0000000284a3dea0 (__TEXT,__text) external _cmark_node_get_string_content
0000000284a3ead4 (__TEXT,__text) external _cmark_node_get_syntax_extension
0000000284a3e4f4 (__TEXT,__text) external _cmark_node_get_title
0000000284a3d7e4 (__TEXT,__text) external _cmark_node_get_type
0000000284a3d9b4 (__TEXT,__text) external _cmark_node_get_type_string
0000000284a3e378 (__TEXT,__text) external _cmark_node_get_url
0000000284a3dbd0 (__TEXT,__text) external _cmark_node_get_user_data
0000000284a3ebc4 (__TEXT,__text) external _cmark_node_insert_after
0000000284a3eb4c (__TEXT,__text) external _cmark_node_insert_before
0000000284a3db88 (__TEXT,__text) external _cmark_node_last_child
0000000284a3d6e4 (__TEXT,__text) external _cmark_node_new
0000000284a3d6cc (__TEXT,__text) external _cmark_node_new_with_ext
0000000284a3d6dc (__TEXT,__text) external _cmark_node_new_with_mem
0000000284a3d60c (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
0000000284a3db58 (__TEXT,__text) external _cmark_node_next
0000000284a3db94 (__TEXT,__text) external _cmark_node_nth_child
0000000284a2f3e0 (__TEXT,__text) external _cmark_node_own
0000000284a3db70 (__TEXT,__text) external _cmark_node_parent
0000000284a3dbc4 (__TEXT,__text) external _cmark_node_parent_footnote_def
0000000284a3ec78 (__TEXT,__text) external _cmark_node_prepend_child
0000000284a3db64 (__TEXT,__text) external _cmark_node_previous
0000000284a3ec3c (__TEXT,__text) external _cmark_node_replace
0000000284a3e710 (__TEXT,__text) external _cmark_node_set_attributes
0000000284a3e238 (__TEXT,__text) external _cmark_node_set_fence_info
0000000284a3e340 (__TEXT,__text) external _cmark_node_set_fenced
0000000284a3dee8 (__TEXT,__text) external _cmark_node_set_heading_level
0000000284a3e164 (__TEXT,__text) external _cmark_node_set_item_index
0000000284a3e058 (__TEXT,__text) external _cmark_node_set_list_delim
0000000284a3dfd4 (__TEXT,__text) external _cmark_node_set_list_marker
0000000284a3e0b8 (__TEXT,__text) external _cmark_node_set_list_start
0000000284a3e110 (__TEXT,__text) external _cmark_node_set_list_tight
0000000284a3df48 (__TEXT,__text) external _cmark_node_set_list_type
0000000284a3dd48 (__TEXT,__text) external _cmark_node_set_literal
0000000284a3e884 (__TEXT,__text) external _cmark_node_set_on_enter
0000000284a3ea00 (__TEXT,__text) external _cmark_node_set_on_exit
0000000284a3dea8 (__TEXT,__text) external _cmark_node_set_string_content
0000000284a3eae0 (__TEXT,__text) external _cmark_node_set_syntax_extension
0000000284a3e59c (__TEXT,__text) external _cmark_node_set_title
0000000284a3d7f0 (__TEXT,__text) external _cmark_node_set_type
0000000284a3e420 (__TEXT,__text) external _cmark_node_set_url
0000000284a3dbdc (__TEXT,__text) external _cmark_node_set_user_data
0000000284a3dbec (__TEXT,__text) external _cmark_node_set_user_data_free_func
0000000284a3eb20 (__TEXT,__text) external _cmark_node_unlink
0000000284a42760 (__TEXT,__text) external _cmark_node_unput
0000000284a3b974 (__TEXT,__text) external _cmark_parse_document
0000000284a3b230 (__TEXT,__text) external _cmark_parse_file
0000000284a3f180 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
0000000284a420d8 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
0000000284a41918 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
0000000284a46a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
0000000284a3cb9c (__TEXT,__text) external _cmark_parser_add_child
0000000284a3cc7c (__TEXT,__text) external _cmark_parser_advance_offset
0000000284a3aea8 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
0000000284a3b168 (__TEXT,__text) non-external _cmark_parser_dispose
0000000284a3b9dc (__TEXT,__text) external _cmark_parser_feed
0000000284a3b9e4 (__TEXT,__text) external _cmark_parser_feed_reentrant
0000000284a3b4cc (__TEXT,__text) external _cmark_parser_finish
0000000284a3b0dc (__TEXT,__text) external _cmark_parser_free
0000000284a3cb64 (__TEXT,__text) external _cmark_parser_get_column
0000000284a3cb6c (__TEXT,__text) external _cmark_parser_get_first_nonspace
0000000284a3cb74 (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
0000000284a3cb7c (__TEXT,__text) external _cmark_parser_get_indent
0000000284a3cb94 (__TEXT,__text) external _cmark_parser_get_last_line_length
0000000284a3cb54 (__TEXT,__text) external _cmark_parser_get_line_number
0000000284a3cb5c (__TEXT,__text) external _cmark_parser_get_offset
0000000284a3cd8c (__TEXT,__text) external _cmark_parser_get_syntax_extensions
0000000284a3cb8c (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
0000000284a3cb84 (__TEXT,__text) external _cmark_parser_is_blank
0000000284a3b0d0 (__TEXT,__text) external _cmark_parser_new
0000000284a3af68 (__TEXT,__text) external _cmark_parser_new_with_mem
0000000284a3afd4 (__TEXT,__text) non-external _cmark_parser_reset
0000000284a3cd84 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
0000000284a2ebac (__TEXT,__text) external _cmark_plugin_free
0000000284a2eb7c (__TEXT,__text) external _cmark_plugin_new
0000000284a2eb40 (__TEXT,__text) external _cmark_plugin_register_syntax_extension
0000000284a2ec08 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
0000000284a3ac88 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
0000000284a46854 (__TEXT,__text) non-external _cmark_reference_create.cold.1
0000000284a3ad4c (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
0000000284a46880 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
0000000284a3adfc (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
0000000284a3d4c4 (__TEXT,__text) external _cmark_register_node_flag
0000000284a469f0 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
0000000284a46a20 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
000000029986b7a0 (__DATA_DIRTY,__data) non-external _cmark_register_node_flag.nextflag
0000000284a2da78 (__TEXT,__text) external _cmark_register_plugin
0000000284a2db1c (__TEXT,__text) external _cmark_release_plugins
0000000284a2dc90 (__TEXT,__text) non-external (was a private external) _cmark_render
0000000284a2dc10 (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
0000000284a2dc54 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
0000000284a29b10 (__TEXT,__text) external _cmark_render_commonmark
0000000284a29b4c (__TEXT,__text) external _cmark_render_commonmark_with_mem
0000000284a2ad38 (__TEXT,__text) external _cmark_render_html
0000000284a2ad40 (__TEXT,__text) external _cmark_render_html_with_mem
0000000284a4663c (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
0000000284a2f5d4 (__TEXT,__text) external _cmark_render_latex
0000000284a2f608 (__TEXT,__text) external _cmark_render_latex_with_mem
0000000284a2c420 (__TEXT,__text) external _cmark_render_man
0000000284a2c454 (__TEXT,__text) external _cmark_render_man_with_mem
0000000284a43554 (__TEXT,__text) external _cmark_render_plaintext
0000000284a43590 (__TEXT,__text) external _cmark_render_plaintext_with_mem
0000000284a42bcc (__TEXT,__text) external _cmark_render_xml
0000000284a42bd4 (__TEXT,__text) external _cmark_render_xml_with_mem
0000000284a3eee0 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
000000029842e6c9 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
0000000284a3f0e8 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
000000029842e5c0 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
000000029842e6c0 (__DATA,__common) external _cmark_strbuf__initbuf
0000000284a3a5f8 (__TEXT,__text) external _cmark_strbuf_clear
0000000284a3a8e0 (__TEXT,__text) external _cmark_strbuf_cmp
0000000284a3a818 (__TEXT,__text) external _cmark_strbuf_copy_cstr
0000000284a46828 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
0000000284a3a8ac (__TEXT,__text) external _cmark_strbuf_detach
0000000284a3a9f4 (__TEXT,__text) external _cmark_strbuf_drop
0000000284a3a5ac (__TEXT,__text) external _cmark_strbuf_free
0000000284a3a52c (__TEXT,__text) external _cmark_strbuf_grow
0000000284a467c8 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
0000000284a467fc (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
0000000284a3a504 (__TEXT,__text) external _cmark_strbuf_init
0000000284a3a5a4 (__TEXT,__text) external _cmark_strbuf_len
0000000284a3ab38 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
0000000284a3a75c (__TEXT,__text) external _cmark_strbuf_put
0000000284a3a70c (__TEXT,__text) external _cmark_strbuf_putc
0000000284a3a7d0 (__TEXT,__text) external _cmark_strbuf_puts
0000000284a3aa58 (__TEXT,__text) external _cmark_strbuf_rtrim
0000000284a3a614 (__TEXT,__text) external _cmark_strbuf_set
0000000284a3a6b8 (__TEXT,__text) external _cmark_strbuf_sets
0000000284a3a934 (__TEXT,__text) external _cmark_strbuf_strchr
0000000284a3a98c (__TEXT,__text) external _cmark_strbuf_strrchr
0000000284a3a880 (__TEXT,__text) external _cmark_strbuf_swap
0000000284a3aab8 (__TEXT,__text) external _cmark_strbuf_trim
0000000284a3a9d4 (__TEXT,__text) external _cmark_strbuf_truncate
0000000284a3abe4 (__TEXT,__text) external _cmark_strbuf_unescape
0000000284a2cb84 (__TEXT,__text) external _cmark_syntax_extension_add_node
