00000001db1e5740 (__TEXT,__text) non-external +[NFPromise new]
00000001db1e276c (__TEXT,__text) non-external -[NFEventManager init]
00000001db1e29d8 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00000001db1eaf5c (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00000001db1e2d28 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00000001db1eb0c4 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00000001db1e2c70 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00000001db1eb04c (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00000001db1e288c (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00000001db1eaee4 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00000001db1e2b24 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00000001db1eafd4 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00000001db1e33a4 (__TEXT,__text) non-external -[NFEventManager triggers]
00000001db1e3504 (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00000001db1e34ec (__TEXT,__text) non-external -[NFEventTrigger block]
00000001db1e34e4 (__TEXT,__text) non-external -[NFEventTrigger events]
00000001db1e34fc (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00000001db1e34f4 (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00000001db1e33f0 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00000001db1e34dc (__TEXT,__text) non-external -[NFEventTrigger key]
00000001db1e4f10 (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00000001db1e4f00 (__TEXT,__text) non-external -[NFLazy constructor]
00000001db1e4d28 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00000001db1e4f08 (__TEXT,__text) non-external -[NFLazy lock]
00000001db1e4e8c (__TEXT,__text) non-external -[NFLazy reset]
00000001db1e4dc8 (__TEXT,__text) non-external -[NFLazy value]
00000001db1ea960 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00000001db1ea204 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00000001db1ea904 (__TEXT,__text) non-external -[NFMultiDelegate children]
00000001db1ea3d8 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00000001db1ea90c (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00000001db1ea200 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00000001db1ea794 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00000001db1ea108 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001db1ea110 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00000001db1ea914 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00000001db1ea5e4 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001db1ea28c (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001db1ea314 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001db1ea46c (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001db1ea91c (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00000001db1e8a7c (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001db1e89dc (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001db1e89d4 (__TEXT,__text) non-external -[NFMutexLock init]
00000001db1e8b2c (__TEXT,__text) non-external -[NFMutexLock lock]
00000001db1e8ac8 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001db1e8b34 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001db1e271c (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001db1e254c (__TEXT,__text) non-external -[NFPendingPromise init]
00000001db1e26b0 (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001db1e270c (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001db1e26fc (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001db1e26b8 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001db1e2714 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001db1e2704 (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001db1e6d18 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001db1e5860 (__TEXT,__text) non-external -[NFPromise always:]
00000001db1e5ef8 (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001db1e57f4 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001db1e6b5c (__TEXT,__text) non-external -[NFPromise delayOn]
00000001db1e6a40 (__TEXT,__text) non-external -[NFPromise delay]
00000001db1e5850 (__TEXT,__text) non-external -[NFPromise error:]
00000001db1e5e70 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001db1e6490 (__TEXT,__text) non-external -[NFPromise errorOn]
00000001db1e6390 (__TEXT,__text) non-external -[NFPromise error]
00000001db1e576c (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001db1e54a8 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001db1e56b8 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001db1e5354 (__TEXT,__text) non-external -[NFPromise init]
00000001db1e6204 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001db1e6088 (__TEXT,__text) non-external -[NFPromise pipe]
00000001db1e67f0 (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001db1e651c (__TEXT,__text) non-external -[NFPromise resolve]
00000001db1e6ccc (__TEXT,__text) non-external -[NFPromise seal]
00000001db1e6cd4 (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001db1e5840 (__TEXT,__text) non-external -[NFPromise then:]
00000001db1e5870 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001db1e5ffc (__TEXT,__text) non-external -[NFPromise thenOn]
00000001db1e5f74 (__TEXT,__text) non-external -[NFPromise then]
00000001db1e8ff4 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00000001db1e9068 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00000001db1e8178 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001db1e7b88 (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001db1e77c0 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001db1eb2cc (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001db1eb344 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001db1e80c8 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001db1e8124 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001db1e7740 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001db1e76c0 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001db1e7638 (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001db1e8170 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001db1e7cf0 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001db1e78a0 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001db1e7894 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001db1e78b0 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001db1e7e34 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001db1eb3bc (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001db1e80d0 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001db1e812c (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001db1e811c (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001db1e8084 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001db1e8114 (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001db1e807c (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001db1e8984 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001db1e8708 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001db1e8554 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001db1e85f0 (__TEXT,__text) non-external -[NFReachability _updateCurrentReachabilityStatus:]
00000001db1e8938 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001db1e8890 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001db1e84c4 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001db1e8510 (__TEXT,__text) non-external -[NFReachability flushStatusUpdates]
00000001db1e8310 (__TEXT,__text) non-external -[NFReachability init]
00000001db1e88ec (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001db1e88a0 (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001db1e8940 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001db1e8898 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001db1e88f4 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001db1e88a8 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001db1e4bf0 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001db1e3da0 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001db1e3d30 (__TEXT,__text) non-external -[NFStateMachine activate]
00000001db1e3fd8 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001db1eb1b4 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001db1e3ecc (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001db1eb13c (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001db1e3e70 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001db1e3dfc (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001db1e3c44 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001db1e3ba8 (__TEXT,__text) non-external -[NFStateMachine description]
00000001db1e4b48 (__TEXT,__text) non-external -[NFStateMachine events]
00000001db1e40e4 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001db1e3a70 (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001db1e4b94 (__TEXT,__text) non-external -[NFStateMachine lock]
00000001db1e4ac4 (__TEXT,__text) non-external -[NFStateMachine owner]
00000001db1e4b50 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001db1e4b9c (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001db1e4af0 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001db1e4a80 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001db1e4b04 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001db1e4a70 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001db1e4be8 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001db1e4a78 (__TEXT,__text) non-external -[NFStateMachine state]
00000001db1e4afc (__TEXT,__text) non-external -[NFStateMachine states]
00000001db1e4be0 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001db1e4a68 (__TEXT,__text) non-external -[NFStateMachine status]
00000001db1e8f98 (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001db1e8d18 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001db1e8f3c (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001db1e8f88 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001db1e8e08 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001db1e8c0c (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001db1e8b3c (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001db1e8c4c (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001db1e8ee0 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001db1e8de0 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001db1e8f44 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001db1e8f90 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001db1e8ee8 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001db1e8ef8 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001db1e8ef0 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001db1e9ce8 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001db1e9c98 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001db1e9b3c (__TEXT,__text) non-external -[NFStateMachineState description]
00000001db1e9cd8 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001db1e9cc8 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001db1e9a30 (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001db1e99b8 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001db1e9a70 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001db1e9c88 (__TEXT,__text) non-external -[NFStateMachineState name]
00000001db1e9bc0 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001db1e9c60 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001db1e9c10 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001db1e9c38 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001db1e9be8 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001db1e9ca0 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001db1e9ce0 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001db1e9cd0 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001db1e9c90 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001db1e9cc0 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001db1e9cb0 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001db1e9cb8 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001db1e9ca8 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001db1e9d5c (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001db1ea030 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001db1e9f58 (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001db1e9eb0 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001db1e9e08 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001db1e24e4 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001db1e2498 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001db1e2280 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001db1e23b4 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001db1e2400 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001db1e2158 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001db1e24a0 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001db1e23bc (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001db1e2408 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001db1e2370 (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001db1e2454 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001db1e2368 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001db1e244c (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001db1e2148 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00000001db1e2150 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00000001db1e2070 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001db1e20cc (__TEXT,__text) non-external -[NFUnfairLock init]
00000001db1e2134 (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001db1e20d4 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001db1e2140 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001db1e6d34 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001db1e3a00 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001db1e5074 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001db1e739c (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001db1e749c (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001db1e4c84 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001db1eabd8 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00000001db1eab20 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001db1ed430 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001db1ed48c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001db1ed4a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001db1e3780 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001db1eadfc (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001db1eb45c (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00000001ed027a70 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001ed027a68 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001db1eac08 (__TEXT,__text) external _NFDeviceIsA7
00000001db1eac10 (__TEXT,__text) external _NFDeviceIsA8
00000001db1ead54 (__TEXT,__text) external _NFDeviceModelString
00000001db1ead20 (__TEXT,__text) external _NFDeviceOSVersion
00000001db1eac18 (__TEXT,__text) external _NFDevicePlatform
00000001db1eb448 (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00000001ed027a60 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001ed027a58 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001db1ead14 (__TEXT,__text) external _NFGeneralDeviceString
00000001db1e1f80 (__TEXT,__text) external _NFInternalBuild
00000001db1eae44 (__TEXT,__text) non-external _NFInternalBuild.cold.1
00000001ed027a80 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00000001ed027a78 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001db1e8204 (__TEXT,__text) external _NFLockSync
00000001db1e7570 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001db1e1fe0 (__TEXT,__text) external _NFSeedBuild
00000001e7a1b020 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001db1e1fe8 (__TEXT,__text) external _NFStoreDemoMode
00000001db1eae58 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00000001ed027a50 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001ed027a81 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00000001db1ead88 (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001db1ec700 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001db1ec6c0 (__TEXT,__const) external _NewsFoundationVersionString
00000001ed0279a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001ed027908 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001ed0278e0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001ed0278b8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001ed0279d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001ed027890 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001ed027930 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001ed027868 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001ed027840 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001ed027818 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001ed0277f0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001ed0277c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001ed0277a0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001ed027778 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001ed027750 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001ed027728 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001ebdf7218 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001ebdf721c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001ebdf7230 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001ebdf722c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001ebdf7224 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001ebdf7220 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001ebdf7228 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001ebdf7254 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001ebdf7258 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
