00007ffa14f7678b (__TEXT,__text) non-external +[NFPromise new]
00007ffa14f7a7f6 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa14f7a80b (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00007ffa14f7b167 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00007ffa14f7ad7d (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa14f7a9a9 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa14f7aa44 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa14f7abc7 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa14f7b171 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00007ffa14f79362 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa14f792ce (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa14f792ba (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa14f793eb (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa14f7939c (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa14f793f9 (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa14f734e6 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa14f73354 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa14f73499 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa14f734cd (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa14f734b4 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa14f734a3 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa14f734d7 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa14f734be (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa14f77982 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa14f768a1 (__TEXT,__text) non-external -[NFPromise always:]
00007ffa14f76ebf (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa14f76829 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa14f77838 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa14f77766 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa14f76885 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa14f76e25 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa14f772e8 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa14f7722b (__TEXT,__text) non-external -[NFPromise error]
00007ffa14f767a7 (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa14f76519 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa14f76709 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa14f763ae (__TEXT,__text) non-external -[NFPromise init]
00007ffa14f7711f (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa14f7701d (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa14f7758d (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa14f77352 (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa14f77967 (__TEXT,__text) non-external -[NFPromise seal]
00007ffa14f77971 (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa14f76869 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa14f768bd (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa14f76fb3 (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa14f76f4c (__TEXT,__text) non-external -[NFPromise then]
00007ffa14f7984c (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00007ffa14f798ab (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00007ffa14f78cf8 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa14f786af (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa14f78313 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa14f7bdb1 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa14f7be92 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa14f78ca4 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa14f78cd3 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa14f782a0 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa14f7822d (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa14f781b0 (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa14f78cee (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa14f787d6 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa14f78426 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa14f7840f (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa14f78443 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa14f7893e (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa14f7bf73 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa14f78cae (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa14f78cdd (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa14f78cc9 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa14f78c93 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa14f78cbf (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa14f78c89 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa14f79287 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa14f790d2 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa14f78fd9 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa14f7926c (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa14f79222 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa14f78f9f (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa14f78df4 (__TEXT,__text) non-external -[NFReachability init]
00007ffa14f79251 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa14f79236 (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa14f79276 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa14f7922c (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa14f7925b (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa14f79240 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa14f75d27 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa14f74dc2 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa14f74d44 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa14f75009 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa14f7bbbf (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa14f74edc (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa14f7bade (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa14f74e8e (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa14f74e10 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa14f74c56 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa14f74bb8 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa14f75cdd (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa14f75136 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa14f74a6d (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa14f75cf8 (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa14f75c9b (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa14f75ce7 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa14f75d02 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa14f75cb1 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa14f75c8a (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa14f75ccc (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa14f75c76 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa14f75d1d (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa14f75c80 (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa14f75cc2 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa14f75d13 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa14f75c6c (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa14f7980e (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa14f795e0 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa14f797da (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa14f797f5 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa14f796c9 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa14f794bf (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa14f79407 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa14f79503 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa14f797a6 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa14f796a9 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa14f797e4 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa14f797ff (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa14f797b0 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa14f797c9 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa14f797bf (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa14f7a3e5 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa14f7a368 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa14f7a23e (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa14f7a3cc (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa14f7a3b3 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa14f7a11d (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa14f7a0b2 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa14f7a161 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa14f7a34f (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa14f7a2af (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa14f7a32f (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa14f7a2ef (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa14f7a30f (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa14f7a2cf (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa14f7a372 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa14f7a3d6 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa14f7a3bd (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa14f7a359 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa14f7a3a4 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa14f7a38b (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa14f7a39a (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa14f7a381 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa14f7a439 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa14f7a719 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa14f7a63c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa14f7a594 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa14f7a4ec (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa14f7330b (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa14f732f0 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa14f7319b (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa14f7329f (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa14f732ba (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa14f73097 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa14f732fa (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa14f732a9 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa14f732c4 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa14f7328e (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa14f732df (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa14f73284 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa14f732d5 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa14f7307b (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00007ffa14f73089 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00007ffa14f72fa7 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa14f72ff0 (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa14f7305c (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa14f73004 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa14f7306d (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa14f7799d (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa14f749f5 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa14f7616f (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa14f77f3a (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa14f78033 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa14f75d6e (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa14f7b371 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00007ffa14f7b2df (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa14f7dca4 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa14f7dd00 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffa14f7dd1c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa14f74788 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa14f7b53d (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa14f7c084 (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00007ffa433f57f8 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa433f5800 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa14f7b3ea (__TEXT,__text) external _NFDeviceIsA7
00007ffa14f7b3f2 (__TEXT,__text) external _NFDeviceIsA8
00007ffa14f7b4d4 (__TEXT,__text) external _NFDeviceModelString
00007ffa14f7b4b9 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa14f7b3fa (__TEXT,__text) external _NFDevicePlatform
00007ffa14f7c06c (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00007ffa4294ac50 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa4294ac48 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa14f7b4ac (__TEXT,__text) external _NFGeneralDeviceString
00007ffa14f72f10 (__TEXT,__text) external _NFInternalBuild
00007ffa14f7b568 (__TEXT,__text) non-external _NFInternalBuild.cold.1
00007ffa433f57f0 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00007ffa4294ac08 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa14f78d36 (__TEXT,__text) external _NFLockSync
00007ffa14f780fd (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa14f72f46 (__TEXT,__text) external _NFSeedBuild
00007ffa41aa5828 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa14f72f4e (__TEXT,__text) external _NFStoreDemoMode
00007ffa14f7b580 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00007ffa4294ac10 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa433f57f1 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
00007ffa14f7b4ef (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa14f7cff0 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa14f7cfb0 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa433f54e0 (__DATA,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa4294a938 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa4294a960 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa4294a9d8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa4294abb8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa4294ab68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa433f5468 (__DATA,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa4294aa28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa4294aac8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa4294ab18 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa433f5508 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa433f5558 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa433f55a8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa433f5418 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa4294a8e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa4294aaa0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa433f52d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa433f52d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00007ffa433f5300 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00007ffa433f52f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00007ffa433f52e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
