00000002942a1c90 (__DATA,__data) non-external _.compoundliteral
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
0000000225bb6d44 (__TEXT,__text) non-external _CPPelse
0000000225bb79cc (__TEXT,__text) non-external _CPPerror
0000000225bb7c24 (__TEXT,__text) non-external _CPPextension
0000000225bb6ff8 (__TEXT,__text) non-external _CPPif
0000000225bb70f8 (__TEXT,__text) non-external _CPPifdef
0000000225bb7284 (__TEXT,__text) non-external _CPPinclude
0000000225bb7540 (__TEXT,__text) non-external _CPPline
0000000225bb7720 (__TEXT,__text) non-external _CPPpragma
0000000225bb7914 (__TEXT,__text) non-external _CPPundef
0000000225bb7ad8 (__TEXT,__text) non-external _CPPversion
0000000225c0d4b4 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
0000000225c0be04 (__TEXT,__text) non-external _ClearDestedOpRegisters
0000000225c0d46c (__TEXT,__text) non-external _ClearJumpTable
0000000225c0bd9c (__TEXT,__text) non-external _ClearRegisterState
0000000225c09d80 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
0000000225c02dcc (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
0000000225c0a048 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
0000000225c064fc (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
0000000225b9fb6c (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
0000000225c07c68 (__TEXT,__text) non-external _EmulateOp
0000000225c0bd3c (__TEXT,__text) non-external _EmulationContext_PopRegisters
0000000225c0bcec (__TEXT,__text) non-external _EmulationContext_PushRegisters
0000000225bb5fe8 (__TEXT,__text) non-external _FindHashLoc
0000000225c0d740 (__TEXT,__text) non-external _FindMatchingAvailableCopy
0000000225b9e9a8 (__TEXT,__text) non-external (was a private external) _FinishType
0000000225c0578c (__TEXT,__text) non-external (was a private external) _FlattenIf
0000000225c055e0 (__TEXT,__text) non-external (was a private external) _FlattenIfs
0000000225bb5f80 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
0000000225bb6338 (__TEXT,__text) non-external (was a private external) _FreeCPP
0000000225bb8de4 (__TEXT,__text) non-external (was a private external) _FreeScanner
0000000225af7ce8 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
0000000225afcddc (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
000000028f7ede78 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
0000000225c280ac (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
000000029969a960 (__AUTH,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
0000000225c27900 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
000000028f7efeb8 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
0000000225c280bc (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
0000000225c278b0 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
0000000225bb5b98 (__TEXT,__text) non-external (was a private external) _GetAtomString
0000000225c07254 (__TEXT,__text) non-external _GetOpRegs
0000000225c05340 (__TEXT,__text) non-external _GetOrAddBlock
0000000225c0a014 (__TEXT,__text) non-external _GetRegChunk
0000000225c03c30 (__TEXT,__text) non-external _GetRegister
0000000225c0bc54 (__TEXT,__text) non-external _GetRegisterIndicies
0000000225c063d0 (__TEXT,__text) non-external _GetRegisterTypeInfo
0000000225bb5c0c (__TEXT,__text) non-external (was a private external) _GetReversedAtom
0000000225c0d6c4 (__TEXT,__text) non-external _GetStreamArray
0000000225bb5f6c (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
0000000225bb5d98 (__TEXT,__text) non-external _GrowAtomTable
00000002942a1c48 (__DATA,__data) non-external (was a private external) _HT_PRIMES
0000000225c01e48 (__TEXT,__text) non-external (was a private external) _HashSetAdd
0000000225c01dcc (__TEXT,__text) non-external (was a private external) _HashSetFree
0000000225c01f4c (__TEXT,__text) non-external (was a private external) _HashSetGet
0000000225c02094 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
0000000225c0208c (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
0000000225c01ce8 (__TEXT,__text) non-external (was a private external) _HashSetNew
0000000225c01fe4 (__TEXT,__text) non-external (was a private external) _HashSetRemove
0000000225c02210 (__TEXT,__text) non-external (was a private external) _HashTableAdd
0000000225c0216c (__TEXT,__text) non-external (was a private external) _HashTableFree
0000000225c0234c (__TEXT,__text) non-external (was a private external) _HashTableGet
0000000225c02108 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
0000000225bb5c34 (__TEXT,__text) non-external (was a private external) _InitAtomTable
0000000225bb6168 (__TEXT,__text) non-external (was a private external) _InitCPP
0000000225b9e9f4 (__TEXT,__text) non-external (was a private external) _InitReg
0000000225bb8d90 (__TEXT,__text) non-external (was a private external) _InitScanner
0000000225c040a4 (__TEXT,__text) non-external (was a private external) _InstructionAdd
0000000225c04958 (__TEXT,__text) non-external (was a private external) _InstructionFree
0000000225c0418c (__TEXT,__text) non-external _InstructionInitSourcesTargets
0000000225c07388 (__TEXT,__text) non-external _IsBadUsage
0000000225b9fcf4 (__TEXT,__text) non-external (was a private external) _Load
0000000225bb5920 (__TEXT,__text) non-external (was a private external) _LookUpAddString
0000000225bb5a00 (__TEXT,__text) non-external _LookUpAddStringHash
0000000225bbade0 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
0000000225bbae54 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
0000000225bb7d90 (__TEXT,__text) non-external (was a private external) _MacroExpand
0000000225bbb72c (__TEXT,__text) non-external (was a private external) _MatchNextToken
0000000225bbac48 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
0000000225bbaeb0 (__TEXT,__text) non-external (was a private external) _NewTokenStream
000000028f7ec418 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
000000028f7ec0b8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
000000028f7ec638 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
000000028f7ec778 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
000000028f7ec278 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
000000028f7ec378 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
000000028f7ec878 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
000000028f7ec3e8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
0000000225af35b8 (__TEXT,__text) external _PPParserAttachLLVMIR
0000000225af3324 (__TEXT,__text) external _PPParserAttachStream
0000000225af3174 (__TEXT,__text) external _PPParserAttachString
0000000225afbdac (__TEXT,__text) external _PPParserBuildErrorString
0000000225af3088 (__TEXT,__text) external _PPParserCreate
0000000225af3d2c (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
0000000225afaaa8 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
0000000225af324c (__TEXT,__text) external _PPParserFree
0000000225af39e0 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
0000000225afcdc4 (__TEXT,__text) external _PPParserGetErrorString
0000000225afcdd4 (__TEXT,__text) external _PPParserGetImageUnitsUsed
0000000225af3d80 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
0000000225afcda0 (__TEXT,__text) external _PPParserGetLimits
0000000225afcdbc (__TEXT,__text) external _PPParserGetOptions
0000000225af3aec (__TEXT,__text) non-external (was a private external) _PPParserGetPart
0000000225af3e54 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
0000000225afcdcc (__TEXT,__text) external _PPParserGetStream
0000000225af2178 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
0000000225af21c0 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
0000000225af2290 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
0000000225af220c (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
0000000225afbed4 (__TEXT,__text) non-external _PPParserInherit
0000000225af3104 (__TEXT,__text) external _PPParserInit
0000000225afcefc (__TEXT,__text) non-external _PPParserLabelsAddLabel
0000000225af32c8 (__TEXT,__text) non-external _PPParserLabelsFree
0000000225af1d4c (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
0000000225af1d7c (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
0000000225af1f14 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
0000000225af202c (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
0000000225af1ea0 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
0000000225af1e58 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
0000000225af1f90 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
0000000225afce88 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
0000000225afae6c (__TEXT,__text) external _PPParserParse
0000000225af4d6c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
0000000225af8ad8 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
0000000225af9f0c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
0000000225afa8c4 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
0000000225af4764 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
0000000225af7234 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
0000000225af7d28 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
0000000225af460c (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
0000000225af8c70 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
0000000225af4858 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
0000000225af9008 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
0000000225af8590 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
0000000225afccd4 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
0000000225af4ae0 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
0000000225af8964 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
0000000225afa610 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
0000000225af9ff8 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
0000000225afc03c (__TEXT,__text) non-external (was a private external) _PPParserParseOption
0000000225af3f90 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
0000000225af7e8c (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
0000000225af843c (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
0000000225af56d0 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
0000000225af7088 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
0000000225af4980 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
0000000225af874c (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
0000000225af93cc (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
0000000225afc138 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
0000000225af98c8 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
0000000225af9710 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
0000000225af54d4 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
0000000225af9bd8 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
0000000225afbf20 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
0000000225af2454 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
0000000225af3a6c (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
0000000225af3ca4 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
0000000225af2efc (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
0000000225af22d0 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
0000000225af2e4c (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
0000000225af2ff8 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
0000000225af3040 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
0000000225af2f58 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
0000000225afcda8 (__TEXT,__text) external _PPParserSetLimits
0000000225afcd98 (__TEXT,__text) external _PPParserSetPrefs
0000000225af3108 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
0000000225af4ef8 (__TEXT,__text) non-external _PPParserValidateName
0000000225bfb2d0 (__TEXT,__text) external _PPStreamAddAddressUsage
0000000225bfb42c (__TEXT,__text) external _PPStreamAddAttribBinding
0000000225bfb984 (__TEXT,__text) external _PPStreamAddConstant
0000000225bfb87c (__TEXT,__text) external _PPStreamAddLabel
0000000225bfb588 (__TEXT,__text) external _PPStreamAddOperation
0000000225bfba84 (__TEXT,__text) external _PPStreamAddOption
0000000225bfb4a0 (__TEXT,__text) external _PPStreamAddOutputBinding
0000000225bfb344 (__TEXT,__text) external _PPStreamAddParamBinding
0000000225bfb3b8 (__TEXT,__text) external _PPStreamAddParamBindingArray
0000000225bfba10 (__TEXT,__text) external _PPStreamAddRasterOp
0000000225bfb020 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
0000000225bfb090 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
0000000225bfb1e0 (__TEXT,__text) external _PPStreamAddTempUsage
0000000225bfb254 (__TEXT,__text) external _PPStreamAddTempUsageArray
0000000225bfb514 (__TEXT,__text) external _PPStreamAddTexImage
0000000225bfc4c8 (__TEXT,__text) external _PPStreamAttachStream
0000000225bfa6f8 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
0000000225bfccc4 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
0000000225bfa7e0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
0000000225bfb1b0 (__TEXT,__text) non-external _PPStreamChunkCreate
0000000225bfa720 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
0000000225bfa9e4 (__TEXT,__text) external _PPStreamChunkListAddChunk
0000000225bfad20 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
0000000225bfad9c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
0000000225bfa89c (__TEXT,__text) external _PPStreamChunkListCreate
0000000225bfa8cc (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
0000000225bfaa1c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
0000000225bfae10 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
0000000225bfac30 (__TEXT,__text) external _PPStreamChunkListGetStream
0000000225bfaae0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
0000000225bfaa7c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
0000000225bfab34 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
0000000225bfab8c (__TEXT,__text) external _PPStreamChunkListSort
0000000225bfcb8c (__TEXT,__text) external _PPStreamCompare
0000000225bfaf3c (__TEXT,__text) external _PPStreamCreate
0000000225bfb104 (__TEXT,__text) external _PPStreamFree
0000000225bfbaf4 (__TEXT,__text) external _PPStreamGetStream
0000000225bfc498 (__TEXT,__text) external _PPStreamGetTexOperationCount
0000000225bfb788 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
0000000225bfb670 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
0000000225bfa70c (__TEXT,__text) external _PPStreamOutputBindingIsEqual
0000000225bfcd80 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
0000000225bfa6e4 (__TEXT,__text) external _PPStreamParamBindingIsEqual
0000000225bfb92c (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
0000000225bfd3d8 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
0000000225bfd2bc (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
0000000225afdfc4 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
0000000225afeb5c (__TEXT,__text) external _PPStreamTokenAddRasterOps
0000000225bfc378 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
0000000225bfbe6c (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
0000000225afecfc (__TEXT,__text) external _PPStreamTokenAddTexImages
0000000225afec64 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
0000000225bfc46c (__TEXT,__text) external _PPStreamTokenAlloc
0000000225aff0b4 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
0000000225aff49c (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
0000000225aff2e8 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
0000000225aff3e0 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
0000000225bfc494 (__TEXT,__text) external _PPStreamTokenFree
0000000225afdf84 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
0000000225afdf20 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
0000000225c269b8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
0000000225c26a78 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
0000000225c26b48 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
000000028f7ecc40 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
0000000225aff56c (__TEXT,__text) external _PPStreamTokenValidateOptions
000000028f7ed978 (__DATA_CONST,__const) non-external _PROMOTIONS
0000000225c27c2c (__TEXT,__const) non-external _PROMOTIONS_110
0000000225c27c30 (__TEXT,__const) non-external _PROMOTIONS_120
0000000225c27c68 (__TEXT,__const) non-external _PROMOTIONS_400
0000000225c27c40 (__TEXT,__const) non-external _PROMOTIONS_FP64
0000000225c05590 (__TEXT,__text) non-external (was a private external) _ProgramFree
0000000225c054e8 (__TEXT,__text) non-external (was a private external) _ProgramNew
0000000225bbb7ec (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
0000000225bbb184 (__TEXT,__text) non-external (was a private external) _ReadToken
0000000225c0d1dc (__TEXT,__text) non-external _RecordFunctionCall
0000000225bbb00c (__TEXT,__text) non-external (was a private external) _RecordToken
0000000225c03fb0 (__TEXT,__text) non-external (was a private external) _RegisterAdd
0000000225c03eec (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
0000000225c02af0 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
0000000225c02a64 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
0000000225c04ba0 (__TEXT,__text) non-external (was a private external) _Registerify
0000000225c03c80 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
0000000225c04d3c (__TEXT,__text) non-external (was a private external) _RegistersFree
0000000225c04b40 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
0000000225c027e8 (__TEXT,__text) non-external (was a private external) _RegistersMerge
0000000225c02b6c (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
0000000225c02bfc (__TEXT,__text) non-external (was a private external) _RegistersReplace
0000000225c09a9c (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
0000000225afce3c (__TEXT,__text) non-external _ResizeGLDAttribBindings
0000000225bbb170 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
0000000225bb9f44 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
0000000225bba158 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
0000000225bb8e40 (__TEXT,__text) non-external (was a private external) _ScanFromString
0000000225bba35c (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
0000000225b9fc18 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
0000000225babfec (__TEXT,__text) external _ShAttributeBindingRequest
0000000225babf3c (__TEXT,__text) external _ShCleanup
0000000225bab9a4 (__TEXT,__text) external _ShCompile
0000000225bab5bc (__TEXT,__text) external _ShConstructCompiler
0000000225bab650 (__TEXT,__text) external _ShConstructLinker
0000000225bab718 (__TEXT,__text) external _ShDestruct
0000000225bab99c (__TEXT,__text) external _ShFinalize
0000000225bad0ac (__TEXT,__text) external _ShFragDataBindingRequest
0000000225bac830 (__TEXT,__text) external _ShGetActiveAttrib
0000000225bac4cc (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
0000000225bac4b4 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
0000000225bac474 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
0000000225bae104 (__TEXT,__text) external _ShGetActiveSamplerLocations
0000000225bae6d4 (__TEXT,__text) external _ShGetActiveSubroutineName
0000000225bae628 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
0000000225bae4cc (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
0000000225badf60 (__TEXT,__text) external _ShGetActiveUniform
0000000225bad80c (__TEXT,__text) external _ShGetActiveUniformBlockName
0000000225bad59c (__TEXT,__text) external _ShGetActiveUniformBlockiv
0000000225bada38 (__TEXT,__text) external _ShGetActiveUniformIndex
0000000225badcb0 (__TEXT,__text) external _ShGetActiveUniformName
0000000225bac9b4 (__TEXT,__text) external _ShGetAttribLocation
0000000225bac730 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
0000000225bae778 (__TEXT,__text) external _ShGetCachedUniformIndexTable
0000000225bae790 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
0000000225baca64 (__TEXT,__text) external _ShGetContextStateUniforms
0000000225bad250 (__TEXT,__text) external _ShGetFragDataLocation
0000000225babf4c (__TEXT,__text) external _ShGetInfoLog
0000000225bae7a8 (__TEXT,__text) external _ShGetInteger
0000000225bacd24 (__TEXT,__text) external _ShGetLinkerPPStream
0000000225bae200 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
0000000225bae268 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
0000000225bad45c (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
0000000225bade78 (__TEXT,__text) external _ShGetMaxActiveUniformLength
0000000225bac7ac (__TEXT,__text) external _ShGetMaxAttributeLength
0000000225bacfa0 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
0000000225bac18c (__TEXT,__text) external _ShGetNumActiveAttributes
0000000225bad9b4 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
0000000225bae1f0 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
0000000225bae16c (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
0000000225bae144 (__TEXT,__text) external _ShGetNumActiveSubroutines
0000000225bad3ac (__TEXT,__text) external _ShGetNumActiveUniformBlocks
0000000225badd9c (__TEXT,__text) external _ShGetNumActiveUniforms
0000000225bad09c (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
0000000225bac48c (__TEXT,__text) external _ShGetNumBindableUniformBuffers
0000000225bacd04 (__TEXT,__text) external _ShGetPPStreamManager
0000000225bacd14 (__TEXT,__text) external _ShGetShaderByteCode
0000000225bae41c (__TEXT,__text) external _ShGetSubroutineIndex
0000000225bae2ec (__TEXT,__text) external _ShGetSubroutineUniformLocation
0000000225bad004 (__TEXT,__text) external _ShGetTransformFeedbackVarying
