00007ff8150a2c05 (__TEXT,__const) non-external _KW_ANY
00007ff841815b80 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff81508a10b (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff81508abb7 (__TEXT,__text) external _XML_GetInputContext
00007ff81508ab2f (__TEXT,__text) external _XML_GetParsingStatus
00007ff8150a1a39 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff81508a0f3 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff81508ace5 (__TEXT,__text) external _XML_MemFree
00007ff81508acb4 (__TEXT,__text) external _XML_MemMalloc
00007ff81508accb (__TEXT,__text) external _XML_MemRealloc
00007ff81508a3ad (__TEXT,__text) external _XML_Parse
00007ff8150a19f3 (__TEXT,__text) non-external _XML_Parse.cold.1
00007ff81508a74b (__TEXT,__text) external _XML_ParseBuffer
00007ff815088528 (__TEXT,__text) external _XML_ParserCreate
00007ff81508854a (__TEXT,__text) external _XML_ParserCreateNS
00007ff81508853b (__TEXT,__text) external _XML_ParserCreate_MM
00007ff815089b38 (__TEXT,__text) external _XML_ParserFree
00007ff815088a6d (__TEXT,__text) external _XML_ParserReset
00007ff81508aa5c (__TEXT,__text) external _XML_ResumeParser
00007ff81508aefe (__TEXT,__text) external _XML_SetAllocTrackerActivationThreshold
00007ff81508aec4 (__TEXT,__text) external _XML_SetAllocTrackerMaximumAmplification
00007ff81508a317 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff81508a035 (__TEXT,__text) external _XML_SetBase
00007ff81508ae9f (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff81508ae65 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff81508a190 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff81508a15a (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff81508a17e (__TEXT,__text) external _XML_SetCommentHandler
00007ff81508a1cd (__TEXT,__text) external _XML_SetDefaultHandler
00007ff81508a1e6 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff81508a1ff (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff81508a305 (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff81508a123 (__TEXT,__text) external _XML_SetElementHandler
00007ff815089138 (__TEXT,__text) external _XML_SetEncoding
00007ff81508a1bb (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff81508a22a (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff81508a148 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff81508a28b (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff81508a329 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff81508a2af (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff81508a2c1 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff81508a375 (__TEXT,__text) external _XML_SetHashSalt
00007ff81508a260 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff81508a29d (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff81508a24e (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff81508a34d (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff81508a16c (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff81508af23 (__TEXT,__text) external _XML_SetReparseDeferralEnabled
00007ff815089ff7 (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff81508a2da (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff81508a1a9 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff81508a218 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff81508a139 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff81508a279 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff81508a2ec (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff81508a23c (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff81508a01a (__TEXT,__text) external _XML_SetUserData
00007ff81508a33b (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff81508a9c3 (__TEXT,__text) external _XML_StopParser
00007ff8150a1a16 (__TEXT,__text) non-external _XML_StopParser.cold.1
00007ff815089fc6 (__TEXT,__text) external _XML_UseForeignDTD
00007ff815089fb7 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff815095060 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff81509558e (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff815095053 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff815095581 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff81509506d (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff81509559b (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff815094ae4 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff81509577b (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff815095168 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff815095635 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff815093184 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff815093268 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff815094ad9 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff815094a8d (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff8150949d1 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff81509493c (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff81508d590 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff8150a1b0b (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff81508f011 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff8150a1bdd (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff81508f0aa (__TEXT,__text) non-external _accountingReportStats
00007ff815091a1c (__TEXT,__text) non-external _addBinding
00007ff8150a38c0 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff8150a38f0 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff815091f02 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff841816268 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff841816f58 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff81509d79c (__TEXT,__text) non-external _ascii_toUtf8
00007ff815093779 (__TEXT,__text) non-external _attlist0
00007ff815093e75 (__TEXT,__text) non-external _attlist1
00007ff815093ee5 (__TEXT,__text) non-external _attlist2
00007ff8150a2b98 (__TEXT,__const) non-external _attlist2.types.rel
00007ff815094116 (__TEXT,__text) non-external _attlist3
00007ff815094244 (__TEXT,__text) non-external _attlist4
00007ff8150940d0 (__TEXT,__text) non-external _attlist5
00007ff8150941aa (__TEXT,__text) non-external _attlist6
00007ff8150941f0 (__TEXT,__text) non-external _attlist7
00007ff815093fdd (__TEXT,__text) non-external _attlist8
00007ff815094164 (__TEXT,__text) non-external _attlist9
00007ff81509f128 (__TEXT,__text) non-external _big2_attributeValueTok
00007ff81509ecf8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff81509f874 (__TEXT,__text) non-external _big2_charRefNumber
00007ff8150a0b38 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff81509e01c (__TEXT,__text) non-external _big2_contentTok
00007ff841816608 (__DATA_CONST,__const) non-external _big2_encoding
00007ff8418172f8 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff81509f260 (__TEXT,__text) non-external _big2_entityValueTok
00007ff81509f4a1 (__TEXT,__text) non-external _big2_getAtts
00007ff81509ef80 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff81509fb08 (__TEXT,__text) non-external _big2_isPublicId
00007ff81509f3d9 (__TEXT,__text) non-external _big2_nameLength
00007ff81509f394 (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff81509f93f (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff81509d7d1 (__TEXT,__text) non-external _big2_prologTok
00007ff8150a0f2c (__TEXT,__text) non-external _big2_scanAtts
00007ff8150a3353 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff8150a09d0 (__TEXT,__text) non-external _big2_scanComment
00007ff81509ff0c (__TEXT,__text) non-external _big2_scanDecl
00007ff81509fdcd (__TEXT,__text) non-external _big2_scanLit
00007ff8150a04d8 (__TEXT,__text) non-external _big2_scanPercent
00007ff8150a0050 (__TEXT,__text) non-external _big2_scanPi
00007ff8150a0758 (__TEXT,__text) non-external _big2_scanPoundName
00007ff8150a0bb2 (__TEXT,__text) non-external _big2_scanRef
00007ff81509f465 (__TEXT,__text) non-external _big2_skipS
00007ff81509fd5f (__TEXT,__text) non-external _big2_toUtf16
00007ff81509fb97 (__TEXT,__text) non-external _big2_toUtf8
00007ff81509fa2a (__TEXT,__text) non-external _big2_updatePosition
00007ff81508a8b9 (__TEXT,__text) non-external _callProcessor
00007ff81509183c (__TEXT,__text) non-external _cdataSectionProcessor
00007ff815094db7 (__TEXT,__text) non-external _checkCharRefNumber
00007ff815093beb (__TEXT,__text) non-external _condSect0
00007ff815093c8e (__TEXT,__text) non-external _condSect1
00007ff815093cce (__TEXT,__text) non-external _condSect2
00007ff81508dee4 (__TEXT,__text) non-external _contentProcessor
00007ff815092f5f (__TEXT,__text) non-external _copyEntityTable
00007ff8150891ad (__TEXT,__text) non-external _copyString
00007ff815093aee (__TEXT,__text) non-external _declClose
00007ff81508e28e (__TEXT,__text) non-external _defineAttribute
00007ff815089f18 (__TEXT,__text) non-external _destroyBindings
00007ff81509155c (__TEXT,__text) non-external _doCdataSection
00007ff81508f3b8 (__TEXT,__text) non-external _doContent
00007ff81508e780 (__TEXT,__text) non-external _doIgnoreSection
00007ff8150951a9 (__TEXT,__text) non-external _doParseXmlDecl
00007ff81508b4d6 (__TEXT,__text) non-external _doProlog
00007ff8150a262a (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff8150a2647 (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff8150a2640 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff8150a2630 (__TEXT,__const) non-external _doProlog.atypeID
00007ff8150a2633 (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff8150a2639 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff8150a2650 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff8150a2658 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff8150a1ac5 (__TEXT,__text) non-external _doProlog.cold.1
00007ff8150a1ae8 (__TEXT,__text) non-external _doProlog.cold.2
00007ff8150a2661 (__TEXT,__const) non-external _doProlog.enumValueSep
00007ff8150a2663 (__TEXT,__const) non-external _doProlog.enumValueStart
00007ff8150a37c0 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff815093360 (__TEXT,__text) non-external _doctype0
00007ff8150933b3 (__TEXT,__text) non-external _doctype1
00007ff8150936da (__TEXT,__text) non-external _doctype2
00007ff815093694 (__TEXT,__text) non-external _doctype3
00007ff8150948e0 (__TEXT,__text) non-external _doctype4
00007ff815093850 (__TEXT,__text) non-external _doctype5
00007ff8150937c4 (__TEXT,__text) non-external _element0
00007ff815094298 (__TEXT,__text) non-external _element1
00007ff815094366 (__TEXT,__text) non-external _element2
00007ff815094468 (__TEXT,__text) non-external _element3
00007ff815094688 (__TEXT,__text) non-external _element4
00007ff8150946d3 (__TEXT,__text) non-external _element5
00007ff8150944e7 (__TEXT,__text) non-external _element6
00007ff8150945b8 (__TEXT,__text) non-external _element7
00007ff841816230 (__DATA_CONST,__const) non-external _encodings
00007ff841816d50 (__DATA_CONST,__const) non-external _encodingsNS
00007ff815093720 (__TEXT,__text) non-external _entity0
00007ff815093896 (__TEXT,__text) non-external _entity1
00007ff815093b3b (__TEXT,__text) non-external _entity10
00007ff8150938dc (__TEXT,__text) non-external _entity2
00007ff815093d57 (__TEXT,__text) non-external _entity3
00007ff815093d11 (__TEXT,__text) non-external _entity4
00007ff815093d9d (__TEXT,__text) non-external _entity5
00007ff815093e27 (__TEXT,__text) non-external _entity6
00007ff81509399f (__TEXT,__text) non-external _entity7
00007ff815093aa8 (__TEXT,__text) non-external _entity8
00007ff815093a62 (__TEXT,__text) non-external _entity9
00007ff81508ed9d (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff8150928c7 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff8150a1c23 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff815092b9c (__TEXT,__text) non-external _entityValueInitProcessor
00007ff815092e26 (__TEXT,__text) non-external _entityValueProcessor
00007ff81509134b (__TEXT,__text) non-external _epilogProcessor
00007ff8150933ab (__TEXT,__text) non-external _error
00007ff81508a9b7 (__TEXT,__text) non-external _errorProcessor
00007ff815088e47 (__TEXT,__text) non-external _expat_free
00007ff8150a19ad (__TEXT,__text) non-external _expat_free.cold.1
00007ff8150a19d0 (__TEXT,__text) non-external _expat_free.cold.2
00007ff81508af8f (__TEXT,__text) non-external _expat_heap_increase_tolerable
00007ff8150a1a5c (__TEXT,__text) non-external _expat_heap_increase_tolerable.cold.1
00007ff8150a1a7f (__TEXT,__text) non-external _expat_heap_increase_tolerable.cold.2
00007ff8150a1aa2 (__TEXT,__text) non-external _expat_heap_increase_tolerable.cold.3
00007ff81508b158 (__TEXT,__text) non-external _expat_malloc
00007ff81508e97c (__TEXT,__text) non-external _expat_realloc
00007ff8150a1b51 (__TEXT,__text) non-external _expat_realloc.cold.1
00007ff8150a1b74 (__TEXT,__text) non-external _expat_realloc.cold.2
00007ff8150a1b97 (__TEXT,__text) non-external _expat_realloc.cold.3
00007ff8150a1bba (__TEXT,__text) non-external _expat_realloc.cold.4
00007ff815091ea0 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff815089e34 (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff8150929bd (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff815092aa5 (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff815089e85 (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff815092d26 (__TEXT,__text) non-external _externalParEntProcessor
00007ff815093280 (__TEXT,__text) non-external _externalSubset0
00007ff815093b90 (__TEXT,__text) non-external _externalSubset1
00007ff81509547c (__TEXT,__text) non-external _findEncoding
00007ff815095676 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff8150912f3 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff8150a1cc0 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
00007ff81508dfd0 (__TEXT,__text) non-external _getAttributeId
00007ff8150902ba (__TEXT,__text) non-external _getContext
00007ff81508b0e7 (__TEXT,__text) non-external _getDebugLevel
00007ff81508df45 (__TEXT,__text) non-external _getElementType
00007ff8150950c6 (__TEXT,__text) non-external _getEncodingIndex
00007ff841816200 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff81508b3b4 (__TEXT,__text) non-external _handleUnknownEncoding
00007ff81508f10e (__TEXT,__text) non-external _hash
00007ff815092ece (__TEXT,__text) non-external _hashTableClear
00007ff815092f18 (__TEXT,__text) non-external _hashTableDestroy
00007ff81508e900 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff8150a2670 (__TEXT,__const) non-external _implicitContext
00007ff81509d5ba (__TEXT,__text) non-external _initScan
00007ff815095135 (__TEXT,__text) non-external _initScanContent
00007ff815095613 (__TEXT,__text) non-external _initScanContentNS
00007ff815095116 (__TEXT,__text) non-external _initScanProlog
00007ff8150955f4 (__TEXT,__text) non-external _initScanPrologNS
00007ff815095157 (__TEXT,__text) non-external _initUpdatePosition
00007ff81508b2e8 (__TEXT,__text) non-external _initializeEncoding
00007ff815092714 (__TEXT,__text) non-external _internalEntityProcessor
00007ff8150a1c00 (__TEXT,__text) non-external _internalEntityProcessor.cold.1
00007ff81509348c (__TEXT,__text) non-external _internalSubset
00007ff841816030 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff841816b78 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff841815e60 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff8418169a8 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff8150995b8 (__TEXT,__text) non-external _isNever
00007ff841815c90 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff841816d88 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff815097aa5 (__TEXT,__text) non-external _latin1_toUtf16
00007ff815097a22 (__TEXT,__text) non-external _latin1_toUtf8
00007ff81509b048 (__TEXT,__text) non-external _little2_attributeValueTok
00007ff81509ac20 (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff81509b794 (__TEXT,__text) non-external _little2_charRefNumber
00007ff81509ca50 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff815099f5c (__TEXT,__text) non-external _little2_contentTok
00007ff8418167d8 (__DATA_CONST,__const) non-external _little2_encoding
00007ff8418174c8 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff81509b180 (__TEXT,__text) non-external _little2_entityValueTok
00007ff81509b3c0 (__TEXT,__text) non-external _little2_getAtts
00007ff81509aea4 (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff81509ba28 (__TEXT,__text) non-external _little2_isPublicId
00007ff81509b2f9 (__TEXT,__text) non-external _little2_nameLength
00007ff81509b2b4 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff81509b85f (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff81509971e (__TEXT,__text) non-external _little2_prologTok
00007ff81509ce44 (__TEXT,__text) non-external _little2_scanAtts
00007ff81509c8e8 (__TEXT,__text) non-external _little2_scanComment
00007ff81509be20 (__TEXT,__text) non-external _little2_scanDecl
00007ff81509bce6 (__TEXT,__text) non-external _little2_scanLit
00007ff81509c3ec (__TEXT,__text) non-external _little2_scanPercent
00007ff81509bf64 (__TEXT,__text) non-external _little2_scanPi
00007ff81509c674 (__TEXT,__text) non-external _little2_scanPoundName
00007ff81509caca (__TEXT,__text) non-external _little2_scanRef
00007ff81509b384 (__TEXT,__text) non-external _little2_skipS
00007ff81509bc77 (__TEXT,__text) non-external _little2_toUtf16
00007ff81509baaf (__TEXT,__text) non-external _little2_toUtf8
00007ff81509b94a (__TEXT,__text) non-external _little2_updatePosition
00007ff81508db5d (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff8150a3220 (__TEXT,__const) non-external _namePages
00007ff8150a2c20 (__TEXT,__const) non-external _namingBitmap
00007ff81508eb62 (__TEXT,__text) non-external _nextScaffoldPart
00007ff8150a3120 (__TEXT,__const) non-external _nmstrtPages
00007ff815097108 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff815096cb8 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff8150976e8 (__TEXT,__text) non-external _normal_charRefNumber
00007ff815098878 (__TEXT,__text) non-external _normal_checkPiTarget
00007ff815096088 (__TEXT,__text) non-external _normal_contentTok
00007ff815097244 (__TEXT,__text) non-external _normal_entityValueTok
00007ff8150973f9 (__TEXT,__text) non-external _normal_getAtts
00007ff815096f60 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff8150979a4 (__TEXT,__text) non-external _normal_isPublicId
00007ff815097394 (__TEXT,__text) non-external _normal_nameLength
00007ff815097358 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff815097850 (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff815095792 (__TEXT,__text) non-external _normal_prologTok
00007ff815098bf2 (__TEXT,__text) non-external _normal_scanAtts
00007ff815098700 (__TEXT,__text) non-external _normal_scanComment
00007ff815097c50 (__TEXT,__text) non-external _normal_scanDecl
00007ff815097ae7 (__TEXT,__text) non-external _normal_scanLit
00007ff81509818c (__TEXT,__text) non-external _normal_scanPercent
00007ff815097d74 (__TEXT,__text) non-external _normal_scanPi
00007ff815098434 (__TEXT,__text) non-external _normal_scanPoundName
00007ff8150988de (__TEXT,__text) non-external _normal_scanRef
00007ff8150973d1 (__TEXT,__text) non-external _normal_skipS
00007ff8150978e2 (__TEXT,__text) non-external _normal_updatePosition
00007ff815092979 (__TEXT,__text) non-external _normalizeLines
00007ff81508de83 (__TEXT,__text) non-external _normalizePublicId
00007ff81509380f (__TEXT,__text) non-external _notation0
00007ff815094730 (__TEXT,__text) non-external _notation1
00007ff815094827 (__TEXT,__text) non-external _notation2
00007ff8150947d9 (__TEXT,__text) non-external _notation3
00007ff81509486d (__TEXT,__text) non-external _notation4
00007ff8150a15fc (__TEXT,__text) non-external _parsePseudoAttribute
00007ff81508856f (__TEXT,__text) non-external _parserCreate
00007ff8150a198a (__TEXT,__text) non-external _parserCreate.cold.1
00007ff815088f5f (__TEXT,__text) non-external _parserInit
00007ff81508e21c (__TEXT,__text) non-external _poolAppend
00007ff81508a080 (__TEXT,__text) non-external _poolCopyString
00007ff815089f65 (__TEXT,__text) non-external _poolDestroy
00007ff81508e3bc (__TEXT,__text) non-external _poolGrow
00007ff81508db16 (__TEXT,__text) non-external _poolStoreString
00007ff81508eca6 (__TEXT,__text) non-external _processEntity
00007ff81508d7a3 (__TEXT,__text) non-external _processXmlDecl
00007ff8150931a9 (__TEXT,__text) non-external _prolog0
00007ff8150932a0 (__TEXT,__text) non-external _prolog1
00007ff815093608 (__TEXT,__text) non-external _prolog2
00007ff81508b297 (__TEXT,__text) non-external _prologInitProcessor
00007ff81508b343 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff81508ef42 (__TEXT,__text) non-external _reportComment
00007ff81508ad46 (__TEXT,__text) non-external _reportDefault
00007ff81508edf2 (__TEXT,__text) non-external _reportProcessingInstruction
00007ff81508989a (__TEXT,__text) non-external _setContext
00007ff8150918f2 (__TEXT,__text) non-external _setElementTypePrefix
00007ff81508f280 (__TEXT,__text) non-external _sip24_final
00007ff81508f1db (__TEXT,__text) non-external _sip24_update
00007ff81508f360 (__TEXT,__text) non-external _sip_round
00007ff81508a49c (__TEXT,__text) non-external _startParsing
00007ff81508e5bc (__TEXT,__text) non-external _storeAttributeValue
00007ff8150a1b2e (__TEXT,__text) non-external _storeAttributeValue.cold.1
00007ff815090656 (__TEXT,__text) non-external _storeAtts
00007ff8150922ec (__TEXT,__text) non-external _storeEntityValue
00007ff8150901d4 (__TEXT,__text) non-external _storeRawNames
00007ff81509d558 (__TEXT,__text) non-external _streqci
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strtoul (from libSystem)
00007ff81508af47 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff81508af5d (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff815094ea5 (__TEXT,__text) non-external _unknown_isInvalid
00007ff815094e03 (__TEXT,__text) non-external _unknown_isName
00007ff815094e54 (__TEXT,__text) non-external _unknown_isNmstrt
00007ff815094fb5 (__TEXT,__text) non-external _unknown_toUtf16
00007ff815094ed2 (__TEXT,__text) non-external _unknown_toUtf8
00007ff81508af73 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff841816438 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff841817128 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff815099652 (__TEXT,__text) non-external _utf8_isInvalid2
00007ff815099671 (__TEXT,__text) non-external _utf8_isInvalid3
00007ff8150996d6 (__TEXT,__text) non-external _utf8_isInvalid4
