                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _IOConnectCallScalarMethod (from IOKit)
                 (undefined) external _IOConnectRelease (from IOKit)
                 (undefined) external _IOIteratorIsValid (from IOKit)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperties (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryCreateIterator (from IOKit)
                 (undefined) external _IORegistryEntryGetChildEntry (from IOKit)
                 (undefined) external _IORegistryEntryGetChildIterator (from IOKit)
                 (undefined) external _IORegistryEntryGetName (from IOKit)
                 (undefined) external _IORegistryGetRootEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceNameMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffb18bccaa1 (__TEXT,__text) external _NFCalibrationGetData
00007ffb18bbed3c (__TEXT,__text) external _NFHardwareRelayDataReset
00007ffb18bbe5bd (__TEXT,__text) external _NFHardwareRelayDataSetBaudRate
00007ffb18bbe5ad (__TEXT,__text) external _NFHardwareRelayDataSetLogFunction
00007ffb18bbeac5 (__TEXT,__text) external _NFHardwareRelayDataWrite
00007ffb18bbeea1 (__TEXT,__text) external _NFHardwareRelayGPIOClose
00007ffb18bbf083 (__TEXT,__text) external _NFHardwareRelayGPIOIsHostWakeCapable
00007ffb18bbed44 (__TEXT,__text) external _NFHardwareRelayGPIOOpen
00007ffb18bbf030 (__TEXT,__text) external _NFHardwareRelayGPIOSetDeviceWake
00007ffb18bbef37 (__TEXT,__text) external _NFHardwareRelayGPIOSetDownloadRequest
00007ffb18bbef8a (__TEXT,__text) external _NFHardwareRelayGPIOSetIcefallDownloadRequest
00007ffb18bbefdd (__TEXT,__text) external _NFHardwareRelayGPIOSetPMUStandbyPowerEnabled
00007ffb18bbeee7 (__TEXT,__text) external _NFHardwareRelayGPIOSetPower
00007ffb18bbf0b2 (__TEXT,__text) external _NFHardwareRelayIsSupported
00007ffb18bc0486 (__TEXT,__text) external _NFHardwareRelayOpen
00007ffb18bc0116 (__TEXT,__text) external _NFHardwareRelayRPC
00007ffb18bc0d45 (__TEXT,__text) external _NFHardwareRelayRead
00007ffb18bc0fe6 (__TEXT,__text) external _NFHardwareRelayReadAbort
00007ffb18bc13f8 (__TEXT,__text) external _NFHardwareRelayReceiveMessage
00007ffb18bc11f0 (__TEXT,__text) external _NFHardwareRelaySendMessage
00007ffb18bc1546 (__TEXT,__text) external _NFHardwareRelaySendMessageWithReply
00007ffb18bc4709 (__TEXT,__text) external _NFHardwareSerialClose
00007ffb18bc7041 (__TEXT,__text) external _NFHardwareSerialDebugDump
00007ffb18bc6931 (__TEXT,__text) external _NFHardwareSerialDebugDump_wCB
00007ffb18bc66fb (__TEXT,__text) external _NFHardwareSerialDebugLastMessage
00007ffb18bc6708 (__TEXT,__text) external _NFHardwareSerialDebugLog
00007ffb18bc704d (__TEXT,__text) external _NFHardwareSerialDebugMaxEntriesPrinted
00007ffb18bc2b69 (__TEXT,__text) external _NFHardwareSerialDump
00007ffb18bc351a (__TEXT,__text) external _NFHardwareSerialFlush
00007ffb18bc4826 (__TEXT,__text) external _NFHardwareSerialGetCTS
00007ffb18bc204c (__TEXT,__text) external _NFHardwareSerialGetDefaultInterfaceType
00007ffb18bc4808 (__TEXT,__text) external _NFHardwareSerialHasCTS
00007ffb18bc2892 (__TEXT,__text) external _NFHardwareSerialIsHammerfestAlive
00007ffb18bc2a93 (__TEXT,__text) external _NFHardwareSerialIsSupported
00007ffb18bc3da2 (__TEXT,__text) external _NFHardwareSerialOpen
00007ffb18bc4800 (__TEXT,__text) external _NFHardwareSerialPower
00007ffb18bc2d52 (__TEXT,__text) external _NFHardwareSerialRead
00007ffb18bc2b73 (__TEXT,__text) external _NFHardwareSerialReadAbort
00007ffb18bc3823 (__TEXT,__text) external _NFHardwareSerialReset
00007ffb18bc3a2b (__TEXT,__text) external _NFHardwareSerialSetBaudRate
00007ffb18bc4aab (__TEXT,__text) external _NFHardwareSerialSetCRCEnabled
00007ffb18bc3d8f (__TEXT,__text) external _NFHardwareSerialSetLogFunction
00007ffb18bc4c0c (__TEXT,__text) external _NFHardwareSerialSetOnDemandClientMode
00007ffb18bc66f5 (__TEXT,__text) external _NFHardwareSerialSetPrimary
00007ffb18bc32f8 (__TEXT,__text) external _NFHardwareSerialWrite
00007ffb18bc158e (__TEXT,__text) external _NFHardwareSetLogFunc
00007ffb18bc15ee (__TEXT,__text) external _NFHardwareUnload
                 (undefined) external _NFIsRestoreOS (from libnfshared)
                 (undefined) external _NFProductIsDevBoard (from libnfshared)
00007ffb18bc62e6 (__TEXT,__text) external _NFSharedDumpTransport
00007ffb18bc5b70 (__TEXT,__text) external _NFSharedLogLock
00007ffb18bc5c14 (__TEXT,__text) external _NFSharedLogOpen2
00007ffb18bc5b64 (__TEXT,__text) external _NFSharedLogSetSynchronousLogging
00007ffb18bc6548 (__TEXT,__text) external _NFSharedLogTransport
00007ffb18bc5c03 (__TEXT,__text) external _NFSharedLogUnlock
00007ffb18bc62be (__TEXT,__text) external _NFSharedLogv
00007ffb18bc62d5 (__TEXT,__text) external _NFSharedLogv_GreenTea
00007ffb18bc5efd (__TEXT,__text) external _NFSharedMiddlewareSignpostLog
00007ffb18bc5ef0 (__TEXT,__text) external _NFSharedSignpostLog
                 (undefined) external _NFSimulateCrash (from libnfshared)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb18bc5f49 (__TEXT,__text) external __NFSharedLogClose
00007ffb18bc5dd9 (__TEXT,__text) external __NFSharedLogOpen
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb18bc5fe1 (__TEXT,__text) external ___NFSharedLogv
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
                 (undefined) external __dispatch_source_type_timer (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __os_signpost_emit_with_name_impl (from libSystem)
                 (undefined) external _abort (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cfmakeraw (from libSystem)
                 (undefined) external _cfsetispeed (from libSystem)
                 (undefined) external _cfsetospeed (from libSystem)
                 (undefined) external _cfsetspeed (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _connect (from libSystem)
                 (undefined) external _dispatch_activate (from libSystem)
                 (undefined) external _dispatch_assert_queue$V2 (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_group_async (from libSystem)
                 (undefined) external _dispatch_group_create (from libSystem)
                 (undefined) external _dispatch_group_wait (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_qos_class (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_queue_create_with_target$V2 (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_resume (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_source_cancel (from libSystem)
                 (undefined) external _dispatch_source_create (from libSystem)
                 (undefined) external _dispatch_source_set_event_handler (from libSystem)
                 (undefined) external _dispatch_source_set_timer (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
00007ffb4303dc70 (__DATA,__common) external _gNFHardwareLogv
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kIOMainPortDefault (from IOKit)
                 (undefined) external _kevent (from libSystem)
                 (undefined) external _kqueue (from libSystem)
                 (undefined) external _mach_absolute_time (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _open (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_release (from libSystem)
                 (undefined) external _os_signpost_enabled (from libSystem)
                 (undefined) external _os_variant_has_internal_diagnostics (from libSystem)
00007ffb18bcd152 (__TEXT,__text) external _phOsalNf_GetTimestamp
00007ffb18bcd14a (__TEXT,__text) external _phOsalNfc_CloseLogFile
00007ffb18bcd15c (__TEXT,__text) external _phOsalNfc_DeInit
00007ffb18bccd5f (__TEXT,__text) external _phOsalNfc_Delay
00007ffb18bcd426 (__TEXT,__text) external _phOsalNfc_FreeLibrary
00007ffb18bccd4e (__TEXT,__text) external _phOsalNfc_FreeMemory
00007ffb18bccd3a (__TEXT,__text) external _phOsalNfc_GetMemory
00007ffb18bcd005 (__TEXT,__text) external _phOsalNfc_Init
00007ffb18bcd18d (__TEXT,__text) external _phOsalNfc_LoadLibrary
00007ffb18bcaa3d (__TEXT,__text) external _phOsalNfc_LogBool
00007ffb18bcaa8d (__TEXT,__text) external _phOsalNfc_LogFunc
00007ffb18bcaabc (__TEXT,__text) external _phOsalNfc_LogHexData
00007ffb18bca838 (__TEXT,__text) external _phOsalNfc_LogStr
00007ffb18bca980 (__TEXT,__text) external _phOsalNfc_LogU32
00007ffb18bca9bf (__TEXT,__text) external _phOsalNfc_LogX32
00007ffb18bca9fe (__TEXT,__text) external _phOsalNfc_LogX64
00007ffb18bccd6f (__TEXT,__text) external _phOsalNfc_MemCompare
00007ffb18bccdc0 (__TEXT,__text) external _phOsalNfc_MemCopy
00007ffb18bcd142 (__TEXT,__text) external _phOsalNfc_OpenLogFile
00007ffb18bccff4 (__TEXT,__text) external _phOsalNfc_RaiseException
00007ffb18bccdcd (__TEXT,__text) external _phOsalNfc_RaiseExceptionWithDescription
00007ffb18bccda5 (__TEXT,__text) external _phOsalNfc_SetMemory
00007ffb18bcb20c (__TEXT,__text) external _phOsalNfc_SignPostLogFunc
00007ffb18bcc91c (__TEXT,__text) external _phOsalNfc_SignPostLogHexData
00007ffb18bcaac2 (__TEXT,__text) external _phOsalNfc_SignPostLogStr
00007ffb18bcbaed (__TEXT,__text) external _phOsalNfc_SignPostLogTimerEvents
00007ffb18bcae80 (__TEXT,__text) external _phOsalNfc_SignPostLogX32
00007ffb18bca33f (__TEXT,__text) external _phOsalNfc_Timer_Create
00007ffb18bca20c (__TEXT,__text) external _phOsalNfc_Timer_Deinit
00007ffb18bca6e2 (__TEXT,__text) external _phOsalNfc_Timer_Delete
00007ffb18bc9ef3 (__TEXT,__text) external _phOsalNfc_Timer_Init
00007ffb18bca3cb (__TEXT,__text) external _phOsalNfc_Timer_Start
00007ffb18bca66e (__TEXT,__text) external _phOsalNfc_Timer_Stop
00007ffb18bcd443 (__TEXT,__text) external _phOsalNfc_setHardwareType
00007ffb18bc9763 (__TEXT,__text) external _phTmlNfc_ConfigHsuBaudRate
00007ffb18bc9ee8 (__TEXT,__text) external _phTmlNfc_ConfigureSpmi
00007ffb18bc8fe5 (__TEXT,__text) external _phTmlNfc_FlushTxRxBuffers
00007ffb18bc9d24 (__TEXT,__text) external _phTmlNfc_GetHsuMaxBaudRate
00007ffb18bc7d38 (__TEXT,__text) external _phTmlNfc_Init
00007ffb18bc90aa (__TEXT,__text) external _phTmlNfc_IoCtl
00007ffb18bc89b0 (__TEXT,__text) external _phTmlNfc_Read
00007ffb18bc8edc (__TEXT,__text) external _phTmlNfc_ReadAbort
00007ffb18bc9e5a (__TEXT,__text) external _phTmlNfc_SetGetSpmiDrvConfigRegs
00007ffb18bc8150 (__TEXT,__text) external _phTmlNfc_Shutdown
00007ffb18bc9dcc (__TEXT,__text) external _phTmlNfc_SpmiDrvErrorStatus
00007ffb18bc849c (__TEXT,__text) external _phTmlNfc_Write
00007ffb18bc8de8 (__TEXT,__text) external _phTmlNfc_WriteAbort
                 (undefined) external _postAWDMiddlewareExceptionEvent (from libnfshared)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_destroy (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _recv (from libSystem)
                 (undefined) external _remote_device_cancel (from RemoteServiceDiscovery)
                 (undefined) external _remote_device_copy_service (from RemoteServiceDiscovery)
                 (undefined) external _remote_device_copy_unique_of_type (from RemoteServiceDiscovery)
                 (undefined) external _remote_device_set_connected_callback (from RemoteServiceDiscovery)
                 (undefined) external _remote_device_set_disconnected_callback (from RemoteServiceDiscovery)
                 (undefined) external _remote_service_create_connected_socket (from RemoteServiceDiscovery)
                 (undefined) external _remote_service_set_connect_timeout (from RemoteServiceDiscovery)
                 (undefined) external _send (from libSystem)
                 (undefined) external _setsockopt (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _socket (from libSystem)
                 (undefined) external _socketpair (from libSystem)
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _tcgetattr (from libSystem)
                 (undefined) external _tcsetattr (from libSystem)
                 (undefined) external _usleep (from libSystem)
                 (undefined) external _vasprintf (from libSystem)
                 (undefined) external _write (from libSystem)
