00000001e78fba98 (__DATA,__data) non-external _C
000000018033636c (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
0000000180336358 (__TEXT,__text) non-external __EUC_JP_wcrtomb
0000000180336370 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00000001803361f4 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
0000000180336264 (__TEXT,__text) non-external __EUC_KR_mbrtowc
00000001803362ac (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
0000000180336298 (__TEXT,__text) non-external __EUC_KR_wcrtomb
00000001803362b0 (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00000001803363e4 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
0000000180336454 (__TEXT,__text) non-external __EUC_TW_mbrtowc
000000018033649c (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
0000000180336488 (__TEXT,__text) non-external __EUC_TW_wcrtomb
00000001803364a0 (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
0000000180336374 (__TEXT,__text) non-external (was a private external) __EUC_init
00000001803364a4 (__TEXT,__text) non-external __EUC_mbrtowc_impl
00000001803361d8 (__TEXT,__text) non-external __EUC_mbsinit
00000001803365c8 (__TEXT,__text) non-external __EUC_wcrtomb_impl
0000000180349f30 (__TEXT,__text) external __Exit
00000001803366fc (__TEXT,__text) non-external (was a private external) __GB18030_init
0000000180336740 (__TEXT,__text) non-external __GB18030_mbrtowc
00000001803369bc (__TEXT,__text) non-external __GB18030_mbsinit
00000001803368b0 (__TEXT,__text) non-external __GB18030_wcrtomb
00000001803369d8 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180336a1c (__TEXT,__text) non-external __GB2312_mbrtowc
0000000180336b90 (__TEXT,__text) non-external __GB2312_mbsinit
0000000180336b3c (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180336bac (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180336bf0 (__TEXT,__text) non-external __GBK_mbrtowc
0000000180336d14 (__TEXT,__text) non-external __GBK_mbsinit
0000000180336cc0 (__TEXT,__text) non-external __GBK_wcrtomb
00000001803371bc (__TEXT,__text) non-external (was a private external) __MSKanji_init
0000000180337200 (__TEXT,__text) non-external __MSKanji_mbrtowc
0000000180337348 (__TEXT,__text) non-external __MSKanji_mbsinit
00000001803372e0 (__TEXT,__text) non-external __MSKanji_wcrtomb
00000001802e6238 (__TEXT,__text) external __NSGetArgc
00000001802e622c (__TEXT,__text) external __NSGetArgv
00000001802e0dfc (__TEXT,__text) external __NSGetEnviron
00000001802e0ec0 (__TEXT,__text) external __NSGetMachExecuteHeader
00000001802e5530 (__TEXT,__text) external __NSGetProgname
00000001e78fdb80 (__DATA,__common) external __PathLocale
0000000180301858 (__TEXT,__text) external __Read_RuneMagi
000000018034987c (__TEXT,__text) non-external (was a private external) __UTF2_init
00000001803498e0 (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180349ad8 (__TEXT,__text) non-external __UTF2_mbsinit
0000000180349af4 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
0000000180349a30 (__TEXT,__text) non-external __UTF2_wcrtomb
0000000180349c98 (__TEXT,__text) non-external __UTF2_wcsnrtombs
0000000180302278 (__TEXT,__text) non-external (was a private external) __UTF8_init
0000000180303c1c (__TEXT,__text) non-external __UTF8_mbrtowc
0000000180337b84 (__TEXT,__text) non-external __UTF8_mbsinit
0000000180303eb0 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00000001803046b0 (__TEXT,__text) non-external __UTF8_wcrtomb
0000000180337ba0 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00000001802ef7d8 (__TEXT,__text) external ___Balloc_D2A
00000001802efa0c (__TEXT,__text) external ___Bfree_D2A
000000018031e0f8 (__TEXT,__text) external ____mb_cur_max
000000018031e124 (__TEXT,__text) external ____mb_cur_max_l
00000001802f4cbc (__TEXT,__text) external ____runetype
00000001802f4ce0 (__TEXT,__text) external ____runetype_l
0000000180337a98 (__TEXT,__text) external ____tolower
00000001803379f4 (__TEXT,__text) external ____tolower_l
0000000180337b60 (__TEXT,__text) external ____toupper
0000000180337abc (__TEXT,__text) external ____toupper_l
0000000180358914 (__TEXT,__text) non-external (was a private external) ___abort
0000000180329764 (__TEXT,__text) external ___add_ovflpage
00000001803294dc (__TEXT,__text) external ___addel
00000001802f3c04 (__TEXT,__text) external ___any_on_D2A
0000000180357b00 (__TEXT,__text) external ___assert_rtn
00000001e9d35508 (__DATA_DIRTY,__bss) non-external ___atexit
00000001802fe9d8 (__TEXT,__text) non-external (was a private external) ___atexit_init
00000001e9d35510 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
0000000180305968 (__TEXT,__text) external ___b2d_D2A
0000000180327c54 (__TEXT,__text) external ___big_delete
00000001803279a0 (__TEXT,__text) external ___big_insert
0000000180328300 (__TEXT,__text) external ___big_keydata
0000000180327f88 (__TEXT,__text) external ___big_return
0000000180328488 (__TEXT,__text) external ___big_split
000000018035b0c0 (__TEXT,__const) external ___bigtens_D2A
0000000180322788 (__TEXT,__text) external ___bt_close
00000001803264d0 (__TEXT,__text) external ___bt_cmp
0000000180326598 (__TEXT,__text) external ___bt_defcmp
00000001803265dc (__TEXT,__text) external ___bt_defpfx
0000000180322c00 (__TEXT,__text) external ___bt_delete
0000000180323270 (__TEXT,__text) external ___bt_dleaf
000000018032404c (__TEXT,__text) external ___bt_fd
00000001803250a8 (__TEXT,__text) non-external ___bt_first
0000000180324450 (__TEXT,__text) external ___bt_free
00000001803238fc (__TEXT,__text) external ___bt_get
0000000180324478 (__TEXT,__text) external ___bt_new
00000001803239f0 (__TEXT,__text) external ___bt_open
0000000180323650 (__TEXT,__text) non-external ___bt_pdelete
0000000180322924 (__TEXT,__text) external ___bt_pgin
0000000180322aa4 (__TEXT,__text) external ___bt_pgout
00000001803244f4 (__TEXT,__text) external ___bt_put
000000018032386c (__TEXT,__text) non-external ___bt_relink
000000018032632c (__TEXT,__text) external ___bt_ret
0000000180324a04 (__TEXT,__text) external ___bt_search
0000000180324c54 (__TEXT,__text) external ___bt_seq
000000018032504c (__TEXT,__text) external ___bt_setcur
00000001803252c0 (__TEXT,__text) external ___bt_split
0000000180322f00 (__TEXT,__text) non-external ___bt_stkacq
0000000180322848 (__TEXT,__text) external ___bt_sync
0000000180328a0c (__TEXT,__text) external ___buf_free
00000001803289dc (__TEXT,__text) non-external (was a private external) ___buf_init
00000001e9d33000 (__DATA_DIRTY,__data) non-external ___c_locale
0000000180353054 (__TEXT,__text) non-external ___calc_left_pad
00000001803274ac (__TEXT,__text) external ___call_hash
00000001e78fbf90 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180356d58 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180356d74 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
000000018030cab8 (__TEXT,__text) non-external (was a private external) ___chk_init
00000001802e55b8 (__TEXT,__text) non-external (was a private external) ___chk_overlap
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00000001e9d35590 (__DATA_DIRTY,__common) external ___cleanup
00000001802f0c2c (__TEXT,__text) external ___cmp_D2A
0000000180335a80 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
0000000180335c50 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180335dcc (__TEXT,__text) external ___collate_equiv_match
00000001802f9f48 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00000001803350f4 (__TEXT,__text) non-external (was a private external) ___collate_err
00000001e78fbba8 (__DATA,__data) external ___collate_load_error
0000000180300ba4 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00000001e78fd5b0 (__DATA,__bss) non-external ___collate_load_tables.cache
0000000180334860 (__TEXT,__text) non-external ___collate_load_tables_legacy
000000018033553c (__TEXT,__text) external ___collate_lookup
00000001803351b0 (__TEXT,__text) external ___collate_lookup_l
0000000180335720 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
000000018033561c (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00000001803360f4 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00000001e78fd5b8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00000001e78fd5c0 (__DATA,__bss) non-external ___collate_range_cmp.s2
0000000180334e84 (__TEXT,__text) non-external (was a private external) ___collate_substitute
0000000180335090 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
000000018033582c (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00000001802fe9c8 (__TEXT,__text) non-external (was a private external) ___confstr_init
00000001803221f0 (__TEXT,__text) non-external (was a private external) ___copy_assignment_8_8_t0w8_pa0_28660_8_pa0_36689_16_pa0_31171_24_pa0_29245_32
00000001802f2d80 (__TEXT,__text) external ___copybits_D2A
0000000180317350 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
0000000180316d8c (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00000001e78fcc90 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00000001e78fdb10 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
000000018034ca08 (__TEXT,__text) non-external ___cvt
00000001e78fdac8 (__DATA,__bss) non-external ___cvt.s
00000001802e5e04 (__TEXT,__text) external ___cxa_atexit
0000000180307774 (__TEXT,__text) external ___cxa_finalize
00000001803077bc (__TEXT,__text) external ___cxa_finalize_ranges
0000000180349f4c (__TEXT,__text) external ___cxa_thread_atexit
00000001802ef6d0 (__TEXT,__text) external ___d2b_D2A
00000001e9d35548 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
000000018032670c (__TEXT,__text) non-external ___dberr
00000001803266ec (__TEXT,__text) external ___dbpanic
00000001ea1c4090 (__AUTH,__data) external ___default_hash
0000000180351398 (__TEXT,__text) external ___default_utx
00000001e78fbf40 (__DATA,__data) non-external ___default_utx.once
00000001803513d0 (__TEXT,__text) non-external ___default_utx_init
0000000180328c1c (__TEXT,__text) external ___delpair
0000000180300afc (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00000001802f0ad4 (__TEXT,__text) external ___diff_D2A
00000001e9d33c80 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00000001802ee8b8 (__TEXT,__text) external ___dtoa
000000018035156c (__TEXT,__text) non-external (was a private external) ___endutxent
00000001e9d355a0 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
0000000180349fb0 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00000001e78fda60 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
000000018030d09c (__TEXT,__text) non-external (was a private external) ___errstr
00000001802f4368 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
0000000180327340 (__TEXT,__text) external ___expand_table
00000001e78fd868 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00000001802f1bd0 (__TEXT,__text) external ___fflush
000000018033cb58 (__TEXT,__text) external ___fgetwc
000000018033e574 (__TEXT,__text) non-external (was a private external) ___find_arguments
0000000180327dc4 (__TEXT,__text) external ___find_bigpair
0000000180327eec (__TEXT,__text) external ___find_last_page
000000018033f4ac (__TEXT,__text) non-external (was a private external) ___find_warguments
00000001802e0e08 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00000001803029a4 (__TEXT,__text) external ___fix_locale_grouping_str
00000001803366dc (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
000000018033d278 (__TEXT,__text) non-external (was a private external) ___fputwc
00000001802ebb94 (__TEXT,__text) external ___fread
000000018032a10c (__TEXT,__text) external ___free_ovflpage
00000001802efa84 (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
00000001e78fbf94 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00000001802f132c (__TEXT,__text) non-external ___fts_open
000000018032c3ac (__TEXT,__text) external ___gdtoa
00000001e78fdb48 (__DATA,__common) external ___gdtoa_locks
0000000180328628 (__TEXT,__text) external ___get_buf
0000000180336d70 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00000001802e4840 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00000001802e4860 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00000001802ff204 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
0000000180309ad8 (__TEXT,__text) non-external (was a private external) ___get_locale_env
0000000180329b74 (__TEXT,__text) external ___get_page
00000001803080ac (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00000001e9d354e0 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
0000000180336d90 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
000000018035167c (__TEXT,__text) non-external (was a private external) ___getutxent
0000000180351ab4 (__TEXT,__text) non-external ___getutxid
000000018030ba04 (__TEXT,__text) non-external (was a private external) ___gl_compare
000000018030b4e0 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
000000018030b7e8 (__TEXT,__text) non-external (was a private external) ___gl_globextend
000000018030ad24 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
000000018030b5d8 (__TEXT,__text) non-external (was a private external) ___gl_match
000000018030a7c4 (__TEXT,__text) non-external ___glob
00000001e9d32a38 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00000001802feacc (__TEXT,__text) non-external (was a private external) ___guard_setup
0000000180326714 (__TEXT,__text) external ___hash_open
00000001803126e4 (__TEXT,__text) external ___hdtoa
00000001802ed194 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00000001802f2b94 (__TEXT,__text) external ___hi0bits_D2A
000000018032c390 (__TEXT,__text) external ___hldtoa
00000001802f075c (__TEXT,__text) external ___i2b_D2A
000000018032a044 (__TEXT,__text) external ___ibitmap
000000018033b8f0 (__TEXT,__text) non-external ___inaddr_to_index
00000001803583fc (__TEXT,__text) non-external ___inaddr_to_index.cold.1
000000018034bcc0 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
0000000180337634 (__TEXT,__text) external ___isctype
00000001803375f4 (__TEXT,__text) external ___istype
000000018033770c (__TEXT,__text) external ___istype_l
00000001e9d33600 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
000000018034ce90 (__TEXT,__text) external ___ldtoa
00000001803211c4 (__TEXT,__text) external ___libc_init
00000001802ef8fc (__TEXT,__text) external ___lo0bits_D2A
00000001802f4424 (__TEXT,__text) non-external ___loadevp
00000001e9d32ff8 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
0000000180328bec (__TEXT,__text) external ___log2
00000001e78fdb68 (__DATA,__common) non-external (was a private external) ___logname
00000001e78fbae8 (__DATA,__data) non-external (was a private external) ___logname_mutex
000000018035bdd8 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00000001802f09d4 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
00000001802f4c58 (__TEXT,__text) external ___maskrune
00000001803376a0 (__TEXT,__text) external ___maskrune_l
000000018032d4ec (__TEXT,__text) external ___match_D2A
00000001e78fbce4 (__DATA,__data) external ___mb_cur_max
00000001e78fbce8 (__DATA,__data) external ___mb_sb_limit
0000000180344074 (__TEXT,__text) non-external ___mbsconv
0000000180336f54 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180356d90 (__TEXT,__text) external ___memccpy_chk
00000001802e57d0 (__TEXT,__text) external ___memcpy_chk
00000001802e6244 (__TEXT,__text) external ___memmove_chk
00000001802edef0 (__TEXT,__text) external ___memset_chk
0000000180302e7c (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00000001e78fd5c8 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00000001803022dc (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00000001e78fd5d8 (__DATA,__bss) non-external ___monetary_load_locale.cache
00000001802f08a4 (__TEXT,__text) external ___mult_D2A
00000001802f06a4 (__TEXT,__text) external ___multadd_D2A
000000018033c8e8 (__TEXT,__text) non-external ___nls_free_resources
000000018035b821 (__TEXT,__const) non-external ___nogrouping
00000001802f2b3c (__TEXT,__text) external ___nrv_alloc_D2A
000000018031df54 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
0000000180302a68 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00000001e78fd5e8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
0000000180301010 (__TEXT,__text) non-external (was a private external) ___open_path_locale
0000000180330b4c (__TEXT,__text) external ___opendir2
00000001802e626c (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
0000000180324384 (__TEXT,__text) external ___ovfl_delete
000000018032419c (__TEXT,__text) external ___ovfl_get
0000000180324284 (__TEXT,__text) external ___ovfl_put
00000001802f2a0c (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00000001e9d354f0 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00000001e9d354e8 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00000001e9d33a80 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
0000000180302734 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00000001e78fdb70 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00000001e78fbb28 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00000001802f078c (__TEXT,__text) external ___pow5mult_D2A
000000018035b0b0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
0000000180350358 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180358d70 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
000000018034f1d8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180358b94 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
000000018034f318 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
0000000180358bc0 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
000000018034fd58 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180358c18 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
000000018030f97c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180358c44 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180350a0c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
0000000180358df4 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00000001803509f4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
000000018034ffa8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
0000000180358cec (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
0000000180350074 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180358d18 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
000000018030f93c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180358d44 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180350504 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
0000000180358d9c (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00000001803507f0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
0000000180358dc8 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
000000018030f128 (__TEXT,__text) non-external (was a private external) ___printf_comp
000000018030fa14 (__TEXT,__text) non-external (was a private external) ___printf_exec
000000018031094c (__TEXT,__text) non-external (was a private external) ___printf_flush
0000000180340b08 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180310198 (__TEXT,__text) non-external (was a private external) ___printf_out
000000018035094c (__TEXT,__text) non-external (was a private external) ___printf_pad
000000018030feb8 (__TEXT,__text) non-external (was a private external) ___printf_puts
00000001803503a4 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
000000018034f200 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
000000018034f368 (__TEXT,__text) non-external (was a private external) ___printf_render_float
0000000180358bec (__TEXT,__text) non-external ___printf_render_float.cold.1
000000018034fd88 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
000000018031024c (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180358c70 (__TEXT,__text) non-external ___printf_render_int.cold.1
0000000180358cc0 (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180350a34 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00000001803509fc (__TEXT,__text) non-external (was a private external) ___printf_render_pct
000000018034ffe0 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
000000018035009c (__TEXT,__text) non-external (was a private external) ___printf_render_quote
000000018030ff24 (__TEXT,__text) non-external (was a private external) ___printf_render_str
000000018035052c (__TEXT,__text) non-external (was a private external) ___printf_render_time
0000000180350818 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
0000000180307c00 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00000001e9d33ca0 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
0000000180329d54 (__TEXT,__text) external ___put_page
000000018035b900 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180351d80 (__TEXT,__text) non-external (was a private external) ___pututxline
00000001802f2c0c (__TEXT,__text) external ___quorem_D2A
00000001803058c8 (__TEXT,__text) external ___ratio_D2A
000000018032aafc (__TEXT,__text) external ___rec_close
000000018032adec (__TEXT,__text) external ___rec_delete
000000018032af30 (__TEXT,__text) external ___rec_dleaf
000000018032b910 (__TEXT,__text) external ___rec_fd
000000018032b3a8 (__TEXT,__text) external ___rec_fmap
000000018032b168 (__TEXT,__text) external ___rec_fpipe
000000018032b060 (__TEXT,__text) external ___rec_get
000000018032bc34 (__TEXT,__text) external ___rec_iput
000000018032b598 (__TEXT,__text) external ___rec_open
000000018032b968 (__TEXT,__text) external ___rec_put
000000018032c23c (__TEXT,__text) external ___rec_ret
000000018032be74 (__TEXT,__text) external ___rec_search
000000018032c050 (__TEXT,__text) external ___rec_seq
000000018032abb4 (__TEXT,__text) external ___rec_sync
000000018032b4bc (__TEXT,__text) external ___rec_vmap
000000018032b280 (__TEXT,__text) external ___rec_vpipe
0000000180328ae4 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00000001802f3c68 (__TEXT,__text) external ___rshift_D2A
000000018035af0c (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00000001802ef9b0 (__TEXT,__text) external ___rv_alloc_D2A
00000001802f05bc (__TEXT,__text) external ___s2b_D2A
00000001e9d33608 (__DATA_DIRTY,__data) external ___sF
00000001e9d337d0 (__DATA_DIRTY,__data) non-external ___sFX
00000001802fe610 (__TEXT,__text) external ___sclose
00000001e9d33cf0 (__DATA_DIRTY,__bss) non-external ___scounted
00000001e9d35530 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00000001802e5028 (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
0000000180336d9c (__TEXT,__text) external ___setonlyClocaleconv
00000001803012d8 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00000001e78fd7c8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
