00007ffb0d271bd6 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb0d26facc (__TEXT,__text) non-external -[CBOR copyWithZone:]
00007ffb0d270373 (__TEXT,__text) non-external -[CBOR data]
00007ffb0d27049d (__TEXT,__text) non-external -[CBOR date]
00007ffb0d270b14 (__TEXT,__text) non-external -[CBOR description]
00007ffb0d270453 (__TEXT,__text) non-external -[CBOR dictionary]
00007ffb0d27015e (__TEXT,__text) non-external -[CBOR doubleValue]
00007ffb0d271ce3 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00007ffb0d26ffdf (__TEXT,__text) non-external -[CBOR hash]
00007ffb0d26ff1f (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00007ffb0d26fb07 (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00007ffb0d2709fe (__TEXT,__text) non-external -[CBOR isBoolean]
00007ffb0d270a13 (__TEXT,__text) non-external -[CBOR isDate]
00007ffb0d270abc (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00007ffb0d26fff1 (__TEXT,__text) non-external -[CBOR isEqual:]
00007ffb0d2709e9 (__TEXT,__text) non-external -[CBOR isFloatNumber]
00007ffb0d2709cb (__TEXT,__text) non-external -[CBOR isWholeNumber]
00007ffb0d2700af (__TEXT,__text) non-external -[CBOR longLongValue]
00007ffb0d2701b2 (__TEXT,__text) non-external -[CBOR numeric]
00007ffb0d271dac (__TEXT,__text) non-external -[CBOR orderedKeys]
00007ffb0d271da2 (__TEXT,__text) non-external -[CBOR setCachedHash:]
00007ffb0d271db6 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00007ffb0d271d58 (__TEXT,__text) non-external -[CBOR setTag:]
00007ffb0d271d73 (__TEXT,__text) non-external -[CBOR setValue:]
00007ffb0d271d8e (__TEXT,__text) non-external -[CBOR setValueSize:]
00007ffb0d270275 (__TEXT,__text) non-external -[CBOR string]
00007ffb0d271d4e (__TEXT,__text) non-external -[CBOR tag]
00007ffb0d271d44 (__TEXT,__text) non-external -[CBOR type]
00007ffb0d270104 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00007ffb0d271d84 (__TEXT,__text) non-external -[CBOR valueSize]
00007ffb0d271d69 (__TEXT,__text) non-external -[CBOR value]
00007ffb0d26ce94 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00007ffb0d2738c7 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00007ffb0d272856 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00007ffb0d2732f0 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00007ffb0d27388b (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00007ffb0d27389f (__TEXT,__text) non-external -[COSE contentType]
00007ffb0d272789 (__TEXT,__text) non-external -[COSE content]
00007ffb0d273895 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00007ffb0d271fbc (__TEXT,__text) non-external -[COSE initWithCBOR:]
00007ffb0d271dfc (__TEXT,__text) non-external -[COSE initWithData:]
00007ffb0d271e56 (__TEXT,__text) non-external -[COSE initWithData:type:]
00007ffb0d2723b3 (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00007ffb0d2738b3 (__TEXT,__text) non-external -[COSE initializationVector]
00007ffb0d2738a9 (__TEXT,__text) non-external -[COSE keyIdentifier]
00007ffb0d2738bd (__TEXT,__text) non-external -[COSE partialInitializationVector]
00007ffb0d272686 (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00007ffb0d273881 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00007ffb0d273926 (__TEXT,__text) non-external -[COSE setType:]
00007ffb0d2739c7 (__TEXT,__text) non-external -[COSE sourceObject]
00007ffb0d272827 (__TEXT,__text) non-external -[COSE tag]
00007ffb0d273877 (__TEXT,__text) non-external -[COSE type]
00007ffb0d272706 (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00007ffb0d276ccf (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00007ffb0d275e5c (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00007ffb0d276c9d (__TEXT,__text) non-external -[COSEKey algorithm]
00007ffb0d276cbb (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00007ffb0d276c0b (__TEXT,__text) non-external -[COSEKey ecCurveD]
00007ffb0d276ba5 (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00007ffb0d276bc7 (__TEXT,__text) non-external -[COSEKey ecCurveX]
00007ffb0d276be9 (__TEXT,__text) non-external -[COSEKey ecCurveY]
00007ffb0d2739c7 (__TEXT,__text) non-external -[COSEKey getSource]
00007ffb0d276ca7 (__TEXT,__text) non-external -[COSEKey identifier]
00007ffb0d276750 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00007ffb0d2768ea (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00007ffb0d276a5a (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00007ffb0d274efe (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00007ffb0d274ea4 (__TEXT,__text) non-external -[COSEKey initWithData:]
00007ffb0d276c71 (__TEXT,__text) non-external -[COSEKey okpCurveD]
00007ffb0d276c2d (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00007ffb0d276c4f (__TEXT,__text) non-external -[COSEKey okpCurveX]
00007ffb0d276cb1 (__TEXT,__text) non-external -[COSEKey operations]
00007ffb0d276cc5 (__TEXT,__text) non-external -[COSEKey symmetricKey]
00007ffb0d276c93 (__TEXT,__text) non-external -[COSEKey type]
00007ffb0d274e3c (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00007ffb0d274d95 (__TEXT,__text) non-external -[COSE_Mac0 description]
00007ffb0d274b6a (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00007ffb0d2747bc (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00007ffb0d274a55 (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00007ffb0d274e2b (__TEXT,__text) non-external -[COSE_Mac0 mac]
00007ffb0d2746d4 (__TEXT,__text) non-external -[COSE_Sign1 description]
00007ffb0d273b19 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00007ffb0d2739f7 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00007ffb0d274618 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00007ffb0d273d78 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00007ffb0d274003 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00007ffb0d27433a (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00007ffb0d2744d1 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00007ffb0d2742a8 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00007ffb0d27af0c (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00007ffb0d279db0 (__TEXT,__const) external _CBORLibraryVersionNumber
00007ffb0d279d80 (__TEXT,__const) external _CBORLibraryVersionString
00007ffb0d279de8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00007ffb0d279de9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00007ffb433cb7f0 (__DATA,__data) external _COSEHeaderX509Bag
00007ffb433cb7f8 (__DATA,__data) external _COSEHeaderX509Chain
00007ffb433cb808 (__DATA,__data) external _COSEHeaderX509Hash
00007ffb433cb810 (__DATA,__data) external _COSEHeaderX509HashSender
00007ffb433cb818 (__DATA,__data) external _COSEHeaderX509Uri
00007ffb433cb820 (__DATA,__data) external _COSEHeaderX509UriSender
00007ffb433cb800 (__DATA,__data) external _COSEHeaderx509ChainSender
00007ffb433cac40 (__DATA,__objc_data) external _OBJC_CLASS_$_CBOR
00007ffb433cac90 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE
00007ffb433cad80 (__DATA,__objc_data) external _OBJC_CLASS_$_COSEKey
00007ffb433cad30 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00007ffb433cace0 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00007ffb433caa60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
00007ffb433caa68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00007ffb433caa48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00007ffb433caa40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00007ffb433caa50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00007ffb433caa58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00007ffb433caa88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00007ffb433caa70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00007ffb433caa98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00007ffb433caa90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00007ffb433caaa8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00007ffb433caaa0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
00007ffb433caab0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00007ffb433caa80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00007ffb433caa78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00007ffb433caaf0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00007ffb433cab08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00007ffb433caac0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00007ffb433caac8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00007ffb433caaf8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00007ffb433cab00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00007ffb433caae0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00007ffb433caad0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00007ffb433caad8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00007ffb433cab10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00007ffb433caae8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00007ffb433caab8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
00007ffb433cac68 (__DATA,__objc_data) external _OBJC_METACLASS_$_CBOR
00007ffb433cacb8 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE
00007ffb433cada8 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSEKey
00007ffb433cad58 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00007ffb433cad08 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb433cb1f0 (__DATA,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb41152a20 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00007ffb41152cc0 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00007ffb41152db8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb433cab18 (__DATA,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb41152e90 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb41152b18 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb0d277370 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb411529f8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00007ffb41152c58 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00007ffb41152d50 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb41152ba8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb41152e48 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb41152ab0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb411529b0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00007ffb41152c10 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00007ffb41152d08 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb41152b60 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb41152e00 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb41152a68 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb41152ed8 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00007ffb0d277390 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb0d2774f8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00007ffb0d277530 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb0d2776e0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00007ffb0d2777a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00007ffb0d277898 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00007ffb0d2778e8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00007ffb41153278 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
00007ffb41153528 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00007ffb41153970 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
00007ffb411538a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00007ffb41153340 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00007ffb41153650 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
00007ffb41153ad8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
00007ffb411538c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
00007ffb411537a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00007ffb41153108 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb411531f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ffb41152f18 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb411530e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb41153210 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ffb41153150 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb41153218 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
00007ffb41153498 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
00007ffb41153718 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
00007ffb41153bb0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
00007ffb411538e0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
00007ffb41153810 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
00007ffb411529a0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ffb41152998 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffb41153230 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
00007ffb411534e0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
00007ffb41153928 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00007ffb41153858 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00007ffb41153760 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
00007ffb433cb790 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00007ffb433cb730 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffb41154188 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb0d273590 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00007ffb0d27373f (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.101
00007ffb0d26b2b6 (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00007ffb0d27356b (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb0d273581 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb411520a8 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
00007ffb411520c8 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e26_v32?0"CBOR"8"CBOR"16*24l
                 (undefined) external ___bzero (from libSystem)
00007ffb0d256d50 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb0d256d70 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb0d2736c8 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00007ffb0d27370a (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffb0d255a10 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb0d255a10 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb0d255b00 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00007ffb0d2559a0 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00007ffb0d255ad0 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00007ffb0d255ad0 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb0d255ad0 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb0d24af10 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
00007ffb0d256cc0 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
00007ffb0d256d00 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00007ffb0d26ad40 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00007ffb0d2681c0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00007ffb0d25e920 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00007ffb0d255cd0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
00007ffb0d25f130 (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
00007ffb0d255ed0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
00007ffb0d261450 (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
