00000001801a12d0 (__TEXT,__text) non-external K256
0000000180130e0c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000180130e84 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000180130e84 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000018014d274 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000018014d2a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000180182240 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000180192fc0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000180130dec (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000180130dec (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000180130e0c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000180130e84 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000180130ebc (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
000000018018226c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000180130dec (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000180130dec (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000180130e0c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000180130e2c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000180130e84 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000180182298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000180130e58 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000180130e84 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
000000018014d2a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000180163260 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001801822c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
000000018018b748 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000180130e84 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000180130ebc (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000180191858 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000180130e84 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000180130ea0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000001801b4acc (__TEXT,__const) non-external (was a private external) _SANDBOX_CHECK_NO_REPORT
00000001801b4a80 (__TEXT,__const) non-external _UUID_NULL
00000001801c4adb (__TEXT,__cstring) non-external __0x
0000000180153b0c (__TEXT,__text) non-external (was a private external) __Block_object_assign
0000000180115df4 (__TEXT,__text) non-external (was a private external) __Block_object_dispose
00000001801c4ab9 (__TEXT,__cstring) non-external __H
00000001ea465d28 (__DATA,__common) non-external (was a private external) __NSConcreteGlobalBlock
00000001ea465c28 (__DATA,__common) non-external (was a private external) __NSConcreteStackBlock
000000018017a9f0 (__TEXT,__text) non-external (was a private external) __Z10murmurHashPKviy
00000001801858f8 (__TEXT,__text) non-external (was a private external) __Z11signPointeryPvbt11ptrauth_key
00000001801b212c (__TEXT,__text) non-external __Z11signPointeryPvbt11ptrauth_key.cold.1
000000018012f8b4 (__TEXT,__text) non-external (was a private external) __Z17appendHexToStringIiEvPcT_y
000000018012f814 (__TEXT,__text) non-external (was a private external) __Z17appendHexToStringIyEvPcT_y
000000018017c67c (__TEXT,__text) non-external (was a private external) __Z22getForeignFullIdentityPKc
0000000180164a68 (__TEXT,__text) non-external (was a private external) __Z6crc32cNSt3__14spanISt4byteLm18446744073709551615EEE
00000001ea4658c0 (__DATA,__data) non-external __ZL12sProcessInfo
00000001801b4550 (__TEXT,__const) non-external __ZL14sCRC32cSWTable
0000000180136d34 (__TEXT,__text) non-external __ZL15OSMemoryBarrierv
00000001e61c4660 (__DATA_CONST,__const) non-external __ZL15cryptexPrefixes
000000018019542c (__TEXT,__text) non-external __ZL15hactivateRegionbbyyy
00000001801b2bf8 (__TEXT,__text) non-external __ZL15hactivateRegionbbyyy.cold.1
000000018012c708 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy
000000018014d7d4 (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy
00000001801b09ac (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.1
00000001801b09cc (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.2
00000001801b09ec (__TEXT,__text) non-external __ZL24__stackAllocatorInternalPvy.cold.3
0000000180136d20 (__TEXT,__text) non-external __ZL32OSAtomicCompareAndSwapPtrBarrierPvS_PVS_
0000000180163a90 (__TEXT,__text) non-external (was a private external) __ZN10AAREncoder7addFileENSt3__117basic_string_viewIcNS0_11char_traitsIcEEEENS0_4spanISt4byteLm18446744073709551615EEE
00000001801638e4 (__TEXT,__text) non-external (was a private external) __ZN10AAREncoderC1ERN3lsl9AllocatorE
0000000180163a8c (__TEXT,__text) non-external (was a private external) __ZN10AAREncoderD1Ev
000000018016391c (__TEXT,__text) non-external (was a private external) __ZN10AAREncoderD2Ev
00000001801831a4 (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backEhy
0000000180163580 (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backIPKcEEvT_
0000000180163654 (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backIjEEvT_
000000018016360c (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backItEEvT_
000000018016369c (__TEXT,__text) non-external (was a private external) __ZN10ByteStream9push_backIyEEvT_
0000000180164af4 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
0000000180164cac (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
00000001801b1524 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.1
00000001801b1550 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.2
00000001801b157c (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.3
00000001801b15a8 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.4
0000000180164b84 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKc12va_list_wrap
00000001801b1474 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.1
00000001801b14a0 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.2
00000001801b14cc (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.3
00000001801b14f8 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.4
0000000180164b58 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
0000000180164ab4 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1EOS_
0000000180164aac (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Ev
0000000180115dcc (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00000001801671c0 (__TEXT,__text) non-external (was a private external) __ZN11FileIdTupleC1ERK4stat
00000001801671d4 (__TEXT,__text) non-external (was a private external) __ZN11FileIdTupleC1Eyy
0000000180150868 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_4DataEJRNSt3__14spanISt4byteLm18446744073709551615EEEEEERT_NS3_17basic_string_viewIcNS3_11char_traitsIcEEEEDpOT0_
0000000180150aa8 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_4UUIDEJRA16_hEEERT_NSt3__117basic_string_viewIcNS7_11char_traitsIcEEEEDpOT0_
000000018014ee24 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_5ArrayEJEEERT_NSt3__117basic_string_viewIcNS5_11char_traitsIcEEEEDpOT0_
000000018015103c (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_5FlagsIxEEJEEERT_NSt3__117basic_string_viewIcNS6_11char_traitsIcEEEEDpOT0_
000000018015127c (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_6BitmapEJmEEERT_NSt3__117basic_string_viewIcNS5_11char_traitsIcEEEEDpOT0_
000000018015097c (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_6StringEJPKcEEERT_NSt3__117basic_string_viewIcNS7_11char_traitsIcEEEEDpOT0_
0000000180150d00 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_6StringEJRKNSt3__117basic_string_viewIcNS3_11char_traitsIcEEEEEEERT_S7_DpOT0_
000000018015097c (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_6StringEJRPKcEEERT_NSt3__117basic_string_viewIcNS8_11char_traitsIcEEEEDpOT0_
0000000180150f28 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJRKhEEERT_NSt3__117basic_string_viewIcNS7_11char_traitsIcEEEEDpOT0_
0000000180151168 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJRKiEEERT_NSt3__117basic_string_viewIcNS7_11char_traitsIcEEEEDpOT0_
0000000180150e14 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJRKjEEERT_NSt3__117basic_string_viewIcNS7_11char_traitsIcEEEEDpOT0_
0000000180150754 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJRKyEEERT_NSt3__117basic_string_viewIcNS7_11char_traitsIcEEEEDpOT0_
000000018015210c (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJRNSt3__16atomicIyEEEEERT_NS3_17basic_string_viewIcNS3_11char_traitsIcEEEEDpOT0_
0000000180150f28 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJRhEEERT_NSt3__117basic_string_viewIcNS6_11char_traitsIcEEEEDpOT0_
0000000180150754 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJRmEEERT_NSt3__117basic_string_viewIcNS6_11char_traitsIcEEEEDpOT0_
0000000180150754 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJRyEEERT_NSt3__117basic_string_viewIcNS6_11char_traitsIcEEEEDpOT0_
0000000180151168 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJiEEERT_NSt3__117basic_string_viewIcNS5_11char_traitsIcEEEEDpOT0_
0000000180150e14 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJjEEERT_NSt3__117basic_string_viewIcNS5_11char_traitsIcEEEEDpOT0_
0000000180150754 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJxEEERT_NSt3__117basic_string_viewIcNS5_11char_traitsIcEEEEDpOT0_
0000000180150754 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyINS_7IntegerEJyEEERT_NSt3__117basic_string_viewIcNS5_11char_traitsIcEEEEDpOT0_
0000000180150648 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary15addObjectForKeyIS0_JEEERT_NSt3__117basic_string_viewIcNS4_11char_traitsIcEEEEDpOT0_
00000001801833e8 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10Dictionary4emitEhR10ByteStream
00000001801833e4 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10DictionaryC1ERS_
0000000180183320 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10DictionaryC2ERS_
000000018018359c (__TEXT,__text) non-external (was a private external) __ZN12PropertyList10DictionaryD2Ev
000000018018452c (__TEXT,__text) non-external (was a private external) __ZN12PropertyList14rootDictionaryEv
0000000180182464 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList4Data4emitEhR10ByteStream
00000001801829b0 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList4DataC1ERS_NSt3__14spanISt4byteLm18446744073709551615EEE
00000001801828f4 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList4DataC2ERS_NSt3__14spanISt4byteLm18446744073709551615EEE
00000001801826f8 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList4DataC2ERS_y
000000018018365c (__TEXT,__text) non-external (was a private external) __ZN12PropertyList4UUIDC1ERS_Ph
0000000180183058 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList5Array4emitEhR10ByteStream
000000018014f1d8 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList5Array9addObjectINS_10DictionaryEJEEERT_DpOT0_
0000000180183054 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList5ArrayC1ERS_
0000000180182fa4 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList5ArrayC2ERS_
00000001801832a0 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList5ArrayD2Ev
00000001801836d0 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList6Bitmap6setBitEy
00000001801b20a8 (__TEXT,__text) non-external __ZN12PropertyList6Bitmap6setBitEy.cold.1
0000000180183694 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList6BitmapC1ERS_y
0000000180183a50 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList6Object10deallocateEv
0000000180182dc4 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList6String4emitEhR10ByteStream
0000000180182fa0 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList6StringC1ERS_NSt3__117basic_string_viewIcNS2_11char_traitsIcEEEE
0000000180182ed8 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList6StringC2ERS_NSt3__117basic_string_viewIcNS2_11char_traitsIcEEEE
0000000180183b60 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList6encodeER10ByteStream
0000000180182388 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList7Integer4emitEhR10ByteStream
0000000180182384 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList7IntegerC1ERS_x
00000001801822f0 (__TEXT,__text) non-external (was a private external) __ZN12PropertyList7IntegerC2ERS_x
00000001801837d8 (__TEXT,__text) non-external (was a private external) __ZN12PropertyListC1ERN3lsl9AllocatorE
0000000180183734 (__TEXT,__text) non-external (was a private external) __ZN12PropertyListC2ERN3lsl9AllocatorE
0000000180183b5c (__TEXT,__text) non-external (was a private external) __ZN12PropertyListD1Ev
00000001801837dc (__TEXT,__text) non-external (was a private external) __ZN12PropertyListD2Ev
0000000180182394 (__TEXT,__text) non-external __ZN12_GLOBAL__N_123emitPlistEncodedIntegerExR10ByteStream
000000018018258c (__TEXT,__text) non-external __ZN12_GLOBAL__N_131emitUnsignedPlistEncodedIntegerEyR10ByteStream
0000000180184ef0 (__TEXT,__text) non-external __ZN12_GLOBAL__N_19quickSortIPPN12PropertyList4DataEEEvT_S5_
0000000180184c80 (__TEXT,__text) non-external __ZN12_GLOBAL__N_19quickSortIPPN12PropertyList6StringEEEvT_S5_
0000000180184dcc (__TEXT,__text) non-external __ZN12_GLOBAL__N_19quickSortIPPN12PropertyList7IntegerEEEvT_S5_
000000018017bdf4 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor12forEachClassEU13block_pointerFvRKNS_5ClassERbE
000000018017bbfc (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor12forEachClassEbRKNS0_7SectionEU13block_pointerFvRNS_5ClassEbRbE
00000001801b1dfc (__TEXT,__text) non-external __ZN12objc_visitor7Visitor12forEachClassEbRKNS0_7SectionEU13block_pointerFvRNS_5ClassEbRbE.cold.1
000000018017bd80 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor12forEachClassEbU13block_pointerFvRNS_5ClassEbRbE
000000018017befc (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor15forEachCategoryEU13block_pointerFvRKNS_8CategoryERbE
00000001801b1e28 (__TEXT,__text) non-external __ZN12objc_visitor7Visitor15forEachCategoryEU13block_pointerFvRKNS_8CategoryERbE.cold.1
000000018017c04c (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor15forEachProtocolEU13block_pointerFvRKNS_8ProtocolERbE
00000001801b1e54 (__TEXT,__text) non-external __ZN12objc_visitor7Visitor15forEachProtocolEU13block_pointerFvRKNS_8ProtocolERbE.cold.1
000000018017be78 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor24forEachClassAndMetaClassEU13block_pointerFvRKNS_5ClassERbE
000000018017c318 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor24forEachProtocolReferenceEU13block_pointerFvRN16metadata_visitor13ResolvedValueEE
00000001801b1eac (__TEXT,__text) non-external __ZN12objc_visitor7Visitor24forEachProtocolReferenceEU13block_pointerFvRN16metadata_visitor13ResolvedValueEE.cold.1
000000018018b75c (__TEXT,__text) non-external (was a private external) __ZN13prebuilt_objc12findSelectorEPN5dyld412RuntimeStateERKN5dyld37MapViewINS_19ObjCStringKeyOnDiskEvNS_23HashObjCStringKeyOnDiskENS_24EqualObjCStringKeyOnDiskEEEPKc
000000018018ba9c (__TEXT,__text) non-external (was a private external) __ZN13prebuilt_objc12forEachClassEPKvU13block_pointerFvRKN5dyld414PrebuiltLoader13BindTargetRefERKN5dyld35ArrayIPS5_EEE
000000018018b7c4 (__TEXT,__text) non-external (was a private external) __ZN13prebuilt_objc12forEachClassEPN5dyld412RuntimeStateERKN5dyld312MultiMapViewINS_19ObjCStringKeyOnDiskENS_24ObjCObjectOnDiskLocationENS_23HashObjCStringKeyOnDiskENS_24EqualObjCStringKeyOnDiskEEEPKcU13block_pointerFvRKNS3_5ArrayIPKNS0_14PrebuiltLoader13BindTargetRefEEEE
000000018018bc04 (__TEXT,__text) non-external (was a private external) __ZN13prebuilt_objc13hashStringKeyERKNSt3__117basic_string_viewIcNS0_11char_traitsIcEEEE
000000018018b930 (__TEXT,__text) non-external (was a private external) __ZN13prebuilt_objc15forEachProtocolEPN5dyld412RuntimeStateERKN5dyld312MultiMapViewINS_19ObjCStringKeyOnDiskENS_24ObjCObjectOnDiskLocationENS_23HashObjCStringKeyOnDiskENS_24EqualObjCStringKeyOnDiskEEEPKcU13block_pointerFvRKNS3_5ArrayIPKNS0_14PrebuiltLoader13BindTargetRefEEEE
0000000180190554 (__TEXT,__text) non-external (was a private external) __ZN13prebuilt_objc24EqualObjCStringKeyOnDisk5equalERKNS_19ObjCStringKeyOnDiskERKNSt3__117basic_string_viewIcNS4_11char_traitsIcEEEEPv
00000001801658c4 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11inDyldCacheEPKS_PKN5dyld39MachOFileE
00000001801658c8 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11inDyldCacheEPKS_PKN6mach_o12UnsafeHeaderE
0000000180165018 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11mappingNameEjy
000000018016712c (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache13DynamicRegion11setReadOnlyEv
00000001801670cc (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache13DynamicRegion12setCachePathEPKc
00000001801b1688 (__TEXT,__text) non-external __ZN15DyldSharedCache13DynamicRegion12setCachePathEPKc.cold.1
0000000180167140 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache13DynamicRegion17setProcessorFlagsEo
00000001801670c4 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache13DynamicRegion18setDyldCacheFileIDE11FileIdTuple
0000000180167138 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache13DynamicRegion18setSystemWideFlagsEo
00000001801670ac (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache13DynamicRegion4freeEv
0000000180167014 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache13DynamicRegion4makeEm
0000000180167098 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache13DynamicRegion4sizeEv
0000000180166dec (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
000000018017a854 (__TEXT,__text) non-external (was a private external) __ZN16metadata_visitor13ResolvedValueC1EPKv9VMAddress
000000018017a874 (__TEXT,__text) non-external (was a private external) __ZN16metadata_visitor7VisitorC2EPKN5dyld313MachOAnalyzerE
0000000180167918 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIyNS_4UUIDENSt3__14lessIyEEE6insertEONS2_4pairIKyS1_EE
000000018017f2f8 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetINS_4UUIDENSt3__14lessIS1_EEE6insertERKS1_
000000018017e0a0 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetINS_9UniquePtrIN5dyld45Atlas5ImageEEENSt3__14lessIS5_EEE6insertEOS5_
000000018017f3dc (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetIPKcNS_20ConstCharStarCompareEE6insertEOS2_
000000018017dd68 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetIPKcNS_20ConstCharStarCompareEE6insertERKS2_
0000000180193530 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager12writeProtectEb
00000001801934f0 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager13memoryManagerEv
00000001801b26e4 (__TEXT,__text) non-external __ZN3lsl13MemoryManager13memoryManagerEv.cold.1
0000000180194564 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager16defaultAllocatorEv
00000001801b26e4 (__TEXT,__text) non-external __ZN3lsl13MemoryManager16defaultAllocatorEv.cold.1
0000000180193518 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager16setDyldCacheAddrEPv
00000001801938b0 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager17setProtectedStackERNS_14ProtectedStackE
0000000180193908 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager17vm_allocate_bytesEyb
00000001801b26f4 (__TEXT,__text) non-external __ZN3lsl13MemoryManager17vm_allocate_bytesEyb.cold.1
00000001801931ac (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager4initEPPKcS3_Pv
00000001801b26b8 (__TEXT,__text) non-external __ZN3lsl13MemoryManager4initEPPKcS3_Pv.cold.1
0000000180193a28 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager6Buffer12consumeSpaceEy
00000001801b27c8 (__TEXT,__text) non-external __ZN3lsl13MemoryManager6Buffer12consumeSpaceEy.cold.1
00000001801b27f4 (__TEXT,__text) non-external __ZN3lsl13MemoryManager6Buffer12consumeSpaceEy.cold.2
00000001801938c4 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager6Buffer5alignEyy
