                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000020cea3b48 (__TEXT,__text) external __crypt_blowfish_rn
000000020cea94d4 (__TEXT,__text) external _apr_ldap_is_ldap_url
000000020cea964c (__TEXT,__text) external _apr_ldap_is_ldapi_url
000000020cea9600 (__TEXT,__text) external _apr_ldap_is_ldaps_url
000000020ceb335c (__TEXT,__text) external _apr_ldap_rebind_add
000000020ceb32c8 (__TEXT,__text) external _apr_ldap_rebind_init
000000020ceb3454 (__TEXT,__text) external _apr_ldap_rebind_remove
000000020ceb3024 (__TEXT,__text) external _apr_ldap_set_option
000000020ceb2e90 (__TEXT,__text) external _apr_ldap_ssl_deinit
000000020ceb2dc4 (__TEXT,__text) external _apr_ldap_ssl_init
000000020cea9d68 (__TEXT,__text) external _apr_ldap_url_parse
000000020cea9698 (__TEXT,__text) external _apr_ldap_url_parse_ext
000000020cea14bc (__TEXT,__text) external _apr_md4
000000020cea13b0 (__TEXT,__text) external _apr_md4_final
000000020cea0b5c (__TEXT,__text) external _apr_md4_init
000000020cea0b78 (__TEXT,__text) external _apr_md4_set_xlate
000000020cea0bd0 (__TEXT,__text) external _apr_md4_update
000000020cea1898 (__TEXT,__text) external _apr_md5
000000020cea1924 (__TEXT,__text) external _apr_md5_encode
000000020cea1784 (__TEXT,__text) external _apr_md5_final
000000020cea1544 (__TEXT,__text) external _apr_md5_init
000000020cea1560 (__TEXT,__text) external _apr_md5_set_xlate
000000020cea15b8 (__TEXT,__text) external _apr_md5_update
000000020ceaa6dc (__TEXT,__text) external _apr_memcache_add
000000020ceab094 (__TEXT,__text) external _apr_memcache_add_multget_key
000000020cea9dbc (__TEXT,__text) external _apr_memcache_add_server
000000020ceaa378 (__TEXT,__text) external _apr_memcache_create
000000020ceaaf40 (__TEXT,__text) external _apr_memcache_decr
000000020ceaab7c (__TEXT,__text) external _apr_memcache_delete
000000020ceaa040 (__TEXT,__text) external _apr_memcache_disable_server
000000020ceaa02c (__TEXT,__text) external _apr_memcache_enable_server
000000020cea9fb8 (__TEXT,__text) external _apr_memcache_find_server
000000020cea9df4 (__TEXT,__text) external _apr_memcache_find_server_hash
000000020cea9e10 (__TEXT,__text) external _apr_memcache_find_server_hash_default
000000020ceaa724 (__TEXT,__text) external _apr_memcache_getp
000000020ceaa474 (__TEXT,__text) external _apr_memcache_hash
000000020ceaa3e8 (__TEXT,__text) external _apr_memcache_hash_crc32
000000020ceaa42c (__TEXT,__text) external _apr_memcache_hash_default
000000020ceaad44 (__TEXT,__text) external _apr_memcache_incr
000000020ceab148 (__TEXT,__text) external _apr_memcache_multgetp
000000020ceaa700 (__TEXT,__text) external _apr_memcache_replace
000000020ceaa084 (__TEXT,__text) external _apr_memcache_server_create
000000020ceaa4cc (__TEXT,__text) external _apr_memcache_set
000000020ceaba18 (__TEXT,__text) external _apr_memcache_stats
000000020ceaaf58 (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
000000020cea92d0 (__TEXT,__text) external _apr_optional_hook_add
000000020cea9280 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
000000020cea28d4 (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
000000020cea737c (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
000000020ceace30 (__TEXT,__text) external _apr_queue_create
000000020cead380 (__TEXT,__text) external _apr_queue_interrupt_all
000000020cead170 (__TEXT,__text) external _apr_queue_pop
000000020ceacf54 (__TEXT,__text) external _apr_queue_push
000000020cead168 (__TEXT,__text) external _apr_queue_size
000000020cead3dc (__TEXT,__text) external _apr_queue_term
000000020cead2a0 (__TEXT,__text) external _apr_queue_trypop
000000020cead08c (__TEXT,__text) external _apr_queue_trypush
000000020cead850 (__TEXT,__text) external _apr_reslist_acquire
000000020ceadb20 (__TEXT,__text) external _apr_reslist_acquired_count
000000020ceadbbc (__TEXT,__text) external _apr_reslist_cleanup_order_set
000000020cead5dc (__TEXT,__text) external _apr_reslist_create
000000020cead834 (__TEXT,__text) external _apr_reslist_destroy
000000020ceadb5c (__TEXT,__text) external _apr_reslist_invalidate
000000020cead43c (__TEXT,__text) external _apr_reslist_maintain
000000020ceada24 (__TEXT,__text) external _apr_reslist_release
000000020ceadb18 (__TEXT,__text) external _apr_reslist_timeout_set
000000020ceae600 (__TEXT,__text) external _apr_rmm_addr_get
000000020ceadff0 (__TEXT,__text) external _apr_rmm_attach
000000020ceae404 (__TEXT,__text) external _apr_rmm_calloc
000000020ceade68 (__TEXT,__text) external _apr_rmm_destroy
000000020ceae07c (__TEXT,__text) external _apr_rmm_detach
000000020ceae60c (__TEXT,__text) external _apr_rmm_free
000000020ceadc6c (__TEXT,__text) external _apr_rmm_init
000000020ceae084 (__TEXT,__text) external _apr_rmm_malloc
000000020ceae5f4 (__TEXT,__text) external _apr_rmm_offset_get
000000020ceae810 (__TEXT,__text) external _apr_rmm_overhead_get
000000020ceae530 (__TEXT,__text) external _apr_rmm_realloc
000000020cea7918 (__TEXT,__text) external _apr_sdbm_close
000000020cea7ba8 (__TEXT,__text) external _apr_sdbm_delete
000000020cea7984 (__TEXT,__text) external _apr_sdbm_fetch
000000020cea8054 (__TEXT,__text) external _apr_sdbm_firstkey
000000020cea82d8 (__TEXT,__text) external _apr_sdbm_lock
000000020cea8148 (__TEXT,__text) external _apr_sdbm_nextkey
000000020cea7740 (__TEXT,__text) external _apr_sdbm_open
000000020cea7c78 (__TEXT,__text) external _apr_sdbm_rdonly
000000020cea7ce0 (__TEXT,__text) external _apr_sdbm_store
000000020cea83f0 (__TEXT,__text) external _apr_sdbm_unlock
000000020cea3a24 (__TEXT,__text) external _apr_sha1_base64
000000020cea3928 (__TEXT,__text) external _apr_sha1_final
000000020cea2afc (__TEXT,__text) external _apr_sha1_init
000000020cea3924 (__TEXT,__text) external _apr_sha1_update
000000020cea2b20 (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
000000020ceaf908 (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
000000020ceb0fdc (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
000000020ceaf3e4 (__TEXT,__text) external _apr_thread_pool_busy_count
000000020ceae820 (__TEXT,__text) external _apr_thread_pool_create
000000020ceaee04 (__TEXT,__text) external _apr_thread_pool_destroy
000000020ceaf3f4 (__TEXT,__text) external _apr_thread_pool_idle_count
000000020ceaf41c (__TEXT,__text) external _apr_thread_pool_idle_max_get
000000020ceaf42c (__TEXT,__text) external _apr_thread_pool_idle_max_set
000000020ceaf424 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
000000020ceaf4fc (__TEXT,__text) external _apr_thread_pool_idle_wait_set
000000020ceaee24 (__TEXT,__text) external _apr_thread_pool_push
000000020ceaf09c (__TEXT,__text) external _apr_thread_pool_schedule
000000020ceaf3d4 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
000000020ceaf5b8 (__TEXT,__text) external _apr_thread_pool_task_owner_get
000000020ceaf20c (__TEXT,__text) external _apr_thread_pool_tasks_cancel
000000020ceaf3cc (__TEXT,__text) external _apr_thread_pool_tasks_count
000000020ceaf404 (__TEXT,__text) external _apr_thread_pool_tasks_high_count
000000020ceaf3fc (__TEXT,__text) external _apr_thread_pool_tasks_run_count
000000020ceaf50c (__TEXT,__text) external _apr_thread_pool_thread_max_get
000000020ceaf514 (__TEXT,__text) external _apr_thread_pool_thread_max_set
000000020ceaf3dc (__TEXT,__text) external _apr_thread_pool_threads_count
000000020ceaf40c (__TEXT,__text) external _apr_thread_pool_threads_high_count
000000020ceaf414 (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
000000020ceaf5a0 (__TEXT,__text) external _apr_thread_pool_threshold_get
000000020ceaf5a8 (__TEXT,__text) external _apr_thread_pool_threshold_set
000000020ceaf200 (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
000000020ceafe38 (__TEXT,__text) external _apr_uri_parse
000000020ceb0254 (__TEXT,__text) external _apr_uri_parse_hostinfo
000000020ceafb98 (__TEXT,__text) external _apr_uri_port_of_scheme
000000020ceafbec (__TEXT,__text) external _apr_uri_unparse
000000020cea62c4 (__TEXT,__text) external _apr_uuid_format
000000020cea6160 (__TEXT,__text) external _apr_uuid_get
000000020cea634c (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
000000020ceb0760 (__TEXT,__text) external _apr_xlate_close
000000020ceb0668 (__TEXT,__text) external _apr_xlate_conv_buffer
000000020ceb0748 (__TEXT,__text) external _apr_xlate_conv_byte
000000020ceb035c (__TEXT,__text) external _apr_xlate_open
000000020ceb0650 (__TEXT,__text) external _apr_xlate_sb_get
000000020ceb19c0 (__TEXT,__text) external _apr_xml_empty_elem
000000020ceb08b0 (__TEXT,__text) external _apr_xml_insert_uri
000000020ceb0f1c (__TEXT,__text) external _apr_xml_parse_file
000000020ceb077c (__TEXT,__text) external _apr_xml_parser_create
000000020ceb0dc8 (__TEXT,__text) external _apr_xml_parser_done
000000020ceb0d60 (__TEXT,__text) external _apr_xml_parser_feed
000000020ceb0e44 (__TEXT,__text) external _apr_xml_parser_geterror
000000020ceb1154 (__TEXT,__text) external _apr_xml_quote_elem
000000020ceb1030 (__TEXT,__text) external _apr_xml_quote_string
000000020ceb1208 (__TEXT,__text) external _apr_xml_to_text
000000020cea8884 (__TEXT,__text) external _apu__sdbm_chkpage
000000020cea8680 (__TEXT,__text) external _apu__sdbm_delpair
000000020cea85f0 (__TEXT,__text) external _apu__sdbm_duppair
000000020cea842c (__TEXT,__text) external _apu__sdbm_fitpair
000000020cea8630 (__TEXT,__text) external _apu__sdbm_getnkey
000000020cea84f0 (__TEXT,__text) external _apu__sdbm_getpair
000000020cea8220 (__TEXT,__text) external _apu__sdbm_hash
000000020ceb6310 (__TEXT,__const) external _apu__sdbm_nullitem
000000020cea8460 (__TEXT,__text) external _apu__sdbm_putpair
000000020cea8758 (__TEXT,__text) external _apu__sdbm_splpage
000000020ceaf8ec (__TEXT,__text) external _apu_version
000000020ceaf8fc (__TEXT,__text) external _apu_version_string
                 (undefined) external _atof (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _atol (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _crypt (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _iconv (from libiconv)
                 (undefined) external _iconv_close (from libiconv)
                 (undefined) external _iconv_open (from libiconv)
                 (undefined) external _ldap_bind_s (from LDAP)
                 (undefined) external _ldap_err2string (from LDAP)
                 (undefined) external _ldap_get_option (from LDAP)
                 (undefined) external _ldap_init (from LDAP)
                 (undefined) external _ldap_set_option (from LDAP)
                 (undefined) external _ldap_set_rebind_proc (from LDAP)
                 (undefined) external _ldap_start_tls_s (from LDAP)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
