00007ffd00569ca2 (__TEXT,__text) non-external _Done_iODBC
00007ffd005646b5 (__TEXT,__text) external _SQLDriverConnectW
00007ffd00562916 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffd005877a2 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffd005877c5 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffd0056f067 (__TEXT,__text) external _SQLDrivers
00007ffd0056f18f (__TEXT,__text) external _SQLDriversA
00007ffd0056f2b7 (__TEXT,__text) external _SQLDriversW
00007ffd0056ec37 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffd41580764 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffd41580790 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffd41580798 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffd00579c94 (__TEXT,__text) external _SQLEndTran
00007ffd0056a65e (__TEXT,__text) external _SQLError
00007ffd0056a743 (__TEXT,__text) external _SQLErrorA
00007ffd0056a828 (__TEXT,__text) external _SQLErrorW
00007ffd005664d8 (__TEXT,__text) external _SQLExecDirect
00007ffd00566614 (__TEXT,__text) external _SQLExecDirectA
00007ffd00566750 (__TEXT,__text) external _SQLExecDirectW
00007ffd005662a0 (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffd00566003 (__TEXT,__text) external _SQLExecute
00007ffd005676da (__TEXT,__text) external _SQLExtendedFetch
00007ffd00567440 (__TEXT,__text) external _SQLFetch
00007ffd00579f58 (__TEXT,__text) external _SQLFetchScroll
00007ffd00567288 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffd0055e643 (__TEXT,__text) external _SQLForeignKeys
00007ffd0055e865 (__TEXT,__text) external _SQLForeignKeysA
00007ffd0055ea87 (__TEXT,__text) external _SQLForeignKeysW
00007ffd0055e2a2 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffd005683ac (__TEXT,__text) external _SQLFreeConnect
00007ffd0056830c (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffd00569c22 (__TEXT,__text) external _SQLFreeEnv
00007ffd00569bb1 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffd005744dd (__TEXT,__text) external _SQLFreeHandle
00007ffd0056d1da (__TEXT,__text) external _SQLFreeStmt
00007ffd0056cfa9 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffd0058435b (__TEXT,__text) non-external _SQLGetConfigMode
00007ffd0057711d (__TEXT,__text) external _SQLGetConnectAttr
00007ffd00577626 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffd00577777 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffd0057726e (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffd0056925c (__TEXT,__text) external _SQLGetConnectOption
00007ffd00569382 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffd005694a8 (__TEXT,__text) external _SQLGetConnectOptionW
00007ffd005724f6 (__TEXT,__text) external _SQLGetCursorName
00007ffd00572657 (__TEXT,__text) external _SQLGetCursorNameA
00007ffd005727b8 (__TEXT,__text) external _SQLGetCursorNameW
00007ffd005722c5 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffd00567863 (__TEXT,__text) external _SQLGetData
00007ffd00577b39 (__TEXT,__text) external _SQLGetDescField
00007ffd00577cb9 (__TEXT,__text) external _SQLGetDescFieldA
00007ffd00577e39 (__TEXT,__text) external _SQLGetDescFieldW
00007ffd005778c8 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffd0057874f (__TEXT,__text) external _SQLGetDescRec
00007ffd00578901 (__TEXT,__text) external _SQLGetDescRecA
00007ffd00578ab3 (__TEXT,__text) external _SQLGetDescRecW
00007ffd0057854c (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffd0056c50c (__TEXT,__text) external _SQLGetDiagField
00007ffd0056c5f4 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffd0056c6dc (__TEXT,__text) external _SQLGetDiagFieldW
00007ffd0056b3d9 (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffd0056b10c (__TEXT,__text) external _SQLGetDiagRec
00007ffd0056b1fb (__TEXT,__text) external _SQLGetDiagRecA
00007ffd0056b2ea (__TEXT,__text) external _SQLGetDiagRecW
00007ffd0056a90d (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffd00574bef (__TEXT,__text) external _SQLGetEnvAttr
00007ffd00570039 (__TEXT,__text) external _SQLGetFunctions
00007ffd0056fc34 (__TEXT,__text) external _SQLGetInfo
00007ffd0056fd8b (__TEXT,__text) external _SQLGetInfoA
00007ffd0056fee2 (__TEXT,__text) external _SQLGetInfoW
00007ffd0056f51a (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffd00587192 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffd005871cb (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffd00586c0a (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffd00586e76 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffd0057554c (__TEXT,__text) external _SQLGetStmtAttr
00007ffd005756c2 (__TEXT,__text) external _SQLGetStmtAttrA
00007ffd00575838 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffd00574dad (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffd0056d9fc (__TEXT,__text) external _SQLGetStmtOption
00007ffd0056db39 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffd0056d7fd (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffd0055b428 (__TEXT,__text) external _SQLGetTypeInfo
00007ffd0055b552 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffd0055b67c (__TEXT,__text) external _SQLGetTypeInfoW
00007ffd0055b290 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffd00567c14 (__TEXT,__text) external _SQLMoreResults
00007ffd00565704 (__TEXT,__text) external _SQLNativeSql
00007ffd00565880 (__TEXT,__text) external _SQLNativeSqlA
00007ffd005659fc (__TEXT,__text) external _SQLNativeSqlW
00007ffd0056546f (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffd00566da8 (__TEXT,__text) external _SQLNumParams
00007ffd00572c05 (__TEXT,__text) external _SQLNumResultCols
00007ffd00566b19 (__TEXT,__text) external _SQLParamData
00007ffd00571671 (__TEXT,__text) external _SQLParamOptions
00007ffd005708e8 (__TEXT,__text) external _SQLPrepare
00007ffd00570a24 (__TEXT,__text) external _SQLPrepareA
00007ffd00570b60 (__TEXT,__text) external _SQLPrepareW
00007ffd005706f0 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffd0055ef07 (__TEXT,__text) external _SQLPrimaryKeys
00007ffd0055f0d7 (__TEXT,__text) external _SQLPrimaryKeysA
00007ffd0055f2a7 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffd0055eca9 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffd0055f733 (__TEXT,__text) external _SQLProcedureColumns
00007ffd0055f92a (__TEXT,__text) external _SQLProcedureColumnsA
00007ffd0055fb21 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffd0055f477 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffd0055ff76 (__TEXT,__text) external _SQLProcedures
00007ffd00560146 (__TEXT,__text) external _SQLProceduresA
00007ffd00560316 (__TEXT,__text) external _SQLProceduresW
00007ffd0055fd18 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffd0056688c (__TEXT,__text) external _SQLPutData
00007ffd00583ad2 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffd00583c3a (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffd00572919 (__TEXT,__text) external _SQLRowCount
00007ffd00587204 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffd00576b4b (__TEXT,__text) external _SQLSetConnectAttr
00007ffd00576e9d (__TEXT,__text) external _SQLSetConnectAttrA
00007ffd00576fdd (__TEXT,__text) external _SQLSetConnectAttrW
00007ffd00576c8b (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffd00568adc (__TEXT,__text) external _SQLSetConnectOption
00007ffd00568c02 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffd00568d28 (__TEXT,__text) external _SQLSetConnectOptionW
00007ffd00570e4b (__TEXT,__text) external _SQLSetCursorName
00007ffd00570f8d (__TEXT,__text) external _SQLSetCursorNameA
00007ffd005710cf (__TEXT,__text) external _SQLSetCursorNameW
00007ffd00570c9c (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffd0057814d (__TEXT,__text) external _SQLSetDescField
00007ffd005782a2 (__TEXT,__text) external _SQLSetDescFieldA
00007ffd005783f7 (__TEXT,__text) external _SQLSetDescFieldW
00007ffd00577fb9 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffd00578c65 (__TEXT,__text) external _SQLSetDescRec
00007ffd005749ff (__TEXT,__text) external _SQLSetEnvAttr
00007ffd00574b1c (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffd00587730 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffd00587741 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffd00571eb8 (__TEXT,__text) external _SQLSetParam
00007ffd00567ff6 (__TEXT,__text) external _SQLSetPos
00007ffd0057197f (__TEXT,__text) external _SQLSetScrollOptions
00007ffd0057671c (__TEXT,__text) external _SQLSetStmtAttr
00007ffd00576881 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffd005769e6 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffd005759ae (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffd0056d312 (__TEXT,__text) external _SQLSetStmtOption
00007ffd0056d6c1 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffd0056d44e (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffd0055ba5a (__TEXT,__text) external _SQLSpecialColumns
00007ffd0055bc47 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffd0055be34 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffd0055b7a6 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffd0055c2b6 (__TEXT,__text) external _SQLStatistics
00007ffd0055c4b9 (__TEXT,__text) external _SQLStatisticsA
00007ffd0055c6bc (__TEXT,__text) external _SQLStatisticsW
00007ffd0055c021 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffd00560744 (__TEXT,__text) external _SQLTablePrivileges
00007ffd00560914 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffd00560ae4 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffd005604e6 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffd0055cb7b (__TEXT,__text) external _SQLTables
00007ffd0055cd72 (__TEXT,__text) external _SQLTablesA
00007ffd0055cf69 (__TEXT,__text) external _SQLTablesW
00007ffd0055c8bf (__TEXT,__text) non-external _SQLTables_Internal
00007ffd005698c3 (__TEXT,__text) external _SQLTransact
00007ffd005695ce (__TEXT,__text) non-external _SQLTransact_Internal
00007ffd00584446 (__TEXT,__text) non-external _SQLValidDSN
00007ffd005844a5 (__TEXT,__text) non-external _SQLValidDSNW
00007ffd0058387d (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffd00583928 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffd00587365 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffd00587586 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffd0056e732 (__TEXT,__text) non-external _SectSorter
00007ffd005843a8 (__TEXT,__text) non-external _ValidDSN
00007ffd005843fa (__TEXT,__text) non-external _ValidDSNW
00007ffd0058725b (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffd005748c4 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffd00565e00 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffd00565e20 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffd00585503 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00007ffd005869a1 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffd415807d0 (__DATA,__common) non-external __iodbc_env_counter
00007ffd00583e2c (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffd0056e11a (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffd0056e1f2 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffd0056755d (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffd0056cf56 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffd00568e4e (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffd00572ae4 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffd0056d1a4 (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffd0056848b (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffd00560f1c (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffd00567ea0 (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffd0056e1a7 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffd0056de71 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffd415807d8 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffd0056e2be (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffd0055b38d (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffd0055b3e0 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffd00585c1e (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffd00584ef3 (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffd0058568b (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffd00585332 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffd00584e3d (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffd0057051a (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffd00585eea (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffd005855cf (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffd00570597 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffd00570410 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffd00584f24 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffd005855a9 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffd00564085 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffd00585f1c (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffd005853fc (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffd005705e3 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffd00585789 (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffd00584075 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffd00563e1d (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffd0056df23 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffd0056e023 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffd00563f47 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffd00565f50 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffd00565f97 (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffd00565ea6 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffd00565e9c (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffd00565fc8 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffd0056118e (__TEXT,__text) non-external __iodbcdm_driverload
00007ffd00561955 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffd0056ce6d (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffd00568a74 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffd00560d19 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffd00569ca8 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffd00565d0f (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffd0058411b (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffd00565e4a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffd41580778 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffd005860fa (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffd0058603a (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffd00572d8d (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffd00572d31 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffd00565b78 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffd00560cc0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffd0058775c (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffd00563bc0 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffd00564279 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffd00560df3 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffd005641d7 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffd00569ccb (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffd005840bf (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffd00565fa1 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffd00569d33 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffd005842dd (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffd0058428d (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffd005696ad (__TEXT,__text) non-external __iodbcdm_transact
00007ffd400ba3b0 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffd400bb050 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffd400bb100 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffd400ba470 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffd400ba510 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffd400babb0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffd400babf0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffd400ba8c0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffd400bac40 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffd400bac60 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffd400bac80 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffd400ba970 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffd400bacb0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffd400bacd0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffd400ba380 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffd400ba390 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffd400ba890 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffd400bad00 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffd400bad50 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffd400bad70 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffd400bad80 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffd400badd0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffd400badf0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffd400bae70 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffd400bae80 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffd400baeb0 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffd400baed0 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffd400baf50 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffd400baf90 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffd400bafa0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffd400bafb0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffd400bafc0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffd400bafe0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffd400bb000 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffd400bb020 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffd400bb030 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffd400baf70 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffd400ba4c0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffd400baa00 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffd400ba9b0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffd400ba9e0 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffd400bb190 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffd400bb1b0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffd400bb270 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffd400baa20 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffd400ba8b0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffd400baa40 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffd400ba540 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffd400ba610 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffd400bb290 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffd400ba630 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffd400ba640 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffd400baa60 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffd400bb2b0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffd400bb2d0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffd400baad0 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffd400baaa0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffd400bb2f0 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
