00007ffa42edaee0 (__DATA,__data) non-external _.compoundliteral
00007ffa1835cf20 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffa1835c4f0 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffa182dc11c (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffa1833314c (__TEXT,__text) non-external _GetOpRegs
00007ffa18330bc4 (__TEXT,__text) non-external _GetOrAddBlock
00007ffa18336661 (__TEXT,__text) non-external _GetRegChunk
00007ffa1832f428 (__TEXT,__text) non-external _GetRegister
00007ffa18338681 (__TEXT,__text) non-external _GetRegisterIndicies
00007ffa18331f70 (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffa182dc16e (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffa1833a494 (__TEXT,__text) non-external _GetStreamArray
00007ffa182dc464 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffa182dc2d4 (__TEXT,__text) non-external _GrowAtomTable
00007ffa42edae00 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffa1832d1a9 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffa1832d149 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffa1832d2ae (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffa1832d3d5 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffa1832d3c4 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffa1832d08e (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffa1832d333 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffa1832d514 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffa1832d47e (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffa1832d685 (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffa1832d436 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffa182dc188 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffa182dc648 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffa182c36f1 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffa182def28 (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffa1832f9d5 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffa183302a8 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffa1832faa0 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffa18333248 (__TEXT,__text) non-external _IsBadUsage
00007ffa182c5038 (__TEXT,__text) non-external (was a private external) _Load
00007ffa182dbee0 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffa182dbf8f (__TEXT,__text) non-external _LookUpAddStringHash
00007ffa182e0dc9 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffa182e0e2e (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffa182de005 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffa182e1680 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffa182e0c2e (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffa182e0e78 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffa41d27d50 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffa41d279f0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffa41d27f70 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffa41d280b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffa41d27bb0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffa41d27cb0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffa41d281b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffa41d27d20 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffa181f3b2f (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffa181f38f6 (__TEXT,__text) external _PPParserAttachStream
00007ffa181f3779 (__TEXT,__text) external _PPParserAttachString
00007ffa181fc754 (__TEXT,__text) external _PPParserBuildErrorString
00007ffa181f367a (__TEXT,__text) external _PPParserCreate
00007ffa181f41ad (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffa181fb207 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffa181f3847 (__TEXT,__text) external _PPParserFree
00007ffa181f3ed6 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffa181fd5ed (__TEXT,__text) external _PPParserGetErrorString
00007ffa181fd604 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffa181f41ec (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffa181fd5a2 (__TEXT,__text) external _PPParserGetLimits
00007ffa181fd5e0 (__TEXT,__text) external _PPParserGetOptions
00007ffa181f3f8a (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffa181f4289 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffa181fd5fa (__TEXT,__text) external _PPParserGetStream
00007ffa181f2772 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffa181f279c (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffa181f2854 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffa181f27e4 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffa181fc85a (__TEXT,__text) non-external _PPParserInherit
00007ffa181f36f0 (__TEXT,__text) external _PPParserInit
00007ffa181fd6e2 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffa181f38be (__TEXT,__text) non-external _PPParserLabelsFree
00007ffa181f23f0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffa181f240f (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffa181f2574 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffa181f263a (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffa181f2503 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffa181f24d3 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffa181f25d3 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffa181fd68c (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffa181fb5ef (__TEXT,__text) external _PPParserParse
00007ffa181f4f9c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffa181f9159 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffa181fa460 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffa181fb052 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffa181f4a49 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffa181f7902 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffa181f8405 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffa181f494d (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffa181f92c7 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffa181f4b00 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffa181f9630 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffa181f8cb4 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffa181fd514 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffa181f4d03 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffa181f8ff6 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffa181fad68 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffa181fa508 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffa181fc9b0 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffa181f439f (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffa181f8548 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffa181f8b84 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffa181f586e (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffa181f7778 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffa181f4be6 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffa181f8e30 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffa181f99ff (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffa181fca6d (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffa181f9eac (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffa181f9d57 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffa181f5674 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffa181fa154 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffa181fc8d4 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffa181f2abd (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffa181f373b (__TEXT,__text) non-external (was a private external) _PPParserRemoveScope
00007ffa181f3f33 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffa181f4149 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffa181f3504 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffa181f2878 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffa181f3462 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffa181f3607 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffa181f3640 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffa181f354f (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffa181f358c (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveIdentifier
00007ffa181f35c9 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveMacro
00007ffa181fd5af (__TEXT,__text) external _PPParserSetLimits
00007ffa181fd595 (__TEXT,__text) external _PPParserSetPrefs
00007ffa181f36f6 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffa181f50f4 (__TEXT,__text) non-external _PPParserValidateName
00007ffa18325f63 (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffa1832609c (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffa183265a7 (__TEXT,__text) external _PPStreamAddConstant
00007ffa183264d1 (__TEXT,__text) external _PPStreamAddLabel
00007ffa183261d7 (__TEXT,__text) external _PPStreamAddOperation
00007ffa1832669c (__TEXT,__text) external _PPStreamAddOption
00007ffa18326105 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffa18325fca (__TEXT,__text) external _PPStreamAddParamBinding
00007ffa18326033 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffa18326633 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffa18325d00 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffa18325d69 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffa18325e91 (__TEXT,__text) external _PPStreamAddTempUsage
00007ffa18325efa (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffa1832616e (__TEXT,__text) external _PPStreamAddTexImage
00007ffa1832725e (__TEXT,__text) external _PPStreamAttachStream
00007ffa18325455 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffa18327a7f (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffa18325540 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffa18325e73 (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffa18325477 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffa1832574c (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffa18325a27 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffa18325ab8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffa18325604 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffa18325623 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffa18325781 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffa18325b0f (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffa18325935 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffa1832581a (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffa183257ba (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffa1832586b (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffa183258ad (__TEXT,__text) external _PPStreamChunkListSort
00007ffa18327927 (__TEXT,__text) external _PPStreamCompare
00007ffa18325c14 (__TEXT,__text) external _PPStreamCreate
00007ffa18325dd2 (__TEXT,__text) external _PPStreamFree
00007ffa18326702 (__TEXT,__text) external _PPStreamGetStream
00007ffa1832723c (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffa183263d3 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffa183262b5 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffa18325466 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffa18327b22 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffa18325444 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffa18326565 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffa183281bc (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffa183280a0 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffa181fed3d (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffa181ff9e8 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffa18327118 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffa18326a73 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffa181ffb93 (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffa181ffb12 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffa1832721d (__TEXT,__text) external _PPStreamTokenAlloc
00007ffa181fff10 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffa18200356 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffa18200116 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffa182002a0 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffa18327232 (__TEXT,__text) external _PPStreamTokenFree
00007ffa181fed11 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffa181fecc0 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffa1835adf0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffa1835aeb0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffa1835af80 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffa41d283b0 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffa18200449 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffa41d28860 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffa1835ca50 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffa1835ca60 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffa1835caa0 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffa1835ca70 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffa18330da1 (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffa18330d14 (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffa182e1733 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffa182e10e7 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffa1833a052 (__TEXT,__text) non-external _RecordFunctionCall
00007ffa182e0fb6 (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffa1832f8df (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffa1832f86f (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffa1832de43 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffa1832ddde (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffa183304a1 (__TEXT,__text) non-external (was a private external) _Registerify
00007ffa1832f4a4 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffa18330651 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffa18330454 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffa1832db44 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffa1832deab (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffa1832df26 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffa1833610b (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffa181fd658 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffa181fd752 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00007ffa182e10cd (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffa182e012a (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffa182e02c0 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffa182defac (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffa182e0441 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffa182c4f5f (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffa182d29d2 (__TEXT,__text) external _ShAttributeBindingRequest
00007ffa182d293d (__TEXT,__text) external _ShCleanup
00007ffa182d2384 (__TEXT,__text) external _ShCompile
00007ffa182d1fbf (__TEXT,__text) external _ShConstructCompiler
00007ffa182d2044 (__TEXT,__text) external _ShConstructLinker
00007ffa182d2105 (__TEXT,__text) external _ShDestruct
00007ffa182d2379 (__TEXT,__text) external _ShFinalize
00007ffa182d39a6 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffa182d318e (__TEXT,__text) external _ShGetActiveAttrib
00007ffa182d2e8a (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffa182d2e75 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffa182d2e46 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffa182d4b1c (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffa182d507d (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffa182d4fcd (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffa182d4ea8 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffa182d4947 (__TEXT,__text) external _ShGetActiveUniform
00007ffa182d41b7 (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffa182d3e70 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffa182d4413 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffa182d461c (__TEXT,__text) external _ShGetActiveUniformName
00007ffa182d32e9 (__TEXT,__text) external _ShGetAttribLocation
00007ffa182d3081 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffa182d50f2 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffa182d5107 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00007ffa182d3374 (__TEXT,__text) external _ShGetContextStateUniforms
00007ffa182d3b0b (__TEXT,__text) external _ShGetFragDataLocation
00007ffa182d2952 (__TEXT,__text) external _ShGetInfoLog
00007ffa182d511b (__TEXT,__text) external _ShGetInteger
00007ffa182d35fc (__TEXT,__text) external _ShGetLinkerPPStream
00007ffa182d4c2b (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00007ffa182d4c79 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00007ffa182d3d01 (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00007ffa182d4810 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00007ffa182d30e2 (__TEXT,__text) external _ShGetMaxAttributeLength
00007ffa182d38b6 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
