000000022e3cb1c8 (__DATA,__data) non-external _.compoundliteral
00000001e84f5b90 (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00000001e84a5810 (__TEXT,__text) non-external _CPPelse
00000001e84a648c (__TEXT,__text) non-external _CPPerror
00000001e84a66f4 (__TEXT,__text) non-external _CPPextension
00000001e84a5adc (__TEXT,__text) non-external _CPPif
00000001e84a5bdc (__TEXT,__text) non-external _CPPifdef
00000001e84a5d68 (__TEXT,__text) non-external _CPPinclude
00000001e84a6014 (__TEXT,__text) non-external _CPPline
00000001e84a61f8 (__TEXT,__text) non-external _CPPpragma
00000001e84a63d4 (__TEXT,__text) non-external _CPPundef
00000001e84a65a8 (__TEXT,__text) non-external _CPPversion
00000001e8501160 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00000001e84ff740 (__TEXT,__text) non-external _ClearDestedOpRegisters
00000001e8501118 (__TEXT,__text) non-external _ClearJumpTable
00000001e84ff6d8 (__TEXT,__text) non-external _ClearRegisterState
00000001e84fd9d4 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00000001e84f65e8 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00000001e84fdce8 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00000001e84f9f8c (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00000001e848d4d4 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00000001e84fb74c (__TEXT,__text) non-external _EmulateOp
00000001e84ff678 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00000001e84ff630 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00000001e84a4ad0 (__TEXT,__text) non-external _FindHashLoc
00000001e850148c (__TEXT,__text) non-external _FindMatchingAvailableCopy
00000001e848c184 (__TEXT,__text) non-external (was a private external) _FinishType
00000001e84f9148 (__TEXT,__text) non-external (was a private external) _FlattenIf
00000001e84f8fa0 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00000001e84a4a68 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00000001e84a4e1c (__TEXT,__text) non-external (was a private external) _FreeCPP
00000001e84a78f0 (__TEXT,__text) non-external (was a private external) _FreeScanner
00000001e83e05e8 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00000001e83e55cc (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
000000022bbfca30 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00000001e851e7fc (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
000000022fc42668 (__AUTH,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00000001e851e038 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
000000022bbfea70 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00000001e851e80c (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00000001e851dfe8 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00000001e84a46b0 (__TEXT,__text) non-external (was a private external) _GetAtomString
00000001e84fad48 (__TEXT,__text) non-external _GetOpRegs
00000001e84f8d30 (__TEXT,__text) non-external _GetOrAddBlock
00000001e84fdc74 (__TEXT,__text) non-external _GetRegChunk
00000001e84f7564 (__TEXT,__text) non-external _GetRegister
00000001e84ff580 (__TEXT,__text) non-external _GetRegisterIndicies
00000001e84f9e54 (__TEXT,__text) non-external _GetRegisterTypeInfo
00000001e84a4724 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00000001e8501410 (__TEXT,__text) non-external _GetStreamArray
00000001e84a4a54 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00000001e84a48a4 (__TEXT,__text) non-external _GrowAtomTable
000000022e3cb140 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00000001e84f53f4 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00000001e84f5378 (__TEXT,__text) non-external (was a private external) _HashSetFree
00000001e84f550c (__TEXT,__text) non-external (was a private external) _HashSetGet
00000001e84f566c (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00000001e84f5664 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00000001e84f52c4 (__TEXT,__text) non-external (was a private external) _HashSetNew
00000001e84f55b0 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00000001e84f57e8 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00000001e84f5740 (__TEXT,__text) non-external (was a private external) _HashTableFree
00000001e84f5944 (__TEXT,__text) non-external (was a private external) _HashTableGet
00000001e84f56e4 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00000001e84a474c (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000001e84a4c48 (__TEXT,__text) non-external (was a private external) _InitCPP
00000001e848c1d0 (__TEXT,__text) non-external (was a private external) _InitReg
00000001e84a789c (__TEXT,__text) non-external (was a private external) _InitScanner
00000001e84f7ad4 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00000001e84f8328 (__TEXT,__text) non-external (was a private external) _InstructionFree
00000001e84f7bbc (__TEXT,__text) non-external _InstructionInitSourcesTargets
00000001e84fae6c (__TEXT,__text) non-external _IsBadUsage
00000001e848d65c (__TEXT,__text) non-external (was a private external) _Load
00000001e84a4438 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00000001e84a4514 (__TEXT,__text) non-external _LookUpAddStringHash
00000001e84a9a7c (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000001e84a9af4 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000001e84a686c (__TEXT,__text) non-external (was a private external) _MacroExpand
00000001e84aa400 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000001e84a98d4 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000001e84a9b50 (__TEXT,__text) non-external (was a private external) _NewTokenStream
000000022bbfafd0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
000000022bbfac70 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
000000022bbfb1f0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
000000022bbfb330 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
000000022bbfae30 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
000000022bbfaf30 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
000000022bbfb430 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
000000022bbfafa0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001e83dc050 (__TEXT,__text) external _PPParserAttachLLVMIR
00000001e83dbdb4 (__TEXT,__text) external _PPParserAttachStream
00000001e83dbc04 (__TEXT,__text) external _PPParserAttachString
00000001e83e4600 (__TEXT,__text) external _PPParserBuildErrorString
00000001e83dbb18 (__TEXT,__text) external _PPParserCreate
00000001e83dc77c (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001e83e3380 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001e83dbcd8 (__TEXT,__text) external _PPParserFree
00000001e83dc458 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001e83e55b4 (__TEXT,__text) external _PPParserGetErrorString
00000001e83e55c4 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001e83dc7d0 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001e83e5590 (__TEXT,__text) external _PPParserGetLimits
00000001e83e55ac (__TEXT,__text) external _PPParserGetOptions
00000001e83dc564 (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001e83dc87c (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001e83e55bc (__TEXT,__text) external _PPParserGetStream
00000001e83da9c0 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001e83daa00 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001e83daac8 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001e83daa4c (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001e83e4700 (__TEXT,__text) non-external _PPParserInherit
00000001e83dbb8c (__TEXT,__text) external _PPParserInit
00000001e83e56dc (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001e83dbd54 (__TEXT,__text) non-external _PPParserLabelsFree
00000001e83da5e0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001e83da608 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001e83da788 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001e83da870 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001e83da714 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001e83da6d4 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001e83da804 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001e83e5670 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001e83e370c (__TEXT,__text) external _PPParserParse
00000001e83dd724 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001e83e136c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001e83e26d8 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001e83e31bc (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001e83dd194 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001e83dfbb0 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001e83e0628 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001e83dd054 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001e83e14e0 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001e83dd264 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001e83e1868 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001e83e0e3c (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001e83e54e8 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001e83dd4a4 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001e83e1218 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001e83e2f24 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001e83e27a0 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001e83e4858 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001e83dc994 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001e83e0768 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001e83e0d0c (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001e83de060 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001e83dfa2c (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001e83dd368 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001e83e0ff0 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001e83e1bf8 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001e83e4934 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001e83e20b4 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001e83e1f20 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001e83dde8c (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001e83e23c8 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001e83e474c (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001e83dad00 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001e83dc4e4 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001e83dc6f8 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001e83db978 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001e83dab08 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001e83db8d0 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001e83dba88 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001e83dbad0 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001e83db9d4 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001e83e5598 (__TEXT,__text) external _PPParserSetLimits
00000001e83e5588 (__TEXT,__text) external _PPParserSetPrefs
00000001e83dbb90 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001e83dd88c (__TEXT,__text) non-external _PPParserValidateName
00000001e84ee038 (__TEXT,__text) external _PPStreamAddAddressUsage
00000001e84ee1b8 (__TEXT,__text) external _PPStreamAddAttribBinding
00000001e84ee748 (__TEXT,__text) external _PPStreamAddConstant
00000001e84ee640 (__TEXT,__text) external _PPStreamAddLabel
00000001e84ee338 (__TEXT,__text) external _PPStreamAddOperation
00000001e84ee860 (__TEXT,__text) external _PPStreamAddOption
00000001e84ee238 (__TEXT,__text) external _PPStreamAddOutputBinding
00000001e84ee0b8 (__TEXT,__text) external _PPStreamAddParamBinding
00000001e84ee138 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001e84ee7e0 (__TEXT,__text) external _PPStreamAddRasterOp
00000001e84edd60 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001e84edddc (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001e84edf38 (__TEXT,__text) external _PPStreamAddTempUsage
00000001e84edfb8 (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001e84ee2b8 (__TEXT,__text) external _PPStreamAddTexImage
00000001e84ef314 (__TEXT,__text) external _PPStreamAttachStream
00000001e84ed350 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001e84efb78 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001e84ed470 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001e84edf10 (__TEXT,__text) non-external _PPStreamChunkCreate
00000001e84ed378 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001e84ed6e8 (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001e84eda34 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001e84edaec (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001e84ed56c (__TEXT,__text) external _PPStreamChunkListCreate
00000001e84ed594 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001e84ed720 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001e84edb54 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001e84ed93c (__TEXT,__text) external _PPStreamChunkListGetStream
00000001e84ed7ec (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001e84ed780 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001e84ed848 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001e84ed8a4 (__TEXT,__text) external _PPStreamChunkListSort
00000001e84efa4c (__TEXT,__text) external _PPStreamCompare
00000001e84edc84 (__TEXT,__text) external _PPStreamCreate
00000001e84ede64 (__TEXT,__text) external _PPStreamFree
00000001e84ee8dc (__TEXT,__text) external _PPStreamGetStream
00000001e84ef2e4 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001e84ee53c (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001e84ee420 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001e84ed364 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001e84efc34 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001e84ed33c (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001e84ee6f0 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001e84f0280 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001e84f0160 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001e83e68a4 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001e83e7468 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001e84ef1d8 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001e84eec28 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001e83e75f0 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001e83e7558 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001e84ef2c0 (__TEXT,__text) external _PPStreamTokenAlloc
00000001e83e7938 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001e83e7d28 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001e83e7b78 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001e83e7c6c (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001e84ef2e0 (__TEXT,__text) external _PPStreamTokenFree
00000001e83e6864 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001e83e6800 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001e851d168 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001e851d228 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001e851d2f8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
000000022bbfb7f8 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001e83e7df4 (__TEXT,__text) external _PPStreamTokenValidateOptions
000000022bbfc530 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001e851e364 (__TEXT,__const) non-external _PROMOTIONS_110
00000001e851e368 (__TEXT,__const) non-external _PROMOTIONS_120
00000001e851e3a0 (__TEXT,__const) non-external _PROMOTIONS_400
00000001e851e378 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001e84f8f50 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001e84f8ec8 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001e84aa4bc (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001e84a9e14 (__TEXT,__text) non-external (was a private external) _ReadToken
00000001e8500e9c (__TEXT,__text) non-external _RecordFunctionCall
00000001e84a9ca0 (__TEXT,__text) non-external (was a private external) _RecordToken
00000001e84f79e4 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001e84f7924 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001e84f61ac (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001e84f6120 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001e84f8574 (__TEXT,__text) non-external (was a private external) _Registerify
00000001e84f7610 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001e84f8710 (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001e84f8514 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001e84f5e7c (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001e84f6214 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001e84f62a4 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001e84fd6d0 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001e83e562c (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001e83e5760 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00000001e84a9e00 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001e84a8bbc (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001e84a8dc0 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001e84a794c (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001e84a8fb8 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001e848d580 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001e849aaf8 (__TEXT,__text) external _ShAttributeBindingRequest
00000001e849aa48 (__TEXT,__text) external _ShCleanup
00000001e849a4b0 (__TEXT,__text) external _ShCompile
00000001e849a0dc (__TEXT,__text) external _ShConstructCompiler
00000001e849a168 (__TEXT,__text) external _ShConstructLinker
00000001e849a228 (__TEXT,__text) external _ShDestruct
00000001e849a4a8 (__TEXT,__text) external _ShFinalize
00000001e849bb68 (__TEXT,__text) external _ShFragDataBindingRequest
00000001e849b2f0 (__TEXT,__text) external _ShGetActiveAttrib
00000001e849afbc (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001e849afa4 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001e849af68 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001e849cb98 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001e849d158 (__TEXT,__text) external _ShGetActiveSubroutineName
00000001e849d0b0 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001e849cf58 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001e849c9fc (__TEXT,__text) external _ShGetActiveUniform
00000001e849c2e0 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001e849c04c (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001e849c508 (__TEXT,__text) external _ShGetActiveUniformIndex
00000001e849c748 (__TEXT,__text) external _ShGetActiveUniformName
00000001e849b470 (__TEXT,__text) external _ShGetAttribLocation
00000001e849b1f4 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001e849d1fc (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001e849d214 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001e849b520 (__TEXT,__text) external _ShGetContextStateUniforms
00000001e849bcfc (__TEXT,__text) external _ShGetFragDataLocation
00000001e849aa58 (__TEXT,__text) external _ShGetInfoLog
00000001e849d22c (__TEXT,__text) external _ShGetInteger
00000001e849b7ec (__TEXT,__text) external _ShGetLinkerPPStream
00000001e849cc90 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001e849ccf4 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001e849bf0c (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001e849c910 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001e849b26c (__TEXT,__text) external _ShGetMaxAttributeLength
00000001e849ba60 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001e849ac88 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001e849c484 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001e849cc80 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001e849cbfc (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00000001e849cbd8 (__TEXT,__text) external _ShGetNumActiveSubroutines
00000001e849be58 (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00000001e849c834 (__TEXT,__text) external _ShGetNumActiveUniforms
00000001e849bb58 (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00000001e849af80 (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00000001e849b7cc (__TEXT,__text) external _ShGetPPStreamManager
