
/System/Cryptexes/OS/usr/lib/system/libsystem_kernel.dylib (for architecture x86_64):
000000000003f1c0 (__DATA,__data) external _NDR_record
000000000000b9a8 (__TEXT,__text) external ___nexus_open
000000000000b9c0 (__TEXT,__text) external ___nexus_register
000000000000b9d8 (__TEXT,__text) external ___nexus_set_opt
00000000000015d4 (__TEXT,__text) external ___open
0000000000005580 (__TEXT,__text) external ___open_dprotected_np
000000000000ada0 (__TEXT,__text) external ___open_extended
0000000000001888 (__TEXT,__text) external ___open_nocancel
0000000000002264 (__TEXT,__text) external ___openat
000000000000b9f0 (__TEXT,__text) external ___openat_dprotected_np
0000000000005640 (__TEXT,__text) external ___openat_nocancel
000000000003f238 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000000017343 (__TEXT,__text) external ___os_nexus_flow_add
00000000000173ac (__TEXT,__text) external ___os_nexus_flow_del
00000000000174ce (__TEXT,__text) external ___os_nexus_get_llink_info
00000000000171c8 (__TEXT,__text) external ___os_nexus_ifattach
00000000000172ae (__TEXT,__text) external ___os_nexus_ifdetach
0000000000003ee8 (__TEXT,__text) external ___persona
0000000000005dfc (__TEXT,__text) external ___pipe
000000000000ba08 (__TEXT,__text) external ___poll_nocancel
00000000000069bc (__TEXT,__text) external ___posix_spawn
000000000000ba20 (__TEXT,__text) external ___pread_nocancel
000000000000ba38 (__TEXT,__text) external ___preadv_nocancel
0000000000001e9c (__TEXT,__text) external ___proc_info
000000000000ba50 (__TEXT,__text) external ___proc_info_extended_id
000000000000703c (__TEXT,__text) external ___process_policy
0000000000005c34 (__TEXT,__text) external ___pselect
000000000000ba68 (__TEXT,__text) external ___pselect_nocancel
00000000000039b8 (__TEXT,__text) external ___psynch_cvbroad
0000000000003e88 (__TEXT,__text) external ___psynch_cvclrprepost
0000000000004a84 (__TEXT,__text) external ___psynch_cvsignal
00000000000039a0 (__TEXT,__text) external ___psynch_cvwait
0000000000003258 (__TEXT,__text) external ___psynch_mutexdrop
0000000000003124 (__TEXT,__text) external ___psynch_mutexwait
000000000000ba80 (__TEXT,__text) external ___psynch_rw_downgrade
000000000000ba98 (__TEXT,__text) external ___psynch_rw_longrdlock
000000000000511c (__TEXT,__text) external ___psynch_rw_rdlock
0000000000005104 (__TEXT,__text) external ___psynch_rw_unlock
000000000000bab0 (__TEXT,__text) external ___psynch_rw_unlock2
000000000000bac8 (__TEXT,__text) external ___psynch_rw_upgrade
00000000000050ec (__TEXT,__text) external ___psynch_rw_wrlock
000000000000bae0 (__TEXT,__text) external ___psynch_rw_yieldwrlock
000000000000ab14 (__TEXT,__text) external ___pthread_canceled
00000000000066b4 (__TEXT,__text) external ___pthread_chdir
000000000000669c (__TEXT,__text) external ___pthread_fchdir
0000000000007b48 (__TEXT,__text) external ___pthread_kill
000000000000baf8 (__TEXT,__text) external ___pthread_markcancel
0000000000006c00 (__TEXT,__text) external ___pthread_sigmask
0000000000007f44 (__TEXT,__text) external ___ptrace
000000000000bb10 (__TEXT,__text) external ___pwrite_nocancel
000000000000bb28 (__TEXT,__text) external ___pwritev_nocancel
00000000000026fc (__TEXT,__text) external ___read_nocancel
000000000000bb40 (__TEXT,__text) external ___readv_nocancel
000000000000bb58 (__TEXT,__text) external ___reboot
000000000000bb70 (__TEXT,__text) external ___record_system_event
0000000000004518 (__TEXT,__text) external ___recvfrom
00000000000043e8 (__TEXT,__text) external ___recvfrom_nocancel
0000000000004838 (__TEXT,__text) external ___recvmsg
000000000000bb88 (__TEXT,__text) external ___recvmsg_nocancel
0000000000040050 (__DATA_DIRTY,__bss) non-external ___remove_counter
0000000000003c3c (__TEXT,__text) external ___rename
000000000000bba0 (__TEXT,__text) external ___renameat
000000000000bbb8 (__TEXT,__text) external ___renameatx_np
0000000000003c74 (__TEXT,__text) external ___rmdir
000000000000b6d8 (__TEXT,__text) external ___sandbox_me
000000000000b798 (__TEXT,__text) external ___sandbox_mm
0000000000002348 (__TEXT,__text) external ___sandbox_ms
0000000000007b78 (__TEXT,__text) external ___sandbox_msp
0000000000009cc8 (__TEXT,__text) external ___select
00000000000043d0 (__TEXT,__text) external ___select_nocancel
000000000000893c (__TEXT,__text) external ___sem_open
000000000000bbd0 (__TEXT,__text) external ___sem_wait_nocancel
000000000000bbe8 (__TEXT,__text) external ___semctl
000000000000bc00 (__TEXT,__text) external ___semsys
000000000000386c (__TEXT,__text) external ___semwait_signal
0000000000006c18 (__TEXT,__text) external ___semwait_signal_nocancel
0000000000005658 (__TEXT,__text) external ___sendmsg
0000000000004418 (__TEXT,__text) external ___sendmsg_nocancel
0000000000004500 (__TEXT,__text) external ___sendto
0000000000004388 (__TEXT,__text) external ___sendto_nocancel
0000000000003958 (__TEXT,__text) external ___setattrlist
000000000000a8a0 (__TEXT,__text) external ___setlogin
0000000000007704 (__TEXT,__text) external ___setpriority
000000000000bc18 (__TEXT,__text) external ___setregid
000000000000bc30 (__TEXT,__text) external ___setreuid
0000000000003148 (__TEXT,__text) external ___setrlimit
000000000000bc48 (__TEXT,__text) external ___setsgroups
000000000000876c (__TEXT,__text) external ___settid
000000000000bc60 (__TEXT,__text) external ___settid_with_pid
000000000000bc78 (__TEXT,__text) external ___settimeofday
000000000000bc90 (__TEXT,__text) external ___setwgroups
0000000000008994 (__TEXT,__text) external ___sfi_ctl
000000000000bca8 (__TEXT,__text) external ___sfi_pidctl
000000000000bcc0 (__TEXT,__text) external ___shared_region_check_np
000000000000bcd8 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000000002234 (__TEXT,__text) external ___shm_open
000000000000bcf0 (__TEXT,__text) external ___shmctl
000000000000bd08 (__TEXT,__text) external ___shmsys
0000000000005e48 (__TEXT,__text) external ___sigaction
0000000000003910 (__TEXT,__text) external ___sigaltstack
000000000000a48c (__TEXT,__text) external ___sigreturn
000000000000bd20 (__TEXT,__text) external ___sigsuspend
0000000000006c40 (__TEXT,__text) external ___sigsuspend_nocancel
000000000000a4bc (__TEXT,__text) external ___sigwait
0000000000004400 (__TEXT,__text) external ___socketpair
000000000000bd38 (__TEXT,__text) external ___stack_snapshot_with_config
0000000000005468 (__TEXT,__text) external ___stat64_extended
000000000000bd50 (__TEXT,__text) external ___stat_extended
0000000000002a64 (__TEXT,__text) external ___syscall
000000000003f290 (__DATA,__common) external ___syscall_logger
0000000000002180 (__TEXT,__text) external ___sysctl
00000000000022ec (__TEXT,__text) external ___sysctlbyname
000000000000bd68 (__TEXT,__text) external ___telemetry
00000000000095a0 (__TEXT,__text) external ___terminate_with_payload
00000000000025b0 (__TEXT,__text) external ___thread_selfid
000000000000bd80 (__TEXT,__text) external ___thread_selfusage
00000000000025c8 (__TEXT,__text) external ___ulock_wait
000000000000bd98 (__TEXT,__text) external ___ulock_wait2
000000000000264c (__TEXT,__text) external ___ulock_wake
000000000000bdb0 (__TEXT,__text) external ___umask_extended
0000000000003f18 (__TEXT,__text) external ___unlink
0000000000008c40 (__TEXT,__text) external ___unlinkat
000000000000bdc8 (__TEXT,__text) external ___vfork
0000000000006bb4 (__TEXT,__text) external ___wait4
000000000000ad88 (__TEXT,__text) external ___wait4_nocancel
000000000000be20 (__TEXT,__text) external ___waitid_nocancel
00000000000080a8 (__TEXT,__text) external ___work_interval_ctl
0000000000002538 (__TEXT,__text) external ___workq_kernreturn
0000000000002550 (__TEXT,__text) external ___workq_open
0000000000003ea0 (__TEXT,__text) external ___write_nocancel
000000000000be38 (__TEXT,__text) external ___writev_nocancel
000000000003f288 (__DATA,__common) external __cpu_capabilities
000000000003f284 (__DATA,__common) external __cpu_has_altivec
0000000000040000 (__DATA_DIRTY,__data) non-external (was a private external) __current_pid
0000000000040028 (__DATA_DIRTY,__bss) non-external __dlsym
0000000000000eb8 (__TEXT,__text) external __exclaves_ctl_trap
000000000000d766 (__TEXT,__text) non-external __execve_with_filter
0000000000006c58 (__TEXT,__text) external __exit
00000000000058c8 (__TEXT,__text) external __get_cpu_capabilities
000000000003f220 (__DATA,__bss) non-external __gethostuuid_callback
0000000000011222 (__TEXT,__text) external __getprivatesystemidentifier
000000000001bf58 (__TEXT,__text) external __host_page_size
00000000000058b5 (__TEXT,__text) external __init_cpu_capabilities
000000000001ccd0 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
000000000001dd3a (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000000001e7e4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
000000000001dc53 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000000001e6a8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000000000ca8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
000000000001fe6d (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
000000000001f242 (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000000000cfc (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
000000000001df3c (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000000000cb4 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
000000000001de59 (__TEXT,__text) external __kernelrpc_mach_port_destroy
000000000001f37c (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000000000d08 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
000000000001ecd9 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
000000000001f026 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000000000cf0 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00000000000090a5 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000000000098e6 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000000000db0 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
000000000000516d (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000000003747 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
000000000001fd12 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
000000000000a9d8 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000000001ea23 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
000000000001f467 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000000000dbc (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
000000000001f85c (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
000000000001ef3f (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000000000ce4 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000000001e4c3 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000000000cd8 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
000000000001fbed (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
000000000001ee0c (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000000001f10d (__TEXT,__text) external __kernelrpc_mach_port_kobject
000000000001fa32 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
000000000001e022 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000000000cc0 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000000001e3db (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000000000ccc (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000000001da1a (__TEXT,__text) external __kernelrpc_mach_port_names
000000000001e10d (__TEXT,__text) external __kernelrpc_mach_port_peek
000000000001db6c (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000000003f46 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000000000eac (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000000002f05 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
000000000000a8ea (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000000001e2f1 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000000001e5bf (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
000000000001f639 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000000001eb42 (__TEXT,__text) external __kernelrpc_mach_port_space_info
000000000001f73d (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
000000000001f947 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000000008149 (__TEXT,__text) external __kernelrpc_mach_port_type
0000000000000ea0 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
000000000001f552 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000000000dc8 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000000000236f2 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00000000000235f8 (__TEXT,__text) external __kernelrpc_mach_ports_register3
00000000000266de (__TEXT,__text) external __kernelrpc_mach_task_is_self
000000000001ffa0 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000000000c60 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000000000200cc (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000000000c78 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000000001eb2 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000000000c9c (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00000000000201b3 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000000000c90 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000000020e53 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000000000c6c (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
000000000002038d (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000000020a4e (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000000021286 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
000000000002a2be (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000000001e940 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000000004f4a (__TEXT,__text) external __kernelrpc_thread_policy
0000000000005cbd (__TEXT,__text) external __kernelrpc_thread_policy_set
000000000002858e (__TEXT,__text) external __kernelrpc_thread_set_policy
000000000000abc3 (__TEXT,__text) external __kernelrpc_vm_map
00000000000298a0 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000000000087fe (__TEXT,__text) external __kernelrpc_vm_read
0000000000002bbf (__TEXT,__text) external __kernelrpc_vm_remap
00000000000299c9 (__TEXT,__text) external __kernelrpc_vm_remap_new
000000000000cba2 (__TEXT,__text) non-external __libkernel_bzero
0000000000040020 (__DATA_DIRTY,__bss) non-external __libkernel_functions
000000000003c000 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
000000000000cc2b (__TEXT,__text) non-external __libkernel_memmove
000000000000cbac (__TEXT,__text) non-external __libkernel_memset
000000000000cb81 (__TEXT,__text) non-external __libkernel_strchr
00000000000058d7 (__TEXT,__text) non-external __libkernel_strcmp
000000000000cfc1 (__TEXT,__text) non-external __libkernel_strcpy
0000000000040010 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
000000000000d8b8 (__TEXT,__text) non-external __libkernel_strlcpy
000000000000c9bb (__TEXT,__text) non-external __libkernel_strlen
0000000000040018 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
000000000002a950 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
000000000000ec3a (__TEXT,__text) non-external __mach_continuous_time
000000000003d9e0 (__DATA_CONST,__const) external __mach_errors
000000000000f0f8 (__TEXT,__text) external __mach_fork_child
000000000000fc9c (__TEXT,__text) external __mach_snprintf
000000000000fb09 (__TEXT,__text) external __mach_vsnprintf
00000000000400b0 (__DATA_DIRTY,__common) external __os_alloc_once_table
000000000003f274 (__DATA,__common) external __os_xbs_chrooted
000000000000623c (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000000000cfe9 (__TEXT,__text) non-external __posix_spawn_with_filter
0000000000011227 (__TEXT,__text) external __register_gethostuuid_callback
000000000000cd74 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
000000000000cdf0 (__TEXT,__text) non-external __system_version_compat_open_shim
0000000000040038 (__DATA_DIRTY,__bss) non-external __task_reply_port
000000000000c9a0 (__TEXT,__text) external __thread_set_tsd_base
000000000002a81b (__TEXT,__text) non-external _abort
000000000002a81b (__TEXT,__text) non-external _abort.561
000000000002a81b (__TEXT,__text) non-external _abort.563
000000000002a81b (__TEXT,__text) non-external _abort.586
000000000002a8cb (__TEXT,__text) external _abort_with_payload
000000000002a850 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000000002a83d (__TEXT,__text) external _abort_with_reason
0000000000007bdc (__TEXT,__text) external _accept
000000000000b450 (__TEXT,__text) external _accept$NOCANCEL
00000000000015bc (__TEXT,__text) external _access
000000000000b468 (__TEXT,__text) external _accessx_np
000000000000be50 (__TEXT,__text) external _acct
00000000000273f8 (__TEXT,__text) external _act_get_state
00000000000275ce (__TEXT,__text) external _act_set_state
000000000000be68 (__TEXT,__text) external _adjtime
000000000000be80 (__TEXT,__text) external _aio_cancel
000000000000be98 (__TEXT,__text) external _aio_error
000000000000beb0 (__TEXT,__text) external _aio_fsync
000000000000bec8 (__TEXT,__text) external _aio_read
000000000000bee0 (__TEXT,__text) external _aio_return
000000000000bef8 (__TEXT,__text) external _aio_suspend
000000000000b480 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000000000bf10 (__TEXT,__text) external _aio_write
000000000000bf28 (__TEXT,__text) external _audit
000000000000a4a4 (__TEXT,__text) external _audit_session_join
000000000000a33c (__TEXT,__text) external _audit_session_port
000000000000410c (__TEXT,__text) external _audit_session_self
000000000000bf40 (__TEXT,__text) external _auditctl
000000000000896c (__TEXT,__text) external _auditon
00000000000070d0 (__TEXT,__text) external _bind
000000000004006c (__DATA_DIRTY,__common) external _bootstrap_port
000000000000227b (__TEXT,__text) external _cerror
0000000000001562 (__TEXT,__text) external _cerror_nocancel
0000000000004094 (__TEXT,__text) external _change_fdguard_np
0000000000002360 (__TEXT,__text) external _chdir
0000000000007694 (__TEXT,__text) external _chflags
0000000000003c8a (__TEXT,__text) external _chmod
00000000000070b8 (__TEXT,__text) external _chown
000000000000bf58 (__TEXT,__text) external _chroot
0000000000019545 (__TEXT,__text) external _clock_alarm
000000000001935b (__TEXT,__text) external _clock_alarm_reply
00000000000193c1 (__TEXT,__text) external _clock_get_attributes
00000000000052f6 (__TEXT,__text) external _clock_get_time
0000000000019235 (__TEXT,__text) external _clock_set_attributes
0000000000019152 (__TEXT,__text) external _clock_set_time
000000000000ab2a (__TEXT,__text) external _clock_sleep
0000000000000e7c (__TEXT,__text) external _clock_sleep_trap
0000000000008f46 (__TEXT,__text) external _clonefile
0000000000004cdc (__TEXT,__text) external _clonefileat
0000000000001858 (__TEXT,__text) external _close
000000000000224c (__TEXT,__text) external _close$NOCANCEL
0000000000015fd4 (__TEXT,__text) external _coalition_create
0000000000016051 (__TEXT,__text) external _coalition_info_debug_info
0000000000016025 (__TEXT,__text) external _coalition_info_resource_usage
00000000000160a9 (__TEXT,__text) external _coalition_info_set_efficiency
000000000001607d (__TEXT,__text) external _coalition_info_set_name
00000000000160dd (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
000000000000bf70 (__TEXT,__text) external _coalition_policy_get
000000000000bf88 (__TEXT,__text) external _coalition_policy_set
0000000000016004 (__TEXT,__text) external _coalition_reap
0000000000015fe3 (__TEXT,__text) external _coalition_terminate
00000000000044e8 (__TEXT,__text) external _connect
0000000000004370 (__TEXT,__text) external _connect$NOCANCEL
0000000000004530 (__TEXT,__text) external _connectx
000000000000245c (__TEXT,__text) external _csops
000000000000154c (__TEXT,__text) external _csops_audittoken
0000000000001603 (__TEXT,__text) external _csr_check
0000000000007f2f (__TEXT,__text) external _csr_get_active_config
0000000000000f18 (__TEXT,__text) external _debug_control_port_for_pid
0000000000016289 (__TEXT,__text) external _debug_syscall_reject
000000000001619d (__TEXT,__text) external _debug_syscall_reject_config
000000000003f1b8 (__DATA,__data) external _denap_boost_assertion_token
000000000000bfa0 (__TEXT,__text) external _disconnectx
00000000000060e7 (__TEXT,__text) non-external _do_compat
0000000000004590 (__TEXT,__text) external _dup
0000000000007c78 (__TEXT,__text) external _dup2
000000000003ce40 (__DATA_CONST,__const) non-external _err_codes_auth
000000000003ccd0 (__DATA_CONST,__const) non-external _err_codes_env_mgr
000000000003d040 (__DATA_CONST,__const) non-external _err_codes_exception
000000000003cd10 (__DATA_CONST,__const) non-external _err_codes_execd
