00000001d920b008 (__DATA,__data) non-external _C
00000001802d2bd8 (__TEXT,__text) external ___bt_setcur
00000001802d2e54 (__TEXT,__text) external ___bt_split
00000001802d046c (__TEXT,__text) external ___bt_sync
00000001802d655c (__TEXT,__text) external ___buf_free
00000001802d652c (__TEXT,__text) non-external (was a private external) ___buf_init
00000001db73a748 (__DATA_DIRTY,__data) non-external ___c_locale
0000000180301934 (__TEXT,__text) non-external ___calc_left_pad
00000001802d4fec (__TEXT,__text) external ___call_hash
00000001d920b4b8 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180304968 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180304984 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00000001802bd08c (__TEXT,__text) non-external (was a private external) ___chk_init
0000000180292718 (__TEXT,__text) non-external (was a private external) ___chk_overlap
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00000001db73cce8 (__DATA_DIRTY,__common) external ___cleanup
000000018029ea6c (__TEXT,__text) external ___cmp_D2A
00000001802e33a4 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00000001802e3564 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00000001802e36dc (__TEXT,__text) external ___collate_equiv_match
00000001802aa764 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00000001802e2b44 (__TEXT,__text) non-external (was a private external) ___collate_err
00000001d920b118 (__DATA,__data) external ___collate_load_error
00000001802b13dc (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00000001d920caa0 (__DATA,__bss) non-external ___collate_load_tables.cache
00000001802e2eb8 (__TEXT,__text) external ___collate_lookup
00000001802e2c00 (__TEXT,__text) external ___collate_lookup_l
00000001802e3088 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00000001802e2f94 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00000001802e39f4 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00000001d920caa8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00000001d920cab0 (__DATA,__bss) non-external ___collate_range_cmp.s2
00000001802e2900 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00000001802e2af0 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00000001802e3168 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00000001802af2a8 (__TEXT,__text) non-external (was a private external) ___confstr_init
00000001802a280c (__TEXT,__text) external ___copybits_D2A
00000001802c5298 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00000001802c4ce4 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00000001d920c180 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00000001d920cfd8 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00000001802fb318 (__TEXT,__text) non-external ___cvt
00000001d920cf98 (__DATA,__bss) non-external ___cvt.s
0000000180292f44 (__TEXT,__text) external ___cxa_atexit
00000001802b7e44 (__TEXT,__text) external ___cxa_finalize
00000001802b7e8c (__TEXT,__text) external ___cxa_finalize_ranges
00000001802f7e0c (__TEXT,__text) external ___cxa_thread_atexit
000000018029d5c4 (__TEXT,__text) external ___d2b_D2A
00000001db73cca0 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00000001802d4294 (__TEXT,__text) non-external ___dberr
00000001802d4274 (__TEXT,__text) external ___dbpanic
00000001802db290 (__TEXT,__text) external ___decrement_D2A
00000001dbc49358 (__AUTH,__data) external ___default_hash
00000001802ffc40 (__TEXT,__text) external ___default_utx
00000001d920b468 (__DATA,__data) non-external ___default_utx.once
00000001802ffc78 (__TEXT,__text) non-external ___default_utx_init
00000001802d676c (__TEXT,__text) external ___delpair
00000001802b1334 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
000000018029e908 (__TEXT,__text) external ___diff_D2A
00000001db73b3d0 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
000000018029c728 (__TEXT,__text) external ___dtoa
00000001802ffe04 (__TEXT,__text) non-external (was a private external) ___endutxent
00000001db73ccf8 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00000001802f7e70 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00000001d920cf30 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00000001802bd684 (__TEXT,__text) non-external (was a private external) ___errstr
00000001802a3f74 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00000001802d4e88 (__TEXT,__text) external ___expand_table
00000001d920cd38 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
000000018029f99c (__TEXT,__text) external ___fflush
00000001802ea4a8 (__TEXT,__text) external ___fgetwc
00000001802ebd18 (__TEXT,__text) non-external (was a private external) ___find_arguments
00000001802d5928 (__TEXT,__text) external ___find_bigpair
00000001802d5a58 (__TEXT,__text) external ___find_last_page
00000001802ecf44 (__TEXT,__text) non-external (was a private external) ___find_warguments
000000018028e214 (__TEXT,__text) non-external (was a private external) ___findenv_locked
0000000180308580 (__TEXT,__const) non-external (was a private external) ___fivesbits_D2A
00000001802b2ee8 (__TEXT,__text) external ___fix_locale_grouping_str
00000001802e3f54 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
00000001802eab84 (__TEXT,__text) non-external (was a private external) ___fputwc
0000000180299c64 (__TEXT,__text) external ___fread
00000001802d7c6c (__TEXT,__text) external ___free_ovflpage
000000018029d96c (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
00000001d920b4bc (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
000000018029f160 (__TEXT,__text) non-external ___fts_open
00000001802d9f08 (__TEXT,__text) external ___gdtoa
00000001d920cfe8 (__DATA,__common) external ___gdtoa_locks
00000001802d618c (__TEXT,__text) external ___get_buf
00000001802e45b0 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
0000000180291b38 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
0000000180291b58 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00000001802afaf8 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00000001802ba1dc (__TEXT,__text) non-external (was a private external) ___get_locale_env
00000001802d76d4 (__TEXT,__text) external ___get_page
00000001802b8830 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00000001db73cc38 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
00000001802c250c (__TEXT,__text) external ___gethex_D2A
                 (undefined) external ___getlogin (from libsystem_kernel)
00000001802e45d0 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001802fff14 (__TEXT,__text) non-external (was a private external) ___getutxent
000000018030034c (__TEXT,__text) non-external ___getutxid
00000001802bc0f4 (__TEXT,__text) non-external (was a private external) ___gl_compare
00000001802bbbdc (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00000001802bbee0 (__TEXT,__text) non-external (was a private external) ___gl_globextend
00000001802bb388 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00000001802bbcd4 (__TEXT,__text) non-external (was a private external) ___gl_match
00000001802bae3c (__TEXT,__text) non-external ___glob
00000001db73a178 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00000001802af3ac (__TEXT,__text) non-external (was a private external) ___guard_setup
00000001802d429c (__TEXT,__text) external ___hash_open
00000001802c20d8 (__TEXT,__text) external ___hdtoa
000000018029b044 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00000001803082c8 (__TEXT,__const) external ___hexdig_D2A
00000001802db0c8 (__TEXT,__text) external ___hexdig_init_D2A
00000001802db0cc (__TEXT,__text) external ___hexnan_D2A
00000001802a0974 (__TEXT,__text) external ___hi0bits_D2A
00000001802d9eec (__TEXT,__text) external ___hldtoa
000000018029e57c (__TEXT,__text) external ___i2b_D2A
00000001802d7bac (__TEXT,__text) external ___ibitmap
00000001802e9260 (__TEXT,__text) non-external ___inaddr_to_index
0000000180305d8c (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00000001802a3730 (__TEXT,__text) external ___increment_D2A
00000001802fa668 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00000001802e4e38 (__TEXT,__text) external ___isctype
00000001802e4df8 (__TEXT,__text) external ___istype
00000001802e4f0c (__TEXT,__text) external ___istype_l
00000001db73ad50 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00000001802e45a0 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00000001802fb798 (__TEXT,__text) external ___ldtoa
00000001802cf018 (__TEXT,__text) external ___libc_init
000000018029d7e4 (__TEXT,__text) external ___lo0bits_D2A
00000001802a3fbc (__TEXT,__text) non-external ___loadevp
00000001db73a740 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00000001802d673c (__TEXT,__text) external ___log2
00000001d920d008 (__DATA,__common) non-external (was a private external) ___logname
00000001d920b058 (__DATA,__data) non-external (was a private external) ___logname_mutex
00000001803091c0 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
000000018029e7fc (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
00000001802a4790 (__TEXT,__text) external ___maskrune
00000001802e4ea4 (__TEXT,__text) external ___maskrune_l
00000001802db24c (__TEXT,__text) external ___match_D2A
00000001d920b184 (__DATA,__data) external ___mb_cur_max
00000001d920b188 (__DATA,__data) external ___mb_sb_limit
00000001802f1e34 (__TEXT,__text) non-external ___mbsconv
00000001802e4744 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00000001803049a0 (__TEXT,__text) external ___memccpy_chk
0000000180292930 (__TEXT,__text) external ___memcpy_chk
000000018029338c (__TEXT,__text) external ___memmove_chk
000000018029bd8c (__TEXT,__text) external ___memset_chk
00000001802b3474 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00000001d920cab8 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00000001802b27ec (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00000001d920cac8 (__DATA,__bss) non-external ___monetary_load_locale.cache
000000018029e6c4 (__TEXT,__text) external ___mult_D2A
000000018029e4c4 (__TEXT,__text) external ___multadd_D2A
00000001802ea238 (__TEXT,__text) non-external ___nls_free_resources
0000000180308c15 (__TEXT,__const) non-external ___nogrouping
00000001802a091c (__TEXT,__text) external ___nrv_alloc_D2A
00000001802cbd70 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00000001802b2fb0 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00000001d920cad8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00000001802b1a74 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00000001802decc8 (__TEXT,__text) external ___opendir2
00000001802933b4 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00000001802d1f00 (__TEXT,__text) external ___ovfl_delete
00000001802d1d18 (__TEXT,__text) external ___ovfl_get
00000001802d1e00 (__TEXT,__text) external ___ovfl_put
00000001802a07f4 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00000001db73cc48 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00000001db73cc40 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00000001db73b1d0 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00000001802b2c9c (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00000001d920d010 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00000001d920b098 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
000000018029e5ac (__TEXT,__text) external ___pow5mult_D2A
00000001803083d0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00000001802fee24 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180306760 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00000001802fdc64 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180306584 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00000001802fdda4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00000001803065b0 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00000001802fe7fc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180306608 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00000001802bf6ac (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180306634 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00000001802ff4f4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00000001803067e4 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00000001802ff4dc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00000001802fea70 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00000001803066dc (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00000001802feb3c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180306708 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00000001802bf66c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180306734 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00000001802fefd0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
000000018030678c (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00000001802ff2dc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00000001803067b8 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00000001802bee5c (__TEXT,__text) non-external (was a private external) ___printf_comp
00000001802bf744 (__TEXT,__text) non-external (was a private external) ___printf_exec
00000001802c057c (__TEXT,__text) non-external (was a private external) ___printf_flush
00000001802ee98c (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00000001802bfdf8 (__TEXT,__text) non-external (was a private external) ___printf_out
00000001802ff438 (__TEXT,__text) non-external (was a private external) ___printf_pad
00000001802bfb08 (__TEXT,__text) non-external (was a private external) ___printf_puts
00000001802fee70 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00000001802fdc8c (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00000001802fddf4 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00000001803065dc (__TEXT,__text) non-external ___printf_render_float.cold.1
00000001802fe82c (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00000001802bfeac (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180306660 (__TEXT,__text) non-external ___printf_render_int.cold.1
00000001803066b0 (__TEXT,__text) non-external ___printf_render_int.cold.2
00000001802ff51c (__TEXT,__text) non-external (was a private external) ___printf_render_n
00000001802ff4e4 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00000001802feaa8 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00000001802feb64 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00000001802bfb74 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00000001802feff8 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00000001802ff304 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00000001802b82b8 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00000001db73b3f0 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00000001802d78b0 (__TEXT,__text) external ___put_page
0000000180308cf8 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180300618 (__TEXT,__text) non-external (was a private external) ___pututxline
00000001802a09ec (__TEXT,__text) external ___quorem_D2A
00000001802b5e2c (__TEXT,__text) external ___ratio_D2A
00000001802d865c (__TEXT,__text) external ___rec_close
00000001802d894c (__TEXT,__text) external ___rec_delete
00000001802d8a98 (__TEXT,__text) external ___rec_dleaf
00000001802d9474 (__TEXT,__text) external ___rec_fd
00000001802d8f08 (__TEXT,__text) external ___rec_fmap
00000001802d8cc8 (__TEXT,__text) external ___rec_fpipe
00000001802d8bc0 (__TEXT,__text) external ___rec_get
00000001802d9798 (__TEXT,__text) external ___rec_iput
00000001802d90f8 (__TEXT,__text) external ___rec_open
00000001802d94cc (__TEXT,__text) external ___rec_put
00000001802d9da4 (__TEXT,__text) external ___rec_ret
00000001802d99dc (__TEXT,__text) external ___rec_search
00000001802d9bb0 (__TEXT,__text) external ___rec_seq
00000001802d8714 (__TEXT,__text) external ___rec_sync
00000001802d901c (__TEXT,__text) external ___rec_vmap
00000001802d8de0 (__TEXT,__text) external ___rec_vpipe
00000001802d6634 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00000001802a365c (__TEXT,__text) external ___rshift_D2A
0000000180308124 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00000001802a2548 (__TEXT,__text) non-external (was a private external) ___rvOK_D2A
000000018029d898 (__TEXT,__text) external ___rv_alloc_D2A
000000018029e3d8 (__TEXT,__text) external ___s2b_D2A
00000001db73ad58 (__DATA_DIRTY,__data) external ___sF
00000001db73af20 (__DATA_DIRTY,__data) non-external ___sFX
00000001802aeee4 (__TEXT,__text) external ___sclose
00000001db73b440 (__DATA_DIRTY,__bss) non-external ___scounted
00000001db73cc88 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00000001802db2c4 (__TEXT,__text) external ___set_ones_D2A
