                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
000000023fc9b104 (__TEXT,__text) external _DRBufferAsResource
000000023fc99684 (__TEXT,__text) external _DRMeshReplaceIndicesUsing
000000023fc99268 (__TEXT,__text) external _DRMeshReplaceVertices
000000023fc99654 (__TEXT,__text) external _DRMeshReplaceVerticesUsing
000000023fc98d80 (__TEXT,__text) external _DRMeshSetPartAt
000000023fc98d6c (__TEXT,__text) external _DRMeshSetPartCount
000000023fc99018 (__TEXT,__text) external _DRMeshSetPartRenderFlagsAt
000000023fc99578 (__TEXT,__text) external _DRMeshUpdateIndices
000000023fc99674 (__TEXT,__text) external _DRMeshUpdateIndicesUsing
000000023fc99334 (__TEXT,__text) external _DRMeshUpdateVertices
000000023fc99644 (__TEXT,__text) external _DRMeshUpdateVerticesUsing
000000023fc984e4 (__TEXT,__text) external _DRRelease
000000023fc9b078 (__TEXT,__text) external _DRResourceAsBuffer
000000023fc9b114 (__TEXT,__text) external _DRResourceAsMaterial
000000023fc9af14 (__TEXT,__text) external _DRResourceAsMesh
000000023fc9afdc (__TEXT,__text) external _DRResourceAsTexture
000000023fc9af0c (__TEXT,__text) external _DRResourceGetClientIdentifier
000000023fc9aefc (__TEXT,__text) external _DRResourceGetIdentifier
000000023fc9b1b0 (__TEXT,__text) external _DRResourceIsAttachedToDevice_RemoveMeAfterVerification
000000023fc9c1e4 (__TEXT,__text) external _DRResourcesCommitCopyEventWithDevice
000000023fc9c1b8 (__TEXT,__text) external _DRResourcesCommitCopyToXPC
000000023fc9c24c (__TEXT,__text) external _DRResourcesCommitGetId
000000023fc9c254 (__TEXT,__text) external _DRResourcesCommitGetUserPayload
000000023fc9c23c (__TEXT,__text) external _DRResourcesCommitHasEvent
000000023fc984e0 (__TEXT,__text) external _DRRetain
000000023fc9b068 (__TEXT,__text) external _DRTextureAsResource
000000023fc99b30 (__TEXT,__text) external _DRTextureCopyDescriptor
000000023fc99994 (__TEXT,__text) external _DRTextureCreateUnmanaged
000000023fc99a6c (__TEXT,__text) external _DRTextureDescriptorCreate
000000023fc99b10 (__TEXT,__text) external _DRTextureDescriptorGetArrayLength
000000023fc99ac0 (__TEXT,__text) external _DRTextureDescriptorGetDepth
000000023fc99ab0 (__TEXT,__text) external _DRTextureDescriptorGetHeight
000000023fc99ad0 (__TEXT,__text) external _DRTextureDescriptorGetMipmapLevelCount
000000023fc99ae0 (__TEXT,__text) external _DRTextureDescriptorGetPixelFormat
000000023fc99b20 (__TEXT,__text) external _DRTextureDescriptorGetSwizzle
000000023fc99af0 (__TEXT,__text) external _DRTextureDescriptorGetTextureType
000000023fc99b00 (__TEXT,__text) external _DRTextureDescriptorGetTextureUsage
000000023fc99aa0 (__TEXT,__text) external _DRTextureDescriptorGetWidth
000000023fc99b18 (__TEXT,__text) external _DRTextureDescriptorSetArrayLength
000000023fc99ac8 (__TEXT,__text) external _DRTextureDescriptorSetDepth
000000023fc99ab8 (__TEXT,__text) external _DRTextureDescriptorSetHeight
000000023fc99ad8 (__TEXT,__text) external _DRTextureDescriptorSetMipmapLevelCount
000000023fc99ae8 (__TEXT,__text) external _DRTextureDescriptorSetPixelFormat
000000023fc99b28 (__TEXT,__text) external _DRTextureDescriptorSetSwizzle
000000023fc99af8 (__TEXT,__text) external _DRTextureDescriptorSetTextureType
000000023fc99b08 (__TEXT,__text) external _DRTextureDescriptorSetTextureUsage
000000023fc99aa8 (__TEXT,__text) external _DRTextureDescriptorSetWidth
000000023fc99bc0 (__TEXT,__text) external _DRTextureReadTexture
000000023fc99c30 (__TEXT,__text) external _DRTextureReplaceTexture
000000023fc99cf8 (__TEXT,__text) external _DRTextureReplaceWithMemoryResource
000000023fc99c94 (__TEXT,__text) external _DRTextureTryReplaceTexture
000000023fc99990 (__TEXT,__text) external _DRValidateIndices
000000023fc9d1f8 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionNumber
000000023fc9d1b8 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionString
                 (undefined) external _IOSurfaceCreate (from IOSurface)
                 (undefined) external _IOSurfaceCreateXPCObject (from IOSurface)
                 (undefined) external _IOSurfaceGetAllocSize (from IOSurface)
                 (undefined) external _IOSurfaceGetBaseAddress (from IOSurface)
                 (undefined) external _IOSurfaceLookupFromXPCObject (from IOSurface)
                 (undefined) external _MTLCopyAllDevices (from Metal)
                 (undefined) external _MTLCopyAllDevicesWithObserver (from Metal)
                 (undefined) external _MTLCreateSystemDefaultDevice (from Metal)
                 (undefined) external _MTLRemoveDeviceObserver (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedEventListener (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedTextureHandle (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLTextureDescriptor (from Metal)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
000000023fc95308 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023fc95320 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000023fc95338 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000023fc9534c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
000000023fc95360 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000023fc95380 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
000000023fc9538c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
000000023fc953b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
000000023fc953d0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
0000000298767400 (__DATA_DIRTY,__bss) non-external __MergedGlobals
0000000298767410 (__DATA_DIRTY,__bss) non-external __MergedGlobals
0000000298767420 (__DATA_DIRTY,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000023fc95510 (__TEXT,__text) non-external (was a private external) __Z14ArcObjectClassv
000000023fc9c844 (__TEXT,__text) non-external __Z14ArcObjectClassv.cold.1
000000023fc953e4 (__TEXT,__text) non-external (was a private external) __Z16ArcObjectDestroyPvP13objc_selector
000000023fc95408 (__TEXT,__text) non-external (was a private external) __Z20ArcObjectDescriptionPvP13objc_selector
                 (undefined) external __Z22MTLAttributeFormatSize18MTLAttributeFormat (from Metal)
000000023fc9548c (__TEXT,__text) non-external (was a private external) __Z25ArcObjectDebugDescriptionPvP13objc_selector
000000023fc9cfc0 (__TEXT,__const) non-external __ZL9UUID_NULL
000000023fc9cff0 (__TEXT,__const) non-external __ZL9UUID_NULL
000000023fc9d0e0 (__TEXT,__const) non-external __ZL9UUID_NULL
000000023fc9d0f0 (__TEXT,__const) non-external __ZL9UUID_NULL
000000023fc9abd4 (__TEXT,__text) non-external __ZN13ContextConfigD0Ev
000000023fc9ab88 (__TEXT,__text) non-external __ZN13ContextConfigD1Ev
000000023fc95774 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObject7disposeEv
000000023fc95628 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectC2EP10objc_class
000000023fc95710 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD0Ev
000000023fc956cc (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD1Ev
000000023fc95688 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD2Ev
000000023fc9bd34 (__TEXT,__text) non-external __ZN16ClientConnectionD0Ev
000000023fc9bcbc (__TEXT,__text) non-external __ZN16ClientConnectionD1Ev
000000023fc9bc6c (__TEXT,__text) non-external __ZN22ClientConnectionConfigD0Ev
000000023fc9bc30 (__TEXT,__text) non-external __ZN22ClientConnectionConfigD1Ev
000000023fc9dc0d (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector11s_knameinitE
000000023fc9db9e (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector12s_knameallocE
000000028f8f4bd8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector13s_kUTF8StringE
000000023fc9db83 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector17s_knameUTF8StringE
000000028f8f4bd0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector22s_krespondsToSelector_E
000000023fc9ddb8 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector26s_knamerespondsToSelector_E
000000028f8f4bc8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector30s_kmethodSignatureForSelector_E
000000023fc9dc47 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector34s_knamemethodSignatureForSelector_E
000000028f8f4bc0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector7s_kinitE
000000028f8f4bb8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector8s_kallocE
000000023fc88958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL11SharedEventEEaSEOS3_
000000023fc88958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedEventListenerEEaSEOS3_
000000023fc88958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedTextureHandleEEaSEOS3_
000000023fc88958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL6BufferEEaSEOS3_
000000023fc88958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL7TextureEEaSEOS3_
000000023fc88958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSEOS3_
000000023fc88958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSINS1_7TextureEEENSt3__19enable_ifIXsr3stdE16is_convertible_vIPT_PS2_EERS3_E4typeEONS0_IS8_EE
000000023fc97a9c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023fc97d98 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh11updatePartsEU13block_pointerFvPNS_14DirectMeshPartEmE
000000023fc97c10 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12setPartCountEm
000000023fc9c8c8 (__TEXT,__text) non-external __ZN2re10DirectMesh12setPartCountEm.cold.1
000000023fc98240 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmPN3MTL13CommandBufferE
000000023fc97ee8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmU13block_pointerFvPvmE
000000023fc982e8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmPN3MTL13CommandBufferE
000000023fc9808c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmU13block_pointerFvPvmE
000000023fc982a8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEPN3MTL13CommandBufferE
000000023fc97fbc (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEU13block_pointerFvPvmE
000000023fc975a4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14attachToDeviceEPN3MTL6DeviceE
000000023fc98350 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEPN3MTL13CommandBufferE
000000023fc98160 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEU13block_pointerFvPvmE
000000023fc9743c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15allocateStorageERKNS_29DirectResourceCreationOptionsE
000000023fc98390 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15replaceInternalEPNS_9SharedPtrINS_20DirectMemoryResourceEEES3_
000000023fc98040 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15validateIndicesEv
000000023fc973a4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh6createERKNS_21DirectMeshDescriptionERKNS_29DirectResourceCreationOptionsE
000000023fc979e4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh8setPartsEmNS_10UnownedPtrINS_20DirectMemoryResourceEEE
000000023fc97720 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC1ERKNS_21DirectMeshDescriptionE
000000023fc976a8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC2ERKNS_21DirectMeshDescriptionE
000000023fc977c8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD0Ev
000000023fc977c4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD1Ev
000000023fc97724 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD2Ev
000000023fc80dd8 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence10invalidateEv
000000023fc9c2bc (__TEXT,__text) non-external __ZN2re11DirectFence10invalidateEv.cold.1
000000023fc80e7c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence20addInvalidateHandlerEONSt3__18functionIFvPS0_EEE
000000023fc80c1c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPKc
000000023fc80d1c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPN3MTL13CommandBufferE
000000023fc80af0 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC2EPKc
000000023fc80c20 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC2EPN3MTL13CommandBufferE
000000023fc80da0 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD0Ev
000000023fc80d9c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD1Ev
000000023fc80d20 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD2Ev
000000023fc9c290 (__TEXT,__text) non-external __ZN2re11DirectFenceD2Ev.cold.1
000000023fc89710 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_10DirectMeshE
000000023fc899c8 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_12DirectBufferE
000000023fc8969c (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_13DirectTextureE
000000023fc89888 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_16DirectMeshUpdateE
000000023fc89a44 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_18DirectBufferUpdateE
000000023fc822e4 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023fc82430 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer12setBytesUsedEm
000000023fc82044 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer14attachToDeviceEPN3MTL6DeviceE
000000023fc81fc0 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer15allocateStorageERKNS_29DirectResourceCreationOptionsE
000000023fc82204 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer23replaceContentsInternalENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023fc81f04 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6createERKNS_23DirectBufferDescriptionERKNS_29DirectResourceCreationOptionsE
000000023fc824ec (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6updateEU13block_pointerFvPvmE
000000023fc82618 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEPN3MTL13CommandBufferE
000000023fc82568 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEU13block_pointerFvPvmE
000000023fc820e8 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferC1ERKNS_23DirectBufferDescriptionE
000000023fc82180 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD0Ev
000000023fc8217c (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD1Ev
000000023fc82134 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD2Ev
000000023fc8b5c8 (__TEXT,__text) non-external (was a private external) __ZN2re12commandCountERKNS_22DirectResourceCommandsE
000000023fc89ac8 (__TEXT,__text) non-external (was a private external) __ZN2re12makeCommandsEPKNS_21DirectResourcesCommitE
000000023fc97054 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023fc96ed8 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14attachToDeviceEPN3MTL6DeviceE
000000023fc9d100 (__TEXT,__const) non-external (was a private external) __ZN2re13DirectTexture14kContentsUsageE
000000023fc96abc (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14makeDescriptorEPN3MTL7TextureE
000000023fc96950 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14makeDescriptorERKNS_24DirectTextureDescriptionE
000000023fc971b0 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14replaceTextureEPN3MTL13CommandBufferE
000000023fc96c40 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture15allocateStorageERKNS_29DirectResourceCreationOptionsE
000000023fc971fc (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture17tryReplaceTextureEPN3MTL13CommandBufferE
000000023fc96ee4 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture23allocateRuntimeResourceERKNS_24DirectTextureDescriptionENS_10UnownedPtrINS_20DirectMemoryResourceEEEPN3MTL6DeviceE
000000023fc96ca4 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023fc96bb4 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createERKNS_24DirectTextureDescriptionERKNS_29DirectResourceCreationOptionsE
000000023fc96d48 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureC1ERKNS_24DirectTextureDescriptionE
000000023fc972ac (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD0Ev
000000023fc97254 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD1Ev
000000023fc81dc8 (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesEN3MTL9IndexTypeE
000000023fc81de4 (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesERKNS_25DirectMeshVertexAttributeERKNS_22DirectMeshVertexLayoutEm
000000023fc826d8 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRA16_h
000000023fc83b70 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16CreateDirectMeshE
000000023fc83638 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16DirectMeshValuesE
000000023fc83d30 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16UpdateDirectMeshE
000000023fc842f0 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18CreateDirectBufferE
