000000018439eb20 (__DATA,__data) external _NDR_record
00000001802f09a4 (__TEXT,__text) non-external ___darwin_check_fd_set_overflow.cold.1
00000001802ebe2c (__TEXT,__text) external ___debug_syscall_reject
00000001802ebe58 (__TEXT,__text) external ___delete
00000001802ebe84 (__TEXT,__text) external ___disable_threadsignal
00000001802c8584 (__TEXT,__text) external ___error
00000001802ebeb0 (__TEXT,__text) external ___execve
00000001802ebedc (__TEXT,__text) external ___exit
00000001802ebf08 (__TEXT,__text) external ___fchmod
00000001802ebf34 (__TEXT,__text) external ___fchmod_extended
00000001802ebf60 (__TEXT,__text) external ___fcntl
00000001802ebf8c (__TEXT,__text) external ___fcntl_nocancel
00000001802ebfb8 (__TEXT,__text) external ___fork
00000001802ec004 (__TEXT,__text) external ___fs_snapshot
00000001802ec030 (__TEXT,__text) external ___fstat64_extended
00000001802ec05c (__TEXT,__text) external ___fstat_extended
00000001802ec088 (__TEXT,__text) external ___fsync_nocancel
00000001802d0f10 (__TEXT,__text) external ___get_remove_counter
00000001802ec0b4 (__TEXT,__text) external ___getattrlist
00000001802ec0e0 (__TEXT,__text) external ___getdirentries64
00000001802ec10c (__TEXT,__text) external ___gethostuuid
00000001802ec138 (__TEXT,__text) external ___getlogin
00000001802ec164 (__TEXT,__text) external ___getpeername
00000001802ec190 (__TEXT,__text) external ___getpid
00000001802ec1e0 (__TEXT,__text) external ___getrlimit
00000001802ec20c (__TEXT,__text) external ___getsgroups
00000001802ec238 (__TEXT,__text) external ___getsockname
00000001802ec264 (__TEXT,__text) external ___gettid
00000001802ec2bc (__TEXT,__text) external ___gettimeofday
00000001802ec290 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00000001802ec2ec (__TEXT,__text) external ___getwgroups
00000001802ec318 (__TEXT,__text) external ___guarded_open_dprotected_np
00000001802ec344 (__TEXT,__text) external ___guarded_open_np
00000001802ec370 (__TEXT,__text) external ___identitysvc
00000001802d0f24 (__TEXT,__text) external ___inc_remove_counter
00000001802ec39c (__TEXT,__text) external ___initgroups
00000001802ec3c8 (__TEXT,__text) external ___ioctl
00000001802ec3f4 (__TEXT,__text) external ___iopolicysys
00000001802ec420 (__TEXT,__text) external ___kdebug_trace
00000001802ec44c (__TEXT,__text) external ___kdebug_trace64
00000001802ec478 (__TEXT,__text) external ___kdebug_trace_string
00000001802ec4a4 (__TEXT,__text) external ___kdebug_typefilter
00000001802f13e0 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001802f13a8 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000001802ec4d0 (__TEXT,__text) external ___kill
00000001802ec4fc (__TEXT,__text) external ___kqueue_workloop_ctl
00000001802ec528 (__TEXT,__text) external ___lchown
00000001802c49fc (__TEXT,__text) external ___libkernel_init
00000001802c4a1c (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00000001802c4a18 (__TEXT,__text) external ___libkernel_init_late
00000001802c47e8 (__TEXT,__text) external ___libkernel_platform_init
00000001802c485c (__TEXT,__text) external ___libkernel_voucher_init
00000001802ec554 (__TEXT,__text) external ___listen
00000001802ec580 (__TEXT,__text) external ___log_data
00000001802ec5ac (__TEXT,__text) external ___lseek
00000001802ec5d8 (__TEXT,__text) external ___lstat64_extended
00000001802ec604 (__TEXT,__text) external ___lstat_extended
00000001802ec630 (__TEXT,__text) external ___mac_execve
00000001802ec65c (__TEXT,__text) external ___mac_get_fd
00000001802ec688 (__TEXT,__text) external ___mac_get_file
00000001802ec6b4 (__TEXT,__text) external ___mac_get_link
00000001802ec6e0 (__TEXT,__text) external ___mac_get_mount
00000001802ec70c (__TEXT,__text) external ___mac_get_pid
00000001802ec738 (__TEXT,__text) external ___mac_get_proc
00000001802ec764 (__TEXT,__text) external ___mac_getfsstat
00000001802ec790 (__TEXT,__text) external ___mac_mount
00000001802ec7bc (__TEXT,__text) external ___mac_set_fd
00000001802ec7e8 (__TEXT,__text) external ___mac_set_file
00000001802ec814 (__TEXT,__text) external ___mac_set_link
00000001802ec840 (__TEXT,__text) external ___mac_set_proc
00000001802ec86c (__TEXT,__text) external ___mac_syscall
00000001802ec898 (__TEXT,__text) external ___mach_bridge_remote_time
00000001802ec8c4 (__TEXT,__text) external ___mach_eventlink_signal
00000001802ec8f0 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00000001802ec91c (__TEXT,__text) external ___mach_eventlink_wait_until
00000001802ec948 (__TEXT,__text) external ___memorystatus_available_memory
00000001802ec974 (__TEXT,__text) external ___microstackshot
00000001802ec9a0 (__TEXT,__text) external ___mkdir_extended
00000001802ec9cc (__TEXT,__text) external ___mkfifo_extended
00000001802ec9f8 (__TEXT,__text) external ___mmap
00000001802eca24 (__TEXT,__text) external ___mprotect
00000001802eca50 (__TEXT,__text) external ___msgctl
00000001802eca7c (__TEXT,__text) external ___msgrcv_nocancel
00000001802ecaa8 (__TEXT,__text) external ___msgsnd_nocancel
00000001802ecad4 (__TEXT,__text) external ___msgsys
00000001802ecb00 (__TEXT,__text) external ___msync
00000001802ecb2c (__TEXT,__text) external ___msync_nocancel
00000001802ecb58 (__TEXT,__text) external ___munmap
00000001802ecb84 (__TEXT,__text) external ___nexus_create
00000001802ecbb0 (__TEXT,__text) external ___nexus_deregister
00000001802ecbdc (__TEXT,__text) external ___nexus_destroy
00000001802ecc08 (__TEXT,__text) external ___nexus_get_opt
00000001802ecc34 (__TEXT,__text) external ___nexus_open
00000001802ecc60 (__TEXT,__text) external ___nexus_register
00000001802ecc8c (__TEXT,__text) external ___nexus_set_opt
00000001802eccb8 (__TEXT,__text) external ___old_semwait_signal
00000001802ecce4 (__TEXT,__text) external ___open
00000001802ecd10 (__TEXT,__text) external ___open_dprotected_np
00000001802ecd3c (__TEXT,__text) external ___open_extended
00000001802ecd68 (__TEXT,__text) external ___open_nocancel
00000001802ecd94 (__TEXT,__text) external ___openat
00000001802ecdc0 (__TEXT,__text) external ___openat_nocancel
000000018439f270 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00000001802d0464 (__TEXT,__text) external ___os_nexus_flow_add
00000001802d04e0 (__TEXT,__text) external ___os_nexus_flow_del
00000001802d055c (__TEXT,__text) external ___os_nexus_get_llink_info
00000001802f1318 (__TEXT,__text) non-external ___os_nexus_get_llink_info.cold.1
00000001802d02c4 (__TEXT,__text) external ___os_nexus_ifattach
00000001802d03c8 (__TEXT,__text) external ___os_nexus_ifdetach
00000001802ecdec (__TEXT,__text) external ___persona
00000001802ece18 (__TEXT,__text) external ___pipe
00000001802ece50 (__TEXT,__text) external ___poll_nocancel
00000001802ece7c (__TEXT,__text) external ___posix_spawn
00000001802ca458 (__TEXT,__text) non-external (was a private external) ___posix_spawnattr_init
00000001802ecea8 (__TEXT,__text) external ___pread_nocancel
00000001802eced4 (__TEXT,__text) external ___preadv_nocancel
00000001802ecf00 (__TEXT,__text) external ___proc_info
00000001802ecf2c (__TEXT,__text) external ___proc_info_extended_id
00000001802ecf58 (__TEXT,__text) external ___process_policy
00000001802ecf84 (__TEXT,__text) external ___pselect
00000001802ecfb0 (__TEXT,__text) external ___pselect_nocancel
00000001802ecfdc (__TEXT,__text) external ___psynch_cvbroad
00000001802ed008 (__TEXT,__text) external ___psynch_cvclrprepost
00000001802ed034 (__TEXT,__text) external ___psynch_cvsignal
00000001802ed060 (__TEXT,__text) external ___psynch_cvwait
00000001802ed08c (__TEXT,__text) external ___psynch_mutexdrop
00000001802ed0b8 (__TEXT,__text) external ___psynch_mutexwait
00000001802ed0e4 (__TEXT,__text) external ___psynch_rw_downgrade
00000001802ed110 (__TEXT,__text) external ___psynch_rw_longrdlock
00000001802ed13c (__TEXT,__text) external ___psynch_rw_rdlock
00000001802ed168 (__TEXT,__text) external ___psynch_rw_unlock
00000001802ed194 (__TEXT,__text) external ___psynch_rw_unlock2
00000001802ed1c0 (__TEXT,__text) external ___psynch_rw_upgrade
00000001802ed1ec (__TEXT,__text) external ___psynch_rw_wrlock
00000001802ed218 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00000001802ed244 (__TEXT,__text) external ___pthread_canceled
00000001802ed270 (__TEXT,__text) external ___pthread_chdir
00000001802ed29c (__TEXT,__text) external ___pthread_fchdir
00000001802ed2c8 (__TEXT,__text) external ___pthread_kill
00000001802ed2f4 (__TEXT,__text) external ___pthread_markcancel
00000001802ed320 (__TEXT,__text) external ___pthread_sigmask
00000001802ed34c (__TEXT,__text) external ___ptrace
00000001802ed384 (__TEXT,__text) external ___pwrite_nocancel
00000001802ed3b0 (__TEXT,__text) external ___pwritev_nocancel
00000001802ed3dc (__TEXT,__text) external ___read_nocancel
00000001802ed408 (__TEXT,__text) external ___readv_nocancel
00000001802ed434 (__TEXT,__text) external ___reboot
00000001802ed460 (__TEXT,__text) external ___recvfrom
00000001802ed48c (__TEXT,__text) external ___recvfrom_nocancel
00000001802ed4b8 (__TEXT,__text) external ___recvmsg
00000001802ed4e4 (__TEXT,__text) external ___recvmsg_nocancel
000000018439f290 (__DATA,__bss) non-external ___remove_counter
00000001802ed510 (__TEXT,__text) external ___rename
00000001802ed53c (__TEXT,__text) external ___renameat
00000001802ed568 (__TEXT,__text) external ___renameatx_np
00000001802ed594 (__TEXT,__text) external ___rmdir
00000001802ec630 (__TEXT,__text) external ___sandbox_me
00000001802ec790 (__TEXT,__text) external ___sandbox_mm
00000001802ec86c (__TEXT,__text) external ___sandbox_ms
00000001802ec840 (__TEXT,__text) external ___sandbox_msp
00000001802ed5c0 (__TEXT,__text) external ___select
00000001802ed5ec (__TEXT,__text) external ___select_nocancel
00000001802ed618 (__TEXT,__text) external ___sem_open
00000001802ed644 (__TEXT,__text) external ___sem_wait_nocancel
00000001802ed670 (__TEXT,__text) external ___semctl
00000001802ed69c (__TEXT,__text) external ___semsys
00000001802ed6c8 (__TEXT,__text) external ___semwait_signal
00000001802ed6f4 (__TEXT,__text) external ___semwait_signal_nocancel
00000001802ed720 (__TEXT,__text) external ___sendmsg
00000001802ed74c (__TEXT,__text) external ___sendmsg_nocancel
00000001802ed778 (__TEXT,__text) external ___sendto
00000001802ed7a4 (__TEXT,__text) external ___sendto_nocancel
00000001802ed7d0 (__TEXT,__text) external ___setattrlist
00000001802ed7fc (__TEXT,__text) external ___setlogin
00000001802ed828 (__TEXT,__text) external ___setpriority
00000001802ed854 (__TEXT,__text) external ___setregid
00000001802ed880 (__TEXT,__text) external ___setreuid
00000001802ed8ac (__TEXT,__text) external ___setrlimit
00000001802ed8d8 (__TEXT,__text) external ___setsgroups
00000001802ed904 (__TEXT,__text) external ___settid
00000001802ed930 (__TEXT,__text) external ___settid_with_pid
00000001802ed95c (__TEXT,__text) external ___settimeofday
00000001802ed988 (__TEXT,__text) external ___setwgroups
00000001802ed9b4 (__TEXT,__text) external ___sfi_ctl
00000001802ed9e0 (__TEXT,__text) external ___sfi_pidctl
00000001802eda0c (__TEXT,__text) external ___shared_region_check_np
00000001802eda38 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00000001802eda64 (__TEXT,__text) external ___shared_region_map_and_slide_np
00000001802eda90 (__TEXT,__text) external ___shm_open
00000001802edabc (__TEXT,__text) external ___shmctl
00000001802edae8 (__TEXT,__text) external ___shmsys
00000001802edb14 (__TEXT,__text) external ___sigaction
00000001802edb40 (__TEXT,__text) external ___sigaltstack
00000001802edb6c (__TEXT,__text) external ___sigreturn
00000001802edb98 (__TEXT,__text) external ___sigsuspend
00000001802edbc4 (__TEXT,__text) external ___sigsuspend_nocancel
00000001802edbf0 (__TEXT,__text) external ___sigwait
00000001802edc1c (__TEXT,__text) external ___socketpair
00000001802edc48 (__TEXT,__text) external ___stack_snapshot_with_config
00000001802edc74 (__TEXT,__text) external ___stat64_extended
00000001802edca0 (__TEXT,__text) external ___stat_extended
00000001802edccc (__TEXT,__text) external ___syscall
000000018439ec18 (__DATA,__common) external ___syscall_logger
00000001802edd08 (__TEXT,__text) external ___sysctl
00000001802edd34 (__TEXT,__text) external ___sysctlbyname
00000001802edd60 (__TEXT,__text) external ___telemetry
00000001802edd8c (__TEXT,__text) external ___terminate_with_payload
00000001802eddb8 (__TEXT,__text) external ___thread_selfid
00000001802edde4 (__TEXT,__text) external ___thread_selfusage
00000001802ede10 (__TEXT,__text) external ___ulock_wait
00000001802ede3c (__TEXT,__text) external ___ulock_wait2
00000001802ede68 (__TEXT,__text) external ___ulock_wake
00000001802ede94 (__TEXT,__text) external ___umask_extended
00000001802edec0 (__TEXT,__text) external ___unlink
00000001802edeec (__TEXT,__text) external ___unlinkat
00000001802edf18 (__TEXT,__text) external ___vfork
00000001802edf88 (__TEXT,__text) external ___wait4
00000001802edfb4 (__TEXT,__text) external ___wait4_nocancel
00000001802edfe0 (__TEXT,__text) external ___waitid_nocancel
00000001802ee00c (__TEXT,__text) external ___work_interval_ctl
00000001802ee038 (__TEXT,__text) external ___workq_kernreturn
00000001802ee064 (__TEXT,__text) external ___workq_open
00000001802ee090 (__TEXT,__text) external ___write_nocancel
00000001802ee0bc (__TEXT,__text) external ___writev_nocancel
000000018439ec10 (__DATA,__common) external __cpu_capabilities
000000018439ec14 (__DATA,__common) external __cpu_has_altivec
000000018439eb50 (__DATA,__data) external __current_pid
000000018439eba0 (__DATA,__common) non-external (was a private external) __dlsym
00000001802ebedc (__TEXT,__text) external __exit
00000001802d0f38 (__TEXT,__text) external __get_cpu_capabilities
000000018439f268 (__DATA,__bss) non-external __gethostuuid_callback
00000001802c9b3c (__TEXT,__text) external __getprivatesystemidentifier
00000001802d6ffc (__TEXT,__text) external __host_page_size
00000001802d1078 (__TEXT,__text) external __init_cpu_capabilities
00000001802d870c (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00000001802d9af0 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00000001802db03c (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00000001802d99d0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001802daee8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001802c7b6c (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000001802dcc48 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001802dbe54 (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001802c7bc0 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00000001802d9d48 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001802c7b78 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001802d9c28 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00000001802dbfac (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001802c7bcc (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00000001802db5dc (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00000001802db98c (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001802c7bb4 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00000001802da928 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000001802dabbc (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001802c7c74 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001802dbaac (__TEXT,__text) external __kernelrpc_mach_port_get_context
00000001802d9e68 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000001802dcaa8 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00000001802da3d0 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00000001802db2c8 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00000001802dc0d0 (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001802c7c80 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00000001802dc580 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00000001802db86c (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001802c7ba8 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00000001802da7f8 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001802c7b9c (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00000001802dc970 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00000001802db724 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00000001802dbd08 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00000001802dc7d0 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00000001802d9fa0 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001802c7b84 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00000001802da558 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001802c7b90 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00000001802d95cc (__TEXT,__text) external __kernelrpc_mach_port_names
00000001802da0c4 (__TEXT,__text) external __kernelrpc_mach_port_peek
00000001802d98b0 (__TEXT,__text) external __kernelrpc_mach_port_rename
00000001802da678 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001802c7d64 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001802dad84 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00000001802dbbe4 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00000001802da2b0 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000001802daa9c (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00000001802dc31c (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00000001802db400 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00000001802dc448 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00000001802dc6a8 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00000001802d9778 (__TEXT,__text) external __kernelrpc_mach_port_type
00000001802c7d58 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00000001802dc1f8 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001802c7c8c (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000001802e5594 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00000001802dcdac (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001802c7b24 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000001802dcef0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001802c7b3c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00000001802ddb54 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001802c7b60 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00000001802dd014 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001802c7b54 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00000001802de670 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001802c7b30 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00000001802dd268 (__TEXT,__text) external __kernelrpc_mach_vm_read
00000001802dde10 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001802deac0 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000001802eb214 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001802db1a8 (__TEXT,__text) external __kernelrpc_task_set_port_space
00000001802e7898 (__TEXT,__text) external __kernelrpc_thread_policy
00000001802e7a0c (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001802e8300 (__TEXT,__text) external __kernelrpc_thread_set_policy
00000001802e971c (__TEXT,__text) external __kernelrpc_vm_map
00000001802ea238 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001802e8e30 (__TEXT,__text) external __kernelrpc_vm_read
00000001802e99d8 (__TEXT,__text) external __kernelrpc_vm_remap
00000001802ea378 (__TEXT,__text) external __kernelrpc_vm_remap_new
00000001802c4a80 (__TEXT,__text) non-external (was a private external) __libkernel_bzero
000000018439eb98 (__DATA,__common) non-external (was a private external) __libkernel_functions
00000001843df080 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001802c4b14 (__TEXT,__text) non-external (was a private external) __libkernel_memmove
00000001802c4a8c (__TEXT,__text) non-external (was a private external) __libkernel_memset
00000001802c4a20 (__TEXT,__text) non-external (was a private external) __libkernel_strchr
00000001802c4a58 (__TEXT,__text) non-external (was a private external) __libkernel_strcmp
00000001802c4c40 (__TEXT,__text) non-external (was a private external) __libkernel_strcpy
000000018439e980 (__DATA,__data) non-external __libkernel_string_functions
00000001802c4c80 (__TEXT,__text) non-external (was a private external) __libkernel_strlcpy
00000001802c48e4 (__TEXT,__text) non-external (was a private external) __libkernel_strlen
000000018439e988 (__DATA,__data) non-external __libkernel_voucher_functions
00000001802f1380 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001802c631c (__TEXT,__text) non-external (was a private external) __mach_continuous_time
00000001802c630c (__TEXT,__text) non-external (was a private external) __mach_continuous_time_base
000000018237e2b8 (__DATA_CONST,__const) external __mach_errors
00000001802c6e70 (__TEXT,__text) external __mach_fork_child
00000001802c838c (__TEXT,__text) external __mach_snprintf
00000001802c81fc (__TEXT,__text) external __mach_vsnprintf
000000018439ec20 (__DATA,__common) external __os_alloc_once_table
00000001802cad64 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001802c478c (__TEXT,__text) non-external (was a private external) __pthread_clear_qos_tsd
00000001802c4770 (__TEXT,__text) non-external (was a private external) __pthread_exit_if_canceled
00000001802c4788 (__TEXT,__text) non-external (was a private external) __pthread_set_self
00000001802c9b40 (__TEXT,__text) external __register_gethostuuid_callback
000000018439ebec (__DATA,__common) non-external (was a private external) __task_reply_port
00000001802f05dc (__TEXT,__text) external __thread_set_tsd_base
00000001802f06c8 (__TEXT,__text) non-external _abort
00000001802f06ec (__TEXT,__text) non-external _abort
00000001802f0710 (__TEXT,__text) non-external _abort
00000001802f0734 (__TEXT,__text) non-external _abort
00000001802f0994 (__TEXT,__text) external _abort_with_payload
00000001802f0908 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00000001802f08e8 (__TEXT,__text) external _abort_with_reason
00000001802eba0c (__TEXT,__text) external _accept
00000001802eba38 (__TEXT,__text) external _accept$NOCANCEL
00000001802ee0e8 (__TEXT,__text) external _access
00000001802eba64 (__TEXT,__text) external _accessx_np
00000001802ee114 (__TEXT,__text) external _acct
00000001802e6280 (__TEXT,__text) external _act_get_state
00000001802e6450 (__TEXT,__text) external _act_set_state
00000001802ee140 (__TEXT,__text) external _adjtime
00000001802ee16c (__TEXT,__text) external _aio_cancel
00000001802ee198 (__TEXT,__text) external _aio_error
00000001802ee1c4 (__TEXT,__text) external _aio_fsync
00000001802ee1f0 (__TEXT,__text) external _aio_read
00000001802ee21c (__TEXT,__text) external _aio_return
00000001802ee248 (__TEXT,__text) external _aio_suspend
00000001802eba90 (__TEXT,__text) external _aio_suspend$NOCANCEL
00000001802ee274 (__TEXT,__text) external _aio_write
00000001802ee2a0 (__TEXT,__text) external _audit
00000001802ee2cc (__TEXT,__text) external _audit_session_join
00000001802ee2f8 (__TEXT,__text) external _audit_session_port
00000001802ee324 (__TEXT,__text) external _audit_session_self
00000001802ee350 (__TEXT,__text) external _auditctl
00000001802ee37c (__TEXT,__text) external _auditon
00000001802c4c30 (__TEXT,__text) non-external (was a private external) _bcopy
00000001802ebabc (__TEXT,__text) external _bind
000000018439ebb8 (__DATA,__common) external _bootstrap_port
00000001802c47f8 (__TEXT,__text) non-external (was a private external) _bzero
00000001802c85c4 (__TEXT,__text) external _cerror
00000001802c85a0 (__TEXT,__text) external _cerror_nocancel
00000001802ee3a8 (__TEXT,__text) external _change_fdguard_np
00000001802ee3d4 (__TEXT,__text) external _chdir
00000001802ee400 (__TEXT,__text) external _chflags
00000001802ca29c (__TEXT,__text) external _chmod
00000001802ee42c (__TEXT,__text) external _chown
00000001802ee458 (__TEXT,__text) external _chroot
00000001802d3694 (__TEXT,__text) external _clock_alarm
00000001802d334c (__TEXT,__text) external _clock_alarm_reply
00000001802d34dc (__TEXT,__text) external _clock_get_attributes
00000001802d33b8 (__TEXT,__text) external _clock_get_time
00000001802d31ec (__TEXT,__text) external _clock_set_attributes
00000001802d30d0 (__TEXT,__text) external _clock_set_time
00000001802c6488 (__TEXT,__text) external _clock_sleep
00000001802c7d34 (__TEXT,__text) external _clock_sleep_trap
00000001802c603c (__TEXT,__text) external _clonefile
00000001802ee484 (__TEXT,__text) external _clonefileat
00000001802ee4b0 (__TEXT,__text) external _close
00000001802ebccc (__TEXT,__text) external _close$NOCANCEL
00000001802ceeb8 (__TEXT,__text) external _coalition_create
00000001802cef28 (__TEXT,__text) external _coalition_info_resource_usage
00000001802cef98 (__TEXT,__text) external _coalition_info_set_efficiency
00000001802cef60 (__TEXT,__text) external _coalition_info_set_name
00000001802cefd4 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001802ceef8 (__TEXT,__text) external _coalition_reap
00000001802ceec8 (__TEXT,__text) external _coalition_terminate
00000001802ebd7c (__TEXT,__text) external _connect
