000000018042eb5c (__TEXT,__text) external _OSAtomicAdd32
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
000000018042eef4 (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180430d6c (__TEXT,__text) external __ctx_done
0000000180431060 (__TEXT,__text) non-external (was a private external) __ctx_start
0000000180430204 (__TEXT,__text) non-external __enlarge
0000000180431140 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180430158 (__TEXT,__text) non-external __flush
00000001804300d0 (__TEXT,__text) non-external __flush_reset
00000001804317be (__TEXT,__cstring) non-external __h
000000018042cab4 (__TEXT,__text) external __longjmp
000000018042c080 (__TEXT,__text) non-external __os_alloc
000000018043134c (__TEXT,__text) non-external __os_alloc.cold.1
00000001db495860 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
000000018042c034 (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
000000018042e4ec (__TEXT,__text) non-external __os_alloc_slow
0000000180431168 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
000000018042ea48 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
000000018042ea84 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
000000018042eda8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
000000018042ea78 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180430aac (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180430ad0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180430af0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
00000001804312b4 (__TEXT,__text) non-external __os_lock_recursive_abort
000000018042eb90 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
00000001804309c4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
000000018042ebb0 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000001804316b8 (__TEXT,__const) non-external __os_lock_type_base
00000001dd20e368 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001dd20e388 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001dd20e3c8 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001dd20e368 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001dd20e368 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001dd20e3a8 (__AUTH_CONST,__const) external __os_lock_type_unfair
000000018042eb68 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180430a6c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180430a8c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
000000018042fb7c (__TEXT,__text) external __os_log_simple
000000018042fd78 (__TEXT,__text) external __os_log_simple_parse
000000018042fd48 (__TEXT,__text) external __os_log_simple_parse_identifiers
000000018042fcd8 (__TEXT,__text) external __os_log_simple_parse_message
000000018042fc9c (__TEXT,__text) external __os_log_simple_parse_subsystem
000000018042fd0c (__TEXT,__text) external __os_log_simple_parse_timestamp
000000018042fc64 (__TEXT,__text) external __os_log_simple_parse_type
000000018042feb4 (__TEXT,__text) external __os_log_simple_reinit_4launchd
0000000180431118 (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
000000018042fa04 (__TEXT,__text) external __os_log_simple_send
000000018042fc3c (__TEXT,__text) external __os_log_simple_shim
000000018042c97c (__TEXT,__text) external __os_nospin_lock_lock
000000018042df58 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
000000018042c9b8 (__TEXT,__text) external __os_nospin_lock_trylock
000000018042c99c (__TEXT,__text) external __os_nospin_lock_unlock
000000018042e054 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
000000018042bec0 (__TEXT,__text) external __os_once
000000018042bf20 (__TEXT,__text) non-external __os_once_callout
000000018042deac (__TEXT,__text) non-external __os_once_gate_broadcast
000000018043128c (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
000000018043123c (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180431264 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
000000018042dd1c (__TEXT,__text) non-external __os_once_gate_wait
000000018042dc2c (__TEXT,__text) external __os_semaphore_create
0000000180431374 (__TEXT,__text) non-external __os_semaphore_create.cold.1
000000018043139c (__TEXT,__text) non-external __os_semaphore_create.cold.2
000000018042dc7c (__TEXT,__text) external __os_semaphore_dispose
00000001804313c4 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
000000018042ec24 (__TEXT,__text) external __os_semaphore_signal
00000001804313ec (__TEXT,__text) non-external __os_semaphore_signal.cold.1
000000018042ec44 (__TEXT,__text) external __os_semaphore_wait
0000000180431414 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
00000001804311e0 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
000000018042c63c (__TEXT,__text) non-external __os_unfair_lock_lock_slow
0000000180431190 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
000000018042c7ac (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
00000001804311b8 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
000000018042e310 (__TEXT,__text) external __platform_bzero
0000000180430ba0 (__TEXT,__text) external __platform_memccpy
000000018042c1a0 (__TEXT,__text) external __platform_memchr
000000018042c2b0 (__TEXT,__text) external __platform_memcmp
0000000180430c20 (__TEXT,__text) external __platform_memcmp_zero_aligned8
000000018042e640 (__TEXT,__text) external __platform_memmove
000000018042e370 (__TEXT,__text) external __platform_memset
000000018042c440 (__TEXT,__text) external __platform_memset_pattern16
000000018042c400 (__TEXT,__text) external __platform_memset_pattern4
000000018042c420 (__TEXT,__text) external __platform_memset_pattern8
000000018042e940 (__TEXT,__text) external __platform_strchr
000000018042bb30 (__TEXT,__text) external __platform_strcmp
000000018042c138 (__TEXT,__text) external __platform_strcpy
00000001dd20e2e0 (__AUTH_CONST,__const) non-external __platform_string_functions
000000018042cba0 (__TEXT,__text) external __platform_strlcat
000000018042c388 (__TEXT,__text) external __platform_strlcpy
000000018042be60 (__TEXT,__text) external __platform_strlen
000000018042bc90 (__TEXT,__text) external __platform_strncmp
000000018042c8e0 (__TEXT,__text) external __platform_strncpy
000000018042bdc0 (__TEXT,__text) external __platform_strnlen
000000018042c858 (__TEXT,__text) external __platform_strstr
0000000180430fcc (__TEXT,__text) non-external (was a private external) __setcontext
000000018042ca54 (__TEXT,__text) external __setjmp
000000018042e9ec (__TEXT,__text) non-external (was a private external) __sigtramp
000000018042eea0 (__TEXT,__text) non-external (was a private external) __sigunaltstack
000000018042ff2c (__TEXT,__text) non-external __simple_asl_connect
000000018042d99c (__TEXT,__text) non-external __simple_asl_connect_once
000000018042d664 (__TEXT,__text) non-external __simple_asl_escape_key
000000018042d6d8 (__TEXT,__text) non-external __simple_asl_escape_val
000000018042ffdc (__TEXT,__text) external __simple_asl_get_fd
000000018042e444 (__TEXT,__text) non-external (was a private external) __simple_asl_init
000000018042e61c (__TEXT,__text) non-external __simple_asl_init_context
000000018042d3e0 (__TEXT,__text) external __simple_asl_log
000000018042d464 (__TEXT,__text) external __simple_asl_log_prog
000000018042d4a4 (__TEXT,__text) external __simple_asl_msg_new
000000018042d4f0 (__TEXT,__text) external __simple_asl_msg_set
000000018042d7d4 (__TEXT,__text) external __simple_asl_send
00000001804301d8 (__TEXT,__text) external __simple_dprintf
000000018042f758 (__TEXT,__text) external __simple_esappend
000000018042d634 (__TEXT,__text) external __simple_esprintf
000000018042e260 (__TEXT,__text) external __simple_getenv
0000000180430344 (__TEXT,__text) external __simple_put
000000018043034c (__TEXT,__text) external __simple_putline
000000018042cc3c (__TEXT,__text) external __simple_salloc
000000018042d738 (__TEXT,__text) external __simple_sappend
000000018042d05c (__TEXT,__text) external __simple_sfree
000000018042cce8 (__TEXT,__text) external __simple_sprintf
000000018042d7a0 (__TEXT,__text) external __simple_sresize
000000018042d04c (__TEXT,__text) external __simple_string
0000000180430074 (__TEXT,__text) external __simple_vdprintf
000000018042eed8 (__TEXT,__text) external __simple_vesprintf
000000018042ccc0 (__TEXT,__text) external __simple_vsprintf
000000018042e9b8 (__TEXT,__text) external __spin_lock
00000001804309ac (__TEXT,__text) external __spin_lock_try
000000018042e9d4 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001db495858 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
00000001804308c4 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
000000018042d0f0 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
000000018042bfe4 (__TEXT,__text) external _ffs
000000018042bffc (__TEXT,__text) external _ffsl
000000018042bffc (__TEXT,__text) external _ffsll
000000018042c014 (__TEXT,__text) external _fls
000000018042c024 (__TEXT,__text) external _flsl
000000018042c024 (__TEXT,__text) external _flsll
00000001d8b480b8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180431090 (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
000000018042cd20 (__TEXT,__text) non-external _hex
000000018042cb64 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180430d94 (__TEXT,__text) external _makecontext
0000000180430b9c (__TEXT,__text) non-external (was a private external) _memset
0000000180430394 (__TEXT,__text) non-external _oct
000000018042ea3c (__TEXT,__text) external _os_lock_lock
000000018042ed9c (__TEXT,__text) external _os_lock_trylock
000000018042ea6c (__TEXT,__text) external _os_lock_unlock
000000018042f8c0 (__TEXT,__text) external _os_log_simple_now
000000018042f8c4 (__TEXT,__text) external _os_log_simple_type_from_asl
0000000180431698 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
000000018042c5c0 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000180431304 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
000000018042bfb4 (__TEXT,__text) external _os_unfair_lock_assert_owner
00000001804312dc (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
000000018042bf90 (__TEXT,__text) external _os_unfair_lock_lock
00000001804309e0 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
000000018042baa0 (__TEXT,__text) external _os_unfair_lock_lock_with_options
000000018042c960 (__TEXT,__text) external _os_unfair_lock_trylock
000000018042bac0 (__TEXT,__text) external _os_unfair_lock_unlock
00000001804309f8 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
000000018042badc (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180430a0c (__TEXT,__text) external _os_unfair_recursive_lock_owned
000000018042dbe8 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
000000018042c9d4 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
000000018042bc08 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180430a28 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
000000018043132c (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180430ec8 (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180430f64 (__TEXT,__text) external _setcontext
000000018042cb24 (__TEXT,__text) external _setjmp
000000018042cb58 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
000000018042cb18 (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
000000018042e9b8 (__TEXT,__text) external _spin_lock
00000001804309ac (__TEXT,__text) external _spin_lock_try
000000018042e9d4 (__TEXT,__text) external _spin_unlock
0000000180430cd8 (__TEXT,__text) external _swapcontext
00000001804307cc (__TEXT,__text) external _sys_cache_control
00000001804308d8 (__TEXT,__text) external _sys_dcache_flush
0000000180430818 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _thread_switch (from libsystem_kernel)
000000018042da08 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180430550 (__TEXT,__text) non-external _ydec
