00000001d9771fdc (__TEXT,__text) external _AMFDRDecodeCertificate
00000001d9774220 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.15
00000001d977416c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.16
00000001d977402c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.2
00000001d9774054 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.3
00000001d977407c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.4
00000001d97740a0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.5
00000001d97740c4 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.6
00000001d97740e8 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.7
00000001d977410c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.8
00000001d977413c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.9
00000001d9769718 (__TEXT,__text) non-external (was a private external) _AMFDRTagsStringToTag
                 (undefined) external _AMSupportDigestSha1 (from libamsupport)
                 (undefined) external _AMSupportDigestSha256 (from libamsupport)
                 (undefined) external _AMSupportDigestSha384 (from libamsupport)
                 (undefined) external _AMSupportEcDsaVerifySignature (from libamsupport)
                 (undefined) external _AMSupportLogFormat (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha1 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha256 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha384 (from libamsupport)
00000001d9775110 (__TEXT,__const) non-external (was a private external) _DERAlgorithmIdItemSpecs
00000001d9775088 (__TEXT,__const) non-external (was a private external) _DERAttributeTypeAndValueItemSpecs
00000001d9770918 (__TEXT,__text) non-external (was a private external) _DERDecodeItem
00000001d9770920 (__TEXT,__text) non-external (was a private external) _DERDecodeItemPartialBufferGetLength
00000001d9770dd0 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqContentInit
00000001d9770d14 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqInit
00000001d9770dfc (__TEXT,__text) non-external (was a private external) _DERDecodeSeqNext
00000001d97750c0 (__TEXT,__const) non-external (was a private external) _DERExtensionItemSpecs
00000001d9774a80 (__TEXT,__const) non-external (was a private external) _DERFDR2DataItemSpecs
00000001d9774a38 (__TEXT,__const) non-external (was a private external) _DERFDRCombinedItemSpecs
00000001d9774ed0 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertItemSpecs
00000001d9774e70 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertPropertyItemSpecs
00000001d9774ea0 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertSignedSectionItemSpecs
00000001d9774ac8 (__TEXT,__const) non-external (was a private external) _DERFDRItemSpecs
00000001d9774cf0 (__TEXT,__const) non-external (was a private external) _DERFDRMetaPropertyItemSpecs
00000001d9774c90 (__TEXT,__const) non-external (was a private external) _DERFDRMetadataRecordItemSpecs
00000001d9774e10 (__TEXT,__const) non-external (was a private external) _DERFDRMultiCombinedItemSpecs
00000001d9774cc0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseErrorItemSpecs
00000001d9774b70 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseItemSpecs
00000001d9774ba0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponsePayloadItemSpecs
00000001d9774c30 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseRecordItemSpecs
00000001d9774be8 (__TEXT,__const) non-external (was a private external) _DERFDRMultiSealingResponsePayloadItemSpecs
00000001d9774af8 (__TEXT,__const) non-external (was a private external) _DERFDRTrustObjectItemSpecs
                 (undefined) external _DERImg4DecodeContentFindItemWithTag (from libamsupport)
                 (undefined) external _DERImg4DecodeFindProperty (from libamsupport)
                 (undefined) external _DERImg4DecodeFindPropertyInSequence (from libamsupport)
                 (undefined) external _DERImg4DecodeManifest (from libamsupport)
                 (undefined) external _DERImg4DecodeProperty (from libamsupport)
                 (undefined) external _DERImg4DecodePropertyWithItem (from libamsupport)
00000001d9775140 (__TEXT,__const) non-external (was a private external) _DERNumAlgorithmIdItemSpecs
00000001d97750b8 (__TEXT,__const) non-external (was a private external) _DERNumAttributeTypeAndValueItemSpecs
00000001d9775108 (__TEXT,__const) non-external (was a private external) _DERNumExtensionItemSpecs
00000001d9775080 (__TEXT,__const) non-external (was a private external) _DERNumSignedCertCrlItemSpecs
00000001d9775178 (__TEXT,__const) non-external (was a private external) _DERNumSubjPubKeyInfoItemSpecs
00000001d977123c (__TEXT,__text) non-external (was a private external) _DEROidCompare
00000001d9770b10 (__TEXT,__text) non-external (was a private external) _DERParseBitString
00000001d9770bd0 (__TEXT,__text) non-external (was a private external) _DERParseBooleanWithDefault
00000001d9770c10 (__TEXT,__text) non-external (was a private external) _DERParseInteger
00000001d9770c94 (__TEXT,__text) non-external (was a private external) _DERParseInteger64
00000001d9770f88 (__TEXT,__text) non-external (was a private external) _DERParseSequenceContentToObject
00000001d9770ebc (__TEXT,__text) non-external (was a private external) _DERParseSequenceToObject
00000001d9775038 (__TEXT,__const) non-external (was a private external) _DERSignedCertCrlItemSpecs
00000001d9775148 (__TEXT,__const) non-external (was a private external) _DERSubjPubKeyInfoItemSpecs
00000001d9774d98 (__TEXT,__const) non-external (was a private external) _DERSysconfigItemSpecs
00000001d9774d20 (__TEXT,__const) non-external (was a private external) _DERSysconfigPayloadItemSpecs
00000001d9774f30 (__TEXT,__const) non-external (was a private external) _FDRDERTBSCertItemSpecs
                 (undefined) external _Img4DecodeEvaluateDictionaryProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateManifestProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateObjectProperties (from libamsupport)
                 (undefined) external _Img4DecodeGetManifest (from libamsupport)
                 (undefined) external _Img4DecodeGetObjectPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeGetPayload (from libamsupport)
                 (undefined) external _Img4DecodeGetPayloadType (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyBoolean (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeInit (from libamsupport)
                 (undefined) external _Img4DecodeInitManifest (from libamsupport)
                 (undefined) external _Img4DecodePerformManifestTrustEvaluationWithCallbacks (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluatation (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluationWithCallbacks (from libamsupport)
00000001d97703f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d9770428 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001d97704c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001d97704d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
00000001d97704e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
00000001d9770520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
00000001d977053c (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
00000001d9770588 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
00000001d9770594 (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
00000001d97705a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_17
00000001d97705b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_18
00000001d97705c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_19
00000001d9770438 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001d97705d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_20
00000001d97705e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_21
00000001d97705f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_22
00000001d9770610 (__TEXT,__text) non-external _OUTLINED_FUNCTION_23
00000001d977061c (__TEXT,__text) non-external _OUTLINED_FUNCTION_24
00000001d9770638 (__TEXT,__text) non-external _OUTLINED_FUNCTION_25
00000001d9770654 (__TEXT,__text) non-external _OUTLINED_FUNCTION_26
00000001d9770664 (__TEXT,__text) non-external _OUTLINED_FUNCTION_27
00000001d9770674 (__TEXT,__text) non-external _OUTLINED_FUNCTION_28
00000001d9770684 (__TEXT,__text) non-external _OUTLINED_FUNCTION_29
00000001d9770448 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001d9770694 (__TEXT,__text) non-external _OUTLINED_FUNCTION_30
00000001d97706a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_31
00000001d97706b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_32
00000001d97706c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_33
00000001d97706d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_34
00000001d97706e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_35
00000001d97706f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_36
00000001d9770708 (__TEXT,__text) non-external _OUTLINED_FUNCTION_37
00000001d9770714 (__TEXT,__text) non-external _OUTLINED_FUNCTION_38
00000001d9770730 (__TEXT,__text) non-external _OUTLINED_FUNCTION_39
00000001d9770458 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001d9770754 (__TEXT,__text) non-external _OUTLINED_FUNCTION_40
00000001d9770770 (__TEXT,__text) non-external _OUTLINED_FUNCTION_41
00000001d977078c (__TEXT,__text) non-external _OUTLINED_FUNCTION_42
00000001d97707a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_43
00000001d97707c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_44
00000001d97707e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_45
00000001d97707f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_46
00000001d9770800 (__TEXT,__text) non-external _OUTLINED_FUNCTION_47
00000001d9770814 (__TEXT,__text) non-external _OUTLINED_FUNCTION_48
00000001d9770820 (__TEXT,__text) non-external _OUTLINED_FUNCTION_49
00000001d9770468 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001d9770834 (__TEXT,__text) non-external _OUTLINED_FUNCTION_50
00000001d9770848 (__TEXT,__text) non-external _OUTLINED_FUNCTION_51
00000001d9770854 (__TEXT,__text) non-external _OUTLINED_FUNCTION_52
00000001d9770860 (__TEXT,__text) non-external _OUTLINED_FUNCTION_53
00000001d977086c (__TEXT,__text) non-external _OUTLINED_FUNCTION_54
00000001d9770878 (__TEXT,__text) non-external _OUTLINED_FUNCTION_55
00000001d9770898 (__TEXT,__text) non-external _OUTLINED_FUNCTION_56
00000001d97708b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_57
00000001d97708d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_58
00000001d97708f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_59
00000001d9770478 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001d9770498 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001d97704a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001d97704b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000001d976cb24 (__TEXT,__text) non-external __AMFDRDecodeCombined
00000001d9771290 (__TEXT,__text) non-external __AMFDRDecodeComputeDigest
00000001d976bd0c (__TEXT,__text) non-external __AMFDRDecodeDERFDRItem
00000001d976a158 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties
00000001d9773acc (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.1
00000001d9773c7c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.10
00000001d9773cac (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.11
00000001d9773afc (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.2
00000001d9773b2c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.3
00000001d9773b5c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.4
00000001d9773b8c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.5
00000001d9773bbc (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.6
00000001d9773bec (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.7
00000001d9773c1c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.8
00000001d9773c4c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.9
00000001d976a6dc (__TEXT,__text) non-external __AMFDRDecodeEvaluateTestStationCertificateProperties
00000001d976f320 (__TEXT,__text) non-external __AMFDRDecodeFilterDataInstanceCallback
00000001d976fc7c (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined
00000001d97744cc (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.1
00000001d97744fc (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.2
00000001d977452c (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.3
00000001d9774574 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.4
00000001d97745a4 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.5
00000001d976e88c (__TEXT,__text) non-external __AMFDRDecodeGetDataInstCallback
00000001d976af04 (__TEXT,__text) non-external __AMFDRDecodeGetExpectedManifestHash
00000001d976cf44 (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData
00000001d9774250 (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData.cold.1
00000001d976f4b8 (__TEXT,__text) non-external __AMFDRDecodeInstPropertyMatchingWithType
00000001d9772d0c (__TEXT,__text) non-external __AMFDRDecodeMultiResposeRecords
00000001d9772984 (__TEXT,__text) non-external __AMFDRDecodeMultiSealingResposeRecords
00000001d97721dc (__TEXT,__text) non-external __AMFDRDecodeParseExtension
00000001d976af50 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback
00000001d9773d20 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.1
00000001d9773d48 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.2
00000001d9773d70 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.3
00000001d9771ef4 (__TEXT,__text) non-external __AMFDRDecodePubKey
00000001d976f68c (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList
00000001d977445c (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.1
00000001d9774494 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.2
00000001d97701a8 (__TEXT,__text) non-external __AMFDRDecodeSequenceString
00000001d9774664 (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.1
00000001d977469c (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.2
00000001d976d5a0 (__TEXT,__text) non-external __AMFDRDecodeTolerateErrorsForOptions
00000001d976dbcc (__TEXT,__text) non-external __AMFDRDecodeVerifyCertIssuerInternal
00000001d9769730 (__TEXT,__text) non-external __AMFDRDecodeVerifyChain
00000001d97739ec (__TEXT,__text) non-external __AMFDRDecodeVerifyChain.cold.1
00000001d976a4f0 (__TEXT,__text) non-external __AMFDRDecodeVerifyChainOffline
00000001d976f7b4 (__TEXT,__text) non-external __AMFDRDecodeVerifyData
00000001d976a6e4 (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback
00000001d9773cdc (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback.cold.1
00000001d976ec60 (__TEXT,__text) non-external __AMFDRDecodeVerifySealingManifestCallback
00000001d976efc0 (__TEXT,__text) non-external __AMFDRDecodeVerifySealingRequestCallback
00000001d9769e08 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature
00000001d9773a3c (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.1
00000001d9773a6c (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.2
00000001d9773a9c (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.3
00000001d976fea4 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid
00000001d97745d4 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.1
00000001d9774604 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.2
00000001d97745d4 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.3
00000001d9774634 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.4
00000001d976eab4 (__TEXT,__text) non-external __AMFDRDecodeVerifyTrustObject
00000001e75eb550 (__DATA_CONST,__const) non-external ____oidAppleFDRClientID
00000001e75eb560 (__DATA_CONST,__const) non-external ____oidAppleSecureBootCertificateProperties
00000001d9775020 (__TEXT,__const) non-external ___oidAppleFDRClientID
00000001d9775029 (__TEXT,__const) non-external ___oidAppleSecureBootCertificateProperties
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001ecbe4740 (__DATA_DIRTY,__bss) non-external __logHandler
00000001d97751da (__TEXT,__const) non-external __oidAnsip224r1
00000001d97751df (__TEXT,__const) non-external __oidAnsip384r1
00000001d97751d2 (__TEXT,__const) non-external __oidEcPrime256v1
00000001d97751a4 (__TEXT,__const) non-external __oidEcPubKey
00000001d9775180 (__TEXT,__const) non-external __oidRsa
00000001d97751bb (__TEXT,__const) non-external __oidSha1
00000001d9775189 (__TEXT,__const) non-external __oidSha1Rsa
00000001d97751c0 (__TEXT,__const) non-external __oidSha256
00000001d97751ab (__TEXT,__const) non-external __oidSha256Ecdsa
00000001d9775192 (__TEXT,__const) non-external __oidSha256Rsa
00000001d97751c9 (__TEXT,__const) non-external __oidSha384
00000001d97751b3 (__TEXT,__const) non-external __oidSha384Ecdsa
00000001d977519b (__TEXT,__const) non-external __oidSha384Rsa
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _free (from libSystem)
00000001f4624cb8 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeClientCallback
00000001eb9aa500 (__DATA,__data) non-external (was a private external) _kAMFDRDecodeEcdsaInfoList
00000001e75eb530 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP224
00000001e75eb4f0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP256
00000001e75eb510 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP384
00000001f4624c48 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationOffline
00000001f4624bd8 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha1
00000001f4624c10 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha384
00000001f4624c80 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationTestStationSha1
00000001e75eb4c0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha1
00000001e75eb4d8 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha384
