00007ff80f9ea7f1 (__TEXT,__const) non-external _KW_ANY
00007ff80f9d33a6 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80f9d3357 (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80f9d3456 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80f9d3275 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80f9d310d (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80f9d33e3 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80f9d32b2 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80f9d3321 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff80f9d3248 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80f9d3382 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80f9d33f5 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80f9d3345 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80f9d312f (__TEXT,__text) external _XML_SetUserData
00007ff80f9d3444 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80f9d3a87 (__TEXT,__text) external _XML_StopParser
00007ff80f9d30df (__TEXT,__text) external _XML_UseForeignDTD
00007ff80f9d30d0 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80f9dd94a (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80f9dde96 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80f9dd93d (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80f9dde89 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80f9dd957 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80f9ddea3 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80f9dd3d3 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80f9de09a (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff80f9dda52 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80f9ddf3d (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80f9dba64 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80f9dbb44 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80f9dd3c8 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80f9dd37c (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80f9dd2b1 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80f9dd21c (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80f9d60c0 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff80f9ea13a (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff80f9d7c9a (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff80f9ea15d (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff80f9d7d17 (__TEXT,__text) non-external _accountingReportStats
00007ff80f9da67c (__TEXT,__text) non-external _addBinding
00007ff80f9ebc40 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff80f9ebc70 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff80f9dab2a (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff8409944e8 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff840994e38 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff80f9e5efa (__TEXT,__text) non-external _ascii_toUtf8
00007ff80f9dc04d (__TEXT,__text) non-external _attlist0
00007ff80f9dc74a (__TEXT,__text) non-external _attlist1
00007ff80f9dc7ba (__TEXT,__text) non-external _attlist2
00007ff80f9dc9f0 (__TEXT,__text) non-external _attlist3
00007ff80f9dcb1e (__TEXT,__text) non-external _attlist4
00007ff80f9dc9aa (__TEXT,__text) non-external _attlist5
00007ff80f9dca84 (__TEXT,__text) non-external _attlist6
00007ff80f9dcaca (__TEXT,__text) non-external _attlist7
00007ff80f9dc8b2 (__TEXT,__text) non-external _attlist8
00007ff80f9dca3e (__TEXT,__text) non-external _attlist9
00007ff80f9e780c (__TEXT,__text) non-external _big2_attributeValueTok
00007ff80f9e73e8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff80f9e7f64 (__TEXT,__text) non-external _big2_charRefNumber
00007ff80f9e9250 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff80f9e6780 (__TEXT,__text) non-external _big2_contentTok
00007ff840994148 (__DATA_CONST,__const) non-external _big2_encoding
00007ff840994a98 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff80f9e7944 (__TEXT,__text) non-external _big2_entityValueTok
00007ff80f9e7b85 (__TEXT,__text) non-external _big2_getAtts
00007ff80f9e7668 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff80f9e8204 (__TEXT,__text) non-external _big2_isPublicId
00007ff80f9e7abd (__TEXT,__text) non-external _big2_nameLength
00007ff80f9e7a78 (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff80f9e8022 (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff80f9e5f2f (__TEXT,__text) non-external _big2_prologTok
00007ff80f9e965c (__TEXT,__text) non-external _big2_scanAtts
00007ff80f9eaf43 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff80f9e90e8 (__TEXT,__text) non-external _big2_scanComment
00007ff80f9e8604 (__TEXT,__text) non-external _big2_scanDecl
00007ff80f9e84c4 (__TEXT,__text) non-external _big2_scanLit
00007ff80f9e8be4 (__TEXT,__text) non-external _big2_scanPercent
00007ff80f9e8748 (__TEXT,__text) non-external _big2_scanPi
00007ff80f9e8e6c (__TEXT,__text) non-external _big2_scanPoundName
00007ff80f9e92cf (__TEXT,__text) non-external _big2_scanRef
00007ff80f9e7b4d (__TEXT,__text) non-external _big2_skipS
00007ff80f9e8454 (__TEXT,__text) non-external _big2_toUtf16
00007ff80f9e828f (__TEXT,__text) non-external _big2_toUtf8
00007ff80f9e8126 (__TEXT,__text) non-external _big2_updatePosition
00007ff80f9da49c (__TEXT,__text) non-external _cdataSectionProcessor
00007ff80f9dd6a1 (__TEXT,__text) non-external _checkCharRefNumber
00007ff80f9dc4bf (__TEXT,__text) non-external _condSect0
00007ff80f9dc562 (__TEXT,__text) non-external _condSect1
00007ff80f9dc5a2 (__TEXT,__text) non-external _condSect2
00007ff80f9d69ec (__TEXT,__text) non-external _contentProcessor
00007ff80f9db847 (__TEXT,__text) non-external _copyEntityTable
00007ff80f9d23de (__TEXT,__text) non-external _copyString
00007ff80f9dc3c2 (__TEXT,__text) non-external _declClose
00007ff80f9d6d8a (__TEXT,__text) non-external _defineAttribute
00007ff80f9da1e0 (__TEXT,__text) non-external _doCdataSection
00007ff80f9d8018 (__TEXT,__text) non-external _doContent
00007ff80f9d7564 (__TEXT,__text) non-external _doIgnoreSection
00007ff80f9dda93 (__TEXT,__text) non-external _doParseXmlDecl
00007ff80f9d423d (__TEXT,__text) non-external _doProlog
00007ff80f9ea222 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff80f9ea23f (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff80f9ea238 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff80f9ea228 (__TEXT,__const) non-external _doProlog.atypeID
00007ff80f9ea22b (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff80f9ea231 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff80f9ea248 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff80f9ea250 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff80f9ea117 (__TEXT,__text) non-external _doProlog.cold.1
00007ff80f9ebb2b (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff80f9ebb2d (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff80f9ebb21 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff80f9dbc38 (__TEXT,__text) non-external _doctype0
00007ff80f9dbc8b (__TEXT,__text) non-external _doctype1
00007ff80f9dbfae (__TEXT,__text) non-external _doctype2
00007ff80f9dbf68 (__TEXT,__text) non-external _doctype3
00007ff80f9dd1c0 (__TEXT,__text) non-external _doctype4
00007ff80f9dc124 (__TEXT,__text) non-external _doctype5
00007ff80f9dc098 (__TEXT,__text) non-external _element0
00007ff80f9dcb72 (__TEXT,__text) non-external _element1
00007ff80f9dcc41 (__TEXT,__text) non-external _element2
00007ff80f9dcd44 (__TEXT,__text) non-external _element3
00007ff80f9dcf68 (__TEXT,__text) non-external _element4
00007ff80f9dcfb3 (__TEXT,__text) non-external _element5
00007ff80f9dcdc3 (__TEXT,__text) non-external _element6
00007ff80f9dce94 (__TEXT,__text) non-external _element7
00007ff840993f40 (__DATA_CONST,__const) non-external _encodings
00007ff8409946c0 (__DATA_CONST,__const) non-external _encodingsNS
00007ff80f9dbff4 (__TEXT,__text) non-external _entity0
00007ff80f9dc16a (__TEXT,__text) non-external _entity1
00007ff80f9dc40f (__TEXT,__text) non-external _entity10
00007ff80f9dc1b0 (__TEXT,__text) non-external _entity2
00007ff80f9dc62b (__TEXT,__text) non-external _entity3
00007ff80f9dc5e5 (__TEXT,__text) non-external _entity4
00007ff80f9dc671 (__TEXT,__text) non-external _entity5
00007ff80f9dc6fc (__TEXT,__text) non-external _entity6
00007ff80f9dc273 (__TEXT,__text) non-external _entity7
00007ff80f9dc37c (__TEXT,__text) non-external _entity8
00007ff80f9dc336 (__TEXT,__text) non-external _entity9
00007ff80f9d7a2e (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff80f9db1f6 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff80f9ea180 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff80f9db4bb (__TEXT,__text) non-external _entityValueInitProcessor
00007ff80f9db769 (__TEXT,__text) non-external _entityValueProcessor
00007ff80f9da00b (__TEXT,__text) non-external _epilogProcessor
00007ff80f9dbc83 (__TEXT,__text) non-external _error
00007ff80f9d36e5 (__TEXT,__text) non-external _errorProcessor
00007ff80f9daac8 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff80f9d2fa8 (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff80f9db2ec (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff80f9db3dc (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff80f9d2ff9 (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff80f9db667 (__TEXT,__text) non-external _externalParEntProcessor
00007ff80f9dbb5c (__TEXT,__text) non-external _externalSubset0
00007ff80f9dc464 (__TEXT,__text) non-external _externalSubset1
00007ff80f9ddd6d (__TEXT,__text) non-external _findEncoding
00007ff80f9ddf7e (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80f9d9fb3 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff80f9d6acc (__TEXT,__text) non-external _getAttributeId
00007ff80f9d8f60 (__TEXT,__text) non-external _getContext
00007ff80f9d3ff6 (__TEXT,__text) non-external _getDebugLevel
00007ff80f9d6a41 (__TEXT,__text) non-external _getElementType
00007ff80f9dd9b0 (__TEXT,__text) non-external _getEncodingIndex
00007ff840993f10 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff80f9d4121 (__TEXT,__text) non-external _handleUnknownEncoding
00007ff80f9d7d7b (__TEXT,__text) non-external _hash
00007ff80f9db80e (__TEXT,__text) non-external _hashTableDestroy
00007ff80f9d76e4 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff80f9ea260 (__TEXT,__const) non-external _implicitContext
00007ff80f9e5d2a (__TEXT,__text) non-external _initScan
00007ff80f9dda1f (__TEXT,__text) non-external _initScanContent
00007ff80f9ddf1b (__TEXT,__text) non-external _initScanContentNS
00007ff80f9dda00 (__TEXT,__text) non-external _initScanProlog
00007ff80f9ddefc (__TEXT,__text) non-external _initScanPrologNS
00007ff80f9dda41 (__TEXT,__text) non-external _initUpdatePosition
00007ff80f9d4055 (__TEXT,__text) non-external _initializeEncoding
00007ff80f9dafac (__TEXT,__text) non-external _internalEntityProcessor
00007ff80f9dbd64 (__TEXT,__text) non-external _internalSubset
00007ff8409939a0 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff840993d40 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff8409937d0 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff840993b70 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff80f9e1dc2 (__TEXT,__text) non-external _isNever
00007ff840993600 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff8409946f8 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff80f9e0610 (__TEXT,__text) non-external _latin1_toUtf16
00007ff80f9e058e (__TEXT,__text) non-external _latin1_toUtf8
00007ff80f9e37ec (__TEXT,__text) non-external _little2_attributeValueTok
00007ff80f9e33cc (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff80f9e3f40 (__TEXT,__text) non-external _little2_charRefNumber
00007ff80f9e5218 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff80f9e2770 (__TEXT,__text) non-external _little2_contentTok
00007ff840994318 (__DATA_CONST,__const) non-external _little2_encoding
00007ff840994c68 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff80f9e3924 (__TEXT,__text) non-external _little2_entityValueTok
00007ff80f9e3b64 (__TEXT,__text) non-external _little2_getAtts
00007ff80f9e364c (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff80f9e41e0 (__TEXT,__text) non-external _little2_isPublicId
00007ff80f9e3a9d (__TEXT,__text) non-external _little2_nameLength
00007ff80f9e3a58 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff80f9e3ffe (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff80f9e1f31 (__TEXT,__text) non-external _little2_prologTok
00007ff80f9e5620 (__TEXT,__text) non-external _little2_scanAtts
00007ff80f9e50b0 (__TEXT,__text) non-external _little2_scanComment
00007ff80f9e45d4 (__TEXT,__text) non-external _little2_scanDecl
00007ff80f9e4499 (__TEXT,__text) non-external _little2_scanLit
00007ff80f9e4bb0 (__TEXT,__text) non-external _little2_scanPercent
00007ff80f9e4718 (__TEXT,__text) non-external _little2_scanPi
00007ff80f9e4e38 (__TEXT,__text) non-external _little2_scanPoundName
00007ff80f9e5297 (__TEXT,__text) non-external _little2_scanRef
00007ff80f9e3b2c (__TEXT,__text) non-external _little2_skipS
00007ff80f9e4430 (__TEXT,__text) non-external _little2_toUtf16
00007ff80f9e426b (__TEXT,__text) non-external _little2_toUtf8
00007ff80f9e4102 (__TEXT,__text) non-external _little2_updatePosition
00007ff80f9d667a (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff80f9eae10 (__TEXT,__const) non-external _namePages
00007ff80f9ea810 (__TEXT,__const) non-external _namingBitmap
00007ff80f9d7760 (__TEXT,__text) non-external _nextScaffoldPart
00007ff80f9ead10 (__TEXT,__const) non-external _nmstrtPages
00007ff80f9dfd38 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff80f9df8e0 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff80f9e02f4 (__TEXT,__text) non-external _normal_charRefNumber
00007ff80f9e1118 (__TEXT,__text) non-external _normal_checkPiTarget
00007ff80f9dec80 (__TEXT,__text) non-external _normal_contentTok
00007ff80f9dfe74 (__TEXT,__text) non-external _normal_entityValueTok
00007ff80f9e0029 (__TEXT,__text) non-external _normal_getAtts
00007ff80f9dfb98 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff80f9e050c (__TEXT,__text) non-external _normal_isPublicId
00007ff80f9dffc0 (__TEXT,__text) non-external _normal_nameLength
00007ff80f9dff84 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff80f9e03b9 (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff80f9de0b1 (__TEXT,__text) non-external _normal_prologTok
00007ff80f9e148b (__TEXT,__text) non-external _normal_scanAtts
00007ff80f9e0f88 (__TEXT,__text) non-external _normal_scanComment
00007ff80f9e07b8 (__TEXT,__text) non-external _normal_scanDecl
00007ff80f9e0653 (__TEXT,__text) non-external _normal_scanLit
00007ff80f9e0cf4 (__TEXT,__text) non-external _normal_scanPercent
00007ff80f9e08dc (__TEXT,__text) non-external _normal_scanPi
00007ff80f9e1183 (__TEXT,__text) non-external _normal_scanRef
00007ff80f9e0001 (__TEXT,__text) non-external _normal_skipS
00007ff80f9e044b (__TEXT,__text) non-external _normal_updatePosition
00007ff80f9db2a8 (__TEXT,__text) non-external _normalizeLines
00007ff80f9d6986 (__TEXT,__text) non-external _normalizePublicId
00007ff80f9dc0e3 (__TEXT,__text) non-external _notation0
00007ff80f9dd010 (__TEXT,__text) non-external _notation1
00007ff80f9dd107 (__TEXT,__text) non-external _notation2
00007ff80f9dd0b9 (__TEXT,__text) non-external _notation3
00007ff80f9dd14d (__TEXT,__text) non-external _notation4
00007ff80f9e9d5c (__TEXT,__text) non-external _parsePseudoAttribute
00007ff80f9d1ab2 (__TEXT,__text) non-external _parserCreate
00007ff80f9d21b2 (__TEXT,__text) non-external _parserInit
00007ff80f9d6d18 (__TEXT,__text) non-external _poolAppend
00007ff80f9d3195 (__TEXT,__text) non-external _poolCopyString
00007ff80f9d308c (__TEXT,__text) non-external _poolDestroy
00007ff80f9d6e9c (__TEXT,__text) non-external _poolGrow
00007ff80f9d6633 (__TEXT,__text) non-external _poolStoreString
00007ff80f9d788a (__TEXT,__text) non-external _processInternalEntity
00007ff80f9d62d6 (__TEXT,__text) non-external _processXmlDecl
00007ff80f9dba89 (__TEXT,__text) non-external _prolog0
00007ff80f9dbb7c (__TEXT,__text) non-external _prolog1
00007ff80f9dbee0 (__TEXT,__text) non-external _prolog2
00007ff80f9d3fa5 (__TEXT,__text) non-external _prologInitProcessor
00007ff80f9d40b0 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff80f9ea784 (__TEXT,__const) non-external _reltable.attlist2
00007ff80f9d7bcf (__TEXT,__text) non-external _reportComment
00007ff80f9d3de4 (__TEXT,__text) non-external _reportDefault
00007ff80f9d7a83 (__TEXT,__text) non-external _reportProcessingInstruction
00007ff80f9d2a71 (__TEXT,__text) non-external _setContext
00007ff80f9da552 (__TEXT,__text) non-external _setElementTypePrefix
00007ff80f9d7edb (__TEXT,__text) non-external _sip24_final
00007ff80f9d7e3f (__TEXT,__text) non-external _sip24_update
00007ff80f9d7fbc (__TEXT,__text) non-external _sip_round
00007ff80f9d364c (__TEXT,__text) non-external _startParsing
00007ff80f9d7067 (__TEXT,__text) non-external _storeAttributeValue
00007ff80f9d92e6 (__TEXT,__text) non-external _storeAtts
00007ff80f9d70d8 (__TEXT,__text) non-external _storeEntityValue
00007ff80f9d8e84 (__TEXT,__text) non-external _storeRawNames
00007ff80f9e5cc8 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff80f9d3f5f (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff80f9d3f74 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff80f9dd790 (__TEXT,__text) non-external _unknown_isInvalid
00007ff80f9dd6ee (__TEXT,__text) non-external _unknown_isName
00007ff80f9dd73f (__TEXT,__text) non-external _unknown_isNmstrt
00007ff80f9dd89e (__TEXT,__text) non-external _unknown_toUtf16
00007ff80f9dd7bd (__TEXT,__text) non-external _unknown_toUtf8
00007ff80f9d3f89 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff840993f78 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff8409948c8 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff80f9e1e62 (__TEXT,__text) non-external _utf8_isInvalid2
00007ff80f9e1e81 (__TEXT,__text) non-external _utf8_isInvalid3
00007ff80f9e1eea (__TEXT,__text) non-external _utf8_isInvalid4
00007ff80f9e1d2a (__TEXT,__text) non-external _utf8_isName2
00007ff80f9e1d70 (__TEXT,__text) non-external _utf8_isName3
00007ff80f9e1dca (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff80f9e1e10 (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff80f9e1bcf (__TEXT,__text) non-external _utf8_toUtf16
00007ff80f9e1b38 (__TEXT,__text) non-external _utf8_toUtf8
