00007ffb06aa4372 (__TEXT,__text) non-external _DiToMD5
00007ffb06ab46a4 (__TEXT,__text) non-external _IOLogv.cold.1
00007ffb06a89edc (__TEXT,__text) external _IOMalloc
00007ffb06a89f3c (__TEXT,__text) external _IOMallocData
00007ffb06a89efc (__TEXT,__text) external _IOMallocTyped
00007ffb06a89f06 (__TEXT,__text) external _IOMallocZero
00007ffb06a89f50 (__TEXT,__text) external _IOMallocZeroData
00007ffb06a89f1d (__TEXT,__text) external _IOMallocZeroTyped
00007ffb41102dd8 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffb41102f88 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffb06a8a019 (__TEXT,__text) external _IOParseBootArgNumber
00007ffb06a8a468 (__TEXT,__text) external _IOParseBootArgString
00007ffb06a8beaf (__TEXT,__text) external _IORPCMessageFromMach
00007ffb06ab4a7d (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffb06ab4aa0 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffb06a8cea9 (__TEXT,__text) external _IORWLockAlloc
00007ffb06ab4dfa (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffb06a8cee8 (__TEXT,__text) external _IORWLockFree
00007ffb06a8cf0f (__TEXT,__text) external _IORWLockRead
00007ffb06ab4e1d (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffb06a8cf37 (__TEXT,__text) external _IORWLockUnlock
00007ffb06ab4e63 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffb06a8cf23 (__TEXT,__text) external _IORWLockWrite
00007ffb06ab4e40 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffb06a8cd29 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffb06a8cd5f (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffb06a8ce1b (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffb06ab4d91 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffb06a8cd75 (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffb06ab4d05 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffb06ab4d28 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffb06a8ce4b (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffb06ab4db4 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffb06ab4dd7 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffb06a8cdc9 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffb06ab4d4b (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffb06ab4d6e (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffb06a8ccc3 (__TEXT,__text) external _IORecursiveLockAlloc
00007ffb06a8cce9 (__TEXT,__text) external _IORecursiveLockFree
00007ffb06a8cd15 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffb06a8ccff (__TEXT,__text) external _IORecursiveLockLock
00007ffb06a8cd1f (__TEXT,__text) external _IORecursiveLockTryLock
00007ffb06a8cd0b (__TEXT,__text) external _IORecursiveLockUnlock
00007ffb411033b8 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffb41103138 (__DATA_CONST,__const) external _IOReporter_Class
00007ffb411039e8 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffb41103b98 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffb41103838 (__DATA_CONST,__const) external _IOService_Class
00007ffb411031d8 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffb06a89f76 (__TEXT,__text) external _IOSleep
00007ffb41103278 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffb06a8cfc2 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffb06a8cf5d (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffb06a8cf8c (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffb06a8cfa1 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffb41105998 (__DATA_CONST,__const) external _IOThread_Class
00007ffb41103d48 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffb41103ef8 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffb06a8d5ec (__TEXT,__text) external _IOUserServerMain
00007ffb06ab510d (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffb06ab5248 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffb06ab5130 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffb06ab5153 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffb06ab5176 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffb06ab5199 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffb06ab51bc (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffb06ab51df (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffb06ab5202 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffb06ab5225 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffb41104278 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffb43023578 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffb41104428 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffb06aa44db (__TEXT,__text) external _MD5Final
00007ffb06aa42f0 (__TEXT,__text) external _MD5Init
00007ffb06aa446f (__TEXT,__text) non-external _MD5ToDi
00007ffb06aa43cb (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffb411045d8 (__DATA_CONST,__const) external _OSAction_Class
00007ffb41103f98 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffb411056d8 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffb06a964db (__TEXT,__text) external _OSArrayAppendValue
00007ffb06a9614a (__TEXT,__text) external _OSArrayApply
00007ffb06a960f9 (__TEXT,__text) external _OSArrayCreate
00007ffb06a957bf (__TEXT,__text) external _OSArrayGetCount
00007ffb06a96569 (__TEXT,__text) external _OSArrayGetStringValue
00007ffb06a965d9 (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffb06a9650f (__TEXT,__text) external _OSArrayGetValue
00007ffb06a964cc (__TEXT,__text) external _OSArrayReplaceValue
00007ffb06a96594 (__TEXT,__text) external _OSArraySetStringValue
00007ffb06a9669f (__TEXT,__text) external _OSArraySetUInt64Value
00007ffb06a96330 (__TEXT,__text) external _OSArraySetValue
00007ffb41104788 (__DATA_CONST,__const) external _OSArray_Class
00007ffb41104880 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffb41104978 (__DATA_CONST,__const) external _OSBundle_Class
00007ffb06a943ad (__TEXT,__text) external _OSCollectionTypeID
00007ffb06ab5da6 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffb06a94334 (__TEXT,__text) external _OSCollectionTypeName
00007ffb06ab5d62 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffb41104a70 (__DATA_CONST,__const) external _OSCollection_Class
00007ffb06a98ce6 (__TEXT,__text) external _OSCollectionsInitialize
00007ffb41104b68 (__DATA_CONST,__const) external _OSContainer_Class
00007ffb06a94408 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffb06ab5dec (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffb06a96fb3 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffb06ab631a (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffb06a96eb8 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffb06a95636 (__TEXT,__text) external _OSDataAppendBytes
00007ffb06a95597 (__TEXT,__text) external _OSDataCreate
00007ffb06ab5f8c (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffb06a95543 (__TEXT,__text) external _OSDataGetBytes
00007ffb06a954f3 (__TEXT,__text) external _OSDataGetBytesPtr
00007ffb06a95532 (__TEXT,__text) external _OSDataGetLength
00007ffb41104cc8 (__DATA_CONST,__const) external _OSData_Class
00007ffb06a957cc (__TEXT,__text) external _OSDictionaryApply
00007ffb06a95761 (__TEXT,__text) external _OSDictionaryCreate
00007ffb06a957b2 (__TEXT,__text) external _OSDictionaryGetCount
00007ffb06a95e78 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffb06a9601f (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffb06a95df3 (__TEXT,__text) external _OSDictionaryGetValue
00007ffb06a95fda (__TEXT,__text) external _OSDictionarySetStringValue
00007ffb06a960bb (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffb06a95a96 (__TEXT,__text) external _OSDictionarySetValue
00007ffb41104dc0 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffb41104eb8 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffb06a95701 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffb06a956e0 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffb41104fb0 (__DATA_CONST,__const) external _OSNumber_Class
00007ffb06a9753e (__TEXT,__text) external _OSObjectLog
00007ffb06a9436a (__TEXT,__text) external _OSObjectRelease
00007ffb06a9435f (__TEXT,__text) external _OSObjectRetain
00007ffb411050a8 (__DATA_CONST,__const) external _OSObject_Class
00007ffb41105258 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffb06a8a477 (__TEXT,__text) external _OSReportWithBacktrace
00007ffb06a970e7 (__TEXT,__text) external _OSSerializationGetBytes
00007ffb41105350 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffb41105448 (__DATA_CONST,__const) external _OSSet_Class
00007ffb06a94f8c (__TEXT,__text) external _OSStringCreate
00007ffb06ab5e9b (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffb06ab5ebe (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffb06ab5edf (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffb06a94f43 (__TEXT,__text) external _OSStringGetLength
00007ffb06a94f0a (__TEXT,__text) external _OSStringGetStringPtr
00007ffb41105540 (__DATA_CONST,__const) external _OSString_Class
00007ffb06a89f90 (__TEXT,__text) external _OSSynchronizeIO
00007ffb4335d870 (__DATA,__bss) non-external _OSUniqueStrings
00007ffb06a8a794 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffb06aa475b (__TEXT,__text) external _SHA1Final
00007ffb06aa4570 (__TEXT,__text) external _SHA1Init
00007ffb06aa46f8 (__TEXT,__text) non-external _SHA1ToDi
00007ffb06aa4653 (__TEXT,__text) external _SHA1Update
00007ffb06aa4f3d (__TEXT,__text) external _SHA256_Final
00007ffb06aa4ed1 (__TEXT,__text) external _SHA256_Init
00007ffb06ab6ad0 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffb06aa4f0a (__TEXT,__text) external _SHA256_Update
00007ffb06aa4fd4 (__TEXT,__text) external _SHA384_Final
00007ffb06aa4f62 (__TEXT,__text) external _SHA384_Init
00007ffb06ab6ae9 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffb06aa4fa1 (__TEXT,__text) external _SHA384_Update
00007ffb06aa506b (__TEXT,__text) external _SHA512_Final
00007ffb06aa4ff9 (__TEXT,__text) external _SHA512_Init
00007ffb06ab6b02 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffb06aa5038 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffb06a8b37a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffb06aa5090 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffb41105638 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffb06a8b6f8 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffb06ab485a (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffb06a8cfcc (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffb06ab4e86 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffb06ab4ea9 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffb06ab4ecc (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffb06ab4eef (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffb06ab4f12 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffb06a8c0e8 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffb06ab4b61 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffb06ab4b84 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffb06ab4ba7 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffb06ab4bca (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffb06a8b993 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffb06ab48e6 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffb06a964f1 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffb06a98c86 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffb06a8b532 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffb06ab47f1 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffb06ab4814 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffb06ab4837 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffb06a96604 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffb06a96674 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffb06a9662f (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffb06a8b753 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffb06a969e0 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffb06ab6202 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb06ab6225 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb06ab6248 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb06ab626b (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffb06ab628e (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffb06ab62b1 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffb06a89aaa (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffb06a89bac (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffb06a8bc58 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffb06ab492a (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffb06a8bd46 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffb06a8d3bc (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffb06a8b4a5 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffb06a8b403 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffb06a97105 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffb06ab633d (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffb06a8b8ba (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffb06ab48a0 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffb06ab48c3 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffb06a943d6 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffb06ab5dc9 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffb06a94375 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffb06ab5d83 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffb06a888f0 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffb06a954a3 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffb06a966dd (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffb06ab6018 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffb06ab603b (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffb06ab605e (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffb06ab6081 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffb06ab60a4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffb06a9546a (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffb06a956c4 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffb06a9680d (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffb06ab60c7 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb06ab60ea (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb06ab610d (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb06a8d38a (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffb06a8cabc (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffb06ab351e (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffb06a899ba (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffb06a8ac0f (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ffb06ab476b (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ffb06a93ee7 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffb06ab3432 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffb06a9818e (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffb06ab6fd0 (__TEXT,__const) non-external __ZL11yytranslate
00007ffb06ab451c (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffb06ab2e5a (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffb06ab34a0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffb06ab35bc (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffb06ab35ec (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffb06a9525f (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffb06a95222 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffb06ab5f02 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffb06ab3c1a (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffb06aa5536 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffb06aaa714 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffb06a92d03 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffb06ab5b02 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffb06ab5b25 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffb06ab5b48 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffb06ab3470 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffb06aaa624 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffb06a8e7cc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffb06ab558e (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffb06ab55b1 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffb06ab55d4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffb06ab55f7 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffb06aa7bec (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffb06aaa3ac (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffb06ab281e (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffb06ab34ee (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffb06a8d1f7 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffb06ab502a (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffb06ab504d (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffb06ab5070 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffb06ab5093 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffb06a8df29 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffb06ab5393 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffb06ab53c7 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffb06ab53ea (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffb06ab540d (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffb06a93919 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffb06ab5bf7 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffb06ab5c1a (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffb06ab5c3d (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffb06ab5c60 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffb06ab5c83 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffb06ab5ca6 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
