                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
00007ff8102121a0 (__TEXT,__text) external __cg_jcopy_block_row
00007ff810229e5d (__TEXT,__text) external __cg_jpeg_abort_compress
00007ff810212b79 (__TEXT,__text) external __cg_jpeg_abort_decompress
00007ff81021bf28 (__TEXT,__text) external __cg_jpeg_add_quant_table
00007ff81020cc44 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
00007ff81020cc27 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
00007ff81021ec61 (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
00007ff810212bf2 (__TEXT,__text) external __cg_jpeg_consume_input
00007ff81022dc17 (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
00007ff81021c2f2 (__TEXT,__text) external __cg_jpeg_default_colorspace
00007ff81020cbf9 (__TEXT,__text) external __cg_jpeg_destroy
00007ff810229e53 (__TEXT,__text) external __cg_jpeg_destroy_compress
00007ff810212b6f (__TEXT,__text) external __cg_jpeg_destroy_decompress
00007ff810232bc2 (__TEXT,__text) external __cg_jpeg_fdct_float
00007ff81022d74a (__TEXT,__text) external __cg_jpeg_fdct_ifast
00007ff810220ad9 (__TEXT,__text) external __cg_jpeg_fdct_islow
00007ff810229eba (__TEXT,__text) external __cg_jpeg_finish_compress
00007ff810212ede (__TEXT,__text) external __cg_jpeg_finish_decompress
00007ff81022f424 (__TEXT,__text) external __cg_jpeg_finish_output
00007ff81020e275 (__TEXT,__text) external __cg_jpeg_free_large
00007ff81020e25b (__TEXT,__text) external __cg_jpeg_free_small
00007ff81020e268 (__TEXT,__text) external __cg_jpeg_get_large
00007ff81020e24e (__TEXT,__text) external __cg_jpeg_get_small
00007ff810212ea1 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
00007ff8102150d1 (__TEXT,__text) external __cg_jpeg_idct_1x1
00007ff81021501d (__TEXT,__text) external __cg_jpeg_idct_2x2
00007ff810214cd7 (__TEXT,__text) external __cg_jpeg_idct_4x4
00007ff810220598 (__TEXT,__text) external __cg_jpeg_idct_float
00007ff81020fabd (__TEXT,__text) external __cg_jpeg_idct_ifast
00007ff810213dd5 (__TEXT,__text) external __cg_jpeg_idct_islow
00007ff810212e64 (__TEXT,__text) external __cg_jpeg_input_complete
00007ff81020e282 (__TEXT,__text) external __cg_jpeg_mem_available
00007ff81020e4b8 (__TEXT,__text) external __cg_jpeg_mem_init
00007ff81020e4c3 (__TEXT,__text) external __cg_jpeg_mem_term
00007ff810234920 (__TEXT,__const) external __cg_jpeg_natural_order
00007ff81021ef0c (__TEXT,__text) external __cg_jpeg_new_colormap
00007ff81020e293 (__TEXT,__text) external __cg_jpeg_open_backing_store
00007ff81021c0b6 (__TEXT,__text) external __cg_jpeg_quality_scaling
00007ff810220404 (__TEXT,__text) external __cg_jpeg_read_coefficients
00007ff810212b83 (__TEXT,__text) external __cg_jpeg_read_header
00007ff81022f2fd (__TEXT,__text) external __cg_jpeg_read_raw_data
00007ff81022f24e (__TEXT,__text) external __cg_jpeg_read_scanlines
00007ff81020a28c (__TEXT,__text) external __cg_jpeg_resync_to_restart
00007ff81020c0d7 (__TEXT,__text) external __cg_jpeg_save_markers
00007ff81021c370 (__TEXT,__text) external __cg_jpeg_set_colorspace
00007ff81021c16d (__TEXT,__text) external __cg_jpeg_set_defaults
00007ff81021c06c (__TEXT,__text) external __cg_jpeg_set_linear_quality
00007ff81020c46d (__TEXT,__text) external __cg_jpeg_set_marker_processor
00007ff81021c0ee (__TEXT,__text) external __cg_jpeg_set_quality
00007ff81021c70c (__TEXT,__text) external __cg_jpeg_simple_progression
00007ff81021bd16 (__TEXT,__text) external __cg_jpeg_start_compress
00007ff81022f06f (__TEXT,__text) external __cg_jpeg_start_decompress
00007ff81022f3ba (__TEXT,__text) external __cg_jpeg_start_output
00007ff81022ac1e (__TEXT,__text) external __cg_jpeg_std_error
00007ff81020cc61 (__TEXT,__text) external __cg_jpeg_std_huff_table
00007ff8102346d0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
00007ff810234600 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
00007ff8102345e0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
00007ff8102345c0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
00007ff8102346f0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
00007ff810234620 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_luminance
00007ff8102345f1 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_chrominance
00007ff8102345d1 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_luminance
00007ff840995e60 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
00007ff810232eb5 (__TEXT,__text) external __cg_jpeg_stdio_dest
00007ff81020e4c9 (__TEXT,__text) external __cg_jpeg_stdio_src
00007ff810229e67 (__TEXT,__text) external __cg_jpeg_suppress_tables
00007ff81022da96 (__TEXT,__text) external __cg_jpeg_write_coefficients
00007ff81022a091 (__TEXT,__text) external __cg_jpeg_write_m_byte
00007ff81022a037 (__TEXT,__text) external __cg_jpeg_write_m_header
00007ff810229fa9 (__TEXT,__text) external __cg_jpeg_write_marker
00007ff81021be5b (__TEXT,__text) external __cg_jpeg_write_raw_data
00007ff81021bd97 (__TEXT,__text) external __cg_jpeg_write_scanlines
00007ff81022a0a3 (__TEXT,__text) external __cg_jpeg_write_tables
00007ff81021212f (__TEXT,__text) external __cg_jround_up
00007ff81021140a (__TEXT,__text) external __cg_switch_color_deconverter
00007ff810233b3e (__TEXT,__text) non-external _access_virt_barray
00007ff8102339d9 (__TEXT,__text) non-external _access_virt_sarray
00007ff8102335e5 (__TEXT,__text) non-external _alloc_barray
00007ff81023268f (__TEXT,__text) non-external _alloc_fs_workspace
00007ff81023343c (__TEXT,__text) non-external _alloc_large
00007ff81023351b (__TEXT,__text) non-external _alloc_sarray
00007ff8102332d6 (__TEXT,__text) non-external _alloc_small
00007ff81020f933 (__TEXT,__text) non-external _arith_decode
00007ff81020e049 (__TEXT,__text) non-external _arith_encode
00007ff8102357f0 (__TEXT,__const) non-external _base_dither_matrix
00007ff810235770 (__TEXT,__const) non-external _bmask
00007ff810211076 (__TEXT,__text) non-external _build_ycc_rgb_table
00007ff81020e4aa (__TEXT,__text) non-external _close_backing_store
00007ff81020854b (__TEXT,__text) non-external _cmyk_ycck_convert
00007ff810232768 (__TEXT,__text) non-external _color_quantize
00007ff8102326ed (__TEXT,__text) non-external _color_quantize3
00007ff810211659 (__TEXT,__text) non-external _compress_data
00007ff810211916 (__TEXT,__text) non-external _compress_first_pass
00007ff810211f6f (__TEXT,__text) non-external _compress_output
00007ff81022debe (__TEXT,__text) non-external _compress_output
                 (undefined) external _confstr (from libSystem)
00007ff81021cd9c (__TEXT,__text) non-external _consume_data
00007ff810213380 (__TEXT,__text) non-external _consume_markers
00007ff810232559 (__TEXT,__text) non-external _create_colorindex
00007ff81020f3d7 (__TEXT,__text) non-external _decode_mcu
00007ff81022cffa (__TEXT,__text) non-external _decode_mcu
00007ff81020eeba (__TEXT,__text) non-external _decode_mcu_AC_first
00007ff81022bef4 (__TEXT,__text) non-external _decode_mcu_AC_first
00007ff81020f1d8 (__TEXT,__text) non-external _decode_mcu_AC_refine
00007ff81022c260 (__TEXT,__text) non-external _decode_mcu_AC_refine
00007ff81020ec7a (__TEXT,__text) non-external _decode_mcu_DC_first
00007ff81022bcd1 (__TEXT,__text) non-external _decode_mcu_DC_first
00007ff81020f13c (__TEXT,__text) non-external _decode_mcu_DC_refine
00007ff81022c15f (__TEXT,__text) non-external _decode_mcu_DC_refine
00007ff81022cb88 (__TEXT,__text) non-external _decode_mcu_sub
00007ff81021cf7a (__TEXT,__text) non-external _decompress_data
00007ff81021d13b (__TEXT,__text) non-external _decompress_onepass
00007ff81021d42a (__TEXT,__text) non-external _decompress_smooth_data
00007ff810233ef3 (__TEXT,__text) non-external _do_barray_io
00007ff810233e32 (__TEXT,__text) non-external _do_sarray_io
00007ff81021d133 (__TEXT,__text) non-external _dummy_consume_data
00007ff810231c6e (__TEXT,__text) non-external _dump_buffer_e
00007ff810231a66 (__TEXT,__text) non-external _emit_ac_symbol
00007ff810231b78 (__TEXT,__text) non-external _emit_buffered_bits
00007ff81020e208 (__TEXT,__text) non-external _emit_byte
00007ff81022ec72 (__TEXT,__text) non-external _emit_byte
00007ff81022ef3f (__TEXT,__text) non-external _emit_dht
00007ff81022ecb5 (__TEXT,__text) non-external _emit_dqt
00007ff8102315bc (__TEXT,__text) non-external _emit_eobrun
00007ff81022acb6 (__TEXT,__text) non-external _emit_message
00007ff81020df0e (__TEXT,__text) non-external _emit_restart
00007ff810231e59 (__TEXT,__text) non-external _emit_restart_e
00007ff81022ee0e (__TEXT,__text) non-external _emit_sof
00007ff810233113 (__TEXT,__text) non-external _empty_mem_output_buffer
00007ff810232f36 (__TEXT,__text) non-external _empty_output_buffer
00007ff81020da4f (__TEXT,__text) non-external _encode_mcu
00007ff81020d461 (__TEXT,__text) non-external _encode_mcu_AC_first
00007ff81022fcae (__TEXT,__text) non-external _encode_mcu_AC_first
00007ff81020d7fd (__TEXT,__text) non-external _encode_mcu_AC_refine
00007ff8102301e3 (__TEXT,__text) non-external _encode_mcu_AC_refine
00007ff81020d216 (__TEXT,__text) non-external _encode_mcu_DC_first
00007ff81022f992 (__TEXT,__text) non-external _encode_mcu_DC_first
00007ff81020d752 (__TEXT,__text) non-external _encode_mcu_DC_refine
00007ff81023004f (__TEXT,__text) non-external _encode_mcu_DC_refine
00007ff8102306ec (__TEXT,__text) non-external _encode_mcu_gather
00007ff810230938 (__TEXT,__text) non-external _encode_mcu_huff
00007ff81022ac95 (__TEXT,__text) non-external _error_exit
00007ff81020c8a9 (__TEXT,__text) non-external _examine_app0
00007ff81020cb00 (__TEXT,__text) non-external _examine_app14
                 (undefined) external _exit (from libSystem)
00007ff810235970 (__TEXT,__const) non-external _extra_pool_slop
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ff81021c97f (__TEXT,__text) non-external _fill_dc_scans
00007ff81020e56b (__TEXT,__text) non-external _fill_input_buffer
00007ff810209d5e (__TEXT,__text) non-external _fill_inverse_cmap
00007ff81020e6d9 (__TEXT,__text) non-external _fill_mem_input_buffer
00007ff810234792 (__TEXT,__const) non-external _fill_mem_input_buffer.mybuffer
00007ff810213daa (__TEXT,__text) non-external _finish_input_pass
00007ff81021f454 (__TEXT,__text) non-external _finish_output_pass
00007ff81020d08f (__TEXT,__text) non-external _finish_pass
00007ff81020ec74 (__TEXT,__text) non-external _finish_pass
00007ff810209125 (__TEXT,__text) non-external _finish_pass1
00007ff810209953 (__TEXT,__text) non-external _finish_pass2
00007ff810232542 (__TEXT,__text) non-external _finish_pass_1_quant
00007ff81022f776 (__TEXT,__text) non-external _finish_pass_gather
00007ff81022bca5 (__TEXT,__text) non-external _finish_pass_huff
00007ff81022f8b1 (__TEXT,__text) non-external _finish_pass_huff
00007ff81021e8a2 (__TEXT,__text) non-external _finish_pass_master
00007ff810235960 (__TEXT,__const) non-external _first_pool_slop
00007ff810231cb8 (__TEXT,__text) non-external _flush_bits_e
00007ff810231d7b (__TEXT,__text) non-external _flush_bits_s
                 (undefined) external _fopen (from libSystem)
00007ff81022adb7 (__TEXT,__text) non-external _format_message
00007ff8102106af (__TEXT,__text) non-external _forward_DCT
00007ff810210810 (__TEXT,__text) non-external _forward_DCT_float
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff810233ca7 (__TEXT,__text) non-external _free_pool
                 (undefined) external _fseek (from libSystem)
00007ff81022a547 (__TEXT,__text) non-external _fullsize_downsample
00007ff81022a37f (__TEXT,__text) non-external _fullsize_smooth_downsample
00007ff81021fe65 (__TEXT,__text) non-external _fullsize_upsample
                 (undefined) external _fwrite (from libSystem)
00007ff81020fa7b (__TEXT,__text) non-external _get_byte
00007ff81020bf3e (__TEXT,__text) non-external _get_interesting_appn
00007ff81020c4b3 (__TEXT,__text) non-external _get_sof
00007ff810210f17 (__TEXT,__text) non-external _gray_rgb_convert
00007ff810208172 (__TEXT,__text) non-external _grayscale_convert
00007ff810210db6 (__TEXT,__text) non-external _grayscale_convert
00007ff81022a5d7 (__TEXT,__text) non-external _h2v1_downsample
00007ff81022b3df (__TEXT,__text) non-external _h2v1_merged_upsample
00007ff81021fe6e (__TEXT,__text) non-external _h2v1_upsample
00007ff81022a9a3 (__TEXT,__text) non-external _h2v2_downsample
00007ff81022b18b (__TEXT,__text) non-external _h2v2_merged_upsample
00007ff81022a6b9 (__TEXT,__text) non-external _h2v2_smooth_downsample
00007ff81021fecc (__TEXT,__text) non-external _h2v2_upsample
00007ff810232f06 (__TEXT,__text) non-external _init_destination
00007ff810209006 (__TEXT,__text) non-external _init_error_limit
00007ff81023310d (__TEXT,__text) non-external _init_mem_destination
00007ff81020e6d3 (__TEXT,__text) non-external _init_mem_source
00007ff81020e55a (__TEXT,__text) non-external _init_source
00007ff81022aabd (__TEXT,__text) non-external _int_downsample
00007ff81021ff6d (__TEXT,__text) non-external _int_upsample
00007ff81021211d (__TEXT,__text) non-external (was a private external) _jdiv_round_up
00007ff81020e716 (__TEXT,__text) non-external (was a private external) _jinit_arith_decoder
00007ff81020cdd2 (__TEXT,__text) non-external (was a private external) _jinit_arith_encoder
00007ff810234040 (__TEXT,__const) non-external (was a private external) _jpeg_aritab
00007ff8102078e8 (__TEXT,__text) non-external (was a private external) _jpeg_calc_jpeg_dimensions
00007ff810212f89 (__TEXT,__text) non-external (was a private external) _jpeg_core_output_dimensions
00007ff81021c027 (__TEXT,__text) non-external (was a private external) _jpeg_default_qtables
00007ff810222395 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x10
00007ff81022703c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x5
00007ff810222809 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_11x11
00007ff810222f37 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x12
00007ff8102269da (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x6
00007ff81022350c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_13x13
00007ff810223ca0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x14
00007ff81022605a (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x7
00007ff81022446a (__TEXT,__text) non-external (was a private external) _jpeg_fdct_15x15
00007ff810224c37 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x16
00007ff81022557a (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x8
00007ff810221f59 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x1
00007ff810229ca0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x2
00007ff810227cc5 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x1
00007ff810221ea8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x2
00007ff810229b84 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x4
00007ff810221d74 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x3
00007ff8102299a6 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x6
00007ff810227b54 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x2
00007ff810221ab0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x4
00007ff81022924e (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x8
00007ff810228eaf (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x10
00007ff810221882 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x5
00007ff810228a50 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x12
00007ff8102279a9 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x3
00007ff810221638 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x6
00007ff810228433 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x14
00007ff8102212ed (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x7
00007ff810227d49 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x16
00007ff8102275ad (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x4
00007ff810221fcc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_9x9
00007ff81022d4f5 (__TEXT,__text) non-external _jpeg_fill_bit_buffer
00007ff810231710 (__TEXT,__text) non-external _jpeg_gen_optimal_table
00007ff81022d651 (__TEXT,__text) non-external _jpeg_huff_decode
00007ff810215557 (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x10
00007ff8102196fd (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x5
00007ff810215a22 (__TEXT,__text) non-external (was a private external) _jpeg_idct_11x11
00007ff810216088 (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x12
00007ff810219239 (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x6
00007ff810216666 (__TEXT,__text) non-external (was a private external) _jpeg_idct_13x13
00007ff810216d81 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x14
00007ff810218c58 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x7
00007ff81021749b (__TEXT,__text) non-external (was a private external) _jpeg_idct_15x15
00007ff810217c11 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x16
00007ff810218493 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x8
00007ff81021bcb5 (__TEXT,__text) non-external (was a private external) _jpeg_idct_1x2
00007ff81021a1a7 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x1
00007ff81021bb5b (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x4
00007ff810214ea7 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x3
00007ff81021b941 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x6
00007ff81021a00e (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x2
00007ff81021b55b (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x8
00007ff81021b178 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x10
00007ff810214a56 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x5
00007ff81021ad38 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x12
00007ff810219dfa (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x3
00007ff81021477a (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x6
00007ff81021a802 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x14
00007ff810214371 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x7
00007ff81021a20d (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x16
00007ff810219ada (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x4
00007ff810215107 (__TEXT,__text) non-external (was a private external) _jpeg_idct_9x9
00007ff8102312d5 (__TEXT,__text) non-external _jpeg_make_c_derived_tbl
00007ff81022c868 (__TEXT,__text) non-external _jpeg_make_d_derived_tbl
00007ff810233014 (__TEXT,__text) non-external (was a private external) _jpeg_mem_dest
00007ff81020e641 (__TEXT,__text) non-external (was a private external) _jpeg_mem_src
00007ff810234de0 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order2
00007ff810234d70 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order3
00007ff810234cf0 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order4
00007ff810234c40 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order5
00007ff810234b70 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order6
00007ff810234a60 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order7
00007ff810235670 (__TEXT,__const) non-external _jpeg_zigzag_order
00007ff810235420 (__TEXT,__const) non-external _jpeg_zigzag_order2
00007ff810235430 (__TEXT,__const) non-external _jpeg_zigzag_order3
00007ff810235460 (__TEXT,__const) non-external _jpeg_zigzag_order4
00007ff8102354a0 (__TEXT,__const) non-external _jpeg_zigzag_order5
00007ff810235510 (__TEXT,__const) non-external _jpeg_zigzag_order6
00007ff8102355a0 (__TEXT,__const) non-external _jpeg_zigzag_order7
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff81022b3b5 (__TEXT,__text) non-external _merged_1v_upsample
00007ff81022b0ac (__TEXT,__text) non-external _merged_2v_upsample
                 (undefined) external _mktemp (from libSystem)
00007ff810232548 (__TEXT,__text) non-external _new_color_map_1_quant
00007ff810208ff2 (__TEXT,__text) non-external _new_color_map_2_quant
00007ff81020a3d0 (__TEXT,__text) non-external _next_marker
00007ff81021fe58 (__TEXT,__text) non-external _noop_upsample
00007ff8102084dc (__TEXT,__text) non-external _null_convert
00007ff810211398 (__TEXT,__text) non-external _null_convert
00007ff81020816c (__TEXT,__text) non-external _null_method
00007ff81022ad0a (__TEXT,__text) non-external _output_message
00007ff81022f151 (__TEXT,__text) non-external _output_pass_setup
00007ff8102094fe (__TEXT,__text) non-external _pass2_fs_dither
00007ff810209862 (__TEXT,__text) non-external _pass2_no_dither
00007ff81021e86e (__TEXT,__text) non-external _pass_startup
00007ff81021eaa4 (__TEXT,__text) non-external _per_scan_setup
00007ff8102201dd (__TEXT,__text) non-external _post_process_1pass
00007ff81022033f (__TEXT,__text) non-external _post_process_2pass
00007ff810220261 (__TEXT,__text) non-external _post_process_prepass
00007ff810212607 (__TEXT,__text) non-external _pre_process_context
00007ff810212832 (__TEXT,__text) non-external _pre_process_data
00007ff81021f2d5 (__TEXT,__text) non-external _prepare_for_output_pass
00007ff81021e6b2 (__TEXT,__text) non-external _prepare_for_pass
00007ff8102090a6 (__TEXT,__text) non-external _prescan_quantize
00007ff81021f7b7 (__TEXT,__text) non-external _process_data_context_main
00007ff81021fb3c (__TEXT,__text) non-external _process_data_crank_post
00007ff8102122aa (__TEXT,__text) non-external _process_data_simple_main
00007ff81021fabd (__TEXT,__text) non-external _process_data_simple_main
00007ff81020f7ed (__TEXT,__text) non-external _process_restart
00007ff81022d468 (__TEXT,__text) non-external _process_restart
00007ff8102327ff (__TEXT,__text) non-external _quantize3_ord_dither
00007ff810232a09 (__TEXT,__text) non-external _quantize_fs_dither
00007ff81023291e (__TEXT,__text) non-external _quantize_ord_dither
00007ff81020e3c6 (__TEXT,__text) non-external _read_backing_store
00007ff81020a604 (__TEXT,__text) non-external _read_markers
00007ff81020bdd8 (__TEXT,__text) non-external _read_restart_marker
00007ff8102337d7 (__TEXT,__text) non-external _realize_virt_arrays
00007ff810233744 (__TEXT,__text) non-external _request_virt_barray
00007ff8102336b1 (__TEXT,__text) non-external _request_virt_sarray
00007ff81022ae90 (__TEXT,__text) non-external _reset_error_mgr
00007ff810213b0c (__TEXT,__text) non-external _reset_input_controller
00007ff81020a5d4 (__TEXT,__text) non-external _reset_marker_reader
00007ff810210e6d (__TEXT,__text) non-external _rgb1_gray_convert
00007ff8102111c6 (__TEXT,__text) non-external _rgb1_rgb_convert
00007ff8102082fe (__TEXT,__text) non-external _rgb_convert
00007ff810211155 (__TEXT,__text) non-external _rgb_convert
00007ff810208281 (__TEXT,__text) non-external _rgb_gray_convert
00007ff810210dd4 (__TEXT,__text) non-external _rgb_gray_convert
00007ff81020836c (__TEXT,__text) non-external _rgb_rgb1_convert
00007ff8102083f0 (__TEXT,__text) non-external _rgb_ycc_convert
00007ff8102081c0 (__TEXT,__text) non-external _rgb_ycc_start
00007ff81020c1a7 (__TEXT,__text) non-external _save_marker
00007ff8102358f0 (__TEXT,__const) non-external _select_ncolors.RGB_order
00007ff81021e90a (__TEXT,__text) non-external _select_scan_parameters
00007ff810233dec (__TEXT,__text) non-external _self_destruct
00007ff81022a2e7 (__TEXT,__text) non-external _sep_downsample
00007ff81021fd25 (__TEXT,__text) non-external _sep_upsample
00007ff81020e5f1 (__TEXT,__text) non-external _skip_input_data
00007ff81020be68 (__TEXT,__text) non-external _skip_variable
                 (undefined) external _sprintf (from libSystem)
00007ff810211613 (__TEXT,__text) non-external _start_iMCU_row
00007ff81021d3e1 (__TEXT,__text) non-external _start_iMCU_row
00007ff81022e1f2 (__TEXT,__text) non-external _start_iMCU_row
00007ff810213b53 (__TEXT,__text) non-external _start_input_pass
00007ff81021cc3a (__TEXT,__text) non-external _start_input_pass
00007ff81021cc4e (__TEXT,__text) non-external _start_output_pass
00007ff810208762 (__TEXT,__text) non-external _start_pass
00007ff81020ce82 (__TEXT,__text) non-external _start_pass
00007ff81020e87e (__TEXT,__text) non-external _start_pass
00007ff810234470 (__TEXT,__const) non-external _start_pass.aanscalefactor
00007ff8102343f0 (__TEXT,__const) non-external _start_pass.aanscales
00007ff81023233d (__TEXT,__text) non-external _start_pass_1_quant
00007ff810208ec2 (__TEXT,__text) non-external _start_pass_2_quant
00007ff81021155b (__TEXT,__text) non-external _start_pass_coef
00007ff81022de85 (__TEXT,__text) non-external _start_pass_coef
00007ff810210db0 (__TEXT,__text) non-external _start_pass_dcolor
00007ff81022a2e1 (__TEXT,__text) non-external _start_pass_downsample
00007ff81022012a (__TEXT,__text) non-external _start_pass_dpost
00007ff810210000 (__TEXT,__text) non-external _start_pass_fdctmgr
