00000001abebac00 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001abeb6d2c (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001abebe284 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:].cold.1
00000001abeb67ec (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001abebe1bc (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:].cold.1
00000001abebe220 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:].cold.2
00000001abeb5cec (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001abebe100 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001abeb5b40 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001abeb5b2c (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001abeb60e4 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001abeb5ca4 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001abeb5b54 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001abeb92ac (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001abea4cfc (__TEXT,__text) non-external +[SPSamplingTasking supportsSecureCoding]
00000001abea6c9c (__TEXT,__text) non-external +[SPScriptScanEvaluation supportsSecureCoding]
00000001abea67f0 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001abea6718 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001abea65cc (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001abea6454 (__TEXT,__text) non-external -[AKELData init]
00000001abea67b4 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001abea66dc (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001abea6230 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001abea66d4 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001abebb0b8 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001abebb00c (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001abebb0cc (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001abebb0bc (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001abebb070 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001abebb0c4 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001abeac45c (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001abeabbf4 (__TEXT,__text) non-external -[BundleData dealloc]
00000001abebcc88 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001abeac0c8 (__TEXT,__text) non-external -[BundleData doReload]
00000001abeac430 (__TEXT,__text) non-external -[BundleData forceReload]
00000001abeabc90 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001abeabbd8 (__TEXT,__text) non-external -[BundleData init]
00000001abeac43c (__TEXT,__text) non-external -[BundleData isSigned]
00000001abeac124 (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001abeac3c4 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001abeabde8 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001abebcd04 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001abebcd48 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001abeac454 (__TEXT,__text) non-external -[BundleData timestamp]
00000001abeac434 (__TEXT,__text) non-external -[BundleData url]
00000001abeac44c (__TEXT,__text) non-external -[BundleData versionNumber]
00000001abeac444 (__TEXT,__text) non-external -[BundleData version]
00000001abeba7f0 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001abeba7cc (__TEXT,__text) non-external -[GKScanResult allowed]
00000001abeba740 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001abeba7dc (__TEXT,__text) non-external -[GKScanResult gkError]
00000001abeba690 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001abeba7d4 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001abeba7e4 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001abeb9c50 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001abea7b7c (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001abea7b44 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001abea7b30 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001abea7b08 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001abea7b1c (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001abea7b68 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001abea7b4c (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001abea7b38 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001abea7b10 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001abea7b24 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001abea7b70 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001abea7b60 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001abea7b58 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001abeb916c (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001abeb8cf8 (__TEXT,__text) non-external -[PolicyScanTarget backingStore]
00000001abeb9074 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001abeb801c (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001abeb80d8 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001abeb845c (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001abeb84f8 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001abeb8398 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001abeb909c (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001abeb8718 (__TEXT,__text) non-external -[PolicyScanTarget createdTime]
00000001abeb8edc (__TEXT,__text) non-external -[PolicyScanTarget csflags]
00000001abebe614 (__TEXT,__text) non-external -[PolicyScanTarget csflags].cold.1
00000001abeb7884 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001abeb89f0 (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001abeb830c (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001abeb9084 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001abeb8c84 (__TEXT,__text) non-external -[PolicyScanTarget hasPowerfulEntitlements]
00000001abeb8c14 (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00000001abeb81f0 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001abeb78e8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001abebe2e8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001abebe37c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001abebe404 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001abebe448 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001abebe48c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001abebe514 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001abeb7868 (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001abeb90ac (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001abeb8f68 (__TEXT,__text) non-external -[PolicyScanTarget isBackingDMGNotarized]
00000001abeb90b4 (__TEXT,__text) non-external -[PolicyScanTarget isBadAppWrapper]
00000001abeb90ec (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001abeb9134 (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00000001abeb8818 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001abeb90d4 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001abeb86d0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001abeb90dc (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001abeb8788 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001abeb7f80 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001abeb9094 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001abeb912c (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001abeb907c (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001abeb905c (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001abeb906c (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001abeb9114 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001abeb87d0 (__TEXT,__text) non-external -[PolicyScanTarget quarantineFlags]
00000001abeb88fc (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001abeb8a88 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00000001abeb910c (__TEXT,__text) non-external -[PolicyScanTarget setBackingStore:]
00000001abeb90a4 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001abeb9124 (__TEXT,__text) non-external -[PolicyScanTarget setCsflags:]
00000001abeb9104 (__TEXT,__text) non-external -[PolicyScanTarget setHasPowerfulEntitlements:]
00000001abeb90fc (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00000001abeb90bc (__TEXT,__text) non-external -[PolicyScanTarget setIsBadAppWrapper:]
00000001abeb90f4 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001abeb913c (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00000001abeb90e4 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001abeb911c (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001abeb914c (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00000001abeb90cc (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001abeb9160 (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00000001abeb8634 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001abeb82d0 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001abeb8228 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001abeb8598 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001abeb8ad8 (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00000001abeb9144 (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00000001abeb90c4 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001abeb9054 (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001abeb9158 (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00000001abeb908c (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001abeb9064 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001abea4864 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00000001abea4418 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00000001abea4850 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00000001abea483c (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00000001abea4660 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00000001abea458c (__TEXT,__text) non-external -[ProvenanceEntry description]
00000001abea47d8 (__TEXT,__text) non-external -[ProvenanceEntry flags]
00000001abea449c (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00000001abea47ec (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00000001abea4858 (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00000001abea4844 (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00000001abea47e0 (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00000001abea47f4 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00000001abea4830 (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00000001abea481c (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00000001abea47cc (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00000001abea4808 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00000001abea4828 (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00000001abea4814 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00000001abea47c4 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00000001abea4800 (__TEXT,__text) non-external -[ProvenanceEntry url]
00000001abebafc8 (__TEXT,__text) non-external -[SPBundleProtection .cxx_destruct]
00000001abebae98 (__TEXT,__text) non-external -[SPBundleProtection dealloc]
00000001abebade4 (__TEXT,__text) non-external -[SPBundleProtection init]
00000001abebaee4 (__TEXT,__text) non-external -[SPBundleProtection sendMetricFromTCCWithURL:withPID:withError:]
00000001abebb830 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001abebb7bc (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001abebb684 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001abebb5d0 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001abebb6d0 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001abebb7a4 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001abebb820 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001abebb818 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001abebb6ec (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001abebb828 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001abeae6f0 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001abeae6d0 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001abeae6e0 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001abeae4e8 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001abeae6b0 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001abeae2d4 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001abeadfd4 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001abeadfb8 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001abeae6e8 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001abeae6b8 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001abeae6d8 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001abeae6c0 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001abeae6c8 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001abeb2070 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001abeb0dd4 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001abeb0ce4 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001abeb18d0 (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00000001abeb0c78 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001abeb0a14 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001abeb0768 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001abeb0918 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001abeb0fc0 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001abeb14a8 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00000001abeb178c (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00000001abeb1278 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00000001abeb06c4 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001abeb10b0 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001abeb1578 (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00000001abeb1800 (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00000001abeb0c6c (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001abeb15cc (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00000001abeb07bc (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001abeb07b4 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001abeb0ec4 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001abeb19a0 (__TEXT,__text) non-external -[SPExecutionPolicy setDownloadURL:andDataURL:forURL:]
00000001abeb156c (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00000001abeb1348 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00000001abeb16bc (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00000001abeb07e8 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001abeb11a0 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00000001abead6cc (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001abeacf28 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001abebcfe8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001abebd07c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001abebd118 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001abebd15c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001abebd208 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001abebd27c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001abebd328 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001abeada1c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001abead7c0 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withShouldOverridePolicy:withPolicy:withProgressHandler:error:]
00000001abeb06bc (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject .cxx_destruct]
00000001abeb062c (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject doGatekeeperProgressUpdate:withTotal:]
00000001abeb05bc (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject initWithParent:]
00000001abeb0684 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject parent]
00000001abeb06b0 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject setParent:]
00000001abeacec0 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001abeaceb8 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001abeace98 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00000001abeacc84 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00000001abeaca54 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00000001abeac8f4 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
