00000002982ff3e0 (__DATA,__bss) non-external _A
000000027e56ac04 (__TEXT,__text) non-external _S_render_node
000000027e57eacc (__TEXT,__text) non-external _S_render_node
000000027e581990 (__TEXT,__text) non-external _S_render_node.cold.1
000000027e581b64 (__TEXT,__text) non-external _S_render_node.cold.1
000000027e581c40 (__TEXT,__text) non-external _S_render_node.cold.1
000000027e582110 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000027e56947c (__TEXT,__text) non-external (was a private external) __ext_scan_at
000000027e56b76c (__TEXT,__text) non-external (was a private external) __scan_at
000000027e573de0 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
000000027e584113 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
000000027e56ce84 (__TEXT,__text) non-external (was a private external) __scan_autolink_email
000000027e583213 (__TEXT,__const) non-external __scan_autolink_email.yybm
000000027e56c2b8 (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
000000027e583113 (__TEXT,__const) non-external __scan_autolink_uri.yybm
000000027e5743c8 (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
000000027e584413 (__TEXT,__const) non-external __scan_close_code_fence.yybm
000000027e574f9c (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
000000027e574518 (__TEXT,__text) non-external (was a private external) __scan_entity
000000027e5752b8 (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
000000027e584513 (__TEXT,__const) non-external __scan_footnote_definition.yybm
000000027e571fe8 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
000000027e583a13 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
000000027e57296c (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
000000027e583b13 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
000000027e572d54 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
000000027e583c13 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
000000027e5730ac (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
000000027e583d13 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
000000027e5733c0 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
000000027e583e13 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
000000027e5707e4 (__TEXT,__text) non-external (was a private external) __scan_html_block_start
000000027e571980 (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
000000027e583913 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
000000027e5705d4 (__TEXT,__text) non-external (was a private external) __scan_html_cdata
000000027e583813 (__TEXT,__const) non-external __scan_html_cdata.yybm
000000027e57005c (__TEXT,__text) non-external (was a private external) __scan_html_comment
000000027e583513 (__TEXT,__const) non-external __scan_html_comment.yybm
000000027e5704a0 (__TEXT,__text) non-external (was a private external) __scan_html_declaration
000000027e583713 (__TEXT,__const) non-external __scan_html_declaration.yybm
000000027e5701e4 (__TEXT,__text) non-external (was a private external) __scan_html_pi
000000027e583613 (__TEXT,__const) non-external __scan_html_pi.yybm
000000027e56f768 (__TEXT,__text) non-external (was a private external) __scan_html_tag
000000027e583313 (__TEXT,__const) non-external __scan_html_tag.yybm
000000027e56fd90 (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
000000027e583413 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
000000027e5737a8 (__TEXT,__text) non-external (was a private external) __scan_link_title
000000027e583f13 (__TEXT,__const) non-external __scan_link_title.yybm
000000027e574098 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
000000027e584313 (__TEXT,__const) non-external __scan_open_code_fence.yybm
000000027e56b7cc (__TEXT,__text) non-external (was a private external) __scan_scheme
000000027e573f18 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
000000027e584213 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
000000027e573da4 (__TEXT,__text) non-external (was a private external) __scan_spacechars
000000027e584013 (__TEXT,__const) non-external __scan_spacechars.yybm
000000027e5696c8 (__TEXT,__text) non-external (was a private external) __scan_table_cell
000000027e582e13 (__TEXT,__const) non-external __scan_table_cell.yybm
000000027e56997c (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
000000027e5699b8 (__TEXT,__text) non-external (was a private external) __scan_table_row_end
000000027e582f13 (__TEXT,__const) non-external __scan_table_row_end.yybm
000000027e5694d4 (__TEXT,__text) non-external (was a private external) __scan_table_start
000000027e582d13 (__TEXT,__const) non-external __scan_table_start.yybm
000000027e569a68 (__TEXT,__text) non-external (was a private external) __scan_tasklist
000000027e583013 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
000000027e577fd4 (__TEXT,__text) non-external _add_child
000000027e581e2c (__TEXT,__text) non-external _add_child.cold.1
000000027e57872c (__TEXT,__text) non-external _add_line
000000027e581eb0 (__TEXT,__text) non-external _add_line.cold.1
000000027e57dd98 (__TEXT,__text) non-external _adjust_subj_node_newlines
000000027e581594 (__TEXT,__text) non-external _alloc_arena_chunk
000000027e5816cc (__TEXT,__text) non-external _arena_calloc
000000027e581804 (__TEXT,__text) non-external _arena_free
000000027e581784 (__TEXT,__text) non-external _arena_realloc
000000027e568a90 (__TEXT,__text) non-external _autolink_delim
0000000292188c38 (__DATA_CONST,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _bzero (from libSystem)
000000027e56727c (__TEXT,__text) non-external _can_contain
000000027e569fe4 (__TEXT,__text) non-external _can_contain
000000027e57fc84 (__TEXT,__text) non-external _can_contain
000000027e568994 (__TEXT,__text) non-external _check_domain
000000027e5787d0 (__TEXT,__text) non-external _chop_trailing_hashtags
000000027e581edc (__TEXT,__text) non-external _chop_trailing_hashtags.cold.1
000000027e581edc (__TEXT,__text) non-external _chop_trailing_hashtags.cold.2
000000027e57e040 (__TEXT,__text) non-external _chunk_clone
000000027e581610 (__TEXT,__text) external _cmark_arena_pop
000000027e581558 (__TEXT,__text) external _cmark_arena_push
000000027e58167c (__TEXT,__text) external _cmark_arena_reset
000000027e57f0d4 (__TEXT,__text) non-external _cmark_chunk_to_cstr
000000027e57a5d0 (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
000000027e57a518 (__TEXT,__text) non-external (was a private external) _cmark_clean_title
000000027e57a430 (__TEXT,__text) non-external (was a private external) _cmark_clean_url
000000027e581f68 (__TEXT,__text) non-external _cmark_clean_url.cold.1
000000027e581edc (__TEXT,__text) non-external _cmark_clean_url.cold.2
000000027e56a4d0 (__TEXT,__text) external _cmark_consolidate_text_nodes
000000027e582c13 (__TEXT,__const) non-external _cmark_ctype_class
000000027e5788c0 (__TEXT,__text) external _cmark_enable_safety_checks
0000000292180768 (__DATA_CONST,__const) non-external _cmark_entities
000000027e568e00 (__TEXT,__text) external _cmark_find_syntax_extension
000000027e5753e4 (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
000000027e581c6c (__TEXT,__text) non-external _cmark_footnote_create.cold.1
000000027e575464 (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
000000027e581808 (__TEXT,__text) external _cmark_get_arena_mem_allocator
000000027e565cbc (__TEXT,__text) external _cmark_get_default_mem_allocator
000000027e57550c (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
000000027e580d20 (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
000000027e580e58 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
000000027e580e90 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
000000027e580cf8 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
000000027e580df4 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
000000027e566fc8 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
000000027e580d78 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
000000027e580ec8 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
000000027e580efc (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
000000027e580d48 (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
000000027e580e20 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
000000027e566f6c (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
000000027e578908 (__TEXT,__text) external _cmark_init_standard_node_flags
000000027e57dc20 (__TEXT,__text) external _cmark_inline_parser_advance_offset
000000027e57dc58 (__TEXT,__text) external _cmark_inline_parser_get_chunk
000000027e57dc40 (__TEXT,__text) external _cmark_inline_parser_get_column
000000027e57dce4 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
000000027e57dcec (__TEXT,__text) external _cmark_inline_parser_get_line
000000027e57dc30 (__TEXT,__text) external _cmark_inline_parser_get_offset
000000027e57dc60 (__TEXT,__text) external _cmark_inline_parser_in_bracket
000000027e57d8b0 (__TEXT,__text) external _cmark_inline_parser_is_eof
000000027e57d8a4 (__TEXT,__text) external _cmark_inline_parser_peek_at
000000027e57d86c (__TEXT,__text) external _cmark_inline_parser_peek_char
000000027e581f94 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
000000027e57d9a8 (__TEXT,__text) external _cmark_inline_parser_push_delimiter
000000027e57da34 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
000000027e57da38 (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
000000027e581f94 (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
000000027e57dc38 (__TEXT,__text) external _cmark_inline_parser_set_offset
000000027e57d8c4 (__TEXT,__text) external _cmark_inline_parser_take_while
000000027e581f94 (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
000000027e57a638 (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
000000027e57a654 (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
000000027e566f14 (__TEXT,__text) external _cmark_isalnum
000000027e566f50 (__TEXT,__text) external _cmark_isalpha
000000027e566f34 (__TEXT,__text) external _cmark_isdigit
000000027e566ef8 (__TEXT,__text) external _cmark_ispunct
000000027e566edc (__TEXT,__text) external _cmark_isspace
000000027e56a3cc (__TEXT,__text) external _cmark_iter_free
000000027e56a4c0 (__TEXT,__text) external _cmark_iter_get_event_type
000000027e56a4b8 (__TEXT,__text) external _cmark_iter_get_node
000000027e56a4c8 (__TEXT,__text) external _cmark_iter_get_root
000000027e56a378 (__TEXT,__text) external _cmark_iter_new
000000027e56a3d8 (__TEXT,__text) external _cmark_iter_next
000000027e581c14 (__TEXT,__text) non-external _cmark_iter_next.cold.1
000000027e56a4ac (__TEXT,__text) external _cmark_iter_reset
000000027e568dac (__TEXT,__text) external _cmark_list_syntax_extensions
000000027e56b670 (__TEXT,__text) external _cmark_llist_append
000000027e56b72c (__TEXT,__text) external _cmark_llist_free
000000027e56b6cc (__TEXT,__text) external _cmark_llist_free_full
000000027e576558 (__TEXT,__text) external _cmark_manage_extensions_special_characters
000000027e5757ac (__TEXT,__text) non-external (was a private external) _cmark_map_free
000000027e575630 (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
000000027e575820 (__TEXT,__text) non-external (was a private external) _cmark_map_new
000000027e565cc8 (__TEXT,__text) external _cmark_markdown_to_html
000000027e57a1b8 (__TEXT,__text) external _cmark_node_append_child
000000027e57890c (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
000000027e57a214 (__TEXT,__text) non-external (was a private external) _cmark_node_check
000000027e579060 (__TEXT,__text) external _cmark_node_first_child
000000027e578afc (__TEXT,__text) external _cmark_node_free
000000027e579b54 (__TEXT,__text) external _cmark_node_get_attributes
000000027e579224 (__TEXT,__text) external _cmark_node_get_backtick_count
000000027e579ff8 (__TEXT,__text) external _cmark_node_get_end_column
000000027e579fec (__TEXT,__text) external _cmark_node_get_end_line
000000027e57967c (__TEXT,__text) external _cmark_node_get_fence_info
000000027e5797e8 (__TEXT,__text) external _cmark_node_get_fenced
000000027e5793a8 (__TEXT,__text) external _cmark_node_get_heading_level
000000027e579624 (__TEXT,__text) external _cmark_node_get_item_index
000000027e579518 (__TEXT,__text) external _cmark_node_get_list_delim
000000027e579468 (__TEXT,__text) external _cmark_node_get_list_marker
000000027e579578 (__TEXT,__text) external _cmark_node_get_list_start
000000027e5795d0 (__TEXT,__text) external _cmark_node_get_list_tight
000000027e579408 (__TEXT,__text) external _cmark_node_get_list_type
000000027e5790e0 (__TEXT,__text) external _cmark_node_get_literal
000000027e579cc0 (__TEXT,__text) external _cmark_node_get_on_enter
000000027e579e3c (__TEXT,__text) external _cmark_node_get_on_exit
000000027e579fe0 (__TEXT,__text) external _cmark_node_get_start_column
000000027e579fd4 (__TEXT,__text) external _cmark_node_get_start_line
000000027e579384 (__TEXT,__text) external _cmark_node_get_string_content
000000027e579fb8 (__TEXT,__text) external _cmark_node_get_syntax_extension
000000027e5799d8 (__TEXT,__text) external _cmark_node_get_title
000000027e578bec (__TEXT,__text) external _cmark_node_get_type
000000027e578db0 (__TEXT,__text) external _cmark_node_get_type_string
000000027e57985c (__TEXT,__text) external _cmark_node_get_url
000000027e5790b4 (__TEXT,__text) external _cmark_node_get_user_data
000000027e57a0a8 (__TEXT,__text) external _cmark_node_insert_after
000000027e57a030 (__TEXT,__text) external _cmark_node_insert_before
000000027e57906c (__TEXT,__text) external _cmark_node_last_child
000000027e578aec (__TEXT,__text) external _cmark_node_new
000000027e578ad4 (__TEXT,__text) external _cmark_node_new_with_ext
000000027e578ae4 (__TEXT,__text) external _cmark_node_new_with_mem
000000027e578a14 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
000000027e57903c (__TEXT,__text) external _cmark_node_next
000000027e579078 (__TEXT,__text) external _cmark_node_nth_child
000000027e56a648 (__TEXT,__text) external _cmark_node_own
000000027e579054 (__TEXT,__text) external _cmark_node_parent
000000027e5790a8 (__TEXT,__text) external _cmark_node_parent_footnote_def
000000027e57a15c (__TEXT,__text) external _cmark_node_prepend_child
000000027e579048 (__TEXT,__text) external _cmark_node_previous
000000027e57a120 (__TEXT,__text) external _cmark_node_replace
000000027e579bf4 (__TEXT,__text) external _cmark_node_set_attributes
000000027e57971c (__TEXT,__text) external _cmark_node_set_fence_info
000000027e579824 (__TEXT,__text) external _cmark_node_set_fenced
000000027e5793cc (__TEXT,__text) external _cmark_node_set_heading_level
000000027e579648 (__TEXT,__text) external _cmark_node_set_item_index
000000027e57953c (__TEXT,__text) external _cmark_node_set_list_delim
000000027e5794b8 (__TEXT,__text) external _cmark_node_set_list_marker
000000027e57959c (__TEXT,__text) external _cmark_node_set_list_start
000000027e5795f4 (__TEXT,__text) external _cmark_node_set_list_tight
000000027e57942c (__TEXT,__text) external _cmark_node_set_list_type
000000027e57922c (__TEXT,__text) external _cmark_node_set_literal
000000027e579d68 (__TEXT,__text) external _cmark_node_set_on_enter
000000027e579ee4 (__TEXT,__text) external _cmark_node_set_on_exit
000000027e57938c (__TEXT,__text) external _cmark_node_set_string_content
000000027e579fc4 (__TEXT,__text) external _cmark_node_set_syntax_extension
000000027e579a80 (__TEXT,__text) external _cmark_node_set_title
000000027e578bf8 (__TEXT,__text) external _cmark_node_set_type
000000027e579904 (__TEXT,__text) external _cmark_node_set_url
000000027e5790c0 (__TEXT,__text) external _cmark_node_set_user_data
000000027e5790d0 (__TEXT,__text) external _cmark_node_set_user_data_free_func
000000027e57a004 (__TEXT,__text) external _cmark_node_unlink
000000027e57dc9c (__TEXT,__text) external _cmark_node_unput
000000027e576d28 (__TEXT,__text) external _cmark_parse_document
000000027e5765d0 (__TEXT,__text) external _cmark_parse_file
000000027e57a66c (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
000000027e57d610 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
000000027e57ce50 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
000000027e581f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
000000027e577fd0 (__TEXT,__text) external _cmark_parser_add_child
000000027e5780b4 (__TEXT,__text) external _cmark_parser_advance_offset
000000027e576248 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
000000027e576508 (__TEXT,__text) non-external _cmark_parser_dispose
000000027e576d90 (__TEXT,__text) external _cmark_parser_feed
000000027e576d98 (__TEXT,__text) external _cmark_parser_feed_reentrant
000000027e576880 (__TEXT,__text) external _cmark_parser_finish
000000027e57647c (__TEXT,__text) external _cmark_parser_free
000000027e577f98 (__TEXT,__text) external _cmark_parser_get_column
000000027e577fa0 (__TEXT,__text) external _cmark_parser_get_first_nonspace
000000027e577fa8 (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
000000027e577fb0 (__TEXT,__text) external _cmark_parser_get_indent
000000027e577fc8 (__TEXT,__text) external _cmark_parser_get_last_line_length
000000027e577f88 (__TEXT,__text) external _cmark_parser_get_line_number
000000027e577f90 (__TEXT,__text) external _cmark_parser_get_offset
000000027e5781c4 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
000000027e577fc0 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
000000027e577fb8 (__TEXT,__text) external _cmark_parser_is_blank
000000027e576470 (__TEXT,__text) external _cmark_parser_new
000000027e576308 (__TEXT,__text) external _cmark_parser_new_with_mem
000000027e576374 (__TEXT,__text) non-external _cmark_parser_reset
000000027e5781bc (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
000000027e569e14 (__TEXT,__text) external _cmark_plugin_free
000000027e569de4 (__TEXT,__text) external _cmark_plugin_new
000000027e569da8 (__TEXT,__text) external _cmark_plugin_register_syntax_extension
000000027e569e70 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
000000027e576028 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
000000027e581d50 (__TEXT,__text) non-external _cmark_reference_create.cold.1
000000027e5760ec (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
000000027e581d7c (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
000000027e57619c (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
000000027e5788cc (__TEXT,__text) external _cmark_register_node_flag
000000027e581f08 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
000000027e581f38 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
0000000299996588 (__DATA_DIRTY,__data) non-external _cmark_register_node_flag.nextflag
000000027e568cc0 (__TEXT,__text) external _cmark_register_plugin
000000027e568d64 (__TEXT,__text) external _cmark_release_plugins
000000027e568ed8 (__TEXT,__text) non-external (was a private external) _cmark_render
000000027e568e58 (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
000000027e568e9c (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
000000027e5649ac (__TEXT,__text) external _cmark_render_commonmark
000000027e5649e8 (__TEXT,__text) external _cmark_render_commonmark_with_mem
000000027e565d0c (__TEXT,__text) external _cmark_render_html
000000027e565d14 (__TEXT,__text) external _cmark_render_html_with_mem
000000027e581b38 (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
000000027e56a840 (__TEXT,__text) external _cmark_render_latex
000000027e56a874 (__TEXT,__text) external _cmark_render_latex_with_mem
000000027e5674f4 (__TEXT,__text) external _cmark_render_man
000000027e567528 (__TEXT,__text) external _cmark_render_man_with_mem
000000027e57ea48 (__TEXT,__text) external _cmark_render_plaintext
000000027e57ea84 (__TEXT,__text) external _cmark_render_plaintext_with_mem
000000027e57e0b0 (__TEXT,__text) external _cmark_render_xml
000000027e57e0b8 (__TEXT,__text) external _cmark_render_xml_with_mem
000000027e57a3cc (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00000002982ff2d9 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
000000027e57a5d4 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00000002982ff1d0 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00000002982ff2d0 (__DATA,__common) external _cmark_strbuf__initbuf
000000027e575994 (__TEXT,__text) external _cmark_strbuf_clear
000000027e575c7c (__TEXT,__text) external _cmark_strbuf_cmp
000000027e575bb4 (__TEXT,__text) external _cmark_strbuf_copy_cstr
000000027e581d24 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
000000027e575c48 (__TEXT,__text) external _cmark_strbuf_detach
000000027e575d94 (__TEXT,__text) external _cmark_strbuf_drop
000000027e575948 (__TEXT,__text) external _cmark_strbuf_free
000000027e5758c8 (__TEXT,__text) external _cmark_strbuf_grow
000000027e581cc4 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
000000027e581cf8 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
000000027e5758a0 (__TEXT,__text) external _cmark_strbuf_init
000000027e575940 (__TEXT,__text) external _cmark_strbuf_len
000000027e575ed8 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
000000027e575af8 (__TEXT,__text) external _cmark_strbuf_put
000000027e575aa8 (__TEXT,__text) external _cmark_strbuf_putc
000000027e575b6c (__TEXT,__text) external _cmark_strbuf_puts
000000027e575df8 (__TEXT,__text) external _cmark_strbuf_rtrim
000000027e5759b0 (__TEXT,__text) external _cmark_strbuf_set
000000027e575a54 (__TEXT,__text) external _cmark_strbuf_sets
000000027e575cd0 (__TEXT,__text) external _cmark_strbuf_strchr
000000027e575d28 (__TEXT,__text) external _cmark_strbuf_strrchr
000000027e575c1c (__TEXT,__text) external _cmark_strbuf_swap
000000027e575e58 (__TEXT,__text) external _cmark_strbuf_trim
000000027e575d74 (__TEXT,__text) external _cmark_strbuf_truncate
000000027e575f84 (__TEXT,__text) external _cmark_strbuf_unescape
000000027e567d70 (__TEXT,__text) external _cmark_syntax_extension_add_node
000000027e581b90 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
000000027e567c98 (__TEXT,__text) external _cmark_syntax_extension_free
000000027e567e50 (__TEXT,__text) external _cmark_syntax_extension_get_private
000000027e567d04 (__TEXT,__text) external _cmark_syntax_extension_new
000000027e567df4 (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
000000027e567e68 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
000000027e567e04 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
000000027e567dfc (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
000000027e567db4 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
000000027e567dec (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
000000027e567e34 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
000000027e567e2c (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
000000027e567ddc (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
000000027e567e14 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
000000027e567e24 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
