00007ff808e3d220 (__TEXT,__const) non-external _A1_Table
00007ff843954460 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelDescription
00007ff843954418 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelNames
00007ff843954430 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChromaSiting
00007ff843954420 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetColorSpace
00007ff843954440 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetConversionMatrix
00007ff843954408 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetFormatCode
00007ff843954470 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetUserData
00007ff843954480 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_InitvImageCGImageFormat
00007ff843954488 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Print
00007ff843954400 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Release
00007ff8439543f8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Retain
00007ff843954458 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetAlphaHint
00007ff843954438 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetChromaSiting
00007ff843954428 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetColorSpace
00007ff843954478 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetUserData
00007ff80835cd40 (__TEXT,__text) non-external (was a private external) _CacheTable_Destroy
00007ff841e42bd8 (__DATA,__data) non-external _CacheTable_GetCache.gCacheTable
00007ff841e42be0 (__DATA,__data) non-external _CacheTable_GetCache.predicate
00007ff80834aa00 (__TEXT,__text) non-external (was a private external) _CacheTable_Init
00007ff808e71270 (__TEXT,__const) non-external _CacheTable_Init.elementSize
00007ff80834ad00 (__TEXT,__text) non-external _CacheTable_key_hash
00007ff80834c950 (__TEXT,__text) non-external _CacheTable_key_is_equal
00007ff808daf0e0 (__TEXT,__text) non-external _CacheTable_key_release
00007ff80834c900 (__TEXT,__text) non-external _CacheTable_key_retain
00007ff80834ac60 (__TEXT,__text) non-external _CacheTable_setup
00007ff80837a470 (__TEXT,__text) non-external _CacheTable_value_make_nonpurgeable
00007ff808371f20 (__TEXT,__text) non-external _CacheTable_value_make_purgeable
00007ff808daf0f0 (__TEXT,__text) non-external _CacheTable_value_release
00007ff841e42bc0 (__DATA,__data) non-external _CalculateNumThreads.cpuCount
00007ff8086752d0 (__TEXT,__text) non-external _ChunkyToPlanar16U
00007ff808343b80 (__TEXT,__text) non-external _ChunkyToPlanar8
00007ff8086755d0 (__TEXT,__text) non-external _ChunkyToPlanarF
00007ff808664ba0 (__TEXT,__text) non-external _ChunkyToPlanarPass_Print
00007ff80848d990 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGB8888
00007ff808480680 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGBFFFF
00007ff8083af460 (__TEXT,__text) non-external (was a private external) _ColorFill_Planar8
00007ff80847c960 (__TEXT,__text) non-external (was a private external) _ColorFill_PlanarF
00007ff80866c5e0 (__TEXT,__text) non-external _CompressPassesToLUT
00007ff840724960 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_8to64U_vtbl
00007ff840724900 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar128_vtbl
00007ff840724720 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar16_vtbl
00007ff840724780 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar24_vtbl
00007ff840724840 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar48_vtbl
00007ff8407248a0 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar96_vtbl
00007ff8407247e0 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanarF_vtbl
00007ff8407246c0 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_TableLookup_Planar8_vtbl
00007ff8083c5d10 (__TEXT,__text) non-external _ComputeTileSize
00007ff808daf120 (__TEXT,__text) non-external _ComputeTileSize.cold.1
00007ff8084ef070 (__TEXT,__text) non-external (was a private external) _ContrastStretch_ARGBFFFF_AVX
00007ff8084ed470 (__TEXT,__text) non-external (was a private external) _ContrastStretch_PlanarF_AVX
00007ff808668f60 (__TEXT,__text) non-external _Convert10ToF
00007ff808668480 (__TEXT,__text) non-external _Convert10toSomethingPass_Print
00007ff808669080 (__TEXT,__text) non-external _Convert11ToF
00007ff8086691a0 (__TEXT,__text) non-external _Convert12ToF
00007ff8086692c0 (__TEXT,__text) non-external _Convert13ToF
00007ff8086693e0 (__TEXT,__text) non-external _Convert14ToF
00007ff808669500 (__TEXT,__text) non-external _Convert15ToF
00007ff80838ec00 (__TEXT,__text) non-external (was a private external) _Convert16UToF
00007ff808669620 (__TEXT,__text) non-external _Convert17ToF
00007ff808669740 (__TEXT,__text) non-external _Convert18ToF
00007ff808669860 (__TEXT,__text) non-external _Convert19ToF
00007ff808666c00 (__TEXT,__text) non-external _Convert1To8Bit
00007ff808669980 (__TEXT,__text) non-external _Convert20ToF
00007ff808669aa0 (__TEXT,__text) non-external _Convert21ToF
00007ff808669bc0 (__TEXT,__text) non-external _Convert22ToF
00007ff808669ce0 (__TEXT,__text) non-external _Convert23ToF
00007ff808669e00 (__TEXT,__text) non-external _Convert24ToF
00007ff808669f20 (__TEXT,__text) non-external _Convert25ToF
00007ff80866a040 (__TEXT,__text) non-external _Convert26ToF
00007ff80866a160 (__TEXT,__text) non-external _Convert27ToF
00007ff80866a280 (__TEXT,__text) non-external _Convert28ToF
00007ff80866a3a0 (__TEXT,__text) non-external _Convert29ToF
00007ff808666d00 (__TEXT,__text) non-external _Convert2To8Bit
00007ff80866a4c0 (__TEXT,__text) non-external _Convert30ToF
00007ff80866a5e0 (__TEXT,__text) non-external _Convert31ToF
00007ff80866a700 (__TEXT,__text) non-external _Convert32ToF
00007ff808667230 (__TEXT,__text) non-external _Convert3To8Bit
00007ff808666e00 (__TEXT,__text) non-external _Convert4To8Bit
00007ff808667340 (__TEXT,__text) non-external _Convert5To8Bit
00007ff808667440 (__TEXT,__text) non-external _Convert6To8Bit
00007ff808667550 (__TEXT,__text) non-external _Convert7To8Bit
00007ff808666f00 (__TEXT,__text) non-external _Convert8To1Bit
00007ff808667010 (__TEXT,__text) non-external _Convert8To2Bit
00007ff808667660 (__TEXT,__text) non-external _Convert8To3Bit
00007ff808667120 (__TEXT,__text) non-external _Convert8To4Bit
00007ff808667760 (__TEXT,__text) non-external _Convert8To5Bit
00007ff808667860 (__TEXT,__text) non-external _Convert8To6Bit
00007ff808667960 (__TEXT,__text) non-external _Convert8To7Bit
00007ff808668e40 (__TEXT,__text) non-external _Convert9ToF
00007ff80833b780 (__TEXT,__text) non-external _ConvertByteOrderingToDefault
00007ff840721cc0 (__DATA_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed1_vtbl
00007ff840721d20 (__DATA_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed2_vtbl
00007ff840721d80 (__DATA_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed4_vtbl
00007ff840721de0 (__DATA_CONST,__const) non-external _ConvertDirectToIndexed.Convert_TableLookUp_Planar8toIndexed_vtbl
00007ff80866a930 (__TEXT,__text) non-external _ConvertFTo10
00007ff80866aa40 (__TEXT,__text) non-external _ConvertFTo11
00007ff80866ab50 (__TEXT,__text) non-external _ConvertFTo12
00007ff80866ac60 (__TEXT,__text) non-external _ConvertFTo13
00007ff80866ad70 (__TEXT,__text) non-external _ConvertFTo14
00007ff80866ae80 (__TEXT,__text) non-external _ConvertFTo15
00007ff80866af90 (__TEXT,__text) non-external _ConvertFTo17
00007ff80866b0a0 (__TEXT,__text) non-external _ConvertFTo18
00007ff80866b1b0 (__TEXT,__text) non-external _ConvertFTo19
00007ff80866b2c0 (__TEXT,__text) non-external _ConvertFTo20
00007ff80866b3d0 (__TEXT,__text) non-external _ConvertFTo21
00007ff80866b4e0 (__TEXT,__text) non-external _ConvertFTo22
00007ff80866b5f0 (__TEXT,__text) non-external _ConvertFTo23
00007ff80866b700 (__TEXT,__text) non-external _ConvertFTo24
00007ff80866b810 (__TEXT,__text) non-external _ConvertFTo25
00007ff80866b920 (__TEXT,__text) non-external _ConvertFTo26
00007ff80866ba30 (__TEXT,__text) non-external _ConvertFTo27
00007ff80866bb40 (__TEXT,__text) non-external _ConvertFTo28
00007ff80866bc50 (__TEXT,__text) non-external _ConvertFTo29
00007ff80866bd60 (__TEXT,__text) non-external _ConvertFTo30
00007ff80866be70 (__TEXT,__text) non-external _ConvertFTo31
00007ff80866bf80 (__TEXT,__text) non-external _ConvertFTo32
00007ff80866a820 (__TEXT,__text) non-external _ConvertFTo9
00007ff80866c440 (__TEXT,__text) non-external _ConvertFloatToHalf
00007ff84072a7a0 (__DATA_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB16Q12_vtbl
00007ff84072a800 (__DATA_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB16U_vtbl
00007ff84072a740 (__DATA_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB8888_vtbl
00007ff80866c370 (__TEXT,__text) non-external _ConvertHalfToFloat
00007ff808661650 (__TEXT,__text) non-external _ConvertIndexedToDirect
00007ff840721a20 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed1toPlanar8_vtbl
00007ff840721a80 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed2toPlanar8_vtbl
00007ff840721ae0 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed4toPlanar8_vtbl
00007ff840721ba0 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8ToChunky_vtbl
00007ff840721c60 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8toARGB888_vtbl
00007ff840721c00 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8toRGB888_vtbl
00007ff840721b40 (__DATA_CONST,__const) non-external _ConvertIndexedToDirect.Convert_TableLookUp_Planar8_vtbl
00007ff80835bea0 (__TEXT,__text) non-external (was a private external) _ConvertPass_Delete
00007ff8085bff10 (__TEXT,__text) non-external (was a private external) _ConvertPass_Print
00007ff80835bf20 (__TEXT,__text) non-external (was a private external) _ConvertPass_StandardDeallocator
00007ff8407296c0 (__DATA_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB16Q12toCVRGB101010_vtbl
00007ff840729720 (__DATA_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB16UtoCVRGB101010_vtbl
00007ff840729660 (__DATA_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB8888toCVRGB101010_vtbl
00007ff80866c090 (__TEXT,__text) non-external _Convert_12UTo16U
00007ff8086613b0 (__TEXT,__text) non-external (was a private external) _Convert_16Q12to16U
00007ff8086611f0 (__TEXT,__text) non-external (was a private external) _Convert_16Q12to8
00007ff808661570 (__TEXT,__text) non-external (was a private external) _Convert_16Q12toF
00007ff80866c1a0 (__TEXT,__text) non-external _Convert_16UTo12U
00007ff808660f20 (__TEXT,__text) non-external (was a private external) _Convert_16UToF
00007ff808660dc0 (__TEXT,__text) non-external (was a private external) _Convert_16UToPlanar8
00007ff8086612d0 (__TEXT,__text) non-external (was a private external) _Convert_16Uto16Q12
00007ff808677300 (__TEXT,__text) non-external _Convert_420Yp8_Cb8_Cr8ToARGB8888
00007ff808677370 (__TEXT,__text) non-external _Convert_420Yp8_CbCr8ToARGB8888
00007ff808677210 (__TEXT,__text) non-external _Convert_422CbYpCrYp16ToARGB16U
00007ff8086771e0 (__TEXT,__text) non-external _Convert_422CbYpCrYp16ToARGB8888
00007ff808677100 (__TEXT,__text) non-external _Convert_422CbYpCrYp8ToARGB8888
00007ff808677340 (__TEXT,__text) non-external _Convert_422CbYpCrYp8_AA8ToARGB8888
00007ff808677270 (__TEXT,__text) non-external _Convert_422CrYpCbYpCbYpCbYpCrYpCrYp10ToARGB16Q12
00007ff808677240 (__TEXT,__text) non-external _Convert_422CrYpCbYpCbYpCbYpCrYpCrYp10ToARGB8888
00007ff8086773b0 (__TEXT,__text) non-external _Convert_422YpCbYpCr8ToARGB8888
00007ff808677190 (__TEXT,__text) non-external _Convert_444AYpCbCr16ToARGB16U
00007ff808677170 (__TEXT,__text) non-external _Convert_444AYpCbCr16ToARGB8888
00007ff808677150 (__TEXT,__text) non-external _Convert_444AYpCbCr8ToARGB8888
00007ff808677130 (__TEXT,__text) non-external _Convert_444CbYpCrA8ToARGB8888
00007ff8086772d0 (__TEXT,__text) non-external _Convert_444CrYpCb10ToARGB16Q12
00007ff8086772a0 (__TEXT,__text) non-external _Convert_444CrYpCb10ToARGB8888
00007ff8086771b0 (__TEXT,__text) non-external _Convert_444CrYpCb8ToARGB8888
00007ff80837ca20 (__TEXT,__text) non-external (was a private external) _Convert_8to16Q12
00007ff808667a60 (__TEXT,__text) non-external _Convert_ARGB1555toARGB8888
00007ff808667ad0 (__TEXT,__text) non-external _Convert_ARGB1555toBGRA8888
00007ff808676f80 (__TEXT,__text) non-external _Convert_ARGB16Q12To422CrYpCbYpCbYpCbYpCrYpCrYp10
00007ff808676fc0 (__TEXT,__text) non-external _Convert_ARGB16Q12To444CrYpCb10
00007ff808676df0 (__TEXT,__text) non-external _Convert_ARGB16Q12toCVRGB101010
00007ff808676f40 (__TEXT,__text) non-external _Convert_ARGB16UTo422CbYpCrYp16
00007ff808676ee0 (__TEXT,__text) non-external _Convert_ARGB16UTo444AYpCbCr16
00007ff808660ea0 (__TEXT,__text) non-external (was a private external) _Convert_ARGB16UToARGB8888
00007ff808e40050 (__TEXT,__const) non-external _Convert_ARGB16UToARGB8888.black
00007ff808676e30 (__TEXT,__text) non-external _Convert_ARGB16UtoCVRGB101010
00007ff8086605a0 (__TEXT,__text) non-external (was a private external) _Convert_ARGB16UtoRGB16U
00007ff808676fe0 (__TEXT,__text) non-external _Convert_ARGB8888To420Yp8_Cb8_Cr8
00007ff808677030 (__TEXT,__text) non-external _Convert_ARGB8888To420Yp8_CbCr8
00007ff808676f20 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp16
00007ff808676e60 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp8
00007ff808677010 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp8_AA8
00007ff808676f60 (__TEXT,__text) non-external _Convert_ARGB8888To422CrYpCbYpCbYpCbYpCrYpCrYp10
00007ff808677050 (__TEXT,__text) non-external _Convert_ARGB8888To422YpCbYpCr8
00007ff808676ec0 (__TEXT,__text) non-external _Convert_ARGB8888To444AYpCbCr16
00007ff808676ea0 (__TEXT,__text) non-external _Convert_ARGB8888To444AYpCbCr8
00007ff808676e80 (__TEXT,__text) non-external _Convert_ARGB8888To444CbYpCrA8
00007ff808676fa0 (__TEXT,__text) non-external _Convert_ARGB8888To444CrYpCb10
00007ff808676f00 (__TEXT,__text) non-external _Convert_ARGB8888To444CrYpCb8
00007ff808660bd0 (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888ToARGB16U
00007ff808e40040 (__TEXT,__const) non-external _Convert_ARGB8888ToARGB16U.backColor
00007ff808660c50 (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888ToRGB16U
00007ff808e40048 (__TEXT,__const) non-external _Convert_ARGB8888ToRGB16U.backColor
00007ff808667e80 (__TEXT,__text) non-external _Convert_ARGB8888toARGB1555
00007ff841e43c90 (__DATA,__bss) non-external _Convert_ARGB8888toARGB1555.vConvert_ARGB8888toARGB1555_DitherOrdered
00007ff808676dc0 (__TEXT,__text) non-external _Convert_ARGB8888toCVRGB101010
00007ff808668740 (__TEXT,__text) non-external _Convert_ARGB8888toRGB101010
00007ff808667f90 (__TEXT,__text) non-external _Convert_ARGB8888toRGB565
00007ff841e43c98 (__DATA,__bss) non-external _Convert_ARGB8888toRGB565.vConvert_ARGB8888toRGB565_DitherOrdered
00007ff808660540 (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888toRGB888
00007ff808660600 (__TEXT,__text) non-external (was a private external) _Convert_ARGBFFFFtoRGBFFF
00007ff808662f20 (__TEXT,__text) non-external _Convert_BGR888toRGB888
00007ff808e40360 (__TEXT,__const) non-external _Convert_BGR888toRGB888.permuteMap
00007ff8086687c0 (__TEXT,__text) non-external _Convert_BGRA8888toRGB101010
00007ff8086681b0 (__TEXT,__text) non-external _Convert_BGRA8888toRGB565
00007ff841e43cb0 (__DATA,__bss) non-external _Convert_BGRA8888toRGB565.vConvert_BGRA8888toRGB565_DitherOrdered
00007ff808660520 (__TEXT,__text) non-external (was a private external) _Convert_BGRA8888toRGB888
00007ff8086770a0 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB16Q12
00007ff8086770d0 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB16U
00007ff808677070 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB8888
00007ff808661100 (__TEXT,__text) non-external (was a private external) _Convert_FTo16U
00007ff808661490 (__TEXT,__text) non-external (was a private external) _Convert_Fto16Q12
00007ff808664630 (__TEXT,__text) non-external _Convert_Indexed1toPlanar8
00007ff808664a50 (__TEXT,__text) non-external _Convert_Indexed2toPlanar8
00007ff808664ac0 (__TEXT,__text) non-external _Convert_Indexed4toPlanar8
00007ff80866c2a0 (__TEXT,__text) non-external _Convert_Planar16FtoPlanar16Q12
00007ff808383c30 (__TEXT,__text) non-external _Convert_Planar16FtoPlanar16U
00007ff80837d080 (__TEXT,__text) non-external _Convert_Planar16Q12toPlanar16F
00007ff80866c510 (__TEXT,__text) non-external _Convert_Planar16UtoPlanar16F
00007ff808660af0 (__TEXT,__text) non-external (was a private external) _Convert_Planar8To16U
00007ff808664cb0 (__TEXT,__text) non-external _Convert_Planar8toARGB8888
00007ff808664ce0 (__TEXT,__text) non-external _Convert_Planar8toIndexed1
00007ff808664d60 (__TEXT,__text) non-external _Convert_Planar8toIndexed2
00007ff808664de0 (__TEXT,__text) non-external _Convert_Planar8toIndexed4
00007ff808660cd0 (__TEXT,__text) non-external (was a private external) _Convert_Planar8toPlanarF
00007ff808664c90 (__TEXT,__text) non-external _Convert_Planar8toRGB888
00007ff808661010 (__TEXT,__text) non-external (was a private external) _Convert_PlanarFtoPlanar8
00007ff8086684f0 (__TEXT,__text) non-external _Convert_RGB101010toARGB8888
00007ff8086685a0 (__TEXT,__text) non-external _Convert_RGB101010toBGRA8888
00007ff808668a10 (__TEXT,__text) non-external _Convert_RGB101010toRGB16U
00007ff808668650 (__TEXT,__text) non-external _Convert_RGB101010toRGB888
00007ff8086688b0 (__TEXT,__text) non-external _Convert_RGB101010toRGBA16Q12
00007ff808668960 (__TEXT,__text) non-external _Convert_RGB101010toRGBA16U
00007ff8086683d0 (__TEXT,__text) non-external _Convert_RGB101010toRGBA8888
00007ff808668c00 (__TEXT,__text) non-external _Convert_RGB101010toRGBAFFFF
00007ff808668cb0 (__TEXT,__text) non-external _Convert_RGB101010toRGBFFF
00007ff8086604c0 (__TEXT,__text) non-external (was a private external) _Convert_RGB16UtoARGB16U
00007ff808668b90 (__TEXT,__text) non-external _Convert_RGB16UtoRGB101010
00007ff8083828c0 (__TEXT,__text) non-external (was a private external) _Convert_RGB16UtoRGBA16U
00007ff808667d80 (__TEXT,__text) non-external _Convert_RGB565toABGR8888
00007ff808667bd0 (__TEXT,__text) non-external _Convert_RGB565toARGB8888
00007ff808667d10 (__TEXT,__text) non-external _Convert_RGB565toBGRA8888
00007ff808667e10 (__TEXT,__text) non-external _Convert_RGB565toRGB888
00007ff808667ca0 (__TEXT,__text) non-external _Convert_RGB565toRGBA8888
00007ff8086604a0 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toARGB8888
00007ff80836b240 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toBGRA8888
00007ff808668840 (__TEXT,__text) non-external _Convert_RGB888toRGB101010
00007ff8086682c0 (__TEXT,__text) non-external _Convert_RGB888toRGB565
00007ff841e43cb8 (__DATA,__bss) non-external _Convert_RGB888toRGB565.vConvert_RGB888toRGB565_DitherOrdered
00007ff808373260 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toRGBA8888
00007ff808668a80 (__TEXT,__text) non-external _Convert_RGBA16Q12toRGB101010
00007ff808668b10 (__TEXT,__text) non-external _Convert_RGBA16UtoRGB101010
00007ff808660590 (__TEXT,__text) non-external (was a private external) _Convert_RGBA16UtoRGB16U
00007ff808667b60 (__TEXT,__text) non-external _Convert_RGBA5551toRGBA8888
00007ff8086686c0 (__TEXT,__text) non-external _Convert_RGBA8888toRGB101010
00007ff8083add30 (__TEXT,__text) non-external _Convert_RGBA8888toRGB565
00007ff841e43ca0 (__DATA,__bss) non-external _Convert_RGBA8888toRGB565.vConvert_RGBA8888toRGB565_DitherOrdered
00007ff808660530 (__TEXT,__text) non-external (was a private external) _Convert_RGBA8888toRGB888
00007ff8086680a0 (__TEXT,__text) non-external _Convert_RGBA8888toRGBA5551
00007ff841e43ca8 (__DATA,__bss) non-external _Convert_RGBA8888toRGBA5551.vConvert_RGBA8888toRGBA5551_DitherOrdered
00007ff808668d30 (__TEXT,__text) non-external _Convert_RGBAFFFFtoRGB101010
00007ff8086605f0 (__TEXT,__text) non-external (was a private external) _Convert_RGBAFFFFtoRGBFFF
00007ff808660500 (__TEXT,__text) non-external (was a private external) _Convert_RGBFFFtoARGBFFFF
00007ff808668dc0 (__TEXT,__text) non-external _Convert_RGBFFFtoRGB101010
00007ff8086604e0 (__TEXT,__text) non-external (was a private external) _Convert_RGBFFFtoRGBAFFFF
00007ff8084dd050 (__TEXT,__text) non-external _Convolve16F_GCDWork
00007ff808371720 (__TEXT,__text) non-external (was a private external) _CopyImageTilingInfo
00007ff80848c6f0 (__TEXT,__text) non-external (was a private external) _CopyInPlace_ARGB8888
00007ff80847ff30 (__TEXT,__text) non-external (was a private external) _CopyInPlace_ARGBFFFF
00007ff808485440 (__TEXT,__text) non-external (was a private external) _CopyInPlace_Planar8
00007ff80847b4e0 (__TEXT,__text) non-external (was a private external) _CopyInPlace_PlanarF
00007ff808372160 (__TEXT,__text) non-external (was a private external) _Copy_Convert
00007ff8086701b0 (__TEXT,__text) non-external _CorrectWithinColorspace
00007ff840729ae0 (__DATA_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16Q12To422CrYpCbYpCbYpCbYpCrYpCrYp10_vtbl
00007ff840729ba0 (__DATA_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16Q12To444CrYpCb10_vtbl
00007ff840729a20 (__DATA_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16UTo422CbYpCrYp16_vtbl
00007ff840729900 (__DATA_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16UTo444AYpCbCr16_vtbl
