                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFBundleCopyBundleURL (from CoreFoundation)
                 (undefined) external _CFBundleCopyPrivateFrameworksURL (from CoreFoundation)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleCopySharedFrameworksURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFLocaleCopyCurrent (from CoreFoundation)
                 (undefined) external _CFLocaleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRunLoopAddObserver (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopAddTimer (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopObserverCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopObserverInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopRunInMode (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceSignal (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerGetNextFireDate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerSetNextFireDate (from CoreFoundation)
                 (undefined) external _CFRunLoopWakeUp (from CoreFoundation)
                 (undefined) external _CFStringCompare (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFURLCopyLastPathComponent (from CoreFoundation)
                 (undefined) external _CFURLCreateCopyAppendingPathComponent (from CoreFoundation)
                 (undefined) external _CFURLGetFileSystemRepresentation (from CoreFoundation)
                 (undefined) external _NSAddressOfSymbol (from libSystem)
                 (undefined) external _NSCreateObjectFileImageFromMemory (from libSystem)
                 (undefined) external _NSDestroyObjectFileImage (from libSystem)
                 (undefined) external _NSLinkEditError (from libSystem)
                 (undefined) external _NSLinkModule (from libSystem)
                 (undefined) external _NSLookupSymbolInImage (from libSystem)
                 (undefined) external _NSLookupSymbolInModule (from libSystem)
                 (undefined) external _NSUnLinkModule (from libSystem)
                 (undefined) external _NXFindBestFatArch (from libSystem)
                 (undefined) external _NXGetLocalArchInfo (from libSystem)
000000021c1e1854 (__TEXT,__text) external _TclAddLiteralObj
000000021c211cec (__TEXT,__text) external _TclDeleteCompiledLocalVars
000000021c211c28 (__TEXT,__text) external _TclDeleteVars
000000021c182b6c (__TEXT,__text) external _TclDumpMemoryInfo
000000021c17e980 (__TEXT,__text) external _TclEvalObjEx
000000021c1ab31c (__TEXT,__text) external _TclExpandCodeArray
000000021c1c36ac (__TEXT,__text) external _TclExprFloatError
000000021c20a094 (__TEXT,__text) external _TclFindElement
000000021c1f82b4 (__TEXT,__text) external _TclFindProc
000000021c1ec12c (__TEXT,__text) external _TclFreeObj
000000021c1f65dc (__TEXT,__text) external _TclFreePackageInfo
000000021c219020 (__TEXT,__text) external _TclGetAndDetachPids
000000021c1ad918 (__TEXT,__text) external _TclGetAuxDataType
000000021c1b86f0 (__TEXT,__text) external _TclGetEnv
000000021c1c5e84 (__TEXT,__text) external _TclGetExtension
000000021c1f7eb8 (__TEXT,__text) external _TclGetFrame
000000021c1ad824 (__TEXT,__text) external _TclGetInstructionTable
000000021c20c460 (__TEXT,__text) external _TclGetIntForIndex
000000021c1b5548 (__TEXT,__text) external _TclGetLibraryPath
000000021c1e2ad8 (__TEXT,__text) external _TclGetLoadedPackages
000000021c1c7d6c (__TEXT,__text) external _TclGetLong
000000021c1e4524 (__TEXT,__text) external _TclGetNamespaceForQualName
000000021c1e5d2c (__TEXT,__text) external _TclGetNamespaceFromObj
000000021c1f949c (__TEXT,__text) external _TclGetObjInterpProc
000000021c20cc6c (__TEXT,__text) external _TclGetObjNameOfExecutable
000000021c1dc960 (__TEXT,__text) external _TclGetOpenMode
000000021c1e5a70 (__TEXT,__text) external _TclGetOriginalCommand
000000021c20ccbc (__TEXT,__text) external _TclGetPlatform
000000021c1c2e38 (__TEXT,__text) external _TclGetSrcInfoForPc
000000021c1e2dcc (__TEXT,__text) external _TclGetStartupScriptFileName
000000021c1e2d90 (__TEXT,__text) external _TclGetStartupScriptPath
000000021c21b63c (__TEXT,__text) external _TclGuessPackageName
000000021c1f72dc (__TEXT,__text) external _TclHandleCreate
000000021c1f730c (__TEXT,__text) external _TclHandleFree
000000021c1f7320 (__TEXT,__text) external _TclHandlePreserve
000000021c1f7330 (__TEXT,__text) external _TclHandleRelease
000000021c1e15fc (__TEXT,__text) external _TclHideLiteral
000000021c17ae10 (__TEXT,__text) external _TclHideUnsafeCommands
000000021c1b9b3c (__TEXT,__text) external _TclInExit
000000021c1b9b48 (__TEXT,__text) external _TclInThreadExit
000000021c1f8364 (__TEXT,__text) external _TclInitCompiledLocals
000000021c20e3f0 (__TEXT,__text) external _TclInitVarHashTable
000000021c1c93f0 (__TEXT,__text) external _TclInterpInit
000000021c17a9cc (__TEXT,__text) external _TclInvokeObjectCommand
000000021c17bba8 (__TEXT,__text) external _TclInvokeStringCommand
000000021c1f8314 (__TEXT,__text) external _TclIsProc
000000021c1e0cc0 (__TEXT,__text) external _TclListObjSetElement
000000021c20d4ec (__TEXT,__text) external _TclLookupVar
000000021c21c1a4 (__TEXT,__text) external _TclMacOSXCopyFileAttributes
000000021c21bb44 (__TEXT,__text) external _TclMacOSXGetFileAttribute
000000021c21c1dc (__TEXT,__text) external _TclMacOSXMatchType
000000021c21cd10 (__TEXT,__text) external _TclMacOSXNotifierAddRunLoopMode
000000021c21bda4 (__TEXT,__text) external _TclMacOSXSetFileAttribute
000000021c20bcc4 (__TEXT,__text) external _TclNeedSpace
000000021c1f94b0 (__TEXT,__text) external _TclNewProcBodyObj
000000021c1ec2cc (__TEXT,__text) external _TclObjBeingDeleted
000000021c1f08c8 (__TEXT,__text) external _TclObjCommandComplete
000000021c1f7fb8 (__TEXT,__text) external _TclObjGetFrame
000000021c1f7e34 (__TEXT,__text) external _TclObjInterpProc
000000021c1f889c (__TEXT,__text) external _TclObjInterpProcCore
000000021c17f220 (__TEXT,__text) external _TclObjInvoke
000000021c20d5e4 (__TEXT,__text) external _TclObjLookupVar
000000021c1e4130 (__TEXT,__text) external _TclPopStackFrame
000000021c20c320 (__TEXT,__text) external _TclPrecTraceProc
000000021c1cbea8 (__TEXT,__text) external _TclPreventAliasLoop
000000021c1f9018 (__TEXT,__text) external _TclProcCleanupProc
000000021c1f91b8 (__TEXT,__text) external _TclProcCompileProc
000000021c1f7ea0 (__TEXT,__text) external _TclProcDeleteProc
000000021c210f84 (__TEXT,__text) external _TclPtrMakeUpvar
000000021c1e40d8 (__TEXT,__text) external _TclPushStackFrame
000000021c1fa764 (__TEXT,__text) external _TclRegAbout
000000021c1fa838 (__TEXT,__text) external _TclRegError
000000021c1fa458 (__TEXT,__text) external _TclRegExpRangeUniChar
000000021c17bc50 (__TEXT,__text) external _TclRenameCommand
000000021c1e5b6c (__TEXT,__text) external _TclResetShadowedCmdRefs
000000021c2047d8 (__TEXT,__text) external _TclServiceIdle
000000021c1a9f14 (__TEXT,__text) external _TclSetByteCodeFromAny
000000021c1b5554 (__TEXT,__text) external _TclSetLibraryPath
000000021c1e8598 (__TEXT,__text) external _TclSetNsPath
000000021c20cc58 (__TEXT,__text) external _TclSetObjNameOfExecutable
000000021c1c9378 (__TEXT,__text) external _TclSetPreInitScript
000000021c1e2d9c (__TEXT,__text) external _TclSetStartupScriptFileName
000000021c1e2d88 (__TEXT,__text) external _TclSetStartupScriptPath
000000021c1b7f54 (__TEXT,__text) external _TclSetupEnv
000000021c1db0c0 (__TEXT,__text) external _TclSockGetPort
000000021c1db1e8 (__TEXT,__text) external _TclSockMinimumBuffers
000000021c1ba244 (__TEXT,__text) external _TclStackAlloc
000000021c1ba158 (__TEXT,__text) external _TclStackFree
000000021c1e4938 (__TEXT,__text) external _TclTeardownNamespace
000000021c20421c (__TEXT,__text) external _TclTomMathInitializeStubs
000000021c1b0e9c (__TEXT,__text) external _TclTraceDictPath
000000021c209a94 (__TEXT,__text) external _TclUniCharMatch
000000021c216494 (__TEXT,__text) external _TclUnixCopyFile
000000021c21dab0 (__TEXT,__text) external _TclUnixWaitForFile
000000021c1f9140 (__TEXT,__text) external _TclUpdateReturnInfo
000000021c211d64 (__TEXT,__text) external _TclVarErrMsg
000000021c20d2b0 (__TEXT,__text) external _TclVarHashCreateVar
000000021c206a48 (__TEXT,__text) external _TclVarTraceExists
000000021c1db3f0 (__TEXT,__text) external _Tcl_Access
000000021c17f564 (__TEXT,__text) external _Tcl_AddErrorInfo
000000021c1faa68 (__TEXT,__text) external _Tcl_AddInterpResolvers
000000021c17f470 (__TEXT,__text) external _Tcl_AddObjErrorInfo
000000021c21cee8 (__TEXT,__text) external _Tcl_AlertNotifier
000000021c1829b4 (__TEXT,__text) external _Tcl_Alloc
000000021c1c7be8 (__TEXT,__text) external _Tcl_AllocStatBuf
000000021c17f6fc (__TEXT,__text) external _Tcl_AllowExceptions
000000021c1ebe88 (__TEXT,__text) external _Tcl_AppendAllObjTypes
000000021c1fb69c (__TEXT,__text) external _Tcl_AppendElement
000000021c1e4d0c (__TEXT,__text) external _Tcl_AppendExportList
000000021c1fef2c (__TEXT,__text) external _Tcl_AppendFormatToObj
000000021c1fe4dc (__TEXT,__text) external _Tcl_AppendLimitedToObj
000000021c17e498 (__TEXT,__text) external _Tcl_AppendObjToErrorInfo
000000021c1feb74 (__TEXT,__text) external _Tcl_AppendObjToObj
000000021c2000f4 (__TEXT,__text) external _Tcl_AppendPrintfToObj
000000021c1fb670 (__TEXT,__text) external _Tcl_AppendResult
000000021c1fb600 (__TEXT,__text) external _Tcl_AppendResultVA
000000021c1fef00 (__TEXT,__text) external _Tcl_AppendStringsToObj
000000021c1fece0 (__TEXT,__text) external _Tcl_AppendStringsToObjVA
000000021c1fe86c (__TEXT,__text) external _Tcl_AppendToObj
000000021c1fe878 (__TEXT,__text) external _Tcl_AppendUnicodeToObj
000000021c179b98 (__TEXT,__text) external _Tcl_AsyncCreate
000000021c179d58 (__TEXT,__text) external _Tcl_AsyncDelete
000000021c179c90 (__TEXT,__text) external _Tcl_AsyncInvoke
000000021c179c2c (__TEXT,__text) external _Tcl_AsyncMark
000000021c179e40 (__TEXT,__text) external _Tcl_AsyncReady
000000021c182a70 (__TEXT,__text) external _Tcl_AttemptAlloc
000000021c182a74 (__TEXT,__text) external _Tcl_AttemptDbCkalloc
000000021c182b38 (__TEXT,__text) external _Tcl_AttemptDbCkrealloc
000000021c182b34 (__TEXT,__text) external _Tcl_AttemptRealloc
000000021c1fe2c0 (__TEXT,__text) external _Tcl_AttemptSetObjLength
000000021c1b884c (__TEXT,__text) external _Tcl_BackgroundError
000000021c20ae00 (__TEXT,__text) external _Tcl_Backslash
000000021c1d24fc (__TEXT,__text) external _Tcl_BadChannelOption
000000021c17afd4 (__TEXT,__text) external _Tcl_CallWhenDeleted
000000021c204730 (__TEXT,__text) external _Tcl_CancelIdleCall
000000021c1d414c (__TEXT,__text) external _Tcl_ChannelBlockModeProc
000000021c1d245c (__TEXT,__text) external _Tcl_ChannelBuffered
000000021c1d4174 (__TEXT,__text) external _Tcl_ChannelClose2Proc
000000021c1d416c (__TEXT,__text) external _Tcl_ChannelCloseProc
000000021c1d41b4 (__TEXT,__text) external _Tcl_ChannelFlushProc
000000021c1d41ac (__TEXT,__text) external _Tcl_ChannelGetHandleProc
000000021c1d419c (__TEXT,__text) external _Tcl_ChannelGetOptionProc
000000021c1d2e58 (__TEXT,__text) external _Tcl_ChannelHandlerProc
000000021c1d417c (__TEXT,__text) external _Tcl_ChannelInputProc
000000021c1d2cac (__TEXT,__text) external _Tcl_ChannelName
000000021c1d4184 (__TEXT,__text) external _Tcl_ChannelOutputProc
000000021c1d418c (__TEXT,__text) external _Tcl_ChannelSeekProc
000000021c1d4194 (__TEXT,__text) external _Tcl_ChannelSetOptionProc
000000021c1cedb4 (__TEXT,__text) external _Tcl_ChannelThreadActionProc
000000021c1d23f0 (__TEXT,__text) external _Tcl_ChannelTruncateProc
000000021c1d40e8 (__TEXT,__text) external _Tcl_ChannelVersion
000000021c1d41a4 (__TEXT,__text) external _Tcl_ChannelWatchProc
000000021c1d41d4 (__TEXT,__text) external _Tcl_ChannelWideSeekProc
000000021c1db6b4 (__TEXT,__text) external _Tcl_Chdir
000000021c1cf954 (__TEXT,__text) external _Tcl_ClearChannelHandlers
000000021c1cdcd4 (__TEXT,__text) external _Tcl_Close
000000021c1f07b8 (__TEXT,__text) external _Tcl_CommandComplete
000000021c205b94 (__TEXT,__text) external _Tcl_CommandTraceInfo
000000021c20ae48 (__TEXT,__text) external _Tcl_Concat
000000021c20afc0 (__TEXT,__text) external _Tcl_ConcatObj
000000021c202e7c (__TEXT,__text) external _Tcl_ConditionFinalize
000000021c21aed4 (__TEXT,__text) external _Tcl_ConditionNotify
000000021c21adb8 (__TEXT,__text) external _Tcl_ConditionWait
000000021c20aac8 (__TEXT,__text) external _Tcl_ConvertCountedElement
000000021c20aab8 (__TEXT,__text) external _Tcl_ConvertElement
000000021c1ebfc8 (__TEXT,__text) external _Tcl_ConvertToType
000000021c1cba2c (__TEXT,__text) external _Tcl_CreateAlias
000000021c1cbb90 (__TEXT,__text) external _Tcl_CreateAliasObj
000000021c1ce974 (__TEXT,__text) external _Tcl_CreateChannel
000000021c1d2e78 (__TEXT,__text) external _Tcl_CreateChannelHandler
000000021c1ce1e0 (__TEXT,__text) external _Tcl_CreateCloseHandler
000000021c17b8ac (__TEXT,__text) external _Tcl_CreateCommand
000000021c1b5850 (__TEXT,__text) external _Tcl_CreateEncoding
000000021c1e87b0 (__TEXT,__text) external _Tcl_CreateEnsemble
000000021c1eaa68 (__TEXT,__text) external _Tcl_CreateEventSource
000000021c1b94c8 (__TEXT,__text) external _Tcl_CreateExitHandler
000000021c21d228 (__TEXT,__text) external _Tcl_CreateFileHandler
000000021c1c813c (__TEXT,__text) external _Tcl_CreateHashEntry
000000021c17a204 (__TEXT,__text) external _Tcl_CreateInterp
000000021c17c4a8 (__TEXT,__text) external _Tcl_CreateMathFunc
000000021c1e4170 (__TEXT,__text) external _Tcl_CreateNamespace
000000021c17ab20 (__TEXT,__text) external _Tcl_CreateObjCommand
000000021c206788 (__TEXT,__text) external _Tcl_CreateObjTrace
000000021c1cc1b0 (__TEXT,__text) external _Tcl_CreateSlave
000000021c1b9dbc (__TEXT,__text) external _Tcl_CreateThread
000000021c1b96f0 (__TEXT,__text) external _Tcl_CreateThreadExitHandler
000000021c20434c (__TEXT,__text) external _Tcl_CreateTimerHandler
000000021c20681c (__TEXT,__text) external _Tcl_CreateTrace
000000021c1cf29c (__TEXT,__text) external _Tcl_CutChannel
000000021c20bae4 (__TEXT,__text) external _Tcl_DStringAppend
000000021c20bbb0 (__TEXT,__text) external _Tcl_DStringAppendElement
000000021c20c010 (__TEXT,__text) external _Tcl_DStringEndSublist
000000021c20bde8 (__TEXT,__text) external _Tcl_DStringFree
000000021c20beb8 (__TEXT,__text) external _Tcl_DStringGetResult
000000021c20bac8 (__TEXT,__text) external _Tcl_DStringInit
000000021c20be30 (__TEXT,__text) external _Tcl_DStringResult
000000021c20bd5c (__TEXT,__text) external _Tcl_DStringSetLength
000000021c20bfb0 (__TEXT,__text) external _Tcl_DStringStartSublist
000000021c182a00 (__TEXT,__text) external _Tcl_DbCkalloc
000000021c182b40 (__TEXT,__text) external _Tcl_DbCkfree
000000021c182ac4 (__TEXT,__text) external _Tcl_DbCkrealloc
000000021c1ed99c (__TEXT,__text) external _Tcl_DbDecrRefCount
000000021c1ed98c (__TEXT,__text) external _Tcl_DbIncrRefCount
000000021c1ed9b4 (__TEXT,__text) external _Tcl_DbIsShared
000000021c1ed564 (__TEXT,__text) external _Tcl_DbNewBignumObj
000000021c1ec4ac (__TEXT,__text) external _Tcl_DbNewBooleanObj
000000021c180ae8 (__TEXT,__text) external _Tcl_DbNewByteArrayObj
000000021c1b1ad4 (__TEXT,__text) external _Tcl_DbNewDictObj
000000021c1eca78 (__TEXT,__text) external _Tcl_DbNewDoubleObj
000000021c1dfbf8 (__TEXT,__text) external _Tcl_DbNewListObj
000000021c1ecf84 (__TEXT,__text) external _Tcl_DbNewLongObj
000000021c1ec0a4 (__TEXT,__text) external _Tcl_DbNewObj
000000021c1fdb38 (__TEXT,__text) external _Tcl_DbNewStringObj
000000021c1ed144 (__TEXT,__text) external _Tcl_DbNewWideIntObj
000000021c17b1ec (__TEXT,__text) external _Tcl_DeleteAssocData
000000021c1d2f44 (__TEXT,__text) external _Tcl_DeleteChannelHandler
000000021c1ce228 (__TEXT,__text) external _Tcl_DeleteCloseHandler
000000021c17c448 (__TEXT,__text) external _Tcl_DeleteCommand
000000021c17ba78 (__TEXT,__text) external _Tcl_DeleteCommandFromToken
000000021c1eaac4 (__TEXT,__text) external _Tcl_DeleteEventSource
000000021c1ead24 (__TEXT,__text) external _Tcl_DeleteEvents
000000021c1b95a8 (__TEXT,__text) external _Tcl_DeleteExitHandler
000000021c21d470 (__TEXT,__text) external _Tcl_DeleteFileHandler
000000021c1c8438 (__TEXT,__text) external _Tcl_DeleteHashEntry
000000021c1c8578 (__TEXT,__text) external _Tcl_DeleteHashTable
000000021c17b2c4 (__TEXT,__text) external _Tcl_DeleteInterp
000000021c1e3ee8 (__TEXT,__text) external _Tcl_DeleteNamespace
000000021c1b9748 (__TEXT,__text) external _Tcl_DeleteThreadExitHandler
000000021c20461c (__TEXT,__text) external _Tcl_DeleteTimerHandler
000000021c206964 (__TEXT,__text) external _Tcl_DeleteTrace
000000021c1ce6b8 (__TEXT,__text) external _Tcl_DetachChannel
000000021c1f38cc (__TEXT,__text) external _Tcl_DetachPids
000000021c1b169c (__TEXT,__text) external _Tcl_DictObjDone
000000021c1b150c (__TEXT,__text) external _Tcl_DictObjFirst
000000021c1b12ec (__TEXT,__text) external _Tcl_DictObjGet
000000021c1b15e4 (__TEXT,__text) external _Tcl_DictObjNext
000000021c1b116c (__TEXT,__text) external _Tcl_DictObjPut
000000021c1b178c (__TEXT,__text) external _Tcl_DictObjPutKeyList
000000021c1b1364 (__TEXT,__text) external _Tcl_DictObjRemove
000000021c1b1964 (__TEXT,__text) external _Tcl_DictObjRemoveKeyList
000000021c1b14b8 (__TEXT,__text) external _Tcl_DictObjSize
000000021c1fb050 (__TEXT,__text) external _Tcl_DiscardInterpState
000000021c1fb348 (__TEXT,__text) external _Tcl_DiscardResult
000000021c1eb05c (__TEXT,__text) external _Tcl_DoOneEvent
000000021c2046b4 (__TEXT,__text) external _Tcl_DoWhenIdle
000000021c17b0c8 (__TEXT,__text) external _Tcl_DontCallWhenDeleted
000000021c182b60 (__TEXT,__text) external _Tcl_DumpActiveMemory
000000021c1ec2dc (__TEXT,__text) external _Tcl_DuplicateObj
000000021c1d240c (__TEXT,__text) external _Tcl_Eof
000000021c1f6894 (__TEXT,__text) external _Tcl_ErrnoId
000000021c1f68d4 (__TEXT,__text) external _Tcl_ErrnoMsg
000000021c17e90c (__TEXT,__text) external _Tcl_Eval
000000021c17da54 (__TEXT,__text) external _Tcl_EvalEx
000000021c1dbb8c (__TEXT,__text) external _Tcl_EvalFile
000000021c17e954 (__TEXT,__text) external _Tcl_EvalObj
000000021c17e964 (__TEXT,__text) external _Tcl_EvalObjEx
000000021c17d844 (__TEXT,__text) external _Tcl_EvalObjv
000000021c17d9f4 (__TEXT,__text) external _Tcl_EvalTokens
000000021c17d9e0 (__TEXT,__text) external _Tcl_EvalTokensStandard
