00000001f0340c10 (__TEXT,__text) external _OSAtomicAdd32
00000002074216e0 (__AUTH_CONST,__const) external __os_lock_type_nospin
0000000207421680 (__AUTH_CONST,__const) external __os_lock_type_spin
0000000207421680 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000002074216c0 (__AUTH_CONST,__const) external __os_lock_type_unfair
00000001f0340618 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
00000001f0340640 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
00000001f0340660 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
00000001f033e28c (__TEXT,__text) external __os_log_simple
00000001f033cd14 (__TEXT,__text) external __os_log_simple_parse
00000001f033e458 (__TEXT,__text) external __os_log_simple_parse_identifiers
00000001f033e3ec (__TEXT,__text) external __os_log_simple_parse_message
00000001f033e3b0 (__TEXT,__text) external __os_log_simple_parse_subsystem
00000001f033e41c (__TEXT,__text) external __os_log_simple_parse_timestamp
00000001f033e374 (__TEXT,__text) external __os_log_simple_parse_type
00000001f033cf2c (__TEXT,__text) external __os_log_simple_send
00000001f033e34c (__TEXT,__text) external __os_log_simple_shim
00000001f0340680 (__TEXT,__text) external __os_nospin_lock_lock
00000001f03406a0 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001f03407a0 (__TEXT,__text) external __os_nospin_lock_trylock
00000001f03407bc (__TEXT,__text) external __os_nospin_lock_unlock
00000001f03407d8 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000001f034090c (__TEXT,__text) external __os_once
00000001f033c320 (__TEXT,__text) non-external __os_once_callout
00000001f033d968 (__TEXT,__text) non-external __os_once_gate_broadcast
00000001f0341194 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
00000001f0341144 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000001f034116c (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
00000001f034096c (__TEXT,__text) non-external __os_once_gate_wait
00000001f033ccc4 (__TEXT,__text) external __os_semaphore_create
00000001f034127c (__TEXT,__text) non-external __os_semaphore_create.cold.1
00000001f03412a4 (__TEXT,__text) non-external __os_semaphore_create.cold.2
00000001f033ce50 (__TEXT,__text) external __os_semaphore_dispose
00000001f03412cc (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
00000001f0340bb8 (__TEXT,__text) external __os_semaphore_signal
00000001f03412f4 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
00000001f0340bd8 (__TEXT,__text) external __os_semaphore_wait
00000001f034131c (__TEXT,__text) non-external __os_semaphore_wait.cold.1
00000001f03410e8 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
00000001f033b900 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
00000001f0341098 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001f033c108 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
00000001f03410c0 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
00000001f033bd20 (__TEXT,__text) external __platform_bzero
00000001f0340f34 (__TEXT,__text) external __platform_memccpy
00000001f033c3c0 (__TEXT,__text) external __platform_memchr
00000001f033be70 (__TEXT,__text) external __platform_memcmp
00000001f033ba50 (__TEXT,__text) external __platform_memmove
00000001f033bd80 (__TEXT,__text) external __platform_memset
00000001f033c7a0 (__TEXT,__text) external __platform_memset_pattern16
00000001f033c760 (__TEXT,__text) external __platform_memset_pattern4
00000001f033c780 (__TEXT,__text) external __platform_memset_pattern8
00000001f033c620 (__TEXT,__text) external __platform_strchr
00000001f033c030 (__TEXT,__text) external __platform_strcmp
00000001f033c710 (__TEXT,__text) external __platform_strcpy
00000002074215f8 (__AUTH_CONST,__const) non-external __platform_string_functions
00000001f033cc28 (__TEXT,__text) external __platform_strlcat
00000001f033c698 (__TEXT,__text) external __platform_strlcpy
00000001f033bfc0 (__TEXT,__text) external __platform_strlen
00000001f033c210 (__TEXT,__text) external __platform_strncmp
00000001f033c4b0 (__TEXT,__text) external __platform_strncpy
00000001f033bf20 (__TEXT,__text) external __platform_strnlen
00000001f033c920 (__TEXT,__text) external __platform_strstr
00000001f033db70 (__TEXT,__text) non-external __platform_task_deallocate
00000001f033e0f8 (__TEXT,__text) non-external __platform_thread_deallocate
00000001f033ca08 (__TEXT,__text) external __setjmp
00000001f033cbd8 (__TEXT,__text) non-external (was a private external) __sigtramp
00000001f0340f14 (__TEXT,__text) non-external (was a private external) __sigunaltstack
00000001f033d874 (__TEXT,__text) non-external __simple_asl_connect_once
00000001f033e69c (__TEXT,__text) non-external __simple_asl_escape_key
00000001f033e710 (__TEXT,__text) non-external __simple_asl_escape_val
00000001f033d0a4 (__TEXT,__text) external __simple_asl_get_fd
00000001f033e4b8 (__TEXT,__text) non-external (was a private external) __simple_asl_init
00000001f033e9fc (__TEXT,__text) non-external __simple_asl_init_context
00000001f033e978 (__TEXT,__text) external __simple_asl_log
00000001f033e938 (__TEXT,__text) external __simple_asl_log_prog
00000001f033d624 (__TEXT,__text) external __simple_asl_msg_new
00000001f033e560 (__TEXT,__text) external __simple_asl_msg_set
00000001f033e770 (__TEXT,__text) external __simple_asl_send
00000001f033f2f8 (__TEXT,__text) external __simple_dprintf
00000001f033f5a0 (__TEXT,__text) external __simple_esappend
00000001f033f4c4 (__TEXT,__text) external __simple_esprintf
00000001f033ce80 (__TEXT,__text) external __simple_getenv
00000001f033e488 (__TEXT,__text) external __simple_memcmp
00000001f033f664 (__TEXT,__text) external __simple_put
00000001f033f66c (__TEXT,__text) external __simple_putline
00000001f033cb54 (__TEXT,__text) external __simple_salloc
00000001f033f538 (__TEXT,__text) external __simple_sappend
00000001f033f6b4 (__TEXT,__text) external __simple_sfree
00000001f033f48c (__TEXT,__text) external __simple_sprintf
00000001f033f504 (__TEXT,__text) external __simple_sresize
00000001f033f4f4 (__TEXT,__text) external __simple_string
00000001f033ea14 (__TEXT,__text) external __simple_vdprintf
00000001f033d724 (__TEXT,__text) external __simple_vesprintf
00000001f033f464 (__TEXT,__text) external __simple_vsprintf
00000001f033d708 (__TEXT,__text) external __spin_lock
00000001f0340480 (__TEXT,__text) external __spin_lock_try
00000001f033d690 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000002060490a0 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
00000001f033f748 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
00000001f033c5ac (__TEXT,__text) external _ffs
00000001f033c5c4 (__TEXT,__text) external _ffsl
00000001f033c5c4 (__TEXT,__text) external _ffsll
00000001f033c5dc (__TEXT,__text) external _fls
00000001f033c5ec (__TEXT,__text) external _flsl
00000001f033c5ec (__TEXT,__text) external _flsll
00000002050221f0 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001f0340fd8 (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
00000001f033fbf4 (__TEXT,__text) non-external _hex
00000001f033cb18 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_port_mod_refs (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_allocate (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
                 (undefined) external _mach_vm_read (from libsystem_kernel)
                 (undefined) external _mach_vm_remap (from libsystem_kernel)
00000001f0340fd4 (__TEXT,__text) external _makecontext
00000001f0340f30 (__TEXT,__text) non-external (was a private external) _memset
00000001f033fa38 (__TEXT,__text) non-external _oct
00000001f033d534 (__TEXT,__text) external _os_lock_lock
00000001f034031c (__TEXT,__text) external _os_lock_trylock
00000001f033d7a4 (__TEXT,__text) external _os_lock_unlock
00000001f033e16c (__TEXT,__text) external _os_log_simple_now
00000001f033d154 (__TEXT,__text) external _os_log_simple_type_from_asl
00000001f0341660 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
00000001f033c1b8 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
00000001f034120c (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000001f033c530 (__TEXT,__text) external _os_unfair_lock_assert_owner
00000001f03411e4 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
00000001f033d540 (__TEXT,__text) external _os_unfair_lock_lock
00000001f033d13c (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
00000001f033d670 (__TEXT,__text) external _os_unfair_lock_lock_with_options
00000001f033d56c (__TEXT,__text) external _os_unfair_lock_trylock
00000001f0340530 (__TEXT,__text) external _os_unfair_lock_unlock
00000001f033c9a4 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
00000001f033d5e8 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
00000001f034054c (__TEXT,__text) external _os_unfair_recursive_lock_owned
00000001f033d494 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
00000001f033d31c (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
00000001f0340568 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
00000001f03405d4 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
00000001f0341234 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
                 (undefined) external _pid_for_task (from libsystem_kernel)
00000001f033da18 (__TEXT,__text) external _platform_task_attach
00000001f033df64 (__TEXT,__text) external _platform_task_copy_next_thread
00000001f033dc48 (__TEXT,__text) external _platform_task_detach
00000001f033dc4c (__TEXT,__text) external _platform_task_is_64_bit
00000001f033dc68 (__TEXT,__text) external _platform_task_perform
00000001f033dc60 (__TEXT,__text) external _platform_task_resume_threads
00000001f033dc58 (__TEXT,__text) external _platform_task_suspend_threads
00000001f033dc70 (__TEXT,__text) external _platform_task_update_threads
00000001f033e02c (__TEXT,__text) external _platform_thread_abort_safely
00000001f033e0f0 (__TEXT,__text) external _platform_thread_get_pthread
00000001f033e090 (__TEXT,__text) external _platform_thread_get_state
00000001f033e004 (__TEXT,__text) external _platform_thread_get_unique_id
00000001f033e044 (__TEXT,__text) external _platform_thread_info
00000001f033e0e8 (__TEXT,__text) external _platform_thread_perform
00000001f033e00c (__TEXT,__text) external _platform_thread_release
00000001f0341020 (__TEXT,__text) non-external _platform_thread_release.cold.1
00000001f033e03c (__TEXT,__text) external _platform_thread_resume
00000001f033e0dc (__TEXT,__text) external _platform_thread_set_state
00000001f033e034 (__TEXT,__text) external _platform_thread_suspend
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
00000001f0340ffc (__TEXT,__text) external _setcontext
00000001f033cad8 (__TEXT,__text) external _setjmp
00000001f033cb0c (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
00000001f033cacc (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
00000001f033d708 (__TEXT,__text) external _spin_lock
00000001f0340480 (__TEXT,__text) external _spin_lock_try
00000001f033d690 (__TEXT,__text) external _spin_unlock
00000001f0340fb0 (__TEXT,__text) external _swapcontext
00000001f033d2c0 (__TEXT,__text) external _sys_cache_control
00000001f033d52c (__TEXT,__text) external _sys_dcache_flush
00000001f033d4d8 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _task_threads (from libsystem_kernel)
                 (undefined) external _thread_abort_safely (from libsystem_kernel)
                 (undefined) external _thread_get_state (from libsystem_kernel)
                 (undefined) external _thread_info (from libsystem_kernel)
                 (undefined) external _thread_resume (from libsystem_kernel)
                 (undefined) external _thread_set_state (from libsystem_kernel)
                 (undefined) external _thread_suspend (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
00000001f033ff20 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
00000001f03400ec (__TEXT,__text) non-external _ydec
