000000021ec63a00 (__TEXT,__text) non-external _Done_iODBC
000000021ec6bb2c (__TEXT,__text) external _SQLGetCursorNameA
000000021ec6bc94 (__TEXT,__text) external _SQLGetCursorNameW
000000021ec6b7a4 (__TEXT,__text) non-external _SQLGetCursorName_Internal
000000021ec615a0 (__TEXT,__text) external _SQLGetData
000000021ec70ce4 (__TEXT,__text) external _SQLGetDescField
000000021ec70e58 (__TEXT,__text) external _SQLGetDescFieldA
000000021ec70fcc (__TEXT,__text) external _SQLGetDescFieldW
000000021ec70a78 (__TEXT,__text) non-external _SQLGetDescField_Internal
000000021ec71918 (__TEXT,__text) external _SQLGetDescRec
000000021ec71b4c (__TEXT,__text) external _SQLGetDescRecA
000000021ec71d80 (__TEXT,__text) external _SQLGetDescRecW
000000021ec716f0 (__TEXT,__text) non-external _SQLGetDescRec_Internal
000000021ec65cc0 (__TEXT,__text) external _SQLGetDiagField
000000021ec65dcc (__TEXT,__text) external _SQLGetDiagFieldA
000000021ec65ed8 (__TEXT,__text) external _SQLGetDiagFieldW
000000021ec64e80 (__TEXT,__text) non-external _SQLGetDiagField_Internal
000000021ec64b20 (__TEXT,__text) external _SQLGetDiagRec
000000021ec64c40 (__TEXT,__text) external _SQLGetDiagRecA
000000021ec64d60 (__TEXT,__text) external _SQLGetDiagRecW
000000021ec644f4 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
000000021ec6e120 (__TEXT,__text) external _SQLGetEnvAttr
000000021ec695f8 (__TEXT,__text) external _SQLGetFunctions
000000021ec691fc (__TEXT,__text) external _SQLGetInfo
000000021ec69350 (__TEXT,__text) external _SQLGetInfoA
000000021ec694a4 (__TEXT,__text) external _SQLGetInfoW
000000021ec68c08 (__TEXT,__text) non-external _SQLGetInfo_Internal
000000021ec81ec4 (__TEXT,__text) non-external _SQLGetKeywordValue
000000021ec81f10 (__TEXT,__text) non-external _SQLGetKeywordValueW
000000021ec819e8 (__TEXT,__text) non-external _SQLGetPrivateProfileString
000000021ec81be8 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
000000021ec6e9a4 (__TEXT,__text) external _SQLGetStmtAttr
000000021ec6eb1c (__TEXT,__text) external _SQLGetStmtAttrA
000000021ec6ec94 (__TEXT,__text) external _SQLGetStmtAttrW
000000021ec6e304 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000021ec6711c (__TEXT,__text) external _SQLGetStmtOption
000000021ec67268 (__TEXT,__text) external _SQLGetStmtOptionA
000000021ec66f3c (__TEXT,__text) non-external _SQLGetStmtOption_Internal
000000021ec55ba4 (__TEXT,__text) external _SQLGetTypeInfo
000000021ec55ce4 (__TEXT,__text) external _SQLGetTypeInfoA
000000021ec55e24 (__TEXT,__text) external _SQLGetTypeInfoW
000000021ec559e4 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
000000021ec61918 (__TEXT,__text) external _SQLMoreResults
000000021ec5f410 (__TEXT,__text) external _SQLNativeSql
000000021ec5f57c (__TEXT,__text) external _SQLNativeSqlA
000000021ec5f6e8 (__TEXT,__text) external _SQLNativeSqlW
000000021ec5f1a8 (__TEXT,__text) non-external _SQLNativeSql_Internal
000000021ec60b28 (__TEXT,__text) external _SQLNumParams
000000021ec6c0e0 (__TEXT,__text) external _SQLNumResultCols
000000021ec608a0 (__TEXT,__text) external _SQLParamData
000000021ec6acfc (__TEXT,__text) external _SQLParamOptions
000000021ec69f70 (__TEXT,__text) external _SQLPrepare
000000021ec6a0c0 (__TEXT,__text) external _SQLPrepareA
000000021ec6a210 (__TEXT,__text) external _SQLPrepareW
000000021ec69d60 (__TEXT,__text) non-external _SQLPrepare_Internal
000000021ec5972c (__TEXT,__text) external _SQLPrimaryKeys
000000021ec598d4 (__TEXT,__text) external _SQLPrimaryKeysA
000000021ec59a7c (__TEXT,__text) external _SQLPrimaryKeysW
000000021ec59500 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
000000021ec59eb4 (__TEXT,__text) external _SQLProcedureColumns
000000021ec5a098 (__TEXT,__text) external _SQLProcedureColumnsA
000000021ec5a27c (__TEXT,__text) external _SQLProcedureColumnsW
000000021ec59c24 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000021ec5a68c (__TEXT,__text) external _SQLProcedures
000000021ec5a834 (__TEXT,__text) external _SQLProceduresA
000000021ec5a9dc (__TEXT,__text) external _SQLProceduresW
000000021ec5a460 (__TEXT,__text) non-external _SQLProcedures_Internal
000000021ec60628 (__TEXT,__text) external _SQLPutData
000000021ec7e6d0 (__TEXT,__text) non-external _SQLReadFileDSN
000000021ec7e860 (__TEXT,__text) non-external _SQLReadFileDSNW
000000021ec6bdfc (__TEXT,__text) external _SQLRowCount
000000021ec81f5c (__TEXT,__text) non-external _SQLSetConfigMode
000000021ec6fd2c (__TEXT,__text) external _SQLSetConnectAttr
000000021ec70098 (__TEXT,__text) external _SQLSetConnectAttrA
000000021ec701dc (__TEXT,__text) external _SQLSetConnectAttrW
000000021ec6fe70 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
000000021ec62778 (__TEXT,__text) external _SQLSetConnectOption
000000021ec628a4 (__TEXT,__text) external _SQLSetConnectOptionA
000000021ec629d0 (__TEXT,__text) external _SQLSetConnectOptionW
000000021ec6a50c (__TEXT,__text) external _SQLSetCursorName
000000021ec6a65c (__TEXT,__text) external _SQLSetCursorNameA
000000021ec6a7ac (__TEXT,__text) external _SQLSetCursorNameW
000000021ec6a360 (__TEXT,__text) non-external _SQLSetCursorName_Internal
000000021ec712dc (__TEXT,__text) external _SQLSetDescField
000000021ec71438 (__TEXT,__text) external _SQLSetDescFieldA
000000021ec71594 (__TEXT,__text) external _SQLSetDescFieldW
000000021ec71140 (__TEXT,__text) non-external _SQLSetDescField_Internal
000000021ec71fb4 (__TEXT,__text) external _SQLSetDescRec
000000021ec6df0c (__TEXT,__text) external _SQLSetEnvAttr
000000021ec6e02c (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
000000021ec82438 (__TEXT,__text) non-external _SQLSetKeywordValue
000000021ec82444 (__TEXT,__text) non-external _SQLSetKeywordValueW
000000021ec6b410 (__TEXT,__text) external _SQLSetParam
000000021ec61d18 (__TEXT,__text) external _SQLSetPos
000000021ec6afac (__TEXT,__text) external _SQLSetScrollOptions
000000021ec6f8f4 (__TEXT,__text) external _SQLSetStmtAttr
000000021ec6fa5c (__TEXT,__text) external _SQLSetStmtAttrA
000000021ec6fbc4 (__TEXT,__text) external _SQLSetStmtAttrW
000000021ec6ee0c (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
000000021ec66a20 (__TEXT,__text) external _SQLSetStmtOption
000000021ec66df0 (__TEXT,__text) external _SQLSetStmtOptionA
000000021ec66b6c (__TEXT,__text) non-external _SQLSetStmtOption_Internal
000000021ec561f0 (__TEXT,__text) external _SQLSpecialColumns
000000021ec56430 (__TEXT,__text) external _SQLSpecialColumnsA
000000021ec56670 (__TEXT,__text) external _SQLSpecialColumnsW
000000021ec55f64 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
000000021ec56b1c (__TEXT,__text) external _SQLStatistics
000000021ec56d00 (__TEXT,__text) external _SQLStatisticsA
000000021ec56ee4 (__TEXT,__text) external _SQLStatisticsW
000000021ec568b0 (__TEXT,__text) non-external _SQLStatistics_Internal
000000021ec5adb0 (__TEXT,__text) external _SQLTablePrivileges
000000021ec5af58 (__TEXT,__text) external _SQLTablePrivilegesA
000000021ec5b100 (__TEXT,__text) external _SQLTablePrivilegesW
000000021ec5ab84 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
000000021ec57358 (__TEXT,__text) external _SQLTables
000000021ec5753c (__TEXT,__text) external _SQLTablesA
000000021ec57720 (__TEXT,__text) external _SQLTablesW
000000021ec570c8 (__TEXT,__text) non-external _SQLTables_Internal
000000021ec63594 (__TEXT,__text) external _SQLTransact
000000021ec63288 (__TEXT,__text) non-external _SQLTransact_Internal
000000021ec7f13c (__TEXT,__text) non-external _SQLValidDSN
000000021ec7f1c4 (__TEXT,__text) non-external _SQLValidDSNW
000000021ec7e468 (__TEXT,__text) non-external _SQLWriteFileDSN
000000021ec7e524 (__TEXT,__text) non-external _SQLWriteFileDSNW
000000021ec820f4 (__TEXT,__text) non-external _SQLWritePrivateProfileString
000000021ec8228c (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
000000021ec67e58 (__TEXT,__text) non-external _SectSorter
000000021ec7f084 (__TEXT,__text) non-external _ValidDSN
000000021ec7f0e4 (__TEXT,__text) non-external _ValidDSNW
000000021ec81fbc (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000021ec6ddd0 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
000000021ec8030c (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
000000022f506220 (__DATA,__common) non-external __iodbc_env_counter
000000021ec7ea44 (__TEXT,__text) non-external __iodbcadm_getinifile
000000021ec67848 (__TEXT,__text) non-external __iodbcdm_BindColumn
000000021ec6794c (__TEXT,__text) non-external __iodbcdm_ConvBindData
000000021ec61298 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
000000021ec66678 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
000000021ec62afc (__TEXT,__text) non-external __iodbcdm_GetConnectOption
000000021ec6bfb8 (__TEXT,__text) non-external __iodbcdm_NumResultCols
000000021ec66898 (__TEXT,__text) non-external __iodbcdm_RemoveBind
000000021ec621c0 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
000000021ec5b4f4 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
000000021ec61bb4 (__TEXT,__text) non-external __iodbcdm_SetPos
000000021ec678e4 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
000000021ec675c4 (__TEXT,__text) non-external __iodbcdm_alloc_param
000000022f506228 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
000000021ec67a00 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
000000021ec55acc (__TEXT,__text) non-external __iodbcdm_cata_state_ok
000000021ec55b40 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
000000021ec809dc (__TEXT,__text) non-external __iodbcdm_cfg_commit
000000021ec7fc60 (__TEXT,__text) non-external __iodbcdm_cfg_done
000000021ec804b0 (__TEXT,__text) non-external __iodbcdm_cfg_find
000000021ec8013c (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
000000021ec7fbb4 (__TEXT,__text) non-external __iodbcdm_cfg_init
000000021ec69b1c (__TEXT,__text) non-external __iodbcdm_cfg_init_str
000000021ec80c5c (__TEXT,__text) non-external __iodbcdm_cfg_next_section
000000021ec803e4 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
000000021ec69ba0 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
000000021ec699ec (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
000000021ec7fca4 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
000000021ec803b8 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
000000021ec5df4c (__TEXT,__text) non-external __iodbcdm_cfg_savefile
000000021ec80ca4 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
000000021ec8021c (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
000000021ec69c18 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
000000021ec805a4 (__TEXT,__text) non-external __iodbcdm_cfg_write
000000021ec7ecb8 (__TEXT,__text) non-external __iodbcdm_check_for_string
000000021ec5dcec (__TEXT,__text) non-external __iodbcdm_con_settracing
000000021ec67668 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
000000021ec67758 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
000000021ec5de10 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
000000021ec5fc00 (__TEXT,__text) non-external __iodbcdm_dllclose
000000021ec5fc70 (__TEXT,__text) non-external __iodbcdm_dllerror
000000021ec5fb48 (__TEXT,__text) non-external __iodbcdm_dllopen
000000021ec5fb44 (__TEXT,__text) non-external __iodbcdm_dllproc
000000021ec5fca4 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
000000021ec5b760 (__TEXT,__text) non-external __iodbcdm_driverload
000000021ec5bdb8 (__TEXT,__text) non-external __iodbcdm_driverunload
000000021ec66580 (__TEXT,__text) non-external __iodbcdm_dropstmt
000000021ec626fc (__TEXT,__text) non-external __iodbcdm_drvopt_store
000000021ec5b314 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
000000021ec63a04 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
000000021ec5f9f8 (__TEXT,__text) non-external __iodbcdm_getInfo_init
000000021ec7ed90 (__TEXT,__text) non-external __iodbcdm_getdsnfile
000000021ec5fae4 (__TEXT,__text) non-external __iodbcdm_getproc
000000022f5061c8 (__DATA,__bss) non-external __iodbcdm_initialized
000000021ec80ebc (__TEXT,__text) non-external __iodbcdm_list_entries
000000021ec80df0 (__TEXT,__text) non-external __iodbcdm_list_sections
000000021ec6c288 (__TEXT,__text) non-external __iodbcdm_map_c_type
000000021ec6c21c (__TEXT,__text) non-external __iodbcdm_map_sql_type
000000021ec5f854 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
000000021ec5b2a8 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
000000021ec82450 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
000000021ec5dab0 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
000000021ec5e18c (__TEXT,__text) non-external __iodbcdm_pool_put_conn
000000021ec5b3e0 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
000000021ec5e0d0 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
000000021ec63a34 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
000000021ec7ed1c (__TEXT,__text) non-external __iodbcdm_remove_quotes
000000021ec5fc74 (__TEXT,__text) non-external __iodbcdm_safe_unload
000000021ec63aac (__TEXT,__text) non-external __iodbcdm_sqlerror
000000021ec7ef94 (__TEXT,__text) non-external __iodbcdm_strlcat
000000021ec7ef38 (__TEXT,__text) non-external __iodbcdm_strlcpy
000000021ec63388 (__TEXT,__text) non-external __iodbcdm_transact
000000022c336930 (__DATA_CONST,__const) non-external __mask_CONVERT
000000022c337508 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
000000022c3375b0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
000000022c3369f0 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
000000022c336a80 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
000000022c3370b8 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
000000022c3370f0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
000000022c336df0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
000000022c337140 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
000000022c337158 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
000000022c337178 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
000000022c336e98 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
000000022c3371a0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
000000022c3371b8 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
000000022c336908 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
000000022c336918 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
000000022c336dc8 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
000000022c3371e8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
000000022c337230 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
000000022c337250 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
000000022c337260 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
000000022c3372b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
000000022c3372d0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
000000022c337348 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
000000022c337358 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
000000022c337380 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
000000022c337398 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
000000022c337418 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
000000022c337448 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
000000022c337458 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
000000022c337468 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
000000022c337478 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
000000022c337498 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
000000022c3374b8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
000000022c3374d8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
000000022c3374e8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
000000022c337430 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
000000022c336a38 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
000000022c336f20 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
000000022c336ed8 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
000000022c336f00 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
000000022c337640 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
000000022c337658 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
000000022c337718 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
000000022c336f38 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
000000022c336de0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
000000022c336f58 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
000000022c336aa8 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
000000022c336b70 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
000000022c337738 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
000000022c336b88 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
000000022c336b98 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
000000022c336f70 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
000000022c337758 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
000000022c337770 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
000000022c336fe0 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
000000022c336fb0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
000000022c337790 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
000000022c336bb0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
000000022c336bd8 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
000000022c3377e8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
000000022c337808 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
000000022c337830 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
000000022c337858 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
000000022c3378c8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
000000022c337900 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
000000022c337978 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
000000022c3379d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
000000022c337a50 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
