00007ffd419ee408 (__DATA,__bss) non-external _A
00007ffd04aa5676 (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
00007ffd04ab1320 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffd04aa56e7 (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
00007ffd04ab0fee (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffd04a96621 (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffd04aa575d (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffd04ab06ae (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffd04ab079d (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
00007ffd04ab07ce (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
00007ffd04ab068b (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffd04ab0750 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffd04a9792b (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffd04ab06f7 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffd04ab0800 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
00007ffd04ab082c (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
00007ffd04ab06cf (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffd04ab0773 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffd04a978d9 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffd04aa87c4 (__TEXT,__text) external _cmark_init_standard_node_flags
00007ffd04aada34 (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffd04aada62 (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffd04aada4f (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffd04aadae6 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffd04aadaf0 (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffd04aada3d (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffd04aada6c (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffd04aad747 (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffd04aad736 (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffd04aad70e (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffd04ab1b78 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffd04aad7fc (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffd04aad87f (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffd04aad889 (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffd04ab1bbe (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffd04aada46 (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffd04aad758 (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffd04ab1b9b (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffd04aaa0e0 (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
00007ffd04aaa102 (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
00007ffd04a97886 (__TEXT,__text) external _cmark_isalnum
00007ffd04a978bf (__TEXT,__text) external _cmark_isalpha
00007ffd04a978a5 (__TEXT,__text) external _cmark_isdigit
00007ffd04a9786c (__TEXT,__text) external _cmark_ispunct
00007ffd04a97852 (__TEXT,__text) external _cmark_isspace
00007ffd04a9a910 (__TEXT,__text) external _cmark_iter_free
00007ffd04a9a9dd (__TEXT,__text) external _cmark_iter_get_event_type
00007ffd04a9a9d3 (__TEXT,__text) external _cmark_iter_get_node
00007ffd04a9a9e6 (__TEXT,__text) external _cmark_iter_get_root
00007ffd04a9a8c8 (__TEXT,__text) external _cmark_iter_new
00007ffd04a9a91b (__TEXT,__text) external _cmark_iter_next
00007ffd04ab12dc (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffd04a9a9c2 (__TEXT,__text) external _cmark_iter_reset
00007ffd04a994f2 (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffd04a9b905 (__TEXT,__text) external _cmark_llist_append
00007ffd04a9b991 (__TEXT,__text) external _cmark_llist_free
00007ffd04a9b94f (__TEXT,__text) external _cmark_llist_free_full
00007ffd04aa6519 (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffd04aa59cd (__TEXT,__text) non-external (was a private external) _cmark_map_free
00007ffd04aa5865 (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
00007ffd04aa5a12 (__TEXT,__text) non-external (was a private external) _cmark_map_new
00007ffd04a9662e (__TEXT,__text) external _cmark_markdown_to_html
00007ffd04aa9d3f (__TEXT,__text) external _cmark_node_append_child
00007ffd04aa87ca (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
00007ffd04aa9d95 (__TEXT,__text) non-external (was a private external) _cmark_node_check
00007ffd04aa8e02 (__TEXT,__text) external _cmark_node_first_child
00007ffd04aa895d (__TEXT,__text) external _cmark_node_free
00007ffd04aa9739 (__TEXT,__text) external _cmark_node_get_attributes
00007ffd04aa8fd7 (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffd04aa9b81 (__TEXT,__text) external _cmark_node_get_end_column
00007ffd04aa9b70 (__TEXT,__text) external _cmark_node_get_end_line
00007ffd04aa92df (__TEXT,__text) external _cmark_node_get_fence_info
00007ffd04aa9427 (__TEXT,__text) external _cmark_node_get_fenced
00007ffd04aa9128 (__TEXT,__text) external _cmark_node_get_heading_level
00007ffd04aa9298 (__TEXT,__text) external _cmark_node_get_item_index
00007ffd04aa91be (__TEXT,__text) external _cmark_node_get_list_delim
00007ffd04aa9209 (__TEXT,__text) external _cmark_node_get_list_start
00007ffd04aa9250 (__TEXT,__text) external _cmark_node_get_list_tight
00007ffd04aa9173 (__TEXT,__text) external _cmark_node_get_list_type
00007ffd04aa8ead (__TEXT,__text) external _cmark_node_get_literal
00007ffd04aa9881 (__TEXT,__text) external _cmark_node_get_on_enter
00007ffd04aa99d3 (__TEXT,__text) external _cmark_node_get_on_exit
00007ffd04aa9b5f (__TEXT,__text) external _cmark_node_get_start_column
00007ffd04aa9b4e (__TEXT,__text) external _cmark_node_get_start_line
00007ffd04aa910e (__TEXT,__text) external _cmark_node_get_string_content
00007ffd04aa9b25 (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffd04aa95eb (__TEXT,__text) external _cmark_node_get_title
00007ffd04aa8a3b (__TEXT,__text) external _cmark_node_get_type
00007ffd04aa8c1c (__TEXT,__text) external _cmark_node_get_type_string
00007ffd04aa949d (__TEXT,__text) external _cmark_node_get_url
00007ffd04aa8e6d (__TEXT,__text) external _cmark_node_get_user_data
00007ffd04aa9c33 (__TEXT,__text) external _cmark_node_insert_after
00007ffd04aa9bb6 (__TEXT,__text) external _cmark_node_insert_before
00007ffd04aa8e14 (__TEXT,__text) external _cmark_node_last_child
00007ffd04aa894a (__TEXT,__text) external _cmark_node_new
00007ffd04aa892a (__TEXT,__text) external _cmark_node_new_with_ext
00007ffd04aa893e (__TEXT,__text) external _cmark_node_new_with_mem
00007ffd04aa888c (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffd04aa8dcc (__TEXT,__text) external _cmark_node_next
00007ffd04aa8e26 (__TEXT,__text) external _cmark_node_nth_child
00007ffd04a9ab89 (__TEXT,__text) external _cmark_node_own
00007ffd04aa8df0 (__TEXT,__text) external _cmark_node_parent
00007ffd04aa8e58 (__TEXT,__text) external _cmark_node_parent_footnote_def
00007ffd04aa9ce9 (__TEXT,__text) external _cmark_node_prepend_child
00007ffd04aa8dde (__TEXT,__text) external _cmark_node_previous
00007ffd04aa9cb0 (__TEXT,__text) external _cmark_node_replace
00007ffd04aa97c1 (__TEXT,__text) external _cmark_node_set_attributes
00007ffd04aa9367 (__TEXT,__text) external _cmark_node_set_fence_info
00007ffd04aa9463 (__TEXT,__text) external _cmark_node_set_fenced
00007ffd04aa9147 (__TEXT,__text) external _cmark_node_set_heading_level
00007ffd04aa92b7 (__TEXT,__text) external _cmark_node_set_item_index
00007ffd04aa91dd (__TEXT,__text) external _cmark_node_set_list_delim
00007ffd04aa9228 (__TEXT,__text) external _cmark_node_set_list_start
00007ffd04aa9270 (__TEXT,__text) external _cmark_node_set_list_tight
00007ffd04aa9192 (__TEXT,__text) external _cmark_node_set_list_type
00007ffd04aa8fe0 (__TEXT,__text) external _cmark_node_set_literal
00007ffd04aa9910 (__TEXT,__text) external _cmark_node_set_on_enter
00007ffd04aa9a62 (__TEXT,__text) external _cmark_node_set_on_exit
00007ffd04aa9118 (__TEXT,__text) external _cmark_node_set_string_content
00007ffd04aa9b37 (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffd04aa9676 (__TEXT,__text) external _cmark_node_set_title
00007ffd04aa8a4d (__TEXT,__text) external _cmark_node_set_type
00007ffd04aa9528 (__TEXT,__text) external _cmark_node_set_url
00007ffd04aa8e7f (__TEXT,__text) external _cmark_node_set_user_data
00007ffd04aa8e96 (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffd04aa9b92 (__TEXT,__text) external _cmark_node_unlink
00007ffd04aada9d (__TEXT,__text) external _cmark_node_unput
00007ffd04aa6ca1 (__TEXT,__text) external _cmark_parse_document
00007ffd04aa6585 (__TEXT,__text) external _cmark_parse_file
00007ffd04aaa124 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffd04ab15df (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffd04ab171a (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffd04ab173d (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffd04ab1760 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffd04ab1783 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffd04ab17a6 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffd04ab17c9 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffd04ab17ec (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffd04ab180f (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffd04ab1832 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffd04ab1855 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffd04ab1602 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffd04ab1625 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffd04ab1648 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffd04ab166b (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffd04ab168e (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffd04ab16b1 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffd04ab16d4 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffd04ab16f7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffd04aad50c (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffd04ab1ac9 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffd04ab1aec (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffd04ab1b0f (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffd04ab1b32 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffd04ab1b55 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffd04aace11 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffd04ab189b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffd04ab18be (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffd04ab18e1 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffd04ab1904 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffd04ab1927 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffd04ab194a (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffd04ab196d (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffd04aa7f2f (__TEXT,__text) external _cmark_parser_add_child
00007ffd04aa8007 (__TEXT,__text) external _cmark_parser_advance_offset
00007ffd04aa6240 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffd04aa64eb (__TEXT,__text) non-external _cmark_parser_dispose
00007ffd04aa6cf6 (__TEXT,__text) external _cmark_parser_feed
00007ffd04aa6d02 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffd04aa67e6 (__TEXT,__text) external _cmark_parser_finish
00007ffd04aa646d (__TEXT,__text) external _cmark_parser_free
00007ffd04aa7eee (__TEXT,__text) external _cmark_parser_get_column
00007ffd04aa7ef7 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffd04aa7f00 (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffd04aa7f09 (__TEXT,__text) external _cmark_parser_get_indent
00007ffd04aa7f26 (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffd04aa7edc (__TEXT,__text) external _cmark_parser_get_line_number
00007ffd04aa7ee5 (__TEXT,__text) external _cmark_parser_get_offset
00007ffd04aa80f8 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffd04aa7f1c (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffd04aa7f12 (__TEXT,__text) external _cmark_parser_is_blank
00007ffd04aa645c (__TEXT,__text) external _cmark_parser_new
00007ffd04aa62f1 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffd04aa6349 (__TEXT,__text) non-external _cmark_parser_reset
00007ffd04aa80eb (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffd04a9a446 (__TEXT,__text) external _cmark_plugin_free
00007ffd04a9a426 (__TEXT,__text) external _cmark_plugin_new
00007ffd04a9a3fc (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffd04a9a476 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffd04aa603c (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffd04ab13ca (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffd04aa6103 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffd04ab13eb (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffd04aa61a3 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffd04aa8759 (__TEXT,__text) external _cmark_register_node_flag
00007ffd04ab1552 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffd04ab1577 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffd419ee0b0 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
00007ffd04a993ed (__TEXT,__text) external _cmark_register_plugin
00007ffd04a99498 (__TEXT,__text) external _cmark_release_plugins
00007ffd04a99628 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffd04a995df (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffd04a99608 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffd04a954e4 (__TEXT,__text) external _cmark_render_commonmark
00007ffd04a9550d (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffd04a96660 (__TEXT,__text) external _cmark_render_html
00007ffd04a9666d (__TEXT,__text) external _cmark_render_html_with_mem
00007ffd04ab122a (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffd04a9ada4 (__TEXT,__text) external _cmark_render_latex
00007ffd04a9adc6 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffd04a97d10 (__TEXT,__text) external _cmark_render_man
00007ffd04a97d32 (__TEXT,__text) external _cmark_render_man_with_mem
00007ffd04aae8ac (__TEXT,__text) external _cmark_render_plaintext
00007ffd04aae8d5 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffd04aadefc (__TEXT,__text) external _cmark_render_xml
00007ffd04aadf09 (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffd04aa9f24 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffd419ee2c0 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffd04aaa0b7 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffd419ee0c0 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffd419ee414 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffd04aa5b36 (__TEXT,__text) external _cmark_strbuf_clear
00007ffd04aa5d68 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffd04aa5cad (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffd04ab13a9 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffd04aa5d32 (__TEXT,__text) external _cmark_strbuf_detach
00007ffd04aa5e47 (__TEXT,__text) external _cmark_strbuf_drop
00007ffd04aa5b00 (__TEXT,__text) external _cmark_strbuf_free
00007ffd04aa5a96 (__TEXT,__text) external _cmark_strbuf_grow
00007ffd04ab1362 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffd04ab1383 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffd04aa5a6b (__TEXT,__text) external _cmark_strbuf_init
00007ffd04aa5af7 (__TEXT,__text) external _cmark_strbuf_len
