00007ffa0dffefba (__TEXT,__text) non-external +[NFPromise new]
00007ffa0dffe6f1 (__TEXT,__text) non-external -[NFLazy value]
00007ffa0e0036f4 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa0e00305a (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa0e0036e0 (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa0e0031ad (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa0e0036ea (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa0e003051 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa0e003545 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa0e002f80 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa0e0033a5 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa0e0030c9 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa0e003138 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa0e00323b (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa0e001af4 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa0e001a60 (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa0e001a4c (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa0e001b7d (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa0e001b2e (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa0e001b8b (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa0dffbd05 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa0dffbb73 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa0dffbcb8 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa0dffbcec (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa0dffbcd3 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa0dffbcc2 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa0dffbcf6 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa0dffbcdd (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa0e0001b1 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa0dfff0d0 (__TEXT,__text) non-external -[NFPromise always:]
00007ffa0dfff6ee (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa0dfff058 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa0e000067 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa0dffff95 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa0dfff0b4 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa0dfff654 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa0dfffb17 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa0dfffa5a (__TEXT,__text) non-external -[NFPromise error]
00007ffa0dffefd6 (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa0dffed48 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa0dffef38 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa0dffebeb (__TEXT,__text) non-external -[NFPromise init]
00007ffa0dfff94e (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa0dfff84c (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa0dfffdbc (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa0dfffb81 (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa0e000196 (__TEXT,__text) non-external -[NFPromise seal]
00007ffa0e0001a0 (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa0dfff098 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa0dfff0ec (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa0dfff7e2 (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa0dfff77b (__TEXT,__text) non-external -[NFPromise then]
00007ffa0e001fde (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00007ffa0e00203d (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00007ffa0e001526 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa0e000ede (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa0e000b42 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa0e00420a (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa0e0042eb (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa0e0014d2 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa0e001501 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa0e000acf (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa0e000a5c (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa0e0009df (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa0e00151c (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa0e001005 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa0e000c55 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa0e000c3e (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa0e000c72 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa0e00116d (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa0e0043cc (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa0e0014dc (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa0e00150b (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa0e0014f7 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa0e0014c1 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa0e0014ed (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa0e0014b7 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa0e001a19 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa0e0018fe (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa0e001805 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa0e0019fe (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa0e0019b4 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa0e0017cb (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa0e001630 (__TEXT,__text) non-external -[NFReachability init]
00007ffa0e0019e3 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa0e0019c8 (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa0e001a08 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa0e0019be (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa0e0019ed (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa0e0019d2 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa0dffe54e (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa0dffd5e1 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa0dffd563 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa0dffd828 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa0e004048 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa0dffd6fb (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa0e003f67 (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa0dffd6ad (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa0dffd62f (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa0dffd475 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa0dffd3d7 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa0dffe504 (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa0dffd955 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa0dffd28c (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa0dffe51f (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa0dffe4c2 (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa0dffe50e (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa0dffe529 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa0dffe4d8 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa0dffe4b1 (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa0dffe4f3 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa0dffe49d (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa0dffe544 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa0dffe4a7 (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa0dffe4e9 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa0dffe53a (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa0dffe493 (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa0e001fa0 (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa0e001d72 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa0e001f6c (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa0e001f87 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa0e001e5b (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa0e001c51 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa0e001b99 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa0e001c95 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa0e001f38 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa0e001e3b (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa0e001f76 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa0e001f91 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa0e001f42 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa0e001f5b (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa0e001f51 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa0e002b6f (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa0e002af2 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa0e0029c8 (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa0e002b56 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa0e002b3d (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa0e0028a7 (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa0e00283c (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa0e0028eb (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa0e002ad9 (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa0e002a39 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa0e002ab9 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa0e002a79 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa0e002a99 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa0e002a59 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa0e002afc (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa0e002b60 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa0e002b47 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa0e002ae3 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa0e002b2e (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa0e002b15 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa0e002b24 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa0e002b0b (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa0e002bc3 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa0e002ea3 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa0e002dc6 (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa0e002d1e (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa0e002c76 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa0dffbb2a (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa0dffbb0f (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa0dffb9ba (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa0dffbabe (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa0dffbad9 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa0dffb8b3 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa0dffbb19 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa0dffbac8 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa0dffbae3 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa0dffbaad (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa0dffbafe (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa0dffbaa3 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa0dffbaf4 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa0dffb897 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00007ffa0dffb8a5 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00007ffa0dffb7c3 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa0dffb80c (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa0dffb878 (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa0dffb820 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa0dffb889 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa0e0001cc (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa0dffd214 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa0dffe990 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa0e000769 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa0e000862 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa0dffe595 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa0e003851 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa0e005eb4 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa0e005f10 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffa0e005f2c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa0dffcfa7 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa0e0039e8 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa4225cbd8 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa4225cbe0 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa0e0038da (__TEXT,__text) external _NFDeviceIsA7
00007ffa0e0038e2 (__TEXT,__text) external _NFDeviceIsA8
00007ffa0e0039cd (__TEXT,__text) external _NFDeviceModelString
00007ffa0e0039b2 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa0e0038ea (__TEXT,__text) external _NFDevicePlatform
00007ffa43ece0e0 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa43ece0d8 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa0e0039a5 (__TEXT,__text) external _NFGeneralDeviceString
00007ffa0dffb710 (__TEXT,__text) external _NFInternalBuild
00007ffa4225cbd0 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00007ffa43ece098 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa0e001564 (__TEXT,__text) external _NFLockSync
00007ffa0e00092c (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa0dffb754 (__TEXT,__text) external _NFSeedBuild
00007ffa4098a638 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa0dffb75c (__TEXT,__text) external _NFStoreDemoMode
00007ffa43ece0a0 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa4225cbd1 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa0e005250 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa0e005210 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa4225c8c0 (__DATA,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa43ecddc8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa43ecddf0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa43ecde68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa43ece048 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa43ecdff8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa4225c848 (__DATA,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa43ecdeb8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa43ecdf58 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa43ecdfa8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa4225c8e8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa4225c938 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa4225c988 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa4225c7f8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa43ecdd78 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa43ecdf30 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa4225c6b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa4225c6c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00007ffa4225c6e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00007ffa4225c6e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00007ffa4225c6d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00007ffa4225c6c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00007ffa4225c6d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00007ffa4225c730 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00007ffa4225c738 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00007ffa4225c728 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00007ffa4225c7e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
