0000000198a080ec (__TEXT,__text) non-external +[CalAlarm alarm]
0000000198a111b0 (__TEXT,__text) non-external +[CalTask task]
0000000198a0dcbc (__TEXT,__text) non-external -[CalAlarm .cxx_destruct]
0000000198a08f94 (__TEXT,__text) non-external -[CalAlarm absoluteTrigger]
0000000198a08f9c (__TEXT,__text) non-external -[CalAlarm acknowledged]
0000000198a08f34 (__TEXT,__text) non-external -[CalAlarm action]
0000000198a0db74 (__TEXT,__text) non-external -[CalAlarm copyWithZone:]
0000000198a08ddc (__TEXT,__text) non-external -[CalAlarm description]
0000000198a0dbd8 (__TEXT,__text) non-external -[CalAlarm ekAlarm]
0000000198a08f84 (__TEXT,__text) non-external -[CalAlarm emailAddress]
0000000198a0d668 (__TEXT,__text) non-external -[CalAlarm hash]
0000000198a0d430 (__TEXT,__text) non-external -[CalAlarm initWithEKAlarm:]
0000000198a0811c (__TEXT,__text) non-external -[CalAlarm init]
0000000198a0d670 (__TEXT,__text) non-external -[CalAlarm isEqual:]
0000000198a0dc24 (__TEXT,__text) non-external -[CalAlarm relatedToString]
0000000198a0d560 (__TEXT,__text) non-external -[CalAlarm relatedTo]
0000000198a08f8c (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
0000000198a08188 (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
0000000198a08400 (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
0000000198a08184 (__TEXT,__text) non-external -[CalAlarm setAction:]
0000000198a0dbe0 (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
0000000198a08410 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
0000000198a0d4d0 (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
0000000198a0dc2c (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
0000000198a08190 (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
0000000198a08408 (__TEXT,__text) non-external -[CalAlarm setSound:]
0000000198a0dc78 (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
0000000198a08418 (__TEXT,__text) non-external -[CalAlarm setUrl:]
0000000198a08f7c (__TEXT,__text) non-external -[CalAlarm sound]
0000000198a0d5d0 (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
0000000198a0dc70 (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
0000000198a08f74 (__TEXT,__text) non-external -[CalAlarm url]
0000000198a09abc (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
0000000198a09458 (__TEXT,__text) non-external -[CalAttendee address]
0000000198a09460 (__TEXT,__text) non-external -[CalAttendee commonName]
0000000198a09a0c (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
0000000198a09380 (__TEXT,__text) non-external -[CalAttendee description]
0000000198a09a70 (__TEXT,__text) non-external -[CalAttendee ekParticipant]
0000000198a09754 (__TEXT,__text) non-external -[CalAttendee hash]
0000000198a096b4 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
0000000198a0975c (__TEXT,__text) non-external -[CalAttendee isEqual:]
0000000198a09a78 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
0000000198a09468 (__TEXT,__text) non-external -[CalAttendee status]
0000000198a0d424 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
0000000198a08d98 (__TEXT,__text) non-external -[CalCalendar color]
0000000198a0d37c (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
0000000198a08c14 (__TEXT,__text) non-external -[CalCalendar description]
0000000198a0d3d8 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
0000000198a0cf60 (__TEXT,__text) non-external -[CalCalendar hash]
0000000198a0cec0 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
0000000198a0cde0 (__TEXT,__text) non-external -[CalCalendar init]
0000000198a0739c (__TEXT,__text) non-external -[CalCalendar isEditable]
0000000198a0cf68 (__TEXT,__text) non-external -[CalCalendar isEqual:]
0000000198a08d40 (__TEXT,__text) non-external -[CalCalendar notes]
0000000198a07394 (__TEXT,__text) non-external -[CalCalendar setColor:]
0000000198a0d3e0 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
0000000198a0738c (__TEXT,__text) non-external -[CalCalendar setNotes:]
0000000198a07384 (__TEXT,__text) non-external -[CalCalendar setTitle:]
0000000198a08d38 (__TEXT,__text) non-external -[CalCalendar title]
0000000198a08da0 (__TEXT,__text) non-external -[CalCalendar type]
0000000198a07908 (__TEXT,__text) non-external -[CalCalendar uid]
0000000198a1116c (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
0000000198a08208 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
0000000198a10400 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
0000000198a08a14 (__TEXT,__text) non-external -[CalCalendarItem alarms]
0000000198a089a4 (__TEXT,__text) non-external -[CalCalendarItem calendar]
0000000198a11078 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
0000000198a08984 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
0000000198a08834 (__TEXT,__text) non-external -[CalCalendarItem description]
0000000198a110d4 (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
0000000198a103f0 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
0000000198a11070 (__TEXT,__text) non-external -[CalCalendarItem hash]
0000000198a102c8 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
0000000198a107a0 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
0000000198a103f8 (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
0000000198a08994 (__TEXT,__text) non-external -[CalCalendarItem notes]
0000000198a104fc (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
0000000198a10550 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
0000000198a1064c (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
0000000198a082e4 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
0000000198a110dc (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
0000000198a079e0 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
0000000198a07910 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
0000000198a11128 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
0000000198a079e8 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
0000000198a10dcc (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
0000000198a0898c (__TEXT,__text) non-external -[CalCalendarItem title]
0000000198a0897c (__TEXT,__text) non-external -[CalCalendarItem uid]
0000000198a11120 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
0000000198a0899c (__TEXT,__text) non-external -[CalCalendarItem url]
0000000198a0cda4 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
0000000198a0b32c (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
0000000198a0b334 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
0000000198a09dfc (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
0000000198a07138 (__TEXT,__text) non-external -[CalCalendarStore calendars]
0000000198a09dd4 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
0000000198a0a5b0 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
0000000198a0cd58 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
0000000198a09ee8 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
0000000198a07700 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
0000000198a0b4c4 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
0000000198a0a29c (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
0000000198a09b4c (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
0000000198a09b0c (__TEXT,__text) non-external -[CalCalendarStore init]
0000000198a0bb7c (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
0000000198a0aa5c (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
0000000198a0b104 (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
0000000198a0b5dc (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
0000000198a0a5c8 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
0000000198a0ad7c (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
0000000198a0cd60 (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
0000000198a0a1b0 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
0000000198a09fec (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
0000000198a0e6e0 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
0000000198a091e4 (__TEXT,__text) non-external -[CalEvent attendees]
0000000198a08628 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
0000000198a086b0 (__TEXT,__text) non-external -[CalEvent description]
0000000198a0ddd4 (__TEXT,__text) non-external -[CalEvent ekEvent]
0000000198a090a8 (__TEXT,__text) non-external -[CalEvent endDate]
0000000198a0dd3c (__TEXT,__text) non-external -[CalEvent init]
0000000198a09100 (__TEXT,__text) non-external -[CalEvent isAllDay]
0000000198a0e4f4 (__TEXT,__text) non-external -[CalEvent isDetached]
0000000198a0dddc (__TEXT,__text) non-external -[CalEvent isEqual:]
0000000198a09050 (__TEXT,__text) non-external -[CalEvent location]
0000000198a0e534 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
0000000198a08fa4 (__TEXT,__text) non-external -[CalEvent occurrence]
0000000198a09140 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
0000000198a0ddd8 (__TEXT,__text) non-external -[CalEvent setEKEvent:]
0000000198a0e68c (__TEXT,__text) non-external -[CalEvent setEkEvent:]
0000000198a0797c (__TEXT,__text) non-external -[CalEvent setEndDate:]
0000000198a07a54 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
0000000198a079f0 (__TEXT,__text) non-external -[CalEvent setLocation:]
0000000198a07bc0 (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
0000000198a07918 (__TEXT,__text) non-external -[CalEvent setStartDate:]
0000000198a0e334 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
0000000198a07aa0 (__TEXT,__text) non-external -[CalEvent startDate]
0000000198a0fce4 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
0000000198a0fbc4 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
0000000198a0fc88 (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
0000000198a0fa44 (__TEXT,__text) non-external -[CalNthWeekDay description]
0000000198a0fc98 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
0000000198a0fb00 (__TEXT,__text) non-external -[CalNthWeekDay hash]
0000000198a0f9a4 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
0000000198a0fb08 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
0000000198a0fca0 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
0000000198a0fc90 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
0000000198a096a0 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
0000000198a095d0 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
0000000198a07638 (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
0000000198a0962c (__TEXT,__text) non-external -[CalPredicate predicate]
0000000198a09584 (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
0000000198a09540 (__TEXT,__text) non-external -[CalPredicate subpredicate]
0000000198a102bc (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
0000000198a1001c (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
0000000198a0fdd0 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
0000000198a10270 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
0000000198a10260 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
0000000198a0fedc (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
0000000198a101c0 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
0000000198a10070 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
0000000198a10120 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
0000000198a0fee4 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
0000000198a10268 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
0000000198a10278 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
0000000198a0fd94 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
0000000198a0f998 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
0000000198a07cb4 (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
0000000198a07ed4 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
0000000198a07d40 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
0000000198a094a4 (__TEXT,__text) non-external -[CalRecurrenceRule description]
0000000198a0f94c (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
0000000198a0f944 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
0000000198a0ed90 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
0000000198a07af8 (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
0000000198a0e794 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
0000000198a0e94c (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
0000000198a0e85c (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
0000000198a08338 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
0000000198a08420 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
0000000198a0e6f4 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
0000000198a0ea88 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
0000000198a0ec40 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
0000000198a0eb50 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
0000000198a0ed98 (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
0000000198a08074 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
0000000198a07edc (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
0000000198a0807c (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
0000000198a07d38 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
0000000198a07d10 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
0000000198a0f954 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
0000000198a0f2e8 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
0000000198a119b4 (__TEXT,__text) non-external -[CalTask .cxx_destruct]
0000000198a1130c (__TEXT,__text) non-external -[CalTask completedDate]
0000000198a11660 (__TEXT,__text) non-external -[CalTask description]
0000000198a113c8 (__TEXT,__text) non-external -[CalTask dueDate]
0000000198a11278 (__TEXT,__text) non-external -[CalTask ekReminder]
0000000198a111e0 (__TEXT,__text) non-external -[CalTask init]
0000000198a11280 (__TEXT,__text) non-external -[CalTask isCompleted]
0000000198a11754 (__TEXT,__text) non-external -[CalTask isEqual:]
0000000198a11510 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
0000000198a11484 (__TEXT,__text) non-external -[CalTask priority]
0000000198a11364 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
0000000198a11420 (__TEXT,__text) non-external -[CalTask setDueDate:]
0000000198a1127c (__TEXT,__text) non-external -[CalTask setEKReminder:]
0000000198a11960 (__TEXT,__text) non-external -[CalTask setEkReminder:]
0000000198a112c0 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
0000000198a114c4 (__TEXT,__text) non-external -[CalTask setPriority:]
0000000198a12fb0 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
0000000198a12fc4 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
0000000198a12fdc (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001e6fa81e0 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00000001e6fa81e8 (__DATA_CONST,__const) external _CalAlarmActionEmail
00000001e6fa81f0 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00000001e6fa81f8 (__DATA_CONST,__const) external _CalAlarmActionSound
00000001e6fa80a0 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00000001e6fa80c0 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00000001e6fa80a8 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00000001e6fa80b8 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00000001e6fa80c8 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00000001e6fa8098 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00000001e6fa80b0 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00000001e6fa8168 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00000001e6fa8170 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00000001e6fa8178 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00000001e6fa8198 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00000001e6fa8180 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00000001e6fa8188 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00000001e6fa8190 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00000001e6fa81a0 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00000001e6fa81a8 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00000001e6fa8128 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00000001e6fa8110 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
0000000198a13000 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00000001e6fa8150 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00000001e6fa8130 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00000001e6fa8118 (__DATA_CONST,__const) external _CalEventsChangedNotification
00000001e6fa8140 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00000001e6fa8158 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00000001e6fa8238 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00000001e6fa8138 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00000001e6fa8120 (__DATA_CONST,__const) external _CalTasksChangedNotification
00000001e6fa8148 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00000001e6fa8160 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00000001edd5ebc8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAlarm
00000001edd5ead8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAttendee
00000001edd5eb78 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendar
00000001edd5ed58 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00000001edd5eb28 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00000001edd5ec18 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEvent
00000001edd5ecb8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00000001edd5ea88 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalPredicate
                 (undefined) external _OBJC_CLASS_$_CalRecurrenceDayOfWeek (from CalendarFoundation)
00000001edd5ed08 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00000001edd5ec68 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00000001edd5eda8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00000001ea917b88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00000001ea917b8c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00000001ea917b90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00000001ea917b7c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00000001ea917b84 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00000001ea917ba4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00000001ea917ba8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00000001ea917b80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00000001ea917b94 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00000001ea917b9c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00000001ea917b78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00000001ea917ba0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00000001ea917b98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00000001ea917bac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00000001edd5ebf0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00000001edd5eb00 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00000001edd5eba0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00000001edd5ed80 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00000001edd5eb50 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00000001edd5ec40 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalEvent
