                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80baf4c1f (__TEXT,__text) non-external _au_assemble
00007ff80bafea84 (__TEXT,__text) external _au_user_mask
00007ff80baf4ad0 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff84265b378 (__DATA,__bss) non-external _audit_free_q
00007ff80baffe1b (__TEXT,__text) external _audit_get_car
00007ff80baffbeb (__TEXT,__text) external _audit_get_class
00007ff80bafefe9 (__TEXT,__text) external _audit_get_cond
00007ff80baffe30 (__TEXT,__text) external _audit_get_ctlmode
00007ff80baffe06 (__TEXT,__text) external _audit_get_cwd
00007ff80baffe61 (__TEXT,__text) external _audit_get_expire_after
00007ff80baffcaf (__TEXT,__text) external _audit_get_fsize
00007ff80baffb89 (__TEXT,__text) external _audit_get_kaudit
00007ff80baffc4d (__TEXT,__text) external _audit_get_kmask
00007ff80baffd42 (__TEXT,__text) external _audit_get_pinfo
00007ff80baffd73 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80baff7b2 (__TEXT,__text) external _audit_get_policy
00007ff80baffa0c (__TEXT,__text) external _audit_get_qctrl
00007ff80baff87a (__TEXT,__text) external _audit_get_sflags
00007ff80baff8b5 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80baf493c (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80baffda4 (__TEXT,__text) external _audit_get_stat
00007ff84265b370 (__DATA,__bss) non-external _audit_rec_count
00007ff80baffb72 (__TEXT,__text) external _audit_send_trigger
00007ff80baffc1c (__TEXT,__text) external _audit_set_class
00007ff80baff74e (__TEXT,__text) external _audit_set_cond
00007ff80baffce0 (__TEXT,__text) external _audit_set_fsize
00007ff80baffbba (__TEXT,__text) external _audit_set_kaudit
00007ff80baffc7e (__TEXT,__text) external _audit_set_kmask
00007ff80baffd11 (__TEXT,__text) external _audit_set_pmask
00007ff80baff816 (__TEXT,__text) external _audit_set_policy
00007ff80baffabf (__TEXT,__text) external _audit_set_qctrl
00007ff80baff891 (__TEXT,__text) external _audit_set_sflags
00007ff80baff965 (__TEXT,__text) external _audit_set_sflags_mask
00007ff80baffdd5 (__TEXT,__text) external _audit_set_stat
00007ff80baff132 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80baff04d (__TEXT,__text) external _audit_set_terminal_id
00007ff80baff1b3 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80baff082 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80bafec05 (__TEXT,__text) external _audit_submit
00007ff80baf2be8 (__TEXT,__text) external _audit_token_to_asid
00007ff80baf2c30 (__TEXT,__text) external _audit_token_to_au32
00007ff80baf2c0c (__TEXT,__text) external _audit_token_to_auid
00007ff80baf2c15 (__TEXT,__text) external _audit_token_to_egid
00007ff80baf2bfa (__TEXT,__text) external _audit_token_to_euid
00007ff80baf2bf1 (__TEXT,__text) external _audit_token_to_pid
00007ff80baf2c27 (__TEXT,__text) external _audit_token_to_pidversion
00007ff80baf2c1e (__TEXT,__text) external _audit_token_to_rgid
00007ff80baf2c03 (__TEXT,__text) external _audit_token_to_ruid
00007ff80baff1e8 (__TEXT,__text) external _audit_write
00007ff80baff4cc (__TEXT,__text) external _audit_write_failure
00007ff80baff590 (__TEXT,__text) external _audit_write_failure_ex
00007ff80baff6f2 (__TEXT,__text) external _audit_write_failure_na
00007ff80baff720 (__TEXT,__text) external _audit_write_failure_na_ex
00007ff80baff654 (__TEXT,__text) external _audit_write_failure_self
00007ff80baff373 (__TEXT,__text) external _audit_write_success
00007ff80baff3f7 (__TEXT,__text) external _audit_write_success_ex
00007ff80baff47b (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff80bb01a00 (__TEXT,__const) non-external _bsm_domains
00007ff84265a880 (__DATA,__const) non-external _bsm_errnos
00007ff80bb01c80 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff80bb01c30 (__TEXT,__const) non-external _bsm_socket_types
00007ff80bafc303 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff80bafb933 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff80baf57e3 (__TEXT,__text) external _endac
00007ff80baf5443 (__TEXT,__text) external _endauclass
00007ff80baf6174 (__TEXT,__text) external _endauevent
00007ff80bafe78f (__TEXT,__text) external _endauuser
00007ff84265bab8 (__DATA,__bss) non-external _ev_cache
00007ff80baf662e (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff84265bab0 (__DATA,__bss) non-external _firsttime
00007ff80bafc171 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff84265b570 (__DATA,__bss) non-external _fp
00007ff84265b680 (__DATA,__bss) non-external _fp
00007ff84265b790 (__DATA,__bss) non-external _fp
00007ff84265bad0 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80baf581c (__TEXT,__text) external _getacdir
00007ff80baf5e4c (__TEXT,__text) external _getacexpire
00007ff80baf5a47 (__TEXT,__text) external _getacfilesz
00007ff80baf5b97 (__TEXT,__text) external _getacflg
00007ff80baf5dbe (__TEXT,__text) external _getachost
00007ff80baf59e4 (__TEXT,__text) external _getacmin
00007ff80baf5c1d (__TEXT,__text) external _getacna
00007ff80baf5ca3 (__TEXT,__text) external _getacpol
00007ff80baf5d31 (__TEXT,__text) external _getacsflagsmask
00007ff80baf51da (__TEXT,__text) external _getauclassent
00007ff84265b478 (__DATA,__bss) non-external _getauclassent.c
00007ff84265b430 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff84265b420 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff84265b490 (__DATA,__bss) non-external _getauclassent.cp
00007ff80baf503e (__TEXT,__text) external _getauclassent_r
00007ff80baf5072 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff80baf5315 (__TEXT,__text) external _getauclassnam
00007ff84265b4e8 (__DATA,__bss) non-external _getauclassnam.c
00007ff84265b4a0 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff84265b498 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff80baf529e (__TEXT,__text) external _getauclassnam_r
00007ff80baf53de (__TEXT,__text) external _getauclassnum
00007ff84265b558 (__DATA,__bss) non-external _getauclassnum.c
00007ff84265b510 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff84265b500 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff80baf537b (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff80baf674c (__TEXT,__text) external _getauditflagsbin
00007ff80baf68bb (__TEXT,__text) external _getauditflagschar
00007ff80baf627e (__TEXT,__text) external _getauevent
00007ff84265b7f8 (__DATA,__bss) non-external _getauevent.e
00007ff84265b7c0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff84265b7a0 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff80baf61ad (__TEXT,__text) external _getauevent_r
00007ff80baf63d5 (__TEXT,__text) external _getauevnam
00007ff84265b878 (__DATA,__bss) non-external _getauevnam.e
00007ff84265b840 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff84265b820 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff80baf62e8 (__TEXT,__text) external _getauevnam_r
00007ff80baf661a (__TEXT,__text) external _getauevnonam
00007ff84265b9a0 (__DATA,__bss) non-external _getauevnonam.event
00007ff80baf6588 (__TEXT,__text) external _getauevnonam_r
00007ff84265b978 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff84265b998 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff84265b940 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff84265b920 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff80baf651c (__TEXT,__text) external _getauevnum
00007ff84265b8f8 (__DATA,__bss) non-external _getauevnum.e
00007ff84265b8c0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff84265b8a0 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff80baf6442 (__TEXT,__text) external _getauevnum_r
00007ff80bafe958 (__TEXT,__text) external _getauuserent
00007ff84265bb18 (__DATA,__bss) non-external _getauuserent.u
00007ff84265bae0 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff80bafe7c8 (__TEXT,__text) external _getauuserent_r
00007ff80bafe7fc (__TEXT,__text) non-external _getauuserent_r_locked
00007ff80bafea3a (__TEXT,__text) external _getauusernam
00007ff84265bb68 (__DATA,__bss) non-external _getauusernam.u
00007ff84265bb30 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff80bafe9cf (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff80bafeb44 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff80baf589d (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff84265b580 (__DATA,__bss) non-external _linestr
00007ff84265b690 (__DATA,__bss) non-external _linestr
00007ff84265b9b0 (__DATA,__bss) non-external _linestr
00007ff84265bb80 (__DATA,__bss) non-external _linestr
00007ff80bafc0b2 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff84265b1f0 (__DATA,__data) non-external _mutex
00007ff84265b230 (__DATA,__data) non-external _mutex
00007ff84265b270 (__DATA,__data) non-external _mutex
00007ff84265b2b0 (__DATA,__data) non-external _mutex
00007ff84265b2f0 (__DATA,__data) non-external _mutex
00007ff84265b330 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff84265b380 (__DATA,__bss) non-external _open_desc_table
00007ff80bafb7dc (__TEXT,__text) non-external _print_event
00007ff80bafbe11 (__TEXT,__text) non-external _print_group
00007ff80bafbba8 (__TEXT,__text) non-external _print_ip_ex_address
00007ff80bafbec1 (__TEXT,__text) non-external _print_ipctype
00007ff80bafbe54 (__TEXT,__text) non-external _print_mem
00007ff80bafbf28 (__TEXT,__text) non-external _print_retval
00007ff80bafb8a2 (__TEXT,__text) non-external _print_sec32
00007ff80bafbc52 (__TEXT,__text) non-external _print_sec64
00007ff80bafbce2 (__TEXT,__text) non-external _print_string
00007ff80bafb468 (__TEXT,__text) non-external _print_tok_type
00007ff80bafbdce (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80baf5747 (__TEXT,__text) external _setac
00007ff80baf576f (__TEXT,__text) non-external _setac_locked
00007ff84265b688 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff80baf526c (__TEXT,__text) external _setauclass
00007ff80baf6142 (__TEXT,__text) external _setauevent
00007ff80bafe75d (__TEXT,__text) external _setauuser
00007ff80baf601c (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff84265bac0 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
