000000018ce94500 (__TEXT,__text) non-external _Annihilate
000000018ce9e62c (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
000000018ce9adf4 (__TEXT,__text) non-external _DecodeMetaBlockLength
000000018ce9b32c (__TEXT,__text) non-external _DecodeVarLenUint8
000000018ce93b78 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
000000018ceb4b68 (__TEXT,__text) non-external _EncodeContextMap
000000018ce8b304 (__TEXT,__text) non-external _EncodeData
000000018ceaed4c (__TEXT,__text) non-external _EvaluateNode
000000018ce8da08 (__TEXT,__text) non-external _ExtendLastCommand
000000018cef70c0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018cf34768 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018ce8d85c (__TEXT,__text) non-external _GetBrotliStorage
000000018ce8d8d8 (__TEXT,__text) non-external _GetHashTable
000000018ced1a80 (__TEXT,__text) non-external _InitBlockSplitterCommand
000000018ced1c28 (__TEXT,__text) non-external _InitBlockSplitterDistance
000000018ced18dc (__TEXT,__text) non-external _InitBlockSplitterLiteral
000000018ced6c50 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
000000018cf4d2d1 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
000000018ced6bd0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
000000018ceae438 (__TEXT,__text) non-external _InitZopfliCostModel
000000018ce8d1ac (__TEXT,__text) non-external _InitializeH6
000000018ce8b1cc (__TEXT,__text) non-external _InjectFlushOrPushOutput
000000018ce9dcb0 (__TEXT,__text) non-external _InverseMoveToFrontTransform
000000018cea54f4 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
000000018cea54a4 (__TEXT,__text) non-external _LZFSEIBootBufferPush
000000018cea53b4 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
000000018ced3838 (__TEXT,__text) non-external _MapStaticContexts
000000018ce8d568 (__TEXT,__text) non-external _PrepareH35
000000018ce8d204 (__TEXT,__text) non-external _PrepareH4
000000018ce8d318 (__TEXT,__text) non-external _PrepareH40
000000018ce8d3b4 (__TEXT,__text) non-external _PrepareH41
000000018ce8d450 (__TEXT,__text) non-external _PrepareH42
000000018ce8d268 (__TEXT,__text) non-external _PrepareH5
000000018ce8d500 (__TEXT,__text) non-external _PrepareH54
000000018ce8d67c (__TEXT,__text) non-external _PrepareH55
000000018ce8d2b8 (__TEXT,__text) non-external _PrepareH6
000000018ce8d738 (__TEXT,__text) non-external _PrepareH65
000000018ce9c4f8 (__TEXT,__text) non-external _ProcessCommands
000000018ce9b4dc (__TEXT,__text) non-external _ReadHuffmanCode
000000018ce9ddc8 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
000000018ce9e830 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
000000018ce9e2b8 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
000000018ce9dbec (__TEXT,__text) non-external _SafeDecodeSymbol
000000018ce9cf08 (__TEXT,__text) non-external _SafeProcessCommands
000000018ce9ac98 (__TEXT,__text) non-external _SaveErrorCode
000000018ceb0100 (__TEXT,__text) non-external _SetCost
000000018ceb213c (__TEXT,__text) non-external _Shift
000000018ce8cfc0 (__TEXT,__text) non-external _ShouldCompress
000000018cecde70 (__TEXT,__text) non-external _ShouldCompress
000000018ce93ec8 (__TEXT,__text) non-external _ShouldMergeBlock
000000018ced6d60 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
000000018ce94478 (__TEXT,__text) non-external _SortPointers
000000018ced72d8 (__TEXT,__const) non-external _SortPointers.gaps
000000018cece0c4 (__TEXT,__text) non-external _StoreCommands
000000018cf2c098 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
000000018cf2be98 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
000000018ceb4594 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
000000018ceb5a28 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
000000018ceb4ff0 (__TEXT,__text) non-external _StoreSymbol
000000018ceb5184 (__TEXT,__text) non-external _StoreSymbolWithContext
000000018ceb4954 (__TEXT,__text) non-external _StoreTrivialContextMap
000000018ceb6204 (__TEXT,__text) non-external _StoreVarLenUint8
000000018ce94020 (__TEXT,__text) non-external _UpdateBits
000000018ce8d9c0 (__TEXT,__text) non-external _UpdateLastProcessedPos
000000018ceae5d0 (__TEXT,__text) non-external _UpdateNodes
000000018ce9da1c (__TEXT,__text) non-external _WrapRingBuffer
000000018ce8dc68 (__TEXT,__text) non-external _WriteMetaBlockInternal
000000018ce9acac (__TEXT,__text) non-external _WriteRingBuffer
000000018ceae4b4 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000018cef74d0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
000000018cef73e0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00000001d39c8ce8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018cea1594 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
000000018cf33158 (__TEXT,__const) non-external (was a private external) __dist_code
000000018cf2b688 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
000000018ced7070 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
000000018cf33358 (__TEXT,__const) non-external (was a private external) __length_code
000000018ced0508 (__TEXT,__text) non-external (was a private external) __tr_align
000000018ce829b0 (__TEXT,__text) non-external (was a private external) __tr_flush_block
000000018ce81130 (__TEXT,__text) non-external (was a private external) __tr_init
000000018ced03c0 (__TEXT,__text) non-external (was a private external) __tr_stored_block
000000018ced077c (__TEXT,__text) non-external (was a private external) __tr_tally
000000018ce80ff4 (__TEXT,__text) non-external (was a private external) _adler32
000000018ced5f10 (__TEXT,__text) non-external (was a private external) _adler32_vec
000000018cf33b10 (__TEXT,__const) non-external _base_dist
000000018cf33a9c (__TEXT,__const) non-external _base_length
000000018ced06ec (__TEXT,__text) non-external _bi_flush
000000018ce83e24 (__TEXT,__text) non-external _bi_windup
000000018cf33a88 (__TEXT,__const) non-external _bl_order
000000018cf2b428 (__TEXT,__const) non-external _breverse.brev8
000000018cece7f0 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
000000018cece838 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
000000018cecea14 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
000000018cece944 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
000000018cece884 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
000000018ce82f08 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000018ce83a64 (__TEXT,__text) non-external _compress_block
000000018ce856c8 (__TEXT,__text) external _compression_decode_buffer
000000018ce855d4 (__TEXT,__text) external _compression_decode_scratch_buffer_size
000000018cec8398 (__TEXT,__text) external _compression_encode_buffer
000000018cec8250 (__TEXT,__text) external _compression_encode_scratch_buffer_size
000000018ce8401c (__TEXT,__text) external _compression_stream_destroy
000000018cea291c (__TEXT,__text) external _compression_stream_get_decode_state_size
000000018cea28cc (__TEXT,__text) external _compression_stream_get_encode_state_size
000000018cea287c (__TEXT,__text) external _compression_stream_get_state_size
000000018cea27e8 (__TEXT,__text) external _compression_stream_identify_algorithm
000000018ce80a40 (__TEXT,__text) external _compression_stream_init
000000018cea27a8 (__TEXT,__text) external _compression_stream_init_with_state_buffer
000000018cea296c (__TEXT,__text) external _compression_stream_is_state_valid
000000018ce81180 (__TEXT,__text) external _compression_stream_process
000000018ce86040 (__TEXT,__text) external _compression_stream_reinit
00000001dba04ca0 (__AUTH_CONST,__const) non-external _configuration_table
000000018cea8948 (__TEXT,__text) non-external _convert_row_16to8
000000018cea88cc (__TEXT,__text) non-external _convert_row_8to16
000000018cea8720 (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
000000018cea83e8 (__TEXT,__text) non-external _convert_row_GUVtoRGB888
000000018cea8bf4 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
000000018cea89cc (__TEXT,__text) non-external _convert_row_RG88toRG
000000018cea8268 (__TEXT,__text) non-external _convert_row_RGB888toGUV
000000018cea8588 (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
000000018cea8b4c (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
000000018cea8a80 (__TEXT,__text) non-external _convert_row_RGtoRG88
000000018cea89c4 (__TEXT,__text) non-external _convert_row_copy16
000000018cea77c4 (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
000000018cea7760 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
000000018cea8074 (__TEXT,__text) non-external _convert_rows_from_bayer16
000000018cea7e4c (__TEXT,__text) non-external _convert_rows_from_bayer8
000000018cea79b4 (__TEXT,__text) non-external _convert_rows_from_quadra8
000000018cea8164 (__TEXT,__text) non-external _convert_rows_to_bayer16
000000018cea7f58 (__TEXT,__text) non-external _convert_rows_to_bayer8
000000018cea7bf0 (__TEXT,__text) non-external _convert_rows_to_quadra8
000000018ceb8af4 (__TEXT,__text) external _cosmix_codec_decode
000000018ceb81f0 (__TEXT,__text) external _cosmix_codec_encode
000000018ceb89fc (__TEXT,__text) external _cosmix_codec_get_decoded_size
000000018ceb9588 (__TEXT,__text) external _cosmix_codec_get_id
000000018ceb93e4 (__TEXT,__text) external _cosmix_codec_map
000000018ceb9528 (__TEXT,__text) external _cosmix_codec_unmap
000000018ceb8ff8 (__TEXT,__text) external _cosmix_model_create
000000018ceb9134 (__TEXT,__text) external _cosmix_model_destroy
000000018ceb917c (__TEXT,__text) external _cosmix_model_save_codec
000000018ceb7c00 (__TEXT,__text) external _cosmix_model_update
000000018cece4f0 (__TEXT,__text) non-external (was a private external) _crc32
000000018cf34a04 (__TEXT,__const) non-external _crc32_lut4
000000018cf2c0f8 (__TEXT,__const) non-external _crc_table
000000018cea6114 (__TEXT,__text) non-external _create_rectangle_within_image
000000018ce99770 (__TEXT,__text) non-external (was a private external) _create_thread
000000018ce815f0 (__TEXT,__text) non-external (was a private external) _deflate
000000018ced52c4 (__TEXT,__text) non-external (was a private external) _deflateBound
000000018ced5860 (__TEXT,__text) non-external (was a private external) _deflateCopy
000000018ce83f2c (__TEXT,__text) non-external (was a private external) _deflateEnd
000000018ce80c04 (__TEXT,__text) non-external (was a private external) _deflateInit2_
000000018ced5018 (__TEXT,__text) non-external (was a private external) _deflateInit_
000000018ced51bc (__TEXT,__text) non-external (was a private external) _deflateParams
000000018ced518c (__TEXT,__text) non-external (was a private external) _deflatePrime
000000018ce80ec4 (__TEXT,__text) non-external (was a private external) _deflateReset
000000018ced5034 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
000000018ced5160 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
000000018ced52a0 (__TEXT,__text) non-external (was a private external) _deflateTune
000000018cf349b8 (__TEXT,__const) non-external (was a private external) _deflate_copyright
000000018ced5bc4 (__TEXT,__text) non-external _deflate_fast
000000018ced53b8 (__TEXT,__text) non-external _deflate_huff
000000018ced5518 (__TEXT,__text) non-external _deflate_rle
000000018ce82114 (__TEXT,__text) non-external _deflate_slow
000000018ced5a1c (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
000000018ceb2a54 (__TEXT,__text) non-external _emitMatch
000000018cf33a3c (__TEXT,__const) non-external _extra_blbits
000000018cf339c4 (__TEXT,__const) non-external _extra_dbits
000000018cf33950 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
000000018ce82568 (__TEXT,__text) non-external _fill_window
000000018ce83e98 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
000000018ced4fb8 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fwrite (from libSystem)
000000018cf34664 (__TEXT,__const) non-external _getDSymbolFromValue.sym
000000018ceb9b4c (__TEXT,__text) non-external _getDecoderTable
000000018cf33bf0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
000000018cf33d2c (__TEXT,__const) non-external _getMSymbolFromValue.sym
000000018cea782c (__TEXT,__text) non-external (was a private external) _get_conversion_set
000000018cece4e4 (__TEXT,__text) non-external (was a private external) _get_crc_table
000000018ceab79c (__TEXT,__text) non-external (was a private external) _get_default_nthreads
000000018cea57ec (__TEXT,__text) non-external _get_format_bits
000000018cea55dc (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
000000018cea5610 (__TEXT,__text) non-external (was a private external) _get_format_components
000000018cea56b0 (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
000000018cea59c8 (__TEXT,__text) non-external _get_format_plane_count
000000018cea56cc (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
000000018cea03dc (__TEXT,__text) non-external (was a private external) _get_max_payload_size
000000018cea0420 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
000000018cea046c (__TEXT,__text) non-external (was a private external) _get_pool_size
000000018ceab754 (__TEXT,__text) non-external (was a private external) _get_real_time
000000018cea0450 (__TEXT,__text) non-external (was a private external) _get_slice_height
000000018cea0434 (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
000000018cea5a30 (__TEXT,__text) non-external _header_fetch_from_payload
000000018ced0288 (__TEXT,__text) non-external _init_block
000000018cea56e0 (__TEXT,__text) non-external (was a private external) _is_format_invalid
000000018cea55b8 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
000000018cea6098 (__TEXT,__text) non-external _is_image_valid
000000018ce99818 (__TEXT,__text) non-external (was a private external) _join_thread
000000018cef52e0 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
000000018ced6aa8 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
000000018ced6b08 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001d39c8b20 (__DATA_CONST,__const) non-external _kBrotliDictionary
000000018ced72f8 (__TEXT,__const) non-external _kBrotliDictionaryData
000000018ced69e8 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
