                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
0000000191ef2e64 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
0000000191ef2e9c (__TEXT,__text) external _KClientAddRealmMapDeprecated
0000000191ef2ebc (__TEXT,__text) external _KClientAddServerMapDeprecated
0000000191ef3110 (__TEXT,__text) external _KClientAddServiceKey
0000000191ef2e7c (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
0000000191ef3158 (__TEXT,__text) external _KClientDecrypt
0000000191ef3008 (__TEXT,__text) external _KClientDecryptCompat
0000000191ef2f0c (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
0000000191ef2ea4 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
0000000191ef2ec4 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
0000000191ef2ef4 (__TEXT,__text) external _KClientDeleteSessionDeprecated
0000000191ef3190 (__TEXT,__text) external _KClientDisposePrincipal
0000000191ef3088 (__TEXT,__text) external _KClientDisposeSession
0000000191ef2fc0 (__TEXT,__text) external _KClientDisposeSessionCompat
0000000191ef3150 (__TEXT,__text) external _KClientEncrypt
0000000191ef3000 (__TEXT,__text) external _KClientEncryptCompat
0000000191ef3120 (__TEXT,__text) external _KClientGetAuthenticatorForService
0000000191ef3170 (__TEXT,__text) external _KClientGetCCacheReference
0000000191ef3090 (__TEXT,__text) external _KClientGetClientPrincipal
0000000191ef2efc (__TEXT,__text) external _KClientGetCredentialsDeprecated
0000000191ef3140 (__TEXT,__text) external _KClientGetEncryptedServiceReply
0000000191ef2f2c (__TEXT,__text) external _KClientGetErrorTextDeprecated
0000000191ef30d8 (__TEXT,__text) external _KClientGetExpirationTime
0000000191ef30b0 (__TEXT,__text) external _KClientGetLocalAddress
0000000191ef2e84 (__TEXT,__text) external _KClientGetLocalRealmDeprecated
0000000191ef2f1c (__TEXT,__text) external _KClientGetNthCredentialDeprecated
0000000191ef2eac (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
0000000191ef2eb4 (__TEXT,__text) external _KClientGetNthServerDeprecated
0000000191ef2ecc (__TEXT,__text) external _KClientGetNthServerMapDeprecated
0000000191ef2ed4 (__TEXT,__text) external _KClientGetNthServerPortDeprecated
0000000191ef2eec (__TEXT,__text) external _KClientGetNthSessionDeprecated
0000000191ef2f14 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
0000000191ef2ee4 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
0000000191ef3148 (__TEXT,__text) external _KClientGetProtectedServiceReply
0000000191ef2e94 (__TEXT,__text) external _KClientGetRealmDeprecated
0000000191ef30c0 (__TEXT,__text) external _KClientGetRemoteAddress
0000000191ef30a0 (__TEXT,__text) external _KClientGetServerPrincipal
0000000191ef3108 (__TEXT,__text) external _KClientGetServiceKey
0000000191ef30d0 (__TEXT,__text) external _KClientGetSessionKey
0000000191ef2ff8 (__TEXT,__text) external _KClientGetSessionKeyCompat
0000000191ef3050 (__TEXT,__text) external _KClientGetSessionUserNameCompat
0000000191ef3118 (__TEXT,__text) external _KClientGetTicketForService
0000000191ef2fc8 (__TEXT,__text) external _KClientGetTicketForServiceCompat
0000000191ef2fd0 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
0000000191ef2f24 (__TEXT,__text) external _KClientGetUserNameDeprecated
0000000191ef3070 (__TEXT,__text) external _KClientGetVersion
0000000191ef30f8 (__TEXT,__text) external _KClientKeyFileLogin
0000000191ef30e8 (__TEXT,__text) external _KClientLogin
0000000191ef2fd8 (__TEXT,__text) external _KClientLoginCompat
0000000191ef3100 (__TEXT,__text) external _KClientLogout
0000000191ef2fe8 (__TEXT,__text) external _KClientLogoutCompat
0000000191ef3058 (__TEXT,__text) external _KClientMakeSendAuthCompat
0000000191ef3078 (__TEXT,__text) external _KClientNewClientSession
0000000191ef3080 (__TEXT,__text) external _KClientNewServerSession
0000000191ef2fb8 (__TEXT,__text) external _KClientNewSessionCompat
0000000191ef30f0 (__TEXT,__text) external _KClientPasswordLogin
0000000191ef2fe0 (__TEXT,__text) external _KClientPasswordLoginCompat
0000000191ef3180 (__TEXT,__text) external _KClientPrincipalToV4String
0000000191ef3188 (__TEXT,__text) external _KClientPrincipalToV4Triplet
0000000191ef3160 (__TEXT,__text) external _KClientProtectIntegrity
0000000191ef3010 (__TEXT,__text) external _KClientProtectIntegrityCompat
0000000191ef3098 (__TEXT,__text) external _KClientSetClientPrincipal
0000000191ef30e0 (__TEXT,__text) external _KClientSetKeyFile
0000000191ef30b8 (__TEXT,__text) external _KClientSetLocalAddress
0000000191ef2e8c (__TEXT,__text) external _KClientSetLocalRealmDeprecated
0000000191ef2edc (__TEXT,__text) external _KClientSetNthServerPortDeprecated
0000000191ef30c8 (__TEXT,__text) external _KClientSetRemoteAddress
0000000191ef30a8 (__TEXT,__text) external _KClientSetServerPrincipal
0000000191ef2ff0 (__TEXT,__text) external _KClientStatusCompat
0000000191ef3178 (__TEXT,__text) external _KClientV4StringToPrincipal
0000000191ef3138 (__TEXT,__text) external _KClientVerifyAuthenticator
0000000191ef3128 (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
0000000191ef3168 (__TEXT,__text) external _KClientVerifyIntegrity
0000000191ef3018 (__TEXT,__text) external _KClientVerifyIntegrityCompat
0000000191ef3130 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
0000000191ef3060 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
0000000191ef3068 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
0000000191ef2fb0 (__TEXT,__text) external _KClientVersionCompat
0000000191eecefc (__TEXT,__text) external _KLAcquireInitialTickets
0000000191eed120 (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
0000000191eed8bc (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
0000000191eed038 (__TEXT,__text) external _KLAcquireNewInitialTickets
0000000191eed8dc (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
0000000191eed23c (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
0000000191eecfb0 (__TEXT,__text) external _KLAcquireNewTickets
0000000191eed1c8 (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
0000000191eece8c (__TEXT,__text) external _KLAcquireTickets
0000000191eed0ac (__TEXT,__text) external _KLAcquireTicketsWithPassword
0000000191eed3c0 (__TEXT,__text) external _KLCacheHasValidTickets
0000000191eee0c8 (__TEXT,__text) external _KLCancelAllDialogs
0000000191eed8b4 (__TEXT,__text) external _KLChangePassword
0000000191eee0d0 (__TEXT,__text) external _KLChangePasswordWithPasswords
0000000191eee650 (__TEXT,__text) external _KLComparePrincipal
0000000191eee1f0 (__TEXT,__text) external _KLCountKerberosRealms
0000000191eee71c (__TEXT,__text) external _KLCreateLoginOptions
0000000191eee33c (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
0000000191eee388 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
0000000191eee26c (__TEXT,__text) external _KLCreatePrincipalFromString
0000000191eee218 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
0000000191eed864 (__TEXT,__text) external _KLDestroyTickets
0000000191eee9d0 (__TEXT,__text) external _KLDisposeLoginOptions
0000000191eee6c8 (__TEXT,__text) external _KLDisposePrincipal
0000000191eeea34 (__TEXT,__text) external _KLDisposeString
0000000191eee0f8 (__TEXT,__text) external _KLFindKerberosRealmByName
0000000191eed3b8 (__TEXT,__text) external _KLGetApplicationOptions
0000000191eee0e8 (__TEXT,__text) external _KLGetDefaultLoginOption
0000000191eee580 (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
0000000191eee02c (__TEXT,__text) external _KLGetErrorString
0000000191eee0e0 (__TEXT,__text) external _KLGetIdleCallback
0000000191eee1f8 (__TEXT,__text) external _KLGetKerberosDefaultRealm
0000000191eee170 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
0000000191eee1c8 (__TEXT,__text) external _KLGetKerberosRealm
0000000191eee4b0 (__TEXT,__text) external _KLGetStringFromPrincipal
0000000191eee3d4 (__TEXT,__text) external _KLGetTripletFromPrincipal
0000000191eee024 (__TEXT,__text) external _KLHandleError
0000000191eee1e0 (__TEXT,__text) external _KLInsertKerberosRealm
0000000191eedb60 (__TEXT,__text) external _KLLastChangedTime
0000000191eee900 (__TEXT,__text) external _KLLoginOptionsSetAddressless
0000000191eee804 (__TEXT,__text) external _KLLoginOptionsSetForwardable
0000000191eee858 (__TEXT,__text) external _KLLoginOptionsSetProxiable
0000000191eee8ac (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
0000000191eee970 (__TEXT,__text) external _KLLoginOptionsSetServiceName
0000000191eee7b0 (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
0000000191eee938 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
0000000191eee1e8 (__TEXT,__text) external _KLRemoveAllKerberosRealms
0000000191eee1d8 (__TEXT,__text) external _KLRemoveKerberosRealm
0000000191eed8e4 (__TEXT,__text) external _KLRenewInitialTickets
0000000191eed3b0 (__TEXT,__text) external _KLSetApplicationOptions
0000000191eee0f0 (__TEXT,__text) external _KLSetDefaultLoginOption
0000000191eee0d8 (__TEXT,__text) external _KLSetIdleCallback
0000000191eee208 (__TEXT,__text) external _KLSetKerberosDefaultRealm
0000000191eee210 (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
0000000191eee1d0 (__TEXT,__text) external _KLSetKerberosRealm
0000000191eedf70 (__TEXT,__text) external _KLSetSystemDefaultCache
0000000191eed8c4 (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
0000000191eede88 (__TEXT,__text) external _KLTicketExpirationTime
0000000191eedda0 (__TEXT,__text) external _KLTicketStartTime
0000000191eedb58 (__TEXT,__text) external _KLValidateInitialTickets
0000000191eed8d4 (__TEXT,__text) external _KLVerifyInitialTicketCredentials
0000000191eed8cc (__TEXT,__text) external _KLVerifyInitialTickets
0000000191ef2b50 (__TEXT,__text) external _KPCreatePreferencesFile
0000000191ef2b3c (__TEXT,__text) external _KPFreeListOfPreferencesFiles
0000000191ef2b34 (__TEXT,__text) external _KPGetListOfPreferencesFiles
0000000191ef2b2c (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
0000000191ef2b40 (__TEXT,__text) external _KPPreferencesFileIsReadable
0000000191ef2b48 (__TEXT,__text) external _KPPreferencesFileIsWritable
0000000191ef3038 (__TEXT,__text) external _KServerAddKeyCompat
0000000191ef3040 (__TEXT,__text) external _KServerGetKeyCompat
0000000191ef3030 (__TEXT,__text) external _KServerGetReplyTicketCompat
0000000191ef3048 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
0000000191ef3020 (__TEXT,__text) external _KServerNewSessionCompat
0000000191ef3028 (__TEXT,__text) external _KServerVerifyTicketCompat
0000000191ef171c (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001e7d1fb20 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
0000000191eeea74 (__TEXT,__text) external ___KLAllowAutomaticPrompting
0000000191eeea64 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
0000000191eeea8c (__TEXT,__text) external ___KLAllowRememberPassword
0000000191eeeaf4 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
0000000191eeea94 (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
0000000191eeeb40 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
0000000191eeeb50 (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
0000000191eeeac4 (__TEXT,__text) external ___KLGetTripletFromPrincipal
0000000191eeeb68 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
0000000191eeeb68 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
0000000191eeeb70 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
0000000191eeeb48 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
0000000191eeeb58 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
0000000191eeea84 (__TEXT,__text) external ___KLPromptMechanism
0000000191eeeb60 (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
0000000191eeea50 (__TEXT,__text) external ___KLSetApplicationPrompter
0000000191eeea6c (__TEXT,__text) external ___KLSetAutomaticPrompting
0000000191eeea58 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
0000000191eeea7c (__TEXT,__text) external ___KLSetPromptMechanism
0000000191eec794 (__TEXT,__text) external ___KerberosDebugLogLevel
0000000191eec79c (__TEXT,__text) external ___KerberosDebugPrint
0000000191eec7a4 (__TEXT,__text) external ___KerberosDebugPrintMemory
0000000191eec7a8 (__TEXT,__text) external ___KerberosDebugPrintSession
0000000191eec7a0 (__TEXT,__text) external ___KerberosDebugVAPrint
00000001e7d1f540 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
0000000191ee85cc (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00000001e440a2e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e440a320 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001e440a300 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001ebfbd7b0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ebfbd7f0 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001ebfbd7d0 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___error (from libSystem)
0000000191eebc08 (__TEXT,__text) non-external ___error_message_block_invoke
0000000191ee7adc (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
0000000191eeb170 (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
0000000191eed514 (__TEXT,__text) non-external _acquireticket_ui
0000000191ef0ef4 (__TEXT,__text) non-external _add_data_to_buffer
0000000191ee7c30 (__TEXT,__text) external _add_error_table
0000000191eef71c (__TEXT,__text) non-external _add_to_list
0000000191ef49dc (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
0000000191ef4ae0 (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _bzero (from libSystem)
0000000191ee7c38 (__TEXT,__text) external _cc_close
0000000191ee7c40 (__TEXT,__text) external _cc_create
0000000191ee7c48 (__TEXT,__text) external _cc_destroy
0000000191ee7c50 (__TEXT,__text) external _cc_free_NC_info
0000000191ee7c58 (__TEXT,__text) external _cc_free_creds
0000000191ee7c60 (__TEXT,__text) external _cc_free_name
0000000191ee7c68 (__TEXT,__text) external _cc_free_principal
00000001ea346b28 (__AUTH,__data) non-external (was a private external) _cc_functions
0000000191ee7c70 (__TEXT,__text) external _cc_get_NC_info
0000000191ee7c78 (__TEXT,__text) external _cc_get_change_time
0000000191ee7c80 (__TEXT,__text) external _cc_get_cred_version
0000000191ee7c88 (__TEXT,__text) external _cc_get_name
0000000191ee7c90 (__TEXT,__text) external _cc_get_principal
0000000191ee9574 (__TEXT,__text) external _cc_initialize
0000000191eea7dc (__TEXT,__text) non-external _cc_iterator_clone
0000000191ee8bac (__TEXT,__text) non-external (was a private external) _cc_iterator_next
0000000191eea784 (__TEXT,__text) non-external _cc_iterator_release
0000000191ee7c98 (__TEXT,__text) external _cc_open
0000000191ee7ca0 (__TEXT,__text) external _cc_remove_cred
0000000191ee7ca8 (__TEXT,__text) external _cc_seq_fetch_NCs_begin
0000000191ee7cb0 (__TEXT,__text) external _cc_seq_fetch_NCs_end
0000000191ee7cb8 (__TEXT,__text) external _cc_seq_fetch_NCs_next
0000000191ee7cc0 (__TEXT,__text) external _cc_seq_fetch_creds_begin
0000000191ee7cc8 (__TEXT,__text) external _cc_seq_fetch_creds_end
0000000191ee7cd0 (__TEXT,__text) external _cc_seq_fetch_creds_next
0000000191ee7cd8 (__TEXT,__text) external _cc_set_principal
0000000191ee7ce0 (__TEXT,__text) external _cc_shutdown
0000000191ee7ce8 (__TEXT,__text) external _cc_store
0000000191eea694 (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
0000000191eea3fc (__TEXT,__text) non-external _ccache_compare
0000000191ee9650 (__TEXT,__text) non-external _ccache_destroy
00000001ea346b90 (__AUTH,__data) non-external _ccache_functions
0000000191eea3a0 (__TEXT,__text) non-external _ccache_get_change_time
0000000191ee9760 (__TEXT,__text) non-external _ccache_get_credentials_version
0000000191eea4ec (__TEXT,__text) non-external _ccache_get_kdc_time_offset
0000000191eea328 (__TEXT,__text) non-external _ccache_get_last_default_time
0000000191ee977c (__TEXT,__text) non-external _ccache_get_name
0000000191ee9828 (__TEXT,__text) non-external _ccache_get_principal
00000001ea346c30 (__AUTH,__data) non-external _ccache_iterator_functions
0000000191eea2b8 (__TEXT,__text) non-external _ccache_lock
0000000191eea1f0 (__TEXT,__text) non-external _ccache_move
0000000191eea0f8 (__TEXT,__text) non-external _ccache_new_credentials_iterator
0000000191ee8b4c (__TEXT,__text) non-external (was a private external) _ccache_release
0000000191ee9f1c (__TEXT,__text) non-external _ccache_remove_credentials
0000000191ee96c8 (__TEXT,__text) non-external _ccache_set_default
0000000191eea5d0 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
0000000191ee997c (__TEXT,__text) non-external _ccache_set_principal
0000000191ee9ac0 (__TEXT,__text) non-external _ccache_store_credentials
0000000191eea2f0 (__TEXT,__text) non-external _ccache_unlock
0000000191eea724 (__TEXT,__text) non-external _ccache_wait_for_change
0000000191eea72c (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00000001e440a398 (__DATA_CONST,__const) non-external _conf_no
00000001e440a360 (__DATA_CONST,__const) non-external _conf_yes
00000001e7d1f6d8 (__DATA,__bss) non-external _context_change_time
0000000191ee9548 (__TEXT,__text) non-external _context_compare
0000000191ee90a0 (__TEXT,__text) non-external _context_create_ccache
0000000191ee91e0 (__TEXT,__text) non-external _context_create_default_ccache
0000000191ee9344 (__TEXT,__text) non-external _context_create_new_ccache
0000000191ee8dc0 (__TEXT,__text) non-external _context_get_change_time
0000000191ee8e1c (__TEXT,__text) non-external _context_get_default_ccache_name
0000000191ee9538 (__TEXT,__text) non-external _context_lock
0000000191ee9490 (__TEXT,__text) non-external _context_new_ccache_iterator
0000000191ee8eb8 (__TEXT,__text) non-external _context_open_ccache
0000000191ee8fb8 (__TEXT,__text) non-external _context_open_default_ccache
0000000191ee8d70 (__TEXT,__text) non-external _context_release
0000000191ee9540 (__TEXT,__text) non-external _context_unlock
0000000191ee956c (__TEXT,__text) non-external _context_wait_for_change
0000000191ee8d18 (__TEXT,__text) non-external _create_ccache
0000000191ee868c (__TEXT,__text) non-external _cred_compare
0000000191ee8ae0 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00000001ea346b10 (__AUTH,__data) non-external (was a private external) _cred_iter_functions
0000000191ee869c (__TEXT,__text) non-external (was a private external) _cred_iter_next
0000000191ee8ae8 (__TEXT,__text) non-external _cred_iter_release
0000000191ee8640 (__TEXT,__text) non-external _cred_release
00000001ea346b00 (__AUTH,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
0000000191ef2b60 (__TEXT,__text) external _decomp_ticket
0000000191ef2d8c (__TEXT,__text) external _dest_all_tkts
0000000191ef2d6c (__TEXT,__text) external _dest_tkt
0000000191eeb1a8 (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00000001e7d1f6f8 (__DATA,__bss) non-external _do_log
0000000191ef09f4 (__TEXT,__text) non-external _dump_profile
0000000191ef0eb0 (__TEXT,__text) non-external _dump_profile_to_buffer_cb
0000000191ef0df8 (__TEXT,__text) non-external _dump_profile_to_file_cb
0000000191ee7cf0 (__TEXT,__text) external _encode_krb5_as_req
0000000191eef7ac (__TEXT,__text) non-external _end_list
0000000191eebb70 (__TEXT,__text) external _error_message
00000001e7d1f710 (__DATA,__bss) non-external _error_message.buffer
00000001e7d1f708 (__DATA,__bss) non-external _error_message.et_list
00000001e7d1f700 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
0000000191eedc20 (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00000001e7d1fb18 (__DATA,__bss) non-external _g_cc_change_time
00000001e7d1f548 (__DATA,__data) non-external _g_change_time_mutex
00000001e7d1fb10 (__DATA,__bss) non-external _g_kl_change_time
0000000191ef2bb8 (__TEXT,__text) external _get_ad_tkt
0000000191ef2c30 (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00000001e7d1f468 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00000001e7d1f480 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00000001e7d1f440 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00000001e7d1f428 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00000001e7d1f3f8 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00000001e7d1f410 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00000001e7d1f3e0 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
                 (indirect) external _gss_create_empty_oid_set (for _gss_create_empty_oid_set)
                 (undefined) external _gss_delete_sec_context (from GSS)
                 (indirect) external _gss_delete_sec_context (for _gss_delete_sec_context)
                 (undefined) external _gss_display_name (from GSS)
                 (indirect) external _gss_display_name (for _gss_display_name)
                 (undefined) external _gss_display_status (from GSS)
                 (indirect) external _gss_display_status (for _gss_display_status)
                 (undefined) external _gss_duplicate_name (from GSS)
