000000018bd33ef4 (__TEXT,__text) non-external _Annihilate
000000018bd4c744 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
000000018bd33c24 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
000000018bd48044 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
000000018bd62b64 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
000000018bd6fb38 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
000000018bd43114 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
000000018bd518a0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
000000018bd51cc4 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
000000018bd5147c (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
000000018bd94430 (__TEXT,__const) non-external _BrotliReverseBits.kLut
000000018bd39050 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
000000018bd42d80 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
000000018bd343c0 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
000000018bd34f68 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
000000018bd4d9d4 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
000000018bdc8578 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
000000018bdc8572 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
000000018bdc8560 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
000000018bd4e3cc (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
000000018bd506a0 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
000000018bd337c8 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018bd6c2d8 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018bd4fd08 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
000000018bd50a60 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
000000018bd4c7c4 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
000000018bd39000 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
000000018bd33e10 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
000000018bd43448 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
000000018bd4837c (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
000000018bd48070 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
000000018bd4f088 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
000000018bd33a68 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
000000018bd50008 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
000000018bd33870 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
000000018bd4ff64 (__TEXT,__text) non-external _BuildHistograms
000000018bd742d0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
000000018bd743d0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
000000018bd2dc94 (__TEXT,__text) non-external _ChooseDistanceParams
000000018bd33cd0 (__TEXT,__text) non-external _CollectGarbagePointers
000000018bd6eb00 (__TEXT,__text) non-external _ComputeDistanceCost
000000018bd498b8 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
000000018bd70268 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
000000018bd3b788 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
000000018bd54c88 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
000000018bd55ad4 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
000000018bd5d8dc (__TEXT,__text) non-external _CreateBackwardReferencesNH35
000000018bd56614 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
000000018bd598d8 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
000000018bd5a9ec (__TEXT,__text) non-external _CreateBackwardReferencesNH41
000000018bd5bb40 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
000000018bd575b4 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
000000018bd5cd2c (__TEXT,__text) non-external _CreateBackwardReferencesNH54
000000018bd5e794 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
000000018bd58714 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
000000018bd5f674 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
000000018bd741c0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
000000018bd3d9f8 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
000000018bd3b934 (__TEXT,__text) non-external _DecodeContextMap
000000018bd3e474 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
000000018bd3df30 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
000000018bd3a610 (__TEXT,__text) non-external _DecodeMetaBlockLength
000000018bd3abd0 (__TEXT,__text) non-external _DecodeVarLenUint8
000000018bd3372c (__TEXT,__text) non-external _EmitUncompressedMetaBlock
000000018bd4f52c (__TEXT,__text) non-external _EncodeContextMap
000000018bd2acf4 (__TEXT,__text) non-external _EncodeData
000000018bd4970c (__TEXT,__text) non-external _EvaluateNode
000000018bd944b0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018bdd1958 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018bd2dfd4 (__TEXT,__text) non-external _GetBrotliStorage
000000018bd2e048 (__TEXT,__text) non-external _GetHashTable
000000018bd740c0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
000000018bdea479 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
000000018bd74040 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
000000018bd48e1c (__TEXT,__text) non-external _InitZopfliCostModel
000000018bd2abbc (__TEXT,__text) non-external _InjectFlushOrPushOutput
000000018bd3d60c (__TEXT,__text) non-external _InverseMoveToFrontTransform
000000018bd44ad4 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
000000018bd44a84 (__TEXT,__text) non-external _LZFSEIBootBufferPush
000000018bd44994 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
000000018bd2df58 (__TEXT,__text) non-external _PrepareH54
000000018bd2dee4 (__TEXT,__text) non-external _PrepareH6
000000018bd3be48 (__TEXT,__text) non-external _ProcessCommands
000000018bd3ada0 (__TEXT,__text) non-external _ReadHuffmanCode
000000018bd3d6cc (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
000000018bd3e134 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
000000018bd3dbbc (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
000000018bd3d548 (__TEXT,__text) non-external _SafeDecodeSymbol
000000018bd3c85c (__TEXT,__text) non-external _SafeProcessCommands
000000018bd3a4b0 (__TEXT,__text) non-external _SaveErrorCode
000000018bd4aae4 (__TEXT,__text) non-external _SetCost
000000018bd4ca68 (__TEXT,__text) non-external _Shift
000000018bd2dcec (__TEXT,__text) non-external _ShouldCompress
000000018bd741d0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
000000018bd33e6c (__TEXT,__text) non-external _SortPointers
000000018bd74748 (__TEXT,__const) non-external _SortPointers.gaps
000000018bdc9288 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
000000018bdc9088 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
000000018bd4ef50 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
000000018bd50410 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
000000018bd4f9c8 (__TEXT,__text) non-external _StoreSymbol
000000018bd4fb64 (__TEXT,__text) non-external _StoreSymbolWithContext
000000018bd4f318 (__TEXT,__text) non-external _StoreTrivialContextMap
000000018bd50bf0 (__TEXT,__text) non-external _StoreVarLenUint8
000000018bd48fb4 (__TEXT,__text) non-external _UpdateNodes
000000018bd3d378 (__TEXT,__text) non-external _WrapRingBuffer
000000018bd3a4c4 (__TEXT,__text) non-external _WriteRingBuffer
000000018bd48e98 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001d4b434f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018bd40788 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
000000018bdd0348 (__TEXT,__const) non-external (was a private external) __dist_code
000000018bdc8878 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
000000018bd744e0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
000000018bdd0548 (__TEXT,__const) non-external (was a private external) __length_code
000000018bd6e024 (__TEXT,__text) non-external (was a private external) __tr_align
000000018bd21a98 (__TEXT,__text) non-external (was a private external) __tr_flush_block
000000018bd1fdf0 (__TEXT,__text) non-external (was a private external) __tr_init
000000018bd6dedc (__TEXT,__text) non-external (was a private external) __tr_stored_block
000000018bd6e298 (__TEXT,__text) non-external (was a private external) __tr_tally
000000018bd1fcb4 (__TEXT,__text) non-external (was a private external) _adler32
000000018bd73990 (__TEXT,__text) non-external (was a private external) _adler32_vec
000000018bdd0d00 (__TEXT,__const) non-external _base_dist
000000018bdd0c8c (__TEXT,__const) non-external _base_length
000000018bd6e208 (__TEXT,__text) non-external _bi_flush
000000018bd22f54 (__TEXT,__text) non-external _bi_windup
000000018bdd0c78 (__TEXT,__const) non-external _bl_order
000000018bdc8618 (__TEXT,__const) non-external _breverse.brev8
000000018bd6c68c (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
000000018bd6c6d4 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
000000018bd6c8c4 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
000000018bd6c7e4 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
000000018bd6c720 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
000000018bd21ff0 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000018bd22b94 (__TEXT,__text) non-external _compress_block
000000018bd247f8 (__TEXT,__text) external _compression_decode_buffer
000000018bd24730 (__TEXT,__text) external _compression_decode_scratch_buffer_size
000000018bd62df4 (__TEXT,__text) external _compression_encode_buffer
000000018bd62cd0 (__TEXT,__text) external _compression_encode_scratch_buffer_size
000000018bd2314c (__TEXT,__text) external _compression_stream_destroy
000000018bd41bc4 (__TEXT,__text) external _compression_stream_get_decode_state_size
000000018bd41b74 (__TEXT,__text) external _compression_stream_get_encode_state_size
000000018bd41b24 (__TEXT,__text) external _compression_stream_get_state_size
000000018bd41a90 (__TEXT,__text) external _compression_stream_identify_algorithm
000000018bd1f700 (__TEXT,__text) external _compression_stream_init
000000018bd41a58 (__TEXT,__text) external _compression_stream_init_with_state_buffer
000000018bd41c14 (__TEXT,__text) external _compression_stream_is_state_valid
000000018bd1fe40 (__TEXT,__text) external _compression_stream_process
000000018bd250c0 (__TEXT,__text) external _compression_stream_reinit
00000001ddaec228 (__AUTH_CONST,__const) non-external _configuration_table
000000018bd5307c (__TEXT,__text) external _cosmix_codec_decode
000000018bd52788 (__TEXT,__text) external _cosmix_codec_encode
000000018bd52f94 (__TEXT,__text) external _cosmix_codec_get_decoded_size
000000018bd53b44 (__TEXT,__text) external _cosmix_codec_get_id
000000018bd53998 (__TEXT,__text) external _cosmix_codec_map
000000018bd53ae4 (__TEXT,__text) external _cosmix_codec_unmap
000000018bd53588 (__TEXT,__text) external _cosmix_model_create
000000018bd536e4 (__TEXT,__text) external _cosmix_model_destroy
000000018bd5372c (__TEXT,__text) external _cosmix_model_save_codec
000000018bd520e8 (__TEXT,__text) external _cosmix_model_update
000000018bd6c38c (__TEXT,__text) non-external (was a private external) _crc32
000000018bdc92e8 (__TEXT,__const) non-external _crc_table
000000018bd38f20 (__TEXT,__text) non-external (was a private external) _create_thread
000000018bd202dc (__TEXT,__text) non-external (was a private external) _deflate
000000018bd731ec (__TEXT,__text) non-external (was a private external) _deflateBound
000000018bd732e8 (__TEXT,__text) non-external (was a private external) _deflateCopy
000000018bd2305c (__TEXT,__text) non-external (was a private external) _deflateEnd
000000018bd1f8c4 (__TEXT,__text) non-external (was a private external) _deflateInit2_
000000018bd72f48 (__TEXT,__text) non-external (was a private external) _deflateInit_
000000018bd730e8 (__TEXT,__text) non-external (was a private external) _deflateParams
000000018bd730b8 (__TEXT,__text) non-external (was a private external) _deflatePrime
000000018bd1fb84 (__TEXT,__text) non-external (was a private external) _deflateReset
000000018bd72f64 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
000000018bd7308c (__TEXT,__text) non-external (was a private external) _deflateSetHeader
000000018bd731c8 (__TEXT,__text) non-external (was a private external) _deflateTune
000000018bdd1ba8 (__TEXT,__const) non-external (was a private external) _deflate_copyright
000000018bd7364c (__TEXT,__text) non-external _deflate_fast
000000018bd211f4 (__TEXT,__text) non-external _deflate_slow
000000018bd734a4 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
000000018bd4d3a4 (__TEXT,__text) non-external _emitMatch
000000018bdd0c2c (__TEXT,__const) non-external _extra_blbits
000000018bdd0bb4 (__TEXT,__const) non-external _extra_dbits
000000018bdd0b40 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
000000018bd21648 (__TEXT,__text) non-external _fill_window
000000018bd22fc8 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018bdd1854 (__TEXT,__const) non-external _getDSymbolFromValue.sym
000000018bd53d34 (__TEXT,__text) non-external _getDecoderTable
000000018bdd0de0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
000000018bdd0f1c (__TEXT,__const) non-external _getMSymbolFromValue.sym
000000018bd6c380 (__TEXT,__text) non-external (was a private external) _get_crc_table
000000018bd47ff4 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
000000018bd3f740 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
000000018bd3f758 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
000000018bd3f76c (__TEXT,__text) non-external (was a private external) _get_pool_size
000000018bd47fa8 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
000000018bd44d60 (__TEXT,__text) non-external _header_fetch_from_payload
000000018bd6dda4 (__TEXT,__text) non-external _init_block
000000018bd6dcec (__TEXT,__text) non-external _init_quantization_lut
000000018bd38fc8 (__TEXT,__text) non-external (was a private external) _join_thread
000000018bd92750 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
000000018bd73f10 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
000000018bd73f70 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001d4b43328 (__DATA_CONST,__const) non-external _kBrotliDictionary
000000018bd74768 (__TEXT,__const) non-external _kBrotliDictionaryData
000000018bd73e50 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
000000018bd73eb0 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
000000018bdd1bf0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
000000018bd94400 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001d4b43510 (__DATA_CONST,__const) non-external _kBrotliTransforms
000000018bd74548 (__TEXT,__const) non-external _kCmdHistoSeed
000000018bd92852 (__TEXT,__const) non-external _kCmdLut
000000018bdc5b14 (__TEXT,__const) non-external _kCodeLengthBits
000000018bd92820 (__TEXT,__const) non-external _kCodeLengthCodeOrder
000000018bdc5b00 (__TEXT,__const) non-external _kCodeLengthDepth
000000018bd92832 (__TEXT,__const) non-external _kCodeLengthPrefixLength
000000018bd92842 (__TEXT,__const) non-external _kCodeLengthPrefixValue
000000018bd942b8 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
000000018bd94278 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000018bd946e4 (__TEXT,__const) non-external _kDistanceCacheIndex
000000018bd94724 (__TEXT,__const) non-external _kDistanceCacheOffset
000000018bd941c4 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
000000018bd941b0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
000000018bd94228 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
000000018bd94214 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
000000018bdc6660 (__TEXT,__const) non-external _kNonZeroRepsBits
000000018bdc5b5c (__TEXT,__const) non-external _kNonZeroRepsDepth
000000018bdc3740 (__TEXT,__const) non-external _kPrefixSuffix
000000018bdc381a (__TEXT,__const) non-external _kPrefixSuffixMap
000000018bdc7f20 (__TEXT,__const) non-external _kStaticCommandCodeBits
000000018bdc7c60 (__TEXT,__const) non-external _kStaticCommandCodeDepth
000000018bd947dc (__TEXT,__const) non-external _kStaticDictionaryBuckets
000000018bde23fe (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
000000018bdd23fe (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
000000018bda47dc (__TEXT,__const) non-external _kStaticDictionaryWords
000000018bdc84e0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
000000018bdc84a0 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
000000018bdc387e (__TEXT,__const) non-external _kTransformsData
000000018bdc4500 (__TEXT,__const) non-external _kZeroRepsBits
000000018bdc3a00 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
000000018bd21898 (__TEXT,__text) non-external _longest_match
00000001d95e7004 (__DATA,__common) non-external (was a private external) _lut_ok
00000001d95e8400 (__DATA,__common) non-external (was a private external) _lut_quantize
000000018bdcd2f4 (__TEXT,__const) non-external (was a private external) _lut_rle
000000018bd4295c (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
000000018bd421f4 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
000000018bd421e8 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
000000018bd26ed0 (__TEXT,__text) non-external (was a private external) _lz4_decode
000000018bd26ac0 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
000000018bd268f4 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
000000018bd33fd0 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
000000018bd27d10 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
000000018bd513f4 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
000000018bd51470 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
000000018bd51464 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
000000018bd51458 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
000000018bd51424 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
000000018bd50c8c (__TEXT,__text) non-external (was a private external) _lz4_stream_init
000000018bd50d54 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
000000018bd42ce0 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
000000018bd42be4 (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
