                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00000001895bfaa4 (__TEXT,__text) non-external _au_assemble
00000001895c8a20 (__TEXT,__text) external _au_to_return32
00000001895c8ab0 (__TEXT,__text) external _au_to_return64
00000001895c8b64 (__TEXT,__text) external _au_to_seq
00000001895c8f10 (__TEXT,__text) external _au_to_sock_inet
00000001895c8e8c (__TEXT,__text) external _au_to_sock_inet128
00000001895c8e0c (__TEXT,__text) external _au_to_sock_inet32
00000001895c8d5c (__TEXT,__text) external _au_to_sock_unix
00000001895c8be4 (__TEXT,__text) external _au_to_socket_ex
00000001895c973c (__TEXT,__text) non-external _au_to_strings
00000001895c9248 (__TEXT,__text) external _au_to_subject
00000001895c8f14 (__TEXT,__text) external _au_to_subject32
00000001895c924c (__TEXT,__text) external _au_to_subject32_ex
00000001895c9094 (__TEXT,__text) external _au_to_subject64
00000001895c9454 (__TEXT,__text) external _au_to_subject64_ex
00000001895c9694 (__TEXT,__text) external _au_to_subject_ex
00000001895c8140 (__TEXT,__text) external _au_to_text
00000001895c9fe4 (__TEXT,__text) external _au_to_trailer
00000001895c986c (__TEXT,__text) external _au_to_zonename
00000001895ca3ec (__TEXT,__text) external _au_user_mask
00000001895bf92c (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001df76d5e0 (__DATA,__bss) non-external _audit_free_q
00000001895cbb0c (__TEXT,__text) external _audit_get_car
00000001895cb7b8 (__TEXT,__text) external _audit_get_class
00000001895ca8b0 (__TEXT,__text) external _audit_get_cond
00000001895cbb1c (__TEXT,__text) external _audit_get_ctlmode
00000001895cbafc (__TEXT,__text) external _audit_get_cwd
00000001895cbb68 (__TEXT,__text) external _audit_get_expire_after
00000001895cb8e8 (__TEXT,__text) external _audit_get_fsize
00000001895cb720 (__TEXT,__text) external _audit_get_kaudit
00000001895cb850 (__TEXT,__text) external _audit_get_kmask
00000001895cb9cc (__TEXT,__text) external _audit_get_pinfo
00000001895cba18 (__TEXT,__text) external _audit_get_pinfo_addr
00000001895cb300 (__TEXT,__text) external _audit_get_policy
00000001895cb5a0 (__TEXT,__text) external _audit_get_qctrl
00000001895cb3f0 (__TEXT,__text) external _audit_get_sflags
00000001895cb430 (__TEXT,__text) external _audit_get_sflags_mask
00000001895bf764 (__TEXT,__text) external _audit_get_sinfo_addr
00000001895cba64 (__TEXT,__text) external _audit_get_stat
00000001df76d5d8 (__DATA,__bss) non-external _audit_rec_count
00000001895cb710 (__TEXT,__text) external _audit_send_trigger
00000001895cb804 (__TEXT,__text) external _audit_set_class
00000001895cb288 (__TEXT,__text) external _audit_set_cond
00000001895cb934 (__TEXT,__text) external _audit_set_fsize
00000001895cb76c (__TEXT,__text) external _audit_set_kaudit
00000001895cb89c (__TEXT,__text) external _audit_set_kmask
00000001895cb980 (__TEXT,__text) external _audit_set_pmask
00000001895cb378 (__TEXT,__text) external _audit_set_policy
00000001895cb658 (__TEXT,__text) external _audit_set_qctrl
00000001895cb400 (__TEXT,__text) external _audit_set_sflags
00000001895cb4ec (__TEXT,__text) external _audit_set_sflags_mask
00000001895cbab0 (__TEXT,__text) external _audit_set_stat
00000001895caa44 (__TEXT,__text) non-external _audit_set_terminal_host
00000001895ca928 (__TEXT,__text) external _audit_set_terminal_id
00000001895caadc (__TEXT,__text) external _audit_set_terminal_id_ex
00000001895ca97c (__TEXT,__text) non-external _audit_set_terminal_port
00000001895ca588 (__TEXT,__text) external _audit_submit
00000001895bdbac (__TEXT,__text) external _audit_token_to_asid
00000001895bdbec (__TEXT,__text) external _audit_token_to_au32
00000001895bdbcc (__TEXT,__text) external _audit_token_to_auid
00000001895bdbd4 (__TEXT,__text) external _audit_token_to_egid
00000001895bdbbc (__TEXT,__text) external _audit_token_to_euid
00000001895bdbb4 (__TEXT,__text) external _audit_token_to_pid
00000001895bdbe4 (__TEXT,__text) external _audit_token_to_pidversion
00000001895bdbdc (__TEXT,__text) external _audit_token_to_rgid
00000001895bdbc4 (__TEXT,__text) external _audit_token_to_ruid
00000001895cab30 (__TEXT,__text) external _audit_write
00000001895caf04 (__TEXT,__text) external _audit_write_failure
00000001895cb010 (__TEXT,__text) external _audit_write_failure_ex
00000001895cb200 (__TEXT,__text) external _audit_write_failure_na
00000001895cb244 (__TEXT,__text) external _audit_write_failure_na_ex
00000001895cb11c (__TEXT,__text) external _audit_write_failure_self
00000001895cad10 (__TEXT,__text) external _audit_write_success
00000001895cadc4 (__TEXT,__text) external _audit_write_success_ex
00000001895cae78 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00000001895cc148 (__TEXT,__const) non-external _bsm_domains
00000001e5edd1f8 (__DATA_CONST,__const) non-external _bsm_errnos
00000001895cc3b8 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00000001895cc370 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
00000001895c77d4 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00000001895c6bf0 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00000001895c07e4 (__TEXT,__text) external _endac
00000001895c0354 (__TEXT,__text) external _endauclass
00000001895c13a4 (__TEXT,__text) external _endauevent
00000001895ca0c4 (__TEXT,__text) external _endauuser
00000001df76dcc0 (__DATA,__bss) non-external _ev_cache
00000001895c1808 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001df76dcb8 (__DATA,__bss) non-external _firsttime
00000001895c75d8 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001df76d7c8 (__DATA,__bss) non-external _fp
00000001df76d8d0 (__DATA,__bss) non-external _fp
00000001df76d9e0 (__DATA,__bss) non-external _fp
00000001df76dcd0 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00000001895c0838 (__TEXT,__text) external _getacdir
00000001895c0fe0 (__TEXT,__text) external _getacexpire
00000001895c0ac8 (__TEXT,__text) external _getacfilesz
00000001895c0c84 (__TEXT,__text) external _getacflg
00000001895c0f34 (__TEXT,__text) external _getachost
00000001895c0a48 (__TEXT,__text) external _getacmin
00000001895c0d30 (__TEXT,__text) external _getacna
00000001895c0ddc (__TEXT,__text) external _getacpol
00000001895c0e88 (__TEXT,__text) external _getacsflagsmask
00000001895c0104 (__TEXT,__text) external _getauclassent
00000001df76d6d8 (__DATA,__bss) non-external _getauclassent.c
00000001df76d690 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001df76d688 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001df76d6f0 (__DATA,__bss) non-external _getauclassent.cp
00000001895bff4c (__TEXT,__text) external _getauclassent_r
00000001895bff94 (__TEXT,__text) non-external _getauclassent_r_locked
00000001895c025c (__TEXT,__text) external _getauclassnam
00000001df76d748 (__DATA,__bss) non-external _getauclassnam.c
00000001df76d700 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001df76d6f8 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00000001895c01d0 (__TEXT,__text) external _getauclassnam_r
00000001895c0318 (__TEXT,__text) external _getauclassnum
00000001df76d7b0 (__DATA,__bss) non-external _getauclassnum.c
00000001df76d768 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001df76d760 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00000001895c0298 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00000001895c1938 (__TEXT,__text) external _getauditflagsbin
00000001895c1aa8 (__TEXT,__text) external _getauditflagschar
00000001895c14d4 (__TEXT,__text) external _getauevent
00000001df76da38 (__DATA,__bss) non-external _getauevent.e
00000001df76da06 (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001df76d9e8 (__DATA,__bss) non-external _getauevent.event_ent_name
00000001895c13f8 (__TEXT,__text) external _getauevent_r
00000001895c1604 (__TEXT,__text) external _getauevnam
00000001df76daa8 (__DATA,__bss) non-external _getauevnam.e
00000001df76da76 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001df76da58 (__DATA,__bss) non-external _getauevnam.event_ent_name
00000001895c1514 (__TEXT,__text) external _getauevnam_r
00000001895c17f8 (__TEXT,__text) external _getauevnonam
00000001df76dbb0 (__DATA,__bss) non-external _getauevnonam.event
00000001895c1774 (__TEXT,__text) external _getauevnonam_r
00000001df76db88 (__DATA,__bss) non-external _getauevnonam_r.e
00000001df76dba8 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001df76db56 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001df76db38 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00000001895c1730 (__TEXT,__text) external _getauevnum
00000001df76db18 (__DATA,__bss) non-external _getauevnum.e
00000001df76dae6 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001df76dac8 (__DATA,__bss) non-external _getauevnum.event_ent_name
00000001895c1648 (__TEXT,__text) external _getauevnum_r
00000001895ca2c8 (__TEXT,__text) external _getauuserent
00000001df76dd10 (__DATA,__bss) non-external _getauuserent.u
00000001df76dcd8 (__DATA,__bss) non-external _getauuserent.user_ent_name
00000001895ca118 (__TEXT,__text) external _getauuserent_r
00000001895ca160 (__TEXT,__text) non-external _getauuserent_r_locked
00000001895ca3bc (__TEXT,__text) external _getauusernam
00000001df76dd60 (__DATA,__bss) non-external _getauusernam.u
00000001df76dd28 (__DATA,__bss) non-external _getauusernam.user_ent_name
00000001895ca334 (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00000001895ca4b0 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00000001895c08e0 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001df76d7d0 (__DATA,__bss) non-external _linestr
00000001df76d8e0 (__DATA,__bss) non-external _linestr
00000001df76dbb2 (__DATA,__bss) non-external _linestr
00000001df76dd78 (__DATA,__bss) non-external _linestr
00000001895c7520 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001df76d458 (__DATA,__data) non-external _mutex
00000001df76d498 (__DATA,__data) non-external _mutex
00000001df76d4d8 (__DATA,__data) non-external _mutex
00000001df76d518 (__DATA,__data) non-external _mutex
00000001df76d558 (__DATA,__data) non-external _mutex
00000001df76d598 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001df76d5e8 (__DATA,__bss) non-external _open_desc_table
00000001895c6a48 (__TEXT,__text) non-external _print_event
00000001895c71b4 (__TEXT,__text) non-external _print_group
00000001895c6e94 (__TEXT,__text) non-external _print_ip_ex_address
00000001895c72c4 (__TEXT,__text) non-external _print_ipctype
00000001895c7234 (__TEXT,__text) non-external _print_mem
00000001895c6bb0 (__TEXT,__text) non-external _print_msec32
00000001895c6fe0 (__TEXT,__text) non-external _print_msec64
00000001895c7360 (__TEXT,__text) non-external _print_retval
00000001895c6b1c (__TEXT,__text) non-external _print_sec32
00000001895c6f50 (__TEXT,__text) non-external _print_sec64
00000001895c7020 (__TEXT,__text) non-external _print_string
00000001895c667c (__TEXT,__text) non-external _print_tok_type
00000001895c7134 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00000001895c0728 (__TEXT,__text) external _setac
00000001895c076c (__TEXT,__text) non-external _setac_locked
00000001df76d8d8 (__DATA,__bss) non-external _setac_locked.lastctime
00000001895c0180 (__TEXT,__text) external _setauclass
00000001895c1354 (__TEXT,__text) external _setauevent
00000001895ca074 (__TEXT,__text) external _setauuser
00000001895c11bc (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001df76dcc8 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
