                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000019157ba60 (__TEXT,__text) non-external _alone_decode
0000000191574990 (__TEXT,__text) external _lzma_block_unpadded_size
00000001915747b4 (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
000000019157e888 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00000001915731d0 (__TEXT,__text) non-external (was a private external) _lzma_check_init
00000001915731b0 (__TEXT,__text) external _lzma_check_is_supported
0000000191589e00 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
0000000191578694 (__TEXT,__text) external _lzma_check_size
0000000191589e10 (__TEXT,__const) non-external _lzma_check_size.check_sizes
0000000191575c88 (__TEXT,__text) non-external (was a private external) _lzma_check_update
0000000191574278 (__TEXT,__text) external _lzma_code
000000019157b418 (__TEXT,__text) external _lzma_cputhreads
0000000191572b7c (__TEXT,__text) external _lzma_crc32
0000000191589e20 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
000000019157e8c0 (__TEXT,__text) external _lzma_crc64
000000019158be20 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
000000019158273c (__TEXT,__text) non-external _lzma_decode
000000019158ffa0 (__TEXT,__const) non-external _lzma_decode.next_state
0000000191585420 (__TEXT,__text) non-external _lzma_decoder_init
0000000191585178 (__TEXT,__text) non-external _lzma_decoder_reset
00000001915853fc (__TEXT,__text) non-external _lzma_decoder_uncompressed
0000000191587540 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
000000019158768c (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
000000019158785c (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00000001915876b8 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
000000019158790c (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
0000000191587814 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
000000019157acc8 (__TEXT,__text) external _lzma_easy_buffer_encode
000000019157c9ac (__TEXT,__text) external _lzma_easy_decoder_memusage
00000001915725f0 (__TEXT,__text) external _lzma_easy_encoder
000000019157ad78 (__TEXT,__text) external _lzma_easy_encoder_memusage
000000019157265c (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
0000000191589a74 (__TEXT,__text) non-external _lzma_encode
0000000191581318 (__TEXT,__text) non-external _lzma_encoder_init
00000001915790c4 (__TEXT,__text) external _lzma_end
000000019158dfa0 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
0000000191581cec (__TEXT,__text) external _lzma_file_info_decoder
0000000191581d74 (__TEXT,__text) non-external _lzma_file_info_decoder_init
000000019157cb88 (__TEXT,__text) external _lzma_filter_decoder_is_supported
000000019157b1a4 (__TEXT,__text) external _lzma_filter_encoder_is_supported
000000019157ccec (__TEXT,__text) external _lzma_filter_flags_decode
0000000191574a28 (__TEXT,__text) external _lzma_filter_flags_encode
0000000191572f50 (__TEXT,__text) external _lzma_filter_flags_size
00000001915740cc (__TEXT,__text) external _lzma_filters_copy
0000000191579824 (__TEXT,__text) external _lzma_filters_free
000000019157b1d8 (__TEXT,__text) external _lzma_filters_update
0000000191589dc6 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00000001915740a8 (__TEXT,__text) non-external (was a private external) _lzma_free
0000000191579658 (__TEXT,__text) external _lzma_get_check
0000000191579630 (__TEXT,__text) external _lzma_get_progress
0000000191589dc0 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00000001915786b4 (__TEXT,__text) external _lzma_index_append
0000000191578bf4 (__TEXT,__text) external _lzma_index_block_count
000000019157d2d4 (__TEXT,__text) external _lzma_index_buffer_decode
000000019157b488 (__TEXT,__text) external _lzma_index_buffer_encode
0000000191579c78 (__TEXT,__text) external _lzma_index_cat
0000000191579b7c (__TEXT,__text) external _lzma_index_checks
000000019157d260 (__TEXT,__text) external _lzma_index_decoder
000000019157cdac (__TEXT,__text) non-external (was a private external) _lzma_index_decoder_init
0000000191579ed8 (__TEXT,__text) external _lzma_index_dup
000000019157b41c (__TEXT,__text) external _lzma_index_encoder
00000001915788d0 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
0000000191572940 (__TEXT,__text) external _lzma_index_end
0000000191579af4 (__TEXT,__text) external _lzma_index_file_size
000000019157d4b4 (__TEXT,__text) external _lzma_index_hash_append
000000019157d628 (__TEXT,__text) external _lzma_index_hash_decode
000000019157d478 (__TEXT,__text) external _lzma_index_hash_end
000000019157d408 (__TEXT,__text) external _lzma_index_hash_init
000000019157d47c (__TEXT,__text) external _lzma_index_hash_size
00000001915729a4 (__TEXT,__text) external _lzma_index_init
00000001915789a8 (__TEXT,__text) external _lzma_index_iter_init
000000019157a114 (__TEXT,__text) external _lzma_index_iter_locate
0000000191578bfc (__TEXT,__text) external _lzma_index_iter_next
000000019157a104 (__TEXT,__text) external _lzma_index_iter_rewind
00000001915799f8 (__TEXT,__text) external _lzma_index_memusage
0000000191579a50 (__TEXT,__text) external _lzma_index_memused
0000000191578f9c (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00000001915799e0 (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
0000000191578fd8 (__TEXT,__text) external _lzma_index_size
0000000191579aa0 (__TEXT,__text) external _lzma_index_stream_count
0000000191579ba8 (__TEXT,__text) external _lzma_index_stream_flags
0000000191579c08 (__TEXT,__text) external _lzma_index_stream_padding
0000000191579ab0 (__TEXT,__text) external _lzma_index_stream_size
0000000191579aa8 (__TEXT,__text) external _lzma_index_total_size
0000000191579b74 (__TEXT,__text) external _lzma_index_uncompressed_size
0000000191580e18 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00000001915811cc (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
0000000191573444 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
000000019157f028 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
000000019157efb4 (__TEXT,__text) external _lzma_lzip_decoder
000000019157e9a8 (__TEXT,__text) non-external (was a private external) _lzma_lzip_decoder_init
00000001915856ec (__TEXT,__text) non-external (was a private external) _lzma_lzma2_block_size
00000001915858c4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00000001915859ac (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
0000000191573430 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00000001915856c4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00000001915859c8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
0000000191574bf4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00000001915826a4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
000000019158540c (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
0000000191585588 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
0000000191585564 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00000001915753f4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
0000000191573780 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
0000000191581304 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
000000019158133c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
0000000191573920 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
0000000191585500 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
0000000191578644 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
0000000191581958 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00000001915761ec (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00000001915726a4 (__TEXT,__text) external _lzma_lzma_preset
000000019158df8a (__TEXT,__const) non-external _lzma_lzma_preset.depths
000000019158df80 (__TEXT,__const) non-external _lzma_lzma_preset.dict_pow2
00000001915855e4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00000001915813d4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
0000000191581444 (__TEXT,__text) non-external _lzma_lzma_set_out_limit
00000001915796d4 (__TEXT,__text) external _lzma_memlimit_get
0000000191579734 (__TEXT,__text) external _lzma_memlimit_set
0000000191579674 (__TEXT,__text) external _lzma_memusage
000000019157f7bc (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
000000019157f880 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
000000019157f928 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
000000019157fadc (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
0000000191577e20 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
0000000191575d64 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
0000000191577d28 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
000000019157f154 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
000000019157f3e0 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
000000019157f4a0 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
000000019157f6dc (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
000000019157f124 (__TEXT,__text) external _lzma_mf_is_supported
000000019157dad8 (__TEXT,__text) external _lzma_microlzma_decoder
000000019157add0 (__TEXT,__text) external _lzma_microlzma_encoder
0000000191581434 (__TEXT,__text) external _lzma_mode_is_supported
000000019157b368 (__TEXT,__text) non-external (was a private external) _lzma_mt_block_size
0000000191572898 (__TEXT,__text) non-external (was a private external) _lzma_next_end
00000001915733a4 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00000001915795f4 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
000000019158148c (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache
00000001915814ec (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache2
0000000191581910 (__TEXT,__text) non-external (was a private external) _lzma_outq_enable_partial_output
00000001915816c4 (__TEXT,__text) non-external (was a private external) _lzma_outq_end
00000001915817c4 (__TEXT,__text) non-external (was a private external) _lzma_outq_get_buf
00000001915815a8 (__TEXT,__text) non-external (was a private external) _lzma_outq_init
0000000191581828 (__TEXT,__text) non-external (was a private external) _lzma_outq_is_readable
000000019158146c (__TEXT,__text) non-external (was a private external) _lzma_outq_memusage
000000019158171c (__TEXT,__text) non-external (was a private external) _lzma_outq_prealloc_buf
0000000191581854 (__TEXT,__text) non-external (was a private external) _lzma_outq_read
00000001915799dc (__TEXT,__text) external _lzma_physmem
000000019157cc9c (__TEXT,__text) external _lzma_properties_decode
0000000191574bac (__TEXT,__text) external _lzma_properties_encode
0000000191572fc8 (__TEXT,__text) external _lzma_properties_size
000000019157ca04 (__TEXT,__text) external _lzma_raw_buffer_decode
000000019157b098 (__TEXT,__text) external _lzma_raw_buffer_encode
0000000191573218 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
000000019157994c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
000000019157cc04 (__TEXT,__text) external _lzma_raw_decoder
000000019157cbec (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
000000019157cc84 (__TEXT,__text) external _lzma_raw_decoder_memusage
000000019157b2e4 (__TEXT,__text) external _lzma_raw_encoder
0000000191573200 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
000000019157b2cc (__TEXT,__text) external _lzma_raw_encoder_memusage
000000019158fff0 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00000001915857cc (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_decoder_init
00000001915857a8 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_encoder_init
0000000191588428 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
0000000191588404 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
0000000191588514 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00000001915884f0 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
0000000191587970 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
0000000191588254 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
0000000191588230 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
0000000191588158 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
0000000191588134 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
0000000191587eb4 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
0000000191587e9c (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
0000000191587e74 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
000000019158997c (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
0000000191589958 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
0000000191587fa8 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
0000000191587f44 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00000001915800b4 (__TEXT,__text) external _lzma_str_from_filters
00000001915804e0 (__TEXT,__text) external _lzma_str_list_filters
000000019157fc34 (__TEXT,__text) external _lzma_str_to_filters
000000019157b580 (__TEXT,__text) external _lzma_stream_buffer_bound
000000019157d950 (__TEXT,__text) external _lzma_stream_buffer_decode
000000019157b5b0 (__TEXT,__text) external _lzma_stream_buffer_encode
000000019157e56c (__TEXT,__text) external _lzma_stream_decoder
000000019157dee0 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
0000000191585dc0 (__TEXT,__text) external _lzma_stream_decoder_mt
0000000191572798 (__TEXT,__text) external _lzma_stream_encoder
00000001915885f4 (__TEXT,__text) external _lzma_stream_encoder_mt
0000000191588948 (__TEXT,__text) external _lzma_stream_encoder_mt_memusage
000000019157a200 (__TEXT,__text) external _lzma_stream_flags_compare
000000019157e690 (__TEXT,__text) external _lzma_stream_footer_decode
0000000191579010 (__TEXT,__text) external _lzma_stream_footer_encode
000000019157e5e0 (__TEXT,__text) external _lzma_stream_header_decode
0000000191572af4 (__TEXT,__text) external _lzma_stream_header_encode
000000019157280c (__TEXT,__text) non-external (was a private external) _lzma_strm_init
0000000191579894 (__TEXT,__text) non-external (was a private external) _lzma_validate_chain
000000019157955c (__TEXT,__text) external _lzma_version_number
0000000191579568 (__TEXT,__text) external _lzma_version_string
000000019157e73c (__TEXT,__text) external _lzma_vli_decode
0000000191574af8 (__TEXT,__text) external _lzma_vli_encode
0000000191573028 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
0000000191578284 (__TEXT,__text) non-external _match
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
000000019157dc60 (__TEXT,__text) non-external _microlzma_decode
000000019157dea0 (__TEXT,__text) non-external _microlzma_decoder_end
000000019157db68 (__TEXT,__text) non-external _microlzma_decoder_init
000000019157af74 (__TEXT,__text) non-external _microlzma_encode
000000019157b058 (__TEXT,__text) non-external _microlzma_encoder_end
000000019157ae38 (__TEXT,__text) non-external _microlzma_encoder_init
0000000191581644 (__TEXT,__text) non-external _move_head_to_cache
0000000191575f68 (__TEXT,__text) non-external _move_pos
000000019157fbbc (__TEXT,__text) non-external _normalize
0000000191580a54 (__TEXT,__text) non-external _parse_bcj
0000000191580a64 (__TEXT,__text) non-external _parse_delta
00000001915809e0 (__TEXT,__text) non-external _parse_lzma12
0000000191580a80 (__TEXT,__text) non-external _parse_options
000000019158817c (__TEXT,__text) non-external _powerpc_code
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_sigmask (from libSystem)
0000000191575f9c (__TEXT,__text) non-external _rc_encode
0000000191586ed4 (__TEXT,__text) non-external _read_output_and_wait
0000000191582624 (__TEXT,__text) non-external _reverse_seek
0000000191587acc (__TEXT,__text) non-external _simple_code
0000000191587d60 (__TEXT,__text) non-external _simple_coder_end
0000000191587dac (__TEXT,__text) non-external _simple_coder_update
00000001915899a0 (__TEXT,__text) non-external _sparc_code
000000019158047c (__TEXT,__text) non-external _str_append_str
00000001915808cc (__TEXT,__text) non-external _str_append_u32
000000019158df08 (__TEXT,__const) non-external _str_append_u32.suffixes
000000019157e054 (__TEXT,__text) non-external _stream_decode
00000001915860a4 (__TEXT,__text) non-external _stream_decode_mt
000000019157e4d4 (__TEXT,__text) non-external _stream_decoder_end
000000019157e524 (__TEXT,__text) non-external _stream_decoder_get_check
000000019157e52c (__TEXT,__text) non-external _stream_decoder_memconfig
0000000191586ba0 (__TEXT,__text) non-external _stream_decoder_mt_end
0000000191586c10 (__TEXT,__text) non-external _stream_decoder_mt_get_check
0000000191586cc0 (__TEXT,__text) non-external _stream_decoder_mt_get_progress
0000000191585e2c (__TEXT,__text) non-external _stream_decoder_mt_init
0000000191586c18 (__TEXT,__text) non-external _stream_decoder_mt_memconfig
0000000191574530 (__TEXT,__text) non-external _stream_encode
0000000191589de0 (__TEXT,__const) non-external _stream_encode.convert
0000000191588b0c (__TEXT,__text) non-external _stream_encode_mt
0000000191579124 (__TEXT,__text) non-external _stream_encoder_end
000000019157b7dc (__TEXT,__text) non-external _stream_encoder_init
000000019158919c (__TEXT,__text) non-external _stream_encoder_mt_end
0000000191588668 (__TEXT,__text) non-external _stream_encoder_mt_init
00000001915892f0 (__TEXT,__text) non-external _stream_encoder_mt_update
0000000191572ca4 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctl (from libSystem)
0000000191586d88 (__TEXT,__text) non-external _threads_end
00000001915893dc (__TEXT,__text) non-external _threads_end
0000000191586e64 (__TEXT,__text) non-external _threads_stop
00000001915894b0 (__TEXT,__text) non-external _threads_stop
00000001915794c8 (__TEXT,__text) non-external (was a private external) _tuklib_cpucores
0000000191579488 (__TEXT,__text) non-external (was a private external) _tuklib_physmem
0000000191587318 (__TEXT,__text) non-external _worker_decoder
00000001915872cc (__TEXT,__text) non-external _worker_enable_partial_update
00000001915898f8 (__TEXT,__text) non-external _worker_error
00000001915895a8 (__TEXT,__text) non-external _worker_start
0000000191587fb0 (__TEXT,__text) non-external _x86_code
0000000191590078 (__TEXT,__const) non-external _x86_code.MASK_TO_ALLOWED_STATUS
0000000191590080 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
0000000191587f4c (__TEXT,__text) non-external _x86_coder_init
