00000001c38ed888 (__TEXT,__text) external _DriverExecutableMain
                 (undefined) external _NDR_record (from libSystem)
00000001f1f02200 (__AUTH_CONST,__const) external _OSAction_Class
00000001f1f01d70 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00000001f1f02f20 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001c38f3ed4 (__TEXT,__text) external _OSArrayAppendValue
00000001c38f3b74 (__TEXT,__text) external _OSArrayApply
00000001c38f37a0 (__TEXT,__text) external _OSArrayCreate
00000001c38f2de8 (__TEXT,__text) external _OSArrayGetCount
00000001c38f3f7c (__TEXT,__text) external _OSArrayGetStringValue
00000001c38f4018 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001c38f3f08 (__TEXT,__text) external _OSArrayGetValue
00000001c38f3ecc (__TEXT,__text) external _OSArrayReplaceValue
00000001c38f3fa8 (__TEXT,__text) external _OSArraySetStringValue
00000001c38f410c (__TEXT,__text) external _OSArraySetUInt64Value
00000001c38f3d20 (__TEXT,__text) external _OSArraySetValue
00000001f1f023b0 (__AUTH_CONST,__const) external _OSArray_Class
00000001f1f024a8 (__AUTH_CONST,__const) external _OSBoolean_Class
00000001c38f23f8 (__TEXT,__text) external _OSCollectionTypeID
00000001c390adb4 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001c38f2350 (__TEXT,__text) external _OSCollectionTypeName
00000001c390ad5c (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00000001f1f025a0 (__AUTH_CONST,__const) external _OSCollection_Class
00000001c38f675c (__TEXT,__text) external _OSCollectionsInitialize
00000001f1f02698 (__AUTH_CONST,__const) external _OSContainer_Class
00000001c38f2484 (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001c38f4a3c (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001c390b200 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001c38f4920 (__TEXT,__text) external _OSCreateSerializationFromObject
00000001c38f2c14 (__TEXT,__text) external _OSDataAppendBytes
00000001c38f2b70 (__TEXT,__text) external _OSDataCreate
00000001c38f2b04 (__TEXT,__text) external _OSDataGetBytes
00000001c38f2ab8 (__TEXT,__text) external _OSDataGetBytesPtr
00000001c38f2af4 (__TEXT,__text) external _OSDataGetLength
00000001f1f027f8 (__AUTH_CONST,__const) external _OSData_Class
00000001c38f2df4 (__TEXT,__text) external _OSDictionaryApply
00000001c38f2d6c (__TEXT,__text) external _OSDictionaryCreate
00000001c38f2ddc (__TEXT,__text) external _OSDictionaryGetCount
00000001c38f34f0 (__TEXT,__text) external _OSDictionaryGetStringValue
00000001c38f3664 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001c38f344c (__TEXT,__text) external _OSDictionaryGetValue
00000001c38f35f4 (__TEXT,__text) external _OSDictionarySetStringValue
00000001c38f3734 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001c38f3170 (__TEXT,__text) external _OSDictionarySetValue
00000001f1f028f0 (__AUTH_CONST,__const) external _OSDictionary_Class
00000001c38f2cf0 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001c38f2cc8 (__TEXT,__text) external _OSNumberGetUInt64Value
00000001f1f029e8 (__AUTH_CONST,__const) external _OSNumber_Class
00000001c38f4fe4 (__TEXT,__text) external _OSObjectLog
00000001c38f239c (__TEXT,__text) external _OSObjectRelease
00000001c38f238c (__TEXT,__text) external _OSObjectRetain
00000001f1f02ae0 (__AUTH_CONST,__const) external _OSObject_Class
00000001c38eb47c (__TEXT,__text) external _OSReportWithBacktrace
00000001c38f4b34 (__TEXT,__text) external _OSSerializationGetBytes
00000001f1f02c90 (__AUTH_CONST,__const) external _OSSerialization_Class
00000001c38f2750 (__TEXT,__text) external _OSStringCreate
00000001c390aebc (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001c38f26fc (__TEXT,__text) external _OSStringGetLength
00000001c390ae90 (__TEXT,__text) non-external _OSStringGetLength.cold.1
00000001c38f26c0 (__TEXT,__text) external _OSStringGetStringPtr
00000001f1f02d88 (__AUTH_CONST,__const) external _OSString_Class
00000001c38eae98 (__TEXT,__text) external _OSSynchronizeIO
00000001e1a50578 (__DATA,__bss) non-external _OSUniqueStrings
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001c38eb6a0 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000001f1f02e80 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001c38eb99c (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001c3909a5c (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001c3909a88 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001c38ecf20 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001c3909fbc (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001c3909fe8 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001c390a014 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001c390a040 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001c390a06c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001c38ec2e4 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001c3909d04 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001c3909d30 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001c3909d5c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001c3909d88 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001c3909dd8 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00000001c38ebc08 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001c3909b38 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001c38f3ee4 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001c38f66e8 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001c38eb834 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001c39099d8 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001c3909a04 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001c3909a30 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001c38f4044 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001c38f40e0 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001c38f4070 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001c38eb9fc (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001c3909ab4 (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.1
00000001c3909ae0 (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.2
00000001c38f44cc (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001c390b1a8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001c390b1d4 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001c38ebf78 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001c38ed650 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001c38eb7a0 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001c38eb6ec (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001c38f4b50 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001c390b22c (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001c38ebb2c (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001c3909b0c (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001c38f2440 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001c390ade0 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001c38f23ac (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001c390ad88 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001c38f2a50 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001c38f4178 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001c390af98 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001c390afc4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001c390aff0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001c390b01c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001c38f2a18 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001c38f3888 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E
00000001c38f3810 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry
00000001c390aee8 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.1
00000001c38f2ca4 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001c38f42b4 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001c390b048 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001c390b074 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001c38ed014 (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00000001c390a098 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00000001c390a0c4 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00000001c38ed610 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001c38ecbc8 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001c39086d4 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001c3908578 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001c3907ef4 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001c39087a0 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001c39087fc (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001c38f2984 (__TEXT,__text) non-external __ZL12OSStringFindjPKcm
00000001c3908e84 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001c3903448 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001c39085e8 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001c38ee8f4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001c390a808 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001c390a834 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001c390a860 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001c3903128 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001c3908678 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001c38ed2c4 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001c390a0f0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001c390a11c (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001c390a148 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001c390a174 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001c38ee07c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001c390a610 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001c390a63c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001c390a668 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001c390a694 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001c38f1cf8 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001c390abd0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001c390abfc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001c390ac28 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001c390ac54 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001c390ac80 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001c390acac (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001c390acd8 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00000001c38ff438 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001c3906958 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000001c3907710 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000001c3908644 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000001c38ed464 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000001c38ed4b8 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001c390a1a0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001c390a1cc (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001c390a1f8 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001c390a224 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001c390a250 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.5
00000001c390a27c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.6
00000001c3908730 (__TEXT,__text) non-external __ZL16OSDictionary_NewP11OSMetaClass
00000001c3901008 (__TEXT,__text) non-external __ZL19IODispatchQueue_NewP11OSMetaClass
00000001c38f3bfc (__TEXT,__text) non-external __ZL19OSArrayContainerizeP7OSArray
00000001c38f43a8 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj
00000001c390b0a0 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj.cold.1
00000001c390b0cc (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj.cold.2
00000001c38f4404 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj
00000001c390b0f8 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.1
00000001c390b124 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.2
00000001c390b150 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.3
00000001c390b17c (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.4
00000001c3908e28 (__TEXT,__text) non-external __ZL19OSSerialization_NewP11OSMetaClass
00000001e1a50570 (__DATA,__bss) non-external __ZL19OSUniqueStringsLock
00000001e1a50568 (__DATA,__bss) non-external __ZL19gIODispatchQueueKey
00000001c3901548 (__TEXT,__text) non-external __ZL20IODispatchSource_NewP11OSMetaClass
00000001c38f3a7c (__TEXT,__text) non-external __ZL20OSArrayInternalApplyP7OSArrayjU13block_pointerFbmP15OSSerialization17OSCollectionEntryE
00000001c38f354c (__TEXT,__text) non-external __ZL20OSDictionaryGetEntryP12OSDictionaryP8OSObjectPKcPm
00000001c38ed770 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64
00000001c390a2a8 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64.cold.1
00000001c390a2d4 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64.cold.2
00000001c38f5dd8 (__TEXT,__text) non-external __ZL21OSArrayIterateObjectsP7OSArrayjU13block_pointerFbP8OSObjectE
00000001c390278c (__TEXT,__text) non-external __ZL22IOMemoryDescriptor_NewP11OSMetaClass
00000001c38f3d28 (__TEXT,__text) non-external __ZL23OSArraySetValueInternalP7OSArraymP8OSObjectb
00000001c38f2e78 (__TEXT,__text) non-external __ZL24OSDictionaryContainerizeP12OSDictionary
00000001c3905fd0 (__TEXT,__text) non-external __ZL25IOTimerDispatchSource_NewP11OSMetaClass
00000001c390ea50 (__TEXT,__const) non-external __ZL25OSClassDescription_OSData
00000001c38f2f24 (__TEXT,__text) non-external __ZL25OSDictionaryInternalApplyP12OSDictionaryU13block_pointerFbmP15OSSerialization17OSCollectionEntryS3_E
00000001c38f395c (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE
00000001c390af14 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.1
00000001c390af40 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.2
00000001c390af6c (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.3
00000001c3908ee0 (__TEXT,__text) non-external __ZL25_IOBlockStorageDevice_NewP11OSMetaClass
00000001c38f0898 (__TEXT,__text) non-external __ZL25convert_mach_time_to_nsecPy
00000001c38f0928 (__TEXT,__text) non-external __ZL25convert_nsec_to_mach_timePy
00000001c390e4c8 (__TEXT,__const) non-external __ZL26OSClassDescription_OSArray
00000001c390e370 (__TEXT,__const) non-external __ZL27OSClassDescription_OSAction
00000001c390ed00 (__TEXT,__const) non-external __ZL27OSClassDescription_OSNumber
00000001c390eec8 (__TEXT,__const) non-external __ZL27OSClassDescription_OSObject
00000001c390f180 (__TEXT,__const) non-external __ZL27OSClassDescription_OSString
00000001c38eaf44 (__TEXT,__text) non-external __ZL27PE_parse_boot_argn_internalPKcPvib
00000001c38fef68 (__TEXT,__text) non-external __ZL28IOBufferMemoryDescriptor_NewP11OSMetaClass
00000001c38eebe0 (__TEXT,__text) non-external __ZL28IODispatchQueueBlockFunctionPv
00000001c390d730 (__TEXT,__const) non-external __ZL28OSClassDescription_IOService
00000001c390e620 (__TEXT,__const) non-external __ZL28OSClassDescription_OSBoolean
00000001c38f3458 (__TEXT,__text) non-external __ZL28OSDictionaryGetValueInternalP12OSDictionaryP8OSObjectPKc
00000001c38f3180 (__TEXT,__text) non-external __ZL28OSDictionarySetValueInternalP12OSDictionaryP8OSObjectPKcS2_
00000001c3900014 (__TEXT,__text) non-external __ZL29IODataQueueDispatchSource_NewP11OSMetaClass
00000001c3901dd8 (__TEXT,__text) non-external __ZL29IOInterruptDispatchSource_NewP11OSMetaClass
00000001c38f30e8 (__TEXT,__text) non-external __ZL29OSCollectionEntryGetStringPtrP15OSSerialization17OSCollectionEntry
00000001c390d350 (__TEXT,__const) non-external __ZL30OSClassDescription_IOMemoryMap
00000001c390e8d0 (__TEXT,__const) non-external __ZL30OSClassDescription_OSContainer
00000001c38f68f8 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE
00000001c390b2b0 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.1
00000001c390b2dc (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.2
00000001c390b308 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.3
00000001c390b334 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.4
00000001c38ef0b8 (__TEXT,__text) non-external __ZL31IOInterruptDispatchSourceThreadPv
