00007fff2a8b5f80 (__TEXT,__const) non-external _DOWNCASE_TBL
00007fff2a8b1730 (__TEXT,__const) non-external _huff_sym_table
00007fff2a8aa1a0 (__TEXT,__text) non-external _insert
00007fff2a8ae6d2 (__TEXT,__text) non-external _insert_link_dep
00007fff2a8aa8db (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00007fff8117a7e0 (__DATA,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007fff2a8a73a8 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007fff2a8a6c9d (__TEXT,__text) non-external _nghttp2_bufs_add
00007fff2a8abbef (__TEXT,__text) non-external _nghttp2_bufs_addb
00007fff2a8ae112 (__TEXT,__text) non-external _nghttp2_bufs_free
00007fff2a8b1461 (__TEXT,__text) external _nghttp2_check_authority
00007fff2a8a5da0 (__TEXT,__text) external _nghttp2_check_header_name
00007fff2a8a5de1 (__TEXT,__text) external _nghttp2_check_header_value
00007fff2a8abdc0 (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007fff2a8aa1f7 (__TEXT,__text) external _nghttp2_hd_deflate_bound
00007fff2a8ac3cd (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
00007fff2a8aed35 (__TEXT,__text) external _nghttp2_hd_deflate_del
00007fff2a8aeeaf (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
00007fff2a8aeeb9 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
00007fff2a8aee52 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00007fff2a8aee60 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00007fff2a8ae98e (__TEXT,__text) external _nghttp2_hd_deflate_hd
00007fff2a8aa225 (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
00007fff2a8aea85 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
00007fff2a8aec42 (__TEXT,__text) external _nghttp2_hd_deflate_new
00007fff2a8aec4e (__TEXT,__text) external _nghttp2_hd_deflate_new2
00007fff2a8ae93f (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
00007fff2a8aee2f (__TEXT,__text) external _nghttp2_hd_inflate_del
00007fff2a8ad769 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
00007fff2a8ae0b6 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
00007fff2a8aeedb (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
00007fff2a8aeee5 (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
00007fff2a8aeec3 (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
00007fff2a8aeed1 (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
00007fff2a8aed58 (__TEXT,__text) external _nghttp2_hd_inflate_hd
00007fff2a8aed62 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
00007fff2a8acbbd (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
00007fff2a8a6742 (__TEXT,__text) non-external _nghttp2_hd_inflate_init
00007fff2a8aedbd (__TEXT,__text) external _nghttp2_hd_inflate_new
00007fff2a8aedc9 (__TEXT,__text) external _nghttp2_hd_inflate_new2
00007fff2a8ab7b7 (__TEXT,__text) non-external _nghttp2_hd_table_get
00007fff2a8b1491 (__TEXT,__text) external _nghttp2_http2_strerror
00007fff2a8af22f (__TEXT,__text) non-external _nghttp2_http_on_request_headers
00007fff2a8ad7b4 (__TEXT,__text) non-external _nghttp2_http_on_response_headers
00007fff2a8b1154 (__TEXT,__text) non-external _nghttp2_increase_local_window_size
00007fff2a8afc31 (__TEXT,__text) external _nghttp2_is_fatal
00007fff2a8a7058 (__TEXT,__text) non-external _nghttp2_iv_check
00007fff2a8ac50f (__TEXT,__text) non-external _nghttp2_map_each
00007fff2a8a7365 (__TEXT,__text) non-external _nghttp2_map_find
00007fff2a8a7735 (__TEXT,__text) non-external _nghttp2_nv_array_copy
00007fff2a8ae8e8 (__TEXT,__text) external _nghttp2_nv_compare_name
00007fff2a8a1c5b (__TEXT,__text) external _nghttp2_option_del
00007fff2a8a1b6c (__TEXT,__text) external _nghttp2_option_new
00007fff2a8ae40c (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
00007fff2a8ae44b (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
00007fff2a8ae466 (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
00007fff2a8ae3d9 (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
00007fff2a8ae43e (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
00007fff2a8ae474 (__TEXT,__text) external _nghttp2_option_set_max_settings
00007fff2a8ae431 (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
00007fff2a8a1ba5 (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
00007fff2a8a1bf9 (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
00007fff2a8a1bcc (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
00007fff2a8a1be2 (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
00007fff2a8ae3bf (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
00007fff2a8a1bb2 (__TEXT,__text) external _nghttp2_option_set_peer_max_concurrent_streams
00007fff2a8ae3e6 (__TEXT,__text) external _nghttp2_option_set_user_recv_extension_type
00007fff2a8a69dd (__TEXT,__text) non-external _nghttp2_outbound_item_free
00007fff2a8afad3 (__TEXT,__text) external _nghttp2_pack_settings_payload
00007fff2a8aeef7 (__TEXT,__text) non-external _nghttp2_pq_push
00007fff2a8af067 (__TEXT,__text) non-external _nghttp2_pq_remove
00007fff2a8af131 (__TEXT,__text) external _nghttp2_priority_spec_check_default
00007fff2a8a771a (__TEXT,__text) external _nghttp2_priority_spec_default_init
00007fff2a8a60d9 (__TEXT,__text) external _nghttp2_priority_spec_init
00007fff2a8a5870 (__TEXT,__text) external _nghttp2_rcbuf_decref
00007fff2a8af2c7 (__TEXT,__text) external _nghttp2_rcbuf_get_buf
00007fff2a8ab84d (__TEXT,__text) external _nghttp2_rcbuf_incref
00007fff2a8af2d5 (__TEXT,__text) external _nghttp2_rcbuf_is_static
00007fff2a8ab86a (__TEXT,__text) non-external _nghttp2_rcbuf_new
00007fff2a8ae240 (__TEXT,__text) external _nghttp2_select_next_protocol
00007fff2a8add81 (__TEXT,__text) non-external _nghttp2_session_add_goaway
00007fff2a8a70ee (__TEXT,__text) non-external _nghttp2_session_add_item
00007fff2a8b06c8 (__TEXT,__text) non-external _nghttp2_session_add_ping
00007fff2a8b00d7 (__TEXT,__text) non-external _nghttp2_session_add_rst_stream
00007fff2a8a6d1a (__TEXT,__text) non-external _nghttp2_session_add_settings
00007fff2a8a7452 (__TEXT,__text) non-external _nghttp2_session_add_window_update
00007fff2a8a9482 (__TEXT,__text) non-external _nghttp2_session_adjust_idle_stream
00007fff2a8a1c48 (__TEXT,__text) external _nghttp2_session_callbacks_del
00007fff2a8a1a79 (__TEXT,__text) external _nghttp2_session_callbacks_new
00007fff2a8a1ab3 (__TEXT,__text) external _nghttp2_session_callbacks_set_before_frame_send_callback
00007fff2a8ae367 (__TEXT,__text) external _nghttp2_session_callbacks_set_data_source_read_length_callback
00007fff2a8ae3b2 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback
00007fff2a8a5a6f (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback2
00007fff2a8ae371 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_frame_callback
00007fff2a8a1adb (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_headers_callback
00007fff2a8a1af9 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_data_chunk_recv_callback
00007fff2a8ae3a5 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_extension_chunk_recv_callback
00007fff2a8a5a47 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_not_send_callback
00007fff2a8a1ae5 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_recv_callback
00007fff2a8a1b1d (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_send_callback
00007fff2a8a1ac5 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback
00007fff2a8ae33f (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback2
00007fff2a8a5a2f (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_frame_recv_callback
00007fff2a8a5a59 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback
00007fff2a8ae353 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback2
00007fff2a8a1b11 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_stream_close_callback
00007fff2a8ae38b (__TEXT,__text) external _nghttp2_session_callbacks_set_pack_extension_callback
00007fff2a8a5a1b (__TEXT,__text) external _nghttp2_session_callbacks_set_recv_callback
00007fff2a8ae35d (__TEXT,__text) external _nghttp2_session_callbacks_set_select_padding_callback
00007fff2a8a1b32 (__TEXT,__text) external _nghttp2_session_callbacks_set_send_callback
00007fff2a8a1b3e (__TEXT,__text) external _nghttp2_session_callbacks_set_send_data_callback
00007fff2a8ae398 (__TEXT,__text) external _nghttp2_session_callbacks_set_unpack_extension_callback
00007fff2a8b0fd0 (__TEXT,__text) external _nghttp2_session_change_stream_priority
00007fff2a8b0239 (__TEXT,__text) external _nghttp2_session_check_request_allowed
00007fff2a8b0fc3 (__TEXT,__text) external _nghttp2_session_check_server_session
00007fff2a8afc59 (__TEXT,__text) external _nghttp2_session_client_new
00007fff2a8a1c06 (__TEXT,__text) external _nghttp2_session_client_new2
00007fff2a8afc90 (__TEXT,__text) external _nghttp2_session_client_new3
00007fff2a8ad853 (__TEXT,__text) non-external _nghttp2_session_close_stream
00007fff2a8b0999 (__TEXT,__text) external _nghttp2_session_consume
00007fff2a8a5788 (__TEXT,__text) external _nghttp2_session_consume_connection
00007fff2a8a5996 (__TEXT,__text) external _nghttp2_session_consume_stream
00007fff2a8b1056 (__TEXT,__text) external _nghttp2_session_create_idle_stream
00007fff2a8a5ed7 (__TEXT,__text) external _nghttp2_session_del
00007fff2a8ada0c (__TEXT,__text) non-external _nghttp2_session_destroy_stream
00007fff2a8b0f98 (__TEXT,__text) external _nghttp2_session_find_stream
00007fff2a8b0afd (__TEXT,__text) external _nghttp2_session_get_effective_local_window_size
00007fff2a8b0aea (__TEXT,__text) external _nghttp2_session_get_effective_recv_data_length
00007fff2a8b112e (__TEXT,__text) external _nghttp2_session_get_hd_deflate_dynamic_table_size
00007fff2a8b1121 (__TEXT,__text) external _nghttp2_session_get_hd_inflate_dynamic_table_size
00007fff2a8b0f8c (__TEXT,__text) external _nghttp2_session_get_last_proc_stream_id
00007fff2a8b0bb8 (__TEXT,__text) external _nghttp2_session_get_local_settings
00007fff2a8b0b09 (__TEXT,__text) external _nghttp2_session_get_local_window_size
00007fff2a8a5b70 (__TEXT,__text) external _nghttp2_session_get_next_stream_id
00007fff2a8b0a63 (__TEXT,__text) external _nghttp2_session_get_outbound_queue_size
00007fff2a8b0b1b (__TEXT,__text) external _nghttp2_session_get_remote_settings
00007fff2a8a1e0f (__TEXT,__text) external _nghttp2_session_get_remote_window_size
00007fff2a8b0fb9 (__TEXT,__text) external _nghttp2_session_get_root_stream
00007fff2a8a732c (__TEXT,__text) non-external _nghttp2_session_get_stream
00007fff2a8b0aa2 (__TEXT,__text) external _nghttp2_session_get_stream_effective_local_window_size
00007fff2a8b0a7e (__TEXT,__text) external _nghttp2_session_get_stream_effective_recv_data_length
00007fff2a8b0f44 (__TEXT,__text) external _nghttp2_session_get_stream_local_close
00007fff2a8b0abf (__TEXT,__text) external _nghttp2_session_get_stream_local_window_size
00007fff2a8b0f67 (__TEXT,__text) external _nghttp2_session_get_stream_remote_close
00007fff2a8a1deb (__TEXT,__text) external _nghttp2_session_get_stream_remote_window_size
00007fff2a8a5c5e (__TEXT,__text) external _nghttp2_session_get_stream_user_data
00007fff2a8a1ec5 (__TEXT,__text) external _nghttp2_session_mem_recv
00007fff2a8b027b (__TEXT,__text) external _nghttp2_session_mem_send
00007fff2a8a78f5 (__TEXT,__text) non-external _nghttp2_session_mem_send_internal
00007fff2a8abe73 (__TEXT,__text) non-external _nghttp2_session_on_settings_received
00007fff2a8a9b91 (__TEXT,__text) non-external _nghttp2_session_open_stream
00007fff2a8b04d3 (__TEXT,__text) non-external _nghttp2_session_predicate_data_send
00007fff2a8a5cc3 (__TEXT,__text) external _nghttp2_session_recv
00007fff2a8afd82 (__TEXT,__text) non-external _nghttp2_session_reprioritize_stream
00007fff2a8a6091 (__TEXT,__text) external _nghttp2_session_resume_data
00007fff2a8a1e1c (__TEXT,__text) external _nghttp2_session_send
00007fff2a8afccc (__TEXT,__text) external _nghttp2_session_server_new
00007fff2a8afd3e (__TEXT,__text) external _nghttp2_session_server_new2
00007fff2a8afd05 (__TEXT,__text) external _nghttp2_session_server_new3
00007fff2a8a1c75 (__TEXT,__text) external _nghttp2_session_set_local_window_size
00007fff2a8a5b8a (__TEXT,__text) external _nghttp2_session_set_next_stream_id
00007fff2a8a5e19 (__TEXT,__text) external _nghttp2_session_set_stream_user_data
00007fff2a8b113b (__TEXT,__text) external _nghttp2_session_set_user_data
00007fff2a8a5ec2 (__TEXT,__text) external _nghttp2_session_terminate_session
00007fff2a8afc4d (__TEXT,__text) external _nghttp2_session_terminate_session2
00007fff2a8b02e9 (__TEXT,__text) non-external _nghttp2_session_update_recv_connection_window_size
00007fff2a8b037a (__TEXT,__text) non-external _nghttp2_session_update_recv_stream_window_size
00007fff2a8b0c54 (__TEXT,__text) external _nghttp2_session_upgrade
00007fff2a8b0edc (__TEXT,__text) external _nghttp2_session_upgrade2
00007fff2a8b0ca8 (__TEXT,__text) non-external _nghttp2_session_upgrade_internal
00007fff2a8a5c80 (__TEXT,__text) external _nghttp2_session_want_read
00007fff2a8a1d84 (__TEXT,__text) external _nghttp2_session_want_write
00007fff2a8a1b58 (__TEXT,__text) external _nghttp2_set_debug_vprintf_callback
00007fff2a8ae5f1 (__TEXT,__text) non-external _nghttp2_stream_defer_item
00007fff2a8ae728 (__TEXT,__text) non-external _nghttp2_stream_dep_add_subtree
00007fff2a8adae0 (__TEXT,__text) non-external _nghttp2_stream_dep_remove
00007fff2a8ae78d (__TEXT,__text) non-external _nghttp2_stream_dep_remove_subtree
00007fff2a8ae8b9 (__TEXT,__text) external _nghttp2_stream_get_first_child
00007fff2a8ae89f (__TEXT,__text) external _nghttp2_stream_get_next_sibling
00007fff2a8ae895 (__TEXT,__text) external _nghttp2_stream_get_parent
00007fff2a8ae8ac (__TEXT,__text) external _nghttp2_stream_get_previous_sibling
00007fff2a8ae835 (__TEXT,__text) external _nghttp2_stream_get_state
00007fff2a8ae8db (__TEXT,__text) external _nghttp2_stream_get_stream_id
00007fff2a8ae8cf (__TEXT,__text) external _nghttp2_stream_get_sum_dependency_weight
00007fff2a8ae8c3 (__TEXT,__text) external _nghttp2_stream_get_weight
00007fff2a8ae634 (__TEXT,__text) non-external _nghttp2_stream_resume_deferred_item
00007fff2a8b11b3 (__TEXT,__text) external _nghttp2_strerror
00007fff2a8af675 (__TEXT,__text) external _nghttp2_submit_altsvc
00007fff2a8a58b7 (__TEXT,__text) external _nghttp2_submit_data
00007fff2a8afb4b (__TEXT,__text) external _nghttp2_submit_extension
00007fff2a8af46d (__TEXT,__text) external _nghttp2_submit_goaway
00007fff2a8a57db (__TEXT,__text) external _nghttp2_submit_headers
00007fff2a8af851 (__TEXT,__text) external _nghttp2_submit_origin
00007fff2a8af335 (__TEXT,__text) external _nghttp2_submit_ping
00007fff2a8af342 (__TEXT,__text) external _nghttp2_submit_priority
00007fff2a8af4d4 (__TEXT,__text) external _nghttp2_submit_push_promise
00007fff2a8a5bcd (__TEXT,__text) external _nghttp2_submit_request
00007fff2a8afa73 (__TEXT,__text) external _nghttp2_submit_response
00007fff2a8af454 (__TEXT,__text) external _nghttp2_submit_rst_stream
00007fff2a8a1c68 (__TEXT,__text) external _nghttp2_submit_settings
00007fff2a8af491 (__TEXT,__text) external _nghttp2_submit_shutdown_notice
00007fff2a8af2fd (__TEXT,__text) external _nghttp2_submit_trailer
00007fff2a8a5a8b (__TEXT,__text) external _nghttp2_submit_window_update
00007fff2a8af2e4 (__TEXT,__text) external _nghttp2_version
00007fff2a8adfbe (__TEXT,__text) non-external _ob_q_free
00007fff2a8af1cd (__TEXT,__text) non-external _parse_uint
                 (undefined) external _realloc (from libSystem)
00007fff2a8ae29f (__TEXT,__text) non-external _select_next_protocol
00007fff2a8a9568 (__TEXT,__text) non-external _session_after_frame_sent1
00007fff2a8a99d5 (__TEXT,__text) non-external _session_after_frame_sent2
00007fff2a8b07d4 (__TEXT,__text) non-external _session_call_error_callback
00007fff2a8abd61 (__TEXT,__text) non-external _session_call_select_padding
00007fff2a8adf04 (__TEXT,__text) non-external _session_close_stream_on_goaway
00007fff2a8b0566 (__TEXT,__text) non-external _session_handle_invalid_connection
00007fff2a8b05cd (__TEXT,__text) non-external _session_handle_invalid_stream2
00007fff2a8abcf4 (__TEXT,__text) non-external _session_headers_add_pad
00007fff2a8a6a9a (__TEXT,__text) non-external _session_inbound_frame_reset
00007fff2a8a9aac (__TEXT,__text) non-external _session_is_closing
00007fff2a8a60ef (__TEXT,__text) non-external _session_new
00007fff2a8ac681 (__TEXT,__text) non-external _session_process_headers_frame
00007fff2a8add06 (__TEXT,__text) non-external _session_terminate_session
00007fff2a8a9afd (__TEXT,__text) non-external _session_update_consumed_size
00007fff811788f0 (__DATA,__const) non-external _static_table
00007fff2a8ae48e (__TEXT,__text) non-external _stream_less
00007fff2a8ae68c (__TEXT,__text) non-external _stream_obq_move
00007fff2a8ae4b5 (__TEXT,__text) non-external _stream_obq_push
00007fff2a8ae552 (__TEXT,__text) non-external _stream_obq_remove
                 (undefined) external _strlen (from libSystem)
00007fff2a8a750c (__TEXT,__text) non-external _submit_headers_shared_nva
00007fff2a8ac5dc (__TEXT,__text) non-external _update_local_initial_window_size_func
00007fff2a8ac570 (__TEXT,__text) non-external _update_remote_initial_window_size_func
00007fff8117a808 (__DATA,__data) non-external _version
                 (undefined) external _vsnprintf (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)
