00007ffb1cb1c626 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb1cb1ae5d (__TEXT,__text) non-external -[CBOR array]
00007ffb1cb1ac68 (__TEXT,__text) non-external -[CBOR boolValue]
00007ffb1cb1c816 (__TEXT,__text) non-external -[CBOR cachedHash]
00007ffb1cb1a514 (__TEXT,__text) non-external -[CBOR copyWithZone:]
00007ffb1cb1adc1 (__TEXT,__text) non-external -[CBOR data]
00007ffb1cb1aef7 (__TEXT,__text) non-external -[CBOR date]
00007ffb1cb1b568 (__TEXT,__text) non-external -[CBOR description]
00007ffb1cb1aeaa (__TEXT,__text) non-external -[CBOR dictionary]
00007ffb1cb1abad (__TEXT,__text) non-external -[CBOR doubleValue]
00007ffb1cb1c733 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00007ffb1cb1aa3a (__TEXT,__text) non-external -[CBOR hash]
00007ffb1cb1a97d (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00007ffb1cb1a54f (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00007ffb1cb1b452 (__TEXT,__text) non-external -[CBOR isBoolean]
00007ffb1cb1b467 (__TEXT,__text) non-external -[CBOR isDate]
00007ffb1cb1b510 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00007ffb1cb1aa4c (__TEXT,__text) non-external -[CBOR isEqual:]
00007ffb1cb1b43d (__TEXT,__text) non-external -[CBOR isFloatNumber]
00007ffb1cb1b423 (__TEXT,__text) non-external -[CBOR isWholeNumber]
00007ffb1cb1aafe (__TEXT,__text) non-external -[CBOR longLongValue]
00007ffb1cb1ac01 (__TEXT,__text) non-external -[CBOR numeric]
00007ffb1cb1c82a (__TEXT,__text) non-external -[CBOR orderedKeys]
00007ffb1cb1c820 (__TEXT,__text) non-external -[CBOR setCachedHash:]
00007ffb1cb1c834 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00007ffb1cb1c7a8 (__TEXT,__text) non-external -[CBOR setTag:]
00007ffb1cb1c7da (__TEXT,__text) non-external -[CBOR setValue:]
00007ffb1cb1c80c (__TEXT,__text) non-external -[CBOR setValueSize:]
00007ffb1cb1acc6 (__TEXT,__text) non-external -[CBOR string]
00007ffb1cb1c79e (__TEXT,__text) non-external -[CBOR tag]
00007ffb1cb1c794 (__TEXT,__text) non-external -[CBOR type]
00007ffb1cb1ab53 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00007ffb1cb1c802 (__TEXT,__text) non-external -[CBOR valueSize]
00007ffb1cb1c7d0 (__TEXT,__text) non-external -[CBOR value]
00007ffb1cb17918 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00007ffb1cb1e300 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00007ffb1cb1d2ff (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00007ffb1cb1dd1c (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00007ffb1cb1e2c4 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00007ffb1cb1e2d8 (__TEXT,__text) non-external -[COSE contentType]
00007ffb1cb1d22f (__TEXT,__text) non-external -[COSE content]
00007ffb1cb1e2ce (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00007ffb1cb1ca50 (__TEXT,__text) non-external -[COSE initWithCBOR:]
00007ffb1cb1c890 (__TEXT,__text) non-external -[COSE initWithData:]
00007ffb1cb1c8ea (__TEXT,__text) non-external -[COSE initWithData:type:]
00007ffb1cb1ce5d (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00007ffb1cb1e2ec (__TEXT,__text) non-external -[COSE initializationVector]
00007ffb1cb1e2e2 (__TEXT,__text) non-external -[COSE keyIdentifier]
00007ffb1cb1e2f6 (__TEXT,__text) non-external -[COSE partialInitializationVector]
00007ffb1cb1d12c (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00007ffb1cb1e2ba (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00007ffb1cb1e35f (__TEXT,__text) non-external -[COSE setType:]
00007ffb1cb1e400 (__TEXT,__text) non-external -[COSE sourceObject]
00007ffb1cb1d2cd (__TEXT,__text) non-external -[COSE tag]
00007ffb1cb1e2b0 (__TEXT,__text) non-external -[COSE type]
00007ffb1cb1d1ac (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00007ffb1cb2174f (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00007ffb1cb20844 (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00007ffb1cb2171d (__TEXT,__text) non-external -[COSEKey algorithm]
00007ffb1cb2173b (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00007ffb1cb21663 (__TEXT,__text) non-external -[COSEKey ecCurveD]
00007ffb1cb215df (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00007ffb1cb2160b (__TEXT,__text) non-external -[COSEKey ecCurveX]
00007ffb1cb21637 (__TEXT,__text) non-external -[COSEKey ecCurveY]
00007ffb1cb1e400 (__TEXT,__text) non-external -[COSEKey getSource]
00007ffb1cb21727 (__TEXT,__text) non-external -[COSEKey identifier]
00007ffb1cb21110 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00007ffb1cb212d4 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00007ffb1cb21471 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00007ffb1cb1f8e2 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00007ffb1cb1f888 (__TEXT,__text) non-external -[COSEKey initWithData:]
00007ffb1cb216e7 (__TEXT,__text) non-external -[COSEKey okpCurveD]
00007ffb1cb2168f (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00007ffb1cb216bb (__TEXT,__text) non-external -[COSEKey okpCurveX]
00007ffb1cb21731 (__TEXT,__text) non-external -[COSEKey operations]
00007ffb1cb21745 (__TEXT,__text) non-external -[COSEKey symmetricKey]
00007ffb1cb21713 (__TEXT,__text) non-external -[COSEKey type]
00007ffb1cb1f821 (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00007ffb1cb1f781 (__TEXT,__text) non-external -[COSE_Mac0 description]
00007ffb1cb1f576 (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00007ffb1cb1f1e6 (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00007ffb1cb1f46d (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00007ffb1cb1f817 (__TEXT,__text) non-external -[COSE_Mac0 mac]
00007ffb1cb1f0fe (__TEXT,__text) non-external -[COSE_Sign1 description]
00007ffb1cb1e551 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00007ffb1cb1e437 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00007ffb1cb1f042 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00007ffb1cb1e7ad (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00007ffb1cb1ea37 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00007ffb1cb1ed6a (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00007ffb1cb1eefe (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00007ffb1cb1ecdb (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00007ffb1cb25e7c (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00007ffb1cb23e10 (__TEXT,__const) external _CBORLibraryVersionNumber
00007ffb1cb23de0 (__TEXT,__const) external _CBORLibraryVersionString
00007ffb1cb23e48 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00007ffb1cb23e49 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00007ffb44f071d0 (__DATA,__data) external _COSEHeaderX509Bag
00007ffb44f071d8 (__DATA,__data) external _COSEHeaderX509Chain
00007ffb44f071e8 (__DATA,__data) external _COSEHeaderX509Hash
00007ffb44f071f0 (__DATA,__data) external _COSEHeaderX509HashSender
00007ffb44f071f8 (__DATA,__data) external _COSEHeaderX509Uri
00007ffb44f07200 (__DATA,__data) external _COSEHeaderX509UriSender
00007ffb44f071e0 (__DATA,__data) external _COSEHeaderx509ChainSender
00007ffb43553b38 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_CBOR
00007ffb43553b88 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE
00007ffb43553c78 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSEKey
00007ffb43553c28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00007ffb43553bd8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00007ffb44f06e00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
00007ffb44f06e08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00007ffb44f06de8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00007ffb44f06de0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00007ffb44f06df0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00007ffb44f06df8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00007ffb44f06e28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00007ffb44f06e10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00007ffb44f06e38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00007ffb44f06e30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00007ffb44f06e48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00007ffb44f06e40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
00007ffb44f06e50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00007ffb44f06e20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00007ffb44f06e18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00007ffb44f06e90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00007ffb44f06ea8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00007ffb44f06e60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00007ffb44f06e68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00007ffb44f06e98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00007ffb44f06ea0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00007ffb44f06e80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00007ffb44f06e70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00007ffb44f06e78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00007ffb44f06eb0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00007ffb44f06e88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00007ffb44f06e58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
00007ffb43553b60 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_CBOR
00007ffb43553bb0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE
00007ffb43553ca0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSEKey
00007ffb43553c50 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00007ffb43553c00 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb43553ff0 (__DATA_DIRTY,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb42c664b8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00007ffb42c66758 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00007ffb42c66850 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb43553a10 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb42c66928 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb42c665b0 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb1cb21e80 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb42c66490 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00007ffb42c666f0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00007ffb42c667e8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb42c66640 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb42c668e0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb42c66548 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb42c66448 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00007ffb42c666a8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00007ffb42c667a0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb42c665f8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb42c66898 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb42c66500 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb42c66970 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00007ffb1cb21ea0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb1cb22008 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00007ffb1cb22040 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb1cb221f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00007ffb1cb222b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00007ffb1cb223a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00007ffb1cb223f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00007ffb42c66b00 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
00007ffb42c66db0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00007ffb42c671f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
00007ffb42c67128 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00007ffb42c66bc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00007ffb42c66ed8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
00007ffb42c67360 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
00007ffb42c67150 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
00007ffb42c67030 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00007ffb42c669b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb1cb22470 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ffb1cb22488 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb1cb22578 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb42c66a98 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ffb42c669f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb42c66aa0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
00007ffb42c66d20 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
00007ffb42c66fa0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
00007ffb42c67438 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
00007ffb42c67168 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
00007ffb42c67098 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
00007ffb42c66438 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ffb42c66430 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffb42c66ab8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
00007ffb42c66d68 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
00007ffb42c671b0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00007ffb42c670e0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00007ffb42c66fe8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
00007ffb44f07170 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00007ffb44f07110 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffb42c67a90 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb1cb1dfd1 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00007ffb1cb1e17c (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.101
00007ffb1cb15d31 (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00007ffb1cb1dfac (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb1cb1dfc2 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb42c65b40 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
00007ffb42c65b60 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e26_v32?0"CBOR"8"CBOR"16*24l
                 (undefined) external ___bzero (from libSystem)
00007ffb1cb043c0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb1cb043e0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb1cb1e105 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00007ffb1cb1e147 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffb1cb03050 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb1cb03420 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00007ffb1cb02fe0 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00007ffb1cb031c0 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00007ffb1cb031c0 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb1cb030e0 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstractV2
00007ffb1cb01c10 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameV2
00007ffb1cb04350 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00007ffb1cb15890 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00007ffb1cb13a80 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
