0000000193077708 (__TEXT,__text) non-external +[CalAlarm alarm]
000000019307c950 (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
000000019307d060 (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
00000001930777ac (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
0000000193077a20 (__TEXT,__text) non-external -[CalAlarm setSound:]
000000019307d074 (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
0000000193077a30 (__TEXT,__text) non-external -[CalAlarm setUrl:]
00000001930785a4 (__TEXT,__text) non-external -[CalAlarm sound]
000000019307ca4c (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
000000019307d06c (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
000000019307859c (__TEXT,__text) non-external -[CalAlarm url]
0000000193079020 (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
0000000193078a64 (__TEXT,__text) non-external -[CalAttendee address]
0000000193078a6c (__TEXT,__text) non-external -[CalAttendee commonName]
0000000193078fa8 (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
000000019307898c (__TEXT,__text) non-external -[CalAttendee description]
000000019307900c (__TEXT,__text) non-external -[CalAttendee ekParticipant]
0000000193078cf4 (__TEXT,__text) non-external -[CalAttendee hash]
0000000193078c54 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
0000000193078cfc (__TEXT,__text) non-external -[CalAttendee isEqual:]
0000000193079014 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
0000000193078a74 (__TEXT,__text) non-external -[CalAttendee status]
000000019307c8a4 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00000001930783c0 (__TEXT,__text) non-external -[CalCalendar color]
000000019307c834 (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
0000000193078238 (__TEXT,__text) non-external -[CalCalendar description]
000000019307c890 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
000000019307c424 (__TEXT,__text) non-external -[CalCalendar hash]
000000019307c384 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
000000019307c2a4 (__TEXT,__text) non-external -[CalCalendar init]
0000000193076a10 (__TEXT,__text) non-external -[CalCalendar isEditable]
000000019307c42c (__TEXT,__text) non-external -[CalCalendar isEqual:]
0000000193078368 (__TEXT,__text) non-external -[CalCalendar notes]
0000000193076a08 (__TEXT,__text) non-external -[CalCalendar setColor:]
000000019307c898 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
0000000193076a00 (__TEXT,__text) non-external -[CalCalendar setNotes:]
00000001930769f8 (__TEXT,__text) non-external -[CalCalendar setTitle:]
0000000193078360 (__TEXT,__text) non-external -[CalCalendar title]
00000001930783c8 (__TEXT,__text) non-external -[CalCalendar type]
0000000193076f7c (__TEXT,__text) non-external -[CalCalendar uid]
0000000193080394 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
0000000193077824 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
000000019307f6c4 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
0000000193078038 (__TEXT,__text) non-external -[CalCalendarItem alarms]
0000000193077fc8 (__TEXT,__text) non-external -[CalCalendarItem calendar]
0000000193080310 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
0000000193077fa8 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
0000000193077e58 (__TEXT,__text) non-external -[CalCalendarItem description]
000000019308036c (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
000000019307f6b4 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
0000000193080308 (__TEXT,__text) non-external -[CalCalendarItem hash]
000000019307f588 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
000000019307fa5c (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
000000019307f6bc (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
0000000193077fb8 (__TEXT,__text) non-external -[CalCalendarItem notes]
000000019307f7bc (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
000000019307f810 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
000000019307f908 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00000001930778fc (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
0000000193080374 (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
0000000193077054 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
0000000193076f84 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
0000000193080388 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
000000019307705c (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
0000000193080064 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
0000000193077fb0 (__TEXT,__text) non-external -[CalCalendarItem title]
0000000193077fa0 (__TEXT,__text) non-external -[CalCalendarItem uid]
0000000193080380 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
0000000193077fc0 (__TEXT,__text) non-external -[CalCalendarItem url]
000000019307c268 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
000000019307a818 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
000000019307a820 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00000001930792e4 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00000001930767ac (__TEXT,__text) non-external -[CalCalendarStore calendars]
00000001930792e0 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
0000000193079a9c (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
000000019307c254 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00000001930793d0 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
0000000193076d74 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
000000019307a9b4 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
0000000193079788 (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
000000019307907c (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
000000019307903c (__TEXT,__text) non-external -[CalCalendarStore init]
000000019307b064 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
0000000193079f48 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
000000019307a5f0 (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
000000019307aac4 (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
0000000193079ab4 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
000000019307a268 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
000000019307c25c (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
000000019307969c (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00000001930794d8 (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
000000019307da44 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00000001930787e8 (__TEXT,__text) non-external -[CalEvent attendees]
0000000193077c48 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
0000000193077cd0 (__TEXT,__text) non-external -[CalEvent description]
000000019307d198 (__TEXT,__text) non-external -[CalEvent ekEvent]
00000001930786b8 (__TEXT,__text) non-external -[CalEvent endDate]
000000019307d100 (__TEXT,__text) non-external -[CalEvent init]
0000000193078710 (__TEXT,__text) non-external -[CalEvent isAllDay]
000000019307d894 (__TEXT,__text) non-external -[CalEvent isDetached]
000000019307d1a0 (__TEXT,__text) non-external -[CalEvent isEqual:]
0000000193078660 (__TEXT,__text) non-external -[CalEvent location]
000000019307d8d4 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00000001930785cc (__TEXT,__text) non-external -[CalEvent occurrence]
0000000193078750 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
000000019307d19c (__TEXT,__text) non-external -[CalEvent setEKEvent:]
000000019307da30 (__TEXT,__text) non-external -[CalEvent setEkEvent:]
0000000193076ff0 (__TEXT,__text) non-external -[CalEvent setEndDate:]
00000001930770c8 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
0000000193077064 (__TEXT,__text) non-external -[CalEvent setLocation:]
0000000193077234 (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
0000000193076f8c (__TEXT,__text) non-external -[CalEvent setStartDate:]
000000019307d6d4 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
0000000193077114 (__TEXT,__text) non-external -[CalEvent startDate]
000000019307efe0 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
000000019307eef8 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
000000019307efbc (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
000000019307ed7c (__TEXT,__text) non-external -[CalNthWeekDay description]
000000019307efcc (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
000000019307ee38 (__TEXT,__text) non-external -[CalNthWeekDay hash]
000000019307ecdc (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
000000019307ee40 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
000000019307efd4 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
000000019307efc4 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
0000000193078c40 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
0000000193078b70 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
0000000193076cb0 (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
0000000193078bcc (__TEXT,__text) non-external -[CalPredicate predicate]
0000000193078b5c (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
0000000193078b4c (__TEXT,__text) non-external -[CalPredicate subpredicate]
000000019307f57c (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
000000019307f314 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
000000019307f0cc (__TEXT,__text) non-external -[CalRecurrenceEnd description]
000000019307f568 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
000000019307f558 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
000000019307f1d8 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
000000019307f4b8 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
000000019307f368 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
000000019307f418 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
000000019307f1e0 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
000000019307f560 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
000000019307f570 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
000000019307f090 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
000000019307ecd0 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00000001930772c0 (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00000001930774e8 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
000000019307734c (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
0000000193078ab0 (__TEXT,__text) non-external -[CalRecurrenceRule description]
000000019307ecbc (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
000000019307ecb4 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
000000019307e100 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
000000019307716c (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
000000019307daf8 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
000000019307dcb4 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
000000019307dbc0 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
0000000193077950 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
0000000193077a38 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
000000019307da58 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
000000019307ddf0 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
000000019307dfac (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
000000019307deb8 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
000000019307e108 (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
0000000193077690 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00000001930774f0 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
0000000193077698 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
0000000193077344 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
000000019307731c (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
000000019307ecc4 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
000000019307e674 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
0000000193080b9c (__TEXT,__text) non-external -[CalTask .cxx_destruct]
0000000193080534 (__TEXT,__text) non-external -[CalTask completedDate]
000000019308088c (__TEXT,__text) non-external -[CalTask description]
00000001930805f0 (__TEXT,__text) non-external -[CalTask dueDate]
00000001930804a0 (__TEXT,__text) non-external -[CalTask ekReminder]
0000000193080408 (__TEXT,__text) non-external -[CalTask init]
00000001930804a8 (__TEXT,__text) non-external -[CalTask isCompleted]
0000000193080980 (__TEXT,__text) non-external -[CalTask isEqual:]
0000000193080738 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00000001930806ac (__TEXT,__text) non-external -[CalTask priority]
000000019308058c (__TEXT,__text) non-external -[CalTask setCompletedDate:]
0000000193080648 (__TEXT,__text) non-external -[CalTask setDueDate:]
00000001930804a4 (__TEXT,__text) non-external -[CalTask setEKReminder:]
0000000193080b88 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00000001930804e8 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00000001930806ec (__TEXT,__text) non-external -[CalTask setPriority:]
0000000193082280 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
0000000193082294 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001930822a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001d46db0f0 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00000001d46db0f8 (__DATA_CONST,__const) external _CalAlarmActionEmail
00000001d46db100 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00000001d46db108 (__DATA_CONST,__const) external _CalAlarmActionSound
00000001d46dafb0 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00000001d46dafd0 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00000001d46dafb8 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00000001d46dafc8 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00000001d46dafd8 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00000001d46dafa8 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00000001d46dafc0 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00000001d46db078 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00000001d46db080 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00000001d46db088 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00000001d46db0a8 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00000001d46db090 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00000001d46db098 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00000001d46db0a0 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00000001d46db0b0 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00000001d46db0b8 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00000001d46db038 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00000001d46db020 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00000001930822d0 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00000001d46db060 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00000001d46db040 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00000001d46db028 (__DATA_CONST,__const) external _CalEventsChangedNotification
00000001d46db050 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00000001d46db068 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00000001d46db180 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00000001d46db048 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00000001d46db030 (__DATA_CONST,__const) external _CalTasksChangedNotification
00000001d46db058 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00000001d46db070 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00000001dba83f88 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAlarm
00000001dba83e98 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAttendee
00000001dba83f38 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendar
00000001dba84118 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00000001dba83ee8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00000001dba83fd8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEvent
00000001dba84078 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00000001dba83e48 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalPredicate
00000001dba840c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00000001dba84028 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00000001dba84168 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00000001d90297f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00000001d90297fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00000001d9029800 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00000001d90297ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00000001d90297f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00000001d9029814 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00000001d9029818 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00000001d90297f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00000001d9029804 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00000001d902980c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00000001d90297e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00000001d9029810 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00000001d9029808 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00000001d902981c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00000001dba83fb0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00000001dba83ec0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00000001dba83f60 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00000001dba84140 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00000001dba83f10 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00000001dba84000 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalEvent
00000001dba840a0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00000001dba83e70 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00000001dba840f0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00000001dba84050 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
00000001dba84190 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalTask
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSMethodExceptionProem (from Foundation)
0000000193081100 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalAlarm
